項目	値
事業の内容	２【事業の内容】　当第３四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期累計期間において、新たな事業等のリスクの発生、または、有価証券届出書に記載した事業等のリスクについての重要な変更はありません。 継続企業の前提に関する重要事象等について　当社は、小型衛星コンステレーションによるリアルタイム観測の実現というビジョンを掲げ、地球観測衛星データ事業を推進しております。地球観測衛星データ事業においては衛星の製造及び打上げに伴う大規模な先行投資が必要であり、打ち上げた衛星から得られる地球観測データ及び画像の販売による投資回収までに期間を要します。そのため、前事業年度において継続的な営業損失の発生及び営業活動によるキャッシュ・フローのマイナスを計上しており、当第３四半期累計期間においても経常損失を計上していることから、継続企業の前提に重要な疑義を生じさせるような事象又は状況が存在しております。　しかしながら、当第３四半期累計期間においては当社の商用機である小型SAR衛星QPS-SAR６号機「アマテル-Ⅲ」の商用運用を開始したこともあって営業利益を計上しており、当期においては通期で黒字化の予定で順調に推移しております。また、当該重要事象等を解決するために以下の対応策を実施していることから、継続企業の前提に関する重要な不確実性は認められないと判断しております。 ①小型SAR衛星を活用したビジネスモデルの拡大　安全保障分野に関する販売及び収益の拡大に加え、民間における協働の可能性を模索している分野でのビジネスモデルを早期に構築し、事業の拡大を図ってまいります。 ②小型SAR衛星の技術開発とインフラ構築の推進　継続的な収益拡大のために小型高分解能SAR衛星によるコンステレーションの実現に邁進してまいります。また、同衛星の撮像能力向上とともに、同衛星が取得する観測データを迅速かつ簡便にエンドユーザーに提供するインフラの構築と技術開発を推進いたします。 ③製造、販売体制の強化　中長期的には自社コンステレーション並びに他社販売に伴う衛星製造数量の増加とコストダウン圧力に対応すべく、開発人材の新規採用や製造工場の新設等により年間10機を生産可能な量産体制の構築を進め、更に衛星の販売並びに地球観測データビジネスのモデル構築のための事業開発、マーケティング及び販売の体制強化を図ってまいります。 ④資金調達の実施　当社にとって技術開発活動及び事業基盤の拡充を推進することは継続的な発展のために重要であり、そのためには状況に応じて機動的に資金調達を行う必要があります。今後も技術開発活動及び事業基盤の拡充に向けて資金調達の可能性を検討し、推進してまいります。　なお、株式会社三井住友銀行をアレンジャーとするコミット型シンジケートローン契約を2023年10月24日付で締結しており、総額5,000,000千円を上限とする借入が可能となっております。加えて、2023年12月６日付の東京証券取引所グロース市場への上場に伴う公募増資及び第三者割当増資により、総額3,679,960千円を調達しております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。なお、当社は、前第３四半期累計期間については四半期財務諸表を作成していないため、前年同四半期累計期間との比較分析は行っておりません。 (1）財政状態の状況（資産）　当第３四半期会計期間末における流動資産は5,351,940千円となり、前事業年度末に比べ1,487,306千円増加しました。これは主に、現金及び預金573,645千円の増加、売掛金及び契約資産1,079,163千円の増加等によるものであります。　当第３四半期会計期間末における固定資産は4,828,566千円となり、前事業年度末に比べ2,860,395千円増加しました。これは主に、2023年12月15日に打上げました当社の商用機である小型SAR衛星QPS-SAR５号機「ツクヨミ-Ⅰ」以降の製造進捗等によるものであります。 　この結果、当第３四半期会計期間末における資産合計は10,180,507千円となり、前事業年度末に比べ4,347,701千円増加しました。（負債）　当第３四半期会計期間末における流動負債は688,123千円となり、前事業年度末に比べ362,832千円増加しました。これは主に、買掛金の増加308,180千円等によるものであります。　当第３四半期会計期間末における固定負債は610,908千円となり、前事業年度末に比べ303,223千円増加しました。これは主に、長期借入金の増加300,000千円等によるものであります。　この結果、当第３四半期会計期間末における負債合計は1,299,032千円となり、前事業年度末に比べ666,055千円増加しました。（純資産）　当第３四半期会計期間末における純資産合計は8,881,475千円となり、前事業年度末に比べ3,681,645千円増加しました。これは主に、東京証券取引所グロース市場への上場に伴う公募増資及び第三者割当増資により資本金及び資本剰余金がそれぞれ1,839,980千円増加したことによるものであります。　なお、2023年８月30日開催の第18回定時株主総会決議に基づき、資本準備金の額の減少及び剰余金の処分による欠損補填を行っております。これにより、資本剰余金が1,492,430千円減少し、利益剰余金が同額増加しております。　これらの結果、自己資本比率は前事業年度末の89.15％から87.24％となりました。 (2）経営成績の状況　当第３四半期累計期間におけるわが国経済は、円安の進行やインフレ転換への期待、新NISAによる投資増加等を背景に、日経平均株価は1989年以来の最高値を更新する等、コロナ禍により停滞していた経済活動は、正常化に向けて力強く前進しております。また、宇宙業界においては、H3ロケット試験機２号機の打上げ成功や、小型月着陸実証機（SLIM）の月面着陸を受けた各種実証の成果が続々と報告される等、わが国における宇宙開発に向けた機運は、これまでにない高まりを見せております。一方で、2024年１月に発生した能登半島地震の被害や、国際情勢の緊張状態の高まりは、国民の生命・財産を守る様々な施策の推進を、官民一体となって加速させていく必要性を物語っております。　このような状況の中、当社は2023年12月６日に東京証券取引所グロース市場に上場いたしました。また、2023年12月15日には当社の商用機である小型SAR衛星QPS-SAR５号機「ツクヨミ-Ⅰ」の打上げが成功し、2024年１月17日には初画像（ファーストライト）の公開を行っております。　以上の結果、当第３四半期累計期間におきましては、売上高1,022,013千円、営業利益111,676千円、経常損失5,025千円、四半期純損失8,361千円となりました。　なお、当社は地球観測衛星データ事業の単一セグメントであるため、セグメント別の記載は省略しております。 (3）会計上の見積り及び当該見積りに用いた仮定　有価証券届出書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (4）経営方針・経営戦略等　当第３四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 (5）優先的に対処すべき事業上及び財務上の課題　当第３四半期累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (6）研究開発活動　当第３四半期累計期間における研究開発活動の金額は、79,440千円であります。　なお、当第３四半期累計期間において、当社の研究開発活動の状況に重要な変更はありません。 (7）従業員数　当第３四半期累計期間において、当社の従業員数に著しい増加又は減少はありません。 (8）生産、受注及び販売の実績　当第３四半期累計期間において、実証事業に関する契約を締結し、受注実績が著しく増加しました。　詳細につきましては、「３．経営上の重要な契約等」をご参照ください。 (9）主要な設備　当第３四半期累計期間において、主要な設備に著しい変動はありません。 (10）経営成績に重要な影響を与える要因　当第３四半期累計期間において、経営成績に重要な影響を与える要因に重要な変更はありません。 (11）資本の財源及び資金の流動性についての分析　当第３四半期累計期間において、資本の財源及び資金の流動性についての分析に重要な変更はありません。  
経営上の重要な契約等	３【経営上の重要な契約等】　当社は2024年２月28日付で以下の実証事業に関する契約を締結いたしました。　①　受注先　　　防衛省　②　事業名　　　宇宙領域の活用に必要な共通キー技術の先行実証に向けた衛星の試作　③　受注金額　　5,649百万円　④　納期　　　　2028年５月期中 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式100,000,000計100,000,000 
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2024年２月29日）提出日現在発行数（株）（2024年４月12日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式36,337,80036,337,800東京証券取引所グロース市場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計36,337,80036,337,800－－　（注）当社株式は2023年12月６日付で、東京証券取引所グロース市場に上場いたしました。 
