項目	値
事業の内容	 ３ 【事業の内容】当社の企業集団は、当社と連結子会社４社及びその他の関係会社２社で構成され、上下水道・ガス用資材であるダクタイル鋳鉄製品（鋳鉄管、鉄蓋）、樹脂管及び関連付属品の製造販売を主な事業としており、さらに倉庫業、道路貨物運送業及び「産業廃棄物の運搬及び積み替え保管事業」等を展開しております。当社グループの事業内容と、当社及び主要な関係会社の当該事業に係る位置付けは、次のとおりであります。なお、下記区分は後記、第５［経理の状況］１［連結財務諸表等］の注記に掲げる［セグメント情報］の区分と同一であります。  日鋳商事株式会社当社の販売店株式会社鶴見工材センターガス用配管材等の保管及び運送日鋳サービス株式会社鉄管類リサイクル事業等株式会社イガラシ水道用の資材の販売等ＪＦＥスチール株式会社原材料等の購入等   事業の系統図は次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】 文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 （1）会社の経営の基本方針当社は上下水道、ガス、情報通信を中心とした地域インフラ整備に対して、鋳鉄管、鉄蓋、樹脂管及び関連資材の供給を中心とした事業展開を図ってまいりました。インフラに携わる企業として、その機能の維持継続が使命と考えております。しかしながら、管路老朽化が年々進展し更新の潜在需要が増大する一方、人口減少や節水等による事業体収入の減少や、高齢化等による工事の担い手不足といったジレンマが解消されない状態が継続しており、管の供給だけにとどまっていては、使命を果たすことができないという危機意識から、劣化診断サービスの提供等、管路更新サイクル全般に関与する事業スタイルへのシフトチェンジ、すなわち「管路分野の Innovative All in ワンストップ企業」としての地位を確立すべく、活動を続けております。そうした役割を担うことにより、社会的な使命を果たしつつ、継続的に発展していく企業を目指し、環境変化に俊敏かつ柔軟に対応できる企業体質の強化を推し進めてまいります。　今後も、継続的に株主様等のステークホルダーの皆様にお役立ちできるよう努めてまいります。 （2）対処すべき課題①　鋳鉄管等コア事業の収益力強化上記基本方針に沿って、以下の３点を課題として取り組んでまいります。（１）　販売力の強化に向けた新商品・新分野を含めた開発・拡販と需要喚起（２）　コスト競争力の一層の向上（３）　人材育成の強化と女性活躍の推進ならびにＥＳＧ経営の推進これらの課題に対する主な取り組みは以下の通りです。 １）AIを活用した管路劣化診断技術の普及と拡販事業スタイル変革の第一歩として、2018年より、Fracta社とのパートナーシップ契約に基づき、同社のAIを活用した管路劣化診断技術の事業体様への展開を進めてまいりました。その有効性が高く評価され、年々着実に事業体様での採用を拡大してきております。この普及活動にさらにドライブをかけ、拡販に注力してまいります。２）環境インフラのデジタル情報基盤の整備DX推進の一環として開発いたしました「だいさくくん」は、スマートフォンやタブレットで、データ収集・集計、自動編集できるDXソフトです。AIを活用し、マンホールの点検業務における作業効率の改善を実現したもので、マンホール点検業務の初回の受注でも高評価を得ました。今後、必要とされる事業体様・点検会社様へのご提案を進めてまいります。３）新商品「楽ちゃく」の販売楽に、早く、確実に一人で接合できるプリセット接合工具を開発し、販売開始いたしました。誰でも、楽で正確な接合ができること、従来の半分の時間で接合が可能、作業は管上部からできるクリーン施工の三点をセールスポイントとしており、試用を経てより使いやすい形にバージョンアップし、拡販を進めてまいります。４）水研様との業務提携の強化㈱水研と当社で知的財産を共同保有しておりますKATANAバルブは、当社が製造を担い、㈱水研が販売開始いたしました。切粉を一切混入させることなく短時間で簡単に管路にバルブを設置できるようにすることで、水質確保や施工時間の短縮といった社会課題解決に寄与しております。ポリエチレン管の需要が高い海外での展開を視野に入れております。５）「オセール」の拡販鉄道、交差点、河川横断等、開削工事が困難な箇所で行う非開削工法における、耐震性能を維持するための治具として、当社は、地上で組み立てが極めて容易で、画期的に工数の削減が可能な「オセール」を開発し、2019年６月より販売開始、毎年拡販を進めてきております。この商品の有用性をさらに広くアピールしていき、認知度を一層向上させ、さらなる拡販を図ってまいります。６）サスティナビリティへの取り組みカーボンニュートラルの実現に向け電気炉建設チーム設置を昨年６月に設置し、検討を進めております。この検討を進化させ、具体化を図ってまいります。７）更なる新商品開発とイノベーション「オセール」・「楽ちゃく」に続く、イノベーティブな新商品開発を実現し、コア事業とのシナジー効果の創出を図ってまいります。８）一層の合理化の追求と品質の向上2018年度に大規模合理化を実施し、単年度で中期３か年計画を大きく上回る成果を出しました。2019年度以降も継続したコスト削減活動を実施してきております。引き続き、歩留向上、エネルギーコスト改善、操業の効率化やお客様の満足度を高めるための継続的な品質向上活動を推進してまいります。９）効率的な新規及び老朽更新の設備投資策定済の老朽更新計画を着実に進めると同時に新規案件の優先順を明確にし、適時適切な設備投資を計画的に行ってまいります。10）徹底した業務効率化と高度化在宅勤務の推進と並行してワークフローシステム化、RPA利用促進など事務作業の効率化を推進しておりますがそれにより、改善業務に充当する比率を高め、収益基盤の増強を図ってまいります。11）将来を担う若手社員の確保とその育成30歳代以下の社員が少ないことから、2020年度以降積極的に新卒や若手を中心とした中途採用を進めてきております。採用活動を一層強化するとともに、若手・中堅社員への教育を充実させてまいります。12）女性活躍の推進2023年６月20日に開催された第119回定時株主総会において初の女性社外取締役として秋山礼子氏を選任するなど、広く女性活躍の推進に注力してまいります。係長及び管理職の女性の割合を上げるべく、育成と登用に取り組んでおります。2021年４月に当社初の女性部長が誕生し人事部長として活躍しております。13）ESG経営の推進ESGに関わる取り組みとして、世界34か国で活動する水・衛生専門の国際NGOウォーターエイドに対し、ダクタイル鉄管の販売本数に応じた寄付を2021年度より開始しました。鋳鉄管を購入いただいた顧客の皆様にも、間接的に参画していただくことでSDGsへの貢献の輪を広げております。また、2022年10月には地元久喜市内の中学校にて水の大切さを教える授業を、NGOウォーターエイドとともに当社社員が実施いたしました。地元や市民の皆様に自然と親しみ笑顔を届けられる活動として、久喜工場近隣の久喜菖蒲公園において、“Nature Play Carnival in Kuki”と称する地域貢献のイベントを2021年11月より開始し、毎月開催しております。 また、これらの活動に関わる情報をより広くステークホルダーの皆様にお届けするためのPR、IR活動強化を引き続き進めてまいります。  14）PR・IRの強化2020年に開設しましたnoteや2021年５月にリニューアルいたしましたコーポレートサイトなどを最大限活用したＰＲ活動や、2021年３月より開始しこれまで５回実施してまいりました個人投資家様向け説明会などを通じ、さまざまなステークホルダーの皆様との双方向のコミュニケーションを行うことで、一層の企業活動の充実に努めてまいります。 以上の課題にスピード感をもって取り組み、お客様はじめさまざまなステークホルダーの皆様の期待に沿うよう、引き続き収益改善に向けて打てる手は全て打ち、収益力の強化を図ってまいります。 ②　経営環境の変化に耐え得る財務体力の強化引き続き必要なあらゆる収益改善施策を迅速に実行し、着実な業績の向上、更なる財務体質強化を図ってまいります。今後とも株主の皆様の一層のご理解とご支援を賜りますようお願い申し上げます。 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。 （1） 原材料の価格変動リスク当社は主たる商品を素材から製造しており、原材料の製造原価に占める割合は約５割となっております。鋼屑、コークス及び石油関連製品の購入価格が国際市況の影響を受け大幅に変動する場合があります。従って、原材料価格の変動は当社の業績を大きく左右する要因となっております。 （2）市場リスク当社グループが取り扱う商品の多くは、地方自治体等の公共事業向けとなるため、各年度の公共事業予算に依存しております。従って、公共事業予算が大きく変動した場合、国内需要及び市況価格が変動し、当社グループの売上高及び業績に大きな影響を与える可能性があります。 （3） 貸倒損失の発生リスク当社は、鋳鉄管等の上下水道用資機材を主に各地域の特約店を経由して配管工事業者等に販売しております。当社の販売先である特約店については、各社の規模、財務状況等を精査し与信額を決定しておりますが、予期せぬ原因で特約店向けの債権の回収が困難になるリスクがあります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】 当連結会計年度における当社グループ（当社及び連結子会社)の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1) 経営成績2022年度は、世界的なインフレや円安などによる原材料価格・エネルギー価格・物流費等の諸物価の高騰が、昨年度に引き続き収益面に大きな影響を与えました。こうした諸物価高騰を受け、当社は2021年8月に続き、2022年9月にもさらに10％以上の値上げを余儀なくされ、関係各位のご理解を得ながら、販売価格の改定を進めてまいりました。また工事の人手不足や諸物価上昇影響もあり鋳鉄管の全国需要は昨年度に比して減少しましたが、営業活動の成果として受注品種構成を良化したこと等で売上高を伸ばすことができました。販売価格への転嫁にはタイムラグが生じているものの、これまで取り組んできたシナジーを期待する新規・周辺事業の拡販等の成果やグループ会社の成果もあり、業績は昨年度より好転し、対前年度増収増益を実現いたしました。 2022年度は、「水が途切れない世界を実現する」という当社のパーパスに基づき、「管路分野のInnovative All in ワンストップ企業」への歩みをさらに進めてまいりました。DX推進の一環として開発いたしました「だいさくくん」は、スマートフォンやタブレットで、データ収集・集計、自動編集できるDXソフトです。AIを活用し、マンホールの点検業務における作業効率の改善を実現したもので、マンホール点検業務の初回の受注でも高評価を得ました。今後、必要とされる事業体様・点検会社様へのご提案を進めてまいります。当社開発商品である、プリセット接合工具「楽ちゃく」は、昨年10月の2022名古屋水道展での実物展示により、ご来場の方々から、高い関心を集めることができました。誰でも楽に簡単に短時間で施工ができることを実演し、現場に寄り添った構造設計になっているということを身近に感じていただきました。試用を経てより使いやすい形にバージョンアップしてまいります。さや管推進工法対応部品「オセール」については、水道展と併催で行われた「全国会議・水道研究発表会」において「さや管推進工法用推力伝達バンドの開発」というテーマで発表いたしました。これまで利用していただいた施工会社様の多くがリピーターになっていただくなど、大変好評を得ております。「楽ちゃく」・「オセール」は、人手不足対応や働き方改革など、水道工事事業の課題解決の一助となるもので、人材不足の課題を抱える工事施工会社様にとって、極めて有用であることから、一層の拡販活動を進めているところです。これらは、ESG経営の一環としても取り組んできたものであり、人材不足への対応といった社会問題解決に極めて有用と考えております。事業パートナーとの取組については、㈱水研が販売開始しましたKATANAバルブは、知的財産を共同保有し、当社が製造を担っているものです。切粉を一切混入させることなく短時間で簡単に管路にバルブを設置できるようにすることで、水質確保や施工時間の短縮といった社会課題解決に寄与しております。ポリエチレン管の需要が高い海外での展開を視野に入れております。Fracta社とのパートナーシップによるFracta-AI管路診断技術のソフト販売活動についても、継続してご利用いただいている事業体様に加え、いくつもの新規のご利用をいただいており、さらなる進化を遂げてきております。また、本年4月28日に発表いたしました通り、所期の目的を達成したことからWhole Earth Foundationとの提携関係を解消しましたが、当社は今後とも引き続きインフラへの貢献に取り組み、公共インフラ領域におけるDX推進の先駆者を目指してまいります。 こうした「管路分野のInnovative　All in ワンストップ企業」を目指す取り組みは、順調に推移しており、2022年度はそうした活動成果をさらに前進させる年となりました。  当連結会計年度の経営成績は以下のとおりとなっております。 売上高につきましては、原材料等諸物価の高騰により販売価格改定を進めてきたこと、受注品種構成の良化、シナジーを期待する新規・周辺事業の拡大、グループ会社の売上高の増加、などにより販売が順調に推移してきており、21億２百万円（前年同期比13.8％）増加し、172億88百万円となりました。 収益につきましては、原材料等諸物価の高騰に対するタイムラグはあるものの販売価格の改定や受注品種構成の良化、新規・周辺事業の拡大、グループ会社の収益増加などにより、対前年度増益を実現いたしました。営業利益は１億38百万円増加し５億21百万円、経常利益は１億58百万円増加し５億76百万円、親会社株主に帰属する当期純利益は１億26百万円増加し３億62百万円の利益となりました。 当社ではESGやSDGｓに関わる取り組みを積極的に行っております。2022年度は、カーボンニュートラル実現に向け、６月に電気炉建設チームを立ち上げ、キュポラ代替製法導入検討を急ピッチで進めてまいりました。また、国際NGOウォーターエイドに対して、ダクタイル鉄管の販売量に応じた寄付も継続して実施している一方、10月に工場近隣の中学生約300名を対象とした、水道に関する授業をウォーターエイドと共同で行いました。また、久喜工場近隣の久喜菖蒲公園にて、地域の皆様に自然と親しめるイベントを一昨年11月より開始し、好評を得ながら毎月開催してきております。今後も、ESGやSDGｓに関わる取り組みを積極的に進めてまいります。 引き続き、株主の皆様をはじめステークホルダーの皆様のご期待に添えるよう、種々の経営施策を着実に実行し、さらなる安定利益を確保するように努力してまいりますので、ご理解とご支援を賜りますようお願い申し上げます。 セグメントの経営成績は、以下の通りであります。　ダクタイル鋳鉄関連当連結会計年度の売上高につきましては、原材料等諸物価の高騰により販売価格改訂を進めてきたこと、受注品種構成の良化、シナジーを期待する新規・周辺事業の拡大、グループ会社の売上高増加により、前年同期と比べ20億93百万円（前年同期比15.7％）増加し、154億36百万円となりました。セグメント利益につきましては、原材料等諸物価の高騰に対するタイムラグはあるものの販売価格の改定や受注品種構成の良化、新規・周辺事業の拡大、グループ会社の収益増加などにより、前年同期と比べ２億46百万円（前年同期比231.2％）増加、３億53百万円となりました。　樹脂管・ガス関連当連結会計年度の売上高につきましては、親会社の樹脂管・ガス関連事業の売上が増加したこと等により、前年同期と比べ８百万円（前年同期比0.5％）増加の18億51百万円となりました。セグメント利益につきましては、原材料価格及び電力・ガス・物流費等の諸物価の上昇の継続により、前年同期と比べ１億15百万円（前年同期比41.6％）減少し、１億62百万円となりました。  生産、受注及び販売の実績は、次のとおりであります。① 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称生産高(百万円)前年同期比(％)ダクタイル鋳鉄関連8,663+13.8樹脂管・ガス関連700+5.9合計9,363+13.2 (注) １. セグメント間取引はありません。２. 金額は販売価格を以って計上しております。 ② 受注実績当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称受注高(百万円)前年同期比(％)受注残高(百万円)前年同期比(％)ダクタイル鋳鉄関連15,532+12.92,561+3.9樹脂管・ガス関連1,858+1.110+197.0合計17,391+11.52,571+4.2 (注) １. セグメント間取引はありません。 ③ 販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称販売高(百万円)前年同期比(％)ダクタイル鋳鉄関連15,436+15.7樹脂管・ガス関連1,851+0.5合計17,288+13.8 (注) １. セグメント間取引については、相殺消去しております。２. 主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合 相手先前連結会計年度当連結会計年度販売高(百万円)割合(％)販売高(百万円)割合(％)太三機工㈱2,37515.62,77216.0東京ガスネットワーク㈱　（※）1,3258.71,3147.6 ※2022年４月１日より東京瓦斯㈱のガス導管事業等が東京瓦斯㈱の100％子会社である東京ガスネットワーク㈱に承継されたため、前連結会計年度の数値は東京瓦斯㈱に対する販売高及び割合を記載しております。   （2） 財政状態当連結会計年度末の総資産は、186億４百万円と前連結会計年度末と比べ８億24百万円増加しました。これは主に「現金及び預金」が９億17百万円減少したものの、有形固定資産の「機械装置及び運搬具（純額）」が２億39百万円増加、流動資産の「電子記録債権」が７億69百万円増加、「売掛金」が４億83百万円増加、「商品及び製品」が２億95百万円増加したことによるものであります。負債合計は、98億24百万円と前連結会計年度末と比べ４億36百万円増加しました。これは主に流動負債の「短期借入金」が３億円増加したことによるものであります。純資産合計は、87億80百万円と前連結会計年度末と比べ３億88百万円増加しました。これは主に配当金の支払いによる減少(70百万円)があった一方で、「親会社株主に帰属する当期純利益」３億62百万円の計上等により「利益剰余金」が増加したことによるものであります。 （3） キャッシュ・フロー当連結会計年度末における現金及び現金同等物（以下、「資金」という。）は、21億94百万円と前連結会計年度末に比べて９億17百万円の減少となりました。 （営業活動によるキャッシュ・フロー）営業活動による資金の減少は、３億80百万円(前連結会計年度は４億19百万円の増加)となりました。これは主に、増加要因としての税金等調整前当期純利益５億60百万円、減価償却費３億69百万円があった一方、減少要因としての売上債権の増加額11億39百万円があったこと等により資金の減少が資金の増加を上回ったことによるものであります。 （投資活動によるキャッシュ・フロー）投資活動による資金の減少は、７億30百万円(前連結会計年度は８億２百万円の減少)となりました。これは主に、有形固定資産の取得による支出５億56百万円によるものであります。 （財務活動によるキャッシュ・フロー）財務活動による資金の増加は、１億93百万円(前連結会計年度は１億83百万円の減少)となりました。これは主に、配当金の支払による支出70百万円があった一方で、短期借入金の増加額３億円があったこと等によるものであります。 （4） 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成に当たって用いた会計上の見積り及び仮定のうち、重要なものは、連結財務諸表「注記事項（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。  
研究開発活動	６ 【研究開発活動】当社グループ（当社及び連結子会社）は、産業活動や日々の生活に欠かせない水・エネルギー・情報・通信などを輸送・供給するための各種管材料及びその他の商品を提供することにより、社会に貢献することを会社存立の基本理念としてまいりました。そのなかで、技術対応として商品開発、施工技術の強化を行い、次世代を見据えた商品の育成を推進するとともに、外部各種団体の研究会に参加し、市場動向と研究開発の情報収集に努めてまいりました。製造部門においても、技術開発による生産性と品質の向上をはかり、収益の改善及び企業体質の強化を目指しております。当連結会計年度におけるグループ全体の研究開発費は38百万円であり、各セグメント別の研究の目的、主要課題、研究成果は次のとおりであります。 （1） ダクタイル鋳鉄関連水道用ダクタイル鉄管の主力商品である耐震管につきましては、長寿命が期待できるＧＸ形を積極的に販売しており、これら耐震管の施工性向上を目的とした開発に注力致しました。その中で、昨年度に開発を行った開削工法用接合工具（商品名：楽ちゃく）について、本年度は適用呼び径の拡大を実施し、より大きい呼び径での接合において作業の効率化が図れることを確認しております。当連結会計年度におけるダクタイル鋳鉄関連に係る研究開発費は38百万円であります。 （2） 樹脂管・ガス関連当連結会計年度における樹脂管・ガス関連に係る研究開発費の発生はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、生産の合理化及び設備の更新に重点を置き、設備投資を行っております。なお、有形固定資産のほか、無形固定資産への投資も含めて記載しております。 当連結会計年度の設備投資の総額は669百万円であり、セグメントごとの設備投資について示すと、次のとおりであります。 （1） ダクタイル鋳鉄関連提出会社において、小管鋳造　3号鋳造機コモンベース更新工事等で総額661百万円の設備投資を行いました。なお、重要な設備の除却または売却はありません。 （2） 樹脂管・ガス関連提出会社において、老朽更新工事等で総額8百万円の設備投資を行いました。なお、重要な設備の除却または売却はありません。 
主要な設備の状況	 ２ 【主要な設備の状況】（1） 提出会社2023年３月31日現在事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計日本鋳鉄管株式会社 本社他ダクタイル鋳鉄関連、樹脂管・ガス関連本社設備、事務所設備９――223151（東京都中央区他）(―)久喜工場ダクタイル鋳鉄関連鋳鉄管、鉄蓋生産設備2008392,2081563,405221( 115)（埼玉県久喜市）［  19］鉄蓋精整工場ダクタイル鋳鉄関連、樹脂管・ガス関連鉄蓋精整設備、レジンコンクリート製品生産設備５1199０117５（埼玉県久喜市）(  ３)樹脂管工場樹脂管・ガス関連樹脂管生産設備3514345０396８（埼玉県久喜市）(  ８)高崎工場 （群馬県佐波郡玉村町）ダクタイル鋳鉄関連樹脂管・ガス関連異形管、鉄蓋等製造設備43149583(  ９)３78018  （2） 国内子会社2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（百万円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計日鋳商事株式会社本社他ダクタイル鋳鉄関連、樹脂管・ガス関連リース資産(車両)等10――263745(埼玉県戸田市他) (  ―)［　２］株式会社イガラシ本社ダクタイル鋳鉄関連事務所、作業場設備等７０―７15９(埼玉県さいたま市緑区)(  ―)［　１］株式会社鶴見工材センター本社樹脂管・ガス関連倉庫設備107０―５11218(神奈川県横浜市鶴見区)(  ―)［　18］日鋳サービス株式会社本社樹脂管・ガス関連事務所、作業場設備、マグネットユンボ等74４―１8010(神奈川県横浜市鶴見区)(   ―)［　１］ 　(注) １. 現在休止中の主要な設備はありません。２. 帳簿価額のうち「その他」は、工具、器具及び備品、リース資産、建設仮勘定の合計であります。３. 提出会社においては、土地及び建物の一部を賃借しております。年間賃借料は98百万円であります。また、土地及び建物の一部を賃貸しております。年間賃貸料は32百万円であります。なお、賃借している土地の面積については、[　　] で外書きしております。 ４. 主要な設備のうち連結会社以外から賃借している主な設備内容は、下記のとおりであります。 事業所名（所在地）セグメントの名称設備の内容台数リース期間年間リース料（百万円）リース契約残高（百万円）日本鋳鉄管株式会社工場ダクタイル鋳鉄関連、樹脂管・ガス関連フォークリフト７台5年1332（埼玉県久喜市他）  
株式の総数	① 【株式の総数】 種類発行可能株式総数（株）普通株式12,800,000計12,800,000 　
発行済株式、株式の総数等	②【発行済株式】 種類事業年度末現在発行数（株）(2023年３月31日)提出日現在発行数（株）(2023年６月22日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,293,0743,293,074東京証券取引所スタンダード市場単元株式数は100株であります。計3,293,0743,293,074――   
