項目	値
事業の内容	３【事業の内容】　当社グループは、当社及び子会社３社により構成されており、ゴム電線、プラスチック電線、合成樹脂異形押出品ならびにその附属品、電熱線・帯、その他の製造販売を主たる業務としております。　主要品目は次のとおりであります。事業部門主要品目電線事業天然ゴムキャブタイヤケーブル、合成ゴムキャブタイヤケーブル、架橋ポリエチレンケーブル、溶接用ケーブル、制御用ケーブル、プラスチックキャブタイヤケーブル、プラスチックコード、その他ポリマテック事業プラスチック押出成形品、射出成形品、真空成形品、高機能チューブ、ＬＥＤ関連商品、その他電熱線事業電熱線・帯、その他 [事業系統図]　事業系統図は次のとおりであります。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 経営方針　当社の経営方針は、「ＥＳＧを中核に据え、持続的な成長を実現するため、経営資源（ヒト・モノ・カネ）の充実・強化を図る。特に「ヒト（従業員）」に重点を置き、人材確保と人材育成に努めると共に、働き甲斐のある職場づくりに真摯に取組む。」であります。 (2) 経営戦略等　経営戦略としては、「環境・社会の変化に即応し、持続的な成長を実現する為、①新分野開拓（環境・社会の変化に即応）、②新製品創出（新しいニーズに呼応した技術開発）、③新顧客増強（常に顧客を拡充しネットワーク拡大）、④新グローバル戦略推進（新たな海外市場を開拓）、以上の「４Ｓ（新）運動」を展開する。」であります。 (3) 経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、経営環境の変化に対応し、収益力を向上させる体制を強化してまいります。具体的には、連結売上高経常利益率3.0%以上を中長期的な経営目標としており、その維持向上に努めております。 (4) 経営環境今後の見通しにおきましては、ウィズコロナの下で、各種政策の効果もあって、景気が持ち直していくことが期待されますが、世界的な金融引締めによる海外景気の下振れが我が国の景気を下押しするリスク、物価上昇、供給面での制約、金融資本市場の変動等により、先行き不透明な状況で推移するものと思われます。こうした中、当社グループでは、2026年３月期を最終年度とする中期経営計画を策定し、持続可能な成長トレンドを目指してまいります。［電線事業］電線事業におきましては、ロシアのウクライナ問題の長期化や欧米を中心とした海外景気の減速への懸念、資源価格の高騰による企業業績の下押し、部品不足による生産制約の問題等はありますが、新型コロナウイルス感染症の状況に左右されないアフターコロナ期に移行し、設備投資の再開等前向きな投資が穏やかに増加すると予測されますので、対面での営業活動を一層活発化することで顧客情報を収集し、案件獲得の取り組みの行動を強化してまいります。また、当事業に関連の深い公共事業においては前年とほぼ同水準が見込まれており、当社の強みである海洋、河川土木等で使用できる水回り製品（フロートケーブル、ＥＤ－ＣＶ等）を中心に継続した販路開拓に行動力強化を図ってまいります。そして、工場においては仕入材料のコストダウンおよび生産性向上により製造原価の低減を図り、製販一体となって利益額の確保を目指します。今後も営業・工場・技術の各部門連携を強化し製品開発・新分野開拓を行い、社会に貢献できる物作りに取り組んでまいります。［ポリマテック事業］　ポリマテック事業の業績に影響する新設住宅着工戸数は2022年度と同程度と見込まれます。また、新築住宅は価格高騰を背景に低水準で推移すると見られますが低金利が続く環境を背景に消費者の購買意欲が底堅く合わせて中古戸建への住み替えによるリフォームおよびエクステリア部材の増加が見込まれます。　高機能チューブにおきましては、2023年度の上期は海外メーカーの在庫調整の影響による受注減が見込まれますが、下期は前年並みの売上増加を見込んでおり、同時に材料供給不安を解消するための新製品開発を進めてまいります。　原材料の値上げ、副資材、運送費の更なる値上げが予測される環境の中、値上げ活動による適正価格での販売と顧客への安定供給を進めてまいります。　このような市場環境の中、営業では住宅建材業界に限らず積極的に新規開拓活動を行い、情報収集と案件獲得に努めてまいります。製造では効率生産、ロス材料の再利用等、ムリ・ムダ・ムラの排除を徹底し原価低減に努めてまいります。ポリマテック事業では物流拠点の見直しを行い物流費の低減にも努めてまいります。製品開発では環境配慮型の材料を使用し環境にこだわった製品開発を進めてまいります。［電熱線事業］　電熱線事業の主要な市場である白物家電分野は、コロナ禍での「巣篭り需要」一巡に加え、インフレによる買控えが見込まれる中、市場成長が鈍化する恐れがあります。抵抗器など電子部品分野は、短期的には景気後退によるPCやスマートフォンの需要縮小から、市場成長の停滞が継続する懸念があります。このように足元におきましては予断を許さない厳しい状況が続くと予想されますが、長期的には、カーボンニュートラルの進展を背景に、自動車のEV化および電装化に伴う電子部品等の搭載点数の増加が期待される車載向けや工場自動化を背景とした産業機器向けにおける一段の需要拡大によって、市場規模は拡大傾向で推移すると予想されます。電気制御に必要な抵抗器や電熱機器の需要も同様に今後も拡大が続くものと思われます。拡大が見込めるマーケットでの新規開拓を進めるとともに、その為の取扱鋼種および関連部材の取扱拡大に引き続き注力するとともに品質および信頼性の向上や生産性向上と原価低減を図り、業績の向上に努めてまいります。 (5) 優先的に対処すべき事業上及び財務上の課題　環境・社会の変化を迅速かつ的確に捉え、その変化に伴うニーズに即応する技術開発を通じて、環境・社会に貢献することで、安定的に収益を確保するとともに持続的成長を可能とすることが、当社グループの重要な課題と考えています。　この課題を解決するため、 以下の「４Ｓ（新）運動」に取り組んでまいります。①新分野開拓　社会・環境の変化に即応し高付加価値製品を提供することで、新分野開拓を目指してまいります。②新製品創出　社会・環境のニーズを捉え、これに呼応した技術開発を行い、社会・環境に貢献する新製品を開発し、お客様にタイムリーに新製品を提供してまいります。③新顧客増強　お客様向け製品説明会の開催、業務課からの電話による営業の補強、ホームページの充実等による情報発信の強化などを通じて、顧客増強を図ってまいります。④新グローバル戦略推進　今後の成長が見込まれる海外マーケットを中心に、電線事業・ポリマテック事業・電熱線事業のグループとして新たな海外市場を開拓し、利益向上を目指してまいります。
事業等のリスク	３【事業等のリスク】　当社グループが事業を展開する上で、投資者の判断に重要な影響を及ぼす可能性のあるリスクとして、次のようなものがあります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。①　経営成績に係わる需要変動と主要原材料の価格変動について　銅及びニッケルは、国際的な需要動向と投機的要素などの影響を受けて、国内の価格が決まるという市況変動リスクがあります。市場価格が急騰した場合には、銅やニッケルの購入価格も上昇し、これをタイムリーに製品価格に転嫁出来ない場合は、経営成績及び財政状態が影響を受ける可能性があります。　また、塩化ビニル樹脂などの石油化学製品は、国際的な原油価格をベースとしたナフサ価格により変動するため、原油価格が上昇した場合はこれらの原材料価格も上昇し、適正に製品価格に転嫁出来ない場合は、経営成績及び財政状態が影響を受ける可能性があります。②　資材等の調達について　製品の製造に当たっては、製造設備や資材等が適時に投入されなければなりません。これらの製造設備や資材等の納期管理・安定調達には注力しておりますが、産地や供給者及び市況の急激な変化、大震災のような不測の事態により、納入されない場合や納入が遅延した場合など必要量の確保が困難になった場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。③　減損損失について　当社グループは、固定資産を多く保有し、固定資産の減損に係る会計基準を適用しております。大幅な経営成績の悪化や固定資産価額の下落があった場合は減損損失が発生します。　また、株式市況などが低迷した場合には、当社グループが保有する株式などの評価損の計上等、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。④　海外事業と為替変動について　海外への事業展開に伴い、海外子会社においては、現地における経済動向や、政治・社会情勢等の変化、法律や規制の変更により、事業運営に問題を生じる可能性があります。また、為替レートの変動により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑤　品質問題について　当社グループは、品質保証に最大限の努力を払っておりますが、品質問題により製品回収や保証責任が発生した場合は、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑥　取引先の信用について　当社グループは多数の取引先に信用を提供し、与信管理の徹底をしておりますが、必ずしも全額回収が保証されているわけではありません。取引先の不測の倒産等により債務不履行が発生した場合は、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑦　情報の社外流出について　当社グループは、グループ間のネットワークを構築しており、外部からの侵入を防ぐファイヤウォールの装備やウィルス対策、データ及びシステムのバックアップなどハード・ソフトの両面においてセキュリティ対策を実施しております。しかし、新種ウィルスや予期せぬ事態により、個人情報や機密情報が社外に流出した場合、顧客や取引先からの信頼の失墜や損害賠償の発生などにより、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑧　災害や事故等について　災害や事故等に対しては、緊急時の社内体制を構築しておりますが、将来発生することが予測されている東南海地震等、大規模な自然災害や事故が発生した場合、事業所の機能停止、設備の損壊、電力等の供給停止や使用制限、交通機関や通信手段の停止、サプライチェーンへの被害により、事業活動の継続に著しい支障が生じ、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑨　内部統制・コンプライアンスについて　社会的責任を果たすため、コンプライアンス規程やマニュアルなどを制定し、これを基に社員教育を行い、社内管理体制の整備による管理体制の強化と管理組織の充実を図っております。また、これらのシステムの運用状況を適宜確認し、内部統制が有効に機能するよう取り組んでおりますが、万一不祥事が発生した場合は、顧客や取引先の信頼を失墜させるなど、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑩　知的財産権について　当社グループは、特許権、商標権などの知的財産を取得し自社技術などの保護に努めるとともに、他社の知的財産について注意を払っております。　しかし、当社グループの製品が意図せず他社の知的財産権を侵害した場合、争議が発生したり、販売中止、製造方法・設計の変更などの処置を取らざるを得ない状況が生じ、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。⑪　新型コロナウイルス感染拡大のリスク新型コロナウイルスの世界的な感染拡大により、当社の事業活動に係る生産体制、物流体制、又は営業活動に支障が生じた場合、また、人的被害が拡大した場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 ①財政状態及び経営成績の状況　当連結会計年度におけるわが国経済は、新型コロナウイルス感染症における行動制限の緩和などにより社会経済活動に回復の動きが見受けられるものの、新型コロナウイルス感染症の再拡大、ウクライナ情勢による資源価格の高騰や供給面での変動に加え、急激な円安などの為替変動の懸念により、依然として景気の先行きは不透明な状況で推移いたしました。　当社グループに関連する事業環境におきましては、設備投資においては持ち直しの動きがみられ、公共投資は底堅い動きとなりましたが、電線事業の業界およびポリマテック事業の業界におきましては材料価格の高騰や銅価格の変動の影響を受け厳しい状況が続いております。一方で、電熱線事業は引き続き産業用ロボット向け抵抗器など抵抗器向け需要を中心に好調に推移しておりましたが、その後、世界経済の失速や在庫調整の動きが出始めたことで需要が落ち込みました。　この結果、当連結会計年度の財政状態及び経営成績は以下のとおりとなりました。 ａ．財政状態　当連結会計年度末の資産合計は、前連結会計年度末に比べ531百万円増加し、10,950百万円となりました。　当連結会計年度末の負債合計は、前連結会計年度末に比べ629百万円増加し、4,878百万円となりました。　当連結会計年度末の純資産合計は、前連結会計年度末に比べ98百万円減少し、6,072百万円となりました。 ｂ．経営成績　売上高につきましては、材料価格の高騰や銅価格の変動により、前年同期に比べ増加となりました。　営業利益につきましては、原材料価格や電気料金の高騰により、前年同期に比べ減益となりました。　経常利益につきましては、前年同期に比べ減益となりました。　親会社株主に帰属する当期純利益につきましては、株主提案対応費用や訴訟関連損失が発生したため、当期純損失となりました。　その結果、当連結会計年度における売上高は9,946百万円（前年同期比8.3％増）、営業利益は155百万円（前年同期比34.5％減）、経常利益204百万円（前年同期比32.3％減）、親会社株主に帰属する当期純損失は68百万円（前年同期は親会社株主に帰属する当期純利益281百万円）となりました。 セグメント別の経営成績は、次のとおりであります。    ［電線］電線事業の主要な市場である建設・電販は、政府による行動制限の緩和により、経済活動の正常化が進展したものの、歴史的な高インフレにより欧米など多くの国、地域では厳しい金融引き締め、ウクライナ情勢による物価高騰や物資不足、そして工事業者の人員不足などの影響により電線市場も一部を除いて回復ペースは低調な状況でありました。販売量におきましてはプラスチック電線が大きく減少しましたが、国内銅価格は1,209千円／トン（期平均）と高値で推移したことで、売上高は6,921百万円（前年同期比9.0％増）となりました。セグメント利益におきましては、原材料価格の値上がりおよび電気料金の値上げ等による動力費の増加のため、ユーティリティ価格等の諸費用の価格転嫁、高付加価値製品の販売強化、継続的な経費削減等に取り組みましたが、海外子会社からの仕入による為替の影響、他社との競合等によりセグメント利益は69百万円（前年同期比48.9％減）となりました。      ［ポリマテック］　ポリマテック事業に関連性のある新設住宅着工戸数は賃貸住宅の着工戸数が増え86万戸となりました。前期下期より受注状況が回復した土木工事関連部材は堅調に推移し、業務体制の見直しの影響を受けたオフィス関連部材も下期に持ち直しましたが年間を通して低調な市況の影響と新規顧客獲得および既存顧客での拡販案件獲得も売上の底上げには繋がりませんでした。一方で材料価格および電気料金の値上げ分を価格転嫁したことにより、売上高は1,920百万円（前年同期比3.5％増）となりました。　過去に獲得した新規顧客の売上も業績に貢献し始め、当期は建材分野以外の新規顧客も獲得し、取引業界が広がりました。　高機能チューブにおきましては、海外向けチューブが好調で当期も安定した売上を計上しました。なお、2025年に海外メーカーのフッ素樹脂生産打ち切りという課題はありますが、来期中に代替え材料での顧客承認を目指しております。　製造ではロス材料の有効活用、歩留まり率向上に向けた金型メンテナンス等を実施し効果が出始めております。　セグメント利益におきましては、生産性の改善、コスト削減と製品価格の値上げに取り組みましたが、電気料金値上げの影響が大きく、併せて原材料・副資材・運送費の度重なる値上げの影響を受けセグメント損失は２百万円（前年同期はセグメント利益４百万円）となりました。    ［電熱線］　電熱線事業に関連する経営環境におきましては、年度上期は半導体不足など部品不足の影響による減産、上海ロックダウンの影響による生産調整の動きなどが見られましたが、こういったサプライチェーンの混乱対策として在庫積み増しの動きが強まったことや抵抗器向け需要が堅調に推移しました。年度下期は、歴史的な物価高、急速な利上げ、中国のロックダウン、資源高等により世界経済の失速感や不透明感が強くなる中、供給網混乱対応として積み上げた過剰在庫を調整する動きが表面化し、受注環境は厳しいものとなりました。しかし、新型コロナウイルス感染拡大前に比べて、抵抗器向け受注を中心に業績のベースが底上げされたことや、競合他社との差別化戦略により新規開拓やシェアアップに繋げた結果、売上高は1,104百万円（前年同期比12.9％増）となりました。　セグメント利益におきましては、受注環境が厳しい中にあって、比較的付加価値の高い鋼種や極細線製品および帯製品の受注は比較的好調に推移しました。主要原材料であるニッケル価格の高騰や諸資材の値上がりを背景に、価格転嫁するべく値上げを実施しましたが、値上げ前の駆け込み受注の影響や、子会社設立50周年行事などの費用発生もあり、セグメント利益は89百万円（前年同期比8.4％減）となりました。 ②キャッシュ・フローの状況　当連結会計年度における現金及び現金同等物は、税金等調整前当期純損失46百万円を計上しましたが、仕入債務の増加や長期借入れによる収入等を総合し、当連結会計年度末には1,616百万円となりました。　営業活動によるキャッシュ・フローでは、104百万円の獲得（前連結会計年度は352百万円の使用）となりました。これは主に、税金等調整前当期純損失46百万円（前連結会計年度は税金等調整前当期純利益413百万円）や減価償却費195百万円（前連結会計年度は220百万円）、仕入債務の増加127百万円（前連結会計年度は465百万円の増加）および棚卸資産の増加56百万円（前連結会計年度は647百万円の増加）や売上債権の増加87百万円（前連結会計年度は533百万円の増加）があったことによるものであります。　投資活動によるキャッシュ・フローでは、35百万円の獲得（前連結会計年度は28百万円の獲得）となりました。これは主に、投資有価証券の売却による獲得127百万円（前連結会計年度は137百万円の獲得）および有形固定資産の取得による支出77百万円（前連結会計年度は96百万円の使用）によるものであります。　財務活動によるキャッシュ・フローでは、414百万円の獲得（前連結会計年度は348百万円の使用）となりました。これは主に、短期借入金の純増額364百万円（前連結会計年度は13百万円の純増）によるものであります。  ③生産、受注及び販売の実績(1）生産実績　当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前期比（％）電線（千円）6,090,657109.3ポリマテック（千円）1,315,996108.8電熱線（千円）784,808117.1合計（千円）8,191,462110.0　（注）金額は製造原価によっております。 (2）製品・商品仕入実績　当連結会計年度の製品・商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前期比（％）電線（千円）236,82889.4ポリマテック（千円）299,182100.6電熱線（千円）95,285102.4合計（千円）631,29696.3　（注）金額は仕入価格によっております。 (3）受注実績１）電線は原則として見込み生産を行っているため、該当事項はありません。２）ポリマテック及び電熱線は受注生産を行っておりますが、受注から生産、出荷に至る期間はきわめて短期であり、受注残高も少額のため、受注実績の記載を省略しております。(4）販売実績　当社グループの商品、製品の販売は、主に問屋、電材店、商社を通じて行うほか、ユーザーに直接販売しております。当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前期比（％）電線（千円）6,921,861109.0ポリマテック（千円）1,920,628103.5電熱線（千円）1,104,353112.9合計（千円）9,946,843108.3　（注）１．セグメント間の取引については相殺消去しております。　　　　２．最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度（自　2021年４月１日至　2022年３月31日）当連結会計年度（自　2022年４月１日至　2023年３月31日）金額（千円）総販売実績に対する割合（％）金額（千円）総販売実績に対する割合（％）泉州電業株式会社1,828,27019.91,915,19819.3  (２）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められる会計基準に基づき作成されております。 ②当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容ａ．経営成績等　(1）財政状態　当連結会計年度末の資産につきましては、流動資産は7,508百万円（前期比633百万円増）となりました。これは主に、現金及び預金の増加544百万円、売掛金の増加67百万円、電子記録債権の増加52百万円によるものであります。固定資産は3,442百万円（前期比102百万円減）となりました。これは主に、投資有価証券の減少58百万円と建物及び構築物の減少29百万円によるものであります。この結果、資産合計は10,950百万円（前期比531百万円増）となりました。　負債につきましては、流動負債3,364百万円（前期比536百万円増）となりました。これは主に、短期借入金の増加367百万円、電子記録債務の増加130百万円、支払手形及び買掛金の増加38百万円によるものであります。固定負債は1,513百万円（前期比93百万円増）となりました。これは主に、長期借入金の増加156百万円、リース債務の減少48百万円によるものです。この結果、負債合計は4,878百万円（前期比629百万円増）となりました。　純資産につきましては、6,072百万円（前期比98百万円減）となりました。これは主に、利益剰余金の減少137百万円、為替換算調整勘定の増加12百万円、資本剰余金の増加10百万円、その他有価証券評価差額金の増加８百万円によるものであります。 　(2）経営成績　当連結会計年度における売上高は9,946百万円（前年同期比8.3％増）、営業利益は155百万円（前年同期比34.5％減）、経常利益は204百万円（前年同期比32.3％減）、親会社株主に帰属する当期純損失は68百万円（前年同期は親会社株主に帰属する当期純利益281百万円）となりました。　①売上高　　　第２[事業の状況]　４[経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析]　(1)経営成績等の状況の概要　①財政状態及び経営成績の状況に記載しております。　②営業利益、経常利益　　　販売費及び一般管理費は前期比18百万円(前期比1.2％)増加しました。これは主に給与手当で11百万円増加したことによります。　　　これらにより、営業利益は155百万円となり、前連結会計年度に比べて81百万円の減少となりました。また、経常利益は204百万円となり、前連結会計年度に比べて97百万円の減少となりました。　③親会社株主に帰属する当期純利益　　　特別利益には、投資有価証券売却益52百万円を計上し、特別損失には訴訟関連損失169百万円や株主提案対応費用133百万円を計上しました。また、法人税、住民税及び事業税46百万円、法人税等調整額△25百万円の計上により、親会社株主に帰属する当期純損失は68百万円となり、前連結会計年度に比べて349百万円の減少となりました。 (3) キャッシュ・フローの状況の分析　　キャッシュ・フローの状況の分析につきましては、第２[事業の状況]の４[経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析]　(1)経営成績等の状況の概要　②キャッシュ・フローの状況に記載のとおりであります。 (4) 経営方針・経営戦略、経営上の目標の達成状況を判断するための客観的な指標　当社グループは、経営環境の変化に対応し、収益力を向上させる体制を強化してまいります。具体的には、連結売上高経常利益率3.0%以上を中長期的な経営目標としており、その維持向上に努めております。　当連結会計年度におきましては、連結売上高経常利益率は、原材料価格や電気料金の高騰の影響により、2.1％(前期同期比1.2％減)となりました。今後につきましては、経営戦略の「４Ｓ（新）運動」を強力に推進し、経営目標の維持、向上ができるように取り組んでまいります。    目標指標目標値前連結会計年度当連結会計年度前期比増減連結売上高経常利益率3.0％以上3.3％2.1％△1.2％  ｂ．経営成績等の状況に関する認識及び分析・検討内容　当社グループの事業は、日本経済の影響を受けることになります。特に設備投資や住宅建設などの動向は需要量の変動につながり、当社グループの売上高・受注量は影響を受けることになります。　当社が購入している原材料におきましては、銅、ニッケル及び原油価格等の市場価格の動向により、変動リスクを受けます。銅の購入に関しては、当用買いを行う事により市場価格に連動した購入を行っており、ニッケルについては価格変動の影響を軽減するように計画的な購買を行っております。　為替動向におきましては、海外取引や外貨建債権債務の増加による為替換算差額が事業に影響を与える可能性があります。当社としては、為替予約等のリスクヘッジに取り組むことで対応していきます。　繰延税金資産の回収可能性の判断におきましては、綿密なスケジューリングを行っておりますが、多額の欠損金が発生した場合には経営成績に影響を与える可能性があります。　その他の経営に影響を与える要因につきましては、第２[事業の状況]の３[事業等のリスク]に記載しております。 ｃ．資本の財源及び資金の流動性資金需要　当社グループの運転資金需要のうち主なものは、原材料の購入費用のほか、製造費、販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要は、機械設備等の新規購入、資本的支出のほかに子会社の工場関連への投資費用であります。 財務政策　当社グループは、事業運営上必要な流動性と資金の源泉を安定的に確保することを基本方針としております。　短期運転資金は自己資金及び金融機関からの短期借入を基本としており、設備投資や長期運転資金につきましては、金融機関からの長期借入を基本としております。　なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は2,206百万円となっております。また、当連結会計年度末における現金及び現金同等物の残高は1,616百万円となっております。 (5) 重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般的に公正妥当と認められる会計基準に基づき作成されております。連結財務諸表の作成に際しては、決算日における資産・負債の報告数値及び偶発債務の開示、報告期間における収益・費用の報告数値に影響を与える見積り等を行わなければなりません。しかし、事前に予測不能な不確実性が存在するため、実際の結果が現時点での予測と異なる場合があります。当社グループにおいて、連結財務諸表で採用した重要な会計方針は、「第５　[経理の状況]　１[連結財務諸表等]　(1)[連結財務諸表注記事項　重要な会計上の見積り]」に記載しております。 
経営上の重要な契約等	５【経営上の重要な契約等】　　該当事項はありません。
研究開発活動	６【研究開発活動】　当社グループは益々高度化、多様化する市場と顧客ニーズに対応するため、製品の研究開発に取り組んでおります。　電線事業では、取扱商品の拡大に向けて顧客への訪問活動強化により要求されている材料の開発・研究・設計をふまえて新たな商品の開発・改良に取り組んでおります。　ポリマテック事業では、災害や環境を重視した市場要求に応えるため、防火製品、高断熱製品及び再生材料を使用した製品の開発に取り組んでおります。　電熱線事業では、銅合金系の鋼種を中心に取扱製品の拡大及び新用途製品の立ち上げを推進しております。　当連結会計年度における当社グループ全体の研究開発費は4百万円であります。なお、各セグメント毎の研究開発費の区分は困難であるため、研究開発費は総額で記載しております。
設備投資等の概要	１【設備投資等の概要】　当社グループでは、当連結会計年度において電線事業を中心に121,836千円の設備投資を実施しました。　電線事業においては、73,687千円の設備投資を行いました。その主な内容は、当社の滋賀工場の缶加加硫缶20,090千円であります。　ポリマテック事業においては、20,145千円の設備投資を行いました。その主な内容は、当社の羽曳野工場のアニール処理用恒温室6,000千円であります。　電熱線事業においては、21,742千円の設備投資を行いました。その主な内容は、子会社であるシルバー鋼機㈱の連続伸線15号機11,000千円であります。 
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、次のとおりであります。(1）提出会社2023年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数(人)建物及び構築物(千円)機械装置及び運搬具(千円）土地（千円）(面積㎡)その他（千円）合計(千円)本社及び大阪支店（大阪市中央区）電線・ポリマテック・管理スタッフ部門統轄業務・販売設備16,571－－(－)8,76125,33342(6)滋賀工場（滋賀県甲賀市）電線電線生産設備286,737109,829237,500(44,822.00)33,461667,52862(22)羽曳野工場（大阪府羽曳野市）ポリマテック合成樹脂製品生産設備他50,09927,080674,672(18,839.74)6,213758,06634(27)東京支店（東京都中央区）電線・ポリマテック販売設備5,988615－(－)2,4679,07213(4)九州支店（福岡市南区）電線販売設備10,917322204,742(935.72)28216,0106(4)その他厚生施設等その他寮・賃貸倉庫等21,1870228,457(4,428.89)0249,6456(3)　（注）１．投下資本の金額は、有形固定資産の帳簿価額であり、建設仮勘定は含まれておりません。２．本社には543.25㎡の賃借中の建物があります。３．東京支店には273.14㎡の賃借中の建物があり、その他には2,273.93㎡の賃貸中の土地と、774.75㎡の賃貸中の建物があります。４．帳簿価額のうち「その他」は、工具、器具、備品及びリース資産であります。５．従業員数の（　）は、臨時雇用者数を外書しております。６．2023年４月１日付で滋賀工場は、電線事業 工場、羽曳野工場は、ポリマテック事業 工場に名称変更いたしました。 (2）国内子会社 2023年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）(面積㎡)その他（千円）合計（千円）シルバー鋼機㈱本社(東京都中央区)電熱線統轄業務・販売設備5,291－－(－)4,4519,743７(3)シルバー鋼機㈱本庄工場(埼玉県本庄市)電熱線電熱線・帯生産設備250,22223,533113,670(3,970.58)15,327402,75421(1)シルバー鋼機㈱児玉工場(埼玉県児玉郡上里町)電熱線倉庫375－11,963(1,063.55)－12,338－(－)　（注）１．投下資本の金額は、有形固定資産の帳簿価額であり、建設仮勘定は含まれておりません。２．帳簿価額のうち「その他」は、工具、器具、備品及びリース資産であります。３．従業員数の（　）は、臨時雇用者数を外書しております。(3)在外子会社2023年３月31日現在 会社名所在地セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物(千円)機械装置及び運搬具(千円)土地(千円)(面積㎡)その他(千円)合計(千円)MITSUBOSHI PHILIPPINES CORPORATION フィリピン共和国カビテ州電線・ポリマテック電線・合成樹脂製品生産設備3,54015,959－(－)120,067139,56745(19)MITSUBOSHI REALTY CORPORATION フィリピン共和国カビテ州その他賃貸設備195,372－53,464(7,350.00)－248,836１(－)　（注）１．投下資本の金額は、有形固定資産の帳簿価額であり、建設仮勘定は含まれておりません。　　　　２．帳簿価額のうち「その他」は、工具、器具、備品及びリース資産であります。　　　　３．MITSUBOSHI PHILIPPINES CORPORATIONには、MITSUBOSHI REALTY CORPORATIONより賃借中の土地7,350㎡、建物5,082㎡があります。　　　　４．従業員数の（　）は、臨時雇用者数を外書しております。  
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式3,800,000計3,800,000（注）2023年３月24日開催の取締役会決議により、2023年４月21日付で株式分割に伴う定款の変更が行われ、発行可能株式総数は7,600,000株増加し、11,400,000株となっております。
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月28日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,266,6553,799,965東京証券取引所スタンダード市場単元株式数100株計1,266,6553,799,965－－（注）2023年３月24日開催の取締役会決議により、2023年４月21日付で普通株式１株につき３株の割合で株式分割を行っております。これにより、発行済株式総数は2,533,310株増加し、3,799,965株となっております。 
