項目	値
事業の内容	２【事業の内容】　当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　2023年５月１日付で、当社を吸収合併存続会社、当社の連結子会社であったJapan Eyewear Holdings株式会社を吸収合併消滅会社とする吸収合併を行い、当社社名を　Japan Eyewear Holdings株式会社に変更しております。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期連結累計期間において、新たな事業等のリスクの発生、又は、有価証券届出書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 (1）財政状態の状況　当第３四半期連結会計期間末の資産合計は、前連結会計年度末に比べ989百万円増加し、32,160百万円となりました。これは主に、現金及び現金同等物が317百万円増加、有形固定資産が444百万円増加したことなどによるものです。　当第３四半期連結会計期間末の負債合計は、前連結会計年度末に比べ605百万円減少し、21,483百万円となりました。これは主に、借入金（非流動）431百万円、未払法人所得税が343百万円減少したことなどによるものです。　当第３四半期連結会計期間末の資本合計は、前連結会計年度末に比べ1,595百万円増加し、10,677百万円となりました。これは主に、四半期利益1,546百万円を計上したことなどによるものです。 (2）経営成績の状況　当社グループは、世界を代表する眼鏡生産地「福井・鯖江」の熟練したクラフトマンシップにより自社で企画・デザインする高品質のアイウェアを製造し、ブランドの世界観を表現した独自の店舗を中心に販売しております。当第３四半期連結累計期間におけるわが国経済は、新型コロナウイルス感染症の感染者数が減少し、さらには2023年５月に「新型コロナウイルス感染症（いわゆる２類相当）」が「５類感染症」へ移行したことにより、新型コロナウイルス感染症による影響は収束しつつあり、個人消費は回復基調にあります。また、2022年10月から日本への入国における制限が緩和され、１日あたりの新規入国者数の上限が撤廃されたことなどから、インバウンド需要が拡大しております。一方、ロシア・ウクライナ情勢の長期化による地政学上のリスクや円安などの影響による原材料・物流費・光熱費等の高騰など、先行き不透明な状況も続いております。　このような状況下で当社グループは、「顧客数回復による売上増加」、「フレーム販売価格の見直し」、「国内外における新規出店の推進」を軸として事業展開を継続しており、当社グループの主要ブランドである金子眼鏡、フォーナインズともに国内外のお客様から高い支持をいただいております。　以上の結果、当第３四半期連結累計期間の経営成績は、売上収益9,689百万円（前年同期比27.8％増）、営業利益2,680百万円（前年同期比85.0％増）、税引前四半期利益2,365百万円（前年同期比161.5％増）、四半期利益1,546百万円（前年同期比346.0％増）となりました。 　当第３四半期連結累計期間における事業セグメント別の売上収益の状況は以下のとおりであります。〔金子眼鏡〕　金子眼鏡グループでは、国内個人消費の回復やインバウンド需要の拡大により、店舗販売が堅調に推移しています。インバウンド顧客向け店舗販売は2022年10月以降急速に回復しコロナウイルス感染拡大前を超える水準となりました。また、当第３四半期連結累計期間において新規出店計６店舗（国内５店舗、海外１店舗）を実施した結果、店舗数は81店舗（国内78店舗、海外３店舗）となりました。なお、2023年４月、中国・上海において中国１号店となる武康庭376店をオープンしました。　以上の結果、金子眼鏡事業の売上収益は6,188百万円（前年同期比30.7％増）、セグメント利益は2,086百万円（前年同期比68.1％増）となりました。 〔フォーナインズ〕　フォーナインズグループでは2023年１月に販売価格を改定したことに加えて、直営店における国内顧客の回復及びインバウンド顧客の増加と相俟って、店舗販売は順調に推移しています。また、当第３四半期連結累計期間において国内新規出店１店舗を実施し、店舗数は13店舗（国内12店舗、海外１店舗）となりました。卸売事業についても、2023年４月に実施した新型商品展示会において国内、海外ともに前期を上回る受注額を獲得しております。さらには、コスト改善にも継続的に取り組んでおり、人件費、広告宣伝費をはじめとした費用支出の見直しを行い、環境変化に対応しやすい経営体質への転換を図っております。　以上の結果、フォーナインズ事業の売上収益は3,501百万円（前年同期比23.0％増）、セグメント利益は922百万円（前年同期比119.7％増）となりました。 (3）キャッシュ・フローの状況　当第３四半期連結累計期間における現金及び現金同等物は、前連結会計年度末に比べ317百万円増加し、2,526百万円となりました。各キャッシュ・フローの状況とそれらの要因は次のとおりです。 （営業活動によるキャッシュ・フロー）　営業活動の結果獲得した資金は、2,215百万円（前年同期比8.4％増）となりました。これは主に、税引前四半期利益2,365百万円並びに減価償却費及び償却費1,089百万円の計上等があった一方で、法人所得税の支払額1,152百万円や利息の支払額274百万円等があったことによるものです。 （投資活動によるキャッシュ・フロー）　投資活動の結果使用した資金は、589百万円（前年同期比112.6％増）となりました。これは主に、店舗増加に伴う有形固定資産の取得による支出520百万円によるものです。 （財務活動によるキャッシュ・フロー）　財務活動の結果使用した資金は、1,371百万円（前年同期比22.4％増）となりました。これは長期借入金の返済による支出475百万円、リース負債の返済による支出896百万円によるものです。 (4）会計上の見積り及び当該見積りに用いた仮定　有価証券届出書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の重要な会計上の見積り及び当該見積りに用いた仮定の記載については、重要な変更はありません。 (5）経営方針・経営戦略等　当第３四半期連結累計期間において、当社グループの経営方針・経営戦略等について重要な変更はありません。 (6）優先的に対処すべき事業上及び財務上の課題　当第３四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 (7）研究開発活動　該当事項はありません。 (8）経営成績に重要な影響を与える要因　当第３四半期連結累計期間において、新たに経営成績に重要な影響を与える要因についての変更はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式90,000,000計90,000,000  
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2023年10月31日）提出日現在発行数（株）（2023年12月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式22,544,26023,944,260東京証券取引所スタンダード市場権利内容に制限のない、当社における標準となる株式であり、単元株式数は100株であります計22,544,26023,944,260－－（注）１．　当社株式は2023年11月16日に東京証券取引所スタンダード市場に上場しております。（注）２．　上場に伴い、2023年11月15日を払込期日とする、公募による株式1,400,000株を発行しております。 
