項目	値
事業の内容	３【事業の内容】　当社グループは、当社及び㈱ニュー・オータニ（その他の関係会社）から構成されております。 　各社の事業内容並びに当社との取引関係は下記のとおりであります。会社名 事業内容 当社との取引関係 ㈱ニュー・オータニ ホテル業 当社との取引はありません。  　当社グループが営んでいる主な事業は架線金物、鉄塔・鉄構の製造・販売及び、建築用スタッド、免震ベースプレートの製造・販売・施工であります。事業に係る位置づけは次のとおりであります。  （注）１．電力通信部門の取扱品目は、主に架線金物及び鉄塔・鉄構であります。２．建材部門の取扱品目は、主に建築用スタッド、免震ベースプレートであります。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社の経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 (1) 会社の経営の基本方針　当社は1946年の創業以来、豊富な知識・高度な技術で鉄に生命の息吹を与え「豊かな社会を築き上げる」ことを理念としており、経営方針として「目標達成、調和、志気高揚」を掲げております。本邦において基幹インフラ（電力・通信業等）の一翼を担っているとの矜持を忘れず、「安心・安全・高品質」な製品をお届けする「社会に継続していく意義のある企業」として貢献し続けたいと念願しております。 (2) 目標とする経営指標　当社は毎期安定的な利益を継続的に確保するとともに、株主利益重視と経営効率化の観点から総資本利益率（ＲＯＡ）、自己資本比率及び配当性向の向上に努力してまいります。 (3) 中長期的な会社の経営戦略　当社製品は、電力会社、通信会社、建設会社を主なお客様として、インフラや各種建物の建築資材として用いられ、その信頼性・安全性を支える一端を担っております。今後もこれまでに培ってきたノウハウや金属加工技術を駆使しお客様の要望に最大限応えることができるよう「提案型」の営業に注力するとともに、膜天井金物など架線金物以外の製品についても営業努力を図り、大型鋼材から小物まで処理できるメッキ設備を活かし新分野での製品開発にも努めて参ります。 (4) 経営環境及び優先的に対処すべき事業上・財務上の課題　今後も安定的な成長をするために下記の点を重要課題として取り組んでおります。① 「令和6年能登半島地震」の影響により、被害地域の設備の復旧状況は未だ進捗途中であります。地域社会インフラ復旧に向けて、当社は最優先事項として、電力会社の要望に応えて参ります。 ② 電力業界、通信業界は、自発工事を中心に劣化電柱の建替工事や支持物の取替工事、保守関連工事等が引き続き多くなると見込んでおりますが、工事会社の人手不足による進捗遅延が継続的な課題となっております。出荷状況をタイムリーに把握し、即納体制をPRしながらシェアの確保を確実なものとして参ります。 ③ 建設業界は、大型の再開発事業や物流施設の建設など、建築需要が高い状態が続いておりますが、2024年度は踊り場状態との見方が強く、大型物件が少ない状況となっております。これは建設コストの見直しや、2024年問題による輸送・施工手不足による工期遅れなどが懸念されるためです。少しでも多くの物件が受注できるよう細かな営業活動を展開して参ります。 ④ 物流費においては業容の拡大とともに、取引先の遠距離化・小口注文による発送頻度増など、運送費が増加する傾向にあります。売上を増加させる一方で、如何にして物流費負担を軽減し利益を確保するかが課題であると認識しております。 
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項として、経営者が提出会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、本項に記載した将来に関する事項は、当事業年度末現在において、当社が判断したものであります。（1) 事業環境の変化に伴うリスク当社の営業基盤を大別すると、電力通信関連と建材関連となります。事業環境の変化への対応として、電力通信関連では営業部門による市場動向の調査および営業推進部門・開発部門によるVAを含めた提案と市場の開拓を行っています。また、建材関連においては、営業部門による新規顧客の獲得、営業推進部門による新分野の開拓ならびに開発部門による顧客ニーズへの対応を行っています。しかしながら、各市場の景気動向、ニーズの変化への的確な対応ができない場合、中長期的な業績および財務状況に影響を及ぼすリスクとなります。また、国際情勢の悪化や、景気の冷え込みに伴う設備投資や建築需要の抑制は、当社の業績および財務状況に影響を及ぼすリスクとなります。 （2) 原材料等の価格変動によるリスク当社の生産に必要な原材料においては、市況価格のモニタリングを行っております。また、仕入先および外注先においては良好な関係を保つことで円滑なサプライチェーンを築いております。しかしながら、原材料や副資材、外注加工品の価格が原価管理上想定以上の高騰により製造コストの上昇が生じた場合は、採算性の悪化により当社の業績および財務状況に影響を及ぼすリスクとなります。 （3) 事故・災害発生によるリスク当社においては各事業所において労働安全衛生活動を推進することで、安全確保に努めています。また、大規模地震等の自然災害発生時への備えとして、事業継続計画の策定、社員安否確認システムの構築、耐震対策、防災訓練を行っております。しかしながら、想定を超える規模の事故・災害が発生し、設備の損傷や物流の寸断等により顧客への製品供給に支障を生じた場合は、当社の業績および財務状況に影響を及ぼすリスクとなります。 （4) 製品の品質に関するリスク当社の生産部門、販売部門においては、ISO規格認証を受けた品質マネジメントシステムを活用し、製品の品質保証はもとより、当社およびサプライチェーンの品質管理体制と顧客満足度をモニタリングすることで製品品質の信頼性・安定性を継続的に確保できるよう努めています。しかしながら、予期せぬ製品の欠陥が判明し、大規模な製品の回収・返金・無償交換等の措置による費用の発生ならびに当社信頼性の低下に及んだ場合は、当社の業績および財務状況に影響を及ぼすリスクとなります。 （5) 法令違反によるリスク当社では、法的要求事項への対応としてコンプライアンス宣言とともにコンプライアンスマニュアル・行動規範を策定しております。また、社員に対するコンプライアンス教育と行動規範の周知を行い、法令遵守の徹底に努めています。しかしながら、法令に反する事象が発生し、当社の社会的信用が低下した場合は、当社の業績や財務状況に影響を及ぼすリスクとなります。 （6) 情報流出によるリスク当社では、情報資産を適切に管理するために情報セキュリティ要領を策定し、全社員へ周知のうえ、遵守・徹底に努めています。しかしながら、情報が外部に流出し、当社の社会的信用が低下した場合は、当社の業績や財務状況に影響を及ぼすリスクとなります。 （7) 保有資産の価格変動によるリスク　当社が保有する資産（有形固定資産、投資有価証券）において著しい価格下落が生じ、減損または評価損が発生する場合は、当社の業績および財務状況に影響を及ぼすリスクとなります。 （8) 債権回収に関わるリスク建材部門における施工付きスタッド販売においては、設計数量をもとに受注金額を決定し、施工数量に応じて収益を得る契約としていますが、工事案件によっては工事完了前に受注金額を超過することがあり、その超過部分について設計変更内容と施工状況の精査を含めた顧客との価格交渉になることがあります。当社においては月次に売掛金残高を確認することにより債権回収状況をモニタリングしておりますが、工事案件の交渉状況により、長期にわたり債権回収できない取引が発生した場合は、当社の業績および財務状況に影響を及ぼすリスクとなります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当事業年度における当社の財政状態、経営成績及びキャッシュ・フローの状況の概要は次のとおりであります。 ① 財政状態及び経営成績の状況　当事業年度における我が国の経済は、雇用・所得環境が改善する下で、各種政策の効果もあって、穏やかな回復が続くことが期待されています。ただし、世界的な金融引締めに伴う影響や中国経済の先行き懸念など、海外景気の下振れが我が国の景気を下押しするリスクとなっております。また、物価上昇、中東地域をめぐる情勢、金融資本市場の変動、さらには「令和6年能登半島地震」等の災害が経済に与える影響に十分注意する必要があります。　当社の主要な取引先である電力業界は、当事業年度よりレベニューキャップ制度（新託送料金制度）が導入されるなど、大きな変革の時期を迎えております。　建設業界は、首都圏を中心とした再開発や物流倉庫、データセンターなどの計画・需要が高い状態が続いておりますが、一方で、建設コストの見直しや人手不足による工期遅れ、物流の2024年問題といった懸念事項も表面化されてきております。 ａ．財政状態　総資産は前事業年度末に比べ961百万円増加し7,189百万円となりました。これは主に現金及び預金393百万円、棚卸資産391百万円、有形及び無形固定資産126百万円、投資有価証券47百万円の増加によるものです。　負債は前事業年度末に比べ618百万円増加し3,462百万円となりました。これは主に未払費用71百万円、長期借入金（１年内返済予定の長期借入金を含む）475百万円、未払消費税等31百万円の増加によるものです。　純資産は前事業年度末に比べ343百万円増加し3,726百万円となりました。これは主に当期純利益334百万円の計上と、配当金23百万円の支払によるものです。 ｂ．経営成績　当事業年度の経営成績は、売上高は7,911百万円と前期比722百万円（10.0％）の増加となりました。　利益面では売上総利益は1,547百万円と前期比257百万円（19.9％）の増加、営業利益は420百万円と前期比169百万円（67.8％）の増加、経常利益は426百万円と前期比168百万円（65.5％）の増加となりました。また、当期純利益は334百万円と前期比160百万円（92.4％）の増加となりました。 　セグメントの業績は、次のとおりであります。（電力通信部門）　売上高は4,604百万円と前期比618百万円（15.5％）の増加、セグメント利益は701百万円と前期比185百万円（35.9％）の増加となりました。 （建材部門）　売上高は3,307百万円と前期比103百万円（3.2％）の増加、セグメント利益は149百万円と前期比34百万円（29.9％）の増加となりました。 ② キャッシュ・フローの状況　当事業年度末における現金及び現金同等物（以下「資金」という）は前事業年度末に比べ393百万円増加し1,558百万円となりました。当事業年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 （営業活動によるキャッシュ・フロー）　当事業年度において営業活動の結果得られた資金は、183百万円（前年同四半期は112百万円の獲得）となりました。これは主に償却・税引前の当期利益574百万円を計上したこと、棚卸資産の増加額391百万円、法人税等の支払額126百万円によるものです。 （投資活動によるキャッシュ・フロー）　当事業年度において投資活動の結果使用した資金は241百万円（前年同四半期は150百万円の使用）となりました。これは主に有形及び無形固定資産の取得による支出254百万円によるものです。 （財務活動によるキャッシュ・フロー）　当事業年度において財務活動の結果得られた資金は451百万円（前年同四半期は23百万円の使用）となりました。これは主に長期借入れによる収入500百万円、長期借入金の返済による支出25百万円、配当金の支払額23百万円によるものです。③ 生産、受注及び販売の実績ａ．生産実績　当事業年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称生産高（千円）前年同期比（％）電力通信部門3,231,6655.1建材部門1,717,66810.6合計4,949,3337.0（注）金額は、標準原価によっております。 ｂ．商品仕入実績　当事業年度における商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称仕入高（千円）前年同期比（％）電力通信部門248,12914.3建材部門1,239,517△0.7合計1,487,6471.6（注）金額は、実際仕入価格によっております。 ｃ．受注実績　当事業年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高（千円）前年同期比（％）受注残高（千円）前年同期比（％）電力通信部門4,772,57618.5730,68229.9建材部門3,137,034△0.2626,863△21.4合計7,909,61010.31,357,546△0.1（注）金額は、販売予定価格によっております。 ｄ．販売実績　当事業年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高（千円）前年同期比（％）電力通信部門4,604,30815.5建材部門3,307,2373.2合計7,911,54510.0（注）主な相手先の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。 相手先前事業年度当事業年度販売高（千円）割合（％）販売高（千円）割合（％）北陸電力送配電㈱767,20410.67904,90511.44  (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次の通りであります。なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 ① 財政状態及び経営成績の状況に関する認識及び分析・検討内容当事業年度の売上高は7,911百万円と前期比722百万円（10.0％）の増加となりました。利益面では売上総利益は1,547百万円と前期比257百万円（19.9％）の増加、営業利益は420百万円と前期比169百万円（67.8％）の増加、経常利益は426百万円と前期比168百万円（65.5％）の増加となりました。また、当期純利益は334百万円と前期比160百万円（92.4％）の増加となりました。セグメントごとの財政状態及び経営成績は次のとおりであります。（電力通信部門）電力関連では、劣化電柱の建替え、変圧器の取り換え等の支持物の更改工事が多くありました。また、通信関連では、光建設工事への投資は全体としては低調であり、支障移転工事や保守が中心となっております。鉄塔・鉄構では、送電鉄塔の経年による建替え需要は依然としてあり、前年より受注重量は増加したものの、計画していたよりも売上は伸びませんでした。この結果、売上高は4,604百万円と前期比618百万円（15.5％）の増加、セグメント利益は701百万円と前期比185百万円（35.9％）の増加となりました。セグメント資産は、主に売掛金及び契約資産855百万円と前期比93百万円の減少、棚卸資産1,167百万円と前期比96百万円の増加、有形及び無形固定資産960百万円と前期比95百万円の増加により、前期比124百万円増加の3,260百万円となりました。 （建材部門）スタッド関連においては、首都圏を中心に大型物件の稼働も増加し、中小の物件もコンスタントに動いている状況のため、売上は好調を維持しております。免震関連では、大型物流施設、病院、集合住宅への需要もあり売上は堅調に推移いたしました。この結果、売上高は3,307百万円と前期比103百万円（3.2％）の増加、セグメント利益は149百万円と前期比34百万円（29.9％）の増加となりました。セグメント資産は主に売掛金及び契約資産588百万円と前期比153百万円の減少、受取手形262百万円と前期比196百万円の増加、電子記録債権386百万円と前期比17百万円の増加、棚卸資産552百万円と前期比294百万円の増加により、375百万円増加の1,937百万円となりました。 ② 経営成績に重要な影響を与える要因について当社の主力製品である架線金物、鉄塔・鉄構、スタッドは、鉄鋼等の原材料比率が高く、「３　事業等のリスク」に記載してありますように、その価格変動による収益への影響は甚大であり、販売価格への速やかな価格転嫁が必要となります。しかしながら、受注競争が激しさを増している状況であり、上昇したコスト分すべてを販売価格に転嫁することは、厳しくなっております。この状況に対し、これまで培ったノウハウを集約し原価低減を進め、販売価格への原材料の価格変動の影響を抑えると共に、市場環境や多様化する顧客のニーズに応えるため、新製品開発など提案型営業を進める事で取引先にとって有為なメーカーであることを追求してまいります。 ③ 経営上の目標の達成状況について当社は毎期安定的な利益を継続的に確保するとともに、株主利益重視と経営効率化の観点から「総資本利益率（ＲＯＡ）」、「自己資本比率」及び「配当性向」を重要な指標として位置づけております。当事業年度における「総資本利益率（ＲＯＡ）」は4.7％（前年同期比1.9ポイント増加）、「自己資本比率」は51.8％（前年同期比2.5ポイント減少）、「配当性向」は7.0％（前年同期比6.4ポイント減少）でした。引き続きこれらの指標について、改善されるよう取り組んでまいります。 ④ キャッシュ・フローの状況分析・検討内容並びに資本の財源及び資金の流動性に関わる情報について当社の当事業年度のキャッシュ・フローは、現金及び現金同等物の期末残高が前年同期に比べ393百万円増加しております。これは主に償却・税引前の当期利益574百万円を計上したこと、棚卸資産の増加額391百万円、有形及び無形固定資産の取得による支出254百万円、長期借入れによる収入500百万円が主な要因であります。資本の財源及び資金の流動性については、当社の資金需要は主に大きく分けて運転資金需要と設備資金需要の二つがあります。運転資金需要のうち主なものは製品を製造するための材料仕入、製造費、販売費及び一般管理費等の営業費用によるものであり、また設備資金需要としましては、主に製造設備等の固定資産購入によるものであります。現在、運転資金、設備資金につきましては内部資金より充当し、不足が生じた場合短期及び長期借入金で調達を行っております。 ⑤ 重要な会計上の見積り及び当該見積りに用いた仮定当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この財務諸表の作成にあたり、見積りが必要な事項につきましては、一定の会計基準の範囲内にて合理的な基準に基づき、会計上の見積りを行っております。当社の財務諸表で採用する重要な会計方針は、「第５　経理の状況」の財務諸表の注記事項「重要な会計方針」に記載しているとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６【研究開発活動】当社の研究開発活動は、お客様のニーズに合わせた製品開発を基本としております。新規製品の開発及び現行品の改善において、これまでの製造過程から得た固有の技術を生かして製品の開発を推進し、積極的な提案を行っております。主要取引先である各電力会社・通信会社からは、既存製品のコスト低減や新規製品の開発を目的とした「ＶＥ・ＶＡ提案」の要請、及び現場作業の安全性・作業性向上に向けた検討が求められ、その要請に応えるべく開発・改善活動を展開しました。また、建築関連においてはお客様ニーズを基に、それに応えるべく研究開発活動を展開しました。 その研究開発活動の結果、当事業年度は次の成果を得ました。(1) 電力通信部門① 固有技術の高度化による開発・新工法による機材の開発（架空ケーブルの撤去効率化）・機材の経年変化による強度確認（パラペット挟み込み支持柱および光ケーブル用ちょう架金物の暴露試験）・次世代通信用金物の開発（通信機器取付金物）② ニーズに基づく新製品開発・お客様のニーズに基づく製品の開発（マンホール転落防止柵、鋼管柱解体工具）・地域の特性に応じた製品の開発（添架金物）・コストを抑えた製品の開発、改良（引綱ガイド、吊架金物） (2) 建材部門① ニーズに基づく新製品開発・スタッド機材の開発（スタッド溶接機）・スタッド資材の開発（フェルール）・免震装置設置工法の検討（押圧充填工法） この結果、当事業年度の研究開発費は80百万円となりました。なお、研究開発費は開発グループの人件費をセグメント及び品目別に区分することは困難なため、セグメント及び品目別金額については記載しておりません。 
設備投資等の概要	１【設備投資等の概要】当事業年度は主に新工場の富山呉羽工場建設費及び、経常的設備の更新、補充を目的として、電力通信部門230百万円、建材部門32百万円の設備投資を行いました。また、当事業年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２【主要な設備の状況】2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数(人)建物及び構築物機械装置及び運搬具土地（面積㎡）リース資産その他合計富山工場（富山県射水市）電力通信部門架線金物及び鉄塔・鉄構製造販売設備126,935115,239300,119(20,709.21)－13,999556,29487鹿沼工場（栃木県鹿沼市）電力通信部門建材部門架線金物及びスタッド製造設備163,956158,30923,757(32,840.94)2,5176,931355,47255本社（東京都品川区）全社共通販売管理統括施設8,577834－－5,83415,24635旧千葉工場（千葉県山武市）全社共通賃貸用不動産及び遊休地－－109,025(83,474.61)－－109,025－（注）１．帳簿価額のうち「その他」は工具、器具及び備品の合計であり、建設仮勘定は含めておりません。２．土地の面積は、共有持分がある場合は持分相当面積を算出して記載しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式2,800,000計2,800,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式780,000780,000東京証券取引所スタンダード市場単元株式数100株計780,000780,000－－  
