項目	値
事業の内容	３【事業の内容】　当社グループの企業集団は、当社並びに連結子会社２社で構成され、工具の製造販売を主な事業とし、その他にファシリティマネジメント事業を行っております。　当社グループとしての事業に係る位置づけは次のとおりであります。（１）工具事業　　工具……………………………………　自動車整備用工具、医療用工具及び関連機器、電設関連工具、その他一般作業工具及びこれらに関連する機器の製造販売　　精密鋳造………………………………　ロストワックス製法による工具及び精密工作機械部品・産業用機械部品などの製造販売（２）ファシリティマネジメント事業…　不動産の賃貸、業務用不動産の運営等（太陽光発電による電気の販売を含む） 　以上述べた事項を事業系統図によって示すと次のとおりであります。       
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 経営方針　当社グループは、社是「お互いに誠実でたゆまず前進し、軽くて強くて使いよい工具を創り、社会に貢献しよう」、社訓「信用・誠実・協調・創造・実行」を経営理念とし、品質・価格・納期の面において、お客様の要求に最大限お応えできる製品とサービスを提供することにより、企業の継続的発展を目指すとともに、法令を遵守し、安全・環境面においても地域をはじめとする社会に貢献できる企業グループを目指してまいります。 (2) 経営戦略等　当社グループは、2022年度より2030年度を最終年度とするKTCグループ長期ビジョン「KTC vision 2030」を策定し、基本方針に「社会の期待を超えたツールで、人の能力を拡張し、世の中の安全を創り出す」を掲げております。2030年度までの９年間を３フェーズに分け、３年毎の中期経営計画を実行することにより長期ビジョンの達成を目指してまいります。　フェーズ１となる2022年度から2024年度までの第１次中期経営計画につきましては、「つながる＆見える化で、新たなモビリティ ファクトリー インフラを攻略する」を基本方針に、工具事業を核とした新たな成長戦略を展開することで、KTCグループ長期ビジョンの達成へとつなげてまいります。　最終年度である2024年度におきましては、とくに成長戦略である工具のスマートビジネス戦略をグローバルに推し進め、これを支えるためのサプライチェーンマネジメントの強化に取り組んでまいります。 (3) 経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、本業での収益性を示す営業利益率を重要な指標として位置づけ、第１次中期経営計画の最終年度となる2024年度に営業利益率10％の達成を目標とし営業基盤の拡大による企業価値の継続的拡大に努めてまいります。 (4) 経営環境　当社グループを取り巻く経営環境につきましては、海外景気の下振れリスクや物価動向に関する不確実性、金融資本市場の変動などの影響が懸念されながらも緩やかな回復が続くと予想されます。　また、関連業界においては、少子高齢化を背景とした技術者の高齢化や人手不足に伴う生産性や企業競争力などへの影響が問題視されている一方で、安全・安心に対する社会的要求の高まりにより、ESGに関する取り組みを含むコンプライアンスの強化が求められております。　当社グループの主力である工具事業では、「もの」を主体とする製品事業から「こと」を提案するサービス事業への領域拡大を加速化し、お客様の多様化するニーズに対応してまいります。 (5) 優先的に対処すべき事業上及び財務上の課題　当社グループは、第１次中期経営計画における３つの戦略方針（「今までの概念を覆す」「リーディングカンパニーの伝統を活かす」「あらたなチャンスに挑戦」）及びESG推進方針（「E 地球環境に徹底的に貢献する」「S あらゆるステークホルダーと共生する」「G 持続可能な信頼される企業であり続ける」）のもと、以下のような戦略課題に取り組んでまいります。 ① 人ができることを増やしていくために進化するツールの提供　当社グループは、お客様にとって最適な「軽くて、強くて、使いよい」ツールを環境の変化に適応した形で提供し続けます。たとえば、主力の自動車業界では、「CASE」による技術革新が進む一方で技術者の高齢化や人手不足に伴う生産性や企業競争力などへの影響が問題視されており、作業現場のニーズはより多様化することが予測されます。これに対し、材料や構造・機構に関する技術を用いるなど、安全で使う人と環境にやさしいツールを進化させ続け、多様性を認め合う持続可能な社会の実現を目指してまいります。 ② つながる工具とソフトウェア、サービスによる新たな価値の提供　当社グループは、安全・安心に対する社会的要求の高まりにより、人作業や作業情報などの一元管理が進展することを見据え、「工具（ハードウエア）」「ソフトウェア」「サービス」の三要素で構成する「TRASAS」シリーズをはじめとするIoT技術を用いたツールを展開しております。とくに昨今、より効果的かつ効率的なコンプライアンス強化が求められるなか、厳格な工具管理を要する航空宇宙産業やMRO（Maintenance Repair Overhaul）産業などに対し、使用履歴管理による紛失抑制や紛失した際の工具の探索に貢献するRFID搭載工具「nepros ID」シリーズを展開し、作業管理体制強化や効率化による新たな価値を提供してまいります。 ③ 「KTC vision 2030」を支えるサプライチェーンマネジメントの強化　当社グループでは、「KTC vision 2030」を支えるためのものづくり革新を進めており、人とロボットそれぞれの長所を活かした協働環境の運用を目指しております。具体的には、脱着などの単純な繰り返し作業は協働型ロボットが行い、人はより付加価値の高い作業へシフトいたします。さらに、生産各工程の新規設備を活かし、とくにnepros製品をベースとした各成長戦略の実現に向けて能力増強を図るとともに、生産拠点の最適化や地政学リスクへの対応を含めものづくりを中心としたサプライチェーンマネジメントの強化に取り組んでまいります。 ④ サステナビリティの深化（ESG経営の推進 及び 新人事制度の定着と運用）　当社グループの事業活動を通じた社会課題への貢献に向け、ESGを軸としたサステナビリティへの取り組みを深化させてまいります。たとえば、気候変動の課題に対し、温室効果ガス排出量の削減に向けたエネルギーに関する取り組み（省エネルギー化や再生可能エネルギーの利用推進など）とコストダウンを両立させるなど、グループ全体の最適化を目指してまいります。　また、事業を維持・向上、変革させる源泉は、人材であります。多様な価値観への社会的な変化を背景に、多様な人材の登用、一人ひとりの成長と能力発揮などを目的とした新人事制度を運用し、社員がより「KTCで働いてよかった」と思える会社を実現させ当社グループの成長につなげてまいります。
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、本記載のリスクにつきましては、当連結会計年度末現在の判断によるものであり、当社グループの事業上のリスクの全てを網羅するものではありません。 　(1)品質問題による業績悪化のリスク　　　当社は1998年にISO9001を取得するなど、品質最優先のものづくりを進めておりますが、製品の開発並びに製造過程での品質上のリスク全てを将来にわたって完全に排除することは極めて困難と認識いたしております。また、TRASAS製品の拡充やサービス事業への領域拡大により新たな品質上のリスクの顕在化も考えられます。これらにより経営成績に影響を受ける可能性があります。 　(2)調達・生産のリスク　　　当社は国内外のサプライヤーから鋼材や部品を調達し主に作業工具を生産しておりますが、各種感染症の世界的な流行拡大、ウクライナ情勢や中東地域をめぐる情勢などの地政学上の影響によるサプライチェーンマネジメントの混乱により、材料・エネルギー価格の高騰や調達難に見舞われ、当社の生産及び供給能力に影響を及ぼす可能性があります。 　(3)販売ルート・形態に関するリスク　　　当社は創業以来自動車関連に強みを持ち、販売代理店ルートを中心に販売しておりますが、外部環境の変化に伴う流通ルートの急速な変革により売上高に影響を与える可能性があります。 　(4)子会社のリスク　　　当社の連結対象子会社は国内に２社あり工具事業を営んでおりますが、この業績がグループ全体の経営成績や財政状態に影響を与える可能性があります。 　(5)情報安全上のリスク　　　当社では、グループ全体の情報セキュリティ確保を目指し、システム対応、教育、啓蒙活動など管理強化を進めておりますが、何らかの事由により個人情報など重要情報が漏洩した場合、当社グループの事業やイメージに影響を与えるおそれがあるとともに、損害賠償請求などを受ける可能性があります。 　(6)市場における競合のリスク　　　当社が提供する製品及びサービスの市場は、海外メーカーを含め競合している状況にあります。顧客の求める製品を含めた総合的なサービスを競争力のある価格で提供できない場合は、市場におけるシェアや顧客との取引関係の喪失につながり、グループ全体の経営成績や財政状態に影響を与える可能性があります。 　(7)人財育成及び人財確保におけるリスク　　　当社が強みをもつ自動車関連産業は、急速な技術革新により構造変化が生じています。この変化を予測し対応できる社内の人財育成及び社外からの人財確保が重要です。しかし人財の育成や確保ができない場合は新製品の開発や新サービスの提供に支障を来たし、グループ全体の経営成績に影響を与える可能性があります。 　(8)自然災害や感染症に関するリスク　　　当社では、自然災害や感染症などによる緊急事態に遭遇した場合において、事業資産の損害を最小限にとどめつつ中核となる事業の継続あるいは早期復旧を可能とするために、平常時に行うべき活動（含 予防措置）や緊急時における事業継続のためのマニュアルを策定しておりますが、やむを得ず企業活動の停滞・停止を要する事態が生じた場合には、グループ全体の経営成績や財政状態に影響を受ける可能性があります。　　　また、安否確認システムを用いた全社への緊急連絡訓練を適宜実施するなど、非常事態に備え迅速な対応をとれる体制を整えております。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　当連結会計年度における当社グループ（当社、連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。　なお、当連結会計年度において、企業結合に係る暫定的な会計処理の確定を行っており、前連結会計年度との比較にあたっては、暫定的な会計処理の確定による見直し後の金額を用いています。 ①財政状態及び経営成績の状況　新型コロナウイルス感染症の法的位置付けが移行し、経済活動の正常化が進んだことで緩やかな回復基調が続きました。しかしながら、世界的な金融引締めに伴う影響や中国経済の先行き懸念など、海外景気の下振れがわが国の景気を下押しするリスクとなっております。また、自動車や産業機械など関連産業においては、設備投資に持ち直しの動きが見られるものの、物価上昇、ウクライナ情勢の長期化や中東地域をめぐる情勢、金融資本市場の変動などの影響もあり、依然として不透明な状況が続いております。 　このような経営環境のもと当社グループにおきましては、「つながる＆見える化で、新たなモビリティ ファクトリー インフラを攻略する」を基本方針に掲げ、工具事業を核とした成長戦略を展開し、収益・利益の拡大に努めてまいりました。とくに、収益性の改善に向け製品仕様の見直しや加工工法の改善、デジタル推進による業務の効率化など、全社一丸となってコストダウンに取り組んでまいりました。そのほか、2023年１月17日付で子会社化した株式会社ＨＩ－ＴＯＯＬを連結した効果もあり、当連結会計年度の売上高は84億28百万円（前年同期比0.4％増）、営業利益は９億10百万円（前年同期比14.7％増）、経常利益は９億64百万円（前年同期比16.7％増）、親会社株主に帰属する当期純利益につきましては６億45百万円（前年同期比8.7％増）となりました。  　事業セグメントごとの経営成績の概要につきましては、以下のとおりであります。 [工具事業]　主力の当事業部門では、「安全、快適、能率・効率、環境」をキーワードに、既存顧客の深耕、新規顧客の開拓並びにブランド価値向上などの事業戦略を展開しております。　開発面では、「安全、快適、能率・効率、環境」を追求するR&amp;Dコンセプト「新・工具大進化」の具現化に向けた製品・サービスを市場投入しております。その一翼を担う「TRASAS（TRAceable Sensing and Analysis System）」シリーズは、IoT技術を搭載した工具や測定具、作業支援デバイス、これらのシステムソフトウェアで構成されており、作業データを無線でデバイスへ転送することで作業履歴の自動的な記録・管理・分析を可能にいたしました。「TRASAS」シリーズ代表製品の一つである「メモルク」のラインナップとして、ガスや水道管などの締め付け作業に最適な「モンキヘッド」タイプや豊富なバリエーションの交換ヘッドと組み合わせ可能な「交換式ヘッド」タイプを2024年１月に発売するなど、同製品のラインナップ拡充に取り組んでおります。　また、航空宇宙産業やMRO（Maintenance Repair Overhaul）産業をはじめ様々な業界で安全に対する社会的要求が高まり、作業の管理体制強化や効率化が求められるなか、世界初となる360°あらゆる角度から電波の読み取りが可能なRFID搭載工具「nepros ID」シリーズをRFIDタグメーカーと共同開発いたしました。同IoT対応工具を厳格な工具管理が求められる作業現場で活用することで、使用履歴管理による紛失抑制や紛失した際の工具の探索を容易にすることなどにより整備における安全性向上に貢献いたします。　これらの成長戦略の柱となるIoT技術を用いたツールを中心に、作業管理のニーズが高い多様な業種へ向け、開発を展開してまいります。　さらに、京都大学との産学連携による共同研究を進めていた構造最適化手法「トポロジー最適化」を用いた従来の概念を覆す全く新しいツール、「nepros neXT（ネプロス ネクスト）」シリーズを展開しております。引き続き、強度を保ちながら軽量化し究極の使いよさを追求する本シリーズのラインナップ拡充に努めてまいります。　そのほか、研究分野として、材料や構造・機構に関する新たな開発にも積極的に取り組み、「安全で、使う人や環境にやさしいツール」の製品化を通じ、多様性を認め合う持続可能な社会の実現を目指しております。　販売面では、工具メーカーとしてのノウハウと先進のテクノロジーを融合し、作業者の経験や勘に頼っていた作業の標準化と効率化を提案しております。具体的には、作業現場で確認できた課題やその対策案について、最適な作業工具や作業手順の改善ポイント、作業トレーサビリティの運用方針などを検討後、導入計画を策定し提案しております。　ようやく、対面活動が社会的に再開するなか、国内営業の専門部隊である「凄腕究め隊」を中心に、様々な展示会への出展や研修会の開催に注力してまいりました。また、工具ミュージアム「KTCものづくり技術館」に開設した「kDNA Studio（きずなスタジオ）」やピットガレージにて収録した課題解決や新製品情報に関するウェビナーコンテンツをウェブメディア「KTC times」で配信することでお客様との対話を図るなど、当社グループ特有のDXを推進し、よりスマートにより多くのお客様へソリューションを提供しております。　さらに、同ミュージアムでの製品体験に加え、新たな取り組みとして、製品の貸し出しによりお客様自身の現場で体感できる機会をサービスとして提供するなど、リアルと現場にこだわった活動に取り組んでおります。　生産面では、「新・工具大進化」を支えるためのものづくり革新を進めており、人とロボットそれぞれの長所を活かした協働環境の運用を目指しております。具体的には、脱着作業などの単純な繰り返し作業は複数の加工設備に共用で使用可能な協働型ロボットが行い、人はより付加価値の高い作業へシフトすることが可能になりました。さらに、協働型自走式ロボットを活用し、人と協働できる独自の少人化ラインの展開を目指すなど、「ものづくりの最適化」を図り生産性の向上を推進してまいります。　これらに加え、作業者の高い技術を要する熱間鍛造ハンマ工程の半自動化により習熟度に頼らない仕組みを構築するなど既存生産設備の改善に取り組むとともに、生産の各工程に新規設備を導入し、とくにnepros製品をベースとした各成長戦略の実現に向けて能力増強を図るなど、生産体制のさらなる安定と強化に取り組んでおります。　また、当社グループは、ESGの取り組みとして「地球に、社会に、私たちができること」、「E 地球環境に徹底的に貢献する」、「S あらゆるステークホルダーと共生する」、「G 持続可能な信頼される企業であり続ける」を基本方針とし、安全・安心で持続可能な社会の実現に向けた取り組みを展開しております。加工工法の改善による生産現場の省エネルギー化や再生可能エネルギーの利用推進、「技育（技術の教育）」を通じた産学連携による未来の技術者育成への貢献などの活動を通じて、環境、社会への貢献と企業発展を目指して積極的に取り組んでおります。 　これらの結果、付加価値の高いソリューション案件を中心とした直販部門が堅調に推移するとともに、市販部門における一般産業市場向けの販売も堅調に推移し、当連結会計年度の売上高は82億円（前年同期比0.5％増）、セグメント利益は７億50百万円（前年同期比19.6％増）となりました。 [ファシリティマネジメント事業]　当事業部門では、所有不動産の有効活用を目指し、物件の整備、運営管理を推進しております。不動産の賃貸については、全ての物件で高い入居率を確保しております。引き続き入居者満足度の向上を図り、収益の安定化に取り組んでまいります。　当連結会計年度におきましては、所有不動産の安定稼働により、売上高は２億28百万円（前年同期比2.7％減）、セグメント利益は１億59百万円（前年同期比3.9％減）となりました。 ②キャッシュ・フローの状況　当連結会計年度における現金及び現金同等物（以下「資金」という）は、固定資産の取得による支出、配当金の支払等で資金を支出したものの、主に営業活動で獲得した資金がそれらの支出を上回った結果、前連結会計年度末に比べて１億17百万円増加し、当連結会計年度末残高は、34億16百万円となりました。（営業活動によるキャッシュ・フロー）　当連結会計年度において営業活動の結果得られた資金の増加は５億３百万円（前年同期は１億93百万円)となりました。これは主に、税金等調整前当期純利益９億63百万円（前年同期は８億26百万円）に加え、減価償却費３億90百万円（前年同期は３億44百万円）による資金の増加があった一方、棚卸資産の増加２億35百万円（前年同期は６億14百万円）、法人税等の支払額２億34百万円（前年同期は３億37百万円）、売上債権の増加１億55百万円（前年同期は69百万円）、その他の負債の減少98百万円（前年同期は25百万円の増加）、仕入債務の減少77百万円（前年同期は56百万円の増加）などによる資金の減少があったことなどによるものであります。（投資活動によるキャッシュ・フロー）　当連結会計年度において投資活動による資金の減少は２億３百万円(前年同期は４億23百万円)となりました。これは主に、固定資産の取得による支出２億３百万円（前年同期は２億25百万円）による資金の減少があったことなどによるものであります。（財務活動によるキャッシュ・フロー）　当連結会計年度において財務活動による資金の減少は１億82百万円（前年同期は１億81百万円）となりました。これは主に、配当金の支払額１億70百万円（前年同期は１億70百万円）があったことなどによるものであります。　当社グループの資金需要の動向につきましては、成長戦略投資を進めながら、継続的・安定的な株主還元を続けてまいります。　具体的には配当と投資と手許資金のバランスを保ちつつ、配当に関しては、継続的かつ安定的な配当の維持と業績に応じた配当を基本とし、投資に関しては「新・工具大進化」の実現に向けた新製品開発や生産革新の実現に向けた活動等に投資いたします。手許資金に関しては、今後の経済動向の不確実性拡大に備えるためにも現状水準を維持いたします。 ③生産、受注及び販売の実績ａ．生産実績　当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日至　2024年３月31日）前年同期比（％）工具事業（千円）8,956,08994.7ファシリティマネジメント事業（千円）－－合計（千円）8,956,08994.7　（注）１．金額は、販売価格によっております。２．上記の生産実績には、仕入商品を含んでおります。 ｂ．受注実績　当社グループ（当社及び連結子会社）は見込み生産を行っているため、該当事項はありません。 ｃ．販売実績　当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日至　2024年３月31日）前年同期比（％）工具事業（千円）8,200,207100.5ファシリティマネジメント事業（千円）228,36297.3合計（千円）8,428,569100.4　（注）１．セグメント間の取引については相殺消去しております。２．最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。 相手先前連結会計年度（自　2022年４月１日至　2023年３月31日）当連結会計年度（自　2023年４月１日至　2024年３月31日）金額（千円）割合（％）金額（千円）割合（％）トラスコ中山株式会社1,242,10514.81,408,74816.7ヤマト自動車株式会社1,155,87013.81,055,48512.5トヨタ自動車株式会社968,23811.5879,00310.4 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①重要な会計上の見積り及び当該見積りに用いた仮定　連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、第５　経理の状況　１ 連結財務諸表等　(1）連結財務諸表　注記事項（重要な会計上の見積り）に記載のとおりであります。 ②当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容　当社グループの当連結会計年度の経営成績は、次のとおりであります。ａ．売上高　当連結会計年度における売上高は、84億28百万円（前年同期比0.4％増）となりました。TRASASシリーズのラインナップ拡充や、お客様の課題解決に向けた提案、展示会の出展や研修会の開催などに取り組んでまいりました。その結果、付加価値の高いソリューション案件を中心とした直販部門及び市販部門における一般産業市場向けの販売が堅調に推移しました。  ｂ．営業利益　営業利益は、収益性の改善に向けた製品仕様の見直しや加工工法の改善、デジタル推進による業務の効率化など、全社挙げてのコストダウン推進により、９億10百万円(前年同期比14.7％増）となり、売上高営業利益率は10.8％（前年同期比1.3ポイント増）となりました。ｃ．営業外損益及び経常利益　営業外損益は、営業外収益として受取配当金46百万円、営業外費用として支払利息４百万円を計上したことなどにより、54百万円の利益（純額）となり、経常利益は９億64百万円（前年同期比16.7％増）となりました。ｄ．特別損益及び親会社株主に帰属する当期純利益　特別損益は、金額的重要性のあるものの発生はありませんでした。税金等調整前当期純利益は９億63百万円（前年同期比16.6％増）となりました。　親会社株主に帰属する当期純利益は、法人税、住民税及び事業税に３億16百万円、法人税等調整額に２百万円を計上したことにより、６億45百万円（前年同期比8.7％増）となりました。 　当社グループの当連結会計年度の財政状態は、次のとおりであります。ａ．資産　当連結会計年度末の総資産は、166億15百万円となり、前連結会計年度末に対し18億91百万円増加となりました。その主な内容は、投資有価証券が11億４百万円、機械装置及び運搬具（純額）が２億86百万円、電子記録債権が２億10百万円、商品及び製品が１億26百万円、現金及び預金が１億17百万円増加したことなどによるものであります。ｂ．負債及び純資産　当連結会計年度末の負債合計は、41億83百万円となり、前連結会計年度末に対し６億41百万円増加となりました。その主な内容は、その他流動負債が４億33百万円、繰延税金負債が３億35百万円、未払法人税等が82百万円増加した一方、未払金が84百万円、支払手形及び買掛金が73百万円減少したことなどによるものであります。　当連結会計年度末の純資産合計は、124億31百万円となり、前連結会計年度末に対し12億50百万円増加となりました。その主な内容は、その他有価証券評価差額金が７億66百万円、利益剰余金が４億74百万円増加したことなどによるものであります。 　当社グループの当連結会計年度の流動性及び資金の源泉は、次のとおりであります。ａ．キャッシュ・フロー　当連結会計年度におけるキャッシュ・フローの状況につきましては、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。ｂ．資金需要　当社グループの資金需要は大きく分けて運転資金需要と設備資金需要の二つがあります。　運転資金需要の主なものは、製造販売業として機能するための原材料等の仕入や製造費、販売費及び一般管理費等の営業費用によるものであります。また、設備資金需要の主なものは、工場や社屋等の建物及び機械装置、DXを推進するための営業活動用設備等の有形固定資産投資に加え、TRASASシリーズ用ソフトウェアや情報処理のための無形固定資産投資等があります。ｃ．財務政策　当社グループは運転資金につきましては、現在、内部資金より充当し、不足が生じた場合は短期借入金で調達を行っております。また、設備資金につきましては、設備投資計画に基づき資金計画を策定しており、内部資金で不足する場合は、長期借入金等により調達を行っております。 　当社グループの経営成績に重要な影響を与える要因として、「第２　事業の状況　３　事業等のリスク」に記載のとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	６【研究開発活動】　当社グループ（当社及び連結子会社）における工具事業の研究開発活動は、以下のとおりであります。　当社は、省力化工具・機器類の総合メーカーとして、モビリティ整備分野においては自動車の多様化・高度技術化及び作業効率向上に対応した新製品及び、一般産業分野においては種々の社会的ニーズに対応した新製品の研究開発を進めました。また、新たにトポロジー解析を活用した最適化ツールの開発も進めました。　さらに、Ｔ(つながる)＆Ｍ(見える化)を市場に浸透させ、人と工具の新たな関係を実現するため、工具のデジタル化や無線化をベースに、工具だけではなくそれらにつながるソフトウェア開発も行い、システムとしてお客様へ安心安全を提供する研究開発を進めてまいりました。その結果、当連結会計年度の開発売上実績は、46品種180アイテムとなっております。当連結会計年度末において研究開発に従事する人員は22名であり、当社が所有している産業財産権は、国内外あわせて222件（出願中74件を含まず）であります。また、当連結会計年度における研究開発費用は212百万円でした。なお、工具事業以外のセグメントでは研究開発活動は行っておりません。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度に実施いたしました設備投資の総額は559百万円であります。　主なものとして、主力の工具事業部門を中心に、お客様サービスの向上と工具製品・部品の低コスト化、省エネルギー化の推進により、建物に14百万円、機械装置に414百万円、工具、器具及び備品等に120百万円の設備投資をいたしました。　なお、所要資金については、いずれの投資も自己資金を充当し、新たな借入れや社債発行等のファイナンスは行っておりません。 
主要な設備の状況	２【主要な設備の状況】　当社グループ（当社及び連結子会社）における主要な設備は、以下のとおりであります。(1）提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数(人)建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）(面積㎡)リース資産（千円）その他（千円）合計（千円）本社事務所及び久御山工場(京都府久世郡久御山町)工具事業事務所工具等生産設備926,249665,734599,887(39,092)12,188146,0032,350,062176旧本社(京都市伏見区)ファシリティマネジメント事業賃貸設備107,559－134,195(15,596)－－241,755－東京支店(東京都大田区)工具事業その他設備76,239－488,823(558)－283565,3464ＫＴＣ ＳＯＬＡＲ891発電所(石川県羽咋市)ファシリティマネジメント事業太陽光発電設備－83,527－－5,21888,745－　（注）１．帳簿価額のうち「その他」は、工具、器具及び備品の合計であります。２．旧本社の土地・建物等は、上新電機㈱及び㈱西友等に貸与しております。 (2）国内子会社2024年３月31日現在 会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額従業員数(人)建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）(面積㎡)リース資産（千円）その他（千円）合計（千円）北陸ケーティシーツール㈱本社工場(石川県羽咋市)工具事業工具等生産設備66,68921,40425,170(25,089)7,6431,091121,99947(28)　（注）１．帳簿価額のうち「その他」は、工具、器具及び備品の合計であります。２．従業員数の（　）は、臨時従業員数を外書きしております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式9,900,000計9,900,000  
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月27日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式2,477,4352,477,435株式会社東京証券取引所スタンダード市場単元株式数100株計2,477,4352,477,435－－
