項目	値
事業の内容	３【事業の内容】　当社グループは、2024年３月31日現在、当社及び連結子会社３社（株式会社クレマンスラボラトリー、CARAFUL株式会社、一般社団法人涼香会）により構成されており、「マーケティング事業」と「インベストメント事業」の２つの事業を展開しております。なお、「第５　経理の状況　１．連結財務諸表等　（１）連結財務諸表　注記事項（収益認識関係）」に掲げるセグメントの区分と同一であります。　各事業の内容、並びに当該事業を構成する提出会社及び関係会社は以下のとおりであります。 事業・領域の内容構成する会社マーケティング事業＜美容マーケティング領域＞　主に美容カテゴリにおける企業のSNSマーケティング支援トレンダーズ株式会社CARAFUL株式会社＜メディカルマーケティング領域＞　美容クリニックのマーケティング・運営DX支援　クリニック専売品の開発・販売トレンダーズ株式会社株式会社クレマンスラボラトリー一般社団法人涼香会インベストメント事業成長事業・企業に向けた投資事業トレンダーズ株式会社  [事業系統図]　当社グループの、提出日現在における主要な事業系統図は以下のとおりです。    
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1）経営方針・経営戦略　当社グループは、「トレンドを捉え、新しい時代を創る」をミッションとして掲げ、マーケティング事業においては、SNS等から生活者や時代のトレンド予測・分析を行う「トレンドマーケティング」「SNSマーケティング」のメソッドを軸とし、デジタル・SNS領域におけるマーケティングソリューションや情報コンテンツの提供、製品の販売等の事業展開を行っております。　マーケティング事業の美容マーケティング領域においては、インフルエンサーサービスや美容メディアであるMimiTV等の成長領域にリソースを集中することで、継続的な成長を図っております。また、当該領域及びインベストメント事業において得た収益をメディカルマーケティング領域等の新規事業へ積極的に投資し、新規事業の収益化及び拡大を実現することで、当社グループの大幅な利益成長、企業価値の向上を目指しております。 (2）経営上の目標の達成状況を判断するための客観的な指標等　当社グループの経営上の目標の達成状況を判断するための客観的な指標は、売上高及び営業利益であります。　当社グループは、中期経営計画（2024年３月期～2026年３月期）のもと、2026年３月期までに営業利益2,000百万円を達成することを目標としております。当該計画の１年目である2024年３月期の業績は、売上高5,673百万円、営業利益788百万円、２年目である2025年３月期の目標値（業績予想）は、売上高6,450百万円、営業利益1,000百万円であります。 (3）経営環境　当社グループが属するインターネット広告市場は、社会のデジタル化に伴って着実に成長を続けており、2023年の市場規模は３兆3,330億円（前年比7.8％増）となりました。同年の日本の総広告費は７兆3,167億円（前年比3.0％増）で、調査が開始されてから過去最高を更新しておりますが、インターネット広告費は日本の総広告費の45.5％を占めており、インターネット広告が広告市場全体を支え、牽引している状況といえます。（株式会社電通「2023年 日本の広告費」）。　インターネットが社会全体のインフラとなっている現在、インターネットでアクセスできる各種プラットフォームやWebサイト、Webサービス等は、生活者にとって欠かせない情報源です。中でも、多種多様なアカウントより発信される情報をリアルタイムで入手できるSNSは、生活者の意識や購買行動に与える影響力を増しており、企業においても、SNSを活用したマーケティングに注力する動きが加速しております。 (4）事業上及び財務上の対処すべき課題　当社グループでは、以下の事項を主要な課題として認識し、今後も持続的な成長を図ってまいります。 ①　競争力のあるマーケティングサービスの開発　当社グループの主力事業である、マーケティング事業の美容マーケティング領域が属するインターネット広告市場は、市場が順調に拡大している一方で、トレンドが移り変わるスピードは非常に速く、かつ競争環境は年々激化しております。そのような中、当社グループが継続的に収益を拡大させていくためには、競争力のあるサービスを開発し、マーケティングのプロ集団として顧客企業へ価値を提供し続ける必要があります。そのため、インフルエンサーマーケティングやMimiTV等の継続的な進化に加えて、美容領域のマーケティングに特化した事業部を配置する等、各個人及びチームの専門性を一層高めることに注力してまいります。 ②　新規事業の立ち上げ及び収益化　当社グループの次なる収益の柱として、新規事業の立ち上げ及び収益化が課題だと認識しております。当連結会計年度より本格的に開始したメディカルマーケティング領域について、収益化に向け、引き続き事業投資を積極的に行ってまいります。 ③　働きやすい環境の整備　当社グループの継続的な成長のためには、能力と意欲を兼ね備え、当社グループの文化や価値観に共感する人材が最大限のパフォーマンスを発揮することが重要であると考えております。そのため、業務の目的に合わせてオフィスワークとリモートワークを併用する働き方やフレックスタイム制度の導入、休暇制度の拡充等、多様な働き方が実現できる職場環境の整備を推進しております。また、性別や年齢・年次といった属性に関わらず機会が与えられる環境の構築として、女性活躍やD&amp;I（ダイバーシティ＆インクルージョン）の推進に取り組んでまいります。 ④　内部管理体制の強化　当社グループは、企業価値の最大化のためコーポレート・ガバナンスの実効性を重視し、内部統制の継続的な強化を推進しております。また、当社グループの事業に関連する法規制や社会的要請等にも適切な対応をすべく、引き続き内部管理体制の整備及び改善に努めてまいります。 ⑤　情報管理体制の強化　当社グループは事業運営上、多くの個人情報を含む機密情報を保有しております。そのため、個人情報等の機密情報の保護に関しては重要課題であると認識しており、社内規定の厳格な運用、機密情報の取扱いに関する定期的な社内教育の実施、セキュリティシステムの整備を行い、一般財団法人日本情報経済社会推進協会（JIPDEC）のプライバシーマーク（Pマーク）も取得しております。今後も引き続き、情報管理体制の強化を図ってまいります。 
事業等のリスク	３【事業等のリスク】　本書に記載した当社グループの事業の状況及び経理の状況等に関する事項のうち、経営者が連結会社の財政状況、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 ①　マーケティング事業の市場動向に係るリスクについて　当社グループは、マーケティング事業の美容マーケティング領域において、主にデジタル・SNS領域での企業のプロモーション・PR支援を行っております。　日本の広告市場において、当社グループが属するインターネット広告市場は、2023年において前年比7.8％増と大きく成長しております（株式会社電通「2023年 日本の広告費」）。　今後もインターネット広告市場は中長期的に成長すると予想しておりますが、新型コロナウイルス感染症拡大のような外的要因による経済の停滞及び顧客企業の広告宣伝費の抑制により、短期的に見ると当該市場の成長が鈍化するリスクがあり、当社グループの業績に影響を及ぼす可能性があります。 ②　サービスの陳腐化リスクについて　インターネット業界においては、新たな技術やサービスの開発・提供が活発に行われており、常に競合他社より有益な価値を顧客企業に対し提供する必要があります。当社グループでは、顧客企業のニーズに対応するため、常に新たな技術の導入を図り、蓄積したノウハウの活用とあわせてサービス機能の強化及び拡充を進めております。しかしながら何らかの要因により、当社グループが保有するサービス及びノウハウ等が陳腐化し、変化に対する十分な対応が困難となった場合、あるいは変化する顧客企業のニーズに的確な対応ができなくなった場合、当社グループの業績に影響を及ぼす可能性があります。 ③　マーケティング事業における化粧品等の開発及び販売に係るリスクについて　当社グループは、マーケティング事業において、美容クリニック専売品の開発・販売及び化粧品の輸入販売を行っております。当該領域において、関係する法令や仕入先との契約内容を遵守し、必要な商品管理体制も構築しておりますが、商品に瑕疵等があり当該商品の安全性に問題が生じた場合には、信頼の喪失や損害賠償責任等の発生等により当社グループの業績に影響を及ぼす可能性があります。 ④　インベストメント事業に係るリスクについて　当社グループのインベストメント事業においては、社債を保有しており、2024年３月末時点の残高は1,300百万円となっております。取得する社債は半年程度の短期で償還されるものが中心であり、かつ常に社債発行会社の財政状態等は注視しておりますが、今後何らかの理由で償還がなされなかった場合、当社グループの業績及び財政状態に影響を及ぼす可能性があります。　また、インベストメント事業においては非上場会社等への投資も行っており、新規上場やM&amp;A等による投資回収を前提としておりますが、投資先において業績が悪化し営業投資有価証券の価値が大幅に低下した場合、当社グループの業績に影響を及ぼす可能性があります。 ⑤　人材の獲得及び育成に係るリスクについて　当社グループが今後事業をさらに拡大し、成長を続けていくためには優秀な人材の確保と育成が重要課題となっております。こうした人材の確保が計画どおりに進まなかった場合、育成が計画どおりに進まなかった場合、あるいは重要な人材が社外に流出した場合には、競争力の低下や事業拡大の制約要因が生じ当社グループの業績に影響を与える可能性があります。 ⑥　システム障害リスクについて　当社グループは、コンピューターシステムの管理に細心の注意を払い、システム障害のトラブルが発生することの無いよう運営にあたっており、万一トラブルが発生した場合においても短時間で復旧できるような体制を整えております。しかしながら、大規模なプログラムの不良が発生した場合や、当社グループの想定を上回る大地震、台風等の自然災害や事故、火災等が発生し、開発業務やシステム設備等に重大な被害が発生した場合及びその他何らかの理由によりシステム障害等が発生した場合には、当社グループの業績に影響を及ぼす可能性があります。 ⑦　法的規制リスクについて　当社グループは、不当景品類及び不当表示防止法、個人情報の保護に関する法律、著作権法等の規制を受けております。当社グループは法令や各種ガイドライン等の遵守を徹底し事業運営を行っておりますが、万一これらの違反に該当するような事態が発生した場合や、今後新たな法令等の制定、既存法令等の解釈変更がなされ事業が制約を受けることになった場合、当社グループの業績に影響を及ぼす可能性があります。 ⑧　訴訟発生リスクについて　当社グループでは、コンプライアンス規程を制定し、役職員に対して当該規程を遵守させることで、法令違反等の発生リスクの低減に努めております。しかしながら、当社グループ及び役職員の法令違反等の有無に関わらず、会員や取引先、第三者との間で予期せぬトラブルが発生し、訴訟に発展する可能性があります。提起された訴訟の内容及び結果によっては、多大な訴訟対応費用の発生や企業ブランドイメージの悪化等により、当社グループの業績に影響を及ぼす可能性があります。 ⑨　情報の漏洩リスクについて　当社グループは会員組織を運営しており、取扱う個人情報に関しては、個人情報の保護に関する法律の対象となります。また、業務の性質上顧客企業の機密情報も扱っており、情報の管理には万全を期した体制の強化に努めております。万一これらの情報の漏洩や不正使用等があった場合、損害賠償、社会的信用の失墜及び顧客企業との取引停止等により、当社グループの業績に影響を及ぼす可能性があります。 ⑩　知的財産権の侵害リスクについて　当社グループは、第三者の知的財産権を侵害しないように努めておりますが、かかる知的財産権の侵害が生じてしまう可能性を完全に排除することは困難であり、万一知的財産権を侵害してしまった場合には、当社グループの業績に影響を及ぼす可能性があります。 ⑪　内部統制に係るリスクについて　当社グループは、企業価値を最大化すべく、コーポレート・ガバナンスの充実を経営の重要課題と位置づけております。また、業務の適正及び財務報告の信頼性を確保するため、これらに係る内部統制が有効に機能する体制を構築、整備、運用しております。しかしながら、事業の急速な拡大等により、十分な内部管理体制の構築が追いつかない状況が生じる場合には、適切な業務運営が困難となり、当社グループの業績及び財政状態に影響を与える可能性があります。 ⑫　新株予約権の行使による株式価値の希薄化について　当社グループは、取締役、監査役及び従業員に対するインセンティブを目的として新株予約権を付与しております。2024年３月末時点において、新株予約権の目的である株式の数は327,400株であり、当社発行済株式総数7,992,600株の4.1％に相当しております。これら新株予約権又は今後付与される新株予約権の行使が行われた場合、当社グループの株式価値が希薄化する可能性があります。（※）第５回新株予約権（目的である株式の数は99,000株）は提出日に失効し、残りの新株予約権の目的である株式の数は228,400株であり、発行済株式総数の2.9％に相当しております。 ⑬　配当政策に係るリスクについて　当社グループは、株主に対する利益還元を重要な経営課題の一つであると認識しており、事業投資による利益成長、企業価値向上を最優先事項としつつ、一次的に業績のブレが生じても安定的に還元ができるよう「１株当たり配当額の継続的な増加」と「DOE（純資産配当率）４％以上」を基本方針としております。　しかしながら、通期業績、財政状態及びその他の状況の変化によっては、配当政策に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(１）経営成績等の状況の概要　当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。 ①　財政状態及び経営成績の状況（経営成績の状況）　当社グループが属するインターネット広告市場は、社会のデジタル化に伴って着実に成長を続けており、2023年の市場規模は３兆3,330億円（前年比7.8％増）となりました。同年の日本の総広告費は７兆3,167億円（前年比3.0％増）で、調査が開始されてから過去最高を更新しておりますが、インターネット広告費は日本の総広告費の45.5％を占めており、インターネット広告が広告市場全体を支え、牽引している状況といえます。（株式会社電通「2023年 日本の広告費」）。　インターネットが社会全体のインフラとなっている現在、インターネットでアクセスできる各種プラットフォームやWebサイト、Webサービス等は、生活者にとって欠かせない情報源です。中でも、多種多様なアカウントより発信される情報をリアルタイムで入手できるSNSは、生活者の意識や購買行動に与える影響力を増しており、企業においても、SNSを活用したマーケティングに注力する動きが加速しております。 　こうした環境のもと、当社グループにおいては、事業の選択と集中を図りながら、さらなる成長を見据えた事業投資を実施しつつ、顧客企業及び生活者のニーズに合致するSNSを軸としたマーケティングソリューションの開発・提供に注力いたしました。　以上の結果、当連結会計年度の業績は以下のとおりとなりました。 売上高5,673,575千円（前期比37.6％減）営業利益788,792千円（前期比22.0％減）経常利益773,946千円（前期比24.3％減）親会社株主に帰属する当期純利益479,688千円（前期比32.3％減） （注）上記の売上高の減少要因としては、当期首より、マーケティング事業の一部取引について契約内容の変更を行い、売上高がグロス（総額）計上からネット（純額）計上となった影響（前期比39.8％減）を含んでおります。 　セグメント別の業績は以下のとおりです。 （a）マーケティング事業　マーケティング事業は、「美容マーケティング領域」「メディカルマーケティング領域」の２領域から構成されます。各領域の内容は以下のとおりであります。＜美容マーケティング領域＞　主に美容カテゴリの顧客企業に向けたSNSマーケティング支援＜メディカルマーケティング領域＞　美容クリニックに向けたマーケティング・運営DX支援とクリニック専売品の開発・販売 　本事業においては、事業の選択と集中によって美容カテゴリ以外のインフルエンサーサービスや自社メディアにおいて減収となった一方、堅調なSNSマーケティング需要を背景として、美容カテゴリのインフルエンサーサービス及び自社美容メディアであるMimiTVが好調に推移してまいりました。　また、当期及び来期を投資期と位置づけてMimiTVにおける大型プロモーション施策を実施し、広告宣伝費が大幅に増加しました。　以上の結果、当連結会計年度の業績は以下のとおりとなりました。 売上高5,544,558千円（前期比33.7％減）セグメント利益848,113千円（前期比9.6％減） （注）上記のマーケティング事業の売上高の減少要因としては、前述のとおり、一部取引について契約内容の変更を行い、売上高がグロス計上からネット計上となった影響（前期比43.3％減）を含んでおります。（b）インベストメント事業　インベストメント事業は、保有する資金を効果的、効率的に運用するため、非上場会社を始めとする成長事業・企業への投資を行っております。　本事業においては、営業投資有価証券として保有する社債の利息収益、及び営業投資有価証券の売却による売上高及び利益を計上しました。前期は２件の営業投資有価証券の譲渡（売上高642百万円、営業利益103百万円）が発生しましたが、当期は当初予定していた売却収益が発生しませんでした。また、当第４四半期連結会計期間において、保有する営業投資有価証券の評価損失を計上しました。　以上の結果、当連結会計年度の業績は以下のとおりとなりました。 売上高129,017千円（前期比82.3％減）セグメント利益70,989千円（前期比62.3％減） （財政状態の状況）（資産）　当連結会計年度末における総資産は6,788,005千円（前連結会計年度比1,359,337千円増加）となり、流動資産合計6,397,589千円、固定資産合計390,416千円となりました。総資産増加の主な要因としては、営業投資有価証券の社債の償還及び自己株式の処分による収入があったため現金及び預金が増加したことがあげられます。　流動資産の主な内訳は、現金及び預金3,209,250千円、売掛金1,377,383千円、営業投資有価証券1,518,346千円であります。　固定資産の内訳は、有形固定資産116,724千円、無形固定資産124,422千円、投資その他の資産149,269千円であります。 （負債）　当連結会計年度末における負債は2,650,965千円（前連結会計年度比600,240千円増加）となり、流動負債合計2,615,973千円、固定負債合計34,991千円となりました。負債増加の主な要因としては、未払法人税等の減少があった一方で、短期借入金の増加があげられます。　流動負債の主な内訳は、買掛金643,970千円、短期借入金1,501,500千円、未払法人税等147,465千円であります。　固定負債の主な内訳は、資産除去債務27,241千円であります。 （純資産）　当連結会計年度末の純資産は4,137,040千円（前連結会計年度比759,096千円増加）となりました。主な内訳は、資本金629,756千円、資本剰余金765,818千円、利益剰余金2,737,651千円であります。純資産増加の主な要因としては、配当金の支払いがあった一方で、親会社株主に帰属する当期純利益の計上による利益剰余金の増加、自己株式の処分によるその他資本剰余金の増加があげられます。 ②　キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物（以下「資金」という。）は3,209,250千円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの主な要因は次のとおりになります。 （営業活動によるキャッシュ・フロー）　営業活動の結果得られた資金は916,351千円（前年同期間は109千円の使用）となりました。この主な要因は、法人税等の支払いがあった一方で、営業投資有価証券の社債償還による現金及び預金の増加、税金等調整前当期純利益を計上したことによるものであります。 （投資活動によるキャッシュ・フロー）　投資活動の結果使用した資金は230,833千円（前年同期間は86,401千円の使用）となりました。この主な要因は、固定資産の取得による支出や関係会社への貸付による支出、連結範囲の変更を伴う子会社株式の取得による支出があったことによるものであります。 （財務活動によるキャッシュ・フロー）　財務活動の結果使用した資金は1,009,920千円（前年同期間は7,611千円の使用）となりました。この主な要因は、自己株式の取得による支出及び配当金の支払いがあった一方で、短期借入金の借入による収入、第三者割当による自己株式の処分による収入があったことによるものであります。③生産、受注及び販売の実績(1）生産実績　当社グループが行う事業は、提供するサービスの性格上、生産実績の記載になじまないため、当該記載を省略しております。 (2）受注実績　当社グループでは、概ね受注から納品までの期間が短いため記載を省略しております。 (3）販売実績　当連結会計年度における販売実績は次のとおりであります。セグメントの名称販売高（千円）前年同期比（％）マーケティング事業5,544,558△33.7インベストメント事業129,017△82.3合計5,673,575△37.6（注）最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度（自  2022年４月１日至  2023年３月31日）当連結会計年度（自  2023年４月１日至  2024年３月31日）金額（千円）割合（％）金額（千円）割合（％）㈱ピアラ3,031,86133.4--（注）当連結会計年度の販売実績及び当該販売実績の総販売実績に対する割合は、当該割合が10％未満であるため記載を省略しております。 （２）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①　当連結会計年度の財政状態及び経営成績の状況に関する認識及び分析・検討内容（売上高）　当社グループの当連結会計年度における売上高は、5,673,575千円（前期比37.6％減）となりました。　売上高の減少要因としては、前述のとおり、マーケティング事業の一部取引について契約内容の変更を行い、売上高がグロス計上からネット計上となった影響（前期比39.8％減）を含んでおります。また、インベストメント事業において、前期に発生した営業投資有価証券の譲渡２件の影響に加え、当期は当初予定していた売却収益が発生しなかったため大幅な減収となりました。　なお、マーケティング事業においては、美容マーケティング領域においてインフルエンサーマーケティング及び美容メディア「MimiTV」が順調に拡大しております。 （各段階利益）　当社グループの各段階利益は、営業利益は788,792千円（前期比22.0％減）、経常利益は773,946千円（前期比24.3％減）、親会社株主に帰属する当期純利益は479,688千円（前期比32.3％減）となりました。　これは、マーケティング事業の美容マーケティング領域が継続成長したものの、美容マーケティング領域及びメディカルマーケティング領域において積極的に人材採用や広告宣伝等へ投資をしたこと、並びに、インベストメント事業において前述のとおり当初予定していた売却収益が発生せず、さらに営業投資有価証券の評価損失を計上したことによるものであります。 ②　キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当社グループは、事業運営上必要な流動性を常に確保し、高い財務健全性を担保することを基本方針としております。必要な運転資金については、手許資金及び事業により創出されるフリーキャッシュ・フローによることを基本としておりますが、M&amp;Aや成長領域への投資において追加的に資金が必要な場合に備え、金融機関からの借入による資金調達を実施しております。　当連結会計年度末における現金及び現金同等物の残高は3,209,250千円、有利子負債（短期借入金と長期借入金の合計）の残高は1,509,250千円となっております。なお、現金及び現金同等物に加え、営業投資有価証券として半年以内に償還される社債1,300,000千円を有しており、当面の手許流動性について問題はないと考えております。　当連結会計年度のキャッシュ・フローの状況につきましては、「（１）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 ③　重要な会計方針及び見積り　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたっては、会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示について、経営者が過去の実績等を勘案し合理的に見積り・判断を行っておりますが、この見積りには不確実性が内在しているため、実際の結果と異なる可能性があります。　連結財務諸表の作成にあたって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１ 連結財務諸表等　(１）連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】（株式会社アイスタイルとの資本業務提携）　当社は、2024年２月14日開催の取締役会において、株式会社アイスタイル（以下「アイスタイル」という。）と資本業務提携契約（以下「本資本業務提携契約」といい、当該契約に基づく資本業務提携を「本資本業務提携」という。）を締結すること、及び本資本業務提携契約に基づき、アイスタイルを割当先とした第三者割当による自己株式の処分（以下「本自己株式処分」という。）を行うことを決議し、同日付で本資本業務提携契約も締結いたしました。 １．本資本業務提携の目的及び理由　当社は「トレンドを捉え、新しい時代を創る」をミッションに掲げ、マーケティング事業・インベストメント事業の２つの事業を行っております。主力事業であるマーケティング事業においては、2024年３月期より美容カテゴリへの選択と集中を図り、美容商材のデジタル・SNSマーケティング支援を行う美容マーケティング領域と、自由診療クリニックのマーケティング支援・運営DX支援を行うメディカルマーケティング領域の２つの事業領域を展開しております。　一方で、アイスタイルは「生活者中心の市場の創造」をビジョンに掲げ、コスメ・美容の情報サイト「＠cosme」を運営するとともに、「＠cosme」に寄せられた生活者のクチコミや評価等を反映した品揃えや店舗作りをEC・店舗において展開し、オンラインとオフラインを融合した美容関連総合サービスを提供しています。　SNSが美容商材の購買行動に与える影響が高まる一方で、ユーザーのSNSの利用方法はより多様化しており、当社が今後も顧客に価値あるマーケティングサービスを開発・提供し中長期的に成長していくためには、SNS以外の情報接点や顧客接点との連携が重要であると考えております。そのために他社とのアライアンスを模索してきた中で、美容業界においてメディア・EC・店舗という強固な顧客接点を有しており、当社とは異なる強みをもつアイスタイルと情報交換を開始し、かかる情報交換の一環として、両社の協業により見込まれるシナジー効果についても検討を行ってまいりましたが、この度、当社とアイスタイルが業務提携を行い、当社が保有するSNSマーケティング・インフルエンサーマーケティングのノウハウと、アイスタイルが保有する強固なコスメ・美容情報サイトの運営ノウハウ及び化粧品に関する消費者情報にかかる独自のデータベースを掛け合わせたサービスを開発・提供することで、美容業界におけるユーザー・メーカー双方の新たな顧客体験を創出することが可能であり、両社の収益拡大ひいては当社の中長期的な企業価値の向上に資すると判断いたしました。　また、かかる業務提携の目的を達成するためには、当社とアイスタイルのより安定的な関係を構築すべく、アイスタイルが当社普通株式を保有する資本関係を築く必要があると判断したため、資本提携も実施することといたしました。　当社とアイスタイルは本資本業務提携を通して、美容を日本が世界に誇れる産業・文化へと発展させていくことを目指してまいります。 ２．本資本業務提携の内容　当社及びアイスタイルは、美容業界における新たな顧客体験の創出を目指し、相互に協力して以下の内容を実施してまいります。 ①マーケティングソリューションの進化と拡大　当社及びアイスタイルは、両社の顧客である化粧品ブランドへのさらなる価値提供を目指し、両社のアセットを活用することで両社の既存のソリューションを進化させるとともに、新たな顧客を開拓・創出することで両社共に収益拡大を目指します。 ②グローバルビジネスの進化　日本進出を企図する海外の化粧品ブランドに対するマーケティング支援サービス及び海外進出を企図する日本の化粧品ブランドに対するマーケティング支援サービスの開発を目指します。 ③美容経済圏の拡大　両社のアセットを掛け合わせることで、両社のプラットフォームユーザーのロイヤリティを向上しユーザーアクションを増やすとともに、当社が展開するメディカルマーケティング事業等、化粧品以外の市場も視野に入れた美容経済圏の拡大を目指します。 ３．資本業務提携の相手先の概要内容名称株式会社アイスタイル所在地東京都港区赤坂一丁目12番32号代表者の役職・氏名代表取締役会長CEO　吉松　徹郎事業内容マーケティング支援事業リテール事業グローバル事業その他事業資本金5,719百万円（2024年３月31日現在）  
研究開発活動	６【研究開発活動】　該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度における当社グループの設備投資の総額は91,132千円で、その主な内容は、連結子会社の新規店舗設立によるもの及び自社メディアにおけるソフトウエアの開発によるものであります。 
主要な設備の状況	２【主要な設備の状況】(1）提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物工具、器具及び備品ソフトウエアその他合計本社（東京都　渋谷区）マーケティング事業インベストメント事業本社業務設備、ソフトウエアの開発等38,7146,55240,42113,57099,259197（注）１．現在休止中の主要な設備はありません。２．上記の建物は、建物及び建物附属設備であります。３．上記のほか、他の者からの重要な賃借設備の内容は下記のとおりであります。事業所名（所在地）設備の内容床面積年間賃借料（千円）本社（東京都渋谷区）本社事務所1,013.48㎡69,989 (2）国内子会社2024年３月31日現在事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物工具、器具及び備品ソフトウエアその他合計一般社団法人涼香会（東京都中央区）マーケティング事業店舗設備等69,0542,4023,008－74,46518（注）１．現在休止中の主要な設備はありません。２．上記の建物は、建物及び建物附属設備であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式20,000,000計20,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,992,6007,992,600東京証券取引所グロース単元株式数は100株であります。完全議決権株式であり、権利内容に何ら限定のない当社の標準となる株式であります。計7,992,6007,992,600－－（注）「提出日現在発行数」欄には、2024年６月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれません。 
