項目	値
事業の内容	" ３ 【事業の内容】１　当社の事業　当社は、GMOインターネットグループで共有する「GMOイズム」のもと、「For your Smile,with Internet.」を企業理念として掲げ、関わるすべての人々にインターネットを通じて「笑顔、ほほえみ、幸福、満足、ここちよさ」を提供していくという想いで事業を展開しています。教育、美容医療、ポイ活、ゲームなど様々な領域においてユーザーの皆さまに情報提供を行うインターネットメディア事業を行うとともに、同事業で培ったノウハウを元に、パートナーの収益化サポート及びDX支援を行うソリューション事業を行っており、近年ではIT人材不足の社会課題解決のためIT人材育成支援活動にも積極的に取り組んでおります。 ポイントタウン1999年12月にサービスを開始した『ポイ活』サービスです。ゲームやアンケートへの回答などアクションによって無料でポイントを貯められ、貯めたポイントは30種類以上のポイントサービスのほか、現金、電子マネー、ギフト券とも交換できます。ゲソてんPC・スマートフォンそれぞれで本格オリジナルゲームから手軽に遊べるカジュアルゲームまでさまざまなコンテンツを提供しているHTML5ゲームプラットフォームです。かんたんゲームボックス脳トレやパズルゲームなどの定番ゲーム100種類以上を無料で遊ぶことができるゲームサイトです。 他のみんなとゲームのスコアランキングに参加して競い合えるほか、ゲームを遊んだ結果に応じてLINEポイントなどが当たる抽選くじに参加することができます。プリキャン2008年生まれの女の子向けコミュニティサービス。人と人をつなぎ、女の子たちのhappyを育むような、居心地の良い場所の提供を目指しています。会話で楽しむチャット小説サービス「プリ小説」、画像でつながりあうコミュニケーションサービス「プリ画像」、女の子のためのニュースメディア「prican news」からなります。コエテコ日本最大級のプログラミング教室のポータルサイトです。教室掲載数No1で口コミ掲載数も国内最大級になります。コエテコカレッジ オンラインで講座を販売したいという講師の方向けの販売・管理サービスです。動画講座はもちろんZoomウェビナーなどのライブ講座や、カリキュラムのある連続講座にも対応しています。くまポン飲食店、美容クリニックなどのサービスクーポンと飲食料品や日用雑貨などの通販商品を、通常よりもおトクな価格で提供しているクーポンサイトです。キレイパス美容医療のチケット購入サイトです。 ""美容医療で私らしく""をコンセプトに、わかりやすい検索機能で自分にぴったりな施術を見つけることができます。 事前決済のチケット制をとり、わかりやすい料金表示で、追加料金などの心配もなく安心してご利用いただけるサービスです。GMOリピータス運営開始から20年を超える「ポイントタウン」で培ったノウハウを活かし、企業の独自のポイントサイト構築・運営を支援するシステムを提供しています。アフィタウンGMOメディアのメディア運営のナレッジを活かし、成果報酬型の広告配信を中心に運営しているASP（アフィリエイトサービス・プロバイダ）です。   　２　事業の内容(1) メディア事業ア　ポイ活メディア『ポイ活』サービス「ポイントタウン」およびHTML5ゲームプラットフォーム「ゲソてん」による収益になります。「ポイントタウン」はEC事業者からのアフィリエイト広告報酬からユーザーに還元するポイントを控除した部分が収益となり、「ゲソてん」はゲーム内課金とゲーム内広告が収益となっております。   イ　教育事業小学生向けプログラミング教育メディア「コエテコ」、社会人向けプログラミング教育メディア「コエテコキャンパス」およびオンライン講座管理サービス「コエテコカレッジ」による収益になります。「コエテコ」「コエテコキャンパス」は広告収益になり、当社メディアを経由したプログラミング教室への申し込みによって報酬が発生します。「コエテコカレッジ」はシステム利用料収入になり、オンライン講座を実施する講師から手数料収入を得ています。  ウ　美容医療事業美容クリニックチケットサービス「キレイパス」による収益になります。「キレイパス」を経由したチケットの購入に際して、手数料収入を得ています (2) ソリューション事業アフィリエイト広告を自社媒体に掲載する事によって蓄積させてきた、マネタイズのノウハウや広告主とのネットワーク、広告管理システムを活用して、社外メディアの収益化をお手伝いしております。 "
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】近年、インターネット広告市場の伸びが緩やかとなり、スマートフォンの普及が進んだ事に伴って、インターネットユーザーの可処分時間のシェア争いが激化している状況にあります。　　このような経営環境において、当社においては、運営するインターネットメディアに流入したユーザーの量に依存した広告ビジネスモデルだけではなく、これまでのユーザーとの接点やメディアの運営ノウハウを活かした形で質の高いサービスを提供し、リピート利用してもらうために、提供する付加価値を強化する必要があると考えております。 　この点、当社グループにおいては、ポイントやクーポンを通じて潜在的ユーザーやリピートユーザーに向けて「お得なEC 体験」を提供してきました。さらに、最近ではこうしたサイトの運営を通じて培ったノウハウをベースに、「O2O」（※1）分野のサービス展開を進めています。オンライン上での掲載情報の充実だけではなく、「コエテコ」においてはスクールの比較検討と体験会への申込み、「キレイパス」においてはクリニックの検索から事前決済という、情報の検索から来店申し込みまでをサイト上で一括明瞭かつスムーズに行えるようにし、ユーザーと店舗双方にとって価値のあるサービスを提供しています。 （※1）Online to Offline…オンライン（インターネット上）からオフライン（インターネット外）への行動を促すこと 
事業等のリスク	 ３ 【事業等のリスク】当社グループの事業展開上のリスク要因となる可能性のある主な事項については、以下のようなものがあります。必ずしも重要なリスクに該当しない事項についても、投資家の投資判断上、重要と判断した事項については、投資家に対する情報開示の観点から積極的に開示しております。当社グループはこれらのリスクの可能性を考慮した上で、リスクの発生の回避や分散、または問題が発生した場合の対応について最大限努めて参ります。なお、以下の記載のうち将来に関する事項は、特段の記載のない限り、本書提出日現在において当社グループが判断したものであり、将来において発生の可能性があるすべてのリスクを網羅するものではありません。 ａ．事業環境（外部環境）について(a) インターネット広告市場に関するリスク当社グループが取り扱うインターネット広告市場は、市場変化や景気動向の変動によって広告主が広告費用を削減する等、景気動向の影響を受ける可能性があります。その場合には、広告出稿量が減少し、又は広告掲載単価が下落するなど、当社グループの業績に影響を及ぼす可能性があります。 (b) 広告仕入れに関するリスクインターネット広告は、広告代理店やアドネットワーク事業者を通じて受注掲載しており、特定の事業者の割合が多くなり、当該事業者側の事情によって掲載方法の指定の変更を受けると、広告掲載量や単価が下落する場合があります。 (c) 集客コストに関するリスク当社グループはSEOノウハウを活用して、検索エンジン経由でプロモーションコストをかけずに低コストで新規登録会員を獲得することを目指しております。検索エンジンの表示順位判定基準（アルゴリズム）の変更によって、当社グループサービスの表示順位が下がった場合には、集客が困難になって、新規登録会員が減少する可能性があります。 (d) 事業戦略に関するリスク当社グループは自社で運営している媒体に掲載された広告収入を主な収益としております。そのため、できるだけ多くのユーザーにアクティブに利用してもらう事が必要であり、魅力ある新規サービスの投入、既存サービスのリニューアル等を行うことにより、競争力の維持向上を図っております。魅力あるサービスの提供ができない場合には、ユーザーの支持が得られず、新規のユーザーの獲得ができないだけでなく、既存のユーザーが流失し、当社グループの経営成績及び事業展開に影響を及ぼす可能性があります。  (e) 技術革新に関するリスク当社グループの事業領域においては、日々急激な技術革新が進み、新しいサービスが登場しているとともに、ユーザーのニーズの変化の速さも特徴とされております。当社グループでは常にそれらに対応し、ユーザーニーズの変化・拡大に伴うサービスの提供を行うために、積極的な技術開発を行っております。　しかしながら、当社グループのこれまでの経験が生かせないような技術革新があり、適時に対応ができない場合には、ユーザー及び広告クライアントが離れ、当社グループの事業及び業績に影響を及ぼす可能性があります。 (f) 投資に関するリスク当社グループは、投資先企業の成長を通じた投資効果や事業シナジー効果を期待して企業に対し投資を実施しております。　投資先企業の事業が計画どおり進捗しない場合、また、想定した事業シナジー効果が得られない場合には、当社グループの業績および財務状況に影響を与える可能性があります。  （g）自然災害等に関するリスク当社グループの事業拠点において、災害や疫病等が発生し、これによって当社グループ事業が対象とする市場が縮小する等の影響を受ける場合には、当社グループの業績に影響を与える可能性があります。また、従業員の安全を確保するために在宅勤務への切り替え等、業務執行方法の変更を図る場合がありますが、これによって業務の停止および遅延が発生して業績に影響を与える可能性があります。　ｂ．開発運用体制（内部環境）について(a) 内部管理体制について当社グループは、企業価値を最大化すべく、コーポレート・ガバナンスの充実を経営の重要課題と位置づけ、多様な施策を実施しております。また、業務の適正及び財務報告の信頼性を確保するため、これらに係る内部統制が有効に機能するよう体制を構築、整備、運用しております。　しかしながら事業規模に応じた内部管理体制の構築に遅れが生じた場合には、当社グループの事業及び業績に影響を与える可能性があります。　(b) 人材リソースマネジメントについて当社グループは、自社でサービスを構築運用する、インターネットサービスのメーカーのような存在であると考えており、ユーザーに付加価値の高いサービスを提供するためには、作る人のリソースの確保が重要になっております。作る人のリソースが十分に確保され専門性を発揮して長期的な視点で良いサービスの提供に努めなければ、サービスは陳腐化・老朽化し、ユーザーから支持されなくなってしまいます。このような場合には、サービスの競争力が低下し、あるいはサービスの品質の低下によってユーザーからの支持を失って、当社グループの事業及び業績に影響を与える可能性があります。　(c) 情報セキュリティについて 当社グループは、第三者によるサーバー等への侵入に対して、ファイヤーウォールや対策機器等のシステム的な対策を施すほか、専門のエンジニアを配置することにより情報セキュリティ対策強化を推進しております。　しかしながら、悪意をもった第三者の攻撃等により、ユーザー情報の漏洩や改ざん等の可能性、及び、サービス自体が提供できなくなる等の可能性は否定できません。　このような事態が生じた場合には、当社グループに対する法的責任の追及、企業イメージの悪化等により、当社グループの事業及び業績に影響を及ぼす可能性があります。 　ｃ．法的規制について(a) 個人情報保護法について当社グループでは個人情報取扱事業者として多数のユーザーの個人情報を保有しております。当グループ社では、法令や各種ガイドラインに基づいて、社内ルールを定めて適切な管理を図るとともに、従業員教育、システムのセキュリティ強化、個人情報取扱状況の内部監査等を実施し、個人情報管理の強化に努めております。　個人情報の漏洩が発生した場合には、当社グループへの損害賠償請求や社会的信用の失墜により、当社グループの業績に重大な影響を及ぼす可能性があります。　(b) プロバイダ責任制限法について当社グループは特定電気通信役務提供者として「特定電気通信役務提供者の損害賠償責任の制限及び発信者情報の開示に関する法律」の適用を受けております。同法は、インターネット等による情報の流通によって権利の侵害があった場合について、特定電気通信役務提供者の損害賠償責任の制限及び発信者情報の開示請求権等を規定しております。送信防止措置及び発信者情報の開示等は、ユーザー及び情報発信者の表現活動に影響を及ぼすものであるため、当社グループは同法の趣旨に鑑み、慎重かつ適切な判断を行うよう努めておりますが、訴訟等の段階において、その判断が適切でなかったと認定された場合は、ユーザーまたはその他の関係者、行政機関等から、クレーム、損害賠償請求、行政指導、または勧告等を受ける可能性があり、その場合には当社グループの事業及び業績に影響を与える可能性があります。  (c) サービス利用者の違法行為について当社グループの運営するサービス上において、ユーザーが他人の所有権、知的財産権、プライバシー権等の権利を侵害する行為を行うこと、法令や公序良俗に反するコンテンツのアップロードを行うこと等の危険性が存在しております。かかる事態が生じることを防止すべく、投稿監視業務を行っている他、随時当社グループの担当者が利用規約に基づく警告・違法情報の削除等を行っております。このような措置を講じていても、著作権法等の改正によって、法令違反の範囲が拡大された場合には、上記危険性が増大する可能性があります。　(d) 当社グループによる権利侵害について当社グループは管理部門において自社の事業活動が他社の知的財産権等を侵害していないかの確認を実施しております。事業活動を行うプロセスにおいて使用しているソフトウエア及びシステムは第三者の知的財産権等を侵害するものではないと認識しております。しかしながら不測の事態、あるいは何らかの不備により第三者の知的財産権等を侵害してしまう可能性、もしくは、当社が使用する技術について侵害を主張され防御又は紛争の解決のための費用又は損失が発生する可能性は否定できないものと認識しております。また、将来当社グループによる特定のサービスの提供もしくは特定の技術の利用に制限が課せられ、当社グループの事業及び業績に影響を及ぼす可能性があります。　ｄ．GMOインターネットグループとの関係について(a) グループにおける位置づけ当社グループは、親会社であるGMOインターネットグループ株式会社を中心とした企業集団（以下、GMOインターネットグループ）に属しております。同社は当社の株式の65.20％（2023年12月末時点）を保有する筆頭株主であり、「すべての人にインターネット」というコーポレートキャッチのもと、インターネットインフラ事業、インターネット金融事業、インターネット広告・メディア事業、暗号資産事業を行っております。当社グループは、GMOインターネットグループのインターネット広告・メディア事業セグメントに属しており、ユーザーとの顧客接点を築き、当社グループの他のサービスだけでなく、グループが有する様々な商材を利用していただくことを促進する起点としての役割を担う会社と位置づけられております。しかしながら、グループの方針や環境が変わり、グループ他社から競合となるサービスが創出された場合には当社グループの事業及び業績に影響を与える可能性があります。 (b) GMOインターネットグループとの取引GMOインターネットグループとの取引については、取引条件の経済合理性を保つため定期的に契約の見直しを行っており、今後発生する新規取引等につきましても、市場原理に基づいて取引の是非を判断してまいります。　しかしながら、GMOインターネットグループとの取引条件等に大きな変更が生じた場合や、取引が困難となった際の代替事業者の確保に時間を要した場合等には、当社グループの事業及び業績に影響を及ぼす可能性があります。 (c) 親会社からの独立性の確保について当社グループの事業展開にあたっては、親会社等の指示や事前承認に基づいてこれを行うのではなく、一般株主と利益相反が生じるおそれのない独立役員、及び過半数を占める親会社との兼務関係に無い取締役を中心とする経営陣の判断のもと、独自に意思決定して実行しております。当社グループが企業価値の向上等の観点から、親会社等のグループと営業取引を行う場合には、新規取引開始時及び既存取引の継続時も含め少数株主の保護の観点から取引条件等の内容の適正性を、その他第三者との取引条件と比較しながら慎重に検討して実施しております。  (d) GMOインターネットグループとの人的関係について当連結会計年度末現在における当社の役員12名のうち、取締役会長である熊谷正寿、取締役である安田昌史、監査役である松井秀行は、それぞれGMOインターネットグループ株式会社の代表取締役グループ代表 会長兼社長執行役員・CEO、取締役グループ副社長執行役員・CFOグループ代表補佐グループ管理部門統括、取締役監査等委員でありますが、その豊富な経験をもとに当社グループの事業や監査に関する助言を得ることを目的として招聘しております。GMOインターネットグループ役員兼務の者の氏名、当社及び親会社(または兄弟会社)における役職、兼任の理由は以下のとおりです。氏名当社における役職親会社または兄弟会社兼任の理由名称役職熊谷　正寿取締役会長(非常勤)GMOインターネットグループ㈱代表取締役グループ代表 会長兼社長執行役員・CFO当社事業に関する助言を得ることを目的としたものであります。GMOペイメントゲートウェイ㈱取締役会長(非常勤)GMOグローバルサイン・ホールディングス㈱取締役会長(非常勤)GMOアドパートナーズ㈱取締役会長(非常勤)GMOぺパボ㈱取締役会長(非常勤)GMOリサーチ㈱取締役会長(非常勤)GMO TECH㈱取締役会長(非常勤)安田　昌史取締役(非常勤)GMOインターネットグループ㈱取締役グループ副社長執行役員・CFOグループ代表補佐グループ管理部門統括当社事業に関する助言を得ることを目的としたものであります。GMOペイメントゲートウェイ㈱取締役(非常勤)GMOグローバルサイン・ホールディングス㈱取締役(非常勤)GMOアドパートナーズ㈱取締役(非常勤)GMOリサーチ㈱取締役(非常勤)GMO TECH(株)取締役(非常勤)GMOフィナンシャルホールディングス(株)取締役(非常勤)GMOあおぞらネット銀行㈱社外取締役(非常勤)松井　秀行監査役（非常勤）GMOインターネットグループ㈱取締役監査等委員公正かつ客観的な監査を行っていただくことを目的としたものであります。GMOリサーチ㈱監査役（非常勤） 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(経営成績等の状況の概要)当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 (1) 財政状態及び経営成績の状況当連結会計年度における経済状況は、短期的には資源価格の高騰やインフレの進行、長期的には労働力不足や人口減少が課題になっており、景気減速の懸念が強まっています。このような状況において、当社では、2023年度12月期においても、中長期を見据えて将来の事業の中核となる事業を育てるため、引き続き、教育と美容医療領域を中心に開発と投資をすすめて参りました。当連結会計年度においては、メディア事業のうち、クーポン事業が不調であったものの、ゲーム事業が好調であり、教育や美容医療などの投資育成事業についても成長いたしました。ゲーム広告においては、ユーザー数の増加に加えて広告単価が好調に推移し、教育事業においては、国や公共団体のリスキリング支援による需要増を受けて、好調に推移しております。以上の結果、当連結会計年度における経営成績につきましては、売上高は6,266百万円（前年同期比12.1％増）、営業利益は533百万円（前年同期比72.0％増）、経常利益は540百万円（前年同期比75.7％増）、親会社株主に帰属する当期純利益は361百万円（前年同期比97.4％増）となりました。セグメント別の業績については、以下の通りになります。① メディア事業当社自身の顧客基盤を持ち、Web・アプリで運営するサービスであるメディア事業については、投資育成事業を中心に成長しました。そのため、当連結会計年度におけるメディア事業の売上高は5,446百万円(前年同期比13.2%増)、営業利益は385百万円(前年同期比159.8%増)となりました。② ソリューション事業自社メディアの機能を外部展開し、提携パートナーのサービス収益化やエンゲージメントの向上を支援するサービスであるソリューション事業については、一部案件の停止があったもののユーザー数が堅調に成長し、当連結会計年度における売上高は819百万円(前年同期比5.1%増)、営業利益は148百万円(前年同期比8.2%減)となりました。  　当連結会計年度末における資産、負債及び純資産の状況は次のとおりであります。連結会計年度末における総資産は5,470百万円(前連結会計年度末比485百万円増)となりました。これは主に、売掛金が18百万円減少し、一方で現金及び預金が259百万円、関係会社預け金が150百万円、無形固定資産が28百万円増加したことによるものであります。負債は3,068百万円(前連結会計年度末比174百万円増)となりました。これは主に、未払法人税等が4百万円減少した一方で、買掛金が113百万円、未払金が45百万円増加したことによるものであります。純資産は2,401百万円(前連結会計年度末比310百万円増)となりました。これは主に、配当により利益剰余金が93百万円減少した一方で、親会社株主に帰属する当期純利益361百万円を計上したことによるものであります。 (2) キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物(以下「資金」という。)の残高は、前連結会計年度末に比べ409百万円増加し、3,277百万円となりました。当連結会計年度における各キャッシュ・フローの状況は以下のとおりであります。 　(営業活動によるキャッシュ・フロー)当連結会計年度において営業活動により得られた資金は、592百万円（前年同期は395百万円の収入）となりました。これは主に、税金等調整前当期純利益が526百万円であったことによるものであります。 　(投資活動によるキャッシュ・フロー)当連結会計年度において投資活動により支出した資金は、111百万円（前年同期は171百万円の支出）となりました。これは主に、無形固定資産の取得による支出85百万円及び投資有価証券の取得による支出25百万円によるものであります。 　(財務活動によるキャッシュ・フロー)当連結会計年度において財務活動により支出した資金は、71百万円（前年同期は2百万円の収入）となりました。これは主に、リース債務の返済７百万円及び配当金の支払92百万円の支出の一方で、自己株式の処分による28百万円の収入によるものであります。 　(資本の財源及び資金の流動性)　　当社は、事業活動に必要な資金の流動性及び資金の源泉を安定的に確保することを基本方針としております。当社の資金需要は、運転資金のほか広告宣伝やソフトウエア開発、当社サービスと相乗効果を見込める事業への投資等であります。これらの資金需要に対し営業キャッシュ・フロー及び自己資金を主な源泉と考えております。また、GMOインターネットグループ・キャッシュマネジメントサービスにより調達も可能となっております。  (生産、受注及び販売の状況)(1) 生産実績当社グループは生産活動を行っておりませんので、該当事項はありません。 (2) 受注状況当社グループは受注から販売までの期間が短いため、当該記載を省略しております。 (3) 販売実績 当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度(自　2023年１月１日　至　2023年12月31日)前年同期比(％)メディア事業(千円)5,446,794113.2ソリューション事業(千円)819,293105.1合計(千円)6,266,087112.1  (注) 主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度(自　2022年１月１日　至　2022年12月31日)当連結会計年度(自　2023年１月１日　至　2023年12月31日)金額(千円)割合(％)金額(千円)割合(％)Google Asia Pacific Pte. Ltd. 1,676,47230.01,783,85828.4   （経営者の視点による経営成績等の状況に関する分析・検討内容）経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は以下のとおりであります。文中の将来に関する事項は、本書提出日現在において当社が判断したものであります。　(1) 重要な会計方針、会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成に当たりまして、経営者による会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示に影響を与える見積りを必要としております。経営者はこれらの見積りに対して、過去の実績等を勘案し合理的に判断しておりますが、実際の結果は、見積りによる不確実性のため、これらの見積りと異なる場合があります。なお、当社グループの連結財務諸表の作成に際して採用している重要な会計方針は、「第５ 経理の状況 １連結財務諸表等 注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載しております。ポイント引当金の計上についての重要な会計上の見積り及び当該見積りに用いた仮定は、「第５ 経理の状況 １連結財務諸表等 注記事項（重要な会計上の見積り）」に記載しております。　(2) 財政状態の分析財政状態とそれらの要因については、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 財政状態及び経営成績の状況」をご参照ください。 (3) 経営成績の分析経営成績とそれらの要因については、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 財政状態及び経営成績の状況」をご参照ください。 　親会社株主に帰属する当期純利益について親会社株主に帰属する当期純利益は361百万円（前年同期比97.4％増）となりました。 (4) キャッシュ・フローの分析各キャッシュ・フローの状況とそれらの要因については、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(2) キャッシュ・フローの状況」をご参照ください。 (5) 経営者の問題認識と今後の方針について経営成績に重要な影響を与える要因については、「第２　事業の状況　３　事業等のリスク」に記載のとおり、事業環境、事業、組織体制等、様々なリスク要因が当社の経営成績に重要な影響を与える可能性があると認識しております。そのため常に市場動向に留意しつつ、内部管理体制を強化し、優秀な人材を確保し、市場のニーズに合ったサービスを展開していくことにより、経営成績に重要な影響を与えるリスク要因を分散・低減し、適切に対応して参ります。当社は、創業以来構築してきた顧客接点をメディアとして広告事業および課金事業を行っております。インターネットは、デバイス・通信環境の進化が激しく、サービスのライフサイクルも比較的短期になる傾向があります。このような環境において成長を続けるためには、変化の兆候をいち早く捉え、状況に応じた適切な打ち手を機動的に講じる必要があると考えております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】相手方の名称契約品目契約締結日契約内容契約期間Apple Inc.Registered Apple Developer Agreement2010年３月24日iOS搭載端末向けアプリケーションの配信及び販売に関する規約契約期間は定められておりませんGoogle Inc.Google Play Developer Distribution Agreement2010年３月19日Android搭載端末向けアプリケーションの配信及び販売に関する規約契約期間は定められておりません  
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度中に実施した設備投資等の総額は81百万円（無形固定資産を含む）であり、主なものは当社ゲーム関連ソフトウェアが８百万円、GMOビューティー株式会社キレイパス関連ソフトウェアが62百万円です。なお、当連結会計年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社2023年12月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額従業員数(人)建物(千円)工具、器具及び備品(千円)リース資産(千円)無形固定資産(千円)合計(千円)本社(東京都渋谷区)－本社事務所11,9727,9406,1911,40927,51312(6)本社(東京都渋谷区)メディア事業ソフトウエア、のれん等―――14,88414,884103(7)本社(東京都渋谷区)ソリューション事業ソフトウエア―――9,4519,45125(3) (注) １．本社の建物は賃借中のものであり、帳簿価額は建物附属設備及び資産除去債務について記載しております。本社の建物の年間賃借料は、58,116千円であります。２．本社の無形固定資産はソフトウエア、電話加入権であり、メディア事業の無形固定資産はのれん、ソフトウエア、ソフトウエア仮勘定、商標権であり、ソリューション事業の無形固定資産はソフトウエアであります。３．従業員数の(　)は、臨時従業員数を外書しております。 (2) 国内子会社2023年12月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額従業員数(人)建物(千円)工具、器具及び備品(千円)リース資産(千円)無形固定資産(千円)合計(千円)GMOビューティー㈱(東京都渋谷区)メディア事業ソフトウエア01,182―130,903132,08567(3)  (3) 在外子会社該当事項はございません。  
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式1,900,000計1,900,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月19日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,868,8391,868,839東京証券取引所(グロース)１単元の株式数は100株であります。計1,868,8391,868,839―― (注)　提出日現在の発行数には、2024年３月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
