項目	値
事業の内容	
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	２【経営上の重要な契約等】　当社は、平成29年11月30日開催の取締役会において、ＧＭＯスピード翻訳株式会社の株式の取得を行うことについて決議し、同日付でＧＭＯクラウド株式会社との間で株式譲渡契約を締結いたしました。　また、株式譲渡契約の詳細につきましては「第４　経理の状況　１　四半期連結財務諸表　注記事項（重要な後発事象）」に記載のとおりとなります。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式15,921,600計15,921,600
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（平成29年11月30日）提出日現在発行数（株）（平成30年１月12日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式10,041,46010,041,460東京証券取引所マザーズ権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計10,041,46010,041,460－－　（注）「提出日現在発行数」欄には、平成30年１月１日からこの四半期報告書提出日までの新株予約権の行使により　　　発行された株式数は含まれておりません。
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】　　前事業年度の有価証券報告書提出日後、当四半期累計期間における役員の異動は、次のとおりであります。　　　役職の異動新役名新職名旧役名旧職名氏名異動年月日取締役－取締役マーケティング本部長　CMOジェイコブソン　陽子平成29年6月15日
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
