項目	値
事業の内容	３【事業の内容】　当社は「自治体を通じて人々に新たな価値を提供し、会社及び従業員の成長を追求する」を企業理念に掲げ、「財政難に苦しむ地方自治体向けに新たな自主財源確保を」を合言葉に、自治体の自主財源確保を支援するＰＰＳ事業（Public Private Sharing）を行っております。なお、ＰＰＳとは、自治体が有する公共資産等を民間と共有することで、自治体には自主財源の確保を、民間には事業活動や販売促進活動の機会を提供するという両者双繁栄のサービスを行うことを意味しております。当社はＰＰＳ事業の単一セグメントでありますが、ＰＰＳ事業を、その事業モデルに応じて「財源確保支援サービス」、「営業活動支援サービス」及び「情報プラットフォームサービス」の３つのサービスに区分しております。 　ＰＰＳ事業における各サービスの具体的な内容は次のとおりであります。(1）財源確保支援サービス　財源確保支援サービスでは、自治体が有するホームページや広報紙等の広告枠を仕入れ、民間企業に販売するＤＳサービス、及び自治体が住民向けに発行する子育て情報冊子等のデザイン・制作業務を当社が行い、自治体に寄贈するＭＣサービスを行っております。なお、財源確保支援サービスは現在当社の主たるサービスであり、売上高の大半を占めております。①　ＤＳ（デッドスペース）サービス　ＤＳサービスは、自治体が有するホームページ、広報紙、公務員に配られる給与明細、各種封筒等の配布物等、様々な媒体の広告枠を入札により仕入れ民間企業に販売するサービスであり、自治体の自主財源確保の手段の一つとして、既存の遊休スペースの有効活用を支援するという特徴があります。自治体広告市場は、自治体の財政状況が厳しさを増す中で、自治体資産に民間事業者の広告を掲載することで新たな財源を確保し、また、情報発信を通じて市民サービスの向上や地域経済の活性化など、二次的な効果を期待して立ち上がったものと言われております。平成16年度に横浜市が全国に先駆けて広告事業の専門組織を立ち上げ、全市的に広告事業を展開し、また、平成17年に国の「行政効率化推進計画」に、効率化のための取り組みとして「国の広報印刷物への広告掲載」が追加され、これにより自治体の広告事業への取り組みが拡がりました（注）。しかしながら、従前、自治体が自ら広告枠の販売を行っていた際には、自治体は事務作業や事務コスト等を負担しなければならず、また、自治体にノウハウが少ないために広告枠が売れ残り、想定していた財源を確保できない場合もありました。　同サービスでは、当社が広告枠を一括で仕入れ民間企業への販売を行うため、自治体は事務作業・コスト負担の削減、安定した財源確保が可能となります。また、広告主に対しては、企業ごとのターゲットエリア、ターゲット層にマッチした媒体への広告掲載を提案することで、広告効果という付加価値を提供しております。（注）　「自治体の収入増加に関する調査研究」（平成22年３月　財団法人地方自治研究機構）による。 ②　ＭＣ（メディアクリエーション）サービス　ＭＣサービスは、住民向けに自治体が発行する子育て情報冊子等について、当社が広告主を募集し、制作した当該情報冊子等を自治体に寄贈するサービスであります。自治体が自費制作する場合、費用の関係からページ数や色数等デザインに制限を受けてしまい、また、事務作業や事務コストの負担の関係から発行できない自治体もあります。同サービスでは、当社がデザイン・制作を無償で行うため、自治体は事務作業やコストの大幅な削減が可能となる他、デザイン性の高い情報冊子等の提供が可能となります。また、広告主に対しては、企業のサービス内容、ターゲットエリアやターゲット層にマッチした媒体への広告掲載を提案することで、広告効果という付加価値を提供しております。なお、現在の主な取扱媒体は、子育てに関する情報を集約した「子育て情報冊子（注）」ですが、空き家対策に関する分野等への展開も進めております。（注）　厚生労働省による「乳児家庭全戸訪問事業（こんにちは赤ちゃん事業）」の一環として子育て支援に関する情報を提供するために作成される冊子。 (2）営業活動支援サービス　営業活動支援サービスでは、財源確保支援サービスでの自治体との取引実績・ノウハウ等を活用して、事業会社（委託者）の商品・サービスについて自治体への営業・提案の代行を行う「営業代行サービス」、及び自治体に対し商品やサービスのニーズ等に関する調査を行う「マーケティングリサーチサービス」を行っております。①　営業代行サービス　営業代行サービスでは、自治体に対し、事業会社の商品やサービスに関する営業・提案を行っております。また、提案業務の一環として、業務提携先であるBIJIN&amp;Co.㈱が開発したシステム「クラウドキャスティング（注）」の利用提案を行っております。（注）　BIJIN&amp;Co.㈱の登録商標であり、アスリートやタレント等著名人へのイベント出演依頼をＷｅｂ上で行えるシステム。②　マーケティングリサーチサービス　自治体に対し、事業会社の商品やサービスのニーズ等に関する調査を行っております。事例としては、市役所内の業務環境改善の一環としてコーヒーメーカーの設置に関する調査やWi-Fi環境の整備状況に関する調査等が挙げられます。 (3）情報プラットフォームサービス　情報プラットフォームサービスは、自治体が発行する広報紙を含め様々な紙媒体の情報メディアを発行自治体との協定に基づき電子メディア化しスマートフォン対応アプリ「ｉ広報紙（注１）」に掲載するサービス、及び発信情報を住民目線で再編集し、同アプリで閲覧できるサービス（地域住民向け自治体コンテンツのキュレーションサービス（注２））を行っております。なお、キュレーションサービスは「子ども（子育て）」「イベント」「福祉（介護）」「仕事」といったテーマごとの切り口で自治体情報を横断的に閲覧できるサービスです。現在、自治体による広報紙等の掲載、ユーザーによるダウンロードや情報の閲覧といったサービスは無料で提供しており、アプリ内に掲示される広告により収入を得ております。平成28年６月現在、400の自治体がｉ広報紙を導入しており、ＤＬ数も13万に達しております。（注）１．平成28年９月15日付で、名称を「ｉ広報紙」から「マチイロ」に変更しております。２．ウェブ上のコンテンツを、ある特定のテーマや切り口で読みやすくまとめ、編集・共有・公開するサービス。 　なお、財源確保支援サービスにおける主な媒体種別の一覧及び特徴は次のとおりであります。 媒体種別特徴イメージホームページバナー自治体のホームページ上に設けた広告枠を販売します。自治体のホームページ訪問者へ訴求する広告を掲載できるという特徴があります。広報紙自治体が発行する広報紙内に設けた広告枠を販売します。定期的に発行され、地域住民へ個別に配布されるため、リーチ力に優れた広告を掲載できるという特徴があります。公務員給与明細公務員の給与明細書内に設けた広告枠を販売します。公務員への給与支給の都度配布され、公務員という一定のターゲットへ訴求する広告を掲載できるという特徴があります。カレンダーごみ収集カレンダーや市民イベントカレンダー等に設けた広告枠を販売します。家庭で長期的に保存され閲覧されるという特徴があります。各種封筒等納税通知書送付用封筒や各種健診通知用封筒、介護保険通知書送付用封筒等の自治体が送付する封筒に設けた広告枠を販売します。封筒種別によってターゲットを特定でき、必ず手元に届くという特徴があります。庁舎等内外自治体の庁舎等内外（窓口カウンター部、エレベーターの扉、掲示板・壁面など）を広告枠として利用し、販売します。庁舎等に勤める公務員をメインターゲットとし、訪れる市民も含めて訴求する広告を掲載できるという特徴があります。デジタルサイネージデジタルサイネージ化された公有財産に流れる映像内に広告を放映します。近年注目される媒体であり、不特定多数の市民等をターゲットとした広告を掲載できるという特徴があります。公共車車体自治体の保有する車両（例　ゴミ収集車、公用車）に設けた広告枠を販売します。掲示されるタイプの広告としては一定の場所に留まらないという特徴があります。子育て情報冊子子供が生まれた家庭向けに自治体から配布される子育て情報冊子に設けた広告枠を販売します。母親世代へ直接的に配布されるため、母親という一定のターゲットへ訴求する広告を掲載するという特徴があります。 ［事業系統図］　当社の主要なサービスである、財源確保支援サービスの事業系統図は以下のとおりであります。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	４【事業等のリスク】　本書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のあると考えられる事項を記載しております。また、必ずしもそのようなリスク要因に該当しない事項につきましても、投資者の投資判断上、重要であると考えられる事項につきましては、投資者に対する積極的な情報開示の観点から記載しております。　なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであり、将来において発生の可能性がある全てのリスクを網羅するものではありません。(1）事業内容に由来するリスク①　業容拡大のための人員確保について　当社は自治体との取引及び営業網の拡大に合わせ、営業員の積極的な採用を行い、組織体制の強化を図っていく方針であります。　当社では、ＯＪＴ制度による人材育成やモチベーション向上のためにご近所手当（会社の近隣居住者に対する手当を支給する制度）、目標管理制度による人事考課、出産祝金、資格支援等ユニークな人事・福利厚生制度の充実を行っております。しかし、今後、安定した人材の確保が行えない場合や、当社人員計画と大幅に乖離した場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ②　わが国の人口動態に係るリスクについて　自治体が所有する媒体の価値は、各自治体における人口と密接に関連しております。しかしながら、わが国の合計特殊出生率は、1960年代後半以降減少傾向にあり、極めて低い水準にあります。　今後、人口の減少に伴い、媒体の利用者が減少することになれば、当社が取扱う広告枠の価値が低下し、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ③　競合について　現在、契約する自治体数、取り扱う媒体数の観点から、当社と同規模以上にＤＳサービスについての事業展開をしている企業は存在しないものと認識しております。　当社は、今後においてもＰＰＳ事業の規模拡大を背景に、サービスの拡充を図ることにより、マーケット・シェアの一層の向上を推進していく方針でありますが、大手企業の新規参入や地域ごとの同業者における事業規模拡大等により、マーケット・シェアの獲得競争が激化した場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ④　入札（商品仕入）に係るリスクについて　当社の行うＤＳサービスにおいて販売する広告枠の大部分は、自治体における入札により仕入れております。当社は適正な媒体価値の把握とノウハウ・営業力により、適切な応札価格（入札に応じる金額）で商品仕入を行うよう最善の努力を行っております。　しかしながら、媒体価値の見誤り等による高い金額での落札により、売上原価が上昇するリスクがあります。また、他社による高い金額の応札、自治体による最低落札価格の引上げ等外部環境の変化により、十分に商品仕入を行えなくなるリスクがあります。これにより、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ⑤　商品特性に固有のリスク（在庫リスク）について　当社の行うＤＳサービスにおいて販売する広告枠の大部分は、暦年度（４月から翌年３月）を一括の期間とし、12か月分を自治体から在庫リスクを負担する形で仕入れており、これを一定の単位に区切って広告主に販売しております。そのため、販売実績が計画から大幅に乖離した場合に、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ⑥　成長性と新規事業について　当社の行うＭＣサービスは、スタートしてまだ３年程度であり、ＤＳサービスに比べてまだ規模は小さいものであります。また、日本の自治体数は2016年６月現在1,963であり、未着手の自治体が多くあるものの、その数には限りがあります。現在は子育て分野がＭＣサービスの９割以上を占めておりますが、介護関連分野、空き家対策に関する分野、防災関連分野など子育て以外の分野へのＭＣサービスの展開も行っており、今後も当面の成長性は確保できる見込みであるものの、継続的に成長を果たすためには、ＭＣサービスの新規分野への積極的な推進や新規事業展開等を図っていく必要があります。　しかしながら、事業計画の立案や実施に何らかの支障が生じ、これらが実現できない場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ⑦　業績の季節変動による影響について　当社の四半期における業績は、第４四半期において、売上高及び営業利益が偏重する傾向にあります。　これは、ＭＣサービスの子育て情報冊子等の発行が３月から６月に集中する傾向にあるためであります。　当社は、当該季節的要因を踏まえた受注計画及び制作計画を策定し、発行の増加が見込まれる時期の売上の確保に努めておりますが、何らかの事情により計画どおりの受注及び制作が行えなかった場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 第23期事業年度（自　平成27年７月１日　至　平成28年６月30日） 第１四半期第２四半期第３四半期第４四半期通期売上高（千円）354,756346,801385,863504,9151,592,336構成比（％）22.321.824.231.7100.0営業利益（千円）22,4513,08720,05599,750145,345構成比（％）15.52.113.868.6100.0 (2）法的規制に関するリスク①　ＰＰＳ事業に関する法的規制について　当社が行うＰＰＳ事業では、主に以下に掲げる法律等の規制を受けております。ａ．特定商取引に関する法律・電話勧誘販売における一定の事項に関する規制、禁止行為等の遵守が求められております。ｂ．不当景品類及び不当表示防止法・商品及び役務の取引に関連する不当な景品類及び表示による顧客の誘引を防止するため、一般消費者による自主的かつ合理的な選択を阻害するおそれのある行為の制限及び禁止が求められております。　当社は、上記法的規制の遵守を徹底しておりますが、法律に抵触する事項があった場合には、行政処分の対象となることがあり、その場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ②　個人情報の漏洩リスクについて　当社は、顧客の個人情報を取り扱っており、「個人情報の保護に関する法律」に規定される個人情報取扱事業者に該当いたします。個人情報の取り扱いにつきましては、個人情報保護基本規程の整備・運用等厳重な対策を講じています。また、個人情報の適切な保護措置を講ずる体制の構築・維持の一環として、プライバシーマーク（第18860140(02)号）、及びＩＳＭＳ（ISO 27001：2013）の認定を受け、個人情報の適切な取扱いに努めております。　しかしながら、万一個人情報が外部に流出した場合には、当社の社会的信用が毀損され企業イメージの低下を招くなど、当社の財政状態及び経営成績に影響を及ぼす可能性があります。また、損害賠償請求等、不測の損害が生じる可能性もあります。 (3）その他のリスク①　風評の影響について　当社が取扱う広告枠は、全国の自治体から仕入れております。そのため、何らかのリスクが顕在化し、風評の影響等により自治体との取引を制限された場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ②　特定経営者への依存について　当社代表取締役社長である時津孝康は当社の経営方針や事業戦略の立案・決定における中枢として重要な役割を果たしております。　当社では、同氏に過度に依存しないための組織体制として、経営組織の強化を図っておりますが、当面の間は同氏への依存度が高い状態で推移するものと考えております。このような状況において、同氏の事業への関与が困難となった場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ③　小規模組織であることについて　当社は、当事業年度末現在、取締役５名（うち社外取締役１名）、監査役３名（うち非常勤監査役２名）、従業員数79名（臨時雇用者を除く）の人員数で事業を展開しており、会社の規模に応じた内部管理体制や業務執行体制を整備しております。万一、業容拡大に応じた人員の確保が順調に進まず、役職員による業務執行に影響が生じた場合、あるいは役職員が予期せず退社した場合には、内部管理体制や業務執行体制が有効に機能せず、当社の事業展開及び業績に影響を及ぼす可能性があります。 ④　新株予約権行使の影響について　当社は、当社役員及び従業員に対して新株予約権を付与しております。　これらの新株予約権が権利行使された場合、当社の株式が新たに発行され、当社の１株当たりの株式価値が希薄化する可能性があります。なお、当事業年度末現在これらの新株予約権による潜在株式数は41,000株であり、潜在株式数を含む発行済株式総数1,431,200株の2.86％に相当しております。 ⑤　利益還元について　当社は将来に向けた事業の拡大に向け、必要な人材の確保を行うため、また迅速な経営に備えるため、内部留保の充実が重要であると認識しており、設立以来、無配としております。しかし、株主に対する利益還元として配当を行うことも重要な経営課題であると認識しており、今後も、毎期確実に利益を計上することを目指して財務体質の強化を図り、財政状態及び経営成績を勘案しながら、配当を実施する方針であります。　ただし、配当実施の可能性及びその実施時期等については、現時点において未定であります。 ⑥　調達資金の使途について　当事業年度に実施した公募増資及び第三者割当増資による調達資金については、主に事業規模拡大に伴うシステム投資及び人材の確保と育成のために投資する計画となっております。　しかしながら、当初の想定どおりの成果が得られない場合もあり、その場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ⑦　人材採用に関するリスクについて　今後、当社が継続的に成長していくためには、人材の確保が重要であり、新卒採用及び中途採用のいずれも力を入れております。特に新卒採用については平成19年より継続して行っており、今後も積極的に行い、人材の確保を推進していく方針であります。　しかしながら、人材に関する市況環境の変化等により人材採用が計画から大幅に乖離した場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	
研究開発活動	
設備投資等の概要	
主要な設備の状況	２【主要な設備の状況】　当社は、福岡本社に主要な設備があり、その内容は以下のとおりであります。なお、当社は、ＰＰＳ事業の単一セグメントであるため、セグメントごとの記載はしておりません。平成28年６月30日現在 事業所名(所在地)設備の内容帳簿価額（千円）従業員数(人)建物車両運搬具工具、器具及び備品ソフトウエア合計本社（福岡市中央区）業務施設1,4434261,15817,64520,67379(9)　（注）１．上記の金額には消費税等は含まれておりません。２．本社は建物の一部を賃借しております。年間賃借料は21,571千円であります。３．現在休止中の主要な設備はありません。４．従業員数の（　）書きは外書きで臨時雇用者数であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式4,712,000計4,712,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（平成28年６月30日）提出日現在発行数（株）（平成28年９月29日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,390,2001,390,200東京証券取引所（マザーズ市場）福岡証券取引所（Ｑ－Ｂｏａｒｄ市場）完全議決権株式であり、株主としての権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計1,390,2001,390,200－－
