項目	値
事業の内容	２【事業の内容】　当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動についても、重要な変更はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第１四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績の状況　当第１四半期連結累計期間（自　2021年10月１日　至　2021年12月31日）における社会人教育は、新型コロナウイルスによる新規感染者数の減少が続くものの、従来の対面型研修に加えて、オンライン研修、eラーニング・動画など、環境に合わせて教育手段を選択する構造変化や教育ニーズの多様化が継続しています。　この状況を受けて、当社グループでは企業規模のニーズにマッチした研修コンテンツの開発強化を実施しました。また対面型研修とともに、オンライン研修や人事サポートシステム・LMS（※1）「Leaf」、eラーニング・動画などの非対面型のサービス提供を強化しました。　講師派遣型研修事業では、民間企業へのオンライン研修が増加し、研修実施回数は前年同四半期比12.4％増加し過去最高となりました。　公開講座事業では、期初は新型コロナウイルス感染症の影響が残ったものの、11月から受講者数が回復となり、総受講者数は前年同四半期比10.5％増加しました。　ITサービス事業では、人事サポートシステム・LMS「Leaf」の有料利用組織数が増加し432組織（前年同四半期末比134組織増、45.0％増）となりました。ユーザー数は2021年12月末時点では184万人を超え、Leaf月額利用料（MRR※2）は堅調に増加、年間経常収益（ARR※3）は586百万円（前年同四半期末比53.9％増）となりました。　その他事業では、前四半期より加わったWebマーケティング事業が売上寄与、高単価の新作買い切りeラーニングの販売増が利益貢献となりました。　以上の結果、当第１四半期連結累計期間の業績は、売上高2,192,609千円（前年同四半期比20.8％増）、営業利益775,470千円（前年同四半期比20.0％増）、経常利益765,713千円（前年同四半期比16.1％増）、親会社株主に帰属する四半期純利益は522,734千円（前年同四半期比15.5％増）となり、売上高・利益ともに、四半期の業績として過去最高を更新しました。 ※1　LMS（Learning Management System）：ｅラーニング視聴に必要な「学習（教育）管理システム」のこと※2　MRR： Monthly Recurring Revenueの略称、月間経常収益※3　ARR： Anual Recurring Revenueの略称、各期末月のMRRを12倍して算出 　また、第20期第１四半期連結累計期間の事業種別毎の売上高は次の通りであります。　　　　　（単位：千円）事業の名称第20期第１四半期連結累計期間（自　2021年10月１日　　至　2021年12月31日）前年同期比（％） 第19期第１四半期連結累計期間（自　2020年10月１日　　至　2020年12月31日）講師派遣型研修事業1,248,796117.11,066,397公開講座事業507,230113.5447,008ITサービス事業203,533135.6150,149その他事業233,048154.5150,860合計2,192,609120.81,814,415（注）当社グループは教育サービス事業の単一セグメントであり、セグメントに代えて事業種別毎に記載しております。   （２）財政状態の分析①　流動資産　当第１四半期連結会計期間末の流動資産は、前連結会計年度末に比べ276,550千円減少し、3,483,137千円となりました。これは主に、現金及び預金が315,987千円減少したこと等によります。②　固定資産　当第１四半期連結会計期間末の固定資産は、前連結会計年度末に比べ29,404千円減少し、2,977,612千円となりました。これは主に、投資その他の資産が49,781千円減少したこと等によります。③　流動負債　当第１四半期連結会計期間末の流動負債は、前連結会計年度末に比べ168,166千円減少し、2,034,144千円となりました。これは主に、未払法人税等が491,396千円減少したこと等によります。④　固定負債　当第１四半期連結会計期間末の固定負債は、前連結会計年度末に比べ6,052千円減少し、57,917千円となりました。これは主に、資産除去債務が5,467千円減少したこと等によります。⑤　純資産　当第１四半期連結会計期間末の純資産は、前連結会計年度末に比べ131,736千円減少し、4,368,688千円となりました。これは主に利益剰余金が129,690千円減少したこと等によります。 （３）事業上及び財務上の対処すべき課題　当第１四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 （４）研究開発活動　該当事項はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式150,000,000計150,000,000 
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2021年12月31日）提出日現在発行数（株）（2022年２月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式42,621,50042,621,500東京証券取引所市場第一部単元株式数100株計42,621,50042,621,500－－（注）「提出日現在発行数」欄には、2022年２月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれていません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
