項目	値
事業の内容	２【事業の内容】　当第３四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期累計期間において、新たな事業等のリスクの発生、または、有価証券報告書に記載した事業等のリスクについて重要な変更はございません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。 （１）経営成績の状況　当第３四半期累計期間における我が国経済は、国内消費やインバウンド需要が改善する中、緩やかな回復傾向にあります。一方で長期化するロシア・ウクライナ情勢、大幅な円安や物価上昇の影響等により、依然として先行き不透明な状況が続いております。　このような状況の中、当社は企業ミッションである「加熱技術で環境問題に取り組む企業」を掲げ、製造業における加熱プロセスの省エネ化に応えるべく新規設備導入や既存設備に対する省エネ対策工事等、お客様のニーズに合わせた提案を展開してまいりました。　また、当社は2024年４月１日付で株式会社豊通テックよりリジェネバーナー事業を譲り受ける等積極的な事業展開を行いました。今後もより一層、顧客の幅広いニーズに対応できるよう取り組んでまいります。　当第３四半期累計期間における業績につきましては、保守サービス事業におけるメンテナンスや工事が堅調に推移している一方、産業システム事業においては、従前から続く部品供給不足への対応が少しずつ回復傾向にはあるものの、製品の長納期化が解消されない状況が続いております。　この結果、当第３四半期累計期間の経営成績は、売上高1,412百万円（前年同期比18.8％減）、営業利益106百万円（前年同期比42.6％減）、経常利益98百万円（前年同期比42.2％減）、四半期純利益69百万円（前年同期比68.3％減）となりました。 　セグメント別の経営成績は、次のとおりです。（産業システム事業）　産業システム事業におきましては、製造業におけるカーボンニュートラルへの機運が高まる中、コロナ禍で低迷していた新規設備投資の動きが感じられる一方で、製品の長納期化等の影響により設備売上は減収となりました。　この結果、当第３四半期累計期間に属するセグメント売上高は885百万円（前年同期比26.7％減）となりました。また、セグメント利益（営業利益）は96百万円（前年同期比36.8％減）となりました。 （保守サービス事業）　保守サービス事業におきましては、点検案件が前年同期と比較して堅調に推移いたしました。環境問題に対する関心の高まりから、省エネ改造工事等カーボンニュートラル関連の需要は、保守サービス事業においても依然として高い状態が続いているものの、部品販売及び工事案件は前年同期と比較して微減しました。　この結果、当第３四半期累計期間に属するセグメント売上高は527百万円（前年同期比0.7％減）となりました。また、セグメント利益（営業利益）は143百万円（前年同期比6.4％減）となりました。 （２）財政状態の状況（資産）　当第３四半期会計期間末における流動資産合計は2,461百万円となり、前事業年度末に比べ251百万円減少いたしました。これは主として、仕掛品が130百万円増加、原材料が16百万円増加した一方で、現金及び預金が309百万円減少、受取手形及び売掛金が107百万円減少したことによるものであります。固定資産合計は1,296百万円となり、前事業年度末に比べ22百万円減少いたしました。これは主として、減価償却による減少であります。　この結果、資産合計は3,758百万円となり、前事業年度末に比べ274百万円減少いたしました。 （負債）　当第３四半期会計期間末における流動負債合計は470百万円となり、前事業年度末に比べ266百万円減少いたしました。これは主として、支払手形及び買掛金が105百万円減少、未払法人税等が95百万円減少、流動負債のその他に含まれる未払消費税等が72百万円減少したことによるものであります。固定負債合計は361百万円となり、前事業年度末に比べ31百万円減少いたしました。これは主として、長期借入金が32百万円減少したことによるものであります。　この結果、負債合計は831百万円となり、前事業年度末に比べ298百万円減少いたしました。 （純資産）　当第３四半期会計期間末における純資産合計は、2,926百万円となり、前事業年度末に比べ24百万円増加いたしました。これは、利益剰余金が24百万円増加したことによるものであります。　この結果、当第３四半期会計期間末の自己資本比率は77.9％（前事業年度末は72.0％）となりました。 （３）会計上の見積り及び当該見積りに用いた仮定　前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 （４）経営方針・経営戦略等　当第３四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 （５）優先的に対処すべき事業上及び財務上の課題　当第３四半期累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （６）研究開発活動　当第３四半期累計期間における研究開発活動の金額はありません。　なお、当第３四半期累計期間において、当社の研究活動の状況に重要な変更はありません。 （７）経営成績に重要な影響を与える要因　当社の経営成績に重要な影響を与える要因については、「第２ 事業の状況 １ 事業等のリスク」を参照ください。 （８）資本の財源及び資金の流動性についての分析①資金需要　当社における資金需要は主に運転資金需要があります。運転資金需要のうち主なものは、当社の産業システム事業の設備製造にかかわる材料費、外注費、労務費及び保守サービス事業のメンテナンスにかかわる材料費、労務費があります。また、各事業に共通するものとして販売費及び一般管理費の人件費があります。その他に設備投資需要としまして、各種固定資産購入費用があります。 ②財務政策　当社は現在、運転資金については営業キャッシュ・フローで獲得した内部資金を充当しております。不足が生じた場合は金融機関からの短期借入金で調達するために、金融機関に十分な借入枠を有しております。　設備投資需要に係る資金につきましては、原則として自己資本により賄うこととしておりますが、必要に応じて長期借入金により資金調達を行う等、柔軟に対応することとしております。 ③手元資金の流動性について　当社は当第３四半期会計期間末において、1,508百万円の現金及び預金を保有し、そのうち334百万円の定期預金を保有しておりますが、これは短期の定期預金のため、十分な手元流動性を確保しております。また、今後、必要に応じて金融機関との間で資金調達を検討するとともに、新規投資の時期を慎重に見極め、経費抑制によりキャッシュ・フロー管理を徹底し、十分な手元流動性の確保に努めてまいります。 
経営上の重要な契約等	３【経営上の重要な契約等】　当第３四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式4,000,000計4,000,000 
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2024年４月30日）提出日現在発行数（株） （2024年６月13日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式2,109,0002,109,000名古屋証券取引所メイン市場単元株式数　100株計2,109,0002,109,000－－（注）2023年11月14日開催の取締役会決議により、2024年２月１日付で普通株式につき１株を２株の割合で株式分割いたしました。これにより普通株式の株式数は1,054,500株増加し、発行済株式総数は2,109,000株となっております。
