項目	値
事業の内容	２【事業の内容】　当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第１四半期連結累計期間において、新たなリスクの発生、又は、前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものです。 (1）経営成績の状況　当第１四半期連結累計期間におけるわが国経済は、新型コロナウイルス感染症の５類移行に伴い行動制限が解除され、経済活動の正常化が進んだことで景気は緩やかな回復傾向となりました。その一方、ウクライナ情勢の長期化、資源・エネルギー価格の高騰、円安の影響や物価の上昇などにより、依然として先行き不透明な状況が続いております。　このような状況の下、当社グループでは、2022年６月期から３ヵ年を計画期間とする中期経営計画「FLIGHT PLAN：VISION 2024」で掲げた「既存事業の深化・拡充」「戦略的パートナーとの連携」「新規市場参入」に取り組み、持続可能な成長を目指しております。　水関連事業では、国内の上水道や食品・農業に関連する分野の水処理を幅広く行っております。また、前連結会計年度より連結子会社となった矢澤フェロマイト株式会社は、上水道・排水処理設備の設計、製作、据付工事を事業としており、これにより対応可能な施設設計・受託範囲が広がり、受注機会が拡大しております。海外においては、新型コロナウイルス感染症拡大による渡航規制や行動制限等は解除されたことから、営業活動を再開しており、当社グループがこれまでに提供してきた取水技術や水処理技術を基盤に需要の創出・獲得に向けて取り組んでおります。　エネルギー関連事業では、安定的に収益を確保できる体制の構築が課題と考えており、プラント設備に対するメンテナンスサービスの強化を行い、サービス提供面で顧客と対話を重ね、信頼関係を深化させ、設備更新ニーズを早期に把握することを目指し取り組んでおります。また、受注機会の拡大や新たな受注機会の創出を目指し、製造コスト低減による価格競争力の強化、プロセス・オーナーとの関係構築・深化、これまで認証を取得していない新たなプロセス・オーナーとの関係構築に取り組んでおります。　これらの結果、当社グループの当第１四半期連結累計期間の経営成績は、売上高1,530,182千円（前年同期比2.3％減）、営業利益221,185千円（前年同期比32.2％増）、経常利益273,728千円（前年同期比39.3％増）、親会社株主に帰属する四半期純利益183,426千円（前年同期比46.1％増）となりました。 　セグメント別の状況は、以下のとおりです。 　① 水関連事業　取水分野では、各地で進められている取水設備の老朽化や耐震化に伴う改修工事等により、取水スクリーンの需要は底堅く、堅調に推移しております。また、水処理分野では、主として連結子会社の矢澤フェロマイト株式会社が請け負っている浄水場改修工事が進捗し、売上に寄与しました。一方で、事業規模拡大に向けた人員増強や営業活動の強化に伴い販売費及び一般管理費が増加しました。　これらの結果、売上高291,895千円（前年同期比1.9％増）、セグメント損失74,618千円（前年同期はセグメント損失50,988千円）となりました。 　② エネルギー関連事業　エネルギー関連事業では、中国経済の成長鈍化、ウクライナ情勢の長期化、資源・エネルギー価格の高騰、物価上昇等の様々な要因により、顧客各社は新規プラント建設投資には慎重な姿勢にあるものの、設備更新を中心とした既存プラントへの設備投資は回復傾向にあります。当社グループでは、新規プラント建設計画に関して継続的に情報収集に努めるとともに、既存プラントの更新需要に対して積極的に営業活動を進め、受注獲得に向けて取り組んでおります。当第１四半期連結累計期間の経営成績は、製造原価の低減に加え、海上輸送コストがコロナ前並みの水準にまで下落したことに伴い、当初の想定よりコストが低減し、利益を押し上げる要因となりました。　これらの結果、売上高1,238,286千円（前年同期比3.2％減）、セグメント利益427,570千円（前年同期比28.0％増）となりました。  (2）財政状態の分析当第１四半期連結会計期間末の資産合計は8,479,275千円となり、前連結会計年度末に比べ407,641千円減少しました。これは主に、電子記録債権が168,904千円、仕掛品が108,014千円、投資その他の資産のその他が92,625千円それぞれ増加した一方で、受取手形、売掛金及び契約資産が616,732千円、現金及び預金が189,111千円それぞれ減少したことによるものです。負債合計は2,795,502千円となり、前連結会計年度末に比べ460,835千円減少しました。これは主に、支払手形及び買掛金が308,452千円、未払法人税等が158,095千円それぞれ減少したことによるものです。純資産合計は5,683,773千円となり、前連結会計年度末に比べ53,193千円増加しました。これは主に、配当金の支払により利益剰余金が162,131千円減少した一方で、親会社株主に帰属する四半期純利益の計上により利益剰余金が183,426千円、為替換算調整勘定が45,311千円それぞれ増加したことよるものです。 (3）経営方針・経営戦略等　当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 (4）優先的に対処すべき事業上及び財務上の課題　当第１四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更及び新たに発生した課題はありません。 (5）研究開発活動　当第１四半期連結累計期間における当社グループの研究開発費の総額は8,867千円です。なお、当第１四半期連結累計期間において、当社グループの研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式14,008,000計14,008,000
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年11月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,078,4007,078,400東京証券取引所スタンダード市場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株です。計7,078,4007,078,400－－
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
