項目	値
事業の内容	３【事業の内容】当社グループは、当社および子会社３社、関連会社１社により構成されており、パチンコ遊技機、パチスロ遊技機の開発、製造、販売を主たる業務としております。当社グループの事業内容および当社と関係会社の当該事業に係る位置づけは次のとおりであります。 ［事業系統図］
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境および対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （１）経営方針当社グループは、「お客様の繁栄を売ろう  ～より良い稼働  より高い信頼～」という企業理念を掲げ、パチンコ・パチスロファン、パチンコホールの皆様にとって魅力ある商品力を備えた遊技機と、付加価値の高いサービスの提供を通じて、お客様の繁栄に貢献することを経営の基本方針としております。 （２）経営戦略および目標とする経営指標当社グループの中期的な経営戦略につきましては、主力事業であります遊技機事業の充実を図り、さらなる成長を目指してまいります。具体的には、パチンコ・パチスロ遊技機では、遊技者目線に立った機種開発を行い、商品力を高め、稼働実績ならびに販売実績を積み上げてまいります。なお、当社グループでは「経常利益」を重要視しており、安定した収益の確保を目指してまいります。 （３）経営環境および対処すべき課題今後の見通しにつきましては、継続的な感染症対策のもと経済活動が徐々に正常化に向かうなか、各種政策の効果もあって景気は持ち直すことが見込まれますが、原材料価格の上昇や供給面での制約などによる下振れリスクについては注意が必要な状況にあります。パチンコホール業界におきましては、コロナ禍での集客力向上を図るうえで高稼働機種を中心に営業を強化しており、今後も稼働力を備えた遊技機に対する根強い需要が見込まれます。当社グループとしましては、新規タイトルや新ジャンルの創出とともに、今までの習慣や常識にとらわれない斬新なアイデアや新機能を積極的に採り入れた、お客様に支持される遊技機を安定的に供給することにより、販売台数の確保に努めてまいります。また、生産面では製品の安定供給体制の強化をはじめ、生産部材のコスト上昇に対応したさらなる原価低減活動を推進し、収益力の強化を図ってまいります。  
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績およびキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （１）法的規制について当社グループの主力事業である遊技機事業は、「風俗営業等の規制及び業務の適正化等に関する法律」および関連諸法令（以下「風営法等」という）による規制を受けております。このため風営法等の改廃や新たな法令等が制定された場合、または風営法等に違反する何らかの事象が発生した場合には、当社グループの経営成績に影響を与える可能性があります。また、パチンコ遊技機およびパチスロ遊技機など（以下「遊技機」という）の製造・販売に際しては、風営法等で定める「技術上の規格」への適合について、指定試験機関による型式試験および各都道府県公安委員会による検定を受ける必要があります。このため、型式試験および検定の期間が長期間にわたる場合、または適合に至らなかった場合には、当社グループの経営成績に影響を与える可能性があります。 （２）経営成績の変動について①  市場環境の変化について当社グループの主力事業である遊技機事業において、遊技機の販売先はパチンコホールなどであります。当社グループでは、市場環境などの情報を収集し、精度の高い販売計画を作成しておりますが、大規模災害の発生や感染症の流行などに伴う社会的・経済的環境の著しい変化によってパチンコホールの経営環境が悪化し、需要の低下など遊技機市場の縮小を招いた場合、当社グループの経営成績に影響を与える可能性があります。 ②  同業他社との競合についてパチンコホールにおける遊技機の購入につきましては、厳しい経営環境を背景に、安定稼働が見込める機種を選択する傾向が継続しており、全体的な傾向として、１機種当たりの販売台数は減少しております。当社グループでは、今までの習慣や常識にとらわれず、斬新な発想やアイデアを積極的に採り入れたものづくりを推進しておりますが、当社グループ製品の販売時期が同業他社の話題性の高い機種と重なった場合など競合の状況によっては、実際の販売台数が当初販売見込みから大幅に乖離し、当社グループの経営成績に影響を与える可能性があります。 （３）棚卸資産評価・廃棄損の発生について当社グループは、基本的には製品の受注動向を見ながら生産を行っておりますが、生産から納品までが非常に短期間であるため、調達に長期間を要する部材については、段階的に先行発注しております。当社グループでは、部材の共通化や仕入先との関係強化による調達期間短縮への取り組みなど部材在庫の削減への対策を実施しておりますが、新製品の販売が販売見込みを大幅に下回った場合、多額の棚卸資産評価・廃棄損の発生により、当社グループの経営成績に影響を与える可能性があります。 （４）製品の不具合の発生について当社グループは、2005年３月期において「製品自主回収関連損失」および「棚卸資産評価損」などとして多額の特別損失を計上しております。これは、2004年11月に販売したアレンジボール遊技機の取付け部品に不具合が生じたことにより全台を自主回収したことによるものであります。当社グループは、この不具合による全台自主回収を厳粛に受け止め、研究開発体制の再構築と品質管理の徹底に取り組み、再発防止に向けて努力しております。しかしながら、今後販売する遊技機に万一重大な不具合が発生した場合には、多額の損失の発生や信用低下により、当社グループの経営成績に影響を与える可能性があります。 （５）知的財産権などについて当社グループは、遊技機での特許権などの使用について、遊技機の特許権などを管理する団体等に、特許等使用料の支払をしております。また、肖像権・著作権などの知的財産権全般について、他者権利に抵触していないかどうかの調査を企画・開発段階から行っております。しかしながら、特許等使用料の大幅な変動や、当社グループの認識しない知的財産権が成立した場合には、権利保有者による損害賠償等の請求などにより、当社グループの経営成績に影響を与える可能性があります。また、タレント、キャラクターなどの肖像権・著作権などの使用については、遊技機メーカー間の競合の激化などから使用許諾料が高額化する傾向にあります。他の遊技機メーカーとの競合などにより、使用許諾料が高騰した場合には、当社グループの経営成績に影響を与える可能性があります。 （６）個人情報の管理について当社グループでは、会員制ウェブサイトを運営しており、多数の個人情報を有しております。個人情報保護法に基づき、個人情報の取扱いについては、徹底した管理を行っておりますが、万一これら個人情報が流出した場合には、損害賠償請求や信用低下などにより、当社グループの経営成績に影響を与える可能性があります。 （７）大規模災害等の発生について①  生産活動について当社グループの製品は、名古屋事業所の１ヶ所で製造しております。このため、地震、火災、風水害などによる大規模災害により、製造ラインに著しい損傷などが発生した場合や、感染症の流行などにより事業活動を停止せざるを得ない場合には、製品の製造、出荷が一時的または長期的に停止する恐れがあり、当社グループの経営成績に影響を与える可能性があります。当社グループでは、製品の製造、出荷が停止した場合であっても、その損害を最小限に抑えるよう、災害対策マニュアルを策定し、防災・減災・復旧に向けた取り組みに努めております。 ②  部材の調達について当社グループ製品に使用する部材のうち、調達先が限定されているものや調達先の変更が困難なものがあります。当社グループでは、これらの部材について、在庫確保や早期手配リスクを加味した仕入先との綿密な納入計画調整を行っておりますが、大規模災害の発生や感染症の流行など何らかの理由により、供給遅延などが生じた場合には、製品の製造、出荷が一時的または長期的に停止する恐れがあり、当社グループの経営成績に影響を与える可能性があります。 （８）繰延税金資産について当社グループでは、繰延税金資産について、将来の利益計画に基づいた課税所得が十分に確保できることや、回収可能性があると判断した将来減算一時差異について繰延税金資産を計上しております。繰延税金資産の回収可能性は将来の課税所得の見積りに依存するため、その見積りの前提とした条件や仮定に変更が生じた場合、繰延税金資産が減額され税金費用が計上される可能性があります。 （９）固定資産の減損について当社グループでは、減損の兆候がある資産グループについて、将来キャッシュ・フローから判断して減損損失の要否を判定しており、使用価値と正味売却価額とを比較して、回収可能価額を決定しております。使用価値の算定上、将来の事業計画において、遊技機の予想販売台数が重要な仮定であり、過去の販売実績からの趨勢や、新型コロナウイルス感染症の終息時期や影響を考慮して決定しております。見積りおよび仮定について事業計画や市場環境の変化により、見直しが必要となった場合には、翌年度において減損損失が発生する可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要当連結会計年度における当社グループの財政状態、経営成績およびキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。 ①経営成績の状況当連結会計年度におけるわが国経済は、ウィズコロナのもとで各種政策の効果もあり、景気は緩やかに持ち直しつつありますが、海外景気の下振れリスクや物価上昇、供給面での制約などに留意することが必要な状況が続いております。パチンコホール業界におきましては、のめり込み防止や依存症対策および感染防止対策等の取り組みを通じてファンの皆様がより安心・安全に楽しめる環境づくりを推進しております。その中で、ゲーム性や遊技環境、セキュリティの向上およびのめり込み防止や感染症防止対策の強化などに寄与するとされる、次世代遊技機「スマート遊技機」が2022年11月より導入されました。パチンコホール店舗数が減少傾向にあるなかで、スマート遊技機による業界の活性化が期待されております。遊技機業界におきましては、パチンコ遊技機では複数のヒットタイトルが登場するなど、パチンコホール様での稼働も引き続き堅調に推移しております。一方、パチスロ遊技機では市場全体での稼働が低調に推移しておりましたが、6.5号機の市場投入を契機に回復に転じ、スマートパチスロの導入が後押しする形となり、稼働は回復傾向にあります。このような状況のもと、当社グループにおきましては、持続的な成長に向けて市場トレンドの先端を行く機種開発による稼働力向上を最重点課題として取り組むとともに、商品力を備えた新機種の継続的な市場投入を通じてホール設置シェア拡大と販売台数の底上げを図り、企業業績のさらなる向上に努めております。また、スマート遊技機を早期に市場投入できるよう、スマート遊技機の開発にも注力しております。 当連結会計年度におきましては、パチンコ遊技機では、人気格闘ゲームや人気漫画、国民的時代劇など、多様なジャンルの遊技機を新たに４機種市場投入し販売は堅調に推移いたしました。また、パチスロ遊技機では、若年層向けのタイトルを中心に新たに４機種市場投入いたしました。なかでも、当社グループの新たな主力シリーズでもある「とある」シリーズのパチスロ遊技機につきましては、当初の計画を大幅に上回る販売台数を確保するとともに、多くのファンの皆様に高い評価をいただきました。また、今後の業績動向を勘案し、繰延税金資産の回収可能性を慎重に検討した結果、当連結会計年度末において繰延税金資産を計上し、法人税等調整額（益）20億22百万円を計上いたしました。以上の結果、当連結会計年度の業績につきましては、売上高348億69百万円（対前年同期比17.8％増）、営業利益38億76百万円（前年同期は営業損失６億98百万円）、経常利益40億66百万円（前年同期は経常損失５億99百万円）、親会社株主に帰属する当期純利益52億96百万円（前年同期は親会社株主に帰属する当期純損失17億83百万円）となりました。 製品別の状況は次のとおりであります。 （パチンコ遊技機）上半期では、新規タイトルとして「ＰストリートファイターⅤ」（2022年５月発売）、「Ｐサラリーマン金太郎」（2022年７月発売）、「Ｐシンデレラブレイド」（2022年８月発売）を市場投入したほか、前連結会計年度に発売したシリーズ機種などを継続販売いたしました。また、下半期では、新規タイトルとして「Ｐ新・遠山の金さん」（2022年10月発売）を市場投入したほか、「Ｐとある科学の超電磁砲（レールガン）最強御坂ver.」（2023年２月発売）など、その他シリーズ機種を継続販売いたしました。以上の結果、販売台数は66千台（対前年同期比15.9％減）、売上高は252億75百万円（同11.6％減）となりました。 （パチスロ遊技機）パチスロ遊技機では、「Ｓ　ＦＡＩＲＹ　ＴＡＩＬ２」（2022年７月発売）、「ＳＬＯＴとある科学の超電磁砲（レールガン）」（2022年10月発売）、「パチスロ緋弾のアリアⅡ」（2023年１月発売）を市場投入いたしました。また、当社初のスマートパチスロである「Ｌゴブリンスレイヤー」（2023年３月発売）を市場投入いたしました。以上の結果、販売台数は22千台（対前年同期比633.2％増）、売上高は95億93百万円（同850.6％増）となりました。 ②財政状態の状況（資産）当連結会計年度末における流動資産は343億18百万円となり、前連結会計年度末に比べ31億74百万円増加いたしました。これは主に、受取手形、売掛金及び契約資産が15億95百万円、原材料及び貯蔵品が11億86百万円、現金及び預金11億23百万円増加したことに対し、電子記録債権が９億31百万円、未収還付法人税等が３億４百万円減少したことによるものであります。固定資産は168億42百万円となり、前連結会計年度末に比べ25億82百万円増加いたしました。これは主に、投資有価証券が20億96百万円、繰延税金資産が10億42百万円増加したことに対し、工具器具備品（純額）が３億11百万円、建物及び構築物（純額）が２億27百万円減少したことによるものであります。この結果、総資産は511億60百万円となり、前連結会計年度末に比べ57億56百万円増加いたしました。 （負債）当連結会計年度末における流動負債は96億19百万円となり、前連結会計年度末に比べ28億87百万円増加いたしました。これは主に、未払法人税等が６億50百万円、買掛金が６億48百万円、未払金が５億49百万円増加したことによるものであります。固定負債は17億52百万円となり、前連結会計年度末に比べ２億93百万円減少いたしました。この結果、負債合計は113億72百万円となり、前連結会計年度末に比べ25億94百万円増加いたしました。 （純資産）当連結会計年度末における純資産合計は397億88百万円となり、前連結会計年度末に比べ31億62百万円増加いたしました。これは主に、親会社株主に帰属する当期純利益52億96百万円、自己株式の取得23億61百万円および剰余金の配当11億19百万円によるものであります。この結果、自己資本比率は77.8％となりました。 ③キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下「資金」という。）は、200億１百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 （営業活動によるキャッシュ・フロー）営業活動の結果得られた資金は55億７百万円となりました。これは主に、税金等調整前当期純利益40億77百万円、減価償却費18億57百万円などが増加の要因であり、棚卸資産の増加額17億31百万円、売上債権の増加額６億64百万円などが減少の要因であります。 （投資活動によるキャッシュ・フロー）投資活動の結果使用した資金は９億11百万円となりました。これは主に、有価証券の償還による収入２億円などが増加の要因であり、有形固定資産の取得による支出９億12百万円などが減少の要因であります。 （財務活動によるキャッシュ・フロー）財務活動の結果使用した資金は34億72百万円となりました。これは主に、自己株式の取得による支出23億61百万円、配当金の支払額11億19百万円などが減少の要因であります。 ④生産、受注及び販売の実績ａ．生産実績当社グループは、遊技機事業の単一セグメントにより構成されておりますが、当連結会計年度の製品別に生産実績を示すと、次のとおりであります。製品別当連結会計年度（自  2022年４月１日至  2023年３月31日）金額（百万円）前期比（％）パチンコ遊技機24,12785.4パチスロ遊技機11,368－合計35,496121.3（注）金額は販売価格によっております。 ｂ．受注状況当社グループは、基本的に製品の受注動向を見ながら生産を行っておりますが、生産から納品までが非常に短期間であることなどから、初期受注分については、見込み生産を行っております。また、総受注に占める初期受注分の割合が大半であることから、受注状況の記載は営業実態を表さないため、記載を省略しております。 ｃ．販売実績当社グループは、遊技機事業の単一セグメントにより構成されておりますが、当連結会計年度の製品別に販売実績を示すと、次のとおりであります。製品別当連結会計年度（自  2022年４月１日至  2023年３月31日）金額（百万円）前期比（％）パチンコ遊技機25,27588.4パチスロ遊技機9,593950.6合計34,869117.8   （２）経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識および分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 ①重要な会計上の見積りおよび当該見積りに用いた仮定連結財務諸表の作成にあたって用いた、会計上の見積りおよび当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１連結財務諸表等　（１）連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 ②経営成績の分析ａ．売上高売上高については、前連結会計年度の296億６百万円から52億63百万円増加し、348億69百万円（対前期比17.8％増）となりました。当連結会計年度の製品別売上高は、パチンコ遊技機において252億75百万円（同11.6％減）、パチスロ遊技機において95億93百万円（同850.6％増）であります。なお、各製品別の販売台数は次のとおりであります。 （パチンコ遊技機）《機種別販売台数》前連結会計年度  当連結会計年度 Ｐとある科学の超電磁砲（レールガン）24千台 Ｐサラリーマン金太郎18千台Ｐ地獄少女 華17千台 ＰストリートファイターⅤ10千台他４機種11千台 他４機種11千台その他26千台 その他26千台    計79千台     計66千台 パチンコ遊技機については、多様化するファンのニーズにマッチした「ヒト味違う」多種多様なジャンルの遊技機を新たに６機種市場投入し、販売台数は66千台（対前期比15.9％減）となりました。 （パチスロ遊技機）《機種別販売台数》前連結会計年度  当連結会計年度 Ｓリング 運命の秒刻３千台 ＳＬＯＴとある科学の超電磁砲（レールガン）12千台   Ｓ　ＦＡＩＲＹ　ＴＡＩＬ２5千台   他２機種5千台    計３千台     計22千台 パチスロ遊技機については、新規タイトルとして４機種を市場投入し、販売台数は22千台となりました。 ｂ．売上原価売上原価については、前連結会計年度の164億96百万円から４億68百万円増加し、169億95百万円（対前期比2.8％増）となりました。また、売上原価率は、前連結会計年度の55.7％から7ポイント低下し、48.7％となりました。これは、主として材料費率の低下などによるものであります。  ｃ．販売費及び一般管理費販売費及び一般管理費については、前連結会計年度の138億８百万円から２億19百万円増加し、140億27百万円（対前期比1.6％増）となりました。これは、主として賞与の増加１億92百万円（同44.5％増）などによるものであります。また、売上高に占める販売費及び一般管理費の割合は、前連結会計年度の46.6％から6.4ポイント低下し、40.2％となりました。 ｄ．営業利益営業利益については、売上高の増加などにより、当連結会計年度においては営業利益38億76百万円（前期は営業損失６億98百万円）となりました。 ｅ．営業外収益、費用営業外収益については、違約金収入や受取配当金などにより２億15百万円となりました。営業外費用については、シンジケートローン手数料や貸倒引当金繰入額などにより26百万円となりました。 ｆ．経常利益経常利益については、当連結会計年度において経常利益40億66百万円（前期は経常損失５億99百万円）となりました。 ｇ．特別利益、損失特別利益については、固定資産売却益の計上により12百万円となりました。特別損失については、固定資産除却損の計上により１百万円となりました。 ｈ．税金費用法人税、住民税及び事業税８億３百万円、法人税等調整額（益）△20億22百万円の計上により、△12億18百万円となりました。 ｉ．親会社株主に帰属する当期純利益上記ａからｈの要因により、当連結会計年度においては、52億96百万円の親会社株主に帰属する当期純利益となりました。 ③キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報キャッシュ・フローの状況の分析当社グループの当連結会計年度のキャッシュ・フローは、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（１）経営成績等の状況の概要　③キャッシュ・フローの状況」に記載のとおりであります。 資本の財源及び資金の流動性に係る情報当社グループの資金需要について、運転資金、設備投資資金ともに、原則として自己資金で賄うことを基本としております。運転資金需要の主なものは、原材料の仕入、研究開発費、納税による支払などであります。設備投資資金需要の主なものは、機械及び装置、新規金型の取得などであります。これらは、生産性の向上などを目的としており、今後も発生する可能性があります。これらの資金管理については、販売計画、生産計画、設備投資計画をもとに資金需要に対応すべく資金計画を作成し、管理しております。また、運転資金の効率的な調達を行うため、取引銀行３行と総額100億円の貸出コミットメント契約を締結しております。なお、当該契約に基づく当連結会計年度における借入実績はありません。 
経営上の重要な契約等	５【経営上の重要な契約等】該当事項はありません。  
研究開発活動	６【研究開発活動】当社グループは、「お客様の繁栄を売ろう～より良い稼働  より高い信頼～」の企業理念のもと、当社のものづくりの方向性を示すコーポレートスローガン「ヒト味違う“オモシロ”さ！」を基本姿勢とした研究開発活動を、経営の最重要課題の一つと位置づけ、これまでの「新規性」を重視した機種開発に加え、プレーヤー・ホール・当社グループの三者相互コミュニケーション、“想い”の実現を見据えた研究開発活動を行っております。当連結会計年度末における研究開発体制は、195名のスタッフからなっており、研究開発費の総額は6,547百万円となっております。 （パチンコ遊技機）パチンコ遊技機につきましては、上半期では、「ＰストリートファイターⅤ」、「Ｐサラリーマン金太郎」、「Ｐシンデレラブレイド」を市場投入し、下半期では、「Ｐ新・遠山の金さん」を市場投入したほか、「Ｐとある科学の超電磁砲（レールガン）最強御坂ver.」など、その他シリーズ機種などを継続販売いたしました。なお、当連結会計年度における研究開発費の総額は、53億55百万円となっております。 （パチスロ遊技機）パチスロ遊技機では、「Ｓ　ＦＡＩＲＹ　ＴＡＩＬ２」、「ＳＬＯＴとある科学の超電磁砲（レールガン）」「パチスロ緋弾のアリアⅡ」、「Ｌゴブリンスレイヤー」を市場投入いたしました。なお、当連結会計年度における研究開発費の総額は、11億92百万円となっております。 
設備投資等の概要	１【設備投資等の概要】当連結会計年度の設備投資の総額は、1,270百万円となりました。パチンコ遊技機では、新規金型の取得７億72百万円などを実施いたしました。パチスロ遊技機では、新規金型の取得55百万円などを実施いたしました。なお、当連結会計年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２【主要な設備の状況】（１）提出会社　当社の主要な設備は、次のとおりであります。2023年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物および構築物機械及び装置および車両運搬具土地（面積㎡）その他合計本社（大阪市中央区）遊技機事業統括業務施設22923487（677.07)6280354名古屋事業所（愛知県一宮市）遊技機事業パチンコ遊技機、パチスロ遊技機の生産設備および開発設備1,961243747(11,521.47)5773,529162東京開発事業所（東京都千代田区）遊技機事業パチンコ遊技機、パチスロ遊技機の開発設備50－(－)91584東京支店（東京都台東区）遊技機事業販売設備158－470(269.41)963712大阪支店（大阪市浪速区）遊技機事業販売設備320124(305.72)015814その他遊技機事業販売設備他27438753(7,176.21)151,081114（注）１．帳簿価額のうち「その他」は、工具、器具及び備品であり、建設仮勘定は含んでおりません。２．本社には駐車場用地などとして第三者に貸与している土地２億87百万円（344.55㎡）を含んでおります。またその他には、駐車場用地などとして第三者に貸与している土地２億７百万円（2,276.78㎡）があります。 （２）国内子会社2023年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物および構築物機械及び装置および車両運搬具その他合計㈱ＪＦＪ本社（大阪市中央区）遊技機事業総括業務施設－－00－㈱オレンジ本社（大阪市中央区）遊技機事業総括業務施設－－－－－㈱ミラクル本社（大阪市中央区）遊技機事業総括業務施設－－－－－（注）帳簿価額のうち「その他」は、工具、器具及び備品であり、建設仮勘定は含んでおりません。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式80,000,000計80,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月29日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式24,395,50024,395,500東京証券取引所スタンダード市場単元株式数100株計24,395,50024,395,500－－
