項目	値
事業の内容	 ３ 【事業の内容】当社は、圧縮機の製造販売を主たる事業としております。当該事業においては、主力である空気及びガス圧縮機等の風水力機械、産業機械およびその他諸機械の製造販売、空気及びガスの圧縮充填ならびに販売、機械器具設置工事、電気工事、とび・土工工事及び管工事の請負工事等を行っております。当社は、株式会社三井E＆Sの子会社であり、同社に対して当社製品の販売・部品等の仕入・資金取引を、同社の子会社に当社製品の販売・部品等の仕入を行っております。なお、これら取引は当社の事業運営に影響を与えるものではありません。取引に関する事項は以下のとおりであります。 １. 取引にあたって当社の利益を害さないよう留意した事項親会社及び同社の子会社との取引にあたって、販売取引及び仕入取引については、価格その他の取引条件について一般の取引先と同様であります。また、資金取引については、市場金利を勘案して基本契約に基づいた利率での資金の預託であり、当該取引が第三者との通常の取引と比べて著しく相違しないこと等に留意しております。何れも合理的な判断に基づき、公正かつ適正に決定しております。 ２. 当社の利益を害さないかどうかについての取締役会の判断及びその理由事業運営に関しては、取締役会を中心とした当社独自の意思決定に基づき業務執行をしており、上場企業としてのお互いの立場を尊重しつつ経営の独立性を確保しながら適切に経営及び事業活動を行っております。　当社は、親会社からの独立性確保の観点も踏まえ、独立社外取締役からも当社経営に対する適切な意見を得ながら、取締役会において多面的な議論を経たうえで、当該取引の実施の可否を決定しており、当社の利益を害するものではないと判断しております。　３. 取締役会の判断が社外取締役の意見と異なる場合の当該意見該当事項はありません。  （注）株式会社三井E&amp;Sホールディングスは、2023年４月１日付で純粋持株会社体制を解消し、同社100％出資の子会社である株式会社三井E&amp;Sマシナリー及び株式会社三井E&amp;Sビジネスサービスを吸収合併するとともに、商号を株式会社三井E&amp;Sに変更致しました。これに伴い、被合併会社である同社の子会社における当社との取引に関わる権利義務は、全て同社に承継されております。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当事業年度末現在において、当社が判断したものであります。 (1)　会社の経営の基本方針当社は、技術に立脚し社会が求める優れた商品及びサービスを提供することにより、全てのステークホルダーの繁栄並びに経済・社会の発展に貢献すること、及び常に技術の研究開発に努め、グローバル化の時代に即した国際競争力のある企業体質を涵養し、世界の企業として発展することを経営の基本方針としております。また、東京証券取引所が定めるコーポレートガバナンス・コードへの対応に伴い、更なる持続的な成長と企業価値の向上を目指して全ステークホルダーとの協働を可能とするための行動基準を策定し実践しており、内部統制の強化、内部監査機能の充実により法令遵守の徹底に努めております。  (2)　中長期的な会社の経営戦略及び対処すべき課題等１.前中期経営計画（2020年度～2022年度）の振り返り当社は、中長期的・持続的成長を実現するため、2020年4月より3ヵ年の中期経営計画を遂行してきました。企業理念である「技術に立脚した製品の提供により社会に貢献し、研究開発に努め競争力ある企業として発展する」に則り、2022年のありたい姿として、①「高圧圧縮をコア技術とした技術開発・高効率化・改善設計を継続的に進め、強化した『加地テックブランド』により事業・サービス領域を拡大している」②「製品ライフサイクルサービスの事業モデルを確立し、営業活動を強力に推進し業績を伸ばしている」③「社員１人ひとりが向上心を持って行動するとともに、新たな仕組みで技術技能伝承・人材育成に取組んでいる」を定め、様々な施策を実施してまいりました。FCV（燃料電池自動車）水素ステーション用超高圧圧縮機においては、国内トップシェアを維持し、水素をはじめとするカーボンニュートラル市場における超高圧圧縮機メーカーとして「加地テック」のブランド力を高めることができました。また、アフターサービスは、積極的な営業活動推進により順調に業績拡大を進め計画を上回る受注・売上を達成することができました。しかしながら、新型コロナウイルス感染症、ロシアのウクライナ侵攻の長期化、その影響による原材料等の資材調達品の長納期化や価格高騰等、外部環境の大きな変化の影響もあり、各案件の採算が悪化し、最終年度である2022年度の数値計画は達成することができませんでした。  20中計数値計画（2022年度）2022年度実績売上高65億円59億円営業利益6.0億円2.3億円純利益4.0億円2.8億円ＲＯＥ6.0％4.3％  ２.2030年に向けた長期経営計画「KAJI 2030VISION」当社は、昨年6月に、当社の強みと、社会、事業環境の変化を照らし合わせて2030年に向けた長期経営計画として「KAJI 2030VISION」を策定し、以下の＜2030年のありたい姿＞＜基本方針＞及び＜共通戦略＞を定めております。＜2030年のありたい姿＞超高圧技術でカーボンニュートラル社会の実現に貢献する「モノづくり」＆「ソリューションサービス」企業＜基本方針＞① 当社の強みである超高圧技術を使ってカーボンニュートラル社会の実現に要求される製品を開発し、新しい市場において先行して商品化を進め超高圧圧縮技術で常に市場をリードしていく。② 既存事業のQCD強化により製品競争力を高め事業を拡大する。③ Lifecycle Solution Service型ビジネスを志向したアフターサービスの拡大により収益力を向上する。④ 超高圧圧縮技術で、海外市場においても存在感を示す企業となる。 ＜共通戦略＞① 従業員エンゲージメントを高める経営② TQM(Total Quality Management 総合的品質管理)による製品品質・サービスの向上③ SDGsへの取組み強化 ３.新中期経営計画（2023年度～2025年度）の策定当社は、厳しさを増す現在の経済環境に柔軟に対応し、中長期的・持続的成長を実現するため、2023年度から2025年度までの3カ年の中期経営計画（「2023中期経営計画」）を策定しました。「2023中期経営計画」は、長期経営計画「KAJI 2030VISION」の実現に向けた第一ステップと位置付け、「KAJI 2030VISION」で定めた＜2030年のありたい姿＞＜基本方針＞をバックキャスティングして策定した基本方針と戦略を着実に実行し、経営目標を達成してまいります。（１）基本方針戦略＜基本方針①＞カーボンニュートラル社会の実現に向けた製品開発・商品化を推進する。戦略① 信頼性の高い高圧圧縮技術(製品・サービス)の提供・水素ステーションでのトップシェアの維持・水素ステーション以外の水素サプライチェーン市場全般への販売を拡大し、圧倒的シェアを得る・カーボンニュートラル（水素以外）市場へ製品を投入し、販路を増やす  ＜基本方針②＞既存事業のQCD強化により製品競争力を高め事業を拡大する。戦略②-1 PETボトル成形用圧縮機市場：アフターサービス対応力を含めた信頼性の高い製品の提供戦略②-2 プラント・一般産業・電力市場：幅広いガスでの実績をベースとした個別対応製品の提供  ＜基本方針③＞ソリューション型ビジネスを志向したアフターサービスの拡大により収益力を向上する。戦略③-1 安定稼働のためのアフターサービスの提供戦略③-2 ライフサイクルコストの低減  ＜基本方針④＞超高圧圧縮技術で海外市場においても存在感を示す企業となる。戦略④ コスト競争力のある海外サプライチェーンを利用した高圧圧縮技術の提供  ＜共通戦略＞戦略⑤-1 設計・製造の生産性向上戦略⑤-2 新基幹システムとBOM導入による業務効率化戦略⑤-3 TQMによる製品品質・サービスの向上戦略⑤-4 従業員エンゲージメントを高める経営戦略⑤-5 SDGsへの取組み強化   （２）経営数値計画「2023中期経営計画」の最終年度である2025年度の計数として、次の目標を設定します。経営指標2025年度 売上高75億円 営業利益6.5億円（営業利益率9.0％）純利益4.5億円 ＲＯＥ6.0％  なお、上記の計数目標は、現時点で入手可能な情報に基づき算出しており、実際の業績は今後様々な要因により異なる可能性があります。 
事業等のリスク	 ３ 【事業等のリスク】当社の事業の状況、経理の状況等に関する事項のうち、経営者が財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは以下のとおりであります。当社はこれらリスク発生に対する予防策、ならびにリスクが発生した場合における対応策につき適切なる対応に努める所存であります。なお、文中における将来に関する事項は、当事業年度末現在において当社が判断したものであります。 （1）材料価格高騰に係るリスク当社製品の主要原材料のひとつである鋼材や部材の調達価格が市況変動により高騰することで収益を圧迫し、経営成績等に影響を及ぼす可能性があります。従来から調達価格の変動はあるものの、現時点において当該リスクが経営成績等に重大な影響を及ぼす見込みはありませんが、新規調達先の開拓や調達仕様の見直しに取り組み、リスク低減に努めてまいります。　（2）品質問題に係るリスク当社はＩＳＯ９００１にもとづいた品質管理体制のもと、当社製品およびサービスの提供に取り組んでおります。しかしながら、製造過程における予期せぬ欠陥あるいは不具合等の発生により、当社の経営成績等に影響を及ぼす可能性があります。現時点においては、重大な不具合等は把握しておりませんが、品質管理体制の強化は重要な経営課題と位置づけており、今後も品質向上に注力することでリスク低減に努めてまいります。　（3）設備投資動向に係るリスク当社が主に製造販売する特殊高圧圧縮機及びサービスの販売動向は、当社の顧客となる企業の設備投資状況に影響を受けます。当社は当該リスクに対し、各業界の設備投資動向を把握し新規の需要開拓や受注拡大に注力することで、リスク低減に努めてまいります。 （4）製品販売価格に係るリスク当社は市場競争力を持つ差別化された製品を提供すべく研究開発に注力していますが、製品によっては他社との競合により受注価格の下落を招く場合もあり、当社の経営成績等に影響を及ぼす可能性があります。従来から競合他社との価格競争にさらされておりますが、現時点において特殊な受注価格の下落等は把握しておらず、今後も市場ニーズに応じた付加価値の高い製品を提供することでリスク低減に努めてまいります。 （5）製品に係るリスク当社は高圧ガス保安法に基づいた圧縮機をはじめ各種の圧縮機を製造しております。当社が製造・納入した製品において将来欠陥等により製造物責任の賠償を求められないという保証はありません。これらのリスクをカバーすべく製造物責任賠償保険に加入しておりますが、多額の賠償額が発生した場合には当社の経営成績等に影響を及ぼす可能性があります。これまで当該事象が発生したことはございませんが、前述のとおり品質管理体制を強化することでリスクを低減してまいります。　（6）人材の確保・育成に係るリスク当社は高度な技術開発力および機械加工・研磨・切削等の精緻な技術力に支えられた製品を製作しております。これら技術に立脚した事業を維持するため、必要となる人材を採用・育成しておりますが、当社が必要とする専門的技術・知識・資格を持つ人材の採用・育成が計画通りに進まない場合には当社の競争力が低下し経営成績等に影響を及ぼす可能性があります。現在、賃金・評価制度の改革を推進するとともに、教育制度改革にも着手しており、今後もさらなるリスク低減に向けた取り組みを実施してまいります。  （7）情報システムに係るリスク当社の事業活動において、情報システムの利用とその重要性は増大しており、当社は情報セキュリティ強化のため、PC・サーバーの脆弱性対策や情報保存媒体の使用制限を設けるなど、情報漏洩リスクの軽減に努めております。しかしながら、コンピュータウイルスその他の要因によって情報システムの機能に支障が生じた場合には、正常な事業遂行が難しくなり、当社の経営成績等に影響を及ぼす可能性があります。現時点までに重大なシステム障害や情報漏洩は発生しておりませんが、今後も従業員教育を含め、さらなる情報セキュリティの強化を目指してまいります。 （8）自然災害等に係るリスク地震等大規模な自然災害や新型コロナウイルス感染症に代表される未知の感染症の流行等、想定を超えた事象が発生した場合には、当社の事業遂行に直接的または間接的な影響が生じ、当社の経営成績等に影響を及ぼす可能性があります。当社は上述した外部環境の変化に備え経営体質の強化を図るとともに、従業員安否確認システムの導入や災害対応マニュアルの策定等の対応を進めることで、当該リスクの低減に努めてまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)　経営成績等の状況の概要① 経営成績の状況当事業年度におけるわが国経済は、新型コロナウイルス感染症に伴う規制が徐々に緩和され、回復の兆しが見られましたが、円安ドル高の進行や長期化するウクライナ情勢不安の影響による原燃料・原材料価格の高騰など、製造業において逆風が続く結果となりました。また、上記の他にも米銀の破綻を発端とした欧米の金融システム不安等、下振れリスクは依然として存在しており、景気の先行きは不透明な状況が続いております。日銀短観(2023年3月調査)によれば、2022年度の設備投資計画(全規模・全産業)は、前年度比11.4％増と高い伸びを示しており、12月調査(同15.1％増)から下方修正されたものの、前年度から大幅に持ち直すとの計画は維持されております。また、2022年度の経常利益計画(全規模・全産業)は前年度比7.9％増と、12月調査(同7.5％増)からやや上方修正された結果となりました。これは、もともと保守的に見積られていた想定を、実績が判明するにつれて上方修正された結果だと考えられます。このような状況下、当事業年度における当社業績は、カーボンニュートラル市場向けの開発設備・試験用圧縮機の販売等により、売上高は前年同期比30.5％増の5,975百万円となりました。しかしながら、原材料の高騰等により各案件の採算が悪化傾向にあり、売上総利益は前年同期比8.7％減の1,348百万円となりました。売上総利益の減少に加え、カーボンニュートラル関連の研究開発費の増加等で販売費及び一般管理費が前年同期比6.7％増の1,111百万円となったことにより、営業利益は前年同期比45.5％減の237百万円、経常利益は前年同期比34.8％減の296百万円となりました。一方、本社総合組立工場の竣工に際し、旧工場解体費用19百万円を特別損失として計上しましたが、補助金の交付により特別利益102百万円を計上したこと等から、当期純利益は前年同期比6.8％減の288百万円となりました。② 財政状態の状況当事業年度末の総資産は、10,990百万円で前事業年度末に比べ1,306百万円増加しました。この主な要因は、受取手形の減少264百万円があったものの、電子記録債権の増加469百万円、売掛金の増加606百万円及び本社総合組立工場が竣工したこと等による有形固定資産の増加425百万円があったことによります。当事業年度末の負債は、4,195百万円で前事業年度末に比べ1,086百万円増加しました。この主な要因は、本社総合組立工場の竣工に伴い建設資金の借入を実行したことにより、長期借入金の増加1,434百万円及びそのつなぎ資金返済による短期借入金の減少1,000百万円があったことや、電子記録債務の増加163百万円、未払消費税等の増加148百万円及び契約負債の増加174百万円があったことによります。当事業年度末の純資産は、6,795百万円で前事業年度末に比べ220百万円増加しました。この主な要因は、剰余金の配当66百万円があったものの、当期純利益288百万円を計上したことにより、利益剰余金が222百万円増加したことによります。以上の結果、自己資本比率は61.8％となりました。③ キャッシュ・フローの状況当事業年度末における現金及び現金同等物は971百万円で、前事業年度末に比べ200百万円の増加となりました。各キャッシュ・フローの状況とそれらの要因は次のとおりであります。(営業活動によるキャッシュ・フロー)営業活動の結果、増加した資金は380百万円であります（前年同期は786百万円の増加）。この増加は主に、売上債権の増加額941百万円があったものの、税引前当期純利益の計上379百万円、減価償却費の計上265百万円、未収還付消費税等の減少額198百万円、仕入債務の増加額134百万円及びその他の増加額342百万円があったことによります。(投資活動によるキャッシュ・フロー)投資活動の結果、減少した資金は611百万円であります（前年同期は1,766百万円の減少）。この減少は主に、有形固定資産の取得による支出657百万円があったことによります。  (財務活動によるキャッシュ・フロー)財務活動の結果、増加した資金は430百万円であります（前年同期は932百万円の増加）。この増加は主に、短期借入金の返済による支出1,000百万円があったものの、長期借入れによる収入1,500百万円があったことによります。 ④ 生産、受注及び販売の実績    a. 生産実績 当事業年度における生産実績は、次のとおりであります。セグメントの名称生産高(千円)前年同期比(％)圧縮機事業5,459,670△2.6 (注) 金額は、販売価格によっております。     b. 受注実績 当事業年度における受注実績は、次のとおりであります。セグメントの名称受注高(千円)前年同期比(％)受注残高(千円)前年同期比(％)圧縮機事業7,283,17621.94,783,83037.6       c. 販売実績 当事業年度における販売実績は、次のとおりであります。セグメントの名称販売高(千円)前年同期比(％)圧縮機事業5,975,64930.5   (2)　経営者の視点による経営成績等の状況に関する分析・検討内容文中の将来に関する事項は、当事業年度末現在において、当社が判断したものであります。① 財政状態及び経営成績の状況に関する認識及び分析・検討内容当社の当事業年度の経営成績は、好調に推移した受注の結果、売上高は前年同期と対比して大幅な増加となりました。一方、資材の調達価格が前年度より引き続き増額の一途であり、売上総利益は前年同期と対比して減少という結果となりました。また、カーボンニュートラル関連の研究開発を推進した影響により研究開発費が増加し営業利益が減少、前年同期と対比して大幅な減少となりました。詳細は前述の「第２ 事業の状況 ４〔経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析〕 (1)経営成績等の状況の概要 ①経営成績の状況」をご確認ください。「2020　中期経営計画」期間の最終年度であった当事業年度の目標としては、売上高65億円、経常利益4.6億円、純利益3.9億円、ROE5.8％を設定しておりましたが、未達となりました。詳細につきましては、「第２ 事業の状況 １〔経営方針、経営環境及び対処すべき課題等〕 (2)中長期的な会社の経営戦略及び対処すべき課題等　1.前中期経営計画（2020年度～2022年度）の振り返り」をご参照ください。また当社は、厳しさを増す現在の経済環境に柔軟に対応し、中長期的・持続的成長を実現するため「2023中期経営計画を策定いたしました。詳細につきましては「第２ 事業の状況 １〔経営方針、経営環境及び対処すべき課題等〕 (2)中長期的な会社の経営戦略及び対処すべき課題等　3.新中期経営計画（2023年度～2025年度）の策定」をご参照ください。 ② キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社は、運転資金及び設備資金の調達につきましては、基本的には営業活動によるキャッシュ・フローを財源としますが、設備投資等の比較的大きな資金需要に対応する場合は、余剰資金もしくは金融機関からの借入によって対応する方針です。資金調達を行う際は、期間や市場金利等、また自己資本比率、ROEといった財務指標への影響度を総合的に判断しながら、最適な調達を実施します。当事業年度においては、大規模な設備投資計画である総合組立工場建設に係る第2期工事が完了、これにより全ての建設工事が完了いたしました。当該建築費用の残額の支払いについては、金融機関からの借入でまかなっております。一方で、総合組立工場建設費用の支払いに伴い、消費税の還付金があったことなどにより、当事業年度末における現金及び預金の残高は前事業年度末から200百万円増加の971百万円となりました。余剰資金は親会社である株式会社三井E&amp;Sに対する預け金で運用しており、当事業年度末における残高は1,100百万円であります。 ③ 重要な会計上の見積り及び当該見積りに用いた仮定当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５ 経理の状況 １〔財務諸表等〕 注記事項 （重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	 ６ 【研究開発活動】当社は「技術に立脚し社会が求める優れた商品を提供する」ことを企業理念としており、カーボンニュートラル社会の実現に要求される製品の開発を通して、超高圧圧縮技術で常にカーボンニュートラル市場をリードし、地球環境の保全に貢献していくことを目指しております。当事業年度の試験研究費の総額は145百万円であります。 既に市場投入・販売展開している『水素ステーション用一括昇圧型水素圧縮機』（商品名HyKom340）は、定置式水素ステーションの標準仕様（吐出圧力：82 MPa、吐出量：340 Nm3/h）であり、数多くの優れた技術を取り入れた製品で、「令和4年度燃料電池自動車用水素供給設備設置補助事業」で交付決定された7箇所のうち5箇所を受注致しました。また、水素サプライチェーン用圧縮機としては、2023年3月に株式会社INPEXが新潟県柏崎市で行うブルー水素・アンモニア製造・利用一貫実証試験において導入されるアンモニア合成設備用の水素圧縮機を受注致しました。カーボンニュートラル社会の実現に向け、今後も水素サプライチェーン用圧縮機の受注を重ねてまいります。今後、カーボンニュートラル社会の実現に向けて当社製品に求められるのは、超高圧圧縮機の従来からの課題である機器のコンパクト化、コストダウン、消耗部品の長寿命化であり、さらに、燃料電池トラック用水素ステーション向けの圧縮機及びアンモニア合成設備の社会実装に必要となる圧縮機においては大容量化が必要となります。これらのニーズに応えられる製品を引き続き開発してまいります。 当社は、株式会社三井E&amp;S（以下「MES」）の玉野事業所敷地内に建設される1,000Nm3/hrの大容量の水素ガス供給設備用の圧縮機を当事業年度において製作・販売いたしました。本機は、前段圧縮機として当社とMESの共同開発機である水平対向型圧縮機を使用、後段圧縮機として当社独自開発した竪型圧縮機を使用しています。本機においては、引き続きMESでの運転を通して高圧シール技術の性能向上などに関与していく予定であり、水素ステーション用をはじめとしたサプライチェーンに必要となる高圧圧縮技術の向上に資する開発に取り組んでまいります。当社は、経済産業省が選定する脱炭素社会の実現に向けたイノベーションに果敢に挑戦するゼロエミ・チャレンジ企業の一員であり、また2020年12月7日に発足した水素社会の実現を推進する団体「水素バリューチェーン推進協議会（JH2A）」の会員として、水素社会インフラ技術を担う圧縮装置の製造・販売・開発に積極的に取り組んでまいります。 また当社は、上記以外にも、成長分野市場が求める商品の開発と市場投入を実現するため、そのベースとなる高圧技術・環境対応技術の基礎研究を継続するとともに、既存商品の更なる改良開発を進めております。 
設備投資等の概要	１ 【設備投資等の概要】当事業年度の設備投資は、主として新工場の建設及び生産設備等の更新・増強を図るために実施しました。　このうち主なものは、総合組立工場における建物・建物附属設備・構築物(661百万円)及び機械・備品等の内部設備(53百万円)であり、これらを含む当事業年度の設備投資総額は814百万円です。 
主要な設備の状況	２ 【主要な設備の状況】2023年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置土地(面積㎡)ソフト　ウェアその他合計本社・工場(大阪府堺市美原区)圧縮機事業圧縮機の製造・組立及び販売・管理2,576,193384,872447,525(33,295)84,16366,1483,558,903171東京支社(東京都江戸川区)圧縮機事業販売及び保守サービス12,315172―6,9634,40523,85727 (注)　帳簿価額のうち「その他」は、工具器具備品及び車両運搬具等であり、建設仮勘定は含んでおりません。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式3,600,000計3,600,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,718,0001,718,000東京証券取引所スタンダード市場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計1,718,0001,718,000――  
