項目	値
事業の内容	２【事業の内容】　当第３四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期累計期間において、新たな事業等のリスクの発生、又は、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。　なお、本四半期報告書提出日現在において、当社の業績に新型コロナウイルス感染症による大きな影響は見られておりませんが、当該感染症による影響が長期化した場合における当社の業績への影響については、引き続き注視してまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。 (1）財政状態及び経営成績の状況　当第３四半期累計期間における我が国の経済は、新型コロナウイルス感染症拡大の影響を受け、先行きが不透明な状況となっております。　一方、コンサルティング業界は、企業が企業価値の向上を目指すために必要なグローバル化、業界再編、新たなビジネスの創出、働き方改革、そして、それらの実現に不可欠なデジタル技術の活用（デジタルトランスフォーメーション（注１））等、企業活動を様々な側面から支援するニーズは引き続き予想され、通信業界を中心にテレワーク推進等に向けた新たな需要も見込める状況であります。　このような状況のもと、当社は、2018年４月に公表いたしました「中期経営計画（FY2019－FY2021)」において、2019年２月期から2021年２月期までを「将来の持続的な事業拡大に向けた基盤固めの３年間」と位置付けており、中期経営計画における業績目標（売上収益：32,000～35,000百万円、EBITDA：約7,000百万円、１株当たり当期利益：約300円）については前期で達成しておりますが、2021年２月期においても、引き続き将来の持続的な成長に向けた基盤づくりとして、既存事業の進展（人員増と高付加価値化）による着実な成長を実現することを目標として掲げております。　当第３四半期累計期間においては、新型コロナウイルス感染症防止及び感染拡大リスク低減のため、従業員の衛生管理の徹底並びに在宅勤務、時差通勤の推進、オンラインによる会議の活用、国内外の出張の自粛等の措置をとったことにより事業活動が制限される中、リモートワーク等を活用しプロジェクトを推進すると共に、新たに約390名のコンサルタント（新卒含む）を採用することができました。　当第３四半期累計期間における収益面については、2020年３月において、前事業年度から継続していた好調な受注状況と併せて前事業年度に約24％増員したコンサルタントの戦力化が進んだこともあり、前年同期に比べ大幅な増収となりました。2020年４月から５月にかけては、新型コロナウイルス感染症拡大や緊急事態宣言の発令による顧客企業の活動停滞等により、当社の事業においても若干ながら影響を受けましたが、前年同期に比べ増収となりました。2020年６月以降は、緊急事態宣言解除後の経済活動が徐々に再開する中において当社の受注状況は堅調に推移し、前年同期に比べ増収となりました。　なお、2020年３月～11月平均の稼働率（注２）については、80％台後半の水準となりました。　これらの結果、当第３四半期累計期間における日本基準による売上高、又はIFRSによる売上収益については、前年同期に比べ（日本基準：30.5％増、IFRS：30.6％増）増収となり、営業利益については、前年同期に比べ（日本基準：85.9％増、IFRS：80.2％増）増益となりました。　なお、当社は、コンサルティング事業の単一セグメントであるため、セグメント別の記載はしておりません。 （注１）デジタルトランスフォーメーションクラウド、ビッグデータ、モビリティ等「第３のプラットフォーム技術」を導入/活用し、ＡＩやＩoＴ、ＡＲ＆ＶＲ、ロボティクス等を導入すること。 （注２）稼働率全所属コンサルタントに対する、ある時点においてプロジェクトに参画しているコンサルタントの割合 （財政状態の状況）　日本基準に準拠した当第３四半期会計期間末における財政状態の状況は以下のとおりであります。　当第３四半期会計期間末における資産は、33,037百万円となり、前事業年度末に比べ3,940百万円増加しました。これは主に、現金及び預金が3,960百万円、仕掛品が192百万円、その他の流動資産が182百万円、有形固定資産が170百万円、投資その他の資産が255百万円増加し、のれん償却額等により無形固定資産が840百万円減少したことによります。負債は、12,199百万円となり、前事業年度末に比べ292百万円減少しました。これは主に、未払法人税等が210百万円、その他の流動負債が1,215百万円増加し、未払金が235百万円、賞与引当金が733百万円、長期借入金が788百万円減少したことによります。純資産は、20,838百万円となり、前事業年度末に比べ4,232百万円増加しました。これは、資本剰余金が342百万円、利益剰余金が3,691百万円増加し、自己株式が200百万円減少したことによります。　参考情報として、IFRSに準拠した当第３四半期会計期間末における財政状態の状況は以下のとおりであります。　当第３四半期会計期間末における資産は、40,708百万円となり、前事業年度末に比べ5,467百万円増加しました。これは主に、現金及び現金同等物が3,957百万円、たな卸資産が162百万円、有形固定資産が1,305百万円増加し、無形資産が133百万円減少したことによります。負債は、14,725百万円となり、前事業年度末に比べ932百万円増加しました。これは主に、リース負債が1,127百万円、未払法人所得税が210百万円、その他の流動負債が428百万円増加し、その他の金融負債が104百万円、借入金が776百万円減少したことによります。資本は、25,983百万円となり、前事業年度末に比べ4,535百万円増加しました。これは主に、自己株式が200百万円減少し、利益剰余金が4,312百万円増加したことによります。 （経営成績の状況）　日本基準に準拠した業績（単位：百万円）回次2020年２月期第３四半期累計期間2021年２月期第３四半期累計期間増減率（％）会計期間自 2019年３月１日至 2019年11月30日自 2020年３月１日至 2020年11月30日売上高23,34730,45730.5売上原価13,54216,45321.5売上総利益9,80514,00442.8　売上総利益率（％）42.0％46.0％－販売費及び一般管理費5,2745,5825.8営業利益4,5318,42285.9　営業利益率（％）19.4％27.7％－経常利益4,4948,39686.8四半期純利益2,8645,44990.3　（注）百万円未満は四捨五入して記載しております。 （参考情報）　IFRSに準拠した業績（単位：百万円）回次2020年２月期第３四半期累計期間2021年２月期第３四半期累計期間増減率（％）会計期間自 2019年３月１日至 2019年11月30日自 2020年３月１日至 2020年11月30日売上収益23,38830,54830.6売上原価13,77416,61020.6売上総利益9,61413,93845.0　売上総利益率（％）41.1％45.6％－販売費及び一般管理費4,5864,8796.4営業利益5,0289,06180.2　営業利益率（％）21.5％29.7％－税引前四半期利益4,9819,01781.0四半期利益3,3776,07079.7　（注）百万円未満は四捨五入して記載しております。 （参考情報）　当社は、投資家が会計基準の差異にとらわれることなく、当社の業績評価を行い、当社の企業価値についての純粋な成長を把握するうえで有用な情報を提供することを目的として、EBITDAを経営成績に関する参考指標としております。なお、当該EBITDA及び算出方法は以下のとおりであります。 日本基準に基づくEBITDA ＝営業利益 ＋減価償却費及びその他の償却費 ＋のれん償却額（単位：百万円）回次2020年２月期第３四半期累計期間2021年２月期第３四半期累計期間会計期間自　2019年３月１日至　2019年11月30日自　2020年３月１日至　2020年11月30日日本基準による四半期財務諸表における営業利益4,5318,422調整額：  ＋減価償却費及びその他の償却費181204＋のれん償却額708708調整額小計889912日本基準に基づくEBITDA5,4209,334　（注）百万円未満は四捨五入して記載しております。 IFRSに基づくEBITDA ＝営業利益 ＋減価償却費及び償却費 ±その他調整（単位：百万円）回次2020年２月期第３四半期累計期間2021年２月期第３四半期累計期間会計期間自　2019年３月１日至　2019年11月30日自　2020年３月１日至　2020年11月30日IFRSによる要約四半期財務諸表における営業利益5,0289,061調整額：  ＋減価償却費及び償却費（注）２181204±その他調整（注）２、３21169調整額小計392273IFRSに基づくEBITDA5,4209,334　（注）１．百万円未満は四捨五入して記載しております。２．使用権資産に係る償却費については「＋減価償却費及び償却費」から除いて「±その他調整」に含めております。３．「±その他調整」は、IFRS固有の会計処理等によるものであります。 (2）キャッシュ・フローの状況　日本基準に準拠した当第３四半期累計期間における各キャッシュ・フローの状況については、四半期キャッシュ・フロー計算書を作成しておりませんが、参考情報として、IFRSに準拠した当第３四半期累計期間における各キャッシュ・フローの状況については、要約四半期キャッシュ・フロー計算書を作成しているため、各キャッシュ・フローの状況は以下のとおりであります。 　当第３四半期累計期間における現金及び現金同等物（以下、「資金」という。)は、前事業年度末に比べ3,957百万円増加し、当第３四半期会計期間末には11,985百万円となりました。 （営業活動によるキャッシュ・フロー）　当第３四半期累計期間において営業活動の結果得られた資金は、7,361百万円（前年同期は5,694百万円の収入）となりました。主な増加は、税引前四半期利益9,017百万円、減価償却費及び償却費719百万円、その他の流動負債の増加額376百万円、主な減少は、法人所得税の支払額2,682百万円によるものであります。 （投資活動によるキャッシュ・フロー）　当第３四半期累計期間において投資活動の結果使用した資金は、354百万円（前年同期は103百万円の使用）となりました。これは主に、有形固定資産の取得による支出200百万円、敷金の差入による支出108百万円によるものであります。 （財務活動によるキャッシュ・フロー）　当第３四半期累計期間において財務活動の結果使用した資金は、3,050百万円（前年同期は2,411百万円の使用）となりました。これは主に、長期借入金の返済による支出788百万円、リース負債の返済による支出523百万円、配当金の支払額1,747百万円によるものであります。 (3）経営方針・経営戦略等　当第３四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 (4）事業上及び財務上の対処すべき課題　当第３四半期累計期間において、当社が対処すべき課題について重要な変更はありません。 (5）研究開発活動　該当事項はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】　当第３四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式26,000,000計26,000,000
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2020年11月30日）提出日現在発行数（株）（2021年１月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式15,541,14115,541,141東京証券取引所市場第一部権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計15,541,14115,541,141－－　（注）「提出日現在発行数」の欄には、2021年１月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれていません。 
