項目	値
事業の内容	２【事業の内容】　当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　なお、第１四半期連結会計期間において、ジャパンエレベーターサービス九州株式会社を新たに設立したため、連結の範囲に含めております。また、株式会社上新ビルサービスの株式を取得したため、連結の範囲に含めております。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期連結累計期間において、新たな事業等のリスクの発生、又は、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。なお、当社グループはメンテナンス事業の単一セグメントであるため、セグメント別の記載を省略しております。 (1）財政状態及び経営成績の状況　①経営成績の状況　当第３四半期連結累計期間におけるわが国経済は、企業収益が底堅く推移するなか、雇用・所得環境の改善を背景に個人消費が持ち直すなど、緩やかな回復基調にありますが、米中貿易摩擦や英国のEU離脱問題、中国経済の減速などにより依然として不透明な状況が続いております。　エレベーター等のメンテナンス業界においても、公共投資・民間建設投資の堅調な推移に支えられ、市場は緩やかな拡大傾向にあると予想されます。　このような市場環境の下、当社グループは、ドミナント戦略強化等による首都圏のシェアアップに加え、関西・東海エリアにおける新規拠点の開設、ジャパンエレベーターサービス九州株式会社の設立等による営業エリアの拡大に注力してまいりました。また、2017年10月に竣工したJES Innovation Centerは、パーツセンター等の機能集約による事業効率化や供給能力の拡大、研究開発の加速等、当社グループの成長を支える重要拠点としての効果が表れてきております。　保守・保全業務については、保守契約台数が堅調に推移し、当第３四半期連結累計期間の保守・保全業務の売上高は11,126百万円（前年同期比11.5％増）となりました。リニューアル業務については、事業拡大に備えた営業体制の強化や部品供給停止案件の提案強化等により、当第３四半期連結累計期間のリニューアル業務の売上高は4,085百万円（前年同期比45.5％増）となりました。　以上の結果、当第３四半期連結累計期間の業績につきましては、売上高は15,732百万円（前年同期比22.7％増）、営業利益は1,969百万円（前年同期比38.4％増）、経常利益は1,957百万円（前年同期比40.3％増）、親会社株主に帰属する四半期純利益は1,201百万円（前年同期比38.5％増）となりました。 　②財政状態の状況（資産）　当第３四半期連結会計期間末における総資産は、前連結会計年度末より1,873百万円増加し、13,357百万円となりました。これは主に、有形固定資産が837百万円、無形固定資産が426百万円、現金及び預金が196百万円増加したこと等によるものであります。 （負債）　当第３四半期連結会計期間末における総負債は、前連結会計年度末より1,154百万円増加し、8,701百万円となりました。これは主に、未払法人税等が334百万円減少した一方で、短期借入金が841百万円、長期借入金が380百万円増加したこと等によるものであります。 （純資産）　当第３四半期連結会計期間末における純資産は、前連結会計年度末より718百万円増加し、4,655百万円となりました。これは主に、利益剰余金が677百万円増加したこと等によるものであります。 (2）経営方針・経営戦略等　当第３四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 (3）事業上及び財務上の対処すべき課題　当第３四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 (4）研究開発活動　当第３四半期連結累計期間におけるグループ全体の研究開発活動の金額は266百万円（資産計上分含む）であります。　なお、当第３四半期連結累計期間において、当社グループの研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】　当第３四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式112,000,000計112,000,000
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2019年12月31日）提出日現在発行数（株）（2020年２月10日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式40,538,60040,538,600東京証券取引所（市場第一部）完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計40,538,60040,538,600－－（注）「提出日現在発行数」欄には、2020年２月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】前事業年度の有価証券報告書の提出日後、当四半期累計期間における役員の異動は、次のとおりであります。　役職の異動新役職名旧役職名氏名異動年月日　取締役副社長執行役員　営業担当　兼　営業本部長　取締役副社長執行役員　営業担当　安藤　広司2019年11月１日　取締役専務執行役員　事業会社担当　兼　事業推進本部長　取締役専務執行役員　事業会社担当　兼　事業戦略室長　倉本　周治2019年11月１日　取締役常務執行役員　広報・ＩＲ室長　兼　事業推進本部副本部長　取締役常務執行役員　広報・ＩＲ室長　佐久間　幸子2019年11月１日
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
