項目	値
事業の内容	３【事業の内容】　当社グループ（当社及び当社の関係会社）は、当社、子会社13社（㈱ＯＳＧウォーターテック、㈱ウォーターネット、欧愛水（上海）環保科技有限公司、㈱銀座仁志川　他９社）により構成されており、電解水素水生成器、浄水器、ＨＯＤ（水宅配）事業、家庭用電気治療器等に代表される環境・健康関連機器の製造・販売を主たる業務としております。　当社グループの事業内容及び当社と関係会社の当該事業に係る位置付けは、次のとおりであります。（1）水関連機器事業　主要な製・商品は、電解水素水生成器、浄水器、衛生管理機器、水自動販売機、ウォータークーラー等であり、国内販売につきましては当社及び連結子会社が行い、製造につきましては㈱ＯＳＧウォーターテックが行っております。中国市場につきましては、欧愛水（上海）環保科技有限公司が製造し、販売代理店を通じて販売を行っております。（2）メンテナンス事業　主要な製・商品は、電解水素水生成器、浄水器等の交換用カートリッジ及び衛生管理機器用添加液等であります。電解水素水生成器用カートリッジ及び衛生管理機器用添加液等……販売につきましては当社が行い、製造につきましては㈱ＯＳＧウォーターテックが行っており、中国においては欧愛水（上海）環保科技有限公司が製造・販売を行っております。浄水器用カートリッジ……販売につきましては当社が行い、製造につきましては㈱ＯＳＧウォーターテック・欧愛水（上海）環保科技有限公司及び外部の協力会社が行っております。（3）ＨＯＤ（水宅配）事業　当事業は、冷温水サーバーを消費者に貸し出したうえで、当社が開発・製造するミネラルウォーター製造プラントを使用し、製造された水をボトリングし宅配する事業であります。当該事業はエリアライセンスチェーン形式をとっており、エリアライセンスを取得された加盟店で構成され、全国展開を図っております。主要な製・商品は、ミネラルウォーター製造プラント及びサーバー等であり、エリアライセンスチェーン加盟店の獲得には当社が協力しております。（4）フランチャイズ事業　当事業は、当社グループの業務用アルカリイオン水を用いた「水にこだわる高級食パン」食パン専門店の運営・フランチャイズ展開及び介護宅配弁当、中華総菜の製造・販売を行っております。主要な製・商品は、食パン・食材・ロイヤルティ・介護宅配弁当、中華総菜等であり、加盟店の獲得には当社が協力しております。 　なお、㈱ジーエーティ研究所につきましては、当社販売促進活動の一環として、得意先の人材教育、セミナー等を企画実施しておりましたが、現在、事業を一時休止しております。 　事業の系統図は次のとおりであります。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1）経営方針・経営戦略等　「第10次４ヶ年計画」の最終年度である2025年１月期は、「成長戦略とグローバル化」、「生涯顧客構築」、「『ステハジ』プロジェクト推進」の基本方針を引き続き進めてまいります。特に、2025年８月に迎える創立55周年に向けて、積極的に販売促進企画を実施してまいります。なお、当社グループの成長事業である「フランチャイズ事業」について、当社グループでの位置づけは今後も変わらず、グローバル展開も含めて積極的に推進してまいります。 (2）経営環境並びに優先的に対処すべき事業上及び財務上の課題　①　営業体制の強化現在、当社グループの主要な事業拠点は全国で13箇所でありますが、当社の主要な販売ルートは全国に網羅されております。効率の良い拠点展開を主眼におき、担当従業員を配置してまいります。そのための課題としましては、人材の確保並びに育成が必須となり、これに取り組んでまいります。　②　新規市場の開拓当社グループ主力の家庭用市場に加え、今後更なる成長が期待される市場が産業用・業務用市場であります。アルカリイオン水のペットボトル飲料製造用として、当社製品が台湾やベトナムを含むアジア諸国の飲料メーカーに採用されたこともあり、これを機に、世界各国におけるアルカリイオン水のペットボトル飲料市場の更なる開拓を進めております。あわせて、衛生管理ビジネスにつきましても、当社一部製品について中国国内における販売許認可を得ております。現段階では育成事業の位置付けでありますが、次世代殺菌水として既存の薬剤マーケットの需要はもちろん、新しいマーケットの需要を創出すべく、国内のみならず海外市場におきましても更なる販売体制の強化を図る方針であります。　③　メンテナンスシステムの充実当社グループは54年間にわたり、顧客データベースの活用によるメンテナンスシステムを構築しておりますが、今後とも新しい情報管理システムの導入等により、当システムの充実を図り、安定収入の基盤を強化する方針であります。　④　海外事業の展開当社グループの事業ドメインは、日本国内のみならず世界的な視点からも、その市場の成長性及び将来性に対する期待の高さを有していると考えております。そのグローバル戦略として、中国市場では子会社欧愛水（上海）環保科技有限公司があり、電解水素水生成器の製造及び販売を行っており、代理店の強化及び拡大を図ってまいります。更に、インドへ現地法人を設立する等、特にアジア諸国に対して市場の拡大に努めてまいります。　⑤　ＨＯＤ（水宅配）事業の育成当社グループは、ＨＯＤ（水宅配）ビジネスについて、子会社㈱ウォーターネットが行い、エリアライセンスチェーン形式による全国展開を戦略として採っておりますが、そのエリアライセンスチェーン加盟店を早期に拡大するために、当社の経営資源を提供し、加盟店確保のために営業展開を進め、安定的な売上及び収益を計上できるように育成してまいります。　⑥　新製品の開発当社グループは、家庭用から業務用・産業用に至るまでの製品を開発してまいりました。今後もこれまでに培ってまいりました技術及びノウハウを活用し、よりよい製品を開発してまいります。
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中における将来に関する事項は、有価証券報告書提出日現在において判断したものであり、潜在的リスクや不確定要因はこれらに限られるものではありません。①個人情報について当社グループは、取扱い製・商品の特性による消耗品交換業務を行うため、多数の個人情報を有しております。当然のことながら、グループ全体でその管理には万全を期してはおりますが、不測の事態によりこれが漏洩した場合、それに伴う賠償責任等の費用負担及び社会的信用の低下等から、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。②取扱い製・商品に対する医薬品医療機器等法の規制について当社グループの取扱い製・商品である電解水素水生成器（医療用電解水生成器）、家庭用電気治療器（医療機器）の製造及び販売については、医薬品医療機器等法の規制を受けております。これらの医療機器の製造販売を行うためには、各都道府県知事に医療機器製造販売業許可を必要とし、製造所にあっても医療機器製造業許可が必要であります。各業許可に際しては、規程及び責任者の設置等が義務付けられております。また、販売につきましては、各都道府県に対して販売拠点の概要、販売管理責任者の届出が義務付けられており、広告等につきましても規制がなされております。今後、当該法令等の改正により、当社グループの活動が一時的に制限された場合、経営成績及び財政状況に影響を及ぼす可能性があります。③販売方法に対する特定商取引に関する法律の適用について当社メンテナンス担当事業部におきましては、事前にアポイントメントを取った上、当社社員が直接エンドユーザーを訪問し、消耗品交換等の業務を行っております。年間１回のみ訪問し、消耗品交換とあわせ、消耗品以外の製・商品を販売する場合には、特定商取引に関する法律第２条における訪問販売に該当するものとなり、同法第９条におけるクーリングオフ制度（一定期間内において、無条件に解約できる制度）の適用を受けるものとなります。当社では、前述のクーリングオフ制度の適用を受けない場合も含め、契約から１ヶ月間の期間を設け、自主的にクーリングオフ制度を導入しております。これら法令等を遵守するためコンプライアンス体制の強化に取り組んでおりますが、もしこれらの法令等の規制を遵守できなかった場合や新たな法規制が設けられた場合、営業活動が制限されることにより、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。④中国及び海外市場について中国においては、当社グループの国外子会社である欧愛水（上海）環保科技有限公司が、主に中国市場向け電解水素水生成器の製造・販売を行っております。しかしながら、中国をはじめとして、海外においては予測不能な法律及び規制等の変更、急速な経済発展に伴う電力供給不足等のインフラ整備の遅れ、テロ、政変その他の要因による社会的混乱の発生等により、操業停止及び販売が困難となった場合、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。 ⑤製品の欠陥について当社グループの主要製造子会社である㈱ＯＳＧウォーターテック及び中国子会社欧愛水（上海）環保科技有限公司は、国際的な品質基準に基づき生産を行っておりますが、全ての製品において欠陥が発生しないという保証はございません。また、製造物責任賠償については、保険に加入しておりますが、当保険が最終的に負担することとなる賠償総額を充足するという保証はございません。このような事象が起こった場合、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。⑥知的財産権について当社グループは、保有する特許権、商標権、意匠権等知的財産権の管理には万全を期しておりますが、当知的財産権が第三者からの侵害を受けた場合、あるいは、意図せずして当社製品が他人の保有する知的財産権を侵害した場合、係争期間の長期化及び損害賠償請求等により、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。⑦ＨＯＤ（水宅配）事業について当社グループの国内子会社である㈱ウォーターネットは、ミネラルウォーターの製造及び宅配事業を行っております。当該事業は、エリアライセンスチェーン形式による全国展開を戦略として採っていることから、加盟店確保が事業の規模拡大に直結しております。したがいまして、加盟店の確保が計画どおりに進まなかった場合、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。また、当該事業は水道水を原水としてミネラルウォーターを製造し、それをボトルに充填して宅配を行う事業であります。その性質上、地震や災害等により、原水である水道水の供給が止まりますと製造することができなくなります。このような事象が起こった場合、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。⑧自然災害等について想定外の大規模地震・自然災害や火災等の事故災害、感染症の流行、その他の要因による社会的混乱等が発生したことにより、当社グループや主要取引先の事業活動の停止または事業継続に支障をきたす事態が発生した場合には、当社グループの経営成績及び財政状況に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　　文中の将来に関する事項は、当連結会計年度の末日現在において当社グループ（当社及び連結子会社）が判断したものであります。 ①財政状態及び経営成績の状況イ　財政状態（流動資産）　当連結会計年度末における流動資産の残高は、前連結会計年度末に比べ142,778千円増加し、4,457,808千円となりました。これは主に流動資産のその他が62,324千円、商品及び製品が38,426千円減少しましたが、現金及び預金が153,110千円、売掛金が88,330千円増加したことによるものであります。（固定資産）　当連結会計年度末における固定資産の残高は、前連結会計年度末に比べ149,597千円減少し、2,267,409千円となりました。これは主に有形固定資産が120,900千円、投資その他の資産が30,901千円減少したことによるものであります。（流動負債）　当連結会計年度末における流動負債の残高は、前連結会計年度末に比べ311,039千円増加し、2,644,640千円となりました。これは主に支払手形及び買掛金が44,227千円減少しましたが、短期借入金が132,500千円、未払法人税等が128,465千円、その他の流動負債が95,329千円増加したことによるものであります。（固定負債）　当連結会計年度末における固定負債の残高は、前連結会計年度末に比べ65,097千円減少し、908,578千円となりました。これは主に繰延税金負債が24,408千円、退職給付に係る負債が10,263千円増加しましたが、長期借入金が73,943千円、その他の固定負債が27,720千円減少したことによるものであります。（純資産）　当連結会計年度末における純資産の残高は、前連結会計年度末に比べ252,761千円減少し、3,171,998千円となりました。これは主に、利益剰余金が175,359千円、非支配株主持分が92,404千円減少したことによるものであります。 ロ　経営成績当社グループは、中長期経営計画にて発表している2030年のあるべき姿「ＯＳＧ2030ビジョン」の実現に向け、2022年１月期を初年度とする「第10次４ヶ年計画」に基づき活動を進めております。「第10次４ヶ年計画」は、①成長戦略とグローバル化、②生涯顧客構築、③「ステハジ」プロジェクト推進の３点を基本方針として、飛躍に向けた新たな基盤作りを行っております。 ４つのセグメントにおいて、水関連機器事業、メンテナンス事業、ＨＯＤ（水宅配）事業は概ね計画通りに進行しましたが、フランチャイズ事業において、予算を大きく下回りました。フランチャイズ事業は「食」をキーワードとして、高齢者向け宅配弁当、高級食パン専門店の「銀座に志かわ」、中華総菜の老舗「元祖五十番神楽坂本店」があります。「食」に関する分野は当社グループの成長エンジンと位置付けしており、特に、当社グループにおける過去最高の売上及び利益を計上した2021年１月期は「銀座に志かわ」が大きく貢献しました。それだけに、当連結会計年度における「銀座に志かわ」の売上及び利益が当社グループの業績に大きく影響を与えました。「食パン専門店」業界を取り巻く販売環境は、オーバーストア状態により店舗間競争が激化しております。そのような事業環境の中、採算性を重視した店舗運営やスクラップ＆ビルドを実施しております。他方で、積極的な商品開発やM&amp;A、海外進出を行っておりますが、当連結会計年度においては不採算店の閉店や出店戦略の見直し、特別損失の計上によって業績に影響を与えました。なお、フランチャイズ事業が担っている「食」に関する分野について、今後も当社グループの成長エンジンとしての位置付けは変わらず、グローバル展開も含めて、引き続き積極的に推進していく方針であります。 以上の状況から、当連結会計年度の売上高は7,896,271千円（前年同期比2.8％減）、営業利益310,068千円（同22.0％減）、経常利益351,331千円（同21.4％減）、親会社株主に帰属する当期純利益は49,612千円（同75.0％減）となりました。 当連結会計年度の事業４セグメント（水関連機器事業・メンテナンス事業・ＨＯＤ（水宅配）事業・フランチャイズ事業）における経営成績及び今後の見通しは次のとおりです。 (水関連機器事業)当社グループが取り組んでいる「ステハジ」プロジェクトは2025年の大阪・関西万博公式プログラム「TEAM EXPO 2025」として登録されており、熱中症予防や資源循環の観点から会期中だけではなく、会期後の給水スポット普及にも期待が持てます。全国の様々な企業や団体・自治体、教育機関との共創の輪も広がっており、給水スポットのニーズは更に高まっております。特に、自治体や学校、商業施設などにおいてウォータークーラーや水自販機など業務用機器の導入が順調に進んでおります。また、家庭用機器の新ビジネスモデルは、翌年以降の収益にも繋がる「投資型ストックビジネスモデル」であり、水関連機器事業及びメンテナンス事業の新たな土台となる安定的な収益基盤の構築を進めております。以上の結果、売上高2,164,495千円（同10.2％増）、営業利益20,841千円（前期は81,941千円の営業損失）となりました。 （メンテナンス事業）メンテナンス事業につきましては計画通り推移し、売上高1,944,802千円（同0.7％増）、営業利益381,206千円（同23.0％増）となりました。当社のメンテナンスは、創立以来54年にわたる実績があり、製品設置後も１軒１軒のお客様宅に訪問してメンテナンスを実施しております。当社独自の強みであり、継続的に収益を得られるリカーリング型のビジネスモデルであります。今後も顧客満足を更に追求し、サービスの向上を図ってまいります。 （ＨＯＤ（水宅配）事業）ＨＯＤ（水宅配）事業につきましては、災害時に必要な量の水を備蓄するためにボトルドウォーターのローリングストックを推進しております。その結果、ボトルドウォーターやロイヤルティなどのストック収益は順調に推移しております。しかしながら、新規ユーザー獲得が計画を下回ったことにより、加盟店向けのウォーターサーバー等の卸売上が減少いたしました。また、物流費の高騰や顧客管理システム再構築に伴って販管費が増加したことにより、売上高1,236,270千円（同7.6％減）、営業利益44,789千円（同57.3％減）となりました。 （フランチャイズ事業）フランチャイズ事業につきましては、既存の高齢者向け弁当宅配部門と「銀座に志かわ」部門に、新しく「元祖五十番神楽坂本店」部門が加わっております。昭和32年創業で、名物「元祖肉まん」をはじめとした中華まん・点心・饅頭などの中華総菜を販売する老舗「元祖五十番神楽坂本店」を運営する株式会社D&amp;Dの株式を取得し、子会社化しております。今後は、生産能力をアップするため新工場建設を行い、まずは東日本を中心に積極的に出店を進めてまいります。「銀座に志かわ」部門は、上述の通り、国内市場においてはオーバーストア状態による店舗間競争激化の渦中にあります。当社の見立てでは、日本の食パン市場約3,500億円のうち「食パン専門店」市場は200～350億円程と考えている中で、最多で約1,800店あると言われていた「食パン専門店」は現在約600店となりましたが、依然としてオーバーストア状態であります。そのような状況において、「銀座に志かわ」は以下に挙げる取り組みを実施しております。①　不採算店舗の統廃合及び直営店化による再構築②　競合他社と比較して積極的な商品開発（クリスマス食パン・バレンタイン食パンなど）③　海外市場の開拓強化海外市場においては、昨年５月に上海新天地店をオープンし、一種の社会現象を起こすほどになりました。現在は深圳エリアにも進出し、本年１月20日に３店目がオープンいたしました。４月には上海にて４店目がオープンする予定であります。中国では伝統的な朝食（饅頭・お餅・お粥・麺など）があり、食パン市場はまだまだ未形成市場の状態であるため、開発に多大なるコストを掛けております。ただ、中国のお茶文化の中で、コーヒー市場の拡大に伴って食文化の西洋化が進んでおり、当面は収益性を求めることは厳しい状況ですが、将来に向けての投資も兼ねて今後も積極的に、中国における「食パン専門店」市場の開拓を目指してまいります。以上の結果、売上高2,568,165千円（同11.9％減)、営業損失133,048千円（前期は74,645千円の営業利益）となりました。②キャッシュ・フローの状況当連結会計年度における連結ベースの現金及び現金同等物（以下「資金」という）は、営業活動による資金の増加が447,257千円、投資活動による資金の減少が227,292千円、財務活動による資金の減少が154,764千円、現金及び現金同等物に係る換算差額が2,783千円の増加となりましたので前連結会計年度末に比べ78,269千円増加し、当連結会計年度末におきましては548,908千円（前年同期比16.6％増）となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は、次のとおりであります。 （営業活動によるキャッシュ・フロー）営業活動による資金の増加は447,257千円（前期は305,690千円の増加）となりました。これは主に税金等調整前当期純利益153,774千円、減損損失153,969千円、減価償却費136,707千円によるものであります。（投資活動によるキャッシュ・フロー）投資活動による資金の減少は227,292千円（前期は235,226千円の減少）となりました。これは主に有形固定資産の取得による支出123,770千円、定期預金の純増加額65,401千円、無形固定資産の取得による支出33,660千円によるものであります。（財務活動によるキャッシュ・フロー）財務活動による資金の減少は154,764千円（前期は228,830千円の減少）となりました。これは主に短期借入金の純増額132,500千円がありましたが、配当金の支払額206,708千円、長期借入金の返済による支出73,168千円によるものであります。 ③生産、受注及び販売の実績イ　生産実績　当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　令和５年２月１日至　令和６年１月31日）前期比（％）水関連機器事業（千円）553,648108.7メンテナンス事業（千円）577,16995.8合計（千円）1,130,817101.7 ロ　製・商品仕入実績　当連結会計年度の製・商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　令和５年２月１日至　令和６年１月31日）前期比（％）水関連機器事業（千円）80,62085.3メンテナンス事業（千円）88,43298.6ＨＯＤ（水宅配）事業（千円）634,00187.2フランチャイズ事業（千円）1,309,70977.9合計（千円）2,112,76381.5 ハ　受注実績　当社グループは、見込み生産を行っているため、該当事項はありません。ニ　販売実績　当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　令和５年２月１日至　令和６年１月31日）前期比（％）水関連機器事業（千円）2,164,495110.2メンテナンス事業（千円）1,944,802100.7ＨＯＤ（水宅配）事業（千円）1,236,27092.4フランチャイズ事業（千円）2,568,16588.1調整額（千円）△17,462－合計（千円）7,896,27197.2 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①重要な会計上の見積り及び当該見積りに用いた仮定　連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、第５　経理の状況　１ 連結財務諸表等　(1）連結財務諸表　注記事項（重要な会計上の見積り）に記載のとおりであります。 ②当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容ａ．経営成績等に関する分析　イ　財政状態　当該事項につきましては、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 経営成績等の状況の概要　①財政状態及び経営成績の状況　イ　財政状態」に記載のとおりであります。 　ロ　経営成績（売上高）　「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1）経営成績等の状況の概要　①財政状態及び経営成績の状況　ロ　経営成績」に記載のとおりであります。（売上原価）　当連結会計年度における売上原価率は41.1％となり、前連結会計年度に比べ4.5ポイント下降いたしました。これは主に、売上高構成における仕入商材の減少等によるものであります。（販売費及び一般管理費）　当連結会計年度における販売費及び一般管理費は4,342,621千円となり、前連結会計年度に比べ7.9％増となりました。これは主に、人件費の増加等によるものであります。（営業外収益）当連結会計年度における営業外収益は51,546千円となり、前連結会計年度に比べ19.6％減となりました。これは主に、違約金収入20,800千円の減少等によるものであります。（営業外費用）当連結会計年度における営業外費用は10,284千円となり、前連結会計年度に比べ28.9％減となりました。これは主に、営業外費用のその他2,672千円の減少等によるものであります。（特別損失）当連結会計年度における特別損失は197,556千円となりました。これは、主に減損損失153,969千円及び固定資産除却損23,587千円によるものであります。　ハ　キャッシュ・フローの分析当連結会計年度におけるキャッシュ・フローの概況につきましては、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 ③資本の財源及び資金の流動性についての分析　当社グループの資金需要のうち主なものは、製品製造のための費用、販売費及び一般管理費等の営業費用や、金型等の生産設備、顧客管理システム等への設備投資であります。　これらの資金需要に対応するための財源は、営業活動によるキャッシュ・フローで得られる自己資金により調達することを基本としておりますが、必要に応じて金融機関からの借入等により調達していく考えであります。 
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。
研究開発活動	６【研究開発活動】　当社グループは、環境と健康関連分野を主体とした生活密着型製品の企画開発に重点的に取り組んでおります。　自社技術による開発だけでなく、他社メーカーからのＯＥＭによる製品開発も積極的に推進しております。特に、当社は「企画開発から製造、販売、メンテナンスに至るまでの一貫体制」をとっており、ユーザーの声を直接取り入れられる仕組みがあるため、顧客ニーズの多様化や高度化にタイムリーに対応することを基本方針としております。　新製品の企画開発から既存製品の改良や技術サービスに至るまでを、当社エジソン部（技術開発部）及び連結子会社㈱ＯＳＧウォーターテックの商品開発部が担当しております。新製品の開発にあたっては、必要に応じて営業部門をはじめ社内外の専門家によるプロジェクトチームを結成し効率化を図っております。また、製造に関しましては、連結子会社及び外部の協力会社に委託しており、新製品の企画開発の段階から協同体制をとっております。　なお、当連結会計年度の研究開発費は46,157千円となっており、特定のセグメントに関連付けられないため、セグメント別の記載は行っておりません。水に対する関心の更なる高まりと共に、市場ニーズも多様化が進むものと思われます。今後も水関連商品の市場ニーズに応え得る製品の開発及び他社との差別化に重点を置き、その研究活動を強化してまいります。
設備投資等の概要	１【設備投資等の概要】　特記すべき事項はありません。
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、次のとおりであります。(1）提出会社令和６年１月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数(人)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計本社(大阪市北区)会社統括業務各セグメント共通統括業務施設営業建屋146,294－256,835(287.09)17,319420,44988[10]世田谷サービスセンター(東京都世田谷区)各セグメント共通営業建屋14,614－303,701(542.71)－318,31528[2]福岡支店福岡サービスセンター(福岡市博多区)各セグメント共通営業建屋12,319－119,107(185.25)71131,49714[2]　（注）従業員数の［　］は、臨時従業員数を外書しております。　上記の他、各地区別に主要な賃借及びリース設備として、以下のものがあります。事業所名（所在地）セグメントの名称設備の内容従業員数（人）床面積（㎡）年間賃借料（千円）東京支店(東京都港区)各セグメント共通営業建屋39[3]413.8722,450名古屋支店(名古屋市千種区)各セグメント共通営業建屋17[2]161.684,237広島支店(広島市中区)各セグメント共通営業建屋16[30]163.805,232　（注）従業員数の［　］は、臨時従業員数を外書しております。(2）国内子会社令和６年１月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数(人)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計㈱ＯＳＧウォーターテック本社川越工場(埼玉県川越市)水関連機器事業・メンテナンス事業浄水器、電解水素水生成器生産設備及びカートリッジ生産設備211,7758,423－(－)4,339224,53828[33]　（注）１．㈱ＯＳＧウォーターテック川越工場の有形固定資産「建物及び構築物」「機械装置及び運搬具」「その他」のうち203,438千円は、当社が所有し、同社に賃貸しております。２．従業員数の［　］は、臨時従業員数を外書しております。　上記の他、主要な賃借及びリース設備として、以下のものがあります。 事業所名（所在地）セグメントの名称設備の内容従業員数（人）土地面積（㎡）年間賃借料（千円）㈱ＯＳＧウォーターテック川越工場(埼玉県川越市)水関連機器事業・メンテナンス事業土地及び倉庫28[33]4,136.0712,744　（注）１．当社が賃借し、同社に賃貸しております。２．従業員数の［　］は、臨時従業員数を外書しております。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式17,600,000計17,600,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（令和６年１月31日）提出日現在発行数（株）（令和６年４月30日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,500,0005,500,000東京証券取引所スタンダード市場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計5,500,0005,500,000－－ 
