項目	値
事業の内容	３【事業の内容】(1）当社グループは、当社（ザインエレクトロニクス株式会社）、連結子会社７社および関連会社１社で構成されております。当社グループは、LSI事業とAIOT事業の２事業を行っております。　LSI事業としましては、独自のアナログ設計技術および論理設計技術をもとに、ASSP（特定用途向け標準品）として各種用途向けミックスドシグナルLSIを開発し、自社ブランドで販売しております。また、製品開発によって得られたIP（回路設計資産）をライセンスする事業も行っております。具体的には、次の通りであります。①　LSIの開発、販売（LSI等）　当社は独自のアナログ設計技術および論理設計技術を駆使して、情報伝送用のLSIをはじめとして下記のような製品を開発、販売しております。イ）V-by-One®HSおよびLVDS規格品をはじめとする、画像データを高速に伝送するLSIを、事務機器、アミューズメント、セキュリティカメラ、車載機器、薄型テレビ、液晶パネル、パソコンなど広範な市場のメーカー等に販売しております。本製品は、その高速処理能力により安定した高解像度表示や優れた色深度対応を可能とすることに加え、低消費電力、低コスト化を実現でき、耐ノイズ性能や小型化、長距離伝送のニーズにも対応しています。ロ）上記デジタル画像データ伝送LSI（受信用）と液晶パネルコントローラをワンチップ化したLSIを車載機器などの液晶パネルメーカー等に販売しております。ハ）電源制御用LSI、LEDドライバおよび電源モジュールの開発を行い、産業機器等の市場において製品を販売しております。ニ）画像処理用LSI（ISP）を産業用カメラ、セキュリティカメラ、車載カメラなど高解像度カメラ等の市場において販売しております。カメラ用画像処理に必要なオートフォーカス等の各種自動補正機能に加えて、霧補正や動画手振れ補正、顔検出機能、強力な暗部補正等をハードウェア上に搭載しており、高速化、小型化、低消費電力化のニーズの高い機器向けに販売しております。※「V-by-One」はザインエレクトロニクス株式会社の登録商標です。 ②　IPライセンス（ロイヤリティー収入）　当社は製品として開発したデータ伝送LSI等のコア部分をIPとしてライセンスしロイヤリティー収入を得ております。 　AIOT事業としましては、AI/IoT/M2M機器やモバイル通信機器のハードウェア・ソフトウェアの開発・製造・販売を行っております。当社グループのキャセイ・トライテック株式会社を核として、AIおよびIoT活用分野を始めとする事業のイノベーションを加速し、新たなソリューション展開を通じて、お客様と世界市場に対してより革新的な付加価値を提供しております。具体的には、次の通りであります。①　通信モジュール製品の販売　IoTのモバイル接続機器に必須である無線通信モジュール製品を、ワールドワイドベンダーであるSIMCOM社製の製品を当社の技術支援により日本市場向けに適合して販売しております。②　ルータ―・ゲートウェイ等のIoT機器の開発、販売　4G/5G/LTE通信モジュールをベースに、通信ゲートウェイやモバイルルータ―等のネットワーク製品を開発、販売しております。③　AI/IoTソリューションの企画、開発、販売　4G/5G/LTE通信技術およびAI技術を活用した遠隔監視や可視化ソリューション等の実現のためのソリューション開発を、ソフトウェアからハードウェアまでワンストップにて開発、販売しております。 (2）当社グループの事業形態は、製品企画および開発は自社で行うものの、自社で工場は持たず、国内外のファウンドリーに製造を委託するファブレスメーカーであります。販売につきましては、直販または販売代理店経由となっております。　事業の系統図は、次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境および対処すべき課題等は以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。（１）会社の経営の基本方針　当社グループは、優れた人財が集い、資本・資源を有効に活用し、育ち、力の限り活躍し、豊かな自己実現と社会貢献ができる場を提供するという「人資豊燃」を理念として創業された研究開発型ファブレスメーカーであります。当社グループの競争力の源泉は研究開発活動にあり、独自のアナログ設計技術をもとに高付加価値な半導体技術を核としたソリューションを追求しております。IoT分野においては、当社グループのキャセイ・トライテック株式会社を核として、AIおよびIoT活用分野を始めとする事業のイノベーションを加速し、新たなソリューション展開を通じて、お客様と世界市場に対してより革新的な付加価値を提供しております。研究開発型企業の性質上、内部留保を充実するほか、資本市場からのタイムリーなリスクマネーの調達が可能な体制を整備しております。積極的に研究開発活動を実施し、アライアンスを重視しながら事業展開を図り、企業価値を高めることにより、株主へ利益還元していくことを基本方針としております。 （２）目標とする経営指標　当社グループは株主価値重視の観点から、営業利益等の指標の向上を通じて企業価値増大に努めていく所存であります。これを実現する観点から、当社グループの創業理念である「人資豊燃」に対応する経営指標として一人当たり利益の向上を目指してまいります。また一方で、キャッシュ・フローを意識した経営を行い、本業の営業活動より得たキャッシュ・フローを研究開発等に投下し、さらに将来のキャッシュ・フローにつなげることにより、企業価値増大を目指していきたいと考えております。 （３）経営環境および中長期的な会社の経営戦略と優先的に対処すべき事業上及び財務上の課題　当社グループは、“Interface to the Future – Solution by Smart Connectivity –”をベースとした差別化力と新たな付加価値を通じた社会貢献を目指しております。近年のコロナ禍に代表される大きな事業環境の変化に対応して、2022年度からの３年間を新たな中期経営戦略「5G&amp;Beyond-NE（New Era）」として策定し、当社グループ発のソリューション提供を通じた貢献を目指しています。　具体的にはLSI事業、AIOT事業の両事業において、以下の施策を講じて参ります。①　お客様の課題を解決するため、Interface to the Futureをベースとして、当社グループ独自のソリューションを世界市場に提供することを目指します。②　アジアおよび北米を核とした海外のマーケティング、営業の拠点を強化するとともに、世界市場での事業展開に向けた活動体制整備を推し進めます。③　開発能力のさらなる拡大および知的財産権の拡充を図ります。④　競争力のあるコスト構造、高信頼性化、供給の安定化を進めます。⑤　他社とのアライアンス案件を積極的に探索し、機動的に新事業の開拓を進めます。　これらの施策により、中期経営戦略「5G&amp;Beyond-NE」の達成を目指し、将来において当社グループ全体で戦略５ゴールを超える「Beyond成長力」を創出し、企業価値の拡大および社会貢献を達成したいと考えております。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を及ぼす可能性のあると認識している主要なリスクは、以下のとおりであります。　当社グループの財政状況、経営成績等に重要な影響を及ぼす可能性のあるリスクの一部を以下で取り上げていますが、全てのリスクを網羅している訳ではありません。当社グループの事業は、現在において未知のリスク、あるいは現時点で特筆すべき、または重要とみなされていない他のリスクの影響を将来的に受ける可能性もあります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。①　世界経済の動向　当社グループの製品は、日本、米国、韓国、台湾および中国を中心とする顧客メーカーに販売された後、日本、北米、欧州、東南アジアをはじめとする世界の各地で最終製品として販売されます。米中摩擦等をはじめとする地政学的リスクや世界的に影響を受ける感染症拡大とその感染予防措置等による経済環境の激変、景気の変動、それに伴う需要の拡大、縮小は、当社グループの業績および財務状況に影響を及ぼす可能性があります。②　価格競争　当社グループが取り扱う半導体製品およびIoT製品の市場は競争が激しく、かつ技術革新や顧客ニーズの変化および頻繁な新製品の参入がある点で特徴付けられます。当社グループは、激化する低価格競争や新規参入業者の増加を想定しつつ、新技術に根ざした顧客ニーズに対応できる製品の開発を行うとともに、競争力のある価格提示を行うことにより、これらの競争に対処しておりますが、これによっても対抗し難い事態が生じる場合には、業績および財務状況に影響を及ぼす可能性があります。③　製造委託および仕入　当社グループは、半導体製品およびIoT製品の製造または仕入にあたり、半導体の製造受託を専門に行うファウンドリー企業やIoT製品に使用される通信モジュール製品メーカーからの仕入れ等を行っております。当社の製品仕様に適合する商品を適時、確実に、優れたコストパフォーマンスで製造できる複数パートナーとの連携関係を維持し、半導体市場およびIoT市場の様々な業況に対しても安定的な製品供給が可能な体制を構築するよう努めておりますが、適切な製造キャパシティ、納期、コストパフォーマンス等が製造委託先または仕入先から得られない場合には、当社グループの業績に影響を及ぼす可能性があります。また、当連結会計年度において、LSI事業の製品の製造につきましては、Advanced Semiconductor Engineering, Inc.、Taiwan Semiconductor Manufacturing Company, Ltd.、Faraday Technology CorporationおよびVanguard International Semiconductor Corporationの４社への製造委託割合が76.0％、AIOT事業の製品の仕入につきましてはSIMCom Wireless Solutions Co.,Ltd.１社への仕入割合が78.0％と高い状況にあります。当社グループの製品の製造を委託しているファウンドリーまたは仕入先メーカーは複数ありますが、米国と中国における輸出規制やそれに伴う供給キャパシティの過度の逼迫その他の理由により当該企業からの製品供給が安定的に受けられない場合、当社グループの業績に影響を及ぼす可能性があります。④　特定顧客への販売割合　当社グループは、当連結会計年度において、直接販売および商社経由での販売を行いましたが、そのうち株式会社マクニカ、加賀電子株式会社および伯東株式会社の３社への売上高が全体の55.8％を占めております。現時点において当該３社向けの販売割合が高いことから、何らかの理由により当該３社を通じた製品提供が困難になった場合、当社グループの業績に影響を及ぼす可能性があります。⑤　棚卸資産　当社グループは、客先フォーキャストを考慮しつつ、月次により棚卸資産の管理を行っており、2023年12月期末における棚卸資産の総額は８億46百万円であります。棚卸資産は、新規事業の立ち上げ時、または客先フォーキャストが安定しない場合等により、増加する可能性があります。また、当社グループは、長期間の在庫等、収益性の低下により評価減もしくは廃棄を必要とすべき在庫に関して適切に会計処理を行っております。棚卸資産の評価減または廃棄が発生した場合には、当社グループの業績に影響を及ぼす可能性があります。 ⑥　研究開発プロジェクトの収益性　半導体製品に関して、当社グループは、ミックスドシグナルLSI技術に基づき、８Ｋテレビ、事務機器、アミューズメント、自動車等の情報利用技術において今後のニーズの変化に対応できる新技術と新製品の開発を行っております。このための各研究開発プロジェクトは、成長する市場が必要とする機能を想定しながら実施しておりますが、投下した研究開発費の全てを回収できるとは限らず、この場合、当社グループの収益性に影響を及ぼす可能性があります。⑦　製造物責任　当社グループは、顧客に信頼される製品の供給とブランド価値の創造に努めており、このような観点からも、品質マネジメント体制の強化を行い、厳正な品質管理を行っておりますが、全ての製品について欠陥がなく、販売先からの損害賠償請求が発生しないという保証はありません。万一損害賠償請求があった場合には、当社グループの業績に重大な影響を及ぼす可能性があります。⑧　知的財産権　当社グループは、独自に開発した技術等について、特許権その他の知的財産権を取得するなど知的財産の確保・保護に努めていますが、第三者による当社グループの知的財産の不正流用を防止できない可能性があります。また、当社グループが使用している技術やノウハウは、他社が保有する特許権等、知的財産権を侵害しないように専門の部署を組織し厳重に管理していますが、万一見解の相違等により他社から特許権侵害等で提訴された場合には当社グループの業績に重大な影響を及ぼす可能性があります。⑨　情報管理体制　当社グループは、研究開発をはじめとする事業活動に際して、情報管理が重要であり、このため、コンピューター・ウィルスの検知、ファイアウォールの構築等の外部からの侵入に対する予防策を採用するとともに、ハード面での障害時に業務への支障が生じないようデータ管理の多重化を行うと共に情報へのアクセス可能な管理者の制限を行うなど、情報管理に関するシステムと社内体制の構築を行っておりますが、これらの対策にもかかわらず情報漏洩や改ざん・消去等が生じた場合には、当社グループの業績に重大な影響を及ぼす可能性があります。⑩　経営リソース　当社グループが競争力のある事業展開により企業価値を高めていくためには、将来のキャッシュ・フローを生み出す原動力となる新技術と新製品を生み出し、事業を発展させていくことが必要であり、このような方針に適合する研究開発活動をはじめとする各業務において優秀な人材を積極的に拡充することが必要です。このため、優秀な人材の確保に注力しておりますが、仮に十分な人材の確保ができない場合や流出がある場合には、当社グループの業績に影響を及ぼす可能性があります。なお、当社は、アジア市場を核とする成長を遂げるべく、日本はもとより米国、韓国、台湾、中国の各グループ会社を中心に優れた人材を獲得していく方針です。⑪　為替レートの変動　当社グループの事業には海外における製品の販売、製造が含まれており、各地域における資産、売上、費用を含む現地通貨建ての項目は、連結財務諸表上、円換算されております。2023年12月末日において保有しているドル建ての現金及び預金は約８百万米ドルあります。当社グループでは、売上仕入ともにドル建て取引を行っており、為替変動の影響は受けづらい体制を取っておりますが、これらドル建て資産は、換算時の為替レートにより、現地通貨における価値が変わらなかったとしても、為替変動の影響により円換算後の資産価値が変動し、当社グループの業績に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　当連結会計年度における当社グループの財政状態、経営成績およびキャッシュ・フロー（以下、「経営成績」という。）の状況の概要は次のとおりであります。 ①財政状態および経営成績の状況ａ．経営成績　当連結会計年度におけるわが国の経済環境は、新型コロナウイルス感染症の分類移行に伴い社会経済活動の正常化が進み、国内景気の回復傾向が見られる一方、ウクライナ紛争の長期化や為替相場における円安進行等による原材料コストの上昇等が企業収益を悪化させ、先行きの不透明感が継続しております。　このような環境の下で、当社グループは2024年を目標年次とする中期経営戦略「5G＆Beyond-NE」を進めております。近年のコロナ禍に代表される大きな事業環境の変化に対応し、新しい成長ユースケースを定義して2022年度からの３年間を新たな中期経営戦略「5G&amp;Beyond-NE（NewEra）」として策定し、戦略５ゴールを発展させ、それらを通じて営業利益の３倍増を目指しております。　当連結会計年度の売上高は、LSI事業では、国内市場のアミューズメント機器市場向けビジネスが順調に推移した一方で、事務機器市場向けおよび中国を中心とした海外市場向けにおいて顧客の在庫調整等の影響により低調に推移し、全体として前期比25%の減少となりました。一方、AIOT事業では、前期に苦戦した通信モジュールの出荷が大幅に回復したこと等により前期比49%の大幅増加となりました。これらの結果、当連結会計年度の売上高は、50億18百万円（前期比8.0%減）となり、売上総利益は24億35百万円（前期比18.5%減）となりました。　販売費および一般管理費については、中期経営戦略「5G&amp;Beyond-NE」目標の達成に向けた戦略的な研究開発投資（11億２百万円、前期比9.1%増）を行った結果、販売費および一般管理費全体として、24億76百万円（前期比3.8%増）となりました。これらの結果、当連結会計年度の営業損失は40百万円（前期は営業利益６億１百万円）、減価償却費およびのれん償却費等を考慮しない営業利益（EBITDA※）は１億73百万円（前期比77.6%減）となりました。　また、前期末比で為替が円安に進行した影響により為替差益１億４百万円を計上する等した結果、経常利益は71百万円（前期比92.1%減）、親会社株主に帰属する当期純損失は69百万円（前期は親会社株主に帰属する当期純利益８億20百万円）となりました。 ※EBITDA（Earnings before Interest, Taxes, Depreciation and Amortization）：当社グループでは簡易的に営業利益に減価償却費、のれん償却費を加えて算出しております。 セグメント別の状況　当社グループは、LSI事業とAIOT事業を事業セグメント区分としております。　なお、セグメント間の取引を相殺消去後の金額で記載しております。（単位：百万円）  2023年12月期2022年12月期増減率（％）LSI事業売上高3,1444,199△25.1営業利益△120657－EBITDA△41697－AIOT事業売上高1,8741,257＋49.1営業利益80△56－EBITDA21478＋174.3合計売上高5,0185,456△8.0営業利益△40601－EBITDA173775△77.6 （LSI事業）　当連結会計年度のLSI事業の売上高は、第４四半期に入り若干の改善の兆しがみられたものの、顧客の在庫調整等の影響により全体として低調に推移し、前期比25%の減少となりました。　産業機器市場向けビジネスは、アミューズメント機器向け製品出荷が好調に推移し前期比27%増と増加となった一方、主に国内市場を中心としたOA機器向け製品出荷が顧客側の在庫調整等の影響により前期比30%減と低調に推移し、全体で前期比15%の減少となりました。同市場向けの売上高は、LSI事業の売上全体の83%を占めております。　車載機器市場向けビジネスは、LSI事業の売上全体の12%を占めております。EVパネル向け新製品の出荷を開始した他、米国市場向けの製品出荷は堅調に推移した一方、中国市場向け等において在庫調整等の影響により全体として前期比56%の減少となりました。　民生機器市場向けビジネスは、LSI事業の売上全体の５%を占めております。主にアジア市場向けの製品出荷が比較的堅調に推移いたしましたが、前期比42%の減少となりました。また、次世代高速インターフェース標準規格技術の開発として、当社独自技術で4K/8K等の高解像度ディスプレイ内部伝送における「事実上の世界標準」であるV-by-One®HS技術を発展させ、コストや消費電力を削減し、欧米などの環境規制に対応する、次世代高速インターフェース標準技術「V-by-One®HS plus Standard」を策定し、当連結会計年度より提供開始いたしました。　これらの結果、LSI事業全体の売上高は31億44百万円（前期比25.1%減）、売上総利益は18億31百万円（前期比28.8%減）となりました。　当連結会計年度においては、前期より継続して中期経営戦略「5G&amp;Beyond-NE」目標の達成に向けた戦略的な研究開発を積極的に実施しました。EVパネル向け高速インターフェースV-by-One®HS新製品の開発を行い当連結会計年度に量産出荷を開始いたしました。また、DXシステム向けシリアル・トランシーバ製品の開発を完了し拡販活動を開始いたしました。その他、高速データ伝送用リドライバ技術の開発、５Ｇを遥かに超える次世代高速無線通信技術の開発等を行いました。また、これらの活動により、当連結会計年度において研究開発費10億40百万円を計上しました。　これらの結果、LSI事業の当連結会計年度における営業損失は１億20百万円（前期は営業利益６億57百万円）、EBITDAはマイナス41百万円（前期はプラス６億97百万円）となりました。 （AIOT事業）　当連結会計年度のAIOT事業の売上高は、ドライブレコーダ、自動販売機・エレベータ等の遠隔監視、自動体外式除細動器（AED）等向けの顧客出荷が順調に推移し、新型コロナウイルス感染症や中国上海地区のロックダウンの影響等により大きく落ち込んだ昨年度から大きく成長し、前期比49%の大幅増加となりました。これらの結果、AIOT事業の売上高は18億74百万円（前期比49.1%増）、売上総利益は６億４百万円（前期比44.8%増）となりました。　当連結会計年度においては、AI・IoTを活用する新ニーズの拡大や第５世代移動通信（５Ｇ）による新しいアプリケーション市場の拡大を見据えたAI・IoTソリューションの開発に取り組み、エッジAI処理用モジュール製品の開発、通信型ドライブレコーダの開発、音声通話機能付きゲートウェイ新製品の開発、スマートIoTルーターの開発等を行い、全体として研究開発費61百万円を計上いたしました。また、同事業のM&amp;A取得に伴うのれんの償却額として１億30百万円等を計上しました。　これらの結果、AIOT事業の当連結会計年度における営業利益は80百万円（前期は営業損失56百万円）、EBITDAは２億14百万円（前期EBITDAは78百万円）となりました。2018年に取得いたしました同事業をのれん償却の最終年度において、のれん償却後での黒字化を達成いたしました。 ※「V-by-One」はザインエレクトロニクス株式会社の登録商標です。 ｂ．財政状態　当連結会計年度における資産合計は、現金及び預金が増加した一方、売掛金および棚卸資産の減少並びにのれんの償却等により、前連結会計年度末と比較して４億19百万円の減少となりました。また、負債合計は、未払法人税等の減少等により１億25百万円の減少となりました。純資産合計は、親会社株主に帰属する当期純損失の計上、配当金の支払いおよび自己株式の取得等により２億93百万円の減少となりました。　これらの結果、当連結会計年度末における自己資本比率は、89.9%となりました。 ②キャッシュ・フローの状況　当連結会計年度における営業活動によるキャッシュ・フローにつきましては、税金等調整前当期純利益を73百万円計上したことに加え、売上債権が１億31百万円減少したことおよび棚卸資産が２億３百万円減少した一方、法人税等を１億14百万円支払ったこと等により、４億２百万円のプラスとなりました。（前期は１億91百万円のマイナス）　投資活動によるキャッシュ・フローにつきましては、固定資産の取得による支出および投資有価証券の取得等により１億48百万円のマイナスとなりました。（前期は４億23百万円のマイナス）　財務活動によるキャッシュ・フローにつきましては、配当金の支払いおよび自己株式の取得等により２億85百万円のマイナスとなりました。（前期は１億円のマイナス）　これらの結果により、現金及び現金同等物は現金及び現金同等物に係る換算差額を加味した全体として75百万円増加し、当連結会計年度末残高は73億77百万円となりました。当社グループとしては、機動的な研究開発リソースの確保やM&amp;Aの機会に迅速に対応できるよう内部留保を厚くする方針であり、資金運用に関しても流動性を重視した運用を行うこととしております。 ③生産、受注および販売の実績a.生産実績当連結会計年度の生産実績は、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日　　至　2023年12月31日）前期比（％）LSI事業（千円）1,018,39369.9AIOT事業（千円）－－合計1,018,39369.9　（注）金額は、製造原価によっております。 b.商品仕入実績　　当連結会計年度の商品仕入実績は、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日　　至　2023年12月31日）前期比（％）LSI事業（千円）220,92345.5AIOT事業（千円）1,297,776164.2合計1,518,699119.1　（注）金額は、仕入価格によっております。 c.受注実績　当社グループは、一部、受注生産を行っておりますが、基本的には販売先から入手するフォーキャストに基づく見込生産を行っておりますので、記載を省略しております。 d.販売実績　　当連結会計年度の販売実績は、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日　　至　2023年12月31日）前期比（％）LSI事業（千円）3,144,71474.9AIOT事業（千円）1,874,033149.1合計5,018,74892.0　（注）１　セグメント間の取引については相殺消去しております。　　　　２　主な相手先別の販売実績および当該販売実績の総販売実績に対する割合は、次のとおりであります。相手先前連結会計年度当連結会計年度金額（千円）割合（％）金額（千円）割合（％） 株式会社マクニカ1,665,89130.51,120,56722.3 加賀電子株式会社890,30516.3914,81718.2 伯東株式会社－－767,18715.3　（注）前連結会計年度の伯東株式会社の販売実績および総販売実績に対する割合は、当該割合が100分の10未満ですので、記載を省略しております。 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識および分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①重要な会計方針および会計上の見積りと当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。その作成には、経営者による資産・負債および収益・費用の報告金額および開示に影響を与える見積りを実施しております。経営者はこれらの見積りについて、過去の実績等を勘案し、合理的に判断しておりますが、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。　当社グループの連結財務諸表を作成するにあたり重要となる会計方針および会計上の見積りと当該見積りに用いた仮定については、「第５　経理の状況　１　連結財務諸表等　(１)連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）および注記事項（重要な会計上の見積り）」に記載されているとおりであります。 ②当連結会計年度の経営成績等の状況に関する認識および分析・検討内容a.経営成績等に関する分析イ.経営成績　当該事項につきましては、本報告書の「第２　事業の状況　３.経営者による財政状態、経営成績およびキャッシュ・フローの状況の分析　（１）経営成績等の状況の概要　①財政状態及び経営成績の状況　ａ.経営成績」に記載のとおりであります。 ロ.財政状態　当該事項につきましては、本報告書の「第２　事業の状況　３.経営者による財政状態、経営成績およびキャッシュ・フローの状況の分析　（１）経営成績等の状況の概要　①財政状態及び経営成績の状況　ｂ.財政状態」に記載のとおりであります。 ハ.キャッシュ・フローの状況　当該事項につきましては、本報告書の「第２　事業の状況　３.経営者による財政状態、経営成績およびキャッシュ・フローの状況の分析　（１）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 ③資本の財源及び資金の流動性についての分析　当社グループは半導体業界の常に新しい技術が創出され技術の陳腐化の早い環境下にあり、この環境の変化に対応するため、機動的な研究開発リソースの確保やM&amp;Aの機会に迅速に対応できるよう内部留保を厚くし、資金の流動性を高く維持する方針としております。  
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。
研究開発活動	６【研究開発活動】　当社グループにおける研究開発活動は、LSI事業およびAIOT事業にて行っております。重要な研究開発成果については特許等知的財産権の取得を図っております。当連結会計年度における研究開発費の金額は1,102百万円であります。 （１）LSI事業　LSI事業においては、高速インターフェース技術、ドライバ技術、画像処理技術、アナログ・デジタル変換（ADC）技術、電源モジュール技術などの分野に的を絞ったミックスドシグナルLSIの開発および次世代製品のための要素技術開発を行っております。　当連結会計年度における研究開発費の金額は1,040百万円で、車載カメラおよびディスプレイ、医療用カメラ、認証用カメラ等のニーズに対応するための当社独自のV-by-One®HS技術を搭載した新製品の開発や、同技術を活用した画像処理ソリューションの開発、複数信号を束ねてケーブル本数の抜本削減を可能とする高速トランシーバ新製品の開発、高速データ伝送用リドライバ技術の開発を行いました。　また、2019年度より実施している国立研究機関および大学との５Ｇを遥かに超える次世代高速無線通信技術に関する共同開発へも継続して参加いたしました。 （２）AIOT事業　AIOT事業においては、世界大手水準の通信モジュール技術を活用したIoT/M2M機器および様々なIoTソリューションの開発を行っております。　当連結会計年度における研究開発費の金額は61百万円で、AI・IoTを活用する新ニーズの拡大および第５世代移動通信（５Ｇ）による新しいアプリケーション市場の拡大を見据えたソリューションの開発に取り組み、エッジＡＩ処理用モジュール製品開発、スマートケアリンク端末、LTEモジュール内蔵セルラー無線LANルーターの開発、音声通話機能付きゲートウェイ新製品の開発を行いました。 ※「V-by-One」は当社の登録商標です。その他の本文中における製品名等は、それぞれの所有者の商標あるいは登録商標です。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度において重要な設備投資はありません。　また、当連結会計年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２【主要な設備の状況】(1）提出会社（2023年12月31日現在） 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物工具器具備品土地（面積㎡）合計本社（東京都千代田区）LSI事業AIOT事業全社（共通）事業所32,837148,211－181,04988保養所施設（栃木県塩谷郡藤原町)全社（共通）リゾート会員権持分2,432－255(４)2,688－保養所施設（千葉県勝浦市）全社（共通）リゾート会員権持分2,649－3,020(38)5,669－合計37,920148,2113,275(42)189,40788　（注）１　事業所は賃借しております。２　土地の面積は共有部分の当社持分であります。３　本社の工具器具備品には、生産委託先（国内）で使用している固定資産（帳簿価額114,838千円）が含まれております。 (2）国内子会社（2023年12月31日現在） 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物車両運搬具工具器具備品合計キャセイ・トライテック株式会社本社（神奈川県横浜市港北区）AIOT事業事業所147,3496798,04422合計147,3496798,04422　（注）事業所は賃借しております。 (3）在外子会社（2023年12月31日現在） 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物車両運搬具工具器具備品合計哉英電子股份有限公司本社（台湾台北市）LSI事業事業所6,1791,959268,1644ザインエレクトロニクスコリア株式会社本社（韓国ソウル特別市）LSI事業事業所0－233前海賽恩電子（深圳）有限公司本社（中国広東省深圳市）LSI事業事業所－－3,1403,1406THine Solutions, Inc.本社（米国 カリフォルニア州）LSI事業事業所513691－1,2054深圳泰晨通訊科技有限公司本社（中国広東省深圳市）AIOT事業事業所－－2,3222,3226合計6,6932,6515,49214,83723　（注）　事業所は賃借しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式48,800,000計48,800,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年12月31日）提出日現在発行数（株）（2024年３月27日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式12,340,10012,340,100東京証券取引所スタンダード市場単元株式数100株計12,340,10012,340,100――　（注）　提出日現在の発行数には、2024年３月１日からこの有価証券報告書提出日までの新株予約権の権利行使により発行された株式数は、含まれておりません。 
