項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社（リオン株式会社）及び主たる子会社６社で構成され、微粒子計測器、医療機器及び環境機器の開発、製造、販売並びにサービスを事業内容としております。なお、微粒子計測器事業の伸長に鑑み、当連結会計年度より報告セグメントの記載順序を変更しております。 当社グループ各社の主な事業に係わる位置づけ及びセグメントとの関連は次のとおりであります。セグメントの名称主要製品主な関係会社微粒子計測器事業[微粒子計測器]   液中微粒子計、　 気中微粒子計等 当社　(開発・製造・販売)九州リオン㈱　(販売)リオンサービスセンター㈱　(サービス)リオンテクノ㈱　(製造)医療機器事業[補聴器] 　補聴器、　 難聴者訓練用機器等[医用検査機器]   オージオメータ、　 聴力検査室等当社　(開発・製造・販売)九州リオン㈱　(製造・販売)東日本リオン㈱　(販売)リオンサービスセンター㈱　(サービス)リオンテクノ㈱　(製造・サービス)東海リオン㈱　(販売)環境機器事業[音響・振動計測器]   騒音計、振動計、   地震計、周波数分析器等当社　(開発・製造・販売)九州リオン㈱　(販売)リオンサービスセンター㈱　(サービス)リオンテクノ㈱　(製造)Norsonic AS　(開発・製造・販売・サービス)  事業の系統図(概要)は、次のとおりであります。 　(注)　得意先には、その他の関連会社が含まれております。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】(1) 企業理念当社は「すべての行動を通して 人へ 社会へ 世界へ貢献する」との企業理念を掲げており、人々の健康・福祉に貢献し、質の高い充実した生活の実現に寄与することを、社会的使命と位置付けております。上記理念の実現のために、当社グループは長年培われた技術力を駆使し、福祉の充実、環境保全に係わる課題に正面から取り組み、広く社会に貢献する企業グループを目指して邁進してまいりました。当社グループがさらに将来に向かって躍進するためには、研究開発型企業として技術力を一層高めることが重要であり、そのためには基礎科学の高揚と応用科学の実践を推進する上で、経営基盤の更なる拡充を図ることが必要となります。 (2) 経営方針当社グループは、既存事業のさらなる成長はもちろんのこと、経営資源の有効活用を図り、あらゆるイノベーションによって新たなビジネスモデルを創出することを中期的な経営方針としております。その実現のため、「売上高300億円」「売上高営業利益率15％」及び「自己資本当期純利益率（ＲＯＥ）10％」を2028年３月期までに達成すべき経営指標として掲げて取り組んでまいります。 (3) 経営環境当社グループの事業の最大の特徴は、主要製品のすべてが国内市場において高いシェアを確保していることであります。これは、他社が手がけていない独自の事業を切り開き、市場に展開してきたためであり、それぞれの分野において事業の開始以来、多くの先進的な製品を市場に投入し続けてまいりました。また、近年では欧米や東南アジアを中心とした海外市場への進出を進めており、国内で培った技術力や良質なサービスは、海外においても高い評価を得ております。しかしながら、当社グループの事業においても国内外に競合他社が複数存在しており、販売面並びに技術面等での競争が激化する状況にあります。　(4) 対処すべき課題当社グループが更なる業容の拡大を図るためには、海外において販路の拡大に取り組むことが当面の課題であります。当社グループが培ってきた日本型ビジネスモデルを輸出するべく、相手国の状況に合わせた取り組みを進めてまいります。また、製品の競争力を高めるために、基本性能の向上のみならず付加機能の拡充にも取り組みます。より高い顧客満足度を実現することにより、当社グループの持続的な発展と企業価値の向上に努めてまいります。 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。　(1) 他社との競合について補聴器の業界においては、海外の大手メーカーが複数存在しており、高齢化社会を迎えたわが国でも、それらの競合他社の参入により販売競争が激化しております。また、微粒子計測器、医用検査機器及び音響・振動計測器においても、当社製品の主要供給先である国内外の市場において、競合他社との激しい販売競争下におかれております。今後もこれらの販売競争は継続することが予想され、価格の下落による売上高の減少や利益率の低下等により、当社グループの業績に影響を及ぼす可能性があります。これらの影響につきまして海外セグメントと国内セグメントを比較いたしますと、海外においてリスクの顕在化の可能性はより高くなりますが、国内におきましては、当社の知名度、技術力、業界への影響力などにより比較的競争力が高いことから、リスクが顕在化する可能性はより低く、安定的に推移するものと認識しております。　(2) 海外展開について当社グループは、更なる業容拡大に向けて海外市場の開拓を進めており、当連結会計年度における売上高のうち、海外セグメントの割合は25％程度となっております。当社製品の輸出先には、政治・経済的に不安定な諸国も含まれるため、それらの国々において為替変動を含む経済的な変化や、テロ及び戦争等による社会的混乱が発生した場合には、当社グループの業績に影響を及ぼす可能性があります。　(3) 研究開発について当社グループの製造する製品群における技術革新は著しく、お客様のニーズに沿った新製品を市場に供給し続けるためには、多岐にわたる充分な研究開発活動が不可欠となります。当社では、研究開発センターを中心として将来を見据えた研究開発に取り組んでいるほか、各事業部において新製品の開発活動を積極的に行っております。しかし、急激な技術革新により市場のニーズが大きく変化し、当社製品の市場価値が低下した場合には、メーカーとしての優位性が損なわれる事態を想定する必要があります。モノからコトへの流れの中で当社は、全社的活動として市場ニーズの掘り起こしを進め、新たなビジネスモデルを検討してまいります。　(4) 知的財産権について当社グループは、研究開発活動の成果として多数の知的財産権を保有しております。それらの知的財産権については、厳しく管理しており、第三者からの侵害にも注意を払っておりますが、不正使用などが行われた場合には、本来得られるべき利益が失われる可能性があるため、模造品の氾濫などの事態に対しては毅然とした法的処置を取ることにより被害を最小限に食い止めることとしております。また、当社グループが第三者の知的財産権を侵害することのないように細心の注意を怠らぬよう努めておりますが、仮に訴訟を提起された場合には、裁判費用、弁護士費用の発生による経費の増加が懸念されること、また万が一、司法判断により売上補填等の損害賠償を求められた場合には、多額の損失が発生する可能性があります。 (5) 製品の品質について当社グループでは、当社で定めた品質管理基準に基づいた品質管理を行っており、安全かつ安心いただける製品の供給に努めておりますが、自主回収を要するような製品の不具合が生じた場合や当該不具合により第三者に損害を与えた場合には、損害賠償請求等により当社グループの業績に影響を及ぼす可能性があります。しかしながら、当社が生産する製品の種類は多く、一製品ごとの生産量は限られるため、不具合による回収が発生した場合における経費の増加は限定的であると考えられます。一方で、製品の使用時における人的被害が起きた場合には、誠意をもって対応するものの、被害の状況によっては多額の賠償金が発生する恐れがあります。　(6) 法的規制について当社グループが製造販売している製品の中には、法令の規制を受ける製品が多数あり、それらの製品の製造販売にあたっては業許可や届出のほか、製品ごとの認証等が必要となります。当該法令に係る違反行為等に対しては業許可の停止又は取消しの行政処分が課せられる場合があるほか、今後、これらの規制が変更された場合には、当社グループの業績に影響を及ぼす可能性があります。しかしながら、許認可の要件や法的環境につきましては、当社品質部門において日常的な監視を続けており、これらのリスクによって実際に当社グループの業績に影響が及ぶ恐れは非常に小さいものと認識しております。   (7) 投融資について当社グループでは、今後も事業拡大のために国内外を問わず出資、子会社設立、合弁事業の展開、アライアンス、Ｍ＆Ａ等の投融資を実施する場合があります。投融資については、リスク及び回収可能性を十分に事前評価し決定しておりますが、投融資先の事業の状況が当社グループに与える影響を確実に予想することが困難な場合もあり、投融資額を回収できなかった場合や減損の対象となる事象が発生した場合には、当社グループの業績及び財政状態に影響を与える可能性があります。 (8) 自然災害について当社グループは、生産及び販売の拠点となる事業所を国内外に配置しております。それぞれの施設において災害対策を適宜講じておりますが、それらの施設がある地域において、地震、津波、台風、大雨、洪水、大雪、疫病の流行等の大規模な自然災害が発生した場合には、事業活動に支障が生じ、当社グループの業績に影響を及ぼす可能性があります。当社では緊急事態におけるＢＣＰを策定し、事業活動の停滞を最小限に食い止める施策を講じておりますが、災害の程度に応じ最悪の場合は事業の停止を余儀なくされる恐れがあります。　(9) 大株主について当社の筆頭株主である一般財団法人小林理学研究所につきましては、旧来より当社の設立母体として、また当社事業に関連の深い音響物理学を中心とする基礎研究分野に係る共同研究先として継続的に複数の研究委託を行っており、当社設立以来の長きに亘り友好的な関係を続けております。しかしながら、将来において当該財団の運営状況等の変化によって当社株式の保有に係る方針が変更された場合には、当社の経営環境に影響を及ぼす可能性があります。　
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1) 経営成績当連結会計年度におけるわが国の経済は、ロシア・ウクライナ情勢の長期化による資源価格の高騰が継続していることや、中東情勢の緊迫化、不安定な為替相場の動向等により先行きは依然として不透明な状況が続く一方で、新型コロナウイルス感染症の影響が緩和されたことで社会・経済活動の平常化が進みました。このような中、当社グループの業績につきましては、微粒子計測器事業、医療機器事業の販売が好調に推移したほか、環境機器事業において2022年11月に買収したNorsonic社の業績が貢献したことにより、売上高・営業利益・経常利益・親会社株主に帰属する当期純利益は、いずれも過去最高を更新しました。親会社株主に帰属する当期純利益については、ソフトウエアの減損損失や建屋の解体費用など多額の特別損失を計上していた前連結会計年度と比べて増益幅が拡大しております。 ［微粒子計測器事業］半導体関連市場において、地政学リスクに対応した世界各地での半導体製造工場の新設や増強が進められていることなどにより、それらの工場で使用される微粒子計の需要が継続して高い状況にあることから、液中微粒子計や気中微粒子計の販売が好調に推移しました。加えて、高い製品需要に対応するために設備等を増強し生産効率を向上させることができたため、売上高・営業利益ともに過去最高を更新しました。［医療機器事業］補聴器では、オーダーメイド補聴器の新製品「リオネット２」を中心とした高付加価値製品の販売が貢献したほか、社会活動の回復により来店客数が好調に推移したことで増収となりました。医用検査機器では、顧客である耳鼻咽喉科などの医療機関において設備投資が回復傾向にあり、オージオメータや聴力検査室などの販売が好調に推移したことなどにより前連結会計年度の売上高を上回り、医療機器事業全体では増収増益となりました。[環境機器事業]国内市場は官公庁をはじめとした顧客において、物価高騰等の影響に伴い設備投資を控える姿勢が見られたことなどにより低調に推移しました。一方で、海外市場は騒音計の新製品の販売が堅調に推移したほか、Norsonic社の業績が貢献したこともあり、前連結会計年度と比べて増収となりました。なお、利益面においては新製品の発売に伴う費用が発生したことなどにより減益となりました。 以上の結果、売上高は前連結会計年度と比べて1,858百万円増、営業利益は630百万円増、経常利益は555百万円増となりました。  当連結会計年度の業績を前連結会計年度と比較しますと、次のとおりとなります。     (金額単位：百万円)   前連結会計年度(自　2022年４月１日  至　2023年３月31日)当連結会計年度(自　2023年４月１日  至　2024年３月31日)増減増減率 (％)  売上高23,86825,7261,8587.8   微粒子計測器事業6,6197,55994014.2   医療機器事業12,17512,7495744.7   環境機器事業5,0735,4173436.8  営業利益2,8443,47463022.2   微粒子計測器事業1,5382,06252434.1   医療機器事業1,0051,30830230.0   環境機器事業299104△195△65.2  経常利益3,0073,56255518.5  親会社株主に帰属する 当期純利益1,7992,65285247.4  当社グループでは「売上高300億円」「売上高営業利益率15％」及び「自己資本当期純利益率（ＲＯＥ）10％」を2028年３月期までに達成すべき経営指標として取り組んでおります。当連結会計年度につきましては、売上高257億円、売上高営業利益率13.5％、自己資本当期純利益率9.5％となり、いずれも目標を達成できておりません。これらの達成に向けた施策として、微粒子計測器事業では、さらに設備等を増強し生産力を向上させることにより、半導体関連市場を中心に高まる製品需要に応えていくほか、半導体の微細化に伴う最先端機種へのニーズに対応してまいります。医療機器事業では、補聴器において、耳鼻科との連携をより強化して難聴の方へ当社製品を広く周知していくことに加えて、新製品投入によりラインナップを充実させることで売上高の拡大を図るほか、医用検査機器においては、国内市場における耳鼻科を中心とした医療機関の設備投資需要を着実に販売へつなげてまいります。環境機器事業では、新製品を市場へ投入し拡販に努めるほか、アジアや欧州等の海外市場における販売の強化を図ってまいります。 なお、経営成績に重要な影響を与える要因につきましては、「第一部　企業情報　第２　事業の状況　１　経営方針、経営環境及び対処すべき課題等　及び　３　事業等のリスク」に記載のとおりであります。  (2) 生産、受注及び販売の実績①　生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称金額(千円)前期比(％) 微粒子計測器事業6,721,278＋22.4 医療機器事業9,424,822△3.3 環境機器事業3,872,894＋13.6 合計20,018,995＋7.4 (注) 金額は販売価格によっております。 ②　受注実績当社グループは見込み生産を行っているため、該当事項はありません。 ③　販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称金額(千円)前期比(％) 微粒子計測器事業7,559,754＋14.2 医療機器事業12,749,822＋4.7 環境機器事業5,417,419＋6.8 合計25,726,997＋7.8 (注) 販売実績に対し10％以上に該当する販売先はありません。 (3) 財政状態（資産）資産の部は、前連結会計年度末に比べて2,583百万円増加し、37,140百万円となりました。これは主に現金及び預金の減少346百万円があった一方で、棚卸資産の増加774百万円、建物及び構築物の増加1,913百万円があったことによるものであります。（負債）負債の部は、前連結会計年度末に比べて15百万円減少し、7,929百万円となりました。これは主に未払法人税等の増加130百万円、未払消費税等の増加160百万円、賞与引当金の増加108百万円があった一方で、退職給付に係る負債の減少595百万円があったことによるものであります。（純資産）純資産の部は、前連結会計年度末に比べて2,599百万円増加し、29,211百万円となりました。これは主に利益剰余金の増加2,098百万円によるものであります。  (4) キャッシュ・フロー①　資本の財源及び資金の流動性当社グループは、従来から営業活動により多くのキャッシュ・フローを得ております。なお、現在及び将来にわたって必要な営業活動及び債務の返済などの財源は、自己資金のほか金融機関からの資金調達によることとしております。これら営業活動及び財務活動により調達した資金については、事業運営上必要な流動性を確保することに努め、機動的かつ効率的に使用することで金融負債の極小化を図っております。 ②　キャッシュ・フローの状況当連結会計年度のキャッシュ・フローを前連結会計年度と比較しますと、次のとおりとなります。    (単位：百万円) 区分前連結会計年度(自　2022年４月１日  至　2023年３月31日)当連結会計年度(自　2023年４月１日  至　2024年３月31日)増減 営業活動によるキャッシュ・フロー1,7832,8571,073 投資活動によるキャッシュ・フロー△3,246△2,652593 財務活動によるキャッシュ・フロー△577△56511 現金及び現金同等物の期末残高5,2064,860△346  当連結会計年度末における現金及び現金同等物（以下、「資金」という。）は、前連結会計年度末に比べて346百万円減少し、4,860百万円となりました。（営業活動によるキャッシュ・フロー）営業活動の結果得られた資金は、前連結会計年度に比べて1,073百万円増加し、2,857百万円となりました。これは主に税金等調整前当期純利益3,517百万円を計上したためであります。（投資活動によるキャッシュ・フロー）投資活動の結果使用した資金は、前連結会計年度に比べて593百万円減少し、2,652百万円となりました。これは主に有形固定資産の取得として2,131百万円、無形固定資産の取得として559百万円を支出したためであります。（財務活動によるキャッシュ・フロー）財務活動の結果使用した資金は、前連結会計年度に比べて11百万円減少し、565百万円となりました。これは主に配当金として553百万円を支出したためであります。　(5) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項　（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】当社グループが締結している重要な契約の概要は次のとおりであります。契約会社名契約会社名契約品目契約内容契約期間リオン株式会社一般財団法人小林理学研究所音響、振動、聴覚に関する基礎研究委託研究自　2023年４月１日至　2024年３月31日 　
研究開発活動	６ 【研究開発活動】当社グループにおける研究開発活動は、当社が主体となり、微粒子計測器事業、医療機器事業及び環境機器事業の各分野において、顧客満足度の向上を図り、常に信頼され続ける製品の開発を目指して研究開発を行っております。その中で、環境機器事業においてはNorsonic社と連携し、製品やサービスの開発を行っております。なお、当連結会計年度の研究開発費の総額は2,239百万円であります。微粒子計測器事業では、測定できる粒径区分を６段階に増やすなどの機能拡充とシンプルな操作画面で使いやすさを向上させたハンドヘルドパーティクルカウンタ「ＫＣ－５２Ａ」を開発し、2023年11月に発売しました。微粒子計測器事業における研究開発費は439百万円であります。医療機器事業では、最新のデジタル信号処理とAI（人工知能）を組み合わせた騒音抑制機能や、会話音声への影響が少ない衝撃音低減機能を搭載した充電式耳あな型オーダーメイド補聴器「リオネット２」を開発し、2023年８月に発売したほか、補聴器による聞こえの改善度を計測する補聴効果測定装置「ＨＦ－０６」を開発し、2024年１月に発売しました。医療機器事業における研究開発費は949百万円であります。環境機器事業では、作業者の負担にならないように小型かつ軽量で、個人ばく露測定が可能な騒音ばく露計「ＮＢ－１４」を開発し、2024年２月に発売したほか、計量法、JIS、IEC規格に適合する騒音計で107dBの広い直線動作全範囲を有し、30dBから137dBの騒音レベルをレンジ切り替えすることなく測定可能な普通騒音計「ＮＬ－２８」を開発し、2024年３月に発売しました。環境機器事業における研究開発費は850百万円であります。
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度におきましては2,760百万円の設備投資を行いました。主なものは厚生棟の新設工事による投資1,539百万円、各事業の新製品に搭載するソフトウエア開発に係る投資303百万円であります。なお、有形固定資産のほか、無形固定資産への投資を含めて記載しております。セグメントごとの内訳は次のとおりであります。セグメントの名称金額(千円)微粒子計測器事業804,376医療機器事業1,172,188環境機器事業545,035全社資産238,478合計2,760,078  
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計本社(東京都国分寺市)微粒子計測器事業医療機器事業環境機器事業本社機能生産設備3,191,449248,6175,197,872(19,127)2,480,20511,118,145456八王子工場(東京都八王子市)微粒子計測器事業医療機器事業環境機器事業生産設備サービス業務197,74065,773560,570(3,568)31,884855,968― (注)１　帳簿価額のうち「その他」は、工具、器具及び備品、無形固定資産等であります。２　八王子工場の設備はすべてリオンサービスセンター㈱及びリオンテクノ㈱に貸与しております。 (2) 国内子会社2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計九州リオン㈱本社(福岡市博多区)微粒子計測器事業医療機器事業環境機器事業販売業務生産設備259,8797,60953,808(326)71,961393,259146リオンサービスセンター㈱本社(東京都八王子市)微粒子計測器事業医療機器事業環境機器事業サービス業務30,0034,01626,970(260)71,280132,27175 (注)１　事業所名には主要な所在地を記載しております。２　帳簿価額のうち「その他」は、工具、器具及び備品、無形固定資産等であります。 
株式の総数	① 【株式の総数】種類発行可能株式総数(株)普通株式32,000,000計32,000,000  
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月25日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式12,327,90012,327,900東京証券取引所プライム市場単元株式数は100株であります。計12,327,90012,327,900―― 　（注）発行済株式のうち33,500株は、譲渡制限付株式報酬として、金銭報酬債権75,385千円を出資の目的とする　　　  現物出資により発行したものであります。 
