項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び子会社６社で構成され、計測機器の製造販売を主な内容とし、更に当事業に関連する研究開発及びその他のサービス等の事業活動を展開しております。当社グループ各社の事業に係わる位置づけ、及びセグメントとの関連は、次のとおりであります。なお、下記区分は、報告セグメントと同一の区分であります。セグメントの名称事業内容主な関係会社報告セグメント計測機器各種センサ類、回転・速度計測機器、寸法・変位計測機器、音響・振動計測機器、トルク計測機器、自動車性能計測機器、ソフトウエア及びこれらのアッセンブルによるデータ解析機器等の製造販売当社（研究開発・製造・販売）オノソッキテクノロジーインク（米国）（販売）オノソッキ（タイランド）（タイ王国）（販売）オノソッキインディア（インド共和国）（販売）上海小野測器測量技術有限公司（中華人民共和国）（販売）特注試験装置及びサービス研究開発用途や品質管理用途の特注試験装置の提供、音響・振動に関するコンサルティングサービス及びクラウドサービス、当社製品のアフターサービス、エンジニアリングサービス当社（研究開発・製造・販売・サービス）オノソッキテクノロジーインク（米国）（製造・販売・サービス）オノソッキ（タイランド）（タイ王国）（販売・サービス）オノソッキインディア（インド共和国）（販売・サービス）上海小野測器測量技術有限公司（中華人民共和国）（販売・サービス）㈱Ｓｏｕｎｄ Ｏｎｅ(販売・サービス)その他損害保険代理業務及び当社が所有する土地・建物・設備の管理業務、その他当社からの委託業務等オノエンタープライズ㈱（サービス） 　事業の系統図は、次のとおりであります。 (注) 子会社はすべて連結しております。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1) 会社の経営の基本方針当社グループは、お客様が社会課題を解決するための価値ある商品を提供できるよう、計測・解析・制御ツールを通し、社会に貢献することを使命としております。また、当社は、2024年１月20日に創立70周年を迎えました。これを機に、『100年企業』への成長に向け、企業の根幹となる企業理念の再言語化を行いました。 　新しい企業理念　　　創業の精神 　　　　　　誰もやらないから、挑戦する価値がある 　　　MISSION（私たちの使命） 　　　　　未知を拓き、未来を創る　　　　VISION（私たちの目指す姿） 　　　　　人とテクノロジーのより良い関係を支え 　　　　　サステナブルな社会の実現を加速させる 　　　VALUE（私たちが提供する価値） 　　　　　はかる・わかる・つながる　 　　 SPIRIT（私たちが共有する想い）　　　 　　自分の言葉で語り、意志を持ち、挑戦を楽しむ 　　　　　対話を大切に、仲間を尊重し、最善を追及する 　　　　　社会を意識した、価値づくりにこだわる 　　　　　誠実に・前向きに、明日への一歩を積み重ねる  新しい企業理念のもと、事業活動における安全・品質・環境・人権などへの対応に真摯に取り組むことにより、当社の事業基盤を強化し、中長期的な企業価値の向上と持続的な成長の実現を目指してまいります。 (2) 目標とする経営指標当社グループの経営課題は、いかなる状況においても利益を確保できる体質に改善していくということであります。そのために、中期的には「売上高営業利益率15％以上」、「フリー・キャッシュ・フローを改善し、財務体質を強化」を目標とし、ROEにつきましても８％以上となることを目指します。なお、2022年から2024年までの中期経営計画「Challenge StageⅢ」では、現状の業績水準から、以下の経営目標を掲げております。連結売上高連結営業利益ROE海外売上高比率140億円10億円５％以上27％  (3) 中長期的な会社の経営戦略当社グループでは、 長期経営戦略・ モノ→コト→モノの循環による顧客価値創出 を掲げております。デジタル化、モジュール化、及び技術のコモディティ化がグローバルで進行するなか、これまでの機能、性能、品質といった「製品（モノ）の機能的価値」の追求から、体験や主観的価値、またはソリューションをはじめとした「サービス（コト）による付加価値」への転換が図られております。こうした「モノからコト」への流れに加え、お客様との共創のなかで得た知見を、再び技術や製品へフィードバックすることで、更なる顧客価値の創出を行います。　また、これらの実現へ向けた取り組みとして、2022年から2024年までの中期経営計画「Challenge StageⅢ」におきまして、以下の方針、テーマを掲げ、推進してまいります。  　基本方針：事業再生（Reborn）　　テーマ① 成長戦略　「環境」「社会的課題の解決」を通した成長の実現　　テーマ② 業績伸長　アジア地域を中心とした海外市場の強化による収益の拡大　　テーマ③ 構造改革　DXとオープンイノベーションの推進による改革の実現　(4) 経営環境及び優先的に対処すべき事業上及び財務上の課題政府の方針である「2050年カーボンニュートラルの実現」に向けて、あらゆる産業分野での取り組みが加速しております。当社の主要顧客である自動車業界においては、自動車の電動化の進展とともに、エネルギー源の多様化、デジタル開発の加速、従来の枠を超えた事業再編等、大きな変化の中にあり、当社グループの新しい企業理念は、これらの変化に対応しようとするものです。2024年は中期経営計画「Challenge StageⅢ」の最終年となります。事業再生を掲げ、その成果としての業績目標（連結売上高140億円、連結営業利益10億円）の達成に向けては道半ばでありますが、新規事業の創出や構造改革などは進みつつあります。成長戦略としましては、「環境」「社会的課題の解決」を通した成長の実現を目指しております。業績伸長への取り組みとしましては、アジア地域を中心とした海外市場の強化による収益の拡大を図っております。構造改革への取り組みとしましては、DXとオープンイノベーションの推進による改革の実現を推進しております。また、資本コストや株価を意識した経営の実現に向け、PBRとROEの相関性に注目して検証した結果、PBR１倍以上を達成するにはROE８％以上を継続する必要があるものと分析しました。そして、当社にとっての課題は、トップラインが低いことから十分な利益額が獲得できていないことと認識しております。当社では、経営目標として掲げるべき収益性をROE８％と設定しましたが、事業再生期と位置付けた「Challenge StageⅢ」においてはROE５％への復帰を目標としております。その実現に向けた活動テーマは、収益を獲得するためのトップラインの向上と、人的資本、知的資本等も含めた投下資本の効率性を高めることを目指したものとなっております。今後も引き続き、中期経営計画「Challenge StageⅢ」を推進するとともに、2024年５月の現本社の土地、建物の売却により得られる資金を投入し、中長期的な成長の実現を目指してまいります。 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の経営成績、財政状態、及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。また、当社グループにおきましては、これらのリスクに関しまして、社内にリスク管理委員会を設置し、影響度と発生可能性の２軸で評価し高リスクのものについてはリスクを低減する対応を行い、リスクに応じて監視する仕組みを整える等適切に管理をしております。なお、文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであり、これらに限定されるわけではありません。 　主要なリスクとして挙げた各リスク項目のマトリックス上の位置大　↑　影響度　↓　小３ (8)情報セキュリティ上のリスク(11)人財確保に関するリスク ２(9)自然災害及び感染症蔓延のリスク(10)気候変動に関するリスク(1)設備投資動向によるリスク(2)資産の保有リスク(3)設備の老朽化(4)繰延税金資産や減損処理の影響(6)海外展開(7)原材料の動向によるリスク１(5)重要な訴訟等    １２３ 低　←　発生可能性　→　高  (1) 設備投資動向によるリスク[影響度：２　発生可能性：２]当社グループは、自動車業界関連、電機・電子業界関連が主要なユーザであります。当社グループの業績は、これらの業界の研究開発投資動向並びに生産動向に影響を受けております。将来におきましても、特定業界からの需要の落ち込みにより当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (2) 資産の保有リスク[影響度：２　発生可能性：２]有価証券等の金融資産を保有しており、定期的に時価や取引先企業の財務状況をモニタリングしておりますが、時価の変動等により当社グループの経営成績及び財政状態等に影響を及ぼす可能性があります。 (3) 設備の老朽化[影響度：２　発生可能性：２]当社グループでは事業活動に関連し、建物及び建物附属設備、生産設備等多くの固定資産を所有しておりますが、老朽化に伴う生産への影響や、更新及び維持費用の増大、安全への影響等、当社グループの経営成績及び財政状態等に影響を及ぼす可能性があります。 (4) 繰延税金資産や減損処理の影響[影響度：２　発生可能性：２]当社グループは、事業用資産としての有形・無形固定資産や繰延税金資産等を計上しております。これらの資産については、事業計画との乖離等によって期待されるキャッシュ・フローが生み出せない場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (5) 重要な訴訟等[影響度：１　発生可能性：１]当社グループの事業活動に関連し、様々な事由により、当社グループに対して訴訟その他の請求が提起される可能性があり、その内容によっては当社グループの経営成績及び財政状態等に影響を及ぼす可能性があります。  (6) 海外展開[影響度：２　発生可能性：２]当社グループでは、海外市場における事業の拡大を図っております。海外事業においては、それぞれの国や地域において、法令や商習慣の相違等による不確実性が存在するほか、海外進出や経済状況の変化、地域紛争の発生等により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (7) 原材料の動向によるリスク[影響度：２　発生可能性：３]当社グループの主要原材料は、電気、電子部品、及び金属、プラスチック等の材料部品であります。電子回路部品については、半導体市場の動向によって需給が大きく変化し、またその変化のスピードが速いことが特徴であります。このことに対応するため、複数の入手経路を確保しておりますが、半導体の市場動向により、原材料の調達等に影響を及ぼす可能性があります。また、エネルギー価格の高騰や為替相場の影響等に伴う原材料価格の上昇により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (8) 情報セキュリティ上のリスク[影響度：３　発生可能性：２]当社グループの事業活動に関連し、技術情報や顧客情報等の重要な情報を保有しております。当社グループでは社内規程の整備や情報保護のための施策の徹底を図っております。また、前期より新たにクラウド事業領域に進出したことにより、国際規格ISO/IEC 27001(ISMS認証)の取得を行いました。しかしながら、コンピューターウイルスの感染や不正アクセス等の事態により、外部への漏洩が生じた場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (9) 自然災害、及び感染症蔓延のリスク[影響度：２　発生可能性：１]  大規模地震の発生や、気候変動などに起因する落雷や水害等の自然災害の発生、火災等の事故、また感染症の拡大により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (10) 気候変動に関するリスク[影響度：２　発生可能性：１]  近年、気候変動の影響を受け、環境関連法規制の強化により、脱炭素社会に向けた地球環境保全に関連する費用の増加や、脱炭素社会移行への要求の高まりに対して当社グループの対応が遅れた場合には、販売機会の損失等による企業価値低下が発生し、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (11) 人財確保に関するリスク[影響度：３　発生可能性：２]当社グループでは人材を「人財」として捉え、多様な人財が挑戦し続ける場の創出に努めております。当社グループの事業活動では専門性を有した社員により支えられており、継続的に教育や研修を行い人財育成の強化に努めておりますが、優秀な人財の確保及び育成が想定通りに進まない場合、あるいは人財の社外流出があった場合、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループ（当社、連結子会社)の財政状態、経営成績及びキャッシュ・フローの状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。(1) 経営成績(事業環境)当連結会計年度のわが国経済は、新型コロナウイルス感染症が５類感染症へ移行し、経済活動が正常に向かう一方、エネルギー価格の高騰や急速に円安傾向となった為替相場の影響、中国経済の減速など、引き続き先行きが不透明な状況が継続しております。また、当社にとって課題となっておりました部品供給不足は、コネクタや電源部品等の一部の特定の部品において不安定さが残るものの、年央から第４四半期にかけて大きく改善に向かいました。 (受注高、売上高及び受注残高の状況)このような事業環境のなか、受注高は11,191百万円（前期比0.1％減）となりました。依然としてお客様の設備投資に対する姿勢は慎重であり、緩やかでありますが一部に回復の傾向も見られ、既存設備の改造、修理・校正などのアフターサービスや受託試験などのエンジニアリング領域、ベンチマークデータ販売などの領域が好調に推移いたしました。部品供給不足が改善に向かうなかで、お客様からの先行受注が減少するなど、正常化に向かうプロセスに入ったと受け止めております。売上高は、お客様指定納期に向けて生産に注力した結果、11,539百万円（前期比5.6％増）となりました。なお、受注残高は、5,070百万円（前期比6.4％減）となりました。 (損益の状況)損益面では、営業利益は139百万円（前期比149.7％増)、経常利益は204百万円（前期比3.2％減）、親会社株主に帰属する当期純利益は438百万円（前期比77.7％増）となりました。前期に比べ、部品供給不足のなかでの原材料価格の上昇や生産の小ロット化等により計測機器の製造原価が上昇しておりますが、販売価格への転嫁は遅行しております。また、技術伝承やスキルアップ等の人的資本への投資を推し進めたことから、売上原価率は54.1％（前期は52.0％）と上昇しました。販売費及び一般管理費は、国内外における販売促進や展示会等の拡販のための活動を推進する一方、設計変更に伴う開発が一段落して研究開発費が減少し、37百万円の減少となりました。これらの結果、営業利益が増益となりました。特別損益等につきましては、政策保有株式の見直しを行い、一部を売却したことにより投資有価証券売却益の計上があり、連結子会社である株式会社Ｓｏｕｎｄ Ｏｎｅにおいては、所有している事業用資産のソフトウエアを減損損失として計上いたしました。また、繰延税金資産の回収可能性を検討した結果、法人税等調整額（益）を計上したことなどから、親会社株主に帰属する当期純利益が増加いたしました。 当社グループでは、大きく変化する事業環境に対応し、更なる成長を遂げ、また当社グループが描くビジョン（ありたい姿）を実現するため、中期経営計画「Challenge StageⅢ」（対象期間2022年～2024年）を策定・推進しております。本中期経営計画におきましては、コロナ禍によって大きな影響を受けた業績の回復を目指し、「事業再生」の方針を掲げております。当連結会計年度においては、ソフトウエアのオフショア開発の拡大のために設立した子会社である小野測器ソフトウェア株式会社を、2023年５月１日をもって吸収合併いたしました。また、計測技術の知見を活かし「コト」ビジネスに参入するため、電動車両のベンチマーキングレポート販売を開始することとし、2023年６月より受注を開始いたしました。これらにつきましては、当社ホームページより、2022年１月28日公表の「中期経営計画「Challenge StageⅢ」策定に関するお知らせ」、2023年３月17日公表の「連結子会社の吸収合併（簡易合併・略式合併）に関するお知らせ」、2023年６月12日公表の「電動車両のベンチマーキングレポート販売開始」をご参照ください。（当社ホームページhttps://www.onosokki.co.jp）コーポレート・ガバナンスの面においては、2023年３月17日開催の第69回定時株主総会において、取締役報酬に譲渡制限付株式報酬を導入する制度改定を行いました。またサステナビリティ推進の面においては、当社宇都宮テクニカル&amp;プロダクトセンターの敷地の一部に太陽光発電パネルを導入することとし、2023年12月に着工、2024年３月工事完了予定であります。カーボンニュートラルの実現に向けた取り組みとしては、当社の事業活動における温室効果ガス排出量の削減を進めるため、環境戦略推進室を2024年１月に発足しました。人財の面においては、技術伝承の加速とエンゲージメントの向上を図るため、2023年７月１日付けで人事制度を改定し、従業員の定年を60歳から65歳へと延長いたしました。 （資本コストや株価を意識した経営の実現に向けた対応について）当社では、現在進行中の中期経営計画「Challenge StageⅢ」の策定プロセスにおいて、当社の資本コストを分析し、経営目標として掲げるべき収益性をROE８％と設定しましたが、事業再生期と位置付けた「Challenge StageⅢ」においてはROE５％への復帰を目標としております。その実現に向けた活動テーマとして、①成長戦略：「環境」「社会的課題の解決」を通した成長の実現　②業績伸長：アジア地域を中心とした海外市場の強化による収益の拡大　③構造改革：DXとオープンイノベーションの推進による改革の実現を掲げており、今後も引き続き中長期的な成長を実現すべく継続してまいります。また、当社の資本収益性の改善に向けた検討を行うなかで、現本社ビルの収益貢献度が検討対象となり、経営資源の有効活用と財務基盤の強化を図るため、現本社の土地、建物を売却することといたしました。売却により得られる資金は、中長期的な成長を実現するために投入することとしております。 セグメント別の業績は、次のとおりであります。＜計測機器＞「計測機器」は、受注高は4,014百万円（前期比3.3％増）、売上高は4,081百万円（前期比3.1％増）、セグメント損益は56百万円の利益（前期比52.7％減）となりました。回転速度分野、寸法変位分野など生産ライン関連商品や、音響・振動関連のセンサ類、データ処理分野等が堅調に推移しました。トルク計測領域はやや軟調となりましたが、自動車計測関連商品の受注は回復傾向となり、全般的な引合いは拡大傾向にあります。2022年からの急激な部品供給不足により、当社製品の製造リードタイムも長期化するなか、お客様からの先行受注が増加し、受注残高が大きく膨らむ状況が生じておりました。年央から部品の供給不足が改善し、当社製品の製造リードタイムも改善となり、その結果、先行受注は減少し、大きく膨らんだ受注残の解消が進み始めました。これは正常化に向かうプロセスであると認識しております。受注残高は681百万円となり、前期末比9.0％減となっておりますが、コロナ禍以前に比べるとまだ高水準であります。このように、部品供給不足は解消へ向かいつつありますが、コネクタや電源部品等の特定の部品において、不安定さが継続しており、引き続きリスクと認識しております。また、部品供給不足のなかでの原材料価格の上昇や生産の小ロット化等により売上原価率が上昇し、減益の要因となりました。 ＜特注試験装置及びサービス＞「特注試験装置及びサービス」は、受注高は7,164百万円（前期比1.9％減）、売上高は7,445百万円（前期比7.0％増）、セグメント損益は85百万円の利益（前期は63百万円の損失）となりました。なお、受注残高は4,388百万円(前期末比6.0％減)となりました。自動車の電動化によりパワーソースが多様化するなかで、お客様の新規試験設備の導入には慎重姿勢が窺えます。そのため特注試験機の新規受注が減少する一方、既存設備の改造、修理・校正などのアフターサービスや受託試験などのエンジニアリング領域は、好調に推移いたしました。また、当社の計測技術及び受託試験で得た知見を活かした「コト」ビジネスに参入することとし、６月12日より電動車両のベンチマーキングレポートの販売を開始、想定を上回る受注及び引合いをいただいております。今後も対象車種を増やすなど、ベンチマーキングレポートの販促強化を行ってまいります。 ＜その他＞「その他」の区分は報告セグメントに含まれない事業セグメントであり、損害保険代理業務及び当社が所有する土地・建物の管理業務、その他当社からの委託業務等を行っております。当区分の売上高は155百万円（前期比1.0％減）、セグメント利益は27百万円（前期比13.8％減）となりました。なお、当区分の外部顧客に対する売上高は12百万円（前期比2.7％減）であります。  （生産、受注及び販売の実績）① 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額(百万円)前期比(％)計測機器4,70729.8特注試験装置及びサービス7,3737.5その他――合計12,08015.2  ② 受注実績当連結会計年度における受注実績をセグメントごとに示すと次のとおりであります。セグメントの名称受注高(百万円)前年同期比(％)受注残高(百万円)前年同期比(％)計測機器4,0143.3681△9.0特注試験装置及びサービス7,164△1.94,388△6.0その他155△1.0－－　(調整額)　(注)１△143―－－合計11,191△0.15,070△6.4 (注) １　(調整額)はセグメント間取引消去であります。  ③ 販売実績当連結会計年度における販売実績をセグメントごとに示すと次のとおりであります。セグメントの名称販売高(百万円)前年同期比(％)計測機器4,0813.1特注試験装置及びサービス7,4457.0その他155△1.0　(調整額)　(注)１△143―合計11,5395.6 (注) １　(調整額)はセグメント間取引消去であります。２  主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合相手先前連結会計年度当連結会計年度販売高(百万円)割合(％)販売高(百万円)割合(％)本田技研工業㈱1,34912.31,77215.4トヨタ自動車㈱1,0569.76525.7  (2) 財政状態① 資産の部当連結会計年度末における資産合計は21,003百万円となり、前連結会計年度末に比べ106百万円減少しました。主な内訳は、現金及び預金の減少、売掛金の減少、商品及び製品の増加、原材料及び貯蔵品の増加、投資有価証券の時価評価による増加であります。 ② 負債の部当連結会計年度末における負債合計は6,892百万円となり、前連結会計年度末に比べ830百万円減少しました。主な内訳は、短期借入金の減少、長期借入金の増加であります。 ③ 純資産の部当連結会計年度末における純資産は14,110百万円となり、前連結会計年度末に比べ724百万円増加となりました。主な内訳は、親会社株主に帰属する当期純利益の計上による増加、投資有価証券の時価評価によるその他有価証券評価差額金の増加であります。  (3) キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当連結会計年度末における現金及び現金同等物は、前連結会計年度末に比べ157百万円減少(△6.9％)し、2,118百万円となりました。当連結会計年度に係る区分ごとのキャッシュ・フローの状況は以下のとおりであります。（営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローは、340百万円の収入(前期は230百万円の支出)となりました。主な内訳は、税金等調整前当期純利益331百万円、減価償却費576百万円、投資有価証券売却益207百万円、棚卸資産の増加額221百万円であります。 （投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは、431百万円の収入(前期は160百万円の支出)となりました。主な内訳は、有形固定資産の取得による支出233百万円、有形固定資産の売却に係る手付金収入577百万円、無形固定資産の取得による支出243百万円、投資有価証券の売却による収入422百万円であります。　 （財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローは、984百万円の支出(前期は569百万円の収入)となりました。主な内訳は、短期借入金の減少額1,045百万円、長期借入れによる収入800百万円、長期借入金の返済による支出634百万円であります。  （資本の財源及び資金の流動性に係る情報）当社グループの運転資金及び設備投資資金については、自己資金、金融機関からの借入金により資金調達を行っております。運転資金は自己資金及び短期借入金を基本としており、設備投資資金は長期借入金を基本としております。なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は3,222百万円となっております。また、当連結会計年度末における現金及び現金同等物の残高は2,118百万円となっております。 (4)重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。当社グループが連結財務諸表の作成に際して採用している重要な会計方針は、「第５ 経理の状況１ 連結財務諸表等(1）連結財務諸表注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載のとおりであります。当社グループの連結財務諸表作成において、会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示に影響を与える見積りについては過去の実績や現状等を勘案し合理的に判断しておりますが、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　(1)　連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】(固定資産の譲渡について)当社は、2023年９月27日付の取締役会決議において、当社が保有する以下の固定資産について譲渡すること及び本社移転を決定いたしました。1.固定資産の譲渡について1)譲渡の理由2023年９月27日公表の「固定資産の譲渡及び特別利益の計上ならびに本社移転に関するお知らせ」で開示のとおり、経営資源の有効活用と財務基盤の強化を図るため、現本社の土地、建物を売却することといたしました。 2)譲渡資産の内容 資産内容及び所在地期末帳簿価額現況 神奈川県横浜市港北区土地1,336.03㎡　建物6,159.13㎡3,509百万円本社社屋  3)譲渡先の概要譲渡の相手先については公表を控えさせていただきますが、譲渡の相手先と当社の間には、記載すべき資本関係、人的関係及び取引関係はなく、また当社の関連当事者にも該当いたしません。 4)譲渡の日程　取締役会決議日　　　 2023年９月27日　売買契約締結日　　　 2023年９月27日 譲渡資産引渡日　 　  2024年５月15日(予定) 5)業績に与える影響2023年12月期連結業績への影響は軽微です。当該固定資産の譲渡に伴う売却益は、2024年12月期の連結決算及び個別決算において計上を予定しております。 2.本社移転について1)移転の理由上記に記載のとおり、現本社ビルを売却する予定となったため、移転先と定期建物賃貸借契約を締結の上、オフィス面積を縮小し、本社機能を移転するものです。  2)移転先神奈川県横浜市西区みなとみらい三丁目３番３号　横浜コネクトスクエア12階 3)移転予定日2024年５月(予定) 4)その他定款上の本店所在地につきましては、神奈川県横浜市から変更はありません。 
研究開発活動	６ 【研究開発活動】当社グループの研究開発活動は、将来を見据えた基礎的な計測制御技術の研究と、ユーザのニーズに応じた新製品の開発活動を並行に進めていくことを基本方針としております。当連結会計年度における当社グループの研究開発費の総額は1,076百万円でありました。特に音響・振動に関わる計測及びデータ処理についてのニーズや、自動車開発用の各種試験機についてのニーズは相変わらず多く、これらの分野に関する新製品を継続して開発するとともに、将来の技術シーズの獲得のための基礎的研究も強化してまいりました。当連結会計年度におけるセグメントごとの主な研究開発成果は、次のとおりであります。＜計測機器＞当社グループでは従来から多岐にわたる機械・物理特性を計測する計測器を開発しており、その対象は各種センサ類、回転・速度、寸法・変位、音響・振動、トルク、自動車関連、ソフトウエア等の分野に広がっております。当連結会計年度においても、新しい計測ニーズに対応するためのシーズ技術の研究、計測・解析技術の高度化のためのアルゴリズムの研究、センシングの高精度化、高分解能化のためのハードウェアの開発等に取り組みました。当連結会計年度の主要な成果としましては、音響・振動計測分野における計測・解析の主力プラットフォームソフトウエア製品であるO-Solutionについて、音響・振動計測のリアルタイム計測の際、音はオクターブ解析、振動はFFT解析のマルチ解析を可能とすることで、繰り返し作業時の大幅効率アップを実現しました。また、空調機業界を中心に要求が強かった1/Nオクターブ解析のリアルタイム計測も実現しましたので、既存他社メーカからの乗り換えを含めた拡販を進めてまいります。回転速度分野においては、DINサイズの回転速度表示器のラインアップ一新を図りました。表示器には有機LEDを採用することで視認性を高めユーザビリティの向上を実現しました。また、アナログ出力の更新時間を10msから１msへ高速化した上、リニアリティについては３倍の高精度化を実現しました。既存顧客だけでなく、機械装置メーカ、半導体装置メーカへの拡販も図ってまいります。自動車関連においては、従来のエンジン燃焼解析ソフトウエアの大幅バージョンアップを図り、エンジン燃焼だけでなく補器類や駆動系部品などの回転角度解析も可能とするExAngleをリリースいたしました。計測解析報告業務の効率化に貢献いたします。AI領域の研究も積極的に進めており、深層学習モデルを使った環境音分類や音源分離の開発を進めてまいりました。順次製品への搭載を図り付加価値向上を図ってまいります。当社グループにおいては、お客様へ提供する製品・サービスの品質を継続的に向上させていくための品質マネジメントシステムとしてISO9001を適用すると共に、高品質なものづくりを可能とする製造プロセスを実現するための地道な改善活動も続けております。今後もこれらの活動を継続し、翌連結会計年度も、複数の分野においてユーザニーズに応えるような新製品開発（センサ、カウンタ、計測器およびソフトウエア）やサービス開発を行い、完成次第順次市場投入する予定としております。当セグメントにおける研究開発費の金額は、645百万円であります。 ＜特注試験装置及びサービス＞特注試験装置の主なユーザは自動車メーカ及びその関連メーカ、関連機関となります。当連結会計年度では、多様化する台上試験機（EV/HEV、FCV、駆動系、内燃機関等）の試験ニーズに迅速にかつ柔軟に対応するため、主力の特注試験装置（FAMS-R5シリーズ）の後継機種開発に注力し、台上試験機の付加価値向上を図ってまいりました。2023年4月より受注を開始し、好調に推移しております。引き続き既存市場での拡販、新市場へのアプローチを強化してまいります。また、EV/HEV等の完成車試験装置RC-S（Real Car System）においては、ADAS/AD機能の安全性評価を台上でシミュレーションできるよう開発を進めておりますが、台上においてステアリング操作可能なアクチュエータを製品化することができ、走る・止まる・曲がるの評価を実現することができました。引き合い獲得に努めてまいります。自動車試験用の実験棟（栃木県宇都宮市）においては、継続して自動車開発における各種試験の受託業務を実施し、そこで得られる各種情報のフィードバックも取り込みながら新たな付加価値の創造を目指したシーズ技術の探求や、計測・制御技術の高度化のための研究開発を実施しております。培った技術を用い、当社で中国のEV車両を購入し、電費・航続距離、出力特性、走行抵抗など17種のデータ販売を開始しており、自動車OEMやTier１各社から好評を得ております。今後年間４車種ペースで車両データ販売を計画しております。当セグメントにおける研究開発費の金額は、430百万円であります。 
設備投資等の概要	１ 【設備投資等の概要】当社グループは、長期的に成長が期待できる製品分野及び研究開発分野に重点を置き、かつ、競争激化に対応し製品の原価低減と品質向上を図り、また、利益獲得のための拡販を目指すため、有形固定資産及び無形固定資産に対し投資を行っており、当連結会計年度は全体で471百万円の設備投資を実施いたしました。「計測機器」においては、160百万円の設備投資を行いました。「特注試験装置及びサービス」においては、311百万円の設備投資を行いました。　
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社2023年12月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計本社・ソフトウェア開発センター(神奈川県横浜市港北区)計測機器、特注試験装置及びサービス本社機能研究生産設備1,12401,823(0)2293,176121〔7〕横浜テクニカルセンター(神奈川県横浜市緑区)計測機器、特注試験装置及びサービス研究生産設備710382,932(16)1223,804270〔11〕宇都宮テクニカル＆プロダクトセンター(栃木県宇都宮市)計測機器、特注試験装置及びサービス研究生産設備1,267287591(28)912,238138〔69〕 (注) １　帳簿価額の「その他」には、無形固定資産を含めております。２　従業員は就業人員であり、臨時従業員は〔　〕内に年間の平均雇用人員を外数で表示しております。　　(2) 在外子会社2023年12月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計オノソッキテクノロジーインク本社(米国イリノイ州)計測機器、特注試験装置及びサービスその他設備－2－025〔－〕上海小野測器測量技術有限公司本社(中華人民共和国上海市)計測機器、特注試験装置及びサービスその他設備－ 9－112112〔－〕 (注)　従業員は就業人員であり、臨時従業員は〔　〕内に年間の平均雇用人員を外数で表示しております。　
株式の総数	① 【株式の総数】種類発行可能株式総数(株)普通株式40,000,000計40,000,000  
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月19日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式12,200,00012,200,000東京証券取引所(スタンダード市場)単元株式数100株計12,200,00012,200,000――  
