項目	値
事業の内容	３【事業の内容】　当社グループは、当社と子会社４社で構成され、単一セグメントに属するコネクタ、ラック、ソケット等の製造・販売を主な事業の内容としております。　　コネクタ……………工業機器・画像機器等の電子・電気機器において、実装されたプリント基板間や機器内、機器間の電気的接続、切り離しのためのコネクタの製造・販売。　　ソケット……………ICをプリント基板に組み込むためのICソケットの製造・販売。　　ラック………………制御基板や周辺機器の収納をシステム化したラックの製造・販売。　　ハーネス……………コネクタとケーブルを接続したハーネスの製造・販売。 　当社グループの事業系統図は次のとおりであります。  　　（注）旺昌電子股份有限公司、科陸電子貿易(上海)有限公司は連結子会社であります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1) 経営方針① 会社の経営の基本方針　当社グループは創業以来、高品質の小型コネクタをエレクトロニクス市場に提供することを基本として運営してまいりました。　コネクタの専門メーカーとして、常に最先端の接続技術（コネクション・テクノロジー）を追い求め、益々、高密度、高速化する産業用機器に対応し、市場ニーズを先取りした製品を開発し、市場に供給し続けることを最優先課題として取り組んでいく所存であります。・経営基本方針１．オープンで、フェアな企業活動を基本として、信頼される企業を目指す。２．最先端技術の研究と開発に努め、お客様のご要望にお応えする魅力ある商品を提供する。３．個人の創造力とチームワークの強みを最大限に高める企業風土をつくる。４．効率的な経営を通じて、長期安定的な成長と、共存共栄を実現する。 ② 経営戦略　当社グループは、電子応用機器の小型、軽量、高機能ニーズに対応する製品を市場に供給するために、一層の狭小化と高速伝送の要請に応えるための研究開発を充実させることを基本戦略とし、第63期（2025年３月期）は「コネクタ事業の底上げ、ハーネス事業の強化・拡大へ向けた事業改革を推進、機器事業の付加価値ビジネスへの転換。」「フローティング／高速伝送／ハイパワー／防水コネクタを強化する。」「欧州、中国、北米の販売体制を強化する。」「工業／車載／画像／医療／通信・５Ｇ市場を注力市場とする。」「製品供給力を強化する（海外生産拠点の新設検討、社外不具合撲滅）。」を運営方針としております。 (2) 経営環境及び対処すべき課題等　当社グループが属するエレクトロニクス業界は、半導体不足も緩和し、５ＧやＩｏＴ、ＡＩ、ＥＶ分野に関連する設備投資回復を背景に需要が拡大したことにより、生産設備や電子部品の需要が堅調に推移しましたが、在庫調整による需要の減少が一部では継続しました。　当社グループは、地政学リスクの長期化やエネルギー価格の高騰、急激な為替変動等により先行きは不透明な状態が続くことも想定されます。引き続き国内外市場の変化やサプライチェーンの影響を慎重に見極め対応してまいります。　当社グループは経営基本方針に基づき、市場の動向を見極め、お客様との対話を重ねることによって、幅広いニーズに対しオリジナリティあふれる最適な製品を市場に供給しております。積極的な技術提案に基づき、お客様の期待に応える品質・サービスの提供に努めることにより、企業価値の向上を図ってまいります。　「コネクタメーカーとして、世界に貢献できる企業になる。」を経営ビジョンに掲げ、中期計画の基本方針「魅力ある新製品開発を促進し、商品群を増強する。」「事業、市場、地域、利益を含めたビジネス全体を拡大する。」「５Ｇ、新エネルギー市場等の新市場を開拓する。」に基づき、経営資源（人材・設備・資金）の効率を高め、販売／生産管理システムのスマート化を推進し、製造コスト、販売管理費の低減を実施し、収益性の改善を図ってまいります。また、成長を実現できる組織体制を構築し、社員がより能力を発揮できるよう、働き方の見直しや制度の改善を進め、次世代に向けた人材の育成・獲得に努めてまいります。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には以下のようなものがあります。　なお、以下の事項のうち、将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1) 経営戦略実行上のリスク①新製品開発力　当社グループは電子応用機器の小型、軽量、高機能ニーズに対応する新製品を市場に供給し続けることにより、企業価値の向上を図っており、最近３年間以内に開発された新製品にて、受注の概ね20％程度の獲得を目指しております。今後もこの傾向を維持・発展させていくことは可能であると考えておりますが、エレクトロニクス業界、特に電子機器業界の進歩は目覚ましく、市場のニーズを的確に予測できるとは限らず、ニーズに対応した製品開発ができなかった場合には、将来の成長と収益を低下させ、業績に影響を及ぼす可能性があります。②技術者等の人材の確保育成　当社グループの将来の成長は、有能な技術者をはじめとする人材の確保と育成に左右されます。当該リスクについては、当社グループでは、「将来を担う人材の確保」「グローバル化に合わせた人事制度の見直し」「従業員教育」を目標に年間を通じた採用活動、高い技術力を持った人材の確保に対応した人事制度の整備及び各種教育・研修の実施等を通じた人材の育成に取り組んでおり、良い人材は、上述①の新製品開発力のリスクを低減する対応策となります。③海外事業に伴うリスク　当社グループは、海外事業の強化、拡大を基本方針として掲げております。海外拠点を置いている国・地域において、貿易摩擦等の経済リスク、文化・慣習の違いを起因とする労務問題、テロや伝染病等の社会的混乱等が発生した場合、当社グループの事業に悪影響を及ぼす可能性があります。当該リスクについては、現地法律事務所、会計事務所等と連携し、また、社員の安全等については現地行政情報等を収集・分析し、対応いたします。(2) 製品供給に関するリスク①外注先の確保　当社グループが製造する製品の部品の多くは、外部の協力会社へ加工委託しております。また、ハーネス製品やラック製品の組立についても、外部の協力会社へ委託しております。これらの部品加工及び組立の協力会社が不足する場合や協力会社の経営に不安が生じた場合には生産活動が十分に行えず、業績に悪影響を及ぼす可能性があります。当該リスクについては、情報収集に努め、既存協力会社との意思疎通を密にすること等で対応いたします。②品質問題の発生　当社グループは品質マネジメントシステムに基づき製品品質の向上に努めております。予期しない製品不具合が発生し、品質に係る重大な問題が発生した場合には、解決に多くの時間と労力を要し、製品供給に悪影響を及ぼす可能性があります。また、損害賠償金や顧客からの信頼を失うことによる売上減少等が発生する場合があります。当該リスクについては、品質マネジメントシステムの最適な運用を目指すとともに、生産技術の改善等による不具合発生率の低減を図ること等により対応いたします。③原材料の調達　当社グループが製造する製品の原材料は、原油や非鉄金属であります。これら原材料について、急激な需要増加等により、調達不足や調達遅延が発生じた場合には、生産活動が十分に行えず、業績に悪影響を及ぼす可能性があります。また、これら原材料の価格が上昇し、製品価格に転嫁できない場合には、売上原価を押し上げ、利益減少につながる可能性があります。当該リスクについては、適正な調達計画の作成や調達先の多様化等により対応いたします。④大規模災害　当社グループの国内生産拠点は山梨県に2拠点、長野県に1拠点であり、また、外部委託による生産拠点は国内外へと展開しております。当該地域に大規模災害が発生し、停電その他インフラへの甚大な被害があった場合には、生産活動に影響を及ぼす可能性があります。当該リスクについては、生産拠点の分散とBCP（事業継続計画）に基づく被害からの速やかな復旧等により対応いたします。(3) 外部環境によるリスク①市況、社会経済環境の変化　当社グループの属するエレクトロニクス業界は、市況の影響を受けやすい業界と言われております。かつての半導体不況、IT不況のような事態が再来した場合には、受注が減少し、業績に悪影響を及ぼす可能性があります。また、新型コロナウイルスの世界的な拡散のような経済活動に大きな打撃を与える事象が発生した場合においても同様に悪影響が発生する可能性があります。当該リスクに関しては、発生した場合に影響が少なくなるようコスト構造の改善等に取り組んでいきます。　当社グループの属するエレクトロニクス業界は、市況の影響を受けやすい業界と言われております。かつての半導体不況、IT不況のような事態が再来した場合には、受注が減少し、業績に悪影響を及ぼす可能性があります。　また、新型コロナウイルスの世界的な拡散のような経済活動に大きな打撃を与える事象が発生した場合においても同様に悪影響が発生する可能性があります。当該リスクに関しては、発生した場合に影響が少なくなるようコスト構造の改善等に取り組んでいきます。 ②為替相場の変動　当社グループは米ドルやユーロ建ての製品輸出を行っており、為替相場の変動は、当社グループの業績に影響を及ぼす可能性があります。想定以上の円高は、製品の競争力を弱め、当社グループの業績に悪影響を及ぼす可能性があります。当該リスクについては、外貨建て仕入や為替予約によるリスクヘッジ等により対応いたします。(4) その他①内部統制上のリスク　当社グループは当社及び海外子会社２社で連結決算を行っており、子会社取引等を中心に海外取引があります。これら海外取引が増加し、国内と同様の内部管理体制が取れない場合には、決算の正確性に問題が発生する可能性があります。また、経営者による内部統制の無効化等が発生した場合にも同様の問題が発生する可能性があります。当該リスクについては、グループのガバナンスを強化し、重要な取引について、厳密な検証作業を行うこと等で対応いたします。②重要な訴訟等のリスク　当社グループは、現在、業績に影響する訴訟等に関与していませんが、知的財産や製造物責任など、当社グループの事業活動が、今後、重要な訴訟等の対象となり、その結果によっては当社グループの業績に悪影響を及ぼす可能性があります。当該リスクについては、外部専門家の活用とともに、社内における意識の向上を図ること等で対応いたします。 ③コンプライアンス違反　当社グループの事業活動を行う中で、コンプライアンス違反（ハラスメント、雇用関連、人権等）が発生した場合、社会的信頼を失墜し、事業に悪影響を及ぼすリスクがあります。当該リスクについては、役員・社員一人ひとりが、社会的責任を果たすために、国内外における関連法令、国際ルールを理解し遵守しつつ高い倫理観をもって行動するという観点から「企業行動基準」を定め周知徹底を図っております。　法規制の制定や改訂に関しては、速やかに対応し、社内規程の改定や社内ルールの新設、見直し、及び社員教育の実施を行う事で未然防止に努めると共に、発生時の対応体制の整備、ルール化を行う等で対応いたします。 ④情報システム上のリスク　当社グループは、事業活動を通して、取引先の個人情報及び機密情報を多数保有しております。このため、サイバー攻撃、不正アクセス、コンピューターウイルス侵入等により、万一これらの情報が流出した場合や重要データの破壊、改ざん、システム障害、システムダウン等が生じた場合には、当社グループの信用低下や業績及び財務状況に影響を及ぼす可能性があります。当社グループでは、当該リスクについて、「情報セキュリティ管理規程」「情報システム運用規程」を制定し、機密情報管理体制の確立・徹底に努めております。また、定期的に役員及び従業員への情報セキュリティ教育を目的にeラーニング等の教育を行っております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況 ① 財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、新型コロナウイルス収束後の経済活動の正常化が進み、景気回復への期待が高まったものの、ウクライナ情勢の長期化、中東での地政学リスクの高まり、原材料・エネルギー価格の高止まりや金利の上昇に伴う金融引き締め、ゼロコロナ解除後の中国経済の回復減速等により経済の先行きは不透明な状況が続きました。わが国では、為替相場における円安の進行や原材料価格の高騰は継続しているものの、個人消費や設備投資が持ち直し、景気に緩やかな回復基調が見られました。当社グループが属するエレクトロニクス業界は、半導体不足も緩和し、５ＧやＩｏＴ、ＡＩ、ＥＶ分野に関連する設備投資回復を背景に需要が拡大したことにより、生産設備や電子部品の需要が堅調に推移しましたが、在庫調整による需要の減少が一部では継続しました。このような環境の中、今年度は、基本方針を「１．特長ある新製品開発を促進し、商品群を増強する。２．事業、市場、地域、利益を含めたビジネス全体を拡大する。３．５Ｇ、新エネルギー市場等の新市場を開拓する。」とし、運営方針である「１．コネクタ事業の底上げ、機器事業の付加価値ビジネスへの転換、ハーネス事業の強化・拡大へ向けた事業改革を推進する。２．フローティング／高速伝送／圧着／ハイパワー／防水を強化する。３．欧州、中国、北米の販売体制を強化する。４．工業／車載／画像／医療／通信・５Ｇ市場を注力市場とする。５．製品供給力を強化する。」を推進し、付加価値ビジネスを強化し、海外事業の拡大を進め、コストマネジメントの強化による収益性の向上に努めてまいりました。また、５Ｇ／ＩｏＴ周辺機器市場向け高速伝送コネクタの開発やフローティングコネクタ・防水コネクタの拡充など、市場・顧客のニーズに応える製品を開発・提供してまいりました。以上の結果、当連結会計年度の売上高は122億31百万円（前連結会計年度比15.6％減少）となりました。利益面につきましては、営業利益10億95百万円（同54.4％減少）、経常利益は円安による外貨建債権債務の評価替え等による為替差益１億14百万円の計上もありましたが12億68百万円（同50.0％減少）、親会社株主に帰属する当期純利益８億52百万円（同50.6％減少）となりました。 品目別の業績を示すと、次のとおりであります。なお、当社グループは、単一セグメントに属するコネクタ、ラック、ソケット等の製造・販売を行っているため、品目別の業績を示しております。イ．コネクタ　　コネクタの売上高は、遊技機器、車載機器向けフローティングコネクタの受注は好調に推移したものの、ＦＡ・制御装置・半導体製造装置等の工業機器、内視鏡・超音波診断装置等の医療機器、監視カメラ・業務用カメラ等の画像機器向けの受注が減少したことにより107億３百万円（前連結会計年度比16.8％減少）となりました。ロ．ラック　　ラックの売上高は、血液分析装置等の医療機器向けは好調に推移したものの、半導体製造装置・電力インフラ等の工業機器向けおよび内視鏡等の電子応用医療機器向けの受注減少、また一部で部品調達難が継続している影響により11億65百万円（同10.3％減少）となりました。ハ．ソケット　ソケットの売上高は、遊技機器向けの受注が増加したことにより３億４百万円（同25.3％増加）となりました。ニ．その他　　その他の売上高は５千７百万円（同42.3％減少）となりました。  ② キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物（以下「資金」という。）は、前連結会計年度末に比べ２億13百万円増加（前連結会計年度は86百万円の減少）し、55億16百万円となりました。（営業活動によるキャッシュ・フロー）　当連結会計年度における営業活動の結果得られた資金は、23億19百万円（前連結会計年度は16億69百万円の獲得）となりました。これは、法人税等の支払額８億12百万円があったものの、売上債権の減少による収入12億34百万円、税金等調整前当期純利益12億66百万円の計上、減価償却費10億26百万円の計上があったこと等によるものであります。（投資活動によるキャッシュ・フロー）　当連結会計年度における投資活動の結果使用した資金は、14億75百万円（前連結会計年度は10億82百万円の使用）となりました。これは、有形固定資産の取得による支出13億５百万円があったこと等によるものであります。 （財務活動によるキャッシュ・フロー）　当連結会計年度における財務活動の結果使用した資金は、７億40百万円（前連結会計年度は７億32百万円の使用）となりました。これは、配当金の支払額７億40百万円があったこと等によるものであります。  ③ 生産、受注及び販売の実績　当社グループは、単一セグメントに属するコネクタ、ラック、ソケット等の製造・販売を行っているため、生産、受注及び販売の状況については、品目別に記載しております。イ．生産実績　当連結会計年度における生産実績を品目別に示すと、次のとおりであります。品目別生産高（千円）前期比（％）コネクタ10,197,857△ 21.9ラック1,162,183△ 9.6ソケット316,94026.8その他70,263△ 32.0合計11,747,244△ 20.0　（注）　金額は販売価格によっております。ロ．受注実績　当連結会計年度における受注状況を品目別に示すと、次のとおりであります。品目別受注高（千円）前期比（％）受注残高（千円）前期比（％）コネクタ9,798,945△ 24.91,844,047△ 32.9ラック1,380,220△ 9.0827,39135.1ソケット247,682△ 9.034,957△ 61.9その他42,357△ 51.622,137△ 40.5合計11,469,206△ 23.22,728,534△ 21.8 ハ．販売実績　当連結会計年度における販売実績を品目別に示すと、次のとおりであります。品目別販売高（千円）前期比（％）コネクタ10,703,747△ 16.8ラック1,165,449△ 10.3ソケット304,45825.3その他57,420△ 42.3合計12,231,077△ 15.6（注）　最近２連結会計年度における主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は、以下のとおりであります。相手先前連結会計年度当連結会計年度販売高（千円）割合（％）販売高（千円）割合（％）サンワテクノス㈱2,195,55615.11,805,47414.8 (2) 経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①財政状態及び経営成績の状況に関する認識及び分析・検討内容・財政状態の状況の分析　当連結会計年度末の財政状態は以下のとおりであります。区分金額（千円）前期比（％）資産の部18,924,258△3.8負債の部3,533,558△23.8純資産の部15,390,7002.3イ．資産　前連結会計年度末に比べ７億53百万円減少し、189億24百万円となりました。これは、現金及び預金の増加額２億１百万円があったものの、売掛金の減少額５億42百万円、電子記録債権の減少額６億71百万円があったこと等によるものであります。 ロ．負債　前連結会計年度末に比べ11億３百万円減少し、35億33百万円となりました。これは、電子記録債務の減少額４億27百万円、未払法人税等の減少額４億18百万円があったこと等によるものであります。 ハ．純資産　前連結会計年度末に比べ３億49百万円増加し、153億90百万円となりました。これは、利益剰余金の増加額１億11百万円、その他有価証券評価差額金の増加額１億45百万円があったこと等によるものであります。 ・経営成績の状況の分析　当連結会計年度の経営成績は以下のとおりであります。区分金額（千円）前期比（％）売上高12,231,077△15.6営業利益1,095,056△54.4経常利益1,268,655△50.0親会社株主に帰属する当期純利益852,366△50.6イ．売上高　売上高は車載機器市場の受注は好調に推移したものの、工業機器市場、画像機器市場の受注が減少したことにより、前連結会計年度に比べ22億69百万円減少し、122億31百万円となりました。 ロ．売上総利益及び営業利益　売上総利益は売上の減少に伴い、前連結会計年度に比べ12億86百万円減少し、32億77百万円となりました。営業利益は13億５百万円減少し、10億95百万円となりました。 ハ．営業外損益及び経常利益　営業外損益は、前連結会計年度に比べ純額で37百万円の増加となり、営業利益の減少に伴い、経常利益は前連結会計年度に比べ12億68百万円減少し、12億68百万円となりました。 ニ．特別損益　特別損益は減損損失の減少があり、前連結会計年度に比べ純額で５百万円増加となりました。 ホ．親会社株主に帰属する当期純利益　親会社株主に帰属する当期純利益は、前連結会計年度に比べ８億73百万円減少し、８億52百万円となりました。②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当社グループの当連結会計年度のキャッシュ・フローは、２億13百万円増加し、現金及び現金同等物の期末残高は、55億16百万円となっております。当該残高は、売上高の5.4か月相当であり、事業を運営するにあたり十分な残高を有しております。また、キャッシュ・フロー対有利子負債比率（有利子負債÷営業キャッシュ・フロー×100）は19.4％であり、財政状況も良好であります。 ・資本の財源及び資金の流動性イ．資本の財源　当社グループの属するエレクトロニクス業界、特に電子機器業界の進歩は目覚ましく、小型化・高性能化製品が求められる状況にあります。そのような市場ニーズに対応するため、当社グループは、最近３年間以内に開発された新製品の売上割合を30％とする目標を定め、研究開発・設備投資（金型及び機械装置等）を行っております。これらの資金需要は、利益等を源泉とした内部資金・金融機関からの借入等で対応しております。　また、事業活動の拡大に伴う売掛債権及び棚卸資産等への資金需要につきましても、内部資金・金融機関からの借入等で対応しております。ロ．資金の流動性　当社グループの当連結会計年度末の流動比率（流動資産÷流動負債×100）は、404％であり、また、現金預金比率（現金及び預金÷流動負債×100）につきましても179％となっており、安定した資金運営を行っております。なお、各子会社の資金状況は当社で把握・管理しており、当社がグループ資金を一元管理しております。 ③重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。　また、連結財務諸表の作成にあたっては、第５〔経理の状況〕１〔連結財務諸表等〕（1）〔連結財務諸表〕　注記事項連結財務諸表作成のための基本となる重要な事項に基づき作成しておりますが、採用する会計基準には、当社の判断及び見積りを伴うものが含まれております。 ④経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、経営効率を判断する指標として、「株主資本利益率（ROE）」を重要と考えており、その向上を目指しております。当連結会計年度の「株主資本利益率（ROE）」は5.6％となり、前連結会計年度に比6.3ポイント減少いたしました。
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。
研究開発活動	６【研究開発活動】　当社グループの属するエレクトロニクス業界は、小型・高機能・高付加価値化が求められております。　当社グループといたしましては、市場ニーズに対応するため、次のような研究開発を行ってまいりました。　当連結会計年度における研究開発費用は、598百万円であります。なお、当社グループは、単一セグメントのため、セグメント毎の記載を省略しております。 　高機能・高付加価値に関する研究開発・０．４ｍｍピッチ極細同軸ケーブル用コネクタ「ＡＳＬＳシリーズ」の開発を行い、販売も開始いたしました。極数は３０極、接続形態はスタック接続、スタック高さは１．６５ｍｍの低背タイプで、基板占有面積４４ｍｍの業界最小クラスサイズとなっております。コンタクトは接触信頼性のある２点接点構造を採用、また、磁場・磁界の影響を受けない非磁性化を実現しています。画像機器市場、医療機器市場、車載機器市場など、幅広いアプリケーションへの展開を見込んでおります。 ・ＰＣＩｅ５．０相当の信号速度対応、フローティングコネクタ「ＪＢシリーズ」の開発を行いました。ＰＣＩｅ５．０相当の高速伝送が可能で、極数は２４０極、独立した電源端子を８ピン備えております。スタック高さは２５ｍｍ品を展開し、ＸＹ方向に±１．２ｍｍのフローティング量を確保しております。通信機器市場、車載機器市場、工業機器市場、医療機器市場など、幅広いアプリケーションへの展開を見込んでおります。 ・２．１ｍｍピッチ圧着コネクタ「ＦＫシリーズ」の開発を行いました。ロボット、マウンター等のアプリケーションに最適な２．１ｍｍピッチ圧着コネクタです。複数箇所に分岐しながら接続を行う方式で、省配線化に貢献します。また、電流分岐が可能な構造になっており、部分的な取り外しができるためメンテナンスも容易です。極数は５極、７極を準備、適合ケーブルはＡＷＧ＃２２～２８を予定しております。マニピュレーター、ロボット、マウンター、サーボモーターなどの工業機器市場、医療用ロボットなど、幅広いアプリケーションへの展開を見込んでおります。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度の設備投資総額は、1,258百万円となりました。内容といたしましては、新製品金型・機械設備の増強、金型更新投資985百万円等によるものであります。
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、以下のとおりであります。(1) 提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物及び構築物機械装置及び運搬具工具、器具及び備品土地（面積㎡）合計本社（多摩市）管理・営業技術部門本社機能260,238668〈0〉56,078〈15,811〉237,162(2,370.57)554,148127{13}山梨事業所（西八代郡市川三郷町）山梨製造部コネクタ・ラック製造設備717,578753,025〈77,720〉142,486〈93,046〉456,360(27,753.50)2,069,45174{12}南アルプス事業所（南アルプス市）南アルプス加工部プレス機、メッキ装置、成形機132,688158,651266175,002(13,864.18)466,60920{6}長野事業所（北安曇郡池田町）長野製造部コネクタ製造設備213,925506,492〈180,953〉119,875〈114,029〉183,986(9,714.15)1,024,27942{6}　（注）１．上記中〈内書〉は、外注先への貸与設備であります。２．現在休止中の主要な設備はありません。３．上記中｛外書｝は、臨時従業員数であります。４．単一セグメントのため、事業部門の名称を記載しております。(2) 在外子会社2024年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物及び構築物機械装置及び運搬具工具、器具及び備品土地（面積㎡）合計旺昌電子股份有限公司本社（新北市）管理・営業技術・製造部門コネクタ製造設備16,96820,1336,340-43,44318{22}科陸電子貿易（上海）有限公司本社（上海市）管理・営業部門事務所機能--1,022-1,02219　（注）１．現在休止中の主要な設備はありません。２．上記中｛外書｝は、臨時従業員数であります。３．単一セグメントのため、事業部門の名称を記載しております。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式30,000,000計30,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,743,0007,743,000東京証券取引所スタンダード市場　単元株式数    100株計7,743,0007,743,000－－
