項目	値
事業の内容	３【事業の内容】　当社は、グループ会社の経営管理及びそれに付帯又は関連する業務を行う予定であります。　また、当社の完全子会社となるマーキュリアインベストメント及びグループ各社の事業の内容は以下のとおりであります。・マーキュリアインベストメントグループは、マーキュリアインベストメント、連結子会社11社、非連結子会社18社、及び持分法非適用関連会社９社により構成されております。マーキュリアインベストメントグループは、国内外投資家の資金を投資事業組合等のファンドを通じて運用を行うファンド運用事業、自己資金の運用を行う自己投資事業を主たる業務としております。マーキュリアインベストメントグループの報告セグメントは投資運用事業の単一セグメントとなっておりますが、以下では投資運用事業を投資戦略ごとに分類して記載しております。マーキュリアインベストメントグループではクロスボーダー（国や地域を超えること、既存のビジネスの枠組みにとらわれずに挑戦すること）をコンセプトとした投資運用を行っており、投資対象の性質により事業投資と資産投資に大別されます。①　成長投資戦略：［事業投資］　マーキュリアインベストメントグループの成長投資戦略は、例えば伝統的な金融業と新たな技術の融合といった、既存のビジネスの枠組みにとらわれずに挑戦する事業への投資を行い、投資リターンをもたらしています。中でも主に次のような要素に着目しています。・マクロ経済の成長に伴い需要の伸びが予想される新しいサービスの展開・社会構造の変化に伴い変化が求められる既存産業における新たなビジネスモデル・モノ造りに関する管理の技術やノウハウ等の日本の優れた特性を活かすことができる分野の海外市場への展開　マーキュリアインベストメントグループでは、このような観点で主要プレーヤーとなりうる企業に対し、中長期的な視野による投資を行い、一時的な状況の変化に左右されない資金面、事業面等の分野での継続的なサポートを提供します。 ②　バリュー投資戦略：［事業投資］［資産投資］　バリュー投資とは理論的な価格より安く取引される事業・資産への投資です。金融法人、事業法人、個人といった様々な投資家の投資サイクル等の関係で、安定的な資産及び事業であっても理論的な価格よりも安い価格で取引されることがあります。マーキュリアインベストメントグループは、グループ会社のネットワークや役職員のネットワークを活用することでそのような機会を見つけ、ローン債権（流動化された貸付金）や不動産などキャッシュ・フローを伴う投資資産を中心にバリュー投資を行っております。 ③　バイアウト投資戦略：［事業投資］　バイアウト投資とは、企業への株式投資を行うことにより、経営に参画し、事業の拡大や再編、構造改革などにより企業価値の向上を目指す投資です。経営を改善することで企業価値の向上の余地のある企業を友好的に買収することにより、投資先経営陣と共に経営改革の推進、投資先企業の成長および企業価値向上を目指します。特にマーキュリアインベストメントグループでは、グループ会社のネットワークやリソースも活用した新たな成長シナリオを描くことで企業価値の向上を図ります。 ④　不動産投資戦略：［資産投資］　マーキュリアインベストメントグループでは、地域毎に異なる経済発展レベルや経済環境に照らし合わせた不動産投資によりリスクに見合ったリターンが得られる不動産投資を目指しています。　経済が成長局面にあるアジア地域においては、中国国内の個人消費の拡大とともに北京の貸オフィスビルへの需要が拡大することを見越し、北京市の中心的なオフィス街にあるオフィスビル２棟にいち早く投資を行いました。マーキュリアインベストメントグループでは、マーキュリアインベストメント子会社であるSpring Asset Management Limitedにおいて、香港証券取引所へ上場しているリート（不動産投資信託）であるSpring REITの管理運営を行うなどの実績を上げています。　日本やその他の先進国においても、主にバリュー投資やキャッシュ・フロー投資戦略のアプローチも取り込んでおります。 ⑤　キャッシュ・フロー投資戦略（ＣＦ投資戦略）：［資産投資］　社会インフラ関連、賃貸不動産など、安定的なキャッシュ・フロー収入が期待できる資産に対するファンド投資を通じ、一定のキャッシュ・フローをもたらす金融商品として投資家へ提供しています。安定したリターンの確保には、資産の種類だけでなく、資産管理体制も重要なファクターであり、マーキュリアインベストメントではそれぞれの分野でグローバルなフランチャイズや実績を持つパートナーと組み、投資機会の発掘や運用管理を行っています。　キャッシュ・フロー投資戦略は、従前は不動産投資戦略と一体として取り組んで参りましたが、今後は国内外の投資家に対して安定運用機会を提供すべく、独立した戦略としてより強化していく分野となります。 　マーキュリアインベストメントグループの主な収益は以下のとおりです。(1）ファンド運用事業　マーキュリアインベストメントグループは、投資事業組合等のファンドを組成し、国内外投資家から資金調達、投資対象の発掘、投資対象への投資実行、投資対象のモニタリング、投資対象の売却等による投資回収等の管理運営業務を行うことでファンドより管理報酬を得ております。また、投資家に対する分配実績や投資家の投資採算等に応じてファンドより成功報酬を得ております。 (2）自己投資事業　マーキュリアインベストメントグループは、主にマーキュリアインベストメントが管理運営を行うファンドに対して自己投資を実行し、当該ファンドにおける持分損益を得ております。また、自己投資対象からの配当や自己投資対象の売却による売却益を得ております。 ［事業系統図］ 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社は新設会社ですので、該当事項はありません。なお、当社の完全子会社となるマーキュリアインベストメントの連結の業績等の概要については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）をご参照ください。 
事業等のリスク	２【事業等のリスク】　当社は本届出書提出日現在において設立されておりませんが、本株式移転によりマーキュリアインベストメントの完全親会社となるため、当社の設立後は、本届出書提出日現在におけるマーキュリアインベストメントグループの事業等のリスクが当社グループの事業等のリスクとなり得ることが想定されます。マーキュリアインベストメントグループの事業等のリスクを踏まえた当社グループの事業等のリスクは以下のとおりです。　なお、本項においては、将来に関する事項が含まれておりますが、当該事項は、別段の記載のない限り、本届出書提出日現在において判断したものです。■事業環境に関するリスク(1）経済環境及び投資環境に係るリスク①　株式環境　当社グループは、自己資金及び当社グループが管理運営するファンドの資金により投資を行い、投資先企業の株式上場による株式市場での売却や第三者等への売却によるキャピタルゲイン、並びに管理運営するファンドからの管理報酬及び成功報酬を得ることを基幹業務としております。　このため、当社グループの経営成績及び財政状態は世界各国の株式市場及び投資対象地域の経済環境の影響を受けることとなります。世界経済が不況に陥った場合、投資先企業の業績の不振が当社グループの投資資産価値の減価につながる可能性がある他、投資資金を回収する局面において株式市場が活況でなく新規株式上場市場も低調である場合や、地震、火災、テロ、戦争等の災害の発生により経済環境が低迷し、売却交渉に悪影響を与える場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 ②　不動産環境　当社グループは、現在、中国にて不動産を対象としたファンドの管理運営を行っております。このため、中国での不動産市況の影響を受けることとなります。　今後、経済のファンダメンタルズの急速な悪化や税制・金融政策の大幅な変更が行われた場合、地震、火災、テロ、戦争等の災害が発生した場合には、不動産投資市場も中期的に悪影響を受け、投資環境が悪化し、国内外の投資家の投資マインドの低迷等が生ずる可能性があります。そのような事態が発生した場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。　また、不動産には土壌汚染や建物の構造上の欠陥など、不動産固有の瑕疵が存在している可能性があります。当社グループは、投資不動産の瑕疵等による損害を排除するため、投資前には専門業者によるエンジニアリングレポート（対象不動産の施設設備等の詳細情報や建物の修繕履歴、地震リスクや地盤調査の結果等を記したもの）等を取得するなど十分なデューデリジェンス（投資対象の調査）を実施しておりますが、投資不動産取得後に瑕疵が判明し、それを治癒するために追加の費用負担が生じた場合には、当社グループの業績に影響を及ぼす可能性があります。 (2）業績変動リスク　当社グループは、投資先企業の株式上場による株式市場での売却や第三者等への株式等売却によるキャピタルゲインを主たる収益の１つとしております。売却時における売却価額は、収益計上される会計年度の株式市況や個々の投資先企業の特性、その他様々な要因の影響を受けて想定外に変動する可能性があります。また、当社グループがファンドから受け取る成功報酬は、ファンドごとに受け取る時期が異なり、ファンドの満期が十分に分散していない現状においては、その年により受け取る成功報酬の額が大きく変動する可能性があります。その結果、会計年度によって得られるキャピタルゲインの金額が大きく変動し、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (3）未上場株式等への投資に係るリスク　当社グループは、未上場株式等を投資対象としており、未上場株式等への投資については以下のようなリスクがあります。①　当社グループが投資対象とする未上場企業は、成長過程にある企業であるため、収益基盤や財務基盤が不安定であったり、経営資源も限られるといったリスク要因を内包しております。そのため、投資後に企業価値が低下したり、倒産するなどして損失が発生する可能性があります。②　当社グループによる未上場株式等への投資から株式上場もしくは第三者等への売却に至るまでには通常長期間を要するため、途中で業績悪化等により当該投資先の企業価値が当初の見込みと異なって変動する可能性がある他、経済環境や株式市場動向等外部要因の影響を受けて投資採算が当初の見込みと大幅に異なり、キャピタルゲインの減少、もしくはキャピタルロスや評価損が発生する可能性があります。③　当社グループが投資対象とする未上場株式等は、上場企業の株式等に比較して流動性が著しく低いため、投資回収において、その取引参加者の意向により取引条件が大きく変動し、当社グループの希望する価額・タイミングで売却できる保証はなく、キャピタルロスが発生したり、長期間売却できない可能性があります。 (4）株価下落等のリスク　当社グループは、投資先企業の株式上場等により、市場性のある株式を保有しております。株式市場において株価が下落した場合、保有有価証券に評価損が発生する恐れがあるとともに、株式売却によって得られるキャピタルゲインが減少するなど、当社グループの経営成績及び財政状態に影響を与える可能性があります。　また、新規上場銘柄のうち一部の銘柄につきましては、各証券取引所の関連規則又は投資先企業との契約によって上場後一定期間売却が制限されることがあります。当該期間中に株価が上昇した場合には、売却機会を逃すことによる機会損失が発生する可能性があります。 (5）為替リスク　マーキュリアインベストメントグループにつきまして、Spring REITの営業収益が連結営業収益に占める割合は第16期連結会計年度において、13.8％になります。Spring REITからの営業収益は香港ドルでの取引となりますので、香港ドルの為替の変動によっては、当社グループの経営成績及び財政状態に影響を与える可能性があります。　また、当社グループは、海外での地域分散投融資を行っているため、保有する外貨建資産につきましては、外国為替の変動の影響を受けます。 (6）他社との競合に係るリスク　投資運用業、特に投資助言業は、金融業界の他業種に比べると参入障壁が比較的低い業種であり、常に国内外からの新規参入者との競合を覚悟する必要があります。また、グローバルレベルでの資産運用ニーズの高まりは資産運用業界全体にとっての追い風ではありますが、これにより新規参入が将来にわたってさらに促進される可能性があると共に、国内外の大手金融機関が資産運用サービスを経営戦略上重要なビジネスと位置づけ、積極的に経営資源を投入してくるケースも想定されます。また、業界内での統廃合によって、当社グループの競合他社の規模や体力が増強されることがあります。さらに、競合他社が当社グループのファンドマネージャーやその他の従業員の移籍・採用を図る可能性もあります。　この様に他社との競合は激化していくことが予想され、その場合には、顧客の獲得や維持に困難が生じるだけでなく、管理報酬料率や成功報酬料率の水準にも影響を及ぼし、当社グループの業績に影響が及ぼす可能性があります。 (7）ファンド運用に係る訴訟リスク　当社グループが無限責任組合員又はゼネラルパートナーとしての善管注意義務違反により、訴訟等を受ける可能性があり、損害賠償義務を負った場合は、損害賠償に加えて社会的信用が低下し、当社グループの事業活動、経営成績及び財政状態に影響を及ぼす可能性があります。 (8）投資先企業への役員派遣に係る訴訟リスク　当社は投資先企業の価値向上のため、役職員を投資先企業の役員として派遣することがあります。その役職員個人に対し役員損害賠償請求等があった場合、当社がその個人に生じた経済的損失の全部又は一部を負担する可能性があるほか、当社グループに使用者責任が発生する可能性があります。 (9）法的規制に係るリスク①　全般　当社グループは、本邦、香港、ケイマン諸島などのオフショアと呼ばれる地域各国において、ファンド運用事業及び自己投資事業等を行っているため、これらの地域における法的規制（会社法、金融商品取引法、独占禁止法、租税法、投資事業有限責任組合契約に関する法律、外国為替管理法、財務会計関連法規等）の適用による影響を受けるほか、これらの規制との関係で費用が増加する場合があり、当社グループの事業活動、経営成績及び財政状態に重大な影響を及ぼす場合があります。 ②　金融商品取引法・金融商品取引業登録　マーキュリアインベストメントは、ファンドの私募の取扱い又はファンド運用事業につき金融商品取引法第29条に基づき第二種金融商品取引業、投資運用業、投資助言・代理業を行うための登録を行っております（有効期限：なし）。マーキュリアインベストメントは、金融商品取引法に基づく規制に服しており、現時点において当該事業の業務遂行に支障を来す要因は発生していません。しかしながら、金融商品取引法第52条第１項（金融商品取引業者に対する監督上の処分）の各号の一つに該当する場合には、金融商品取引業登録を取消されるため、将来的に法令違反その他何らかの理由により、同法第52条第１項に基づき上記の登録について取消等の処分を受けた場合、ファンド運用事業の業務遂行に支障をきたすと共に、当社グループの社会的信用力が低下し、事業活動、経営成績及び財政状態に悪影響を及ぼす可能性があります。 ・適格機関投資家等特例業務及び特例投資運用業務　マーキュリアインベストメントは、ファンド運用事業につき金融商品取引法第63条に基づく適格機関投資家等特例業務及び同法附則第48条第１項に基づく特例投資運用業務を営むに当たり、届出を行っております。この届出により当社が運用するファンドは、法律上求められる一定の要件を満たす必要があります。現時点において当該事業の業務遂行に支障を来す要因は発生していません。しかしながら、将来的にこれらの要件を満たせなくなった場合又は適用法令の解釈の変更その他何らかの理由により適格機関投資家等特例業務又は特例投資運用業務に該当しなくなった場合、当該事業の業務遂行に支障をきたす可能性があり、その場合には当社グループの社会的信用力が低下し、事業活動、経営成績及び財政状態に影響を及ぼす可能性があります。 ③　不動産投資顧問業登録規程　マーキュリアインベストメントは、ファンド運用事業において、不動産投資についての投資助言業務及び不動産投資についての投資一任契約に基づく不動産取引等を行うために、不動産投資顧問業登録規程第３条第１項に基づき不動産投資顧問業の登録を行っています（有効期限：2025年10月）。現時点において当該事業の業務遂行に支障を来す要因は発生していません。しかしながら、将来的に法令違反その他何らかの理由により、同規程第30条に基づき上記の登録の取消等の処分を受けた場合又は登録の更新を行わないまま登録の有効期限を徒過した場合、ファンド運用事業の業務遂行に支障をきたすと共に、当社グループの社会的信用力が低下し、事業活動、経営成績及び財政状態に影響を及ぼす可能性があります。 ④　宅地建物取引業法　マーキュリアインベストメントは、不動産投資顧問業の登録の前提となる、宅地建物取引業第３条第１項に基づき宅地建物取引業の免許を取得しています（有効期限：2025年８月）。現時点において上記の免許の維持に支障を来す要因は発生していません。しかしながら、将来的に法令違反その他何らかの理由により、同法第66条に基づき上記の免許の取消等の処分を受けた場合又は免許の更新を行わないまま免許の有効期限を徒過した場合、宅地建物取引業の免許を失うことにより、不動産投資顧問業の登録が取り消されることになり、ファンド運用事業の業務の遂行に支障を来すと共に、当社グループの社会的信用力が低下し、事業活動、経営成績及び財政状態に影響を及ぼす可能性があります。 ⑤　香港証券先物条例（Securities And Futures Ordinance,Cap.571）　当社のグループ会社であるSpring Asset Management Limitedは、香港市場において上場しているSpring Real Estate Investment Trustの管理業務を行うに当たり、香港証券先物委員会よりType9（アセットマネジメント）のラインセンスを受けております（有効期限：なし）。また、Spring Real Estate Investment Trustは、同条例に基づき、上場の認可を得ています。現時点において当該事業の業務遂行に支障を来す要因は発生していません。しかしながら、Spring Real Estate Investment Trustの認可が取消された場合、Spring Real Estate Investment Trustの運用会社でなくなった場合には、ライセンスを取消されるため、ライセンスの取消等がなされた場合、当該事業の業務遂行に支障をきたすと共に、当社グループの社会的信用力が低下し、事業活動、経営成績及び財政状態に影響を及ぼす可能性があります。 (10）資金調達に係るリスク　当社グループは、無限責任組合員又はゼネラルパートナーとして、ファンドの収益を直接享受する目的で自ら管理運営するファンドに自己資金による投資を行っておりますが、今後、資金調達が想定通りにいかない場合には、ファンドの運用に支障をきたす恐れがあります。また、自己資金による投資資金の調達を多額の借入金により調達する場合には、有利子負債が増加する可能性があり、当社グループの財政状態等に影響を及ぼす可能性があります。 ■事業体制及び業績に関するリスク(1）小規模組織であることについて　マーキュリアインベストメントは、第16期連結会計年度末現在において、取締役７名、監査役３名（うち非常勤監査役２名）、グループ全体で従業員数61名と小規模組織であり、内部管理体制もこの規模に応じたものとなっております。当社グループでは、今後の事業拡大に対応すべく人員増強等によりさらなる組織力の充実を図っていく所存でありますが、人材の確保及び内部管理体制の充実が円滑に進展しない場合、既存の人材が社外に流出した場合には、当社グループの事業運営に影響を及ぼす可能性があります。 (2）特定人物への依存について　当社の代表取締役である豊島俊弘は、最高経営責任者として経営方針や事業戦略の決定に加え、投資案件の発掘等、当社グループの事業推進上、重要な役割を果たしております。　このため当社では、代表取締役へ過度に依存しない経営体制を目指し、人材採用、育成による経営体制の強化を図り、経営リスクの軽減に努めておりますが、不測の事態により、同氏が当社の経営者として業務を遂行することが困難になった場合には、当社グループの業績及び今後の事業展開に影響を及ぼす可能性があります。 (3）有能な人材の確保、育成について　当社グループの営む事業は、金融及び不動産の分野において高い専門性と豊富な経験を有する人材により成り立っており、今後の事業展開において有能な人材を確保・育成し、成長への基盤を確固たるものとする方針であります。しかし、必要とする人材の確保・育成が計画どおりに実現できなかった場合には、当社グループの業績及び今後の事業展開に影響を及ぼす可能性があります。　また、人材の確保・育成が順調に行われた場合でも、採用・研修に係るコスト、人件費等の固定費が増加することが想定され、当該コスト増に見合う収益の成長がない場合には、当社グループの業績に影響を及ぼす可能性があります。 (4）個人情報の取扱いについて　当社グループでは、事業活動を通じて取得した個人情報及び当社グループの役職員に関する個人情報を保有しております。当社グループでは、個人情報の取扱いについては個人情報保護規程を策定の上、細心の注意を払っております。　しかしながら、万一、当社グループの保有する個人情報が外部に漏洩した場合あるいは不正使用された場合には、信用の失墜又は損害賠償等により当社グループの業績に影響を及ぼす可能性があります。 (5）特別目的会社の連結に係る方針について　当社グループがファンドの組成のために設立し、管理運営業務を受託している特別目的会社（ＳＰＣ）については、当社グループの匿名組合出資比率や支配力等の影響度合いを勘案し、「連結財務諸表に関する会計基準」（企業会計基準第22号）、「連結財務諸表における子会社及び関連会社の範囲の決定に関する適用指針」（企業会計基準適用指針第22号）、及び「投資事業組合に対する支配力基準及び影響力基準の適用に関する実務上の取扱い」（企業会計基準委員会実務対応報告第20号）等に基づき、個別に連結の要否を決定しております。　本届出書提出日現在において、当社グループが顧客の資産を運用するファンドに係るＳＰＣについては、顧客との共同投資（セイムボート投資）の有無にかかわらず、当社グループが実質的な支配力を有していないため、上記の会計基準をふまえ、連結の範囲に含めていないものがあります。　今後、ＳＰＣの連結の範囲に関する会計基準が改正された場合には、当社グループの連結の範囲に変更が生じ、当社グループの業績及び財政状態に影響を及ぼす可能性があります。　また、当社は、今後においては、連結の範囲にＳＰＣが含まれることとなるようなセイムボート投資を行うことを想定しておりませんが、個別に連結の要否を判断した結果、セイムボート投資に係るＳＰＣが連結の範囲に含まれることとなった場合には、当社グループの業績及び財政状態に影響を及ぼす可能性があります。 (6）特定事業への依存について　当社グループでは、当社グループ会社であるSpring Asset Management Limitedにおいて香港証券取引所へ上場しているSpring REITの管理運営を行っております。　マーキュリアインベストメントの2020年12月期連結財務諸表において、グループ連結営業収益に対してSpring REITの営業収益は13.8％を占めておりますので、Spring REITの業績の変動により、当社グループの業績に影響を及ぼす可能性があります。　Spring Asset Management LimitedはSpring REITからの管理報酬の一部をREIT投資口にて受け取っておりますので、香港ドルの為替の変動及びSpring REITの投資口価格の変動により、当社グループの業績に影響を及ぼす可能性があります。　また、Spring REITにおいて管理報酬体系の変更や管理運営会社の変更がなされた場合には、Spring Asset Management Limitedにおいて管理報酬の減額や管理報酬の喪失が生じますので、当社グループの業績に影響を及ぼす可能性があります。 (7）自己勘定投資（自己資金による投資）が業績に与える影響について　当社グループは、ファンド組成上の要請に応じて、顧客との共同投資（セイムボート投資）の形で、当社グループが管理運営を行うファンド等に対して投資を行っております。　これらの自己勘定投資については、投資リスクの吟味のため、社内諸規程に従い経営会議、取締役会等により慎重な審議を経た上で行うこととしておりますが、外部環境の悪化等により投資収益が悪化し、あるいは投資対象の評価損が発生した場合には、当社グループの業績及び財政状態に影響を及ぼす可能性があります。 (8）配当政策について　当社は、株主への利益還元を経営の最重要課題として認識しており、内部留保を確保しつつ、財政状態及び経営成績並びに経営全般を総合的に判断し、業績に応じた株主への利益還元を継続的に行っていくことを基本方針としております。 (9）新株予約権の行使による株式価値の希薄化について　当社は、企業価値の向上を意識した経営の推進を図るとともに、役員及び従業員の業績向上に対する意欲を高めることを目的として、役員及び従業員にストックオプション（新株予約権）を付与しております。マーキュリアインベストメントの第16期連結会計年度末時点で、新株予約権による潜在株式数は281,400株であり、同日現在の発行済株式総数17,644,900株の1.6％に相当しております。当社の新株予約権が行使された場合には、１株当たりの株式価値が希薄化することになります。 (10）親会社等との関係について　本書提出日現在において、マーキュリアインベストメントの発行済株式は、㈱日本政策投資銀行に24.5％所有されており、本株式移転後も当社は同社の関連会社となります。同社に関する当社株式への出資は成長投資、バイアウト投資及び不動産投資等の分野において協業を行うための投資であります。当社グループとしては今後も同社との協業を継続していく方針です。　また、同社グループに当社グループと同様の事業を営む会社はあるものの、事業領域が異なることから、現在競合となりうる状況は発生しておらず、今後発生する見込みも現時点ではありません。　今後、同社の経営方針の変更により、出資比率等が変更になる可能性があります。その場合、当社の事業展開及び業績に何らかの影響を及ぼす可能性があります。１）役員の招聘　本書提出日現在において、マーキュリアインベストメントは以下の通り同社の役職員との兼任状況が継続しておりますが、業務・管理両面からの経営体制の強化を図る目的で、広い視野と経験に基づいた経営全般の助言を得ることを目的としているものであります。当社グループにおける役職氏名各社における役職取締役（非常勤）富田　康之㈱日本政策投資銀行企業投資部課長 ２）従業員の受入れ　当社グループは人事交流のため、同社から２名の出向者を受け入れております。なお、受入出向者は、当社グループの重要な意思決定に大きな影響を与える職位ではありません。 ３）ファンドへの出資　当社グループが運営するファンドに対して、同社から出資を受け入れております。 (11）資金使途について　新規上場及び東証一部への市場変更時における公募増資等の調達資金の使途は、キャッシュ・フロー投資戦略に基づく新規ファンドへの自己投資資金（間接投資となる場合を含みます）、航空機リースファンドへの自己投資資金（間接投資となる場合を含みます）、キャッシュ・フロー投資及び事業投資において投資を予定している投資案件への自己投資資金（ファンド経由の出資となる場合を含みます）として各々充当する方針であります。当社グループは、これらの計画の実現に注力いたしますが、外部環境の変化等により、現時点における資金使途計画以外の使途へ充当する可能性があります。また、当初想定通りの時期に投資できない場合や、投資が実現した場合でも、当初想定した収益の確保が困難となった場合には、当社グループの業績に影響を及ぼす可能性があります。 (12）持株会社体制への移行に関するリスク　マーキュリアインベストメントは2021年７月１日に当社を設立する予定でありますが、今後、本件に関り、予期せぬ損失及び費用が発生した場合、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社は新設会社ですので、該当事項はありません。　なお、当社の完全子会社となるマーキュリアインベストメントの経営者によるマーキュリアインベストメントグループの財政状態、経営成績及びキャッシュ・フローの状況の分析については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）及び四半期報告書（2020年５月14日、2020年８月13日、2020年11月12日提出）をご参照ください。 
経営上の重要な契約等	４【経営上の重要な契約等】　当社は新設会社ですので、該当事項はありません。　なお、当社の完全子会社となるマーキュリアインベストメント及びグループ各社の経営上の重要な契約等については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）及び四半期報告書（2020年５月14日、2020年８月13日、2020年11月12日提出）をご参照ください。　また、本株式移転に係る株式移転計画、株式移転の目的、条件等については、前記「第二部　組織再編成、株式交付又は公開買付けに関する情報　第１　組織再編成、株式交付又は公開買付けの概要　３　組織再編成、株式交付又は公開買付けに係る契約等」をご参照ください。 
研究開発活動	５【研究開発活動】　当社は新設会社ですので、該当事項はありません。　なお、当社の完全子会社となるマーキュリアインベストメント及びグループ各社の研究開発活動については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）及び四半期報告書（2020年５月14日、2020年８月13日、2020年11月12日提出）をご参照ください。 
設備投資等の概要	１【設備投資等の概要】(1）当社　当社は新設会社ですので、該当事項はありません。(2）連結会社　当社の完全子会社となるマーキュリアインベストメント及びグループ各社の設備投資等の概要については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）をご参照ください。 
主要な設備の状況	２【主要な設備の状況】(1）当社　当社は新設会社ですので、該当事項はありません。(2）連結会社　当社の完全子会社となるマーキュリアインベストメント及びグループ各社の主要な設備の状況については、マーキュリアインベストメントが関東財務局長に提出した有価証券報告書（2020年３月30日提出）をご参照ください。 
株式の総数	①【株式の総数】　2021年７月１日時点の当社の状況は以下のとおりとなる予定です。種類発行可能株式総数（株）普通株式45,000,000計45,000,000
発行済株式、株式の総数等	②【発行済株式】種類発行数（株）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式17,644,900(注）１、２東京証券取引所市場第一部完全議決権株式であり、権利内容に何ら限定のない、当社における標準となる株式です。また、１単元の株式数は100株であります。（注）３計17,644,900――　（注）１．2020年12月31日現在におけるマーキュリアインベストメントの発行済株式総数に基づいて記載しております。ただし、本株式移転の効力発生に先立ち、マーキュリアインベストメントの発行済株式総数が変化した場合には、当社が交付する上記新株式数は変動いたします。なお、基準時においてマーキュリアインベストメントが保有する自己株式に対しては、その同数の当社の普通株式が割当交付されることになります。これに伴い、マーキュリアインベストメントは一時的に当社の普通株式を保有することになりますが、その処分方法については、効力発生後、法令等に基づき速やかに処理する予定であります。２．マーキュリアインベストメントは、当社の株式について、東京証券取引所に新規上場申請を行う予定です。３．当社の定める振替機関の名称及び住所は、以下のとおりであります。名称　株式会社　証券保管振替機構住所　東京都中央区日本橋茅場町二丁目１番１号 
