項目	値
事業の内容	３【事業の内容】　当社は、持株会社として、グループ戦略の立案・決定のほか、グループ会社の事業活動の管理、その経営の支援や指導等、グループ会社の経営管理（企画、人事、財務、経理、総務業務等）と研究開発や技術サポート及びこれに附帯又は関連する業務を行う予定です。　また、当社の完全子会社となるリファインバース及びグループ各社の主な事業の内容は以下のとおりです。　本届出書提出日現在、リファインバース及びグループ各社は、リファインバース及び連結子会社２社（株式会社ジーエムエス、リファインマテリアル株式会社）で構成し、製造業におけるプロダクトライフサイクル（製品製造工程）における、廃棄物の再資源化を目的とした事業展開を行っており、現在の事業区分は再生樹脂製造販売事業及び産業廃棄物処理事業となっております。　再生樹脂製造販売事業においては、リファインバースの設立当初から使用済みカーペットタイルの再資源化に着目しており、廃棄されたカーペットタイルに対してリファインバース及びグループ各社の独自技術により再生処理を行い再度カーペットタイルの製造に利用できる合成樹脂製品として販売しております。また直近では、カーペットタイルの再資源化により排出されるナイロンを利用して、製鉄所で使用する製鋼副資材を生産、販売する事業や、使用済みの漁網やエアバッグの工場端材を再資源化して、再生ナイロン樹脂製品として販売する事業、廃棄物処理設備の販売や廃棄物処理問題の課題解決に向けたコンサルティングを行うソリューション事業等、再資源化事業における領域の拡大を図っております。　産業廃棄物処理事業は主として、首都圏で排出される建築系廃棄物の収集運搬・中間処理を行っております。　リファインバース及びグループ各社では、再生樹脂製造販売事業をリファインバース及びリファインマテリアル株式会社が行っており、産業廃棄物処理事業を株式会社ジーエムエスで行っております。　事業の系統図は、概ね次のとおりであります。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社は新設会社であるため、該当事項はありません。なお、当社の完全子会社となるリファインバースの経営方針、経営環境及び対処すべき課題等については、リファインバースの有価証券報告書（2020年９月30日提出）及び四半期報告書（2020年11月13日及び2021年２月12日提出）をご参照ください。 
事業等のリスク	２【事業等のリスク】　当社は本届出書提出日現在において設立されておりませんが、本株式移転によりリファインバースの完全親会社となるため、当社の設立後は、本届出書提出日現在におけるリファインバース及びグループ各社の事業等のリスクが当社グループの事業等のリスクとなり得ることが想定されます。リファインバース及びグループ各社の事業等のリスクを踏まえた当社グループの事業等のリスクは以下のとおりです。　なお、本項においては、将来に関する事項が含まれておりますが、当該事項は、別段の記載がない限り、本届出書提出日現在においてリファインバースが判断したものです。  （再生樹脂製造販売事業に関するリスクについて）(1）オフィス需要による変動について　再生樹脂製造販売事業において原料となる使用済みカーペットタイルの排出量は、その利用実態から企業のオフィス移転並びにオフィスの建替えや補修の影響を受けます。加えて、当社グループが販売する再生樹脂製品の大部分が再生カーペットタイルの原料として利用されていることから、当社グループの再生樹脂製品の販売量は、新規オフィスの供給量や企業のオフィス移転等のオフィス需給動向に依存します。足許においては以下のとおり、都心５区（千代田区、中央区、港区、新宿区、渋谷区）における新規オフィス供給量が増加する一方で、オフィス空室面積も減少傾向にあるため、当社グループの再生樹脂製品の需要は増え、業績にはプラスに働いているものと考えておりますが、産業の空洞化によるオフィスの海外移転等によって国内での企業のオフィス移転ニーズが衰退し、原材料となる使用済みカーペットタイルの調達量が確保できず、再生樹脂が十分に製造できない場合や、カーペットタイルの需要が減少する場合には当社グループの経営成績に影響が及ぶ可能性があります。 2014年2015年2016年2017年2018年2019年オフィス供給量（年間、千坪）254239343250460308オフィス空室面積（年末、千坪）391289262229141118 (2）市場動向について　カーペットタイルの国内市場は安定的な需要が見込まれるものの、今後の国内での成長余地はそれほど大きくはない状況にあります。一方でカーペットタイル市場での再生原料を使った製品比率は増加傾向にあり、今後も環境配慮型製品の市場ニーズの高まりによって再生原料の需要は高まっていくと予測しております。しかしながら、カーペットタイルの市場が大幅に縮小する等により再生原料の需要が想定通り推移しない場合は、当社グループの経営成績に影響が及ぶ可能性があります。 (3）最終処分費用の動向について　当社グループは産業廃棄物の中間処理業として使用済みカーペットタイルを回収し、当該回収物を原料として再生樹脂の製造販売を行っております。現在当社グループの回収が継続的に実現できている背景としては、排出業者等が支払う廃棄費用を比較した場合、最終処分委託費用よりも当社グループに支払う中間処理委託費用が割安であることが挙げられます。最終処分場の処理容量の残存年数は2017年度時点で全国では16.4年、首都圏では5.0年（参考資料：環境省産業廃棄物処理施設の設置、産業廃棄物処理業の許可等に関する状況（2017年度実績））と逼迫しているため、現状の料金構造は変わらないものと想定しておりますが、今後新たな最終処分場が造成されたり、海外での受け入れ先が確保されたりする等の要因により大きな構造転換が生じコストが逆転した場合は、当社グループの使用済みカーペットタイル回収量が減少し、当社グループの経営成績に影響が及ぶ可能性があります。 (4）バージン樹脂の原材料等の市況変動について　当社グループの提供する再生樹脂は石油由来のバージン樹脂と比較した場合の価格優位性が差別化要因の一つとなっているものと認識しております。そのため、現状においてもバージン樹脂と比較して価格優位性は保っておりますが、原油相場や為替動向により石油由来のバージン樹脂の価格が現状よりも大きく低下した場合、価格優位性が失われることで当社グループの経営成績に影響が及ぶ可能性があります。 (5）特定の取引先等への依存について①　特定の業界への依存　当社グループは使用済みカーペットタイル由来の再生樹脂を販売しており、当該製品の大部分は株主である住江織物株式会社をはじめとした各インテリアメーカーのカーペットタイル製品の原料として利用されております。報告セグメントにおける再生樹脂製造販売事業の売上高の約半分以上は最終的にはインテリアメーカーに対して供給されているものと当社は認識しております。本届出書提出日現在、リファインバース及びグループ各社が生産する再生樹脂は、環境対応製品として需要が増加しているものと認識しておりますが、各取引先とは納入数量、価格等に関する長期納入契約を締結しておりません。従って、カーペットタイル市場の需要の増減により当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。  ②　特定の取引先への依存　再生樹脂製造販売事業においては、住友商事株式会社及び住友商事株式会社の100％出資子会社である株式会社スミテックス・インターナショナルへの売上高がリファインバース及びグループ各社の連結売上高に対して、9.1％（2020年６月期）を占めております。本届出書提出日現在、住友商事株式会社はリファインバースの株主でもあり、良好な関係を続けておりますが、当該企業の事情や事業戦略の変更又は、当社グループの競争力の低下等により、当該企業との取引が大きく減少するような場合は、当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。 (6）新製品開発について　本届出書提出日現在、リファインバース及びグループ各社は、素材を再生させる独自技術を核とする事業展開を目指して、継続的に研究開発を行っております。使用済みカーペットタイルの繊維部分を原料とした製鋼副資材、及び自動車エアバッグの基布や使用済み漁網を原料とした再生ナイロンの製造に向けた研究開発を行い、ナイロン再生設備に関する設備投資を行いました。当社グループは、製鋼副資材の市場価値及びナイロン原料としての汎用性から十分な収益性があるものと認識しておりますが、新たな技術開発を行う場合、一般的に以下のリスクがあります。１）技術の急激な進歩、顧客の要求の変化、規格・標準の変動に対し、当社グループが開発している製品が適合できない可能性があること２）開発技術が確立したとしても、安定的に一定品質の製品製造を継続することができない可能性があること３）販売価格が顧客要求水準と合わないこと４）新製品や新技術の開発に必要な資金や資源を十分に投入できる保証がないこと５）新製品又は新技術の市場投入の遅れにより、当社グループの製品が陳腐化する可能性があること６）新製品・新技術を開発したとしても、市場からの支持を広く獲得できるとは限らず、これらの製品の販売が成功する保証がないこと　上記リスクをはじめとして、当社グループが顧客ニーズや市場ニーズの変化を的確に把握することができず、魅力ある新製品を開発できない場合には、研究開発費及び設備投資額を回収できない可能性及び、当社グループの将来の成長と収益性を低下させ、経営成績及び財政状態に影響が及ぶ可能性があります。 (7）技術革新について　本届出書提出日現在、リファインバース及びグループ各社における再生樹脂製造は、基幹技術である軟質樹脂製品の切削加工及び破砕分級技術によって支えられています。当該技術はリファインバース及びグループ各社独自のものであり、これにより競合他社と比べ高品質の再生樹脂を低コストで製造できていると考えております。当社グループとしては、研究開発を積極的に実施し、より高品質・低コスト化を目指していく方針ではございますが、当該技術を上回る技術が開発された場合には、当社グループの競争優位性が低下する結果、当社グループの事業戦略及び経営成績に影響が及ぶ可能性があります。 （産業廃棄物処理事業に関するリスクについて）(8）事故及び労働災害について　産業廃棄物処理事業では、解体工事や廃棄物の仕分け作業の中で、トラックやフォークリフト等大型機械の操作を含め多数の危険を伴う業務があります。本届出書提出日現在、リファインバース及びグループ各社では事故並びに労働災害の発生を防ぐべく、労務・安全管理に十分留意しながら事業を遂行しております。しかしながら事故や労働災害の発生リスクは常に存在しており、今後当該リスクが顕在化した場合は、損害賠償請求の発生等により当社グループの経営成績及びレピュテーションに影響が及ぶ可能性があります。 (9）中間処理施設容量について　本届出書提出日現在、産業廃棄物処理事業に関連してリファインバース及びグループ各社では２つの中間処理施設を保有し、当該施設で回収した廃棄物の分類等を行っております。現在のところ当該２施設の処理容量は十分確保されており、業務遂行は問題なく行われております。しかしながら今後取引先の産業廃棄物の排出量が急激に増加し、両施設の許容量一杯の廃棄物が搬入された場合、又はなんらかのトラブルにより中間処理業務が滞った場合は、新規での受け入れが困難となります。そのような場合は当社グループの経営成績に影響が及ぶ可能性があります。  （当社グループ経営全般について）(10）知的財産権について　本届出書提出日現在、リファインバース及びグループ各社の主要製品である使用済みカーペットタイルから製造される再生樹脂の製造方法については、第三者への技術流出を回避するため、詳細な技術については特許出願を行っておりません。現在技術優位性はあるものと認識しておりますが、特許権等を有していないため、競合他社が当社グループと同じような製品を製造する技術開発を行い、事業展開した場合、あるいは人材流出等によりノウハウが外部に流出した場合、当社グループの経営成績に影響が及ぶ可能性があります。　他方、他社の有する知的財産権についても細心の注意を払っておりますが、万が一他社の有する知的財産権を侵害したと認定され、損害賠償等の責任を負担する場合には、当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。 (11）情報管理に関するリスク　技術等のノウハウや顧客情報、個人情報等の重要情報の管理は、当社グループ事業の根幹をなすものであります。本届出書提出日現在、リファインバース及びグループ各社では、社内管理体制を整備し、従業員に対する情報管理やセキュリティ教育等、情報の管理について対策を講じておりますが、情報の漏洩が全く起きないという保証はありません。万が一、情報の漏洩が起きた場合、当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。 (12）法規制等について　当社グループの事業活動の前提となる事項に係る主要な法規制及び行政指導は、次に記載のとおりであります。当社グループがこれらの規制に抵触することになった場合には、事業の停止命令や許可の取消し等の行政処分を受ける可能性があります。　また、次の一覧表記載以外にも収集運搬過程では道路運送車両法や自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法等、処分過程においては労働安全衛生法、環境保全やリサイクルに関する諸法令による規制を受けております。（主要な法規制）対象法令等名監督官庁法規制の内容収集運搬（積替保管含む）廃棄物の処理及び清掃に関する法律環境省産業廃棄物の収集運搬に関する許可基準、運搬及び保管、委託契約、マニフェストに関する基準が定められております。中間処理廃棄物の処理及び清掃に関する法律環境省産業廃棄物の中間処理に関する許可基準、運搬及び保管、委託契約、マニフェストに関する基準が定められております。 （主要な行政指導）対象監督官庁行政指導法規制の内容施設の設置及び維持管理各自治体施設の設置及び維持管理の指導要綱廃棄物処理施設の設置及び維持管理に関する基準が定められております。 県外廃棄物規制各自治体県外廃棄物の指導要綱県外からの廃棄物の流入規制に関する基準が定められております。 　「廃棄物の処理及び清掃に関する法律」（以下「廃掃法」といいます。）は、1997年と2000年に大改正が行われましたが、その後も2003年以降毎年のように改正され、廃棄物排出事業者責任や処理委託基準、不適正処理に対する罰則などの規則が強化されております。特に2010年の改正では、廃棄物排出事業者責任の強化のための規定が多数追加されたことに伴い、廃棄物排出事業者により処理業者に対する監視も厳しくなってきております。また、2000年６月には「循環型社会形成推進基本法」が制定され、廃棄物を再生可能な有効資源として再利用すべくリサイクル推進のための法律が施行されております。当社グループの事業に関係する「建設工事に係る資材の再資源化等に関する法律」など各産業、素材別のリサイクル関係法令が整備されております。更に、環境問題に対する世界的な関心の高まりもあり、廃棄物の再生資源としての循環的利用、環境負荷の低減に対する社会的ニーズが高まっております。本届出書提出日現在、リファインバース及びグループ各社は、法規制の改正等をむしろビジネスチャンスとして、積極的に廃棄物の処理及び再資源化事業に投資を行っておりますが、今後の法規制及び行政指導の動向によっては当社グループの経営成績に影響が及ぶ可能性があります。①　許可の更新、範囲の変更及び新規取得について　産業廃棄物処理事業は各都道府県知事の許可が必要であり、事業許可は有効期限が５年間（優良産業廃棄物処理業者認定制度による優良認定を受けた場合は７年間）で、事業継続には更新が必要となります。また、事業範囲の変更及び他地域での事業開始、処理施設の新設・増設に関しても別途許可が必要です。　当社グループのこれらに関する申請が廃掃法第十四条第５項又は第10項の基準等に適合していると認められない場合は、当社グループの経営成績に影響が及ぶ可能性があります。　なお、廃掃法第十四条第３項及び第８項において、「更新の申請があった場合において、許可の有効期間の満了の日までにその申請に対する処分がされないときは、従前の許可は、許可の有効期間の満了後もその処分がされるまでの間は、なおその効力を有する」旨規定されております。 ②　事業活動の停止及び取消し要件について　廃掃法には事業の許可の停止要件（廃掃法第十四条の三）並びに許可の取消し要件（廃掃法第十四条の三の二）が定められております。不法投棄、マニフェスト虚偽記載等の違反行為、処理施設基準の違反、申請者の欠格要件（廃掃法第十四条第５項第２号）等に関しては事業の停止命令あるいは許可の取消しという行政処分が下される恐れがあります。リファインバース及びグループ各社においては、本届出書提出日現在において当該要件や基準に抵触するような事由は発生しておりませんが、万が一、当該要件や基準に抵触するようなことがあれば、当社グループの経営成績に影響が及ぶ可能性があります。　なお、当社グループ各社の有する許認可の内容並びに取り消し要件等については以下のとおりです。（リファインバース株式会社）取得年月日許可等の名称所管官庁等許認可等の内容許可番号有効期限2006年６月22日産業廃棄物処分業千葉県中間処理第01220128419号2021年６月21日　（注）　法令違反の要件及び主な許可取消事由については以下のとおりであります。「廃棄物の処理及び清掃に関する法律」第十四条の三の二１　都道府県知事は、産業廃棄物収集運搬業者又は産業廃棄物処分業者が次の各号のいずれかに該当するときは、その許可を取り消さなければならない。一　第十四条第五項第二号イ（第七条第五項第四号ロ若しくはハ（第二十五条から第二十七条まで若しくは第三十二条第一項（第二十五条から第二十七条までの規定に係る部分に限る。）の規定により、又は暴力団員による不当な行為の防止等に関する法律の規定に違反し、刑に処せられたことによる場合に限る。）又は同号トに係るものに限る。）又は第十四条第五項第二号ロ若しくはヘに該当するに至ったとき。二　第十四条第五項第二号ハからホまで（同号イ（第七条第五項第四号ロ若しくはハ（第二十五条から第二十七条までの規定により、又は暴力団員による不当な行為の防止等に関する法律の規定に違反し、刑に処せられたことによる場合に限る。）又は同号トに係るものに限る。）又は第十四条第五項第二号ロに係るものに限る。）に該当するに至ったとき。三　第十四条第五項第二号ハからホまで（同号イ（第七条第五項第四号ニに係るものに限る。）に係るものに限る。）に該当するに至ったとき。四　第十四条第五項第二号イ又はハからホまでのいずれかに該当するに至ったとき（前三号に該当する場合を除く。）。五　前条第一号に該当し情状が特に重いとき、又は同条の規定による処分に違反したとき。六　不正の手段により第十四条第一項若しくは第六項の許可（同条第二項又は第七項の許可の更新を含む。）又は第十四条の二第一項の変更の許可を受けたとき。２　都道府県知事は、産業廃棄物収集運搬業者又は産業廃棄物処分業者が第十四条の三第二号又は第三号のいずれかに該当するときは、その許可を取り消すことができる。 （株式会社ジーエムエス）取得年月日許可等の名称所管官庁等許認可等の内容許可番号有効期限2000年４月28日産業廃棄物処分業東京都中間処理第1320007138号2025年４月27日1988年４月１日産業廃棄物収集運搬業東京都収集・運搬第1310007138号2024年３月31日1996年12月10日産業廃棄物収集運搬業神奈川県収集・運搬第01402007138号2021年12月９日1986年２月28日産業廃棄物収集運搬業埼玉県収集・運搬第01101007138号2024年７月10日1996年７月２日産業廃棄物収集運搬業千葉県収集・運搬第01200007138号2021年８月31日  取得年月日許可等の名称所管官庁等許認可等の内容許可番号有効期限1996年８月28日産業廃棄物収集運搬業茨城県収集・運搬第00801007138号2021年８月31日2001年10月18日産業廃棄物収集運搬業栃木県収集・運搬第00900007138号2021年10月17日2006年11月６日産業廃棄物収集運搬業群馬県収集・運搬第01000007138号2021年11月５日2001年10月24日産業廃棄物収集運搬業長野県収集・運搬第02009007138号2021年10月23日2001年10月26日産業廃棄物収集運搬業静岡県収集・運搬第02201007138号2021年10月25日2007年３月14日産業廃棄物収集運搬業山梨県収集・運搬第01900007138号2022年３月13日2013年６月14日産業廃棄物収集運搬業福島県収集・運搬第00707007138号2023年６月13日2013年７月９日産業廃棄物収集運搬業新潟県収集・運搬第01509007138号2023年７月８日2018年３月23日産業廃棄物収集運搬業三重県収集・運搬第02400007138号2023年３月22日2018年４月25日産業廃棄物収集運搬業宮城県収集・運搬第00400007138号2023年４月24日2016年４月19日建-とび・土工工事業許可東京都－（般-28）第145013号2021年４月18日2018年８月10日建-内装仕上工事業・解体工事業東京都－（般-30）第145013号2023年８月９日　（注）　法令違反の要件及び主な許可取消事由については、リファインバースの記載内容と同様であります。 (13）工場用敷地及び建物又は産業廃棄物の中間処理施設の賃貸借契約について　本届出書提出日現在、リファインバース及びグループ各社は、千葉県富津市に工場用敷地、千葉県八千代市及び愛知県一宮市に工場用敷地と建物を、また、東京都臨海地区に中間処理場１ヵ所、東京都堀切に中間処理場１ヵ所賃借しております。　本届出書提出日現在においては、用地及び建物の貸主とリファインバース及びグループ各社の関係は良好であり、貸主から契約期間中の解約の申し出がなされる可能性は低いものと考えておりますが、貸主側の事情の変更等により、予期せぬ解約の申し出がなされる可能性があります。仮に解約の申し出がなされた場合、当該施設は工場用敷地等及び産業廃棄物の中間処理施設であることから、適切な代替の用地及び建物の確保が必要であります。従って解約の申し出がなされた場合に代替の用地及び建物が適時に確保できない場合には、当社グループの経営成績に影響が及ぶ可能性があります。 　なお、2020年６月30日時点での賃貸借の状況は以下のとおりであります。施設名ＲＩＶＩＣ（工場用敷地）千葉工場（工場用敷地及び建物）一宮工場（工場用敷地及び建物）賃貸借期間20年事業用定期借地権設定契約解約は借主から貸主への２ヶ月前申し入れによる（もしくは借主から貸主への２ヶ月分賃料の支払）５年／以降３年自動更新普通借家契約解約は借主又は貸主からの６ヶ月前申し入れによる３年／以降１年自動更新普通借家契約解約は借主又は貸主からの６ヶ月前申し入れによる契約開始時期2017年１月30日2005年５月１日2019年３月１日契約継続年数３年５ヶ月15年２ヶ月１年４ヶ月備考貸主は千葉県であるため契約期間途中での解約等の可能性は低いものと考えております貸主（芳賀通運株式会社）とは良好な関係にあり、約15年にわたる契約継続経緯より、契約解除等の可能性は低いものと考えております貸主（藤井整絨株式会社）とは良好な関係にあり、契約解除等の可能性は低いものと考えております 施設名葛飾区リファイン１（中間処理施設）大田区タックス３東京港リサイクルセンター（中間処理施設）大井バンプール１（駐車場／回収ボックス置場）賃貸借期間２年／自動更新普通借家契約解約は借主から貸主への２ヶ月前申し入れによる（もしくは借主から貸主への２ヶ月分賃料の支払）１年／自動更新普通借家契約解約は借主又は貸主からの３ヶ月前申し入れによる１年／自動更新普通借家契約解約は借主又は貸主からの６ヶ月前申し入れによる契約開始時期2001年９月2003年10月１日2012年12月１日契約継続年数18年10ヶ月16年９ヶ月７年７ヶ月備考貸主（株式会社丸高コーポレーション）とは良好な関係にあり、17年以上にわたる契約継続経緯より、契約解除等の可能性は低いものと考えております貸主（東海海運株式会社）とは良好な関係にあり、約15年にわたる契約継続経緯より、契約解除等の可能性は低いものと考えております貸主（東海海運株式会社）とは良好な関係にあり、中間処理施設タックス３の賃貸借状況より、契約解除等の可能性は低いものと考えております (14）大規模災害による影響について　本届出書提出日現在、リファインバースは千葉県八千代市、富津市及び愛知県一宮市に再生樹脂製造工場を置き、株式会社ジーエムエスにおいては、東京都臨海地区に処理場１ヵ所、東京都堀切に処理場１ヵ所を保有しております。　関東圏内における大規模震災や火災等の影響を受けて工場・処理場が被災した場合、当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。 (15）借入金への依存について　本届出書提出日現在、リファインバース及びグループ各社の事業の運営上、収集運搬車両、中間処理工場、及び原料生産工場等への投資が必要であり、金融機関からの借入を行っております。リファインバースの第17期連結会計年度末（2020年６月末）で連結資産に占める有利子負債の割合は71.1％、リファインバースの第17期連結会計年度（2020年６月期）の支払利息は24,727千円となっております。このため、今後の金利変動によっては支払利息の負担が増加して当社グループの経営成績に影響が及ぶ可能性があります。 (16）過去事業年度の債務超過について　リファインバースの過去の業績は前記「第二部　組織再編成、株式交付又は公開買付けに関する情報　第２　統合財務情報　３．組織再編成対象会社」記載のとおりであります。リファインバースは2006年７月の再生樹脂製造工場の本格稼動以降、原材料となる使用済みカーペットタイルの調達先開拓から、再生樹脂販売先の開拓、また同販売先において原料として利用可能かどうかの評価を受けるに当たり時間を要したことから、固定費の支出及び研究開発投資がかさみ赤字決算が続いており、2013年６月期においては、リファインバース単体で債務超過の状態となっておりました。しかし、2014年６月期において旧インバースプロダクツ株式会社（現株式会社ジーエムエス）が黒字転換するとともに、株式会社産業革新機構より出資を受けたことにより、リファインバースの債務超過の状態も解消いたしました。今後も着実に利益を積み上げることによる累積損失の早期解消が重要であると考えておりますが、計画通りの利益が達成出来なかった場合、累積損失の早期解消が達成できない可能性があります。 (17）人材の確保・育成について　当社グループが今後成長していくためには、営業活動及び研究開発活動並びに組織管理のための優秀な人材を確保することが重要であります。しかしながら、優秀な人材の獲得・育成・維持は必ずしも容易ではありません。適正な人材の獲得・育成・維持確保が計画通りに進行しなかった場合には、当社グループの業務や事業計画の遂行に支障が生じ、当社グループの経営成績に影響が及ぶ可能性があります。 (18）特定の人物への依存　［当社の代表取締役社長となる予定である］越智晶は、本届出書提出日現在、経営方針や戦略の決定をはじめ、リファインバース及びグループ各社の事業推進において各方面に重要な役割を果たしております。事業拡大に伴い積極的な権限移譲を実施し、同氏に過度に依存しない経営体質の構築に取り組んでおりますが、不測の事態等により同氏の当社グループにおける業務執行が困難となった場合、当社グループの経営成績に影響が及ぶ可能性があります。 (19）新型コロナウィルス感染症拡大について　新型コロナウィルス感染症の影響により、経済情勢が悪化しており、厳しい状況が当面続くと見込まれます。本届出書提出日現在、リファインバース及びグループ各社では、行政の指針に基づいて感染予防策を徹底し、テレワーク（在宅勤務）の活用、Ｗｅｂ会議や社内チャットツールの利用促進等の対策により、働き方改革を実施していますが、新型コロナウィルス感染症の影響により工場が操業停止となるなど事業運営が困難となった場合や内外経済の停滞が長引いた場合には、当社グループの経営成績及び財政状態に影響が及ぶ可能性があります。 (20）その他①　潜在株式について　本届出書提出日現在、リファインバースは、グループ社員へのインセンティブを目的として、新株予約権（以下、「ストックオプション」といいます。）を付与しております。リファインバースが発行しているストックオプションについては、その保有者に対し、その保有する当該ストックオプションに代えて、当該ストックオプションと同等の内容かつ同一の数の当社のストックオプションを交付し、割り当てる予定です。本届出書提出日現在におけるリファインバースにおける潜在株式数は133,600株であり、リファインバースの発行済株式総数の4.0％に相当いたします。これらと同等の内容かつ同一の数の当社のストックオプションが行使された場合には、当社の１株当たりの株式価値が希薄化する可能性があります。また、株式市場で売却された場合は、需給バランスに変動を生じ、当社株式の株価形成に影響を及ぼす可能性があります。 ②　配当政策について　当社は、剰余金の配当につきましては、業績の推移を見据え、将来の事業の発展と財務基盤の強化のための内部留保とのバランスを保ちながら、経営成績や配当性向等を総合的に勘案し、安定的かつ継続的な配当の実施を基本方針とする予定です。　しかしながら、当社の完全子会社となるリファインバースは会社設立以来、その第17期連結会計年度を含め配当を行っておらず、本届出書提出日現在においても、会社法の規定上、配当可能な状態にはありません。当社は、将来的には、業績及び財政状態等を勘案しながら株主への利益配当を目指していく方針でありますが、今後の配当実施の可能性及び実施時期については未定であります。 ③　繰越欠損金について　リファインバース、旧インバースプロダクツ株式会社（現株式会社ジーエムエス）及びリファインマテリアル株式会社は、過年度及び当年度において当期純損失を計上してきたため、税務上の繰越欠損金を抱えております。そのため、本届出書提出日現在、リファインバース及びグループ各社に対する法人税は当該繰越欠損金が解消されるまでは課税所得が減殺され、納税負担額が軽減されております。今後現存する税務上の繰越欠損金が解消され、通常の税率に基づく法人税、住民税及び事業税が発生する場合において、当社グループの親会社株主に帰属する当期純利益及び連結キャッシュ・フローに影響を与える恐れがあります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるリファインバースの経営者によるリファインバース及びグループ各社の財政状態、経営成績及びキャッシュ・フローの状況の分析については、リファインバースの有価証券報告書（2020年９月30日提出）及び四半期報告書（2020年11月13日及び2021年２月12日提出）をご参照ください。 
経営上の重要な契約等	４【経営上の重要な契約等】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるリファインバース及びグループ各社の経営上の重要な契約等については、リファインバースの有価証券報告書（2020年９月30日提出）及び四半期報告書（2020年11月13日及び2021年２月12日提出）をご参照ください。　また、本株式移転に係る株式移転計画、株式移転の目的、条件等につきましては、前記「第二部組織再編成、株式交付又は公開買付けに関する情報　第１　組織再編成、株式交付又は公開買付けの概要　３　組織再編成、株式交付又は公開買付けに係る契約等」をご参照ください。 
研究開発活動	５【研究開発活動】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるリファインバース及びグループ各社の研究開発活動については、リファインバースの有価証券報告書（2020年９月30日提出）及び四半期報告書（2020年11月13日及び2021年２月12日提出）をご参照ください。 
設備投資等の概要	１【設備投資等の概要】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となるリファインバース及びグループ各社の設備投資等の概要については、リファインバースの有価証券報告書（2020年９月30日提出）をご参照ください。 
主要な設備の状況	２【主要な設備の状況】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となるリファインバース及びグループ各社の主要な設備の状況については、リファインバースの有価証券報告書（2020年９月30日提出）をご参照ください。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式10,000,000計10,000,000
発行済株式、株式の総数等	②【発行済株式】種類発行数（株）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,299,821（注）１、２、３東京証券取引所（マザーズ）完全議決権株式であり、剰余金の配当に関する請求権その他の権利内容に何ら限定のない、当社における標準となる株式です。なお、当社は種類株式発行会社ではありません。普通株式は振替株式であり、単元株式数は100株です。計3,299,821－－　（注）１　2020年12月31日現在におけるリファインバースの発行済株式総数に基づいて記載しております。ただし、本株式移転の効力発生に先立ち、リファインバースの発行済株式総数が変動した場合には、当社が交付する上記新株式数は変動いたします。なお、基準時においてリファインバースが所有する自己株式に対しては、その同数の当社の普通株式が割当交付されることになりますが、実務上消却が可能な範囲の自己株式については、本株式移転の効力発生に先立ち消却を予定しておりますため、リファインバースが2020年12月31日時点において所有する自己株式129株は、上記の算出において、新株式交付の対象から除外しております。また、リファインバースの株主の皆様から株式買取請求権の行使がなされた場合等、リファインバースの2020年12月31日時点における自己株式数が基準時までに変動した場合は、当社が交付する新株式数が変動することがあります。２　リファインバースは、当社の株式について、東京証券取引所マザーズ市場に新規上場申請を行う予定です。 ３　振替機関の名称及び住所は、下記のとおりです。名称　株式会社証券保管振替機構住所　東京都中央区日本橋茅場町二丁目１番１号 
