項目	値
事業の内容	３【事業の内容】　当社は、銀行その他銀行法により子会社とすることができる会社の経営管理及びこれに付帯関連する業務を行う予定です。　また、当社の完全子会社となる両行の2022年３月期連結会計年度末日（2022年３月31日）時点（但し、当該日よりも後の時点の事実関係であることを注記により明記した記載についてはその時点）における事業の内容は以下のとおりです。(1）愛知銀行　愛知銀行及び愛知銀行の関係会社は、愛知銀行及び連結子会社５社で構成され、銀行業務を中心に、証券業務、信託契約代理業務、リース業務などの金融サービスに係る事業を行っております。　愛知銀行及び愛知銀行の関係会社の事業に係わる位置づけは次のとおりであります。［銀行業］　愛知銀行の本店ほか支店等においては、預金業務、貸出業務、内国為替業務、外国為替業務、投資信託及び生命保険商品の窓口販売業務を行い、公共性の高い地域金融機関としての役割を果たすため、利便性の高いより高度な金融サービスを提供しております。　証券業務として商品有価証券売買業務、有価証券投資業務、社債受託及び登録業務、証券仲介業務等を行っております。　信託契約代理業務として本店ほか11支店において公益信託業務、特定贈与信託業務、土地信託業務、動産設備信託業務、年金信託業務、証券信託業務を行っております。［リース業］　愛銀リース株式会社において、リース業務を行っております。［その他］　愛銀ビジネスサービス株式会社において事務代行業務、株式会社愛銀ディーシーカードにおいてクレジットカード業務、愛銀コンピュータサービス株式会社において電算機による業務処理等業務、愛知キャピタル株式会社において投資事業有限責任組合の組成運営業務等を行っております。 　以上述べた事項を事業系統図によって示すと次のとおりであります。 (2）中京銀行　中京銀行及び中京銀行の関係会社は、中京銀行及び連結子会社２社で構成され、銀行業務を中心に、クレジットカード業務など金融サービスに係る事業を行っております。　以上の事項を事業系統図によって示しますと、次のとおりであります。　なお、中京銀行グループは銀行業の単一セグメントであるため、連結子会社について銀行業務に関連して行っている事業の内容を記載しております。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となる両行の経営方針、経営環境及び対処すべき課題等については、両行の有価証券報告書（愛知銀行においては2021年６月25日提出、中京銀行においては2021年６月25日提出）及び四半期報告書（愛知銀行においては2021年８月６日、2021年11月25日及び2022年２月７日提出、中京銀行においては2021年８月11日、2021年11月16日及び2022年２月８日提出）をご参照ください。 
事業等のリスク	２【事業等のリスク】　当社は本届出書提出日現在において設立されておりませんが、本株式移転に関連し、当社グループ（当社及び連結子会社。以下同じ。）の経営統合に係るリスクとして、下記(1)のリスクが想定されます。さらに、当社は本株式移転により両行の完全親会社となるため、当社の設立後は、本届出書提出日現在における両行の事業等のリスクが当社の事業等のリスクとなり得ることが想定されます。両行の事業等のリスクを踏まえた当社の事業等のリスクはそれぞれ下記(2)及び(3)のとおりであります。　なお、本項においては、将来に関する事項が含まれておりますが、当該事項は、別段の記載がない限り、本届出書提出日現在において判断したものです。(1）経営統合に関するリスク①　株式移転に係る手続等　本株式移転に係る手続は、本届出書提出日において終了しておらず、今後予定通り進まない可能性があり、加えて、本株式移転は、一定の承認、報告、書類の提出及び条件の充足といった様々な条件（銀行法上必要な手続を履践することを含みますが、それらに限られません。）に服していることから、国内外の規制当局が、本株式移転を停止又は遅延させることにより本株式移転の期待効果を減殺し、又は計画通りの完了を困難にする条件を付した場合には、本株式移転が予定した通りに完了せず、又は全く実現しない可能性があり、かかる事態が発生した場合には、当社又は愛知銀行グループ（愛知銀行及び連結子会社。以下同じ。）若しくは中京銀行グループ（中京銀行及び連結子会社。以下同じ。）の財政状態及び業績に重大な悪影響を及ぼすおそれがあります。 ②　経営統合の効果　当初期待した統合効果を十分に発揮できないことにより、結果として当社グループの財政状態及び業績に重大な悪影響を及ぼすおそれがあります。統合効果の十分な発揮を妨げる要因として以下が考えられますが、これらに限られません。・サービス・商品開発の遅れ、顧客との関係悪化、対外的信用の低下、効果的な人員・営業拠点配置の遅延、営業戦略の不統一を含む様々な要因により収益面における統合効果が実現できない可能性。・当社グループの経営統合に伴うサービス、商品、業務及び情報システム、営業拠点並びに従業員の再配置等により想定外の追加費用が発生する可能性。・当社グループの資産及び貸出債権等に関する会計基準、引当金計上方針、内部統制、並びに情報開示の方針及び手続その他の基準を統一することによって、追加の与信関係費用その他の費用や損失が発生する可能性。 ③　本自己株公開買付け　本株式移転は、三菱UFJ銀行がその保有する中京銀行株式8,534,385株の全てを本自己株公開買付けに応募したうえで本自己株公開買付けの決済が適法に完了していることを前提としております。そのため、本自己株公開買付けが実施されず、又は、三菱UFJ銀行がその保有する中京銀行株式8,534,385株の全てを本自己株公開買付けに応募しない等の場合には、本株式移転が予定した通りに完了せず、又は全く実現しない可能性があり、かかる事態が発生した場合には、当社又は愛知銀行グループ若しくは中京銀行グループの財政状態及び業績に重大な悪影響を及ぼすおそれがあります。 (2）愛知銀行の事業等のリスク①　財務面に関するリスクア　不良債権に関するリスクについて　愛知銀行は、不良債権縮減のため、不良債権のオフバランス化、経営改善支援に注力しております。しかしながら、景気の動向、不動産価格の下落、愛知銀行の融資先の経営状況の変動等によっては、愛知銀行の不良債権及び与信関係費用は増加するおそれがあり、その結果、愛知銀行の業績に影響を及ぼすとともに財務内容を弱め、自己資本の減少につながる可能性があります。 イ　貸倒引当金に関するリスクについて　愛知銀行は、愛知銀行が2021年６月25日に提出した有価証券報告書の「第５経理の状況　注記事項　連結財務諸表作成のための基本となる重要な事項　５．会計方針に関する事項　(5）貸倒引当金の計上基準」に基づき貸倒引当金を計上しておりますが、今後の景気の動向や貸出先の経営状況の変動及び担保価値の下落等により、実際の貸倒が見積りを上回り、貸出金償却の発生や貸倒引当金の積み増しが必要となり、愛知銀行の業績に影響を及ぼす可能性があります。 ウ　市場リスク（株価下落リスク、金利変動リスク等）について　愛知銀行では、市場リスク量を適切にコントロールするために、市場リスクの状況をモニタリングしております。具体的には、統計的手法であるVaR（一定の確率下の予想最大損失額）により市場リスク量を計測し、また、ストレス・テスト等を行って、金利・株・為替市場が大きく変動した場合に、愛知銀行の損益がどのように変動するか把握しております。これにより、市場リスクが愛知銀行の自己資本に対して許容できる水準に収まるよう、市場リスクのコントロールに係る業務運営を行っております。イ．株価下落に伴うリスクについて　愛知銀行は市場性のある株式を保有しております。今後、大幅に株価が下落した場合、保有株式に減損等が発生し、愛知銀行の業績及び自己資本比率に影響を与える可能性があります。ロ．金利上昇に伴うリスクについて　愛知銀行は市場性のある債券に加え貸出等の資金運用及び預金等の資金調達を行っておりますが、これら資産と負債の金利又は期間のミスマッチングが存在している中で金利が変動することにより、愛知銀行の業績及び自己資本比率に影響を与える可能性があります。 エ　有価証券の信用リスクについて　愛知銀行は、信用リスクを有する有価証券を保有していますが、これらが内包する信用リスクの上昇により、愛知銀行の業績及び自己資本に影響を与える可能性があります。 オ　自己資本比率について　自己資本比率は、銀行法第14条の２の規定に基づき、銀行がその保有する資産等に照らし自己資本の充実の状況が適当であるかどうかを判断するための基準（2006年金融庁告示第19号）に基づき算出しております。なお、愛知銀行は、海外営業拠点を有していないことから国内基準を採用しており、現行では自己資本比率を４％以上に維持することが求められています。　各種リスクの発生により自己資本比率が大幅に低下した場合、愛知銀行の信頼が低下し、愛知銀行の業務遂行や資金調達等に影響を及ぼす可能性があります。また、自己資本比率が４％を下回った場合は、業務の全部又は一部の停止等を含む様々な命令を受けることとなります。愛知銀行の自己資本比率に影響を与える主な要因として以下のものがあります。・債務者の信用力悪化及び不良債権の処分に伴う与信関係費用の増加・貸出金等リスクアセットポートフォリオの変動・保有有価証券の時価下落に伴う減損処理の発生・自己資本比率の基準及び算定方法の変更・その他不利益な事象の発生 カ　退職給付債務について　年金資産の運用利回りが低下した場合や予定給付債務計算の前提となる保険数理上の前提・仮定に変更があった場合などには、退職給付費用が増加することにより愛知銀行の業績に影響を及ぼす可能性があります。 キ　格付けについて　愛知銀行は、格付機関である㈱日本格付研究所（ＪＣＲ）より「Ａ」（シングルＡフラット）の格付けを取得しております。今後、愛知銀行の収益力・資産の悪化により格付けが引き下げられた場合、愛知銀行の資金調達等において、影響を及ぼす可能性があります。 ク　固定資産の減損について　愛知銀行は、固定資産の減損会計を行っておりますが、今後の経済環境の変動等によっては、新たな減損が発生する可能性があります。その結果、業績や財務内容等に影響を及ぼす可能性があります。 ②　業務面に関するリスクア　中期経営計画について　愛知銀行は、2022年４月から３か年の「第12次中期経営計画」に基づき各種施策に取り組んでおりますが、当該施策等が奏功しない場合、当初想定した結果が得られない可能性があります。 イ　事務に関わるリスクについて　役職員の故意又は過失等により大きな賠償に繋がる事務事故、事務ミスが発生した場合、損失を被る可能性があり、愛知銀行の業績に影響を及ぼす可能性があります。　また、事故等により、万一、顧客情報が外部に流失した場合、愛知銀行の社会的信用が低下し、愛知銀行の業績等に影響を及ぼす可能性があります。 ウ　システムリスクについて　愛知銀行は、2007年１月より、勘定系システムを地銀共同センターへ移行し、より安全性を高めておりますが、コンピュータシステムのダウン又は誤作動等の発生やサイバー攻撃等を受けた場合、障害の規模によっては、愛知銀行の業務遂行や業績等に影響を及ぼす可能性があります。 エ　コンプライアンスリスクについて　愛知銀行は、各種法令・規則等に従って業務を遂行しておりますが、法令等の遵守状況が不十分であった場合や、それに起因する訴訟等が提起された場合、その内容によっては行政処分を受けたり、愛知銀行の評価が低下し、愛知銀行の業績等に影響を及ぼす可能性があります。 オ　情報漏洩に係るリスクについて　愛知銀行は、多数の法人・個人の顧客情報を保有しています。それらの情報は各種法令・規制等に基づき管理しており、特に個人情報の保護については、「個人情報保護規定」を定め、役職員一同がこれを遵守することによって、万全を尽くしていますが、不適切な管理、外部からのサイバー攻撃その他の不正アクセス等により、重要な情報が外部に漏洩した場合には、損害賠償、行政処分等により、愛知銀行の業績等に影響を及ぼす可能性があります。 カ　マネロン・テロ資金供与に係るリスクについて　愛知銀行は、マネロン・テロ資金供与対策を経営戦略における重要な課題の一つとして位置づけ、組織として適時適切に対応できる態勢を構築しています。顧客受入時、受入後の各取引段階において、リスクに応じた顧客管理措置を講じており、疑わしい取引等を的確に検知・監視・分析するとともに、検知した場合には適切に対処することとしておりますが、マネロン・テロ資金供与対策が有効に機能せず、法令・規則の違反等が発生した場合には、業務停止、制裁金等の行政処分、愛知銀行の評価が低下し、愛知銀行の業績等に影響を及ぼす可能性があります。 キ　金融犯罪に係るリスクについて　愛知銀行は、キャッシュカードの偽造・盗難や特殊詐欺、インターネットバンキングを標的とした預金の不正払い出し等に対して被害の発生を未然に防ぐため、顧客保護の取組及びセキュリティ強化に努めておりますが、金融犯罪の高度化・多様化により、被害を受けたお客さまへの補償、その金融犯罪防止対策に係る費用の増加等により、愛知銀行の業績等に影響を及ぼす可能性があります。 ③　外部環境等に関するリスクア　競争激化リスクについて　愛知銀行が主要な営業基盤とする愛知県において、地域金融機関、メガバンク、ノンバンク等との間で競争関係にあります。他の金融機関が今後さらに積極的な営業展開を進めることにより、あるいは他の業態が愛知銀行の事業分野に新たに参入することにより、愛知銀行が競争優位を得られない場合、愛知銀行の業績等に影響を及ぼす可能性があります。 イ　風評リスクについて　愛知銀行に対して否定的、悪質な風評・風説が流布された場合、その内容の正確性に関わらず、愛知銀行の信用が低下し、愛知銀行の業績等に影響を及ぼす可能性があります。 ウ　災害リスクについて　大地震や風水害等の自然災害により、愛知銀行の損害や取引先の被災による業績悪化等が、愛知銀行の業績等に影響を及ぼす可能性があります。愛知銀行では、「業務継続計画（BCP）」を策定し、緊急時における態勢整備を行っておりますが、被害状況によっては、一部業務が停止する等の可能性があります。 エ　新型コロナウイルス感染症の影響について　新型コロナウイルス感染症の拡大により経済、企業活動の停滞や金融市場の混乱が考えられます。新型コロナウイルス感染症の拡大により、愛知銀行の業務運営及び業績等に影響を与える主な要因は以下の通りです。・金融市場の混乱による保有株式等の減損処理、評価損の発生及びお客さまの預かり資産の減少・取引先の業績悪化等による不良債権及び与信関係費用の増加・愛知銀行の多数の従業員が同時に罹患した場合の、一時的に業務の全部又は一部停止又は遅延・経済悪化による取引先の新規投資や商取引の減少、金融政策の変化等による収益力の低下 オ　規制・制度の変更等について　愛知銀行は現時点における銀行法等の各種規制・制度（法律、規則、政策、実務慣行、解釈等を含む。）に基づいて業務を遂行しております。将来において、銀行法等の各種規制・制度が変更された場合、愛知銀行の業務遂行や業績等に影響を及ぼす可能性があります。 (3）中京銀行の事業等のリスク　経営者が中京銀行の経営成績等に重要な影響を与える可能性があると認識しているリスクのうち、主要なものとして、以下に記載した「①　信用リスク」「②　市場リスク」があげられます。　中京銀行は、当該リスクについてリスクを定量化し、リスクに見合う資本（リスク資本）を割り当て、その配賦額について自己資本の範囲内に収めるとともに、リスク量がリスク資本の範囲内であるか定期的に確認しております。また、経営方針や第18次中期経営計画＜ＣＸプラン＞を踏まえ、収益機会の追求とリスクをコントロールすることにより、経営ビジョンを実現させることを目的とした経営管理と一体となったリスク管理を行っております。　なお、これらのリスク管理体制は、中京銀行が2021年６月25日に提出した有価証券報告書の「第４　提出会社の状況　４　コーポレート・ガバナンスの状況等」に記載しております。①　信用リスクア　経済環境の悪化に関わるリスク　経済環境の悪化とりわけ愛知県、三重県等中京銀行の営業地盤における経済環境の悪化により、貸出先の経営状況の悪化、担保価値の低下等が発生するおそれがあります。そのような場合には、中京銀行の不良債権額及び与信関連費用が増加し、中京銀行の業績に影響を及ぼす可能性があります。イ　貸出先への対応　貸出先に債務不履行が生じた場合であっても、回収の効率性・実効性その他の観点から、中京銀行は債権者としての法的な権利を実行しない場合があります。またこれらの貸出先に対して再生等を目的として債権放棄又は追加貸出を行なって支援することもあります。これらの結果、貸倒引当金等の費用が増加し、中京銀行の業績に影響を及ぼす可能性があります。ウ　権利行使の困難性に関わるリスク　不動産価格の下落、株式価格の下落等が生じた場合には、中京銀行が担保権を設定した不動産若しくは株式の換金による回収、又は貸出先の資産に対する強制執行による回収が融資等債権額に対し不足する可能性があります。この場合には、中京銀行の業績に影響を及ぼす可能性があります。エ　特定の取引先や特定の業種への与信の集中リスク　中京銀行は、特定の取引先や特定の業種への与信の偏りを排除すべく、ポートフォリオ管理を行い、与信の分散に努めていますが、特定の取引先や特定の業種に信用力の悪化が生じた場合、与信費用が増加し、中京銀行の業績に影響を及ぼす可能性があります。 ②　市場リスクア　市場金利の上昇に関わるリスク　中京銀行は市場性のある債券を保有しています。市場金利が上昇した場合には、債券価格の下落により評価損や売却損が発生する可能性があります。また、市場金利の上昇により資金調達コストが増加する可能性があり、この結果として、中京銀行の業績に影響を及ぼす可能性があります。イ　株価の下落に関わるリスク　中京銀行は株式を保有しています。株式価格の下落が生じる場合には、保有株式に減損又は評価損が発生し、保有株式の含み損益、株式関係損益に影響を及ぼす可能性があります。 ③　流動性リスク　金融システムが不安定になるなど市場環境全体が悪化した場合や、中京銀行の信用状況が悪化した場合には、通常よりも著しく高い金利での資金調達により中京銀行の業績に影響を及ぼす可能性があります。また、債券など金融商品の売買において、市場の混乱などにより取引が不能となることや、通常よりも著しく不利な価格での取引を余儀なくされることで損失を被る可能性があります。 ④　オペレーショナルリスク等ア　事務に関わるリスク　故意又は過失等により大きな賠償に繋がるような事務事故、事務ミスが発生した場合には中京銀行の業績に影響を及ぼす可能性があります。このうち特に事故等により顧客情報が外部に漏洩した場合には、中京銀行の社会的信用が低下し、業績に影響を及ぼす可能性があります。イ　システムに関わるリスク　中京銀行は、コンピュータシステムの障害発生防止やセキュリティの向上に努めておりますが、システム障害の発生や不正アクセス、サイバー攻撃等を受けた場合には、中京銀行の業績及び業務遂行に影響を及ぼす可能性があります。ウ　人的リスク　中京銀行の安定した成長には、専門性の高い人材の確保や育成が必要ですが、十分な人材の育成や確保が進まない場合には、業績に悪影響を及ぼす可能性があります。また、人事運営上の不公平・不公正（報酬・手当・解雇等の諸問題）及び差別的行為（セクシャルハラスメント等）から生じる損失及び損害が発生した場合には、業績に悪影響を及ぼす可能性があります。 ⑤　災害等によるリスク　東海・東南海地震等の大規模な自然災害が発生した場合の中京銀行自身の被災による損害や、新型コロナウイルスなどの感染症拡大による、中京銀行の業務の全部又は一部が停止又は遅延するリスクのほか、取引先の被災による業績悪化が、中京銀行の業績に影響を与える可能性があります。 ⑥　ビジネス戦略が奏功しないリスク　中京銀行は、2021年４月から第18次中期経営計画＜ＣＸプラン＞に取り組んでおりますが、当該計画に基づく各種施策等が奏功しない場合、中京銀行の業績に影響を与える可能性があります。 ⑦　コンプライアンスに関わるリスク　中京銀行は、コンプライアンスの徹底を経営の最重要課題の一つとして位置付け、そのための体制整備と役職員の教育に努めていますが、法令等遵守状況が不十分であった場合やそれに起因する訴訟等が提起された場合、中京銀行の評価に重大な影響を及ぼすとともに、業績に影響を及ぼす可能性があります。 ⑧　自己資本比率に関わるリスク　中京銀行は「銀行法第14条の２の規定に基づき、銀行がその保有する資産等に照らし自己資本の充実の状況が適当であるかどうかを判断するための基準」（平成18年金融庁告示第19号）の国内基準が適用され、同告示に基づき算出される連結自己資本比率及び単体自己資本比率を４％以上に維持する必要があります。中京銀行の連結及び単体の自己資本比率が要求される水準を下回った場合には、金融庁長官から、業務の全部又は一部の停止等を含む様々な命令を受けることとなり、中京銀行の業績に影響を与える可能性があります。　また、既存の劣後債務を同等の条件の劣後債務に借り換えることが不能な場合において、自己資本比率の低下又は不利な条件での借り換えによる収益への影響のおそれがあります。 ⑨　株主の保有株式売却（市場売却による株価への影響）に関わるリスク　中京銀行の株式を保有している企業、又は金融機関においては、当該企業の方針に基づき中京銀行の株式を売却することが考えられます。中京銀行の株式が大量に市場に売却される場合には、中京銀行の株価が影響を受ける可能性があります。 ⑩　資本上位会社の政策変更に関わるリスク　中京銀行は株式会社三菱UFJフィナンシャル・グループ及び株式会社三菱UFJ銀行の持分法適用関連会社であり、営業業務、事務・システム、人材等において同グループと協業関係を築いておりますが、何らかの理由により同グループの資本政策、協業施策に変化が生じた場合には、中京銀行の事業活動に影響を及ぼす可能性があります。 ⑪　格付に関わるリスク　格付機関により中京銀行の格付が引き下げられた場合、中京銀行は不利な条件での取引を余儀なくされる、又は一定の取引を行うことができなくなる可能性等があり、この結果として、中京銀行の業績に影響を及ぼす可能性があります。 ⑫　規制・制度変更等に関わるリスク　中京銀行は、現時点における銀行法等の各種規制・制度（法律、規則、政策、実務慣行、解釈等を含む。）に基づいて業務を行っております。将来において、銀行法等の各種規制・制度が変更された場合には、中京銀行の業績に影響を及ぼす可能性があります。 ⑬　繰延税金資産に関わるリスク　中京銀行は、一般に公正妥当と認められる会計基準に基づき、将来の課税所得の予測に従って繰延税金資産を計算しておりますが、その一部又は全部の回収ができないと判断される場合には、中京銀行の繰延税金資産は減額され、その結果、中京銀行の業績及び財政状態に影響を及ぼす可能性があります。 ⑭　固定資産の減損会計に関わるリスク　固定資産の減損に係る会計基準又は適用指針が変更された場合、あるいは所有する固定資産に損失が発生した場合には、業績や財務内容に悪影響を及ぼす可能性があります。 ⑮　退職給付債務に関わるリスク　年金資産の運用利回りが低下した場合や、割引率等数理計算上で設定される前提に変更があった場合には、年金資産が減少し、あるいは退職給付債務が増額し、その結果、中京銀行の業績に影響を及ぼす可能性があります。 ⑯　風評に関わるリスク　中京銀行に対して風評等が発生した場合には、中京銀行に対する信頼が低下し、中京銀行の業績に影響を及ぼす可能性があります。 ⑰　マネー・ローンダリング及びテロ資金供与に係るリスク　中京銀行では、マネー・ローンダリング及びテロ資金供与防止のために、関係法令等の遵守に加えて、マネー・ローンダリング等リスクの特定・評価及び実効的な低減措置を図るリスクベース・アプローチにより適切な管理体制の構築に取り組んでおりますが、十分に対応できなかった場合、中京銀行の業績に影響を及ぼす可能性があります。 ⑱　新型コロナウイルス感染症の拡大によるリスク　新型コロナウイルス感染症の拡大とそれに対して採られる経済活動の制限等の措置に伴い、中京銀行の事業、業績に影響を及ぼす可能性があると考えられるリスクは以下の通りです。ア　取引先の業績悪化等により不良債権及び与信関係費用が増加するリスクイ　金融市場の混乱により、保有する有価証券等の市場価格下落による減損処理若しくは評価損等が発生するリスクウ　中京銀行の一部拠点の休業や、移動の制限、中京銀行の従業員等の安全確保のために講じる対策により、中京銀行の業務の全部又は一部が停止又は遅延するリスク、追加の費用が発生するリスクエ　中京銀行の多数の従業員が同時に罹患した場合、一時的に中京銀行の業務の全部又は一部が停止又は遅延するリスク ⑲　気候変動に関するリスク　気候変動に伴う自然災害や異常気象等の影響によって取引先や中京銀行の事業の停滞と担保価値が毀損した場合（物理的リスク）や、脱炭素社会への移行に伴う政策や法規制への対応等（移行リスク）により取引先の経営状態が悪化した場合等には、中京銀行の業績に影響を及ぼす可能性があります。また、中京銀行の気候変動に関するリスクへの対応や開示が不十分であるとみなされた場合には、企業価値の毀損などが想定されます。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となる両行の経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析については、両行の有価証券報告書（愛知銀行においては2021年６月25日提出、中京銀行においては2021年６月25日提出）及び四半期報告書（愛知銀行においては2021年８月６日、2021年11月25日及び2022年２月７日提出、中京銀行においては2021年８月11日、2021年11月16日及び2022年２月８日提出）をご参照ください。 
経営上の重要な契約等	４【経営上の重要な契約等】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となる両行の経営上の重要な契約等については、両行の有価証券報告書（愛知銀行においては2021年６月25日提出、中京銀行においては2021年６月25日提出）及び四半期報告書（愛知銀行においては2021年８月６日、2021年11月25日及び2022年２月７日提出、中京銀行においては2021年８月11日、2021年11月16日及び2022年２月８日提出）をご参照ください。　また、本株式移転の目的、本株式移転に係る株式移転計画の内容、本株式移転の条件等につきましては、上記「第二部　組織再編成、株式交付又は公開買付けに関する情報　第１　組織再編成、株式交付又は公開買付けの概要　３　組織再編成、株式交付又は公開買付けに係る契約等」をご参照ください。 
研究開発活動	５【研究開発活動】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となる両行の研究開発活動については、両行の有価証券報告書（愛知銀行については2021年６月25日提出、中京銀行については2021年６月25日提出）をご参照ください。 
設備投資等の概要	１【設備投資等の概要】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となる両行の設備投資等の概要については、両行の有価証券報告書（愛知銀行においては2021年６月25日提出、中京銀行においては2021年６月25日提出）をご参照ください。 
主要な設備の状況	２【主要な設備の状況】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となる両行の主要な設備の状況については、両行の有価証券報告書（愛知銀行においては2021年６月25日提出、中京銀行においては2021年６月25日提出）をご参照ください。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式150,000,000計150,000,000 
発行済株式、株式の総数等	②【発行済株式】種類発行数（株）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式49,094,859（注）１、２、３東京証券取引所（プライム市場）名古屋証券取引所（プレミア市場）完全議決権株式であり、剰余金の配当に関する請求権その他の権利内容に何ら限定のない、当社における標準となる株式です。普通株式は振替株式であり、単元株式数は100株です。（注）４計49,094,859－－　（注）１　普通株式は、銀行法その他の法令に定める関係官庁の許認可等を条件として、本株式移転に伴い発行する予定です。２　愛知銀行の発行済株式総数10,943,240株（2022年３月31日時点）、中京銀行の発行済株式総数21,780,058株（2022年３月31日時点）に基づき、本株式移転の株式移転比率を勘案して算出しております。但し、当該株式移転比率は、算定の基礎となる諸条件に重大な変更が生じた場合、両行協議の上、変更することがあります。なお、中京銀行は、本株式移転に先立ち本自己株公開買付けにより三菱UFJ銀行が保有する普通株式8,534,385株を自己株式として取得する予定であること、及び、基準時までに、それぞれが保有する自己株式の全部を消却する予定であるため、愛知銀行の2022年３月31日時点における自己株式数（176,120株）及び中京銀行の2022年３月31日時点における自己株式数（5,150株）及び中京銀行が本自己株公開買付けにより取得する予定である三菱UFJ銀行が保有する普通株式8,534,385株は、上記の算出において、新株式交付の対象から除外しております。また、本自己株公開買付けの結果、愛知銀行又は中京銀行の株主から株式買取請求権の行使がなされた場合等、両行の2022年３月31日時点における自己株式数が基準時までに変動した場合は、当社が交付する新株式数が変動することがあります。３　両行は、当社の普通株式について、東京証券取引所及び名古屋証券取引所に新規上場申請を行う予定です。４　振替機関の名称及び住所は、下記のとおりです。名称　株式会社証券保管振替機構住所　東京都中央区日本橋兜町７番１号 
