項目	値
事業の内容	３【事業の内容】　当社は、制御・情報機器システム、計測器、理化学機器、産業機器・その他の商品販売と、それら商品販売に伴うエンジニアリング、ソフトウエア製作、計装工事、保守サービスを一括して行っております。また、当社は横河電機株式会社、横河ソリューションサービス株式会社およびアジレント・テクノロジー株式会社の代理店として、この３社より主な商品の仕入れを行っておりますが、主にシステム販売分野におきましては、機械設備や計装工事などをエンジニアリング・工事会社に発注し、製作・施工しています。　なお当社のセグメントは単一でありますが、事業の内容につきましては商品の品目別に関連付けて示しております。品目区分主要品目制御・情報機器システム(1）プロセスオートメーション（ＰＡ）およびファクトリーオートメーション（ＦＡ）の制御用コンピュータおよびコンピュータシステム(2）温度計、流量計等各種検出機器(3）調節計、シーケンサー等各種制御機器(4）エンジニアリング、ソフトウエア製作、計装工事、保守サービス計測器(1）各種電気測定器（電流計、電圧計、電力測定器および記録計等）(2）オシロスコープ、通信測定器(3）計測システム理化学機器(1）ガスクロマトグラフ、液体クロマトグラフなどの有機化学分析装置(2）ＩＣＰ質量分析装置などの無機分析装置(3）分析データ用ソフトウエア製作産業機器・その他環境試験装置、油圧機器、空圧機器、産業ロボット、恒温槽、受託計測等 [事業系統図]　以上に述べた事項を事業系統図によって示すと次のとおりであります。   
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社の経営方針、経営環境および対処すべき課題等は、以下のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 （１）経営方針　　　当社は、「みんなでよくなろう」という企業理念の基に、計測・制御・理化学のエンジニアリングを基盤として、上下水道等の公共事業体をはじめ、エネルギー、化学、食品、薬品、自動車、半導体、サービス等あらゆる産業の発展に寄与し、広く社会に貢献していくことにより、顧客・取引先・株主・社員が良くなる事を目指しております。　　　事業経営にあたっては、法令、ルール、社会規範を遵守し、企業倫理に則した公正かつ適切な経営の実現により、豊かな社会を作り出すことで企業の社会的責任（ＣＳＲ）を果たして参ります。 （２）経営環境と目標とする経営指標　　　当社を取り巻く事業環境は、エネルギーの自由化、ＡＩやＩoＴ技術の革新、通信の高速化等、大きく変化しており、顧客ニーズの多様化・高度化が進んでおります。これらの変化に伴う設備投資需要を取り込み、当社のエンジニアリング商社としての課題解決能力を最大限に発揮し、成長基盤の確立に繋げて参ります。　　　また当社は、株主価値増大を数値的に判断する指標として「自己資本比率50％以上」「自己資本当期純利益率（ＲＯＥ）10％以上」を目標としております。 （３）中長期的な会社の経営戦略　　　当社は、2022年度から2025年度までの３か年を対象とする新中期経営計画「Strong &amp; Expanding 2025（ＳＥ２０２５）」を策定し、中長期的な企業価値・株主価値の向上を目標としており、以下の４つを基本戦略としています。　　　＜基本戦略＞　　　　①　既存ビジネスの深耕と成長ビジネスの拡大　　　　②　Ｒ＆Ｄビジネスのソリューション付加を加速　　　　③　ＤＸ、ＩоＴ、ＡＩを独自の付加価値として提供　　　　④　経営基盤の強化と推進　　　当社は計測・制御・理化学分野のエンジニアリングを基盤として、お客様に密着したきめ細かいサービスの提供に努めるとともに、営業体制の充実、新規事業の開拓、提案型営業などを積極的に推進し、ビジネスチャンスを的確にとらえ、事業の拡大に努めてまいります。　　　特に、電気・水道・ガスなどの社会インフラや環境問題に対する取り組みは、当社事業の基幹ビジネスと位置づけ、一層の推進を図ってまいります。また、お客様のニーズ、要望を的確にとらえた製品、ソフトウェアの開発により、新たな市場を開拓してまいります。 （４）優先的に対処すべき事業上及び財務上の課題　　　当社は、2022年度を初年度とする新中期経営計画において策定した基本戦略を着実に推進していくことが、当社の対処すべき課題であると考えています。　　　①　既存ビジネスの深耕と成長ビジネスの拡大　　　　　ライフラインビジネス及びIA顧客へのソリューション優位性をより強く発展させ、更に理化学・IMソリューションとの融合にてビジネス拡大を図る。　　　②　Ｒ＆Ｄビジネスのソリューション付加を加速　　　　　理化学ビジネスにおけるデジタルマーケティングの強化を図ると共に、LAS（Laboratory　Automation　System）機能でデータを有効活用し、R&amp;DでのDXを推し進める。　　　③　ＤＸ、ＩоＴ、ＡＩを独自の付加価値として提供　　　　　ＤＸ、ＩоＴ、ＡＩを活用する事で顧客経営のためのソリューションビジネスにてお客様の信頼を勝ち取り、価値を提供していく。　　　④　経営基盤の強化と推進　　　　ＥＳＧ、ＳＤＧｓへの寄与を最重視した経営を行い、世の中に必要とされる会社を目指す。  
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が当社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。１）主要販売先との取引　当社の販売先は、年間約3,000社ですがその内上位10社の販売額が、売上全体の約30％を占めております。その上位10社の中でも上水道、都市ガス、電力のライフライン関連の販売先が上位を占め、公益事業としての高い信頼性が要求されております。　それらライフライン関連の販売先での著しい信頼性の低下、もしくは販売先における設備投資額の減少、更新計画の延期等は、当社の受注活動にマイナスの影響をもたらす可能性があります。・リスクへの対応策　サービス品質の維持により販売先への信頼性を確保するとともに、積極的なマーケティング・営業活動により事業領域と顧客拡大を推進し、売上・利益の確保に努めてまいります。２）主要仕入先との取引　当社は、創業以来横河電機株式会社の代理店として事業を展開し、2007年３月より横河電機株式会社は、主要株主として当社の関連当事者となりました。　現在、横河電機株式会社および横河電機株式会社グループからの仕入額は全仕入の約30％を占めており、国内市場における横河電機株式会社および横河電機株式会社グループの製品競争力の低下、取扱製品ならびに販売先等を定めた当社と横河電機株式会社、横河電機株式会社グループとの代理店契約の変更によっては、当社の業績に影響を与える可能性があります。・リスクへの対応策　引き続き横河電機株式会社グループとの良好な関係を維持することで安定した仕入に努めてまいります。また、各事業部門における需要動向を的確に把握し、取引先のニーズに柔軟に対応できるよう新規仕入先を積極的に開拓することでリスク低減を図ってまいります。３）業績の季節変動　当社の主要な販売先は、上水道、電力、ガス等の公益事業関連、民間でもエンド・ユーザーが官公庁の重電・プラント関連の販売先が多く、工事案件の工期が３月の年度末に集中する傾向があります。このため当社の業績は、下期（１月～６月）に売上・利益が集中する季節変動があります。・リスクへの対応策　事業分野や取引先の拡大、自社ソフトウェアの販売促進を通じて、売上・利益の平準化に努めてまいります。４）入札制度　主要販売先である公共事業体からの発注につきましては、入札制度があり当社が継続的に受注出来るという保証はありません。・リスクへの対応策　積極的な営業活動による顧客拡大を推進し、特定の販売先に依存することなく安定した売上・利益が確保できるよう努めてまいります。５）販売先の信用リスク　当社には、販売先から支払われるべき売掛金の不払いに係るリスクが存在します。売掛債権管理につきましては、与信管理を強化徹底しておりますが、すべての取引先が当社に対する債務を履行するまで健全な財政状態にあるという保証はありません。・リスクへの対応策　定期的な信用調査を実施するとともに、営業活動を通して販売先を取り巻く市場環境や業績・経営戦略の転換等を敏感に捉えることで、総合的に与信管理を行いリスク低減に努めております。６）情報システムのリスク　当社の販売管理・経理管理は、全て管理用コンピュータシステムにより処理しております。したがいまして、通信回線、コンピュータ本体等がダウンした場合は、業務処理に大きな不都合が発生するリスクがあります。・リスクへの対応　当社では、社内システムの定期的な保守、バックアップシステムの構築、外部からの不正アクセス防止対策等により、社内システムへの障害発生・情報漏洩などのリスクを低減し、事業継続性の向上を図っています。 ７）投資有価証券に係るリスク　当社は、投資有価証券の主要銘柄として横河電機株式会社の株式を保有しており、将来当該株式の大幅な株価下落が続く場合には、当社業績に影響が発生するリスクがあります。・リスクへの対応　横河電機株式会社グループは当社の主要な仕入先であり、計測制御機器関連の取引関係の維持・強化のためにも投資有価証券の保有は継続する意向です。そのため、当該株式の株価下落による業績への影響は避けがたいものではありますが、積極的なマーケティング・営業活動により事業領域と顧客拡大を推進することで売上を伸張させ、利益の確保に努めてまいります。８）人財の確保と育成に係るリスク　当社の成長と発展には、最先端技術や日々厳格化する品質基準に対応できる技術者の確保と育成が不可欠であります。その確保・育成ができなかった場合には、顧客ニーズへの適切な対応ができず、当社の信頼性や業績に影響を与える可能性があります。・リスクへの対応　当社では、新卒採用・中途採用を積極的に行うことにより、優秀な人財の確保に努めるとともに、OJTや階層別研修等の研修制度を充実させることで、社員の技術力の向上に努めています。９）大規模災害や感染症の蔓延に係るリスク　事業を展開する地域において大規模な自然災害や感染症の蔓延が起きた場合、事業活動の制限・工事の中止や大幅な延期等が発生する可能性があります。また、災害等により社会経済や販売先を取りまく事業環境が大きく変化した場合、販売先の設備投資意欲が大幅に減退することが見込まれ、当社の業績に影響を与える可能性があります。・リスクへの対応　当社は、リスクマネジメント・コンプライアンス委員会を設置し、大規模災害等に係るリスクが顕在化した際には、当該機関が中心となり被害状況や事業への影響を速やかに把握し、従業員の安全確保と損害の最小化に努めています。また、当社は上水道、都市ガス、電力等、ライフライン関連に広く従事していることから、有事の際には取引先などと連携し、迅速な復旧への対応を含めた現場ごとの対策を講じています。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要　①財政状態及び経営成績の状況　当事業年度におけるわが国経済は、新型コロナウイルス感染症の行動制限が徐々に緩和されたことにより経済活動の正常化が進み、緩やかな持ち直しの動きが見られました。しかしながら、ウクライナ紛争の長期化、エネルギーや原材料価格の高騰、世界的なインフレ加速による景気減速の懸念等、依然として先行きは不透明な状況にあります。　このような経営環境におきまして当社は、2020-2022年度中期経営計画「IG2022」にてテーマとして掲げる４つの戦略「計測・制御・分析ソリューションにおけるNo.1を目指す」「ターゲットの明確化とマーケティングの強化」「Only One Solutionの構築」「経営基盤の盤石化」を推進してまいりました。　その結果、当事業年度における業績は、以下の通りとなりました。 　売上高　　　319億23百万円　（前期比　 　8.4％　24億60百万円増）　営業利益　　 22億41百万円　（前期比　  10.1％　２億５百万円増）　経常利益　　 23億57百万円　 (前期比　  11.8％　２億48百万円増)　当期純利益　 15億49百万円　（前期比　　33.5％  ３億88百万円増） 　また、セグメントにつきましては、当社では計測制御機器、理化学機器等の各種電子応用機器の販売と、それに付随するエンジニアリング業務などを行っているものであり、単一であります。 制御・情報機器システム（ＰＡ、ＦＡ）部門　当部門につきましては、電気・ガス・水道等のライフライン関連が引き続き堅調となり、売上高は166億13百万円（前期比６億４百万円増）となりました。 計測器（測定器、計測システム）部門　当部門につきましては、半導体不足に起因した納期遅延の影響が徐々に解消され、売上高は38億20百万円（前期比３億２百万円増）となりました。 理化学機器（ラボ分析計）部門　当部門につきましては、半導体、化学、材料関連の研究開発投資が増加し、売上高は90億39百万円（前期比11億93百万円増）となりました。 産業機器・その他部門　当部門につきましては、自動車関連企業において次世代モビリティ開発に向けた投資需要が拡大し、売上高は24億49百万円（前期比３億60百万円増）となりました。 　当事業年度末の総資産は、現金及び預金、投資有価証券等が増加したことなどにより、前事業年度末に比べ31億51百万円増加し、270億69百万円（前期比13.2％増）となりました。また、負債合計は、買掛金、契約負債が増加したことなどにより、前事業年度に比べ16億37百万円増加し、118億88百万円（前期比16.0％増）となりました。純資産は、利益剰余金の増加などにより、前事業年度末に比べ15億13百万円増加し、151億80百万円（前期比11.1％増）となりました。この結果、自己資本比率は56.1％となりました。 　②キャッシュ・フローの状況　当事業年度における現金及び現金同等物（以下「資金」）は、前事業年度末残高から10億20百万円増加し、98億89百万円となりました。各キャッシュ・フローの状況とそれらの要因は、次のとおりとなっております。イ．営業活動によるキャッシュ・フロー　当事業年度における営業活動による資金収支は、22億95百万円の収入（前年同期比19億１百万円の収入増）となりました。これは主に、税引前当期純利益23億57百万円に加えて、仕入債務の増加などがあった一方、法人税等の支払、売上債権の増加等によるものであります。ロ．投資活動によるキャッシュ・フロー　当事業年度における投資活動による資金収支は、７億９千６百万円の支出（前年同期比１億９百万円の支出減）となりました。これは主に、無形固定資産や投資有価証券の取得などによるものであります。 ハ．財務活動によるキャッシュ・フロー　当事業年度における財務活動による資金収支は、４億78百万円の支出（前年同期比48百万円の支出増）となりました。これは主に、配当金の支払などによるものであります。 　③生産、受注及び販売の実績　当社は、制御・情報機器システム、計測器、理化学機器等の販売と、それに付随するエンジニアリング業務などを行っているものであり、セグメントは単一であります。　　したがいまして、仕入、受注および販売の実績につきましては、商品の品目別に関連付けて示しております。　　a.仕入実績　当事業年度における仕入実績を品目別に示すと、次のとおりであります。品目別金額（千円）対前年増減率（％）制御・情報機器システム10,099,1632.8計測器3,206,10013.1理化学機器7,392,03720.9産業機器・その他1,978,99929.3計22,676,30111.7（注）機器等の販売に付随するエンジニアリング業務の仕入高については、上記には含まれておりません。 　　b.受注実績　当事業年度における受注実績を品目別に示すと、次のとおりであります。品目別受注高（千円）対前年増減率（％）受注残高（千円）対前年増減率（％）制御・情報機器システム17,628,193△2.213,500,9177.8計測器3,587,791△12.7895,006△20.6理化学機器9,094,6463.13,392,9701.7産業機器・その他5,652,300174.74,226,812312.7計35,962,9318.922,015,70722.2 　　c.販売実績　当事業年度における販売実績を品目別に示すと、次のとおりであります。品目別金額（千円）対前年増減率（％）制御・情報機器システム16,613,8093.8計測器3,820,2738.6理化学機器9,039,31215.2産業機器・その他2,449,70317.3計31,923,0998.4  （２）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりです。　なお、本項の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 　①当事業年度の経営成績等の状況に関する認識及び分析・検討内容（売上高及び売上総利益）　当事業年度は、ライフライン関連のプロジェクト案件が順調に推移したことに加え、半導体不足に起因した納期遅延の影響が徐々に解消されたこと等により、売上高は319億23百万円（前期比24億60百万円増）となりました。売上総利益は増収に伴う増加分に加え、工程管理の徹底による原価低減に努めた結果、68億99百万円（前期比４億93百万円増）となりました。（販売費及び一般管理費）　当事業年度の販売費及び一般管理費は、46億57百万円（前期比２億88百万円増）となり、売上高に対する比率は14.6％（前期比0.2％減）となりました。（営業利益、経常利益及び当期純利益）　上述の結果、当事業年度の営業利益は22億41百万円（前期比２億５百万円増）、経常利益は23億57百万円（前期比２億48百万円増）、当期純利益は15億49百万円（前期比３億88百万円増）となりました。（財政状態の分析）　当事業年度末の財政状態の分析については、「第２ 事業の状況 ４ 経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 （１） 経営成績等の状況の概要 ① 財政状態及び経営成績の状況」に記載のとおりであります。②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当社の運転資金需要のうち主なものは、人件費を主とする販売費及び一般管理費の営業費用によるものであります。投資を目的とした資金需要は、主に設備投資によるものであります。当社は、その資金を自己資本及び事業活動において獲得した資金により賄っております。　当社の当事業年度末の資金残高は、98億89百万円（前期比10億20百万円増）であり、上記運転資金・設備投資資金を十分な水準で確保しており、資金の流動性の確保に特段の問題はないと考えております。　③重要な会計上の見積り及び当該見積りに用いた仮定　当社の財務諸表は、わが国において一般に公正妥当と認められる会計基準に基づき作成されております。この財務諸表の作成に当たりまして、将来発生する事象に対しての見積もり及び仮定設定を行う必要があり、経営者は、過去の実績や状況及び現在入手可能な情報を総合的に勘案し、その時点で最も合理的と判断した見積もりや仮定を継続的に採用しております。しかしながら、これらの見積もりには不確実性があるため、実際の結果はこれらの見積りと異なる場合があります。　当社が採用している会計方針のうち、重要となる事項につきましては、「第５ 経理の状況」の「重要な会計方針」に記載しておりますが、特に次の重要な会計方針が財務諸表作成における見積もりの判断に影響を及ぼすと考えております。（繰延税金資産）　当社は、繰延税金資産について定期的に回収可能性を検討し、回収可能性の判断においては、将来課税所得見込額と実行可能なタックス・プランニングを考慮し、将来の税金負担を軽減する効果を有すると判断した回収可能額を繰延税金資産として計上しています。将来課税所得の見積りの前提とした条件や仮定に変更が生じた場合、翌事業年度以降の財務諸表において認識する繰延税金資産および法人税等調整額の金額に影響を与える可能性があります。（工事契約に係る収益）　工事契約に係る収益には、主に制御・情報機器システム等に係る計装工事の請負が含まれ、履行義務を充足するにつれて一定の期間にわたり収益を認識しております。履行義務の充足に係る進捗度の測定は、各報告期間の期末日までに発生した工事原価が、予想される工事原価の合計に占める割合（インプット法）に基づいて行っております。想定していなかった原価の発生等により工事原価総額に変更があった場合には、工事進捗率が変動するため、売上高や売上原価に影響を与える可能性があります。④経営方針、経営成績、経営上の目標の達成状況を判断するための客観的な指標等　当社は、株主価値増大を数値的に判断する指標として、「自己資本比率50％以上」「自己資本当期純利益率（ROE）10％以上」を目標としております。当事業年度における自己資本比率は56.1％、自己資本当期純利益率（ROE）は10.7％と目標を上回りました。 
経営上の重要な契約等	５【経営上の重要な契約等】　主な販売等の提携相手先契約内容備考契約期間横河電機株式会社横河ソリューションサービス株式会社代理店契約計測器、工業計器、サービス自　2022年６月１日至　2023年３月31日横河計測株式会社代理店契約計測機器自　2021年10月１日至　2023年９月30日横河レンタ・リース株式会社代理店契約測定器等レンタル自　2013年10月１日至　2014年３月31日アジレント・テクノロジー株式会社代理店契約分析機器自　2022年７月１日至　2022年12月31日（注）　契約期間を経過した契約は、契約期間を自動更新中であります。 
研究開発活動	６【研究開発活動】　当社は市場販売目的ソフトウェアの制作を行っており、製品マスター完成を目的とした研究開発活動を行っております。　なお、当事業年度における研究開発費は48,269千円であります。 
設備投資等の概要	１【設備投資等の概要】　当事業年度における設備投資の総額は、100百万円でした。その主なものは、九州支社の改修および熊本営業所の移転等による建物等の増加50百万円などで、その資金は全て自己資金で賄いました。 
主要な設備の状況	２【主要な設備の状況】（2023年６月30日現在） 事業所名（所在地）設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械及び装置土地(面積千㎡)リース資産その他合計本社（東京都渋谷区）全社共通設備20,6440－14,8187,21242,675227関西支社（神戸市中央区）営業、サービス設備3,6850－－4,2077,89247九州支社（大分市高城本町）営業、サービス設備138,21906,172（0.611）－8,376152,76851横浜営業所（横浜市保土ヶ谷区）営業、サービス設備10,7850－－9,07419,85944（注）１　九州支社を除く本社及び上記事業所の建物は賃借しており、年間賃借料は251,675千円であります。２　帳簿価額のうち、「その他」は工具、器具及び備品であります。３　当社は、制御・情報システム、計測器、理化学機器等の販売と、それに付随するエンジニアリング業務などを行っているものであり、セグメントは単一であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式10,000,000計10,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年６月30日）提出日現在発行数（株）（2023年９月29日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,432,4753,432,475東京証券取引所スタンダード市場単元株式数は100株であります。計3,432,4753,432,475－－
