項目	値
事業の内容	３【事業の内容】　当社グループは、当社及び子会社２社により構成されており、製品・サービス別の事業活動を展開しております。事業内容は、プリントショップのフランチャイズの展開及びプリントショップの経営並びにＷｅｂサイトを運営し、デジタルプリントサービス及び写真関連商材等の販売を営むイメージング事業、携帯端末等の販売を営むモバイル事業などを事業の内容としております。　当社グループの主要製品・サービスの事業活動は次のとおりであります。なお、報告セグメントの名称は、「第５　経理の状況　１　(1）連結財務諸表　注記事項」に掲げるセグメントの区分と同一であります。　また、当社は、有価証券の取引等の規制に関する内閣府令第49条第２項に規定する特定上場会社等に該当しており、これにより、インサイダー取引規制の重要事実の軽微基準については連結ベースの数値に基づいて判断することとなります。報告セグメントの名称主な取扱商品・サービス主要な会社イメージング事業プリントサービス当社㈱プラザクリエイト㈱ストアクロス写真関連商材等写真撮影サービスモバイル事業携帯端末㈱プラザクリエイト   　事業の系統図は次のとおりであります。 　　→　は商品・製品及びサービスの流れを示しております。（注）１．㈱Ｃｏｌｏｒｓは、役員の近親者が議決権の過半数を所有している会社であります。２．ソフトバンク㈱は、当連結会計年度末現在において主要株主となっております。３．上記各社の取引の状況等は、「第５　経理の状況　１　(1）連結財務諸表　注記事項　関連当事者情報」に　　記載しております。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりである。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものである。(1）経営の基本方針　当社グループは、「一枚の写真から」という原点を大切にし、デジタル技術の発展に伴って広がる写真と映像の世界で人々に感動を届け、楽しく美しい生活と社会の実現に貢献することを経営の基本理念としております。常にお客様第一主義のもと、最新のデジタル技術、店舗ネットワーク、インターネットを活用し、プリントサービス事業だけに留まるのではなく、写真と映像、コミュニケーションに関する事業に積極的に挑戦することで、当社のビジョンである「みんなの広場をつくる。」を実現し、企業価値を高めてまいります。(2）目標とする経営指標　当社グループは、株主価値向上のために、安定的かつ継続的に成長していく企業であり続けるために、財務体質の強化を図り、収益性を総合的に向上させるべく株主資本利益率（ＲＯＥ）を重要な指標として、その向上を実現し、内部留保の充実と業績に応じた株主への利益還元を行うことで、経営責任を果たしてまいります。(3）中長期的な会社の経営戦略　当社グループは、イメージング事業におけるパレットプラザ店舗の業態転換による事業構造改革が一巡した中、フランチャイズ事業として、新たなブランド創造と展開を可能にするべく、本部機能の強化を行うとともに、経営リソースを製品開発及びIT投資に集中してまいります。モバイル事業においてはキャリアショップの出店と人材育成に加え、高まる法人ニーズにも対応すべく営業チャネルの強化を推し進めてまいります。(4）事業上及び財務上の対処すべき課題　当社グループは、持続的な成長と中長期的な企業価値向上を目指し、既存事業における収益基盤の強化と新規事業による新たな収益源の創出に取り組んでまいります。今後、当社グループの企業価値を高め、経営基盤を安定させるため、以下の重点課題に対処してまいります。①　モバイル事業におきましては、戦略的な店舗投資や人材教育投資を引き続き行い、お客様のご要望に沿った利用価値提案を行うことで、お客様満足度を向上させるとともに、お客様との継続的な関係の強化に取り組んでまいります。格安サブブランドの販売割合が増加するなか、店舗外での販売イベントを引き続き推進し、顧客数の拡大に注力しつつ、付加価値の高い商材を拡充してまいります。法人営業部門においては、今まで以上に社内連携を推し進め、グループとしての総合提案力を生かしたアップセル・クロスセルの実現を目指し、また、新たな商品・サービスの開拓を通じ、新規顧客の開拓に取り組むとともに、 顧客基盤の安定化による収益基盤の強化を行ってまいります。②　イメージング事業におきましては、ＦＣ加盟店の長期店舗経営継続のため、経営の安定化に向けた施策、新商品ならびにサービスの開発などの取り組みを行い、引き続き、当社とフランチャイズ加盟店との強いパートナーシップを築いてまいります。お客様とのタッチポイント（顧客接点）の拡大を目指し、ポップアップストア企画・運営で培ったノウハウや経験を生かした新たなプロダクト開発の場として、ポップアップストアの出店を拡充してまいります。また、DIYクラフトキット『つくるんです®』におきましては、新ラインナップの投入や、継続的な情報発信により、知名度とブランド認知向上に努めてまいりました。引き続き、お客様からの課題の傾聴と適切な提案により、顧客との更なる関係強化を図ってまいります。また、“オンライン会議のための個室空間”パーソナル・ミーティング・ボックス「One-Bo（ワンボ）」の販売体制と製品ラインナップの強化を図ってまいります。③　事業の立ち上げ期に入るアパレル、グランピングなど、時代の変化を機敏にとらえ、当社の知見を活かした商品、サービスの開発ならびに新たな収益の柱になり得る事業の創出を積極的に取り組んでまいります。④　継続的に事業を展開していくため、グループ全体の内部統制の充実と事業リスクへの対応が必要不可欠と考え、当社グループを取り巻くあらゆるステークホルダーの期待に応えられるよう、コーポレートガバナンスへの積極的な取り組みを通じて、企業価値の向上に繋げ、内部統制の充実と事業リスクへの対応に注力してまいります。⑤　SDGs（持続可能な開発目標）に関連する社会的課題の解決に向け、多角的な取り組みを検討するなかで、当社グループの成長と課題の解決を両立する事業の創出を目指すとともに、持続可能な社会の実現に貢献してまいります。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が当社グループの財政状態、経営成績及びキャッシュフローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1）モバイル事業に関するリスク法的規制・法改正等について携帯電話等販売等の代理店業務は、「電気通信事業法」をはじめとして、「個人情報保護法」、「携帯電話不正利用防止法」等の関連法的規制があります。当社グループは、上記法令等を順守するため、従業員への教育・啓発を含めた社員教育の強化に努めておりますが、上記法令等に違反した場合には、当社グループに対する信頼性の低下に加えて、営業停止等の処分、代理店契約の解除、損害賠償の請求などを受ける可能性があり、当社グループの業績に影響を与える可能性があります。加えて、総務省等の行政機関による政策の推進やガイドラインの制定・改定など法令等の改正等に対して適切な対応ができなかった場合にも、当社グループの業績に影響を与える可能性があります。(2）イメージング事業に関するリスクフランチャイズの展開について当社グループは、フランチャイズ形式によるプリントサービスショップの経営指導を営んでおります。フランチャイズ本部としての機能に対する評価が不十分なものとなり、当社グループに起因しない加盟店側の事情の発生などによる拠点数の減少により、当社グループの業績に影響を与える可能性があります。(3）全事業に関するリスク①景気動向・震災等の影響について当社グループが消費者に提供しているデジタルプリント及び携帯端末の商品サービスは、予測を超える経済情勢の変化、震災や天候不順、感染症などにより、消費者の旅行や行楽などの写真を撮る機会に影響を受ける場合、当社グループの業績に影響を与える可能性があります。②店舗従業員の確保について当社グループでは、更なるお客様満足度および販売品質の向上を図るため、店舗従業員の十分な確保が必要と考えております。一方でサービスの多様化に伴う店頭業務の複雑化、接客時間の増加等により、店舗従業員の確保及び定着率の向上が課題となっております。当社グループは、店舗従業員の魅力的な職場環境の整備、社内教育・研修の充実など、人材育成に全社挙げて取り組むことで、店舗従業員の確保及び定着率の向上に努めております。しかしながら、人手不足にともなう求人コスト及び賃金水準の高騰、店舗従業員が十分に確保できない場合のサービスレベル低下等により、当社グループの業績に影響を与える可能性があります。③個人情報について当社グループは、デジタルプリントサービス及び写真関連商材等の店頭における販売・サービス（フランチャイズ形式によるフォトサービスショップを含む）、Ｗｅｂサイトを運営するインターネット販売、携帯端末等の販売等において、お客様の写真画像を含む個人情報を取得しております。お客様が当社グループの提供する商品サービスを安心してご利用いただけるように、お客様の個人情報保護の重要性について認識し、個人情報に関する法律を遵守するとともに個人情報保護方針を策定し個人情報の適切な取扱いおよび保護に努めていますが、何らかの原因で個人情報の漏洩が生じた場合には、当社グループに対する信頼の低下や求償等により当社グループの業績に影響を与える可能性があります。(4）その他戦略上に関するリスク新規事業について当社グループは、安定した収益性確保のため、今後も新規事業参入に必要な先行投資を行う可能性があります。先行投資を行った場合の取り組みスピードや精度などにより、一定期間内に当初予測した収益を上げられなかった場合には当社グループの業績に影響を与える可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　　当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。 ①財政状態及び経営成績の状況当連結会計年度におけるわが国の経済は、新型コロナウイルス感染症拡大に伴う行動制限の緩和により、３年ぶりに行動制限のないゴールデンウィーク、夏休み、冬休みとなりました。一方、長期化するウクライナ情勢や、急速な円安による物価上昇・原材料価格の高騰等により、経済の先行きは不透明な状況にあります。このような事業環境において、当社グループは引き続き、モバイル事業の生産性向上と、パレットプラザをはじめとしたイメージング事業の新たな収益の柱となる事業の創造に積極的に取り組んで参りました。 モバイル事業におきましては、オンライン販売を通じた格安プランの台頭など事業環境は大きく変化しています。そのような中、「SoftBank」、「Y!mobile」ブランドそれぞれの特長を活かし、多様なお客様のニーズに対応してまいりました。しかしながら、前連結会計年度と比べると、スマートフォンの販売台数は減少しています。要因としては、前第１四半期連結会計期間において「Y!mobile」ブランドへの移行を希望されるお客さまが増加したことの反動によるものと、円安等の影響による主力のスマートフォンの販売価格の値上げによる買い替えサイクルの長期化が挙げられます。また、店舗外での販売イベントを積極的に実施した結果、イベント場所の使用料金および派遣スタッフ費用が増加しました。一方で、実店舗の強みを生かした新たな取り組みとして、スマートフォンの設定などに不安のあるお客さまを対象にした店頭サポートの定額サービスを開始いたしました。なお、当連結会計年度末における店舗数は、89店舗となっております（前連結会計年度末109店舗）。デジタルデバイスや周辺ソリューションへの企業ニーズが高まってきていることから、法人営業部門の人員を拡充し、当社の店舗に来店される法人顧客に対しましては、端末の販売に加え、企業のDX推進をサポートしてまいりました。以上の結果、モバイル事業の業績は、減収、増益となりました。 イメージング事業におきましては、プリント事業最大の商機である年賀状プリントは、Web年賀受付サービスを含む当社チェーン店全体の販売枚数は1283万枚（前年同期比84.3％）となりましたが、販売戦略の見直しにより、年賀状プリントの当社チェーン店全体売上高は前年同期比92.3％となりました。　iPhone修理の「アイサポ」を展開する株式会社ギア（本社：東京都新宿区）と提携して、「パレットプラザ」内でスマホ修理サービスをスタートし、当連結会計年度末までに38店舗で同サービスを開始しております。　なお、パレットプラザの店舗数は、当連結会計年度末には、フランチャイズ店舗190店、直営店舗22店となりました（前連結会計年度末フランチャイズ店舗239店、直営店舗は８店）。　新たなお客様との接点を増やす方法として、ポップアップストア専門部署を設置して、開催場所の選定から運営まで行える体制を整え、『つくるんです®』の知名度とブランド認知向上に努めました。　“オンライン会議のための個室空間”パーソナル・ミーティング・ボックス「One-Bo（ワンボ）」は、新たなラインナップを追加することで、多様なお客様のニーズに応えて参ります。　新たな収益の柱となる事業開発にコストを要したため、イメージング事業の業績は、減収、減益となりました。 以上の結果、当連結会計年度における売上高は、191億27百万円（前期比11.9％減）、営業利益は91百万円（前期比20.7％減）、経常利益１億19百万円（前期比51.8％減）、親会社株主に帰属する当期純損失２億４百万円（前期１億20百万円の利益）となりました。　また、上記取り組みにより当社グループの重要な指標と位置づけている株主資本利益率（ＲＯＥ）は、△8.2％(前期4.4％)となりました。引き続き収益性と資本効率の向上に努めてまいります。 ②キャッシュ・フローの状況当連結会計年度末の現金及び現金同等物は、前連結会計年度末に比べ２億33百万円減少し、11億72百万円となりました。　当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。  （営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローは、前期に比べ収入が４億29百万円増加し、４億39百万円の収入（前期９百万円の収入）となりました。主な要因は、売掛債権の減少額が１億70百万円増加し、未収入金の増加額が１億55百万円減少したことによるものであります。（投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローは、前期に比べ支出が１億46百万円増加し、４億33百万円の支出（前期２億87百万円の支出）となりました。主な要因は、有形固定資産の取得による支出の増加３億38百万円によるものであります。（財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローは、前期に比べ支出が２億24百万円増加し、２億42百万円の支出（前期17百万円の支出）となりました。主な要因は、長期借入金による収入の増加２億円、セール・アンド・リースバックによる収入の増加63百万円があったものの、短期借入金の純増減額が６億20百万円減少したことによるものであります。  ③生産、受注及び販売の実績ａ．生産実績　当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額（千円）前期比（％）イメージング事業989,977△30.9モバイル事業1△98.4合計989,979△30.9（注）上記の金額は、販売価格によっております。 ｂ．仕入実績　当連結会計年度における仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額（千円）前期比（％）イメージング事業963,5353.5モバイル事業11,131,945△16.5合計12,095,481△15.2 ｃ．受注実績　当連結会計年度は受注実績がないため記載は行っておりません。 ｄ．販売実績　当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額（千円）前期比（％）イメージング事業3,244,981△14.2モバイル事業15,882,048△11.5合計19,127,029△11.9（注）最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度（自  2021年４月１日至  2022年３月31日）当連結会計年度（自  2022年４月１日至  2023年３月31日）金額（千円）割合（％）金額（千円）割合（％）ソフトバンク株式会社7,323,20333.77,013,98736.7  (2）経営者の視点による経営成績等の状況に関する分析・検討内容　　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①財政状態及び経営成績の状況に関する認識及び分析・検討内容　　当社グループの当連結会計年度の財政状態及び経営成績等は、以下のとおりであります。 　当社グループの当連結会計年度の経営成績は、売上高191億27百万円（前期比11.9％減）、営業利益91百万円（前期比20.7％減）、経常利益１億19百万円（前期比51.8％減）、親会社株主に帰属する当期純損失２億４百万円（前期１億20百万円の利益）となりました。（売上高）　当連結会計年度における売上高は、前連結会計年度に比べ25億92百万円減少の売上高191億27百万円（前期比11.9％減）となりました。主な要因は、モバイル事業におけるモバイル端末等の販売数の減少によるものであります。（営業損益）　当連結会計年度における営業利益は、前連結会計年度に比べ23百万円減少の営業利益91百万円（前期比20.7％減）となりました。主な要因は、新事業を開発するためのコストが増加したことによるものであります。（経常損益）　当連結会計年度における経常利益は、前連結会計年度に比べ１億28百万円減少の経常利益１億19百万円（前期比51.8％減）となりました。主な要因は、上記に記載しておりますとおり売上高及び営業利益が減少したことによるものであります。（親会社株主に帰属する当期純損益）　当連結会計年度における親会社株主に帰属する当期純利益は、前連結会計年度に比べ３億25百万円減少し２億４百万円の損失（前期１億20百万円の利益）となりました。主な要因は、上記に記載しております経常利益の減少によるものであります。（株主資本利益率）　当社グループの重要な指標と位置づけている株主資本利益率（ＲＯＥ）は、△8.2％(前期4.4％)となりました。主な要因は、親会社株主に帰属する当期純利益の減少によるものであります。引き続き収益性と資本効率の向上に努めてまいります。 　当社グループの財政状態は、以下のとおりであります。（資産）　当連結会計年度末の総資産の額は116億81百万円となり、前連結会計年度末に比べ４億47百万円の減少となりました。主な要因は、未収入金が２億17百万円増加し、売掛金が２億86百万円、現金及び預金が２億33百万円減少したことによるものであります。（負債）　当連結会計年度末の負債の額は93億70百万円となり、前連結会計年度末に比べ75百万円の減少となりました。主な要因は、未払金が62百万円増加し、短期リース債務が68百万円、長期借入金が40百万円減少したことによるものであります。（純資産）　当連結会計年度末の純資産の額は23億10百万円となり、前連結会計年度末に比べ３億71百万円の減少となりました。主な要因は、親会社株主に帰属する当期純損失２億４百万円及び支払配当金１億21百万円、自己株式の取得26百万円によるものであります。なお、当連結会計年度末における自己資本比率は、前連結会計年度末の22.1％から19.8％となりました。   　セグメントごとの財政状態及び経営成績の状況に関する認識及び分析・検討内容は次のとおりであります。 モバイル事業　当連結会計年度のモバイル事業においては、当連結会計年度の新料金プラン移行からの反動などにより、売上高158億82百万円（前年同期比11.5％減）、セグメント利益は３億95百万円（前年同期比34.6％増）となりました。 イメージング事業　当連結会計年度のイメージング事業においては、新規事業開発コストを計上したことなどから、売上高32億44百万円（前年同期比14.2％減）、セグメント損益は４億79百万円の損失（前年同期３億２百万円の損失）となりました。 ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報キャッシュ・フローの状況の分析　当社グループの当連結会計年度のキャッシュ・フローは、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1）経営成績等の状況の概要　②　キャッシュ・フローの状況」に記載のとおりであります。 資本の財源及び資金の流動性　　当社グループの運転資金需要のうち主なものは、営業活動については、商品販売に必要な運転資金（商品仕入、販管費等）が主な内容であります。投資活動については、店舗の出店・修繕、生産性向上のための設備投資などが主な内容であります。　　当社グループは、運転資金については内部資金より充当し、不足が生じた場合は短期借入金で調達を行っております。また、国内金融機関とシンジケートローン契約を締結し、流動性を補完しております。　　設備投資については、営業キャッシュ・フローの範囲内で実施することを基本としておりますが、不足が生じた場合は、長期借入金・社債等により調達を行っております。　　長期借入金、社債等の調達については、事業計画に基づく資金需要、金利動向等の調達環境、既存借入金の返済時期等を勘案し、調達規模、調達手段を適宜判断して実施しております。　　株主還元については、安定した配当を維持することが重要であると考えております。安定配当をベースに１株当たり利益の増加にあわせて増配等を行ってまいりたいと考えております。自己株式については、事業計画の進捗状況、業績見通し、株価・金融市場動向等を総合的に勘案して取得を検討していく方針であります。 ③重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表の作成にあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なることがあります。　なお、連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１　連結財務諸表等　(1）連結財務諸表　注記事項　（重要な会計上の見積り）」に記載のとおりであります。  
経営上の重要な契約等	５【経営上の重要な契約等】(1）フランチャイズ加盟契約当社グループはフランチャイズ・チェーンを展開するために、㈱プラザクリエイトと加盟店との間に加盟契約を取り交わしております。契約内容の要旨は次のとおりであります。ａ　契約の名称　　パレットプラザフランチャイズ加盟契約ｂ　契約の本旨　　㈱プラザクリエイトが事業展開する「パレットプラザチェーン」に加入し、当社が賦与するノウハウを用いて加盟店として独立の事業を行うことにより、フランチャイズ契約関係を形成することである。ｃ　契約の目的　　当社と加盟者の協力にもとづき、パレットプラザチェーンシステムによる統一性をもったパレットプラザ事業を展開させることによって、両者の共存共栄を図り、併せて地域住民のよりよい生活を実現すること。ｄ　加盟に際し徴収する加盟金、保証金その他の金銭に関する事項イ．加盟金　　　　300万円ロ．ロイヤリティ　加盟店の「月間総売上高」の３％ハ．保証金　　　　75万円ニ．商品代金　　　加盟店が本部から仕入れた商品・原材料等の代金ｅ　フランチャイズ権の賦与（ライセンスの許諾）イ．パレットプラザ店を象徴する「PALETTE PLAZA」、「ニャン太（図形）」、「双子時計（図形）ただいまの時間仕上がり時間」等の商標、サービスマークの使用権ロ．パレットプラザチェーンシステムの経営ノウハウとその情報、各種マニュアル、資料、書式等を使用する権利ｆ　契約の期間及び更新イ．契約期間　　　本契約の締結日より満２ケ年ロ．契約更新　　　１年ごと自動更新 (2）モバイル事業における販売代理店契約等契約会社名相手先の名称国名契約品目契約締結日契約期間契約内容㈱プラザクリエイトソフトバンク株式会社日本電気通信サービスの加入取次2007年５月１日2022年４月１日から2023年３月31日まで（自動更新）販売代理店契約   (3）シンジケートローン契約　当社は、借入条件の改善、年間返済額の均等化等を目的として、2023年３月24日に株式会社みずほ銀行をアレンジャー兼エージェント、株式会社三井住友銀行をコ・アレンジャーとする総額1,990,000千円のシンジケートローン契約を締結しております。 シンジケートローン契約の概要１.借入先株式会社みずほ銀行、株式会社三井住友銀行他６行２.組成金額1,990,000千円（コミットメントライン）３.実行可能期間2023年３月31日～2024年３月29日４.最終返済期限2024年３月29日５.財務制限条項等「第５ 経理の状況　１ 連結財務諸表等　(1）連結財務諸表　注記事項（連結貸借対照表関係）」及び「第５ 経理の状況　２ 財務諸表等　(1）財務諸表　注記事項（貸借対照表関係）」に記載のとおりであります。   
研究開発活動	６【研究開発活動】　該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】セグメントの名称金額（千円）前期比（％）イメージング事業615,464557.5モバイル事業90,339△52.7合計705,803148.2（注）上記の金額には、のれんを除く無形固定資産が含まれております。 　設備投資の主なものは、店舗リニューアル及び出店による建物設備、什器、並びに機械装置等であります。なお、所要資金につきましては自己資金及び金融機関からの借入等によっております。 
主要な設備の状況	２【主要な設備の状況】当社グループにおける主要な設備は、次のとおりであります。(1）セグメント別内訳（2023年３月31日現在） セグメントの名称帳簿価額（千円）従業員数（人）建物及び構築物機械装置及び運搬具土地（面積㎡）リース資産その他合計イメージング事業416,68585,3621,471,048（11,863）91,458470,4362,534,992100〔83〕モバイル事業689,868371－（－）0227,029917,268517〔36〕全社（共通）9,2105,92540,200（2,284）－14,68770,02310〔5〕合計1,115,76491,6591,511,248（14,147）91,458712,1533,522,284627〔124〕（注）１．従業員数は就業人員であり、臨時従業員数は〔　〕内に年間の平均人員（１日８時間換算）を外数で記載しております。２．リース資産には、無形固定資産が含まれております。３．その他には、建設仮勘定及び無形固定資産が含まれております。 (2）提出会社の状況（2023年３月31日現在） 事業所名（主な所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）年間賃借料（千円）建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計本社（東京都中央区）全社(共通)その他設備9,2105,925－（－）－14,68729,82310〔5〕6,267その他設備自社利用不動産－－40,200（2,284）－－40,200－〔－〕－（注）１．年間賃借料は主として建物に係るものであります。２．従業員数は就業人員であり、臨時従業員数は〔　〕内に年間の平均人員（１日８時間換算）を外数で記載しております。３．その他には、無形固定資産が含まれております。  (3）国内子会社の状況（2023年３月31日現在） 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）年間賃借料（千円）建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計㈱プラザクリエイト和光プリントセンター (埼玉県和光市)イメージング事業生産設備16,9541,302－（－）－9,14527,4016〔10〕24,263プリント直営店舗(イオンモール多摩平の森店他 22店舗)イメージング事業店舗設備82,8418,073－（－）75,55024,782191,2488〔52〕152,932プリントＦＣ店舗(さんちか店他 190店舗) イメージング事業店舗設備175,57058,78726,510（29）7,62311,261279,753－〔－〕2,823モバイル店舗(ワイモバイルMOMOテラス六地蔵店他 89店舗) モバイル事業店舗設備684,727－－（－）－81,671766,398408〔29〕751,621（注）１．年間賃借料は主として建物に係るものであります。２．従業員数は就業人員であり、臨時従業員数は〔　〕内に年間の平均人員（１日８時間換算）を外数で記載しております。３．リース資産及びその他には、無形固定資産が含まれております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式41,508,774計41,508,774
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月30日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式13,836,25813,836,258東京証券取引所スタンダード市場単元株式数は100株であります。計13,836,25813,836,258－－  
