項目	値
事業の内容	３【事業の内容】 　当社グループは、当社、連結子会社５社、その他の関係会社１社で構成され、自動車関連卸売事業（含む高級アルミホイールの製造販売事業）を主たる事業とし、他に物流事業、自動車用品小売事業、高齢者向けの複合福祉事業及び賃貸事業を営んでおります。 　当社グループの事業に係わる位置付け及び事業部門との関連は、次のとおりであります。自動車関連卸売事業卸売事業………当社及び㈱東京車輪は、自動車用ホイール、カーアクセサリーパーツ等、自動車部品のアフターパーツを一般市販市場に販売をしております。中央精機㈱はスチールホイールの製造を行っております。威直貿易（寧波）有限公司は、自動車ホイール部品等を主体に中国市場にて販売をしております。（主な関係会社）当社、㈱スーパースター、㈱東京車輪、威直貿易（寧波）有限公司、中央精機㈱製造販売事業…㈱スーパースターは、当社及び一般市場向けに高級アルミホイールの製造販売をしております。（主な関係会社）㈱スーパースター物流事業物流事業………㈱ロジックスは、当社、中央精機㈱で扱っているホイールやその他のオリジナル商品の保管、荷役を行っております。また、一般市場向けに倉庫サービスの提供をしております。（主な関係会社）㈱ロジックス自動車関連小売事業小売事業………㈱バーデンは自動車用ホイール、カーアクセサリーパーツ等、自動車部品のアフターパーツを一般消費者に販売をしております。（主な関係会社）㈱バーデン福祉事業　高齢者向けの複合福祉事業を行っている㈱バーデンで構成されております。（主な関係会社）当社、㈱バーデンその他の事業　携帯電話代理店事業　　㈱バーデンで構成されておりました携帯電話代理店事業ですが、2024年２月末をもって、既存店舗の運営を外部企業に譲渡し、事業から撤退いたしました。（主な関係会社）㈱バーデン　賃貸事業　　不動産の賃貸を行っている㈱バーデンで構成されております。（主な関係会社）㈱バーデン 　事業の系統図は次のとおりであります。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1）経営方針　当社の経営理念である「ウェッズの永遠のテーマ、それはＣＨＡＬＬＥＮＧＥです。私達は人と車の未来に向けて、常に新しく価値ある商品を創造し、社会に貢献します。」を念頭に置き、「私達は、お客様最優先の営業方針と会社・株主・社員三位一体の取り組みにより、会社の繁栄と安定を追求して、株主利益の向上と社員のライフプラン充実に努めます。」を経営方針としております。　当社は、1969年に我が国で初めてホイールを市販市場へ商品投入したいわばカスタム・ホイールの草分けでもありますが、かかる基本方針の下に「顧客と株主の皆様から信頼を戴き、社員が豊かさや夢を追求する会社」、そして「カー用品卸売業界で存在感のある会社」になることを経営目標に掲げて努力をいたします。 (2）中長期的な会社の経営戦略等　　当社グループにおける、主な各社の中長期経営戦略は次のとおりであります。〔Ⅰ〕㈱ウェッズの中長期戦略①ウェッズ・ブランド構築　高中級アルミホイールブランド構築においては、抜本的な商品戦略として現場からのフィードバック、国内外イベント参加、海外ショーの参加など全方面への市場マーケティングの強化で各ブランドの継承と進化で新しい取り組みを積極的に行い、更には従来の紙媒体重視からＨＰやＳＮＳ、動画などへのシフトでの活性化を図り、各カテゴリーでの付加価値商品の開発による幅広いブランド力の構築を進めてまいります。また、当社グループはウェッズとスーパースターの２ブランドで商品の開発力を強化して市場シェアーを高めるように取り組んでまいります。②ウェッズ・ルネッサンス活動　当社は、営業の会社として（ア）社員が明るく元気でよく働き、お客様最優先の営業方針が行き届く会社、（イ）自動車用品アフターマーケットにおいて売上高・利益が業界ダントツの会社を目指しております。鍵は社員のモチベーションアップであり、ウェッズ・ルネッサンス活動により会社活性化と営業力強化対策を推進しております。③ウェッズ営業力強化及びシステム構築　当社は、コア事業（ホイール・用品の卸売業）の拡大を目指しており、営業力強化として更なる革新性・創造性・柔軟性・整合性が持てる企業風土への変革を目指しております。また、過年度に開発完了しましたＷＥＢ受注システムにおいては、利用頻度を上げていただくためのフェーズに移行しております。お客様の利便性向上のため使用状況のフィードバックを行い、また、内務者の業務効率向上の為に開示商品群を追加し利用率を高める改良を進めております。また、基幹システムは稼働して16年が経過し、営業所内務者の業務効率化をサポートするためシステム改善を進めております。このような改善のもと営業力とシステム力を強化し更に効率のよい体制を目指してまいります。 〔Ⅱ〕㈱バーデンの中長期戦略①自動車用品小売事業の収益力改善　㈱バーデンでは、カー用品とカーメンテナンスの専門店「ジェームス」と、より多くの顧客に向けたネット販売を運営しております。　ジェームス店舗では、クルマのトータルアドバイザーとして、お客様への最適な提案と安全な技術の提供を通じて、豊かなモビリティーライフを実現し、今後の自動車用品小売市場で勝ち残っていくために、(1)安定した収益基盤の確立、(2)魅力ある店舗運営、(3)バーデンらしさの訴求、の３つのビジョンの実現に向けて取り組んでまいります。　ネット販売部門では、近年の消費者購買行動の変化に対応し、今後さらなる売上増加を目指すために、(1)運営体制の強化、(2)PB商品開発を含めた取扱商品の拡充、(3)販売チャンネルの拡大、の３つのビジョンの実現に向けて取り組んでまいります。②福祉事業の採算性の改善と入居の促進　㈱バーデンが運営する福祉施設グレイシャスビラ安城は、常に敬愛の念を抱き、「安心」「安全」「安穏」をご提供する「おもてなし」の心を持ち、日々の運営にあたっております。　今後、少子高齢化が益々進み、福祉業界自体の変化も想定されるため、これからの安定した運営基盤を構築するために、新型コロナウィルス感染症をはじめとする各種感染症対策の継続と、自社での運営領域を広げることを最重要課題とした上で、(1)地域医療機関との連携強化、(2)介護職員の確保とその育成、(3)入居者数の確保を進めてまいります。 〔Ⅲ〕㈱スーパースターの中長期戦略①高級品アルミホイール生産基盤の強化　㈱スーパースターは高級品の２ピース、３ピースホイールの販売事業を営む㈱ウェッズ100％出資の子会社であります。2006年４月の営業開始から18年間が経過いたしました。しかし、高級品市場の低迷により収益力が好転せず対策として販売基盤の強化に取り組んでおります。現在は㈱ウェッズがスーパースターオリジナル商品の総販売代理店となり販売部門を㈱ウェッズと統合いたしました。㈱スーパースターは製造に特化することにより経営効率を高めることといたしました。今後は品質管理・生産管理の徹底、仕掛品在庫の圧縮、環境安全対策の推進等に取り組んでおり、社員のモチベーションアップにより課題解決をしてまいります。〔Ⅳ〕㈱ロジックスの中長期戦略①物流事業の競争力強化及び物流基盤構築　㈱ロジックスは、愛知県を基点に北海道、東北、関東、中部、近畿、中国、九州の各エリアに計16箇所の物流拠点を配置し、物流競争力強化に向けた取り組みを推進しているものの、昨今国内トラック輸送力の低下（輸送不可・配送日数の長期化）等から発生する課題が顕在化してまいりました。当社はこれらの課題に対応すべく、顧客と協力し、より効率的な物流の再構築を進めております。今後も国内拠点と輸送網の最適化や情報システムの整備を継続し、自社の更なる競争力向上と顧客の物流総費用低減を推進してまいります。 (3）目標とする経営指標　当社グループは、目標とする経営指標を連結経常利益率に絞って、５％以上を維持、継続することを目標として、引き続きチャレンジしてまいりたいと存じます。 (4）優先的に対処すべき事業上及び財務上の課題　当社グループは、自動車用品アフターマーケットの成熟化や競争激化等に対応すべく体制強化に取り組んでおりますが、当社及び連結子会社が対処すべき課題は次のとおりであります。①自動車関連卸売事業における高中級アルミホイール商品開発力の強化　当社の高中級アルミホイールは、“クレンツェ”を筆頭にマーベリック、ウェッズスポーツ、レオニスなど主力ブランド商品で数多くのロングヒットを生み、市場で安定的な評価を得てまいりましたが、近年はマーケットの縮小成熟化による影響で商品戦略の見直しが必要となりました。　特に、当社の中核である付加価値の高い中級品において商品力の回復を図るために各観点から抜本的な見直し、多様化するニーズに対応する新規商品の開発を再構築をすることでⅤ字回復の基礎固めをスタートさせ付加価値のある商品作りを目指してまいります。②自動車関連卸売事業における営業力強化及びシステム構築　当社は、今後の競争に勝ち抜くための決め手は営業力とシステム力と考えております。営業力は伝統的な強みを持っておりますが、更にお客様とのコミュニケーションを深め信頼を得てまいります。基幹システムは稼働して15年以上が経過し利便性の向上を目指し日々改良を進めております。　また、過年度に開発完了しましたＷＥＢ受注システムにおいては、利用頻度を上げていただくためのフェーズに移行しております。お客様の利便性向上のため使用状況のフィードバックを行い、また、内務者の業務効率向上の為に開示商品群を追加し利用率を高める改良を進めております。また、昨今のサイバー攻撃への防御対応も推進し、営業力とシステム力の強化により更に効率のよい体制を目指してまいります。③自動車関連卸売事業における商品管理の強化　当社主力商品のアルミホイールは、流行や嗜好性が高く販売競争や季節変動等により過剰在庫が生まれやすい問題点を抱えております。　数年来商品管理の在り方を見直し方針管理の徹底に取り組み過剰在庫の一掃を進めておりました。しかし販売の増減の対処法を更に強化するため、販売部・経理部・業務部の連携を深め、商品アイテム、サイズラインナップの見直し、発注ロットの最小化の交渉を進め、今後も外的要因に左右されない販売・生産・適正在庫を目指してまいります。 ④自動車関連卸売事業における高級アルミホイール製造販売の拡充　連結子会社㈱スーパースターは、当社グループの自動車関連卸売事業における高級アルミホイールの商品供給力強化のために、製造に特化し生産効率の改善に努めてまいります。⑤自動車関連小売事業の収益改善　連結子会社㈱バーデンは、自動車用品小売事業を戦略部門に掲げ、カー用品とカーメンテナンスの専門店「ジェームス」を運営しております。　カー用品店として、お客様に安全・安心なカーライフを楽しんでいただくため、高い知識と確かな技術力、充実した品揃え、見て触れて体感できる売り場、親切で分かりやすい応対ができるスタッフ、待ち時間も快適に過ごしていただける待合いサロンなど、お客様の立場に立った店舗づくりを目指しております。　近年の市場環境の変化に対して、タイヤ・オイル・バッテリーなどのメンテナンスサービスや、車検整備といった、収益性の高い部門を中心に積極的に販売強化を行ってまいります。併せて、安定した質の高いサービスを提供するための体制を確保すべく、人員の採用と有資格者の内部育成に努めてまいります。　また、より多くの顧客に向けたネット販売においても、実店舗でのニーズを基に、幅広く魅力的な商品を提案することで、さらなる収益拡大を目指してまいります。⑥福祉事業の収益改善　連結子会社㈱バーデンでは、複合福祉施設“グレイシャスビラ安城”を2005年に開業いたしました。その後、運営規模を拡大し入居者の増加と効率化を進めてまいりましたが、介護職員の不足などにより新規入居者の受入れが進まず、一時期業績が悪化しましたが、2019年から運営方法の見直しを行い、入居者にはより住みやすく、職員にはより働きやすい施設を目指し、現在も改革を進めております。従来からの有料老人ホーム・訪問介護事業・通所介護事業・障害者支援事業に加え、2021年12月には訪問看護事業も立ち上げ、自社での運営領域を広げる事で、収益も改善してきております。　併せて、当施設は昨年５月の新型コロナウィルス感染症５類移行後も、入居者への感染防止対策を継続し、安心・安全な環境を提供してまいります。⑦輸出売上高の確保　当社は、国内市場の成熟化が進んでおり、現在の輸出先は、北米・東南アジア向けを中心に限定的な販路・金額にとどまっております。そこで、中期ビジョンの一環として適格人員登用や根本的なビジネスプラン見直しを行う等のテコ入れを実施いたします。また、新型コロナウィルス感染症による影響が長引いて、渡航不可、イベント中止などで営業活動が制約されておりましたが、一部制約規制は残る中でようやく緩和され渡航など可能となりましたので、ビジネスプランの見直しとして積極的な攻めの営業活動を実施いたします。各エリアや各国の市場性のマーケティングにより特定し注力市場の優先順位＆商品開発を行い、更にはＳＮＳ、動画配信など活用したプロモーションを強化して、世界市場への拡販を目指してまいります。⑧物流事業の倉庫運用、輸配送の効率化と拠点網の最適化　連結子会社㈱ロジックスは、日本国内９箇所の自社運営倉庫及び７箇所の外注倉庫を管理・運営し、当社商品や自動車用部品等について高効率・高品質な物流サービスを提供すべく、物流企画・管理・改善活動に取り組んでおります。しかしながら「物流2024年問題」に象徴されるドライバー不足による路線便の減便、庫内作業者などの人員不足、更には顧客の生産変動や市場の季節変動といった物流波動への対応が課題となっております。これらの課題を解決すべく、当社商品については日本国内の物流拠点や輸送の再編、輸入製品の一貫最適物流の検討、新WMS導入による生産性向上、また自動車用部品については2021年に開設した愛知県の自社倉庫を軸に生産変動にフレキシブルに対応する稼働体制・輸配送サービスの構築・提供に取り組んでおります。⑨携帯電話代理店事業の収益改善　連結子会社㈱バーデンでは、2003年の会社設立時より山形県において、携帯電話代理店事業を行ってまいりました。しかし近年の携帯端末の購入方法の多様化や低価格ブランドの台頭、来店客数の減少などにより台あたり収益が減少し、店舗業績が悪化しておりました。　以後、代理店として様々な収益改善策を講じてまいりましたが、キャリアからの今後の収益の見通しも不透明な事から、2024年２月末をもって、既存店舗の運営を外部企業に譲渡し、事業から撤退いたしました。⑩内部統制の仕組みの改善・強化　当社並びに連結子会社㈱バーデンにおいて、2022年５月に公表しました通り従業員による不正行為が発覚いたしました。　当社グループではコンプライアンス重視の経営を掲げ、再発防止に向け仕組み・運用面、システム面、人事・組織面など様々な観点より対策を決定し定着をはかっております。それらの運用状況については定期的に再発防止推進委員会を通してフォローしております。また、コンプライアンスを意識した風土作りや研修等を通した従業員の意識改革に取り組むことで、内部統制全体の仕組みを強化してまいります。 
事業等のリスク	３【事業等のリスク】　　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。①経済状況と消費構造及び市況の変化　当社グループの営業収入のうち重要な部分を占める自動車関連卸売事業の需要は、当社が商品を販売している日本国内の経済状況、なかでも国内新車販売の長期的動向の影響を受けております。また、わが国では経済の成熟化によって消費の構造変化が生じておりますが、自動車業界においても新車販売が減少して軽自動車へのシフトが顕著であり車の平均使用年数も延びております。こうした流れは一般的に自動車関連用品の需要を縮小させます。　また、同事業では、販売競争が激しく市場淘汰が進行中でありますが、需要の変動や競合先との関係等から販売価格・数量に影響を受ける場合があり、それらが当社グループの連結業績と連結財務状況に悪影響を及ぼす可能性がある上、ウクライナ情勢等が経済や消費動向に今後どの程度影響を与えるか不透明であります。　上記のリスクに対しては、魅力的な商品の投入、得意先毎のニーズに合わせた個別の施策、また仕入先や物流会社の連結子会社㈱ロジックスとも協力してコスト低減を進め、競争力の向上を図ってまいります。②販売の季節的変動　当社グループの主たる販売商品の一つである廉価アルミホイール及びスチールホイールの需要は、スタッドレスタイヤとのセット販売により降雪時期において集中的に発生する傾向があり、商品安定供給には大幅なリードタイムが必要であります。一方でこうした冬用商品の販売動向は、降雪状況に左右されるところが大きく、地球温暖化の進行により、またウクライナ情勢等の経済への影響により、当社グループの連結業績と連結財務状況に悪影響を及ぼす可能性があります。　当社グループとしましては、そのような厳しい市場環境でも商戦に打ち勝つべく、鍵となる顧客との早期商談体制（商品別の数量・価格・時期）、メーカーからの効率的・安定的な商品調達体制、一括保管・ロット出荷の物流体制を整えてまいります。③原材料価格の変動に伴う商品の調達と販売価格の改定　当社グループの重要な営業品目のアルミホイール等自動車関連用品は、資材価格の高騰により仕入価格や製造コストが更に上昇する可能性があります。値上げを受け入れない限り商品調達が困難な場合もあるため大幅な値上げについてはお客様に販売価格の改定をお願いする前提で契約を進めざるを得ません。一方、お客様との販売価格交渉が円滑に進むかどうかは市場環境に左右されることが多く、当社グループの連結業績と連結財務状況に悪影響を及ぼす可能性があります。　当社グループとしましては、仕入先メーカーとの相互信頼関係のもと、コスト低減余地がないか検証の上、粘り強く価格交渉を行い、仕入原価の圧縮に努めてまいります。④為替レートの変動　当社の主要製品であるアルミホイールは、東アジアからの輸入が当社のアルミホイール仕入額の約８割を占めております。当社は輸入仕入代金の決済を、主に米ドル及び中国元建てで行っているため、両通貨の為替レートの変動、また通貨の切り上げ等があれば、当社グループの連結業績及び連結財務状況に悪影響を及ぼす可能性があります。　当社は、この為替変動リスクに対し、毎期輸入見込み額に基づく限度枠を設定し、為替予約等によるヘッジを行っております。⑤新商品の企画・開発　当社グループが販売する自動車用品のうち、特に高中級アルミホイールは車やレース愛好者に向けた嗜好性の強い商品であり、デザイン性等において流行に左右され易い特性を持っております。当社が市場と業界の変化を十分予測できず魅力ある商品を開発できない場合には、期待販売数量を確保できず将来の成長と収益性を低下させ、当社グループの連結業績及び連結財務状況に悪影響を及ぼす可能性があります。　当社グループでは、国内外への市場動向に目を向け各ブランドイメージを維持しつつもドラスティックな展開で業界の先端を走れるように努めてまいります。更には各営業所員からの販売最前線の情報と各ブランドマネージャーの斬新な感性を生かして魅力溢れる商品づくりに最大限の努力をしてまいります。 ⑥商品の品質　当社グループが販売するアルミホイールは、国土交通省制定の技術基準(JWL)に適合し、公的第三者試験機関である「日本車両検査協会」の厳格な品質・強度確認試験に合格した製品を、自動車用軽合金製ホイール試験協議会が認定の上、登録されてＶＩＡマークを表示しております。しかし、全ての商品について欠陥がまったく無く、将来においてリコールが発生しないという保証はありません。また、製造委託メーカーは製造物賠償責任保険に加入しておりますが、この保険が最終的に負担する賠償額を十分にカバーできるという保証はありません。当社グループが販売するオリジナル・アルミホイールに大規模なリコールや製造物賠償責任につながるような品質問題が発生すると、多額なコストの発生や当社の評価に重大な影響を与え、それにより売上が低下し、当社グループの連結業績及び連結財務状況に悪影響を及ぼす可能性があります。　当社ではオリジナル商品の品質保全を担保する一環で、各製造委託先に対して当社作成の品質保証マニュアルに沿う製造を要求しております。コロナ禍ではWebミーティングによる定期監査を実施してまいりましたが、今後は定期実地監査も再開させ、原因追及と改善対策のチェック＆フォローにより抑止効果を高め、品質の維持・向上に努めてまいります。⑦人材の確保・育成　「事業は人なり」と言われておりますように、当社グループは少数精鋭の有能な社員が会社や事業を支えており、その人材を絶やさないために継続的な確保や育成は必須で、特に次世代を担う若い世代の確保・育成は重要課題であります。　今後、グローバル化や国内市場の成熟化、消費者志向の多様化が一段と進行し、当社グループが扱う商品の需要が伸びにくい経営環境となることが予想され、かかる会社発展や事業目標の達成はまさに当社グループを支える人材の確保・育成が鍵となります。しかし、昨今の少子高齢化による労働力人口の減少や働き方の多様化などの労働市場を取り巻く環境が激変しており、グループ経営の将来を担う人材が不足となることで、各社における事業計画の達成にも大きな影響を及ぼし、当社グループにとって大きなリスクとなることは確実であります。　そのような環境の中、当社グループが今後も業界のリーディングカンパニーとして慢心することなく、チャレンジを継続し、更なる発展を遂げていくためには、それを支える人材の確保は重要課題であり、そして確保した社員にとって働き甲斐があり、日々の努力が報われるような魅力ある会社・グループであることは不可欠であります。　このような観点から、時代に沿った働き方改革への対応を更に進め、社員が存分に働き、余暇を十分に楽しむことで、業績を上げていけるようなワークライフバランスを臨める会社を目指してまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要等は次のとおりであります。 ①財政状態及び経営成績の状況　当連結会計年度におけるわが国の経済は、新型コロナウィルス感染症の影響緩和等もあり緩やかに回復しつつありますが、足元では物価高による個人消費の低迷や自動車生産減少等により鉱工業生産や輸出も弱含むなど足踏みしております。円安や資源、原油高の今後の動向、長引くウクライナおよび中東情勢など、事業環境への影響も引き続き注視が必要であります。　この結果、当連結会計年度の財政状態及び経営成績は以下のとおりとなりました。 〔財政状態〕　当連結会計年度における総資産額は24,960百万円となり、前期末に比べて991百万円増加いたしました。主たる要因は、現預金と商品在庫の増加によるものであります。　負債総額は7,226百万円となり、前期末に比べて170百万円の減少となりました。主たる要因は長期借入金と未払法人税等の減少によるものであります。　純資産は17,733百万円となり、前期末に比べて1,162百万円の増加となりました。主たる要因は利益剰余金の増加によるものであります。 〔経営成績〕　当連結会計年度は、物流事業の売上は増加いたしましたが、アルミホイール等が販売減となった自動車関連卸売事業などで売上が減少したことにより、売上高は、34,781百万円（前期比4.7％減）と減収となりました。営業利益は、1,982百万円（前期比21.6％減）、経常利益は2,381百万円（前期比15.2％減）、親会社株主に帰属する当期純利益は1,506百万円（前期比14.6％減）と、それぞれ減益となりました。（自動車関連卸売事業）　自動車関連卸売事業の売上高は、24,938百万円となり前期比1,716百万円（△6.4％）の減収となりました。これは主力のアルミホイール及び自動車用品等の販売減によるものであります。セグメント利益につきましても、売上減に加え円安の進展等による仕入価格上昇もあり、経費は減少いたしましたが、1,378百万円となり前期比520百万円（△27.4％）の減益となりました。（物流事業）　物流事業の売上高は、自動車生産の回復など荷動きが増えたことなどにより7,599百万円となり前期比103百万円（1.4％）の増収となりました。セグメント利益は475百万円となり前期比55百万円（13.2％）の増益となりました。（自動車関連小売事業）　自動車関連小売事業の売上高は、ジェームス店各店でタイヤはじめ自動車用品等の販売減により、2,525百万円となり前期比92百万円（△3.5％）の減収となりました。セグメント利益は売上減により、広告宣伝費等の経費は減少いたしましたが87百万円となり前期比55百万円（△38.8％）の減益となりました。（福祉事業）　福祉事業の売上高は、入居者の減少、また訪問介護や訪問看護も収入減となり、484百万円と前期比34百万円（△6.6％）の減収となりました。セグメント利益は、35百万円となり前期比19百万円（△36.1％）の減益となりました。（その他の事業）　携帯電話代理店事業では近年店舗業績の悪化が続き、様々な収益改善策を講じてまいりましたが、２月末をもって既存店舗の運営を外部企業に譲渡し撤退いたしました。売上高は、それらにより591百万円となり、前期比67百万円（△10.2％）の減収、賃貸事業の売上高は、81百万円となり前期とほぼ同額、合わせて673百万円と前期比66百万円（△9.0％）の減収となりました。　セグメント利益は、携帯電話代理店事業では売上減等により48百万円の損失と、前期比２百万円の悪化となりました。また、賃貸事業は57百万円の利益で前期とほぼ同額、合わせて９百万円と前期比２百万円（△23.8％）の減益となりました。 ②キャッシュ・フローの状況　当連結会計年度における現金及び現金同等物（以下、資金という）は、前期末に比べて992百万円増加し7,462百万円となりました。　なお、当連結会計年度におけるキャッシュ・フローの状況と主な要因は次の通りであります。（営業活動によるキャッシュ・フロー）　税金等調整前当期純利益、減価償却費等の増加要因より、棚卸資産の増加、法人税等の支払い等の減少要因を差し引いて、1,838百万円の増加となりました。（投資活動によるキャッシュ・フロー）　携帯電話代理店事業の譲渡による収入等があったものの、有形固定資産及び無形固定資産の取得による支出等により119百万円の減少となりました。（財務活動によるキャッシュ・フロー）　配当金の支払い、長期借入金の返済による支出等により729百万円の減少となりました。 ③販売の実績　当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額(千円)前期比(％)自動車関連卸売事業24,550,531△6.4物流事業6,555,9142.5自動車関連小売事業2,517,882△3.6福祉事業484,282△6.6その他の事業673,210△9.0合計34,781,821△4.7（注）セグメント間売上については相殺消去しております。 ④資本の財源及び資金の流動性　当社グループの運転資金需要のうち主なものは、商品仕入のほか、製造費、販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要は、設備投資、子会社株式の取得等によるものであります。　当社グループは、事業運営上必要な資金の流動性と資金の源泉を安定的に確保することを基本方針としております。　短期運転資金は自己資金及び金融機関からの短期借入を基本としており、設備投資や長期運転資金の調達につきましては、金融機関からの長期借入を基本としております。　なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は1,794百万円となっております。また、当連結会計年度末における現金及び現金同等物の残高は7,462百万円となっております。 ⑤重要な会計上の見積り及び当該見積りに用いた仮定　連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項（重要な会計上の見積り）に記載のとおりであります。 ⑥経営上の目標の達成状況について　当社グループは、収益性及び資産効率性のベースとなる連結経常利益率5.0％以上を維持継続することを目標としております。当連結会計年度における「連結経常利益率」は、6.8％（前期比0.9ポイントの減）でした。引き続き改善されるよう取り組んでまいります。 
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	６【研究開発活動】　該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】　該当事項はありません。 
主要な設備の状況	２【主要な設備の状況】(1）提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物及び構築物車両運搬具土地（面積㎡）その他合計本社(東京都大田区)自動車関連卸売事業その他設備6,1848,770148(124)27,78942,89334〔2〕卸売事業名古屋営業所(愛知県名古屋市 天白区)他11店舗〃その他設備5,6112365,920(1,058)71872,273116〔21〕岡崎物流センター(愛知県岡崎市)物流事業倉庫関連設備80,065－391,050(5,419)0471,115－〔－〕グレイシャスビラ　安城(愛知県安城市)福祉事業高齢者　複合福祉施設70,881－519,115(4,141)173590,170－〔－〕㈱スーパースター第一工場(大阪府柏原市)自動車関連卸売事業その他設備－－－11,24411,244－〔－〕　（注）１　土地のは、賃借中の土地面積（㎡）を指すものであり、外数であります。２　従業員数の〔　〕は、臨時従業員数を外書しております。３　上記は有形固定資産の総額であり、建設仮勘定は含んでおりません。４　第54期において福祉事業にて減損損失を計上しており、帳簿価額は減損損失後の金額で記載しております。５　上記の他、連結会社以外からの主要な賃借設備の内容は、下記のとおりであります。事業所名（所在地）セグメントの名称設備の内容年間賃借料（千円）本社(東京都大田区)自動車関連卸売事業事務所建物37,864 (2）国内子会社2024年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物及び構築物車両運搬具土地（面積㎡）その他合計㈱バーデン本社及びジェームス安城店(愛知県安城市)自動車関連小売事業自動車車検・整備等設備97,1752,033461,714(6,679)11,658572,58218〔10〕㈱バーデン賃貸事業部(愛知県安城市)その他の事業その他設備－－656,766(8,926)－656,766－〔－〕㈱ロジックス福岡物流センター(福岡県鞍手郡)物流事業倉庫関連設備512,18417074,000(17,039)4,809591,16417〔－〕㈱ロジックス豊田南物流センター(愛知県豊田市)〃倉庫関連設備1,765,0400676,850(18,586)116,9742,558,86539〔－〕　（注）１．従業員数の〔　〕は、臨時従業員数を外書しております。 (3）在外子会社　該当事項はありません。  
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式53,340,000計53,340,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式16,118,16616,118,166東京証券取引所スタンダード市場単元株式数　100株計16,118,16616,118,166――  
