項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び海外子会社１社等で構成され、整形外科分野を中心とした医療機器類の輸入、開発、製造、販売を主な事業活動内容としております。  当社グループの売上は、整形外科分野の医療機器類の取り扱いが大半を占めております。具体的には、当社が、米国子会社ODEV社及び販売提携契約等に基づき国内外メーカーから、骨接合材料、人工関節、脊椎固定器具等の製商品を仕入れ、日本国内において販売を行っております。　また、米国子会社ODEV社は、骨接合材料、人工関節や脊椎固定器具等の開発製造を行い、当社に対して製品供給を行う一方、独自に米国市場を中心として人工関節、脊椎固定器具等の販売を行っております。 事業の系統図は、次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】(1) 会社の経営の基本方針当社グループは、患者様のQOL向上に資する経営を行うべく、「最先端の優れた医療機器の開発と販売を通じて医療に貢献する」という経営理念のもと、日米共同開発を基軸に、整形外科分野の医療機器の開発・製造・輸入・販売を通じて日本だけでなく世界の医療マーケットに真に価値ある医療機器を提供していくことで、医療に貢献することを経営方針としております。 (2) 目標とする経営指標連結業績目標 2025年３月期2026年３月期2027年３月期予想百分比目標百分比目標百分比売上高(百万円)25,200100.0％27,400100.0％30,000100.0％営業利益(百万円)1,8507.3％2,3508.6％3,25010.8％経常利益(百万円)1,8507.3％2,3508.6％3,25010.8％当期純利益(注)１(百万円)1,3005.2％1,6005.8％2,3007.7％ 　　（注）１　親会社株主に帰属する当期純利益　　 ２　対ドル為替レート：１ドル150円 (3) 経営環境及び対処すべき課題１．パーパス、経営方針当社グループは、「患者さんのQOL向上に貢献する」をパーパスと定め、「最先端の優れた医療機器の開発と販売を通じて、医療に貢献する」という経営理念のもと、日米共同開発を基軸に、医療機器の開発・製造・販売を通して、日本だけでなく世界の医療マーケットに真に価値ある医療機器を提供していくことで、当社グループの持続的な発展と企業価値の向上に努めます。 ２．経営環境＜日本＞・高齢者人口の増加日本における65歳以上の高齢者人口は、2023年は約3,622万人であり、2040年には約3,920万人（総人口の約35％）と増加することが想定されております。高齢者人口の増加に伴い、骨疾患（変形性股関節症、変形性膝関節症や脊柱管狭窄症、骨粗鬆症等に起因する骨折）を抱える患者の増加が予想され、今後も当社製品を用いた適応症例の拡大が見込まれます。 ・医療体制の変容（医師の働き方改革への対応）2024年4月より、医師の健康と医療の質・安全を確保するため、医師の働き方改革が施行されています。整形外科にかかわる適応症例の拡大が見込まれる中、勤務医の時間外労働は年間上限が原則960時間とされました。この改革により、医師のタスクシフトや手術オペレーションの効率化など、より労働時間と医療の質のバランスを意識した変化が起きることが予想されております。当社としても、こうした変化を見越して、治療効果に優れた製品開発はもちろんのこと、習熟までの時間が短縮された使い勝手の良い製品の開発・導入を追求することが重要と考えております。 ・償還価格の引下げ国は効率・効果的で質の高い医療提供体制の構築を推進するために、大幅な税収増が見込めない中、社会保障関係費の抑制が不可避な状況であり、診療報酬改定による償還価格のマイナス改定を行うなど、当社にとって厳しい市場環境が継続するものと想定しております。また、当社製品や医療サービス等においても、厚生労働省発表による2024年６月１日付償還価格改定により償還価格が一部引下げられます。 ＜米国＞・高齢者人口の増加米国の65歳以上の高齢者人口は、2022年は約5,779万人であり、2040年には約8,000万人（総人口の約21％）規模に増加すると見込まれております。また、高齢者以外でも肥満等に起因する変形性関節疾患を抱える患者のQOL（Quality of Life）向上ニーズも継続的に存在する見込みであることから、人工関節置換術を必要とする患者の増加が予想され、今後も当社製品を用いた適応症例の拡大が見込まれます。 ・医療ニーズの変化整形外科手術においても、術前の手術計画ソフトや術中の手術ナビゲーションシステム、ロボットを用いた手術、ウエアラブルデバイスから取得したデータを用いた手術後のリハビリテーションプログラムの展開などデジタルソリューションを活用した治療のトレンドが見受けられます。さらに、医療施設にとってはこうした新規技術を経済合理性が伴う形で導入し治療コスト削減に繋げていくことも重要な課題と当社は認識しております。また、治療コスト削減においては、入院ではなく外来で人工関節手術を行うASC（Ambulatory Surgical Center）における人工関節手術が増加傾向にあり、医療施設にとって低コストでオペレーション効率の向上に寄与するインプラント・医療工具、簡易なデジタルソリューションの調達ニーズが拡大するものと考えており、当社としては、デジタル技術活用などについて多様化する医療施設のニーズに即して様々な選択肢を提供していくことが必要と認識しております。 ＜その他＞・製造原価上昇、及び為替変動（円安）による収益性低下米国インフレ等の影響やサプライヤーからの調達コスト上昇により、米国子会社の製造原価が上昇し、また、対USドルの換算レートが150円台と円安傾向が続いており、米国子会社からの製品輸入において原価率の悪化が避けられない状況となっております。当社は、「SAICOプロジェクト」（Strategic Actionable Initiatives for Cost Optimization）などにより、収益性の向上を図るべく、以下の施策を実行していきます。① 内製化比率の拡大による原価低減② 米国におけるサプライヤー（製造委託先）の複社購買化によるサプライチェーンのレジリエンス向上③ アジア・欧州地域のサプライヤーへの製造委託拡大による原価低減④ 自社製品の販売比率の拡大による収益性改善⑤ 中国合弁会社WOMA社（Changzhou Waston Ortho Medical Appliance Co., Limited）を活用した医療工具コストの低減による設備投資・経費（減価償却費）の圧縮 ・ PBR１倍割れへの課題中期経営計画「MODE2023」では、最終年度の2024年３月期において、連結売上高231億円、営業利益率7.5％、ROE5.2％、ROIC4.5％と米国製造原価の悪化、及び急激な円安進行による日本国内の売上原価率の上昇の影響で収益性が低下し、株価もPBR1倍割れの状態となっています。PBR1倍割れの改善策として、長期VISION「RT500」（2025年3月期～2033年3月期）のはじめの3年間である１st Stage（2025年3月期～2027年3月期）最終年度までに連結売上高300億円、営業利益率10.0％以上、ROE8.0%以上、ROIC7.0%以上を目標とします。目標達成の施策として、新製品導入により日米売上高を拡大し、円安進行による日本国内の原価悪化対策や米国製造原価の低減策としてSAICOプロジェクトなどに取り組むことで、収益性の向上を図ります。また、製品ポートフォリオを定期的に見直すとともに、新製品開発など成長投資を行い、株主資本コストを意識した経営を実現します。なお、株主還元策については、安定配当を基本とし、配当性向30%以上を目指します。  ・三井化学株式会社との業務提携2022年１月に資本業務提携契約を締結した三井化学株式会社と連携し、同社が保有するヘルスケア分野での開発・製造機能や各種事業運営上のノウハウと、当社グループが保有する日米に跨る医療機器分野の薬事・開発及び販売・マーケティング機能を相互に有効活用しながら、製品開発など協業を推進しております。  ３．長期VISION「RT500」（2025年３月期～2033年３月期）当社は、2033年３月期を最終年度とした長期VISION「RT500」を策定し、長期経営方針として「医療現場ニーズを把握し、治療価値向上に資するサービスをより高い専門性・品質をもってタイムリーかつ安定的に医療現場に提供する」を掲げました。定量目標として、連結売上高500億円以上、営業利益率15％以上、ROE10％以上、配当性向30％以上を目標とし、企業価値の向上を目指します。 ４．１st Stage（2025年３月期～2027年３月期）当社は、長期VISION「RT500」のはじめの3年間を「1st Stage」として、以下の重点施策に取り組んでおります。「今後３年間の重点施策」・ 販売力強化（米国ビジネスの拡大、日本ビジネスの拡大、中国販売基盤の構築）・ 製品ポートフォリオマネジメント強化・ サプライチェーンマネジメント強靭化 ５．サステナビリティ課題当社は、「最先端の優れた医療機器の開発と販売を通じて、医療に貢献する」という経営理念のもと、マテリアリティ（重要課題）を特定し、ESG活動を通して企業の社会的責任（CSR）を果たし、SDGｓ（持続可能な開発目標）に貢献します。「マテリアリティ（重要課題）」・患者QOLの向上・環境負荷の低減・人権尊重への取組み・多様な人材の活躍推進・医療ニーズへの高品質対応・コーポレート・ガバナンスの推進 文中において将来について記載した事項は、当連結会計年度末日現在において当社が判断したものであります。  
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関連する事項のうち、投資家の判断に重要な影響を及ぼす可能性のある事項には、主として以下のようなものがあります。　なお、当社グループの事業等はこれら以外にも様々なリスクを伴っており、ここに記載されたものがリスクのすべてではありません。当社グループはこれらのリスク発生の可能性を認識した上で、可能な限りリスク発生の防止に努め、リスクが発生した場合の的確な対応に努めていく方針です。また、文中において将来について記載した事項は、当連結会計年度末において判断したものであります。 (サプライチェーンに関するリスク)　当社グループが販売する製商品等は、ODEV社から調達する自社製品の他、販売提携契約等に基づいた他社からの仕入商品もあります。ODEV社の自社製造に関する部材調達先で問題が発生した場合や、他社からの調達商品の仕入・物流等が遅延または停止した場合、損益及び財政状態に影響を及ぼすリスクがありますので、部材調達先の多様化や自社製造の比率を高める対策を行っております。 (販売に関するリスク)　予期していなかった製品不具合の発生、他社との競合等は、売上を減少させ得る要因となり損益及び財政状態に影響を及ぼすリスクがありますが、不具合の発生状況や他社の販売動向について月次でレビューする仕組みを構築し、リスク低減を図っております。(法規制、行政動向に関するリスク)　医療機器の販売は、様々な法規制を受けております。国内においては、２年毎に診療報酬が改定されるなどの行政施策が当社の損益及び財政状況に影響を及ぼすリスクもあります。また、米国における医療制度に関連した行政施策などが、当社の米国子会社の損益及び財政状況に影響を及ぼすリスクもあります。その対策として、より収益性が高い自社製品の販売比率を高めることや、自社製造比率を高める等の手段により売上原価の低減を図ることで、収益悪化リスクに対応しております。　この他、税制関連の法令改正等により法人税等実効税率が変更された場合、繰延税金資産の金額が変動し、当社グループの業績及び財務状況に影響を及ぼすリスクがあります。(研究開発に関するリスク)　新製品の研究開発は、開発期間中に、期待されていた有効性・安全性の確認ができず製品の開発を中止するリスクがあります。また、開発した製品の販売を開始するためには、各市場において薬事承認を取得する必要がありますが、薬事承認取得の可否及び取得に要する期間が当社の計画どおりとならないリスクがあります。(知的財産に関するリスク)　当社グループが取扱う製商品、及び、医療工具等が他社の保有する特許等知的財産権に抵触した場合、係争の発生や販売停止、賠償金の支払いに至る可能性があり、当社の損益及び財政状態に影響を及ぼすリスクがあるため、製品の開発段階で関連する他社特許の内容を調査する、適宜外部の専門家に相談するなどリスク低減に努めております。(訴訟に関するリスク)　公正取引に関する事案の他、特許、販売に関する契約、製造物責任、労務問題などに関し、訴訟を提起される可能性があり、その動向によっては損益及び財政状態に影響を及ぼすリスクがあります。(為替変動に関するリスク)　当社は主にODEV社からUSドル建てで輸入仕入していること、また、連結財務諸表においてODEV社のUSドル建て財務諸表を円換算していることから、為替相場の変動は当社グループの損益及び財政状態に影響を及ぼすリスクがあります。なお、当社は為替予約方針を定め、当該方針に基づく運用により、USドル建ての輸入に関わる為替変動リスクの低減に努めております。 (感染症拡大に関するリスク) 感染症拡大に伴う各国保健行政の指針に従い、医療機関が人工関節置換術など緊急を要さない手術を延期させることなどにより当社グループの損益及び財政状態に影響を及ぼすリスクがあります。 なお、当社は、感染症の拡大時には顧客、取引先、社員及び社員の家族の安全を第一とし、各国保健行政の指針に従いマスクの着用や３密（密閉・密集・密接）回避などの感染防止策を徹底し、感染リスクが高い国や地域への渡航・出張の原則禁止、多くの来場者を招いてのイベントの休止や延期及びリモート開催の併用、間接部門を中心としたテレワーク（在宅勤務）の実施などにより、更なる感染拡大の防止に努めます。(気候変動に関するリスク）世界的なGHG（温室効果ガス）排出増大に起因する地球温暖化がもたらす急性的あるいは慢性的な気候変動、及びそれに対して各国や地域行政が講じる政策・施策は、市場環境や原材料の調達などに大きな影響を与え、当社グループの事業の継続や業績に悪影響を及ぼすリスクがあります。そのため、当社はサステナビリティ推進室を設置し、当社グループにおける全社的な気候変動対応に向けた施策の立案とESG活動の推進、経営陣に向けた提言、社員に向けた啓発と情報提供、そして、投資家をはじめとする社外ステークホルダーに向けた情報開示を遂行する体制を構築し、リスク低減に努めております。 (その他のリスク)上記のほか、損益及び財政状態に影響を及ぼすリスクとしては、地震等大規模な災害の発生に伴う事業活動の停滞、情報セキュリティ問題によるITシステム停止、金利の変動、販売先の経営悪化などに起因する売上債権の貸倒れ等があります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要① 財政状態及び経営成績の状況当社グループの当連結会計年度における売上高は23,177百万円（前連結会計年度比1,869百万円増、同8.8％増）、営業利益1,746百万円（前連結会計年度比277百万円減、同13.7％減）、経常利益1,842百万円（前連結会計年度比200百万円減、同9.8％減）、親会社株主に帰属する当期純利益1,271百万円（前連結会計年度比152百万円減、同10.7％減）となりました。なお、連結売上高に占める自社製品売上高の割合は、80.2％（前連結会計年度は80.6％）となりました。 日本国内では、2023年４月、2024年１月に実施された償還価格引下げによる影響があったものの、獲得症例数が伸長したことにより、売上高は13,004百万円（前連結会計年度比647百万円増、同5.2％増）（「収益認識に関する会計基準」の適用による、販売促進費の一部控除後）となりました。米国では、昨年開拓した新規顧客が成長に貢献し、人工膝関節製品の獲得症例数が伸長したことにより、米国の外部顧客への売上高は70,448千USドル（前連結会計年度比4,118千USドル増、同6.2％増）と伸長し、円換算後は円安の影響により10,173百万円（前連結会計年度比1,222百万円増、同13.7％増）となりました。（ご参考：前連結会計年度の米国売上の換算レートは１USドル134.95円、当連結会計年度は同144.41円）日本国内の人工関節分野は、ハイドロキシアパタイト（HA）コーティングを施した人工股関節製品「Entrada Hip Stem」の獲得症例数が伸長し、人工股関節置換術（THA）の全体の売上が好調に推移しました。一方、人工骨頭置換術（BHA）は、「Entrada Hip Stem」、新製品「Promontory Hip Stem」などの獲得症例数が増加したものの「Ovation Hip Stem」などの獲得症例数が減少したことから、BHA全体の売上は僅かな成長に留まりました。また、人工膝関節製品「BKS TriMax」の人工膝関節置換術（TKA）は獲得症例数が伸長し、売上が２桁成長と好調に推移しました。その結果、本分野の日本国内売上高は4,932百万円（前連結会計年度比4.1%増）となりました。米国の人工関節分野は、人工膝関節製品「BKS TriMax」、「BKS Revision Knee」などの人工膝関節置換術（TKA）の獲得症例数が顧客基盤の拡大に伴い伸長し、売上が２桁成長と好調に推移しました。一方、人工股関節製品は、「Entrada Hip Stem」、「Alpine Hip Stem」の売上は２桁成長したものの、「Ovation Tribute Stem」などTaper WedgeタイプのStemは一部顧客が他社のTriple TaperタイプのStemに移行したため、人工股関節置換術（THA）全体の売上が減少しました。その結果、本分野での米国売上高は70,224千USドル（前連結会計年度比6.4％増）となりました。（円換算後では円安の影響により10,141百万円（前連結会計年度比13.8％増））骨接合材料分野は、「ASULOCK」、「Prima Hip Screw」の売上が引き続き２桁成長と順調に推移したことなどから、日本国内の売上高は4,563百万円（前連結会計年度比5.6％増）となりました。脊椎固定器具分野は、日本国内において、「Vusion Ti 3D ケージ」、「Lince Plate（旧Lynx Plate）」、「KMC Kyphoplastyシステム」などの売上が伸長しました。特に「KMC Kyphoplasty システム」は、今期に入りBKP（Balloon Kyphoplasty）市場の拡大による成長機会を捉える施策を実行した結果、売上が伸長しました。これらの要因により、本分野での日本国内及び米国の売上高合計は3,354百万円（前連結会計年度比4.0％増）となりました。売上原価はインフレ及び円安に伴う調達コストの上昇により増加しました。さらに、売上比では日本国内における償還価格引下げの影響などにより、売上原価率が36.3％（前連結会計年度は34.3％）となりました。販売費及び一般管理費は、米国の売上増加に伴う支払手数料（コミッション・ロイヤリティ）、研究開発費、賃上げを実施したことによる人件費が増加しました。下半期は、円安の影響により米国の費用が円換算ベースで増加したものの、経費を抑制した結果、13,015百万円（前連結会計年度比8.8％増）となり、売上高販管費率は56.2％（前連結会計年度は56.2％）となりました。営業利益は、売上高が増加したものの、売上原価率が上昇したことに加えて販売費及び一般管理費が増加した結果、1,746百万円（前連結会計年度比13.7％減）となりました。経常利益は、為替差益190百万円など営業外収益を213百万円計上し、持分法による投資損失65百万円、支払利息31百万円など営業外費用を116百万円計上した結果、1,842百万円（前連結会計年度比9.8％減）となりました。特別損益は、投資有価証券評価損72百万円、医療工具などの固定資産除却損48百万円、第１四半期における和解関連費用75百万円の合計206百万円などを特別損失に計上しました。親会社株主に帰属する当期純利益は、上記の結果、前連結会計年度比10.7％減の1,271百万円となりました。  セグメントの業績を示すと、次のとおりであります。日　本・・・・ 　売上高は償還価格の引き下げの影響がありましたが、主要な分野で堅調に推移致しました。また、賃上げを実施したことにより給料及び手当が増加したことなどから、販売費及び一般管理費も増加しました。               　その結果、当セグメントの売上高は13,004百万円（前連結会計年度比5.2％増）、営業利益は1,093百万円（前連結会計年度比11.2％減）となりました。 米　国・・・・ 　売上高は人工関節分野の外部顧客への売上が増加しました。また、支払手数料（コミッション・ロイヤリティ）や研究開発費の増加により、販管費及び一般管理費も増加しました。　　　　　　　 　その結果、内部売上高を含んだ当セグメントの売上高は14,360百万円（前連結会計年度比12.3％増）、営業利益は636百万円（前連結会計年度比1.8％減）となりました。 当連結会計年度末における資産合計は、前連結会計年度末と比べ2,051百万円増加し、31,485百万円となりました。主な増加は、商品及び製品880百万円、受取手形、売掛金及び契約資産644百万円、工具、器具及び備品335百万円、仕掛品325百万円であります。負債合計につきましては、前連結会計年度末と比べ260百万円減少し、5,882百万円となりました。主な減少は、長期借入金472百万円、繰延税金負債375百万円、未払法人税等146百万円で、主な増加は、買掛金424百万円、退職給付に係る負債216百万円、短期借入金115百万円であります。また、当連結会計年度末の有利子負債（短期借入金、長期借入金及びリース債務の合計額）から現金及び預金を控除した純有利子負債は△827百万円であります。純資産合計は、前連結会計年度末と比べ2,311百万円増加し、25,603百万円となりました。主な増加は、利益剰余金927百万円、為替換算調整勘定1,451百万円であります。その結果、当連結会計年度末の自己資本比率は81.0％（前連結会計年度末は78.7％）となりました。 ② キャッシュ・フローの状況当連結会計年度における現金及び現金同等物は、前連結会計年度末に比べ483百万円減少し、2,321百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。(営業活動によるキャッシュ・フロー)営業活動によるキャッシュ・フローは2,104百万円の収入（前連結会計年度は2,186百万円の収入）となりました。収入の主な内訳は税金等調整前当期純利益1,636百万円、減価償却費1,595百万円、支出の主な内訳は法人税等の支払額893百万円であります。(投資活動によるキャッシュ・フロー)投資活動によるキャッシュ・フローは1,804百万円の支出（前連結会計年度は1,481百万円の支出）となりました。主な内訳は有形固定資産の取得による支出1,783百万円であります。(財務活動によるキャッシュ・フロー)財務活動によるキャッシュ・フローは840百万円の支出（前連結会計年度は514百万円の支出）となりました。支出の主な内訳は長期借入金の返済による支出561百万円、配当金の支払額343百万円、収入の主な内訳は短期借入金の純増加額144百万円であります。  ③ 生産、受注及び販売の状況　（イ）生産実績前連結会計年度及び当連結会計年度における生産実績をセグメント別に示すと、次のとおりであります。 セグメントの名称及び品目前連結会計年度(自　2022年４月１日  至　2023年３月31日)当連結会計年度(自　2023年４月１日  至　2024年３月31日)金額 (千円)金額 (千円)医療機器類日本 162,11195,262 人工関節 81,27740,344 骨接合材料 63,75541,710 その他 17,07913,207米国 7,913,6977,866,129 人工関節 6,182,8676,257,389 骨接合材料 1,068,440948,686 脊椎固定器具 604,178577,746 その他 58,20982,306合計 8,075,8097,961,392   (注)　上記金額は製造原価により、製品の再加工等が含まれております。 　（ロ）受注実績当社グループでは、見込み生産を行っているため、該当事項はありません。 　（ハ）販売実績前連結会計年度及び当連結会計年度における販売実績をセグメント別に示すと、次のとおりであります。 セグメントの名称及び品目前連結会計年度(自　2022年４月１日  至　2023年３月31日)当連結会計年度(自　2023年４月１日  至　2024年３月31日)金額 (千円)金額 (千円)医療機器類日本 12,356,77213,004,313 人工関節 4,738,5144,932,919 骨接合材料 4,322,5214,563,424 脊椎固定器具 3,185,9793,322,025 その他 354,580390,403 　小計 12,601,59613,208,772 売上控除 △244,824△204,459米国 8,951,17410,173,434 人工関節 8,910,64410,141,086 脊椎固定器具 40,52932,347合計 21,307,94623,177,747  比率 (％)比率 (％)自社製品売上比率 80.680.2 　(注)１　セグメント間の取引については相殺消去しております。２　日本の販売実績は、「収益認識に関する会計基準」を適用しているため、売上高から販売促進費の一部を 控除しております。３　日本における品目別販売実績は、合理的な売上控除按分ができないため、当該売上控除額を一括で表示しております。  (2) 経営者の視点による経営成績等の状況に関する分析・検討内容　当連結会計年度の財政状態及び経営成績及びキャッシュ・フローの分析は、以下のとおりであります。　なお、文中における将来に関する事項は、当連結会計年度末日現在において判断したものであります。① 重要な会計方針及び見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成されております。その作成には、経営者により会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示に影響を与える見積りを必要としております。これらの見積りについては、過去の実績等を勘案し合理的に判断しておりますが、実際の結果は、見積りによる不確実性のため、これらの見積りとは異なる場合があります。なお、上記会計上の見積り及び仮定のうち、重要なものは、「第５　経理の状況　１　連結財務相表等　(1)連結財務諸表　[注記事項]（重要な会計上の見積り）」に記載しております。  ② 当連結会計年度の経営成績の分析当連結会計年度の経営成績の分析については、「第２［事業の状況］１［経営方針、経営環境及び対処すべき課題等］」をご参照ください。 ③ 経営成績に重要な影響を与える要因について経営成績に重要な影響を与える要因については、「第２［事業の状況］３［事業等のリスク］」をご参照ください。 ④ 当連結会計年度の財政状態及びキャッシュ・フローの状況の分析財政状態については、「(1) 経営成績等の状況の概要　① 財政状態及び経営成績の状況」をご参照ください。また、キャッシュ・フローの状況の分析については、「(1) 経営成績等の状況の概要　② キャッシュ・フローの状況」をご参照ください。 ⑤ 資本の財源及び資金の流動性の分析財務政策につきましては、当社グループの事業活動の維持拡大に必要な資金を安定的に確保するため、主に金融機関からの借入金により資金調達を行っております。　資金需要につきましては、運転資金として、仕入高、販売費及び一般管理費等の営業費用があります。また、設備資金として、主に医療工具類の取得があります。 (3) 経営者の問題認識と今後の方針について経営者の問題認識と今後の方針については、「第２［事業の状況］１［経営方針、経営環境及び対処すべき課題等］」をご参照ください。  
経営上の重要な契約等	 ５ 【経営上の重要な契約等】（販売権契約等）　（2024年３月31日現在）契約会社相手先の名称相手先の所在地契約品目契約内容提出会社(当社)株式会社オーミック日本骨接合材料日本における販売権の取得帝人ナカシマメディカル株式会社日本脊椎固定器具日本における販売権の供与 日本キネティックメディカル株式会社 日本脊椎固定器具日本における販売権の取得Ortho Development Corporation(米国子会社)DePuy Synthes Sales, Inc.(注)２米国人工関節米国における販売権の供与Changzhou Waston Medical ApplianceCo. Ltd.（常州華森医療器械有限公司）(注)３中国人工関節中国における販売権の供与中国における合弁会社の設立  (注)１　2024年３月31日時点の当社グループの経営上の重要な契約を記載しております。　　 ２　ODEV社製「KASM® Knee Articulating Spacer Mold」の米国における販売提携契約です。　　 ３　常州華森医療器械有限公司の社名は中国語簡体字を含んでいるため、日本語常用漢字で代用しております。 （業務提携契約等）　契約会社相手先の名称相手先の所在地契約内容提出会社三井化学株式会社日本「資本及び業務提携」中長期的な観点から、両社の経営資源を有効に活用することにより、より一層の事業の拡大、業務の効率化を図り、医療機器分野における持続的成長の実現及び企業価値を高めることを目的としています。   
研究開発活動	６ 【研究開発活動】当社グループにおける研究開発活動は、「日本」では薬事・開発本部、「米国」では米国子会社Ortho Development Corporation（以下ODEV社）の開発部門において行われております。「日本」　薬事・開発本部では、整形外科分野における工具の改良・新機能の開発等に取り組んでおります。「米国」　米国子会社ODEV社の開発部門では、骨接合材料、人工関節、脊椎固定器具など整形外科分野の製品開発に取り組んでおります。なお、当連結会計年度における当社グループ全体の研究開発に要した費用は、874百万円（「日本」44百万円、「米国」829百万円）であります。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度において実施いたしました設備投資の総額は1,916百万円で、その主なものは医療工具類の取得1,338百万円であります。セグメントごとの設備投資について示すと、次のとおりであります。(1) 日本当連結会計年度の設備投資額は、医療工具類の取得653百万円を中心に総額693百万円であります。なお、重要な設備等の除却又は売却はありません。(2) 米国当連結会計年度の設備投資額は、医療工具類の取得685百万円を中心に総額1,223百万円であります。なお、重要な設備等の除却又は売却はありません。　　
主要な設備の状況	２ 【主要な設備の状況】2024年３月31日現在における、当社の各事業所並びに連結子会社の設備、投下資本並びに従業員の配置状況は次のとおりであります。(1) 提出会社  2024年３月31日現在事業所名所在地セグメントの名称設備の内容帳簿価額(単位：千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)工具、器具及び備品合計本社東京都新宿区日本管理設備営業設備開発設備285,798－1,915,919(518.12)2,567,9744,769,692135東京第一営業所 東京第二営業所 東京第三営業所 横浜営業所 札幌営業所北海道札幌市日本営業設備58－－－588仙台営業所宮城県仙台市日本営業設備117－－－1179北関東営業所 埼玉県さいたま市日本営業設備292－－－29214埼玉営業所 中部営業所愛知県名古屋市日本営業設備507－－－50711京都営業所大阪府大阪市日本営業設備4,695－－－4,69531大阪営業所神戸営業所東京商品センター大阪サテライト中国第一営業所岡山県岡山市日本営業設備472－－－4728中国第二営業所広島県広島市日本営業設備65－－－656四国営業所香川県高松市日本営業設備248－－－2486福岡営業所福岡県福岡市日本営業設備在庫管理設備155－－－15518南九州営業所東京商品センター福岡サテライト東京商品センター東京都大田区日本在庫管理設備54,16232,718－5,42092,30168その他施設神奈川県相模原市日本倉庫－－6,663(251.37)－6,663－合計－－－346,57332,7181,922,5822,573,3954,875,270314 　 (2) 国内子会社該当事項はありません。　(3) 在外子会社  2024年３月31日現在会社名所在地セグメントの名称設備の内容帳簿価額(単位：千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)工具、器具及び備品建設仮勘定合計OrthoDevelopmentCorporation米国ユタ州米国生産開発及び販売設備530,060321,74038,001(9,752.78)2,595,673193,6923,679,167197 　　
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式37,728,000計37,728,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月25日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式26,475,88026,475,880東京証券取引所東証プライム市場単元株式数は100株であります。計26,475,88026,475,880――  
