項目	値
事業の内容	 ３ 【事業の内容】当社グループ（当社及び当社の関係会社）は、当社及び３社の関係会社（内、１社は持分法適用会社）で構成されており、カラオケ関係事業及びスポーツ事業を主たる事業としております。当社及び当社の関係会社の事業における当社及び関係会社の位置付け及びセグメントとの関連は、次のとおりであり、以下に示す区分は、セグメントと同一の区分であります。 セグメント（区分)事業内容会社名カラオケ関係事業・カラオケ機器及び関連商品の販売及び賃貸株式会社音通エンタテイメントスポーツ事業・スポーツクラブ「ＪＯＹＦＩＴ」（FC）の経営・スポーツジム「ＦＩＴ３６５」（FC）の経営・ホットヨガスタジオ「ＬＡＶＡ」（FC）の経営株式会社ファイコムＩＰ事業・不動産及び店舗設備の賃貸・コインパーキング「Ｔ.Ｏ.Ｐ.２４ｈ」の経営株式会社音通   事業の系統図は次のとおりであります。   
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】 文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 （1）経営方針当社グループは、「気軽に楽しめる、時間と空間の提供、提案」をビジネスコンセプトのもと、日々の生活に欠かせないレジャーや健康の分野で、新しい文化創造の提案をすることを使命としており、その実現のため、社会における価値の変化に迅速に対応し、顧客満足度の最大化を目標として事業を展開しております。当社は、当社グループ全体の企業価値を高めるための経営戦略の検討及び策定、将来を見据えた成長分野への積極投資の検討及び施策の決定、並びにＭ＆Ａの迅速な意思決定を、子会社は、競争力の向上のため、それぞれの事業運営への専念、迅速な意思決定、責任の明確化を、それぞれ経営の基本方針としております。当社グループにおける人材育成は、組織力の強化を図るため、経営の中枢で活躍するマネジメント層を強化するとともに、各セクションにおけるスペシャリストを積極的に育成し、責任と権限の明確化を進めることを基本方針としております。当社グループは、これらの基本方針に沿い、グループ全体の収益力アップと財務体質の強化を図りながら将来を見据えた投資をおこなうと同時に、常に既存事業の見直しや遊休資産の整理等、経営資源の選択と集中にも取り組むことにより、企業価値をバランスよく向上してまいります。 当社並びに主要な子会社の経営戦略は次のとおりです。 ①株式会社音通当社は、当社グループの統括会社としてグループ全体の経営効率を重視するため、管理部門を当社に集約し、経営情報と人事情報の集中管理を行っております。この体制により、グループ全体の最適組織を常に追求しながら、グループ全体の生産性を向上させ、企業価値を最大限に高めることを目指してまいります。ＩＰ事業部門におきましては、グループ全体の資産、店舗等の賃貸物件を一元的に集中管理し、顧客や店舗のニーズにあったテナント誘致や遊休スペースの有効活用の企画、提案を実施することにより、子会社の事業運営に利益貢献してまいります。 ②株式会社音通エンタテイメント事業展開しております関西・中部・関東の各地におきまして、お客様から厚い信頼のあるNo.１ディーラーを目指してまいります。デイ市場におきましては、豊富な不動産情報と蓄積された物件開発ノウハウを武器に、カラオケボックス経営法人への提案営業を引き続き強化してまいります。また、公共施設、高齢者施設、カラオケ喫茶、個室居酒屋などの市場開拓にも積極的に取り込むとともに、WEBカメラ、監視カメラ、AV機器、演出効果照明などの商材の販売拡大にも積極的に取組んでまいります。ナイト市場におきましては、ビル管理業者及び不動産業者に対する営業により、新店情報の早期把握に努めるとともに、遊休機器を有効利用することにより、リーズナブルな価格での提供を可能にするなど、お客様のニーズを幅広くカバーする提案営業を強化してまいります。また、バー・スナック・クラブ向けの店舗物件紹介サイトを運営する関連会社との連携を図ることにより、新規開業店舗における契約獲得を強化してまいります。 ③株式会社ファイコム店舗の運営面におきましては、既存会員の定着率向上に向けた取組みを特に重視しております。新規会員の初期定着率向上のためのオリエンテーションの充実、新プログラムの採用やクリンリネスの徹底、スタッフの接客教育の充実など、魅力ある施設作りをFC本部と連動しながら取り組んでおります。また、会員から寄せられるさまざまな要望にも積極的に応えており、会員満足度の向上に寄与しております。新規店舗の出店におきましては、将来の競合他社の進出も視野に入れた店舗シミュレーションを多角的に実施するなど、厳しい条件をクリアした物件のみで新規出店を決定しており、長期的に安定した収益が見込める店舗網の拡大を目指してまいります。将来にわたる事業の拡大のためには積極的な新規出店が不可欠であると認識しており、新規出店に伴うイニシャルコストと会社全体の収益バランスを十分に考慮しながらも、中・長期的な視野に立ち、計画的に新規出店を進めつつ増収増益を目指してまいります。 （2）経営環境及び対処すべき課題①カラオケ関係事業カラオケは、日本国内においては代表的な娯楽の一つとして幅広い世代に浸透すると同時に、産業としても成熟しつつあります。通信カラオケ機器を取り扱う事業者（ディーラー）は、メーカー、メーカー系資本の事業者、独立系資本の事業者、また、小規模資本の事業者など、幅広い事業者が事業活動を展開しております。しかしながら、成熟期を迎えているカラオケ市場が今後急拡大する事は望めず、近年は激しいシェア争いが続いております。コロナ禍を経た今後は、ディーラー同士による事業統合のスピードが増してくるものと思われます。今後も事業を成長させ続けるためには、事業統合を主導しつつシェアを拡大することが重要な課題となります。一方で、顧客であるスナックなど飲食店等のカラオケ関係施設の運営事業者においても厳しい経営環境が続いております。当事業部門の株式会社音通エンタテイメントは、今まで以上に顧客である事業者との情報交換を密に行いながら事業者を支援するとともに、並行して与信管理体制の強化を図ることが重要であると認識しております。 ②スポーツ事業フィットネス業界は、コロナ禍を経て再び国民の健康志向の高まりにより新規会員が増加しております。特に新業態店舗の急増により、フィットネス業界の市場が急拡大しており、コロナ禍後のリカバリー競争の激化や施設利用料の低価格化が、市場拡大の動きに拍車をかけております。今後も事業者各社の出店数は高い水準で維持され、当面の間市場規模は拡大し続けるものと思われます。当事業部門の株式会社ファイコムは、既存の施設における会員数の増加はもとより、新規出店により店舗網を拡大することが急務であるとの認識から、既存店舗においては会員プランの再構成を実施しており、低価格プランの提供を始めております。新規会員の獲得は概ね想定通り進んでおりますが、遅れがみられる一部店舗の改善対策が今後の課題であります。更に、新規出店の中期プランを策定して推し進めていくことも喫緊の課題であります。 ③ＩＰ事業コインパーキング業界は、近年市場規模が拡大し続けており、新規事業者の参入も活発で競争は激化しております。コロナ禍で市場規模の拡大は踊り場を迎えることとなりましたが、今後は、社会経済活動が再び活発化していく中で、既存施設の価格戦略の見直しと共に、新たな事業所の開発など、事業の拡大に向けての中長期的な計画を策定することが課題であると認識しております。 ④内部統制の推進コーポレートガバナンスを経営上の最重要課題の一つとして位置づけており、経営企画室を主幹部門とし、管理部門、事業部門及び子会社が一丸となって取り組むとともに、顧問弁護士など外部専門家との意見交換を通じて、より有効な内部統制システムの構築に取り組んでおります。また、すべての役員・社員等が日々、誠実かつ適切な行動を通して、社会全体から成長、発展を望まれる企業となるため、経営のあらゆる視点から、「企業の社会に対する責任」（CSR）を果たすための共通の価値観・倫理観・普段の行動の拠り所となるものとして「行動規範」を定めております。 ⑤機動的な資金調達力の向上当社グループは、カラオケ関係事業においては通信カラオケ機器などの賃貸資産の導入を、また、スポーツ事業においては新規出店を主な設備投資の対象としております。一方で、Ｍ＆Ａにおける事業規模の拡大についても積極的に取り組んでおります。必要とする資金は、営業活動により発生するキャッシュ・フローを中心にしつつ、銀行借り入れや割賦販売契約などにより調達しております。しかしながら、今後、設備投資の規模の拡大や、大型のＭ＆Ａ案件に取り組むことを可能にするためには、機動的な資金調達力をさらに高めつつ最適な調達方法を採用することが、重要な課題であると認識しております。 
事業等のリスク	３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を及ぼす可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （1）経営環境に係るリスク①カラオケ関係事業についてカラオケの主要機器の供給は、メーカー２社に依存しております。メーカーと当社グループとの間には強い協力関係を構築し、安定的に製品が供給される体制を整えております。しかしながら、メーカーの市場戦略や製品開発等により需給関係等に想定しない事象が発生した場合には、カラオケ関係事業の業績に影響が及ぶ可能性があります。②スポーツ事業についてスポーツ事業において運営する各施設は、フランチャイザーとの間で締結した加盟契約に基づき運営しております。フランチャイザーとの間には強い協力関係を構築し、施設運営のノウハウやアドバイスの提供を受けながら安定した運営をしております。しかしながら、近隣に同業他社の新規参入があった場合には、新たに競合関係が発生して、スポーツ事業の業績に影響が及ぶ可能性があります。③ＩＰ事業についてコインパーキングの各施設は、小規模かつ地域を分散して運営しております。しかしながら、多数のコインパーキング施設の近隣において同業他社の新規参入があった場合には、新たに多数の競合関係が発生して、ＩＰ事業の業績に影響が及ぶ可能性があります。④自然災害や感染症の拡大について当社グループは、多数の事業拠点や店舗施設等において事業を運営しております。そのため、震災や水害をはじめとする自然災害の発生、あるいは新型コロナウイルス感染症に見られるような感染症の拡大などにより、お客様や従業員の安全確保や社会的な要請を受けて長期にわたる休業を余儀なくされる場合があり、当社グループの業績に影響が及ぶ可能性があります。⑤会費売上の回収についてスポーツ事業における会費売上は、その大部分をフランチャイザーがコンピューターシステムを利用して会員から徴収し、徴収した会費を当社グループに支払う仕組みとなっております。そのため、コンピューターシステムにトラブルが発生するなどして、会費の徴収が滞ったり、回収漏れや誤差、或いは回収不能が発生するなどした場合、スポーツ事業の業績に影響が及ぶ可能性があります。⑥個人情報の管理について当社グループは、カラオケ関係事業及びスポーツ事業において、個人情報を取得して利用しております。個人情報の保護に関する法律を遵守し、必要な社内規定を定め、個人情報の取り扱いについて適正な管理に努めておりますが、今後、個人情報の流出により問題が発生した場合、当社グループへの損害賠償請求や信用の低下等により、業績に影響が及ぶ可能性があります。更には、今後の事業展開に影響が及ぶ可能性もあります。（2）財政状態及び経営成績に係るリスク①敷金・保証金の回収について当社グループは、賃貸による出店を基本としており、店舗及び事業拠点の賃借に際しては、家主へ資金・保証金を差し入れております。賃貸借の契約に際しては、家主の信用状況を確認するなどして回収可能性を十分に検討した上で契約を締結しております。しかしながら、家主の財政状況が急激に悪化するなどした場合、資金・保証金の回収が困難になる可能性があり、当社グループの業績及び財政状態に影響が及ぶ可能性があります。②減損会計適用の影響当社グループは、Ｍ＆Ａにより取得したのれんや事業用の設備などの有形・無形の固定資産を所有しております。これら資産は、減損処理に関する会計基準及び減損処理に関する社内規定に基づいて、毎期減損の判定を行っており、営業活動から生じる損益が継続的にマイナスとなる店舗等に対する減損が認識された場合などには、減損損失の計上により、当社グループの業績及び財政状態に影響が及ぶ可能性があります。③繰延税金資産の回収可能性について当社グループは、将来の利益計画に基づき繰延税金資産の回収可能性の判断を行っていますが、将来の不確実な経済条件の変動等による影響を受ける可能性があり、実際に発生した課税所得の時期及び金額が利益計画と異なる場合があります。その結果、将来の利益計画が変更され、繰延税金資産の一部又は全部が回収できないと判断した場合は、繰延税金資産を減額することとなり、当社グループの業績及び財政状態に影響が及ぶ可能性があります。（3）人材の採用及び育成に係るリスク当社はカラオケ関係事業においては販売・メンテナンスを主とした営業活動を、スポーツ事業においては店舗運営を行っております。カラオケ関係事業においては、営業担当社員が契約の獲得のみならず、商品の納品、設置、メンテナンスなど、幅広い業務を行っております。また、スポーツ事業においては、スポーツ施設において多くの従業員が会員サポートや施設運営を行っております。省力化を図るため、外部サービスの利用やDX化を推進しておりますが、事業の中核を担う人材の採用・育成が重要な経営課題と認識しております。今後、少子高齢化が進み人材獲得競争が激化するなどした結果、人材の採用・育成が計画通りに進まなかった場合、コストの大幅な上昇や事業の運営に支障が出るなどして、当社グループの業績に影響が及ぶ可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】 文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 （1）経営成績等の状況の概要当連結会計年度における当社グループ（当社及び連結子会社)の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 ①財政状態及び経営成績の状況当連結会計年度の総資産は、前連結会計年度から564,947千円増加して6,073,563千円となりました。主な要因は、現金及び預金が947,461千円増加する一方で、固定資産が382,543千円減少したことなどによります。負債合計は、前連結会計年度から389,600千円増加して2,943,583千円となりました。主な要因は、金融機関からの借り入れによる長期借入金（１年内返済予定の長期借入金含む）が566,724千円増加する一方で、新規設備投資は現金決済で実施したため割賦未払金（１年以内支払予定の長期割賦未払金含む）が251,070千円減少したことなどによります。純資産は、前連結会計年度から175,347千円増加して3,129,980千円となりました。主な要因は、資本金が93,122千円、資本準備金が7,532千円、親会社株主に帰属する当期純利益が222,333千円増加するなどした一方で、配当により49,197千円、自己株式の取得で98,442千円減少したことなどによります。なお、自己資本比率は51.5％（前連結会計年度は53.6％）となりました。当連結会計年度の経営成績は、売上高4,418,018千円（前年同期比8.2％増）、営業利益460,876千円（同56.1％増）、経常利益450,113千円（同60.0％増）、親会社株主に帰属する当期純利益222,333千円（同31.2％増）であり、繰延税金資産の計上により法人税等調整額△6,202千円（前年同期は43,948千円）が発生いたしました。なお、特別利益として固定資産売却益7,192千円、特別損失として減損損失35,224千円、固定資産売却損25,803千円が発生いたしました。 セグメントごとの経営成績は、次の通りであります。 a.カラオケ関係事業当セグメントにおきましては、機器販売の受注を継続的に獲得することができたことなどから、売上高は2,434,843千円と前年同期と比べ400,423千円（19.7％）の増収となりました。また、あわせて固定資産の減価償却が進むなどした結果、セグメント利益（営業利益）は374,679千円と前年同期と比べ116,920千円（45.4％）の増益となりました。b.スポーツ事業当セグメントにおきましては、低価格帯会員区分の新規導入を順次実施するなどした結果、売上高は1,630,652千円と前年同期と比べ17,243千円（1.0％）の減収となったものの、人件費の見直しや固定資産の減価償却が進むなどした結果、セグメント利益（営業利益）は181,490千円と前年同期と比べ71,483千円（65.0％）の増益となりました。c.ＩＰ事業当セグメントにおきましては、前連結会計年度に閉鎖した大型施設の売上高の減少分を補うことができず、売上高は352,522千円と前年同期と比べ47,782千円（11.9％）の減収となりました。一方で、新規設備投資の抑制を継続しており、固定資産の減価償却が進むなどしたものの、セグメント利益（営業利益）は52,033千円と前年同期と比べ429千円（0.8％）の減益となりました。②キャッシュ・フローの状況当連結会計年度は、前連結会計年度からの増加額は947,461千円となり、現金及び現金同等物の期末残高は2,470,954千円となりました。営業活動によるキャッシュ・フローは、カラオケ関係事業の業績が好調に推移するとともに、スポーツ事業の業績も堅調に推移するなどした結果、前連結会計年度から91,786千円増加して1,057,065千円の収入となりました。投資活動によるキャッシュ・フローは、設備投資は前年並みの規模で実施する一方で、固定資産の売却をするなどした結果、前連結会計年度から185,684千円減少して226,448千円の支出となりました。財務活動によるキャッシュ・フローは、金融機関からの借り入れを実施する一方で、借り入れの返済や割賦債務の返済による支出などにより、前連結会計年度から838,284千円増加して116,844千円の収入となりました。  ③仕入及び販売の状況a.仕入実績当連結会計年度における仕入実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称仕入高(千円)前年同期比(％)カラオケ関係事業1,336,179＋35.1スポーツ事業670,963△5.7ＩＰ事業399,704△12.6合計2,406,846＋11.5 （注）セグメント間取引については、相殺消去しております。b.販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称販売高(千円)前年同期比(％)カラオケ関係事業2,434,843＋19.7スポーツ事業1,630,652△1.0ＩＰ事業352,522△11.9合計4,418,018＋8.2 （注）セグメント間取引については、相殺消去しております。 （2）経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。①財政状態及び経営成績の状況に関する認識及び分析・検討内容a.当社グループの当連結会計年度の財政状態及び経営成績当連結会計年度における売上高は4,418,018千円（前連結会計年度比8.2％増）となりました。カラオケ関係事業は販売売上を中心に大幅に増加いたしましたが、スポーツ事業は会費の値下げの影響もあり伸び悩みました。当連結会計年度における営業利益は460,876千円（同56.1％増）となりました。カラオケ事業においては売上の増加により、スポーツ事業においては減価償却費及び経費の減少により、営業利益はそれぞれ大幅に増加いたしました。当連結会計年度における経常利益は450,113千円（同60.0％増）となりました。営業外収益は、受取奨励金、受取利息ならびに受取保険金などにより7,966千円となる一方で、営業外費用は、借入金の支払利息などにより18,730千円となりました。当連結会計年度における特別利益は7,192千円（同80.0％減）、特別損失は65,022千円（同193.7％増）となりました。特別利益におきましては、固定資産の売却益が7,192千円発生する一方で、特別損失におきましても、スポーツ事業で減損損失が35,224千円、ＩＰ事業などで固定資産売却損が25,803千円発生するなどいたしました。税金等調整前当期純利益は392,283千円（同32.9％増）となり、税効果会計適用後法人税負担額は169,950千円（同35.3％増）となりました。その結果、当連結会計年度における親会社株主に帰属する当期純利益は222,333千円（同31.2％増）となりました。 b.当社グループの経営成績に重要な影響を与える要因経営成績に重要な影響を与える要因については、「第２ 事業の状況－３ 事業等のリスク」に記載しております。 c.セグメントごとの財政状態及び経営成績の状況に関する認識及び分析・検討内容カラオケ関係事業当セグメントでは、業務用カラオケ機器及び周辺機器の賃貸並びに卸売事業を行っております。当期は、既存顧客に対する営業活動とあわせて、新規オープン予定店舗に対する営業活動にも重点を置いて取り組んでまいりました。また、昨秋メーカーが発表した新機種に対する需要を一定数取り込むための営業活動も重点的に行ってまいりました。デイ市場においては、出店意欲が旺盛なカラオケボックス運営事業者から、新機種を中心に機器販売の受注を継続的に獲得することができました。また、ナイト市場におきましては、閉店する店舗が多数見られる一方で新規出店も多数にのぼり、レンタル契約を中心に順調に契約を獲得することができました。この様な状況により、売上高は2,434,843千円と前年同期と比べ400,423千円（19.7％）の増収となりました。また、固定資産の減価償却が進むなどした結果、セグメント利益（営業利益）は374,679千円と前年同期と比べ116,920千円（45.4％）の増益となりました。 スポーツ事業当セグメントは、スポーツクラブ「ＪＯＹＦＩＴ」を２店舗、24時間型フィットネス・ジム「ＪＯＹＦＩＴ２４」を18店舗、フィットネス・ジム「ＦＩＴ３６５」を７店舗、ホットヨガスタジオ「ＬＡＶＡ」を１店舗、合計28店舗を運営しております。なお、当連結会計年度における新規出店はありません。「ＪＯＹＦＩＴ２４」の各店舗におきましては、低価格帯会員区分の新規導入を順次実施するとともに、店舗サービスの見直しを通して競合する他ブランドとの差別化ならびに競争力強化を図ってまいりました。しかしながら、当連結会計年度における新規会員数の伸びは２％程度にとどまっております。この様な状況により、売上高は1,630,652千円と前年同期と比べ17,243千円（1.0％）の減収となったものの、人件費の見直しや固定資産の減価償却が進むなどした結果、セグメント利益（営業利益）は181,490千円と前年同期と比べ71,483千円（65.0％）の増益となりました。 ＩＰ事業当セグメントは、店舗及び住宅の賃貸並びにコインパーキング「Ｔ.Ｏ.Ｐ.２４ｈ」の運営をしております。コインパーキング事業におきましては、当連結会計期間末日現在、大阪府、兵庫県、京都府におきまして53ヵ所640車室のコインパーキングを運営しております。店舗及び住宅の賃貸につきましては、収益力の低い２物件を売却処分いたしました。また、コインパーキングの運営につきましては安定して推移しておりますが、新規開設がなかったため、前連結会計年度に閉鎖した大型施設の売上高の減少分を補うことができませんでした。この様な状況により、売上高は352,522千円と前年同期と比べ47,782千円（11.9％）の減収となりました。一方で、新規設備投資の抑制を継続しており、固定資産の減価償却が進むなどしたものの、セグメント利益（営業利益）は52,033千円と前年同期と比べ429千円（0.8％）の減益となりました。 ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報a.キャッシュ・フロー当社グループにおける資金需要の主なものは、商品仕入費用、労務費、販売費及び一般管理費等の営業費用による運転資金及び設備投資資金であります。当社グループにおける資金の源泉の主なものは、営業活動によるキャッシュ・フロー、金融機関からの借入による資金調達、割賦販売契約の締結であります。 b.資本の財源及び資金の流動性資金の流動性については、十分な水準の手元流動性を確保しております。一方で、今後の事業展開に伴う新たな資金需要に対しての機動的対応策として金融機関からの借入も選択の範囲においております。当社グループと各取引金融機関は、情報交換を密接に行うなど経営状況を常に共有して良好な関係を保っており、新たなる借入負担に対する余力を備えております。当社グループ内の資金効率を高めるため、金融機関からの資金調達はすべて当社で行い、資金状況を勘案してグループ会社に配分する制度を運用しております。なお、金融機関との間で、経営計画において想定しない突発的な資金需要に対応するための契約などは締結しておりません。 ③重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、当連結会計年度における財務状態、経営成績及びキャッシュ・フローの状況に影響を与えるような見積り、予測を必要としております。当社グループは、過去の実績値や状況を踏まえ合理的と判断される前提に基づき、継続的に見積り、予測を行っております。そのため実際の結果は、見積り特有の不確実性があるため、これらの見積りと異なる場合があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５ 経理の状況 １ 連結財務諸表等 （1）連結財務諸表 注記事項 （重要な会計上の見積り）」に記載のとおりであります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	 ６ 【研究開発活動】該当する事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資の総額は318,094千円であり、セグメントごとの設備投資は次のとおりであります。 （1）カラオケ関係事業当連結会計年度の主な設備投資は、レンタル用通信カラオケ端末の新機種導入等に総額265,235千円の投資を実施しました。なお、重要な設備の除却又は売却はありません。 （2）スポーツ事業当連結会計年度の主な設備投資は、フィットネス設備の更新等に総額20,246千円の投資を実施しました。なお、重要な設備の除却又は売却はありません。 （3）ＩＰ事業当連結会計年度の主な設備投資は、社有車の入替等に総額17,975千円の投資を実施しました。なお、重要な設備の除却又は売却はありません。 
主要な設備の状況	 ２ 【主要な設備の状況】（1）提出会社2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)賃貸資産建物及び構築物機械装置及び運搬具土地(面積㎡)工具器具及び備品合計本社(大阪市北区)全社共通管理設備－62010,785－011,4059(2)倉庫(大阪府高槻市)全社共通倉庫設備－266－140,000（542.00)616140,882－店舗賃貸物件(堺市北区)ＩＰ事業賃貸店舗186,046－－－－186,046－店舗賃貸物件(札幌市中央区)ＩＰ事業賃貸店舗9,29316,027－109,720(236.76)0135,040－店舗賃貸物件(石川県加賀市)ＩＰ事業賃貸店舗13,468－－84,897(6,048.96)－98,365－守口事務所（大阪府守口市）ＩＰ事業賃貸資産76,263－－－－76,2631(1) (注）従業員数の（外書）は、臨時従業員数であります。 （2）国内子会社2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)賃貸資産建物及び構築物機械装置及び運搬具土地(面積㎡)工具器具及び備品合計従業員数(名)株式会社音通エンタテイメント大阪営業所(大阪府守口市）他、１営業所カラオケ関係事業賃貸資産665,93170106,128（17.46)1,059673,81953(3)株式会社ファイコムJOYFIT浦和原山(さいたま市緑区)スポーツ事業店舗設備－83,074－－6,49589,5703(12)FIT365桶川マメトラショッピングパーク（埼玉県桶川市）スポーツ事業店舗設備－49,910－－6,85756,7670(7)FIT365浦和太田窪（さいたま市緑区）スポーツ事業店舗設備－41,149－－14,42155,5711(9)FIT365門真打越（大阪府門真市）スポーツ事業店舗設備－44,295－－9,08553,3811(8)FIT365南海堺東（堺市堺区）スポーツ事業店舗設備－44,704－－8,37353,0781(7) （注）従業員数の（外書）は、臨時従業員数であります。 
株式の総数	①【株式の総数】 種類発行可能株式総数(株)普通株式355,000,000計355,000,000  
発行済株式、株式の総数等	②【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月21日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式206,850,645206,850,645東京証券取引所スタンダード市場単元株式100株計206,850,645206,850,645－－  
