項目	値
事業の内容	３【事業の内容】 当社グループは、ゴルフクラブヘッド、メタルスリーブ製品、鍛造部品の製造・販売を主たる事業としております。　当社グループは、当社及び子会社４社（エポンゴルフ株式会社、ENDO THAI CO.,LTD.、ENDO METAL SLEEVE（THAILAND）CO.,LTD.、ENDO FORGING（THAILAND）CO.,LTD.）で構成されております。各社の機能につきましては、当社は販売、製品開発、生産技術開発及びグループ全体の管理等の機能を有しており、エポンゴルフ株式会社がゴルフ用品の販売、ENDO THAI CO.,LTD.がゴルフクラブヘッドの製造、ENDO METAL SLEEVE（THAILAND）CO.,LTD.がメタルスリーブ製品の製造及び販売、ENDO FORGING（THAILAND）CO.,LTD.が鍛造部品の製造・販売及びゴルフクラブヘッドの鍛造品の製造をそれぞれ行っております。なお、持分法適用関連会社１社は、含めておりません。　当社グループの事業内容及び当社と関係会社の当該事業に係る位置付けは、後記の「事業系統図」のとおりであります。(1）ゴルフ事業　ゴルフ事業につきましては、ゴルフクラブヘッド（アイアン、メタルウッド）の製造・販売を主な事業としており、製品のほとんどは相手先ブランドによる生産（ＯＥＭ生産）であり、製品供給先は国内企業のほかに米国企業となっております。　当社は、製品の企画・開発、ゴルフクラブヘッドの販売を行い、ENDO THAI CO.,LTD.及びENDO FORGING（THAILAND）CO.,LTD.が製造を行っております。(a）アイアンクラブヘッド　アイアンクラブヘッドの製造方法は「鋳造製法」と「鍛造製法」に大別されますが、当社グループは、「鍛造製法」による製造を行っております。(b）メタルウッドクラブヘッド　メタルウッドクラブヘッドにつきましては、当社グループは鍛造加工されたチタン合金材を使用したメタルウッドヘッドを製造しております。(2）メタルスリーブ事業　メタルスリーブ事業につきましては、主にＯＡ機器等に使用されるメタルスリーブ（金属製極薄管）を製造・販売しており、当社が製品の企画・開発を行い、ENDO METAL SLEEVE（THAILAND）CO.,LTD.が製造を行っております。(3）鍛造事業　鍛造事業につきましては、ENDO FORGING（THAILAND）CO.,LTD.において当社グループの持つ鍛造技術を活かし、自動車や農耕機等の鍛造部品の製造・販売を行っております。 ［事業系統図］以上の概要を、事業系統図によって示すと次のとおりであります。 （注）子会社はいずれも連結子会社であります。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】 　文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。（1）経営方針当社は1950年の創立以来、金属加工技術を軸に市場が求める製品を創出し、新市場を切り拓く金属製品加工メーカーとして事業展開しており、その基本方針は会社の経営理念である「限りない未来の創造」に掲げております。・お客様のニーズにかなう高品質な、信頼性のある製品を創造しつづけること・技術が企業活動の源泉であること・社会のニーズの変化への適応力が不可欠であること・時代が要求する製品を開発し社会に提供することが企業発展の基本であることとしており、成長を重ねる事業の継続が最も重要であり、それが当社を巡る株主様をはじめとするステーク　ホルダーの満足に応えることを可能とする源と考えております。　また、当社グループはゴルフクラブヘッド、医療機器、航空機部品、メタルスリーブ製品及び自動車等鍛造部品の製造を主体にその基盤の拡充を図り、収益力を強化していくことを目指しております。 （2）経営上の目標の達成状況を判断するための客観的な指標等当社グループは、ゴルフクラブヘッド、医療機器、航空機部品、メタルスリーブ製品及び自動車等鍛造部品の製造を拡充して経営基盤の強化を図り、安定的な収益の確保と効率化を目指した経営を行うことで、企業価値の向上に努めてまいります。　経営上の目標の達成状況を判断する経営指標としましては、中長期的な経営戦略を総合的に勘案し、経営に最も適した指標の設定を考えておりますが、自己資本利益率（ＲＯＥ）5.0％以上の継続的な実現を目指します。 （3）経営戦略等当社グループを「鍛造技術と塑性加工技術を中核とした金属製品加工業」と位置付け、ゴルフクラブ（クラブヘッド）、医療機器、航空機部品、メタルスリーブ製品（OA機器部品）、自動車等鍛造部品を中心とし、技術開発成果を事業に活かすとともに、新たな分野についても研究を進め、そのための設備投資を行っていく方針であります。　具体的に中長期的な経営戦略としては、全事業部門を通して次の３つテーマを設定し、目標管理を徹底することによって売上の確保と利益の拡大に努めてまいります。『事業ポートフォリオの再構築』・事業や市場の特性等を踏まえたポートフォリオの再構築・新技術導入、Ｍ＆Ａ、アライアンス活用による新たな価値の創造・生産コスト最適化と品質の安定化による市場拡大『経営基盤の強化』・遠藤製作所が目指す姿を実現するための人材戦略の実行・基幹システムの刷新／統一によるデータドリブン経営の基礎づくり・グローバルレベルでのシームレスな組織運営の基盤構築『資本効率の向上』・利益成長と安定した配当を実現するためのＲＯＥの目標設定・成長投資と株主還元の推進・新たな成長機会の獲得に向けた積極投資 （4）経営環境及び優先的に対処すべき事業上並びに財務上の課題　今後のわが国経済の見通しにつきましては、新型コロナウイルス感染症の５類移行に伴い、経済活動の正常化の動きが明確となり、個人消費やインバウンド需要の回復等により景気は緩やかに回復していくと予想しております。しかしながら、地政学的リスク等の影響が長期化しており、世界的な原油価格や原材料の高騰は継続し、合わせて円安水準も継続する様相であり、予断を許さない極めて厳しい状況が続くものと思われます。　当社グループの経営環境につきましては、ゴルフ市場では過熱感が一服したもののゴルフへの関心は世界的に高いまま継続すると予想しております。医療機器につきましては、新型コロナウイルス感染症禍での医療優先順位が相対的に低下していた人工関節市場は回復するとともに、世界的な高齢化による需要増加を予想しております。航空機分野につきましても、新型コロナウイルス感染症禍での移動制限が解除されつつある状況であり、航空機部品の需要は増加すると予想しております。メタルスリーブ事業では、世界的に事務の効率化や在宅勤務の普及もあり複合機部品の需要は縮小していくと予想しております。鍛造事業につきましては、電気自動車が大幅に生産・販売台数を伸ばしてきているものの、ガソリン及びハイブリッド車の生産・販売台数は堅調に推移していくものと予想しております。　このような状況の中、当社は、引き続き安定供給が可能となるよう仕入、物流等のサプライチェーンへの諸情勢による影響を最低限に止め、製造体制の強化を実施し、主要な取引先に対し受注獲得の取り組みを強化するとともに、開発力の向上と高付加価値製品の供給に努め、全社で生産効率の向上、製造原価の低減、一層のコスト削減に取り組んでまいります。　上記の当社グループの経営戦略を確実なものとするため、ゴルフ事業、メタルスリーブ事業及び鍛造事業において、次のような取り組みを行っていく所存であります。①　ゴルフ事業について・グローバルなゴルフクラブ市場（サプライチェーン）の中で、一層の製造技術、製品品質の向上を図り、ニーズに対応した競争力のある付加価値製品の供給に努めてまいります。・当社がコア技術とする鍛造製法の特性を更に明確にすべく、製法を更に進化させ、新しい市場ニーズに適応した商品を供給することを目指して、企画開発部門の拡充・強化を図ります。・当社のコア技術により獲得した、医療機器分野及び航空機分野での受注及び製品供給を拡大することに努めてまいります。・生産拠点のタイ工場（ENDO THAI CO.,LTD.）につきましては、生産体制の最適化、効率生産に取り組み、製造コストの低減を更に推し進めます。・急激な為替変動による製造原価上昇に対して、為替予約等のリスク回避に努めると同時に生産性の向上によるコスト削減を徹底し、収益の確保に努めてまいります。・変化の激しい市場動向の中で取引先に対する対応をきめ細かく行なうために、企画・製造のリードタイムの短縮を図ります。②　メタルスリーブ事業について・定着スリーブの強度化と更に熱特性に優れた新素材の開発で、付加価値のある製品のバリエーションを広げます。・幅広い分野への製品提案によって、国内外企業での既存取引先との取り組み拡大と新規取引先の開拓を進めることで受注の拡大を図ります。・極薄加工技術を含む金属塑性加工技術を更に発展・応用した次世代製品の研究開発に取り組みます。③　鍛造事業について・当社グループの最大の強みとする自動車部品のエアーハンマーによる鍛造製法部門を増床・拡大し、この分野での圧倒的優位性を実現します。・鍛造部品の強みを活かし、農耕機及び二輪車等自動車以外の領域への取り組みも強化することで受注の獲得を図ります。・製造原価低減による競争力強化の実現と、品質、納期の安定供給を行い受注拡大につなげます。④　サステナビリティについて・持続的に発展する社会を目指し「環境課題の解決に向けた取り組み推進」「より豊かな地域社会の実現に向けた取組」「グローバルガバナンスの更なる高度化」に取り組んでまいります。  
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1)ＯＥＭ企業としてのリスク当社グループの事業は相手先メーカーのブランドで製造し販売するＯＥＭ生産の形態をとっているため、当社グループの業績は相手先メーカーの営業施策や外注施策による影響を受け、当社グループの業績が著しく変化する可能性があります。また、特定取引先への販売依存度が高くなると、その取引先の販売政策の影響を強く受ける可能性があります。一方で取引先数の拡大を図れば主要取引先との関係の希薄化の懸念もあり、取引先拡大と関係強化の面で慎重な対応が必要であります。(2)為替変動におけるリスク当社グループは、タイ国において３法人の子会社を有しており、連結財務諸表作成時における売上、費用、資産及び負債を含む現地通貨建て項目は、円換算されており円換算後の価値が為替変動の影響を受ける可能性があります。また、取引においては、当社及び子会社間でのタイバーツや米ドルで為替の影響を受けます。これに対して、製造原価を低減するためにタイ国生産工場の合理化を進めるとともに、為替予約取引等により為替レートの変動による悪影響を最小限にとどめる努力を行っているものの、大幅な為替レートの変動が当社グループの業績及び財政状況に影響を及ぼす可能性があります。(3)海外廉価製品との価格競争についてのリスクゴルフクラブ市場において、価格及び品質競争が激化を続けている中で、市場での中国製製品の拡大が進んできております。当社グループは技術力と品質面で高い評価を受けておりますが、今後一層のコスト低減策を進めて行く必要があり、この取り組みが不十分な場合、市場シェアの低下をまねき、当社グループの業績及び財政状況に影響を及ぼす可能性があります。(4)原材料の高騰についてのリスク当社グループが製造に使用しているチタン材をはじめ原材料及び資材等の価格が予想を超えて高騰し、その状況が長期化した場合は、当社グループの業績及び財政状況に影響を及ぼす可能性があります。(5)製品開発力についてのリスクゴルフクラブ市場においては、製品サイクルの短命化及び多品種小ロットになってきております。当社グループは開発力と生産技術力の強化により対処すべく取り組んでおりますが、市場環境の変化や取引先の販売施策によっては、取り組みが功を奏さないことも考えられ、その場合当社グループの業績及び財政状況に影響を及ぼす可能性があります。(6)製品の品質についてのリスク鍛造事業において製造しております自動車等鍛造部品については、安全性の配慮から特に品質について万全の体制で行なっておりますが、万が一、重大なリコールや賠償責任につながる製品の欠陥が発生した場合には、信用が失墜し、かつ、多額の費用を要することとなり、当社グループの業績及び財政状況に影響を及ぼす可能性があります。(7)災害等による影響についてのリスク当社グループの生産拠点はタイ国に、また開発等の中枢機能と一部の生産は新潟県燕市にありますが、それらの地域に地震・洪水等その他の災害が発生した場合、生産活動に支障が生じ当社グループの経営成績に悪影響を及ぼす可能性があります。(8)海外での事業展開についてのリスク当社グループは、タイ国に生産の拠点があり、その重要性は高くなってきております。当地域において政情不安、鳥及び新型インフルエンザ、その他の要因による社会的・経済的混乱の長期化や予期せぬ事象の発生及び規制等により、当社グループの業績及び財政状況に影響を及ぼす可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（1）経営成績等の状況の概要当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。①財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、新型コロナウイルス感染症の５類移行に伴い、経済活動の正常化の動きが明確となり、個人消費やインバウンド需要の回復等により景気は緩やかに回復してまいりました。しかしながら、地政学的リスク等の影響が長期化しており、世界的に原油価格や原材料の高騰が引き続きみられ、合わせて急激な円安の進行もあり先行きに対する不透明感が続いております。このような状況のもと、当社グループは、生産体制の最適化・効率化を進めるとともに、成長分野への研究開発及び投資を実施してまいりました。また、全社で受注獲得の取組強化及び製造コストの一層の低減に取り組んでまいりました。この結果、当連結会計年度における財政状態及び経営成績は、以下のとおりとなりました。イ．財政状態当連結会計年度末における資産合計は、240億18百万円となり、前連結会計年度に比べ21億50百万円増加いたしました。当連結会計年度末における負債合計は、40億48百万円となり、前連結会計年度末に比べ５億52百万円増加いたしました。当連結会計年度末における純資産合計は、199億70百万円となり、前連結会計年度末に比べ15億97百万円増加いたしました。ロ．経営成績当連結会計年度の経営成績は、売上高は157億９百万円（前期比7.7％増）と堅調に推移いたしましたが、利益面につきましては、急激な円安や原油価格、原材料の高騰等の影響があり、営業利益11億76百万円（同36.4％減）、経常利益11億49百万円（同37.2％減）となりました。親会社株主に帰属する当期純利益は７億62百万円（同4.3％減）となりました。セグメントの経営成績は、次のとおりであります。（ゴルフ事業）ゴルフ分野につきましては、市場の過熱感は一服したもののゴルフへの関心は高いまま継続しました。また、2014年に立ち上げた医療・航空機分野につきましては、生産体制が整い、市場の回復もあり本格的な受注及び生産を開始することができました。その結果、売上高76億87百万円（前期比8.0％増）となりました。利益面では、生産体制の効率化の取組を実施したものの急激な円安や原油価格、原材料の高騰等の影響が見られ、営業利益13億46百万円（同23.0％減）と増収減益となりました。（メタルスリーブ事業）メタルスリーブ事業につきましては、半導体不足による生産調整及びテレワークやＤＸ等の進展による複写機の需要は減少の傾向が引き続きみられ、原油価格及び原材料の高騰等の影響もあり売上高７億31百万円（同30.0％減）、営業損失10百万円（前期は74百万円の営業利益）と減収減益となりました。（鍛造事業）鍛造事業につきましては、タイの自動車関連市場は堅調に推移いたしました。その結果、売上高は72億89百万円（同13.6％増）となりました。利益面につきましては、原油価格や原材料の高騰に対応するべく一層の製造コストの低減に努めましたが、営業利益４億41百万円（同31.3％減）と増収減益となりました。 ②キャッシュ・フローの状況営業活動によるキャッシュ・フローは、23億96百万円の収入となりました。この主な要因は、税金等調整前当期純利益11億23百万円及び減価償却費10億34百万円等によるものであります。投資活動によるキャッシュ・フローは、６億６百万円の支出となりました。この主な要因は、有形固定資産の取得による支出７億74百万円及び投資有価証券の取得１億19百万円等によるものであります。財務活動によるキャッシュ・フローは、２億98百万円の支出となりました。この主な要因は、配当金の支払額１億58百万円及び長期借入れの返済による支出１億円等によるものであります。この結果、当連結会計年度末における現金及び現金同等物は90億３百万円となり、前連結会計年度末に比べ19億41百万円増加いたしました。 ③生産、受注及び販売の実績イ．生産実績当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日至　2023年12月31日）前年同期比（％）ゴルフ事業（千円）7,946,080105.5％メタルスリーブ事業（千円）674,58658.3％鍛造事業（千円）7,315,603113.1％合計（千円）15,936,270105.2％　（注）金額は販売価格によっております。 ロ．受注実績当連結会計年度の受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日至　2023年12月31日）受注高（千円）前年同期比（％）受注残高（千円）前年同期比（％）ゴルフ事業7,253,77599.51,260,85974.4メタルスリーブ事業791,80673.8170,371154.1鍛造事業7,342,970112.6593,220109.9合計15,388,553103.42,024,45186.3　（注）金額は販売価格によっております。 ハ.販売実績当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年１月１日至　2023年12月31日）前年同期比（％）ゴルフ事業（千円）7,687,749108.0メタルスリーブ事業（千円）731,97470.0鍛造事業（千円）7,289,431113.6合計（千円）15,709,155107.7　（注）最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は、次のとおりであります。相手先前連結会計年度（自　2022年１月１日至　2022年12月31日）当連結会計年度（自　2023年１月１日至　2023年12月31日）金額（千円）割合（％）金額（千円）割合（％）住友ゴム工業㈱2,565,73217.61,630,88910.4  （2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末日現在において当社グループが判断したものであります。①財政状態及び経営成績の状況に関する認識及び分析・検討内容1）財政状態イ．資産の部流動資産は154億26百万円となり、前連結会計年度末に比べ19億75百万円増加いたしました。この主な要因は、現金及び預金、原材料及び貯蔵品、仕掛品が増加したこと等によるものであります。固定資産は85億91百万円となり、前連結会計年度末に比べ1億74百万円増加いたしました。この主な要因は、建設仮勘定、土地、工具、器具及び備品が増加したこと等によるものであります。ロ．負債の部当連結会計年度末における負債合計は、40億48百万円となり、前連結会計年度末に比べ５億52百万円増加いたしました。流動負債は29億52百万円となり、前連結会計年度末に比べ８億95百万円増加いたしました。この主な要因は、支払手形及び買掛金が増加したこと等によるものであります。固定負債は10億95百万円となり、前連結会計年度に比べ３億42百万円減少いたしました。この主な要因は、繰延税金負債及び長期借入金が減少したこと等によるものであります。ハ．純資産の部純資産合計は199億70百万円となり、前連結会計年度に比べ15億97百万円増加いたしました。この主な要因は、為替換算調整勘定及び利益剰余金が増加したこと等によるものであります。 2）経営成績当連結会計年度の業績は、新型コロナウイルス感染症の５類移行に伴い、経済活動の正常化の動きが明確となり、個人消費やインバウンド需要の回復等により景気は緩やかに回復してまいりました。しかしながら、地政学的リスク等の影響が長期化しており、世界的な原油価格や原材料の高騰が引き続きみられ、合わせて急激な円安が進行する中、当社グループは、生産体制の最適化・効率化を進めるとともに、成長分野への研究開発及び投資を実施してまいりました。また、全社で受注獲得の取組強化及び製造コストの一層の低減に取り組んでまいりました。この結果、当連結会計年度の経営成績は、売上高は157億９百万円（前期比7.7％増）と堅調に推移いたしましたが、利益面につきましては、急激な円安や原油価格、原材料の高騰等の影響があり、営業利益11億76百万円（同36.5％減）、経常利益11億49百万円（同37.2％減）となりました。親会社株主に帰属する当期純利益は７億62百万円（同4.3%減）となりました。イ．売上高　ゴルフ事業のゴルフ分野につきましては、市場の過熱感は一服したもののゴルフへの関心は高いまま継続しました。また、2014年に立ち上げた医療・航空機分野につきましては、生産体制が整い、市場の回復もあり本格的な受注及び生産を開始することができました。その結果、売上高76億87百万円（前期比8.0％増）となりました。　メタルスリーブ事業につきましては、半導体不足による生産調整及びテレワークやＤＸ等の進展による複写機の需要は減少の傾向が引き続き見られ、売上高７億31百万円（同30.0％減）となりました。　鍛造事業につきましては、タイの自動車関連市場は堅調に推移しました。また、材料価格の調整等の影響もあり、売上高72億89百万円（同13.6％増）となりました。ロ．営業利益　ゴルフ事業につきましては、生産体制の効率化の取組を実施したものの急激な円安や原油価格、原材料の高騰等の影響が見られ、営業利益13億46百万円（同23.0％減）の減益となりました。　メタルスリーブ事業につきましては、半導体不足による生産調整及びテレワークやＤＸ等の進展による複写機の需要は減少の傾向が引き続きみられ受注数が減少したほか、原油価格及び原材料の高騰等の影響もあり営業損失10百万円（前期は74百万円の営業利益）となりました。　鍛造事業につきましては、原油価格や原材料の高騰等に対応するべく一層の製造コストの低減に努めました。また、材料価格の調整等があったものの営業利益４億41百万円（同31.3％減）と減益となりました。 ハ．営業外損益、経常利益　営業外損益、経常利益につきましては、営業利益が上記のとおり推移したこと等により、経常利益は11億49百万円（同37.2％減）となりました。ニ．親会社株主に帰属する当期純利益親会社株主に帰属する当期純利益につきましては、上記の通り売上高が増加したものの、原油価格や原材料の高騰及び円安の進行による仕入れ価格の上昇等もあり営業利益、経常利益が減益となり、決算による繰延税金資産の再計算により法人税等調整額を△３億48百万円計上したこと等により親会社株主に帰属する当期純利益７億62百万円（同4.3％減）となりました。 ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社グループの当連結会計年度のキャッシュ・フローの状況につきましては、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。イ．資金需要　当社グループの資金需要は、主に生産活動のための原材料費、労務費、販売費及び一般管理費に係る運転資金、事業拡大及び生産性の向上のための設備投資資金等であります。ロ．財務政策　当社グループの事業活動拡大のため、安定的な資金調達手段の確保及び運転資金の効率的な調達を行うことを目的として、単独の金融機関との間で15億円のコミットメントラインを更新しております。  ③重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたりまして、決算日における資産・負債の報告数値、当連結会計年度の収入・費用等の報告数値に影響を与える見積り等は当連結会計年度末現在において当社グループが判断したものであります。しかしながら、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。　当社グループの連結財務諸表で採用する重要な会計方針は、「第５ 経理の状況 １ 連結財務諸表等 （１）連結財務諸表 連結財務諸表作成のための基本となる重要な事項」に記載のとおりであります。　また、連結財務諸表で採用する重要な会計上の見積りは、「第５ 経理の状況 １ 連結財務諸表等 （１）連結財務諸表 重要な会計上の見積り」に記載のとおりであります。 （3）経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、経営基盤の強化を図り、安定的な収益の確保と効率化を目指した経営を行うことで、企業価値の向上に努めてまいります。　経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等として、連結営業利益率10％以上の継続的な実現を目指しており、当連結会計年度における連結営業利益率は7.5％（前期比5.2ポイント低下）であります。　翌連結会計年度以降につきましては、中期経営計画を策定し、資本コスト等を意識した経営を実施していくにあたり、経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等として、自己資本利益率（ＲＯＥ）5.0％を目標とするものであります。　なお、当連結会計年度における自己資本利益率（ＲＯＥ）につきましては、4.0％であり、自己資本利益率（ＲＯＥ）の向上に取り組んでまいります。 （4）経営成績に重要な影響を与える要因について　「第２　事業の状況　３　事業等のリスク」に記載のとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】　経営上の重要な契約を締結しております。　製品の製造委託及び受託に関する契約の概要は、次のとおりであります。契約先契約年月日契約内容契約期間ブリヂストンスポーツ㈱1983年５月１日「取引基本契約書」製品の製造委託に関する契約１年間（自動更新）住友ゴム工業㈱2004年４月15日「取引契約書」ゴルフクラブヘッドの製造、加工委託に関する契約1年間（自動更新）  
研究開発活動	６【研究開発活動】　当社グループの研究開発は、金属塑性加工製造業での「Only One企業」を目指し、コア技術である鍛造及び塑性加工技術を更に追求・発展させつつ、各事業戦略の中で、顧客のニーズに対応した研究開発活動を行なっております。研究開発組織は、当社及び一部連結子会社の研究開発部門であります。　なお、当連結会計年度の当社グループ全体の研究開発費は、311百万円となっております。　また、セグメント別の研究の目的、研究開発費は以下のとおりであります。（1）ゴルフ事業　ゴルフ事業では、ゴルフクラブの性能、品質の向上を追求するとともに、生産のリードタイム短縮とコスト低減の開発を実施しております。また、提案型開発を強化し、製品の差別化に努めております。　ゴルフ事業に係る研究開発費は、244百万円であります。 （2）メタルスリーブ事業　メタルスリーブ事業では、生産効率の向上・製造原価の低減及びステンレス製極薄管の用途変更の研究・開発を実施してまいりました。また、新機能素材の開発を進め、製品化を図っております。　メタルスリーブ事業に係る研究開発費は、67百万円であります。  
設備投資等の概要	１【設備投資等の概要】　当社グループは製造原価低減、受注増加に伴う製品の安定供給及び今後の受注拡大策の先行投資のためのそれぞれの設備として、当連結会計年度において総額885百万円の設備投資を実施いたしました。　セグメントごとの設備投資の状況は、次のとおりであります。(1)ゴルフ事業主力製品の製造拡大及び生産性の向上、生産効率向上のための機械設備を主として、632百万円の設備投資を実施いたしました。(2)メタルスリーブ事業工程改善による生産性向上のための機械設備を主として、29百万円の設備投資を実施いたしました。(3)鍛造事業生産性の向上、生産効率向上のための機械設備を主として、207百万円の設備投資を実施いたしました。(4)その他業務効率化のためのシステム設備を主として、16百万円の設備投資を実施いたしました。 
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、以下のとおりであります。(1）提出会社2023年12月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）（面積㎡）その他（千円）合計（千円）ゴルフ工場（新潟県燕市）ゴルフ事業全社（共通）ゴルフ用品生産設備521,293670,627469,116(13,421)175,6881,836,72788(19)メタルスリーブ工場（新潟県燕市）メタルスリーブ事業メタルスリーブ用品設備103,37311,24878,222(3,548)5,727198,5715(-)本社 他（新潟県燕市）全社（共通）会社統括設備等54,7011,236385,269(22,114)13,420454,62828(1) (2）国内子会社2023年12月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）（面積㎡）その他（千円）合計（千円）エポンゴルフ㈱本社（新潟県燕市）ゴルフ事業ゴルフ用品販売設備13,4362,267－(－)6,20721,9118(1)  (3）在外子会社2023年12月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）（面積㎡）その他（千円）合計（千円）ENDO THAICO.,LTD.ストーク工場(タイ国バンコク都)ゴルフ事業ゴルフ用品生産設備1,011,280333,444303,562(24,948)54,9271,703,215572(187)ENDO METAL SLEEVE(THAILAND)CO.,LTD.本社工場(タイ国チャチンサオ県)メタルスリーブ事業メタルスリーブ用品生産設備153,271271,79660,197(14,576)21,120506,38599(-)ENDO FORGING(THAILAND)CO.,LTD.本社工場(タイ国チャチンサオ県)鍛造事業及びゴルフ事業自動車部品等鍛造品及びゴルフ用品生産設備624,549625,014515,965(95,172)159,2051,924,735451(32)合計－－－1,789,1011,230,255879,725(134,696)235,2534,134,3361,122(219) 　（注）１．帳簿価額のうち「その他」は、工具器具備品であり、建設仮勘定を含んでおります。２．従業員数は就業人員であり、臨時雇用者数は（　）内に年間の平均人員を外数で記載しております。３．提出会社の本社中には、貸与中の建物及び構築物27百万円、土地205百万円（4,586m²）を含んでおります。４．上記のほか、主要な賃借及びリース設備は次のとおりであります。  主要な賃借及びリース設備(1）提出会社2023年12月31日現在 事業所名（所在地）セグメントの名称設備の内容年間賃借及びリース料（千円）リース契約残高（千円）主なリース期間（年）本社（新潟県燕市）全社（共通）車両運搬具395－5 (2）国内子会社2023年12月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容年間賃借及びリース料（千円）リース契約残高（千円）主なリース期間（年）エポンゴルフ㈱本社（新潟県燕市）ゴルフ事業店舗及び土地（賃借）15,417－5 (3）在外子会社2023年12月31日現在会社名事業所名（所在地）セグメントの名称設備の内容年間賃借及びリース料（千円）リース契約残高（千円）主なリース期間（年）ENDO THAICO.,LTD.ストーク工場（タイ国バンコク都）ゴルフ事業機械装置及び運搬具（リース）2,5722,4435 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式29,800,000計29,800,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年12月31日）提出日現在発行数（株）（2024年３月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式9,441,8009,441,800東京証券取引所スタンダード市場単元株式数100株計9,441,8009,441,800－－
