項目	値
事業の内容	３【事業の内容】　当社グループは、当社及び子会社17社で構成され、合成樹脂加工製品関連の原糸、クロス及びラミクロス等の製造・販売及び機械製品関連の製造・販売を主な内容として事業活動を展開しております。　当社グループの事業に係わる位置づけ及びセグメントとの関連は次のとおりであります。 (1）合成樹脂加工製品事業当社及びハギハラ・ウエストジャワ・インダストリーズ社では合成樹脂加工製品関連の原糸、クロス、ラミクロスこれらの二次製品の各種製造・販売を行っております。また、日本ファブウエルド株式会社ではラミクロスの二次加工を行っております。バルチップ株式会社ではバルチップの国内外への販売、バルチップ・アジア社他８社ではバルチップの海外販売、ハギハラ・インダストリーズ・イグアス社では2023年よりバルチップの製造・販売、東洋平成ポリマー株式会社では合成樹脂加工製品関連のフィルム、原糸、ラミクロスの製造・販売をそれぞれ行っております。なお、当社の連結子会社でありました青島萩原工業有限公司は2023年６月19日をもって清算結了いたしました。また、2023年７月１日にメルタックの製造・販売を予定している当社の連結子会社ハギハラ・インダストリーズ・マッカレン社を設立いたしました。  (2）機械製品事業当社にてスリッター、ワインダー及び押出関連機器等各種産業機械の製造・販売を行っております。また、萩華機械技術（上海）有限公司ではスリッター、ワインダー及び押出関連機器等各種産業機械の設計・製造・販売を行っております。また、ハギハラ・インダストリーズ（タイランド）社では当社製品の販売・据付・運転指導・アフターサービスを行っております。 事業の系統図は、次のとおりであります。 連結子会社ハギハラ・ウエストジャワ・インダストリーズ社、ハギハラ・インダストリーズ・マッカレン社、バルチップ株式会社、バルチップ・アジア社他８社、ハギハラ・インダストリーズ・イグアス社、日本ファブウエルド株式会社、東洋平成ポリマー株式会社、萩華機械技術（上海）有限公司、ハギハラ・インダストリーズ（タイランド）社 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。（会社の経営の基本方針）　当社グループは、「フラットヤーン技術を大事にしながら　常に変革し続け　世のため人のために役立つ会社であろう」を経営理念とし、フラットヤーン関連技術というコアコンピタンスを活かし、顧客のニーズに的確に応えるような製品やサービスを創造し提供していくことを通じて、社会的価値を創造するとともに自らも成長していくことを基本方針といたしております。 （目標とする経営指標)　2022年12月に、「飛躍に向けた原点回帰」をメインスローガンとする中期経営計画を策定いたしました。当計画は、前計画「ＵＰＧＲＡＤＥ　Ｆｏｒ　Ｎｅｘｔ　６０」の主要戦略であった「技術を、磨く」「製品を、広げる」「市場を、創る」「社員の成長と幸福を、伸ばす」を踏襲しつつ、目標未達に終わった前計画の未達要因への対処のための「ｖ字回復戦略」を織り込んだものとなっております。　当計画においては、業績指標に加え、財務指標の目標数値を設定し、収益の拡大のみならず資本効率をより重視した経営を目指すとともに、安定した株主還元を目指してまいります。 （中長期的な会社の経営戦略）　2022年12月に策定した中期経営計画の内容は以下の通りです。■対象期間　2023年10月期～2025年10月期の３ヶ年■メインスローガン　飛躍に向けた原点回帰　ｖ（ｖｉｃｔｏｒｙ）字回復、そしてＪ（Ｊｕｍｐ）字成長へ、「ｖ　for　Ｊ」■事業環境に対応するためのｖ字回復戦略　(１）適正な価格の実現 + そのための製品競争力強化　(２) 最適な生産・物流体制の構築■成長軌道に乗るためのＪｕｍｐ戦略　(１) 技術を、磨く。　(２）製品を、広げる。　(３）市場を、創る。　(４）社員の成長と幸福を、伸ばす。 ■数値目標（2025年10月期）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　（金額単位：億円）業績目標合成樹脂加工製品事業機械製品事業合計 売上高26664330 経常利益231033財務目標ROE８%以上D/Eレシオ0.6 (会社の対処すべき課題)国内外の経済活動が回復傾向にある一方で、収束が見えない世界を二分する政治的紛争、インフレによる世界的な物価高騰といった不安定な状況において、現在の事業環境はパンデミックから新たな局面を迎えており、このような環境下におけるさらなる事業拡大を実現するためには、新たな成長戦略の遂行が急務と考えております。このような課題に対処すべく、2025年10月期を最終年度とした中期経営計画の達成を念頭に、「Ｊｕｍｐ戦略の遂行！」をスローガンに掲げ、リサイクル技術の開発、ブランドの再構築、新たな市場の開拓、働き方改革といった成長軌道に乗るための戦略に取り組み、変化の激しい事業環境に対応し、事業の拡大を図ってまいります。 ［合成樹脂加工製品事業］合成樹脂加工製品事業は、新たに加工部門を増強した笠岡工場の稼働が開始し、ものづくり変革元年と位置付けております。国内及び海外工場において、生産品目再編によるベストプロダクトミックスによる最適生産体制の構築と作り方の変革を行ってまいります。販売面では海外マーケットの拡大を目的とした国際営業部の新設による積極的な営業の展開、需要縮小が予想される国内市場の深掘りと再拡大のために、リサイクルブルーシート販売の拡大を目指したRe VALUE+戦略の実践、ＢtoＣビジネス領域の拡大、販売競争に打ち勝つためのランチェスター戦略の深耕を行ってまいります。 ［機械製品事業］機械製品事業は、中国市場の市況悪化の影響から、液晶部材、リチウムイオン電池部材及び半導体関連資材などの市場を牽引してきた業界の成長が鈍化し始めており、新たな市場の発掘が急務であります。当社では、2023年３月に金属箔用スリッターに関する技術を譲受け、当社にとって新たな市場である電極材用途のアルミ箔・銅箔業界への製品展開を強化してまいります。また、カーボンニュートラルへの取組として、進行中であるブルーシートの水平リサイクル技術を製紙といった他分野へも展開するべく、他社との共同技術開発を進めることで、異材質の分離・洗浄・脱墨技術を確立し、軟包装材料の水平リサイクルにも取り組んでまいります。 ［環境問題への対応］ブルーシートからブルーシートへの水平リサイクルシステム「Re VALUE+」に注力しており、洗浄技術といった新たなリサイクル技術の開発に努め、環境負荷の軽減を目指し、リサイクル需要を取り込んでまいります。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1)　気候変動に伴うリスク　気候変動の直接的影響として自然災害の増加や海面上昇による物的被害や事業継続が困難な状況の発生などのリスクがあります。それに加えて、気候変動緩和策の進捗により、原材料の調達難や炭素税などによるコスト増加が生じる可能性があります。　これらのリスクに対して、次項のように災害対策を講じるとともに、柔軟な原材料調達を可能にする態勢整備や温暖化ガスの排出を最小限にするような事業活動へのシフトを通じて、影響を最小化してまいります。　また当社グループの製品には、防災関連用途など気候変動への適応に貢献するものも多く、事業機会の一つであると認識して当該事業分野を強化してまいります。 (2)　自然災害等のリスク　暴風、地震、落雷、洪水、火災、感染症の世界的流行（パンデミック）等の各種災害により、社員及び家族への身体的被害、事業資産への物的被害等により、事業活動レベルの低下または停止に至る可能性があります。　これらのリスクに対して、被害の発生及び発生時の損失を最小限におさえるべく、設備の防災対策、防災訓練の実施、連絡体制の整備、損害保険の付保等リスク管理に努めております。 (3)　法制度・規制に関するリスク　当社グループの事業活動が国内外の法令や規制に抵触した場合、多額の課徴金や事業停止を余儀なくされる可能性があります。　これらのリスクに対して、法務部門を始め関係部署や外部の専門家にて法令等に関する情報収集を行うとともに、行動規範などを通じて法令遵守を徹底しております。 (4)　プラスチックを巡る環境変化に関するリスク　プラスチックは性状安定性や耐久性、経済性等に優れた素材ではありますが、海への廃棄プラスチックの流出問題や、化石燃料を主要原料とすることなど、地球環境に対してマイナス影響を及ぼしうるとの評価になりつつあります。その結果、プラスチック製品を製造・販売することの風評リスクや、将来的にはプラスチックの使用が制限される可能性もあります。　当社グループでは、当面はプラスチックに代わる素材の実用化は困難と考えており、プラスチックの使用を継続しながらそのマイナス影響を最小化することを基本方針としております。具体的には、生産ロスの再利用を徹底するとともに、使用後の製品を同等の製品に再生産する「水平リサイクル」の実用化を目指し、技術開発や回収の仕組みの検討を行っております。 (5)　原材料等の市況変動及び調達リスク　当社グループの合成樹脂加工製品事業は主にポリエチレン・ポリプロピレン樹脂を原材料として使用し、製造の際に熱源や動力源として電力を使用しております。これら原材料の価格は、原油・ナフサといった国際商品市況や為替相場の影響を受け、また電力料金も化石燃料等の影響を受けるもので、原材料価格や電力料金の変動が業績に影響を及ぼす可能性があります。　また、機械製品事業におきましては、半導体などの部品の調達網に混乱が生じた場合、代替品調達によるコスト増や売上遅延のため、業績に影響を及ぼす可能性があります。　当社グループでは、特定の原材料等への依存を減らすよう技術開発を進めるとともに、原材料等価格変動を製品価格に転嫁できるよう製品の競争力を高めることなどを通じて、原材料に関するリスクを抑制しております。 (6)　子会社の収益変動リスク　当社グループでは多様な製品を製造・販売することにより、製品ごとの需要や収益性の変動リスクを軽減する事業構造になっております。ただし個々の子会社においては、取り扱う製品の需要変動や販売地域の経済情勢などにより、収益が変動するリスクがあります。　このようなリスクに対して、グループ内の生産体制や販売体制では全体最適を追求しつつ、各子会社の事業活動に支障のないよう資金繰り等のリスクに対応する支援を行うとともに、子会社ごとの事業価値を正確に見積もることにより適切な経営管理を行っております。(7)　情報セキュリティに関するリスク　サイバー攻撃等により当社グループのシステムで障害が発生した場合、事業継続に重大な影響が生じる可能性があります。また、情報漏洩が発生した場合、損害賠償責任が生じ、さらに会社の信用を喪失する恐れがあります。　これらのリスクに対して、適切な情報システムの整備・運用を行うとともに、社員への情報セキュリティ教育の実施やサイバー攻撃による損害をカバーする保険の付保などにより、情報システムに関連する事故発生の防止と、万が一事故が発生した場合の損害の軽減を図っております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】経営成績等の状況の概要(1）財政状態及び経営成績の状況当連結会計年度におけるわが国の経済は、世界的な新型コロナウイルス感染症の影響の縮小等に加え、国内では円安やインバウンド増加等による需要動向改善により回復基調にありましたが、ロシアによるウクライナ侵攻やパレスチナにおける紛争勃発、さらに中国経済の低迷も重なり、経済動向の大きな不安材料となりました。このような状況のもと、当社グループにおきましては、電力費の高止まりや各種インフレの影響等により、ナフサ価格の落ち着きにもかかわらず原材料価格は想定ほど下がらず、また、改善傾向にはあるものの、機械部品の納期遅延も続く中、収益面への影響を最小限に留めるべく事業活動を継続してまいりました。その結果、当連結会計年度の経営成績は、売上高312億45百万円（前期比4.3％増）、営業利益19億79百万円（同43.7％増）、経常利益22億50百万円（同33.8％増）、親会社株主に帰属する当期純利益は、青島萩原工業有限公司が土地収用に伴い受領した収用補償金及び同社の清算に伴う子会社清算益を特別利益に計上した結果、31億18百万円（同230.7％増）となりました。 　セグメントごとの経営成績は、次のとおりであります。合成樹脂加工製品事業合成樹脂加工製品事業におきましては、資材価格高騰に伴う製品価格上昇に起因した買い控え等により、シートや一般原糸の販売が伸び悩んだ一方で、国内向けでは防災用途製品として根付いてきた粘着テープの原反が好調、海外向けではアメリカ合衆国で需要が拡大しているメルタックが好調、バルチップの販売数量は前年並みであったものの円安効果による売上増加もあり、全体でも増収増益となりました。インドネシア子会社「ハギハラ・ウエストジャワ・インダストリーズ社」におきましては、バルチップの生産は順調に推移しましたが、主要製品であるフレキシブルコンテナバッグの需要減少に伴う生産調整の影響、FSSC22000規格の食品用梱包袋の市場投入の遅れにより減収減益、国内子会社「東洋平成ポリマー株式会社」におきましては、買い控え等の需要の後退による生産量の減少により減収となりましたが生産性改善等により増益となりました。その結果、売上高は263億53百万円と前期に比べ７億82百万円（同3.1％増）の増収となり、営業利益は16億55百万円と前期に比べ４億78百万円（同40.6％増）の増益となりました。 機械製品事業機械製品事業におきましては、国内向けのスリッター関連機器は、工業材料用途の販売が伸びた一方で、軟包装材料用途での販売が減少し、海外向けは、中国の市況悪化を受けて二次電池、半導体、及びディスプレイ関係材料等、今まで売上を牽引してきた市場における需要減退により大きく減少しましたが、全体では増収となりました。また環境意識の高まりにより、プラスチックの再生に関連した設備の売上が順調に増加し増収となりました。生産面では、長納期化が問題となっていた制御機器を中心に部品のサプライチェーンが改善しつつあり、受注から出荷までの納期短縮傾向が見えてまいりました。その結果、売上高は48億91百万円と前期に比べ５億９百万円（同11.6％増）の増収となり、営業利益は３億24百万円と前期に比べ１億23百万円（同61.8％増）の増益となりました。   (2）キャッシュ・フローの状況当連結会計年度における現金及び現金同等物（以下、「資金」という。）は、前連結会計年度末に比べ７億24百万円増加し、53億97百万円となりました。当連結会計年度における活動ごとのキャッシュ・フローの状況とそれらの要因は次のとおりであります。 （営業活動によるキャッシュ・フロー）　当連結会計年度の営業活動によるキャッシュ・フローは、当連結会計年度に収益として認識した青島萩原工業有限公司の立退きに伴う収用補償金20億22百万円（当連結会計年度における受取額13億95百万円）を含む税金等調整前当期純利益44億98百万円の計上に加え、減価償却費15億３百万円を主とする資金の増加がある一方、法人税等の支払額10億27百万円を主とする資金の減少により、45億79百万円（前連結会計年度比35億円26百万円の収入増加）の資金の増加となりました。 （投資活動によるキャッシュ・フロー）　当連結会計年度の投資活動によるキャッシュ・フローは、生産設備の新増設、更新及び合理化投資等の有形固定資産の取得並びに笠岡工場の建設資金支払い等による支出44億10百万円により、46億53百万円（同４億87百万円の支出増加）の資金の減少となりました。 （財務活動によるキャッシュ・フロー）　当連結会計年度における財務活動によるキャッシュ・フローは、主に短期借入金の返済による支出４億39百万円及び自己株式の取得による支出６億36百万円並びに長期借入金の調達による収入28億円等により、10億42百万円（同３億35百万円の収入増加）の資金の増加となりました。  (3）生産、受注及び販売の実績① 生産実績　当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額（千円）前年同期比（％）合成樹脂加工製品事業18,261,46691.8機械製品事業4,719,887119.0合計22,981,35496.3　（注）金額は販売価格によっております。 ② 受注実績　当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高（千円）前年同期比（％）受注残高（千円）前年同期比（％）合成樹脂加工製品事業原糸2,356,309109.7254,825211.8梱包袋1,665,07396.151,74253.7計4,021,383103.6306,568141.5機械製品事業6,348,604102.26,944,615126.5合計10,369,987102.87,251,183127.1　（注）１．金額は販売価格によっております。２．合成樹脂加工製品事業においてクロス、シート及び土のうは主として見込み生産のため記載を省略しております。 ③ 販売実績　当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称金額（千円）前年同期比（％）合成樹脂加工製品事業26,353,223103.1機械製品事業4,891,940111.6合計31,245,163104.3  (4）経営者の視点による経営成績等の状況に関する分析・検討内容① 重要な会計方針及び見積り　当社グループの連結財務諸表はわが国において一般に公正妥当と認められる企業会計の基準に準拠して作成しております。その作成には経営者による会計方針の採用や、資産・負債、収益・費用の計上及び開示に関する経営者の見積りを必要とします。経営者は、これらの見積りについて過去の実績等を勘案して合理的に判断しておりますが、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。　当社グループの連結財務諸表で採用する重要な会計方針は、「第５　経理の状況　１．(1)連結財務諸表　注記事項(連結財務諸表作成のための基本となる重要な事項)」に記載しております。・流動資産　当連結会計年度末における流動資産の残高は、234億75百万円（前連結会計年度末222億６百万円）となり、12億68百万円増加しました。これは主に青島萩原工業有限公司が土地収用に伴い受領した収用補償金及び銀行借入れによる資金調達等により現金及び預金が８億24百万円増加、機械製品事業において部品調達の遅れに伴い未完成となっている仕掛品が４億55百万円増加したこと等によります。・固定資産　当連結会計年度末における固定資産の残高は、189億57百万円（同162億40百万円）となり、27億16百万円増加しました。これは主に笠岡工場の完成に伴い建物及び構築物が45億86百万円増加した一方、建設仮勘定が20億64百万円減少したこと等によります。・流動負債　当連結会計年度末における流動負債の残高は、91億70百万円（同89億50百万円）となり、２億19百万円増加しました。これは主に支払手形及び買掛金が１億91百万円、未払法人税等が２億18百万円それぞれ増加した一方、その他流動負債が２億32百万円減少したこと等によります。・固定負債　当連結会計年度末における固定負債の残高は、53億60百万円（同35億45百万円）となり、18億15百万円増加しました。これは主に笠岡工場等の設備投資資金に充当するための長期借入金が増加したこと等によります。・純資産　当連結会計年度末における純資産の残高は、279億１百万円（同259億50百万円）となり、19億50百万円増加しました。これは主に利益剰余金が増加したこと等によります。  ② 経営成績の分析・売上高　当連結会計年度における売上高は、312億45百万円（前連結会計年度299億53百万円）となり、12億92百万円増加しました。これは主に海外向けのバルチップ、メルタック及びラミクロスの販売が好調だったことに加え、機械製品の売上増加等によります。・売上総利益　当連結会計年度における売上総利益は、83億19百万円（同77億99百万円）となり、５億20百万円増加しました。これは主に売上高の増加及び製品価格の値上げ効果等によります。・販売費及び一般管理費　当連結会計年度における販売費及び一般管理費は、63億40百万円（同64億22百万円）となり、81百万円減少しました。これは主に海上輸送運賃の減少等によります。・営業外損益　当連結会計年度における営業外損益は、２億71百万円の利益（同３億４百万円の利益）となり、32百万円減少しました。これは主に受取保険金の減少及び支払利息の増加等によります。・特別損益　当連結会計年度における特別損益は、22億48百万円の利益（同３億47百万円の損失）となりました。これは主に青島萩原工業有限公司が土地収用に伴い受領した収用補償金及び同社の清算に伴う子会社清算益等によります。・税金等調整前当期純利益　当連結会計年度における税金等調整前当期純利益は、44億98百万円（同13億33百万円）となり、31億65百万円増加しました。・法人税等　当連結会計年度における税金費用は、13億74百万円（同３億82百万円）となり、９億92百万円増加しました。・親会社株主に帰属する当期純利益　当連結会計年度における親会社株主に帰属する当期純利益は、31億18百万円（同９億43百万円）となり、21億75百万円増加しました。この結果、１株当たり当期純利益は223円09銭（同65円86銭）となり、157円23銭増加しました。 ③ キャッシュ・フローの分析　当連結会計年度におけるキャッシュ・フローの概況については、「経営成績等の状況の概要　(2)キャッシュ・フローの状況」に記載のとおりです。　営業活動によるキャッシュ・フローを主に、事業支出の２か月分を目安とする所要運転資金を確保するとともに、「第４　提出会社の状況　３．配当政策」記載の方針による利益還元及び設備投資に充当した上で、借入金の返済による財務体質の強化を進め、将来の成長投資への備えとしております。 
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。
研究開発活動	６【研究開発活動】当社グループにおきましては、研究開発活動は主として当社が行っております。当社の研究開発活動は、新製品開発、既存製品の改良・改善及び新技術の開発であります。合成樹脂加工製品事業におきましては製品開発部が新製品の開発、既存製品の改良・改善を担当しております。機械製品事業におきましては営業開発課と設計部が担当しておりますが、技術高度化等の開発に関してはタスクチームを編成し効率的かつフレキシブルに対応しております。研究開発スタッフは64名、当連結会計年度は研究開発費として603百万円を投入しました。当連結会計年度における産業財産権出願件数は８件、当連結会計年度末における産業財産権の総数は191件となっております。  主な研究開発 (1)合成樹脂加工製品事業主力製品であるバルチップは、一部稼働ではありますが、南米パラグアイでの生産を開始し、インドネシア及び日本に加え、３拠点での生産体制となりました。今後、土間用途の拡大を目指した製品開発を進めてまいります。また、本格的な事業化を目指し開発を進めております延伸多孔質体「レイシス」は、吊り下げタイプの防虫製品に加え、裏面にシール機能を持つ新たな貼り付けタイプの販売も開始し、市場の拡大及び様々な用途展開を進めております。さらに、ブルーシートの水平リサイクルプロジェクト「Re VALUE+」を推進した結果、建築工事用リサイクルシートとしてエコマークを取得し、水平リサイクルの拡大に注力しております。また、笠岡工場に新たに導入したシート用インクジェット印刷機の稼働が開始し、新たな加工技術や印刷技術を活用したシート製品のさらなる高付加価値化を推進してまいります。当事業に係る研究開発費は529百万円でありました。  (2)機械製品事業スリッター機器関連は、当社における新たな市場を開拓する目的で、2023年３月、「金属箔スリッター技術」を譲受け、さらなるスリッター市場の拡大を目指し、アルミ箔や銅箔といった市場に対し積極的な営業を展開しております。押出機器関連は、世界的なカーボンニュートラルへの潮流から、プラスチックのリサイクルニーズが高まっていることを背景に、製紙機械設備に強みを持ち、プラスチックリサイクルに必須となる洗浄技術や異材質を分離脱墨するための技術を持つ会社と共同開発研究契約を締結し、同社の製紙向け叩解装置のリサイクル分野への展開を進めると同時に増加するリサイクル需要に対応してまいります。当事業に係る研究開発費は73百万円でありました。 
設備投資等の概要	１【設備投資等の概要】　当社グループ（当社及び連結子会社）は当連結会計年度の設備投資において、生産設備の新増設、更新及び合理化投資を図った結果、4,484,255千円の投資を実施いたしました。　セグメントの設備投資について示すと、次のとおりであります。合成樹脂加工製品事業　笠岡工場並びにフラットヤーン設備などに4,372,304千円の投資を実施いたしました。機械製品事業　作業の効率性向上などに111,951千円の投資を実施いたしました。
主要な設備の状況	２【主要な設備の状況】(1）提出会社2023年10月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械装置及び運搬具土地（面積千㎡）その他合計水島事業所（岡山県倉敷市）合成樹脂加工製品事業合成樹脂関連製造設備483,491596,855851,431(40)102,1522,033,930210(27)本社エンジニアリング工場（岡山県倉敷市）機械製品事業機械設計設備153,44156,009119,035(7)69,273397,759106(15)里庄工場（岡山県浅口郡里庄町）合成樹脂加工製品事業合成樹脂関連製造設備464,535436,115360,934(39)40,7851,302,37193(14)物流センター（岡山県倉敷市）合成樹脂加工製品事業保管設備30,9851,237-(8)11,67643,89913(２)賀陽工場（岡山県加賀郡吉備中央町）合成樹脂加工製品事業合成樹脂関連製造設備136,942373,814427,436(34)20,621958,81443(４)笠岡工場（岡山県笠岡市）合成樹脂加工製品事業合成樹脂関連製造設備4,559,278-911,197(114)631,0186,101,494２(-) (2）国内子会社2023年10月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械装置及び運搬具土地（面積千㎡）その他合計日本ファブウエルド株式会社本社（岡山県笠岡市）合成樹脂加工製品事業合成樹脂関連製造設備44,711139,346201,447(9)45,625431,13142(7) 東洋平成ポリマー株式会社本社（茨城県かすみがうら市）合成樹脂加工製品事業合成樹脂関連製造設備652,034408,049816,400(63)52,6571,929,141102(11)福島工場（福島県いわき市）合成樹脂加工製品事業合成樹脂関連製造設備82,214154,373173,000(18)7,361416,94929(４)高知工場（高知県高知市）合成樹脂加工製品事業合成樹脂関連製造設備14,92786,041-3,575104,54436(２) (3）海外子会社2023年10月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械装置及び運搬具土地（面積千㎡）その他合計ハギハラ・ウエストジャワ・インダストリーズ社本社（インドネシア共和国西ジャワ州）合成樹脂加工製品事業合成樹脂関連製造設備808,220904,024-289,4302,001,676489(159)ハギハラ・インダストリーズ・イグアス社本社（パラグアイ共和国シウダー・デル・エステ市）合成樹脂加工製品事業合成樹脂関連製造設備4,552520,180-69,455594,18720(-)萩華機械技術（上海）有限公司本社（中華人民共和国上海市）機械製品事業設計設備9,24131,180-4,85145,27335(-)　（注）１．帳簿価額のうち「その他」は、工具、器具及び備品と建設仮勘定であります。２．従業員数は就業人員であり、臨時従業員は（　）内に過去１年間の平均人員を外数で記載しております。３．提出会社物流センターの土地（８千㎡）及び建物は、賃借中のものであり年間賃借料は29,269千円であります。４．日本ファブウエルド株式会社本社事業所の設備については、提出会社から賃借しているものを含めて記載しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式36,000,000計36,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年10月31日）提出日現在発行数（株）（2024年１月25日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式14,897,60014,897,600東京証券取引所プライム市場単元株式数100株計14,897,60014,897,600－－
