項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社、子会社３社(全て在外子会社)で構成されており、日本、北米、東アジア及び欧州にセグメント分けしております。当社グループの事業内容に係る当社及び子会社の位置付け及びセグメントとの関連は次のとおりであります。なお、次の４区分は「第５  経理の状況  １  連結財務諸表等  (1) 連結財務諸表  注記事項」に掲げるセグメント情報の区分と同一であります。　(1) 日本連結財務諸表提出会社(当社)のフィルム事業は、フィルムを素材としてその表面に加工する数々の技術を開発し、多様な機能を付加した各種工業用材料を製造及び販売するとともに在外子会社に供給しております。デジタルツイン事業は、デジタルデータ画像処理サービス、地理情報データ作成サービス並びにソフト開発の受託業務を行っております。コンサルティング事業については、製造業向けデジタルサイネージキット製品の開発及び販売を行っております。(2) 北米米国に所在する製造・販売会社KIMOTO TECH,INC.は、フィルム事業の製品を製造し、この製品を当社並びに東アジア及び欧州に所在する当社グループ販売拠点に供給するとともに、当社グループの製品を米国内外で販売しております。(3) 東アジア中国に所在する製造・販売会社瀋陽木本実業有限公司は、デジタルツイン事業及びコンサルティング事業の製品を製造し、当社に供給するとともに、当社グループの製品を中国国内で販売しております。(4) 欧州スイスに所在する販売会社KIMOTO AGは、当社グループの製品を欧州で販売しております。 事業系統図は、次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 (1) 会社の経営の基本方針当社グループは、経済情勢及び業界動向の急激な変化を見据え、企業統治の推進、成長市場に焦点を合わせた経営資源の有効活用、開発及び生産部門の競争力強化、在外子会社との連携強化等を中期的な施策として進めてまいります。 (2) 目標とする経営指標当社グループは、グローバル企業として継続的かつ収益性の高い企業を目指します。具体的な経営指標として、売上高及び営業利益率を重要指標として意識した経営を行っております。 (3) 中長期的な会社の経営戦略 経営計画の推進を強化するため各事業において以下の項目に注力し進めてまいります。 ＜フィルム事業＞IoT関連ビジネスへの進化を目指し、主として電子・工業材料分野に継続的に供給されており、引き続き、拡大が期待される東アジア市場に向け事業を展開してまいります。更にグローバルな営業体制が整備されたことから、米国及び欧州市場への展開強化を進めてまいります。 ＜デジタルツイン事業＞DX（デジタルトランスフォーメーション）の拡がりとともに活用が加速するデジタルツイン技術を磨き続け、付加価値の高いデータ編集・加工・保管サービスを通じて、建設業、製造業及び農業など多種多様なお客様の生産性及び収益性の向上に貢献してまいります。  (4) 経営環境及び対処すべき課題　国際情勢や社会環境が大きく変化し、更に加速化する技術進歩や情報量の増大等、急速に変化し続ける事業環境に即応しKIMOTOグループの安定的な成長と100年継続企業を実現するため、経営基盤を強化し、フィルム事業に偏ることなく、画像処理技術を中心としたデジタルツイン事業をグローバルに推進し、世の中に貢献することを念頭に収益性と効率性の高いビジネスの創出を図ってまいります。 ①グローバル体制の強化　IoT・車載関連・メディカル市場そしてデジタルツインのグローバルな事業展開を推進するため、技術開発型企業としてKIMOTOの技術に関する知識はもとより、国籍、学歴、性別、年齢の壁を乗り越え多様な文化を理解し、コミュニケーションスキルの高い人材を、グローバルに育成してまいります。更にワールドワイドに業務改革を推進し、多様化する顧客ニーズに迅速、柔軟かつ的確に対応できる自律分散型のスマートな組織を目指してまいります。 ②新製品開発とプロセスの最適化　高付加価値・高品質の魅力的な新製品を継続的に生み出し社会に貢献するため、全世界の開発テーマの共有化や製品開発のワークフロー改革による開発スピードの強化を行い、より多くの新製品の創造と開発に努め、フレキシブルな生産を可能にすべく、モノづくりプロセスの最適化を積極的に進めてまいります。  ③環境への対応　気候変動、水・森林資源の枯渇、そして生物多様性の損失の加速などの環境問題が深刻化している中、それらの問題が社会の持続性に与える影響の大きさを重く受け止め、次の項目を課題とし環境への取り組みを強化してまいります。 　　　・電力等の再生可能エネルギー活用 　　　・重油からLNG等への燃料転換 　　　・生産における基材使用量や廃液をリサイクル、削減することによる廃棄物の削減 　　　・リサイクルPETや植物由来材料の検討 100年のその先も継続するKIMOTOを実現するため、皆様に喜んでいただける製品の提供を行い、世の中に貢献し、社会から必要とされる企業を目指して事業を進めてまいります。 
事業等のリスク	３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には以下のようなものがあります。なお、文中における将来に関する事項は、有価証券報告書提出日現在において当社グループが判断したものであります。 (1)特定の取引先・製品・技術等への依存のリスク フィルム事業の新製品開発力当社グループの収益の大部分は、多種多様な機能を有する各種工業材料を製造販売しているフィルム事業によっております。当社グループは継続して市場のニーズにこたえる新製品の開発ができると考えておりますが、当社グループが業界と市場の変化、技術の変化を十分に予測できずに新製品の投入が遅延した場合もしくは競合他社、異業種からの競合製品がより低価格で導入され価格競争が激化した場合、あるいは業界の技術の革新により従来の需要が激減した場合には、収益性を保つことが出来ない可能性があります。これらのリスクを軽減するため、競合情報及び市場情報の収集を強化し、付加価値の高い製品の開発を行い競合他社との差別化を行っております。 (2)特有の法的規制・取引慣行の影響 ① 環境規制の強化当社グループは、機能性フィルムの製造工程において有機溶剤を使用しております。この有機溶剤は取り扱いにおいて、労働安全衛生法、毒物及び劇物取締法、消防法、ＰＲＴＲ法等の法規制を受けております。当社グループは、法規制を遵守するとともに、工場、研究所におきましては、環境目標を設定し、環境汚染の防止、安全衛生の推進に努めております。特に有機溶剤及び有機溶剤ガスに関しましては、現在最高水準の技術を導入し、有機溶剤回収や熱回収を行っております。今後、これらの規制の改廃や新たな法的規制が設けられる場合には、新たな設備投資が必要となり、経営成績に影響を及ぼすことが考えられます。これらのリスクを軽減するため、環境に配慮した溶剤等の使用量の少ない製造プロセスを重点的に進めております。  ② 知的財産保護の限界当社グループは、他社製品と差別化するべく、製品又は技術に関しては、特許等の知的財産権により積極的に権利の保護を図っております。しかしながら、特定の地域においては、そのような法的保護が不完全であることにより、当社グループ製品・技術が模倣又は解析調査等されることを防止できない可能性があります。 (3)重要な訴訟事件等の発生の影響① 知的財産権侵害の可能性当社は積極的な特許出願を行うとともに、第三者からの特許侵害訴訟を未然に防止するため、当社及び特許事務所を通じた特許調査を随時行っております。しかしながら、第三者の特許権を侵害していないことを完全に調査し確認することは極めて困難であり、現時点において当社グループが認識していない第三者の特許等の知的財産権が存在する可能性は完全には否定できず、また今後、当社グループが第三者より特許権その他知的財産権の侵害を理由として訴訟提起を受けないという保証はありません。当社グループが第三者から訴訟提起等を受けた場合には、当社は、弁理士・弁護士と相談のうえ、個別具体的な対応を行っていく方針でありますが、その対応において多大な費用と時間を要する可能性があります。その結果によっては、当社グループの事業戦略や経営成績に悪影響が及ぶ可能性があります。 ② その他の訴訟提起を受ける可能性当社グループは、顧客満足度に重点を置いて製品の製造販売を行っておりますが欠陥等の不具合が発生した場合、損害賠償による利益の喪失、当社グループのブランドに対する信頼の喪失、補償費用あるいは保険料等の発生が予測されます。その結果、経営成績に大きく影響を及ぼす可能性があります。 (4)固定資産減損のリスク当社グループは、複数の生産拠点を所有し、また設備投資を積極的に実施しております。収益性の低下による大幅な業績の悪化や固定資産の市場価格の下落があった場合、固定資産等についての減損損失が発生し、経営成績及び財政状態に影響を与える可能性があります。これらのリスクを軽減するため、以下の施策を進めてまいります。a．新しい技術及び設備を活用した製造の歩留向上並びに廃棄物の削減による製造原価の低減。b．マーケットの変化へ柔軟に対応するため、開発スピードの向上及びニーズに合わせた製造対応。c．製造在庫リスクを低減させるため受注生産方式の採用。 (5) その他の事業等のリスクについて① 天災、火災、事故等の発生が将来の業績に悪影響を及ぼす可能性　当社グループは国内外に所在するメーカーより原材料を調達し、三重県、茨城県、ジョージア州（米国）に分散所在する工場にてそれぞれ製品製造を行っております。原材料の調達先工場の所在する地域において地震等の天災あるいは、火災や爆発事故等が発生した場合は原材料調達に支障が発生し生産に影響を及ぼす可能性があります。また、同じく当社グループの工場所在地において地震等の天災が発生した場合あるいは、万一火災等が発生した場合、生産活動が停止することから経営成績に重大な影響が生じることになります。また電力不足による電力供給の調整が行われた場合、生産活動に影響を受ける可能性があります。これらのリスクを軽減させるため、主要製品の生産場所の複数化や、材料サプライヤーと連携強化を進めてまいります。 ② 情報セキュリティについて当社グループは、デジタルツイン事業及びコンサルティング事業において個人情報を含む顧客情報を取り扱っておりますが、これらの情報が漏洩することがあれば、当社グループの信用が失墜し、経営成績に影響を及ぼす可能性があります。これらのリスクを回避するためのマニュアルを作成し対応しております。 ③ 在庫評価の影響当社グループは、国内、北米、東アジア及び欧州にフィルム事業製品を安定かつ迅速に供給するため、原材料について一定量在庫にしております。そのため急激な市場動向の変化により原材料の評価損が発生するリスクがあります。これらを回避するため、営業、サプライヤーとの情報共有の強化、また材料品種、サイズの標準化を進め長期在庫リスクの低減を進めております。　
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループ（当社及び連結子会社)の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。　(1) 経営成績2024年３月期は、世界的な景気停滞、そして資材価格等の高騰による消費低迷の影響から大幅に受注量が減少していた状況から、主要取引先の事業活動は引き続きの回復傾向となりました。その結果、当連結会計年度の売上高は、在庫確保の動きに伴う需要増加からその影響による受注低迷へと激しく変動した前連結会計年度に比べ微増となりました。利益面は、IoT関連製品向け高付加価値製品の受注が増加したこと及び資材価格やエネルギーコスト上昇分を販売価格に反映できたことにより大幅に改善いたしました。このような事業環境の中、当連結会計年度における売上高は9,910百万円（前連結会計年度比3.0％増）、営業利益は214百万円（前連結会計年度の営業損失は626百万円）、経常利益は408百万円（前連結会計年度の経常損失は512百万円）、親会社株主に帰属する当期純利益は335百万円（前連結会計年度の親会社株主に帰属する当期純損失は567百万円）となりました。  ① 売上高           （主な変動要因）↑新しい業界向けの一つとして自動車で使用される付加価値の高い製品が堅調に推移。↑東アジア地域の大手スマートフォンメーカーが回復傾向となり、新規モデル向けへの採用などにより遮光フィルム、粘着フィルムが堅調となり貢献。    ② 営業利益         （主な変動要因）↑高付加価値製品の販売強化、低収益品の統合及び生産業務効率化による製造原価低減に努め、高収益製品の販売が前期比で増加し、増益。↑資材やエネルギーのコスト上昇分を補うため、販売価格へ反映。↑デジタルツイン事業において、ＤＸ関連のソフト開発案件の受注により利益に貢献。    ↑：増加要因　   ③ トピックス・デジタルツイン事業においては、新規顧客獲得のため製造業と建設業向けにＤＸセミナーの開催と展示会への出展を実施しました。展示会につきましては国内のみならず海外においても実施し、今後も活動を継続していきます。 ・連結子会社のKIMOTO TECH, INC.（米国）では、注力する自動車向け製品におけるパートナー企業との協業による新規プロジェクトを立ち上げていきます。・連結子会社のKIMOTO AG（スイス）では、欧州の製造業不況の影響を受けつつも、車載ディスプレイ向け高付加価値製品の需要が堅調に推移しました。一方、デジタルツインビジネスとして初めて展示会に出展し、欧州における足がかりとなりました。  セグメントごとの経営成績は次のとおりであります。（日本）当連結会計年度における売上高は8,703百万円（前連結会計年度比4.0％増）、営業利益は439百万円（前連結会計年度の営業損失は498百万円）となりました。  （北米）当連結会計年度における売上高は602百万円（前連結会計年度比12.9％減）、営業損失は273百万円（前連結会計年度の営業損失は251百万円）となりました。 （東アジア）当連結会計年度における売上高は5百万円（前連結会計年度比7.5％増）、営業利益は6百万円（同76.0％減）となりました。 （欧州）当連結会計年度における売上高は599百万円（前連結会計年度比6.9％増）、営業利益は35百万円（同59.9％減）となりました。 生産、受注及び販売の実績は、次のとおりであります。① 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称生産高(百万円)前年同期増減(％)日本8,8115.2北米493△22.3東アジア184△8.6欧州－－合      計9,4893.0 　　(注)  金額は、販売価格によっております。 ② 受注実績当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注残高(百万円)前年同期増減(％)日本1,68438.7北米－－東アジア－－欧州－－合      計1,68438.7 (注)  日本における受注残高はフィルム事業、デジタルツイン事業及びコンサルティング事業の金額を記載しております。日本以外の受注残高につきましては、見込み生産を行っているため記載を省略しております。 ③ 販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高(百万円)前年同期増減(％)日本8,7034.0北米602△12.9東アジア57.5欧州5996.9合      計9,9103.0     (注)  主な相手先別の販売実績及び総販売実績に対する割合は、次のとおりであります。相手先前連結会計年度(自  2022年４月１日至  2023年３月31日)当連結会計年度(自  2023年４月１日至  2024年３月31日)販売高(百万円)割合(％)販売高(百万円)割合(％)光陽オリエントジャパン株式会社1,22413.71,42314.4   ④ 仕入実績当連結会計年度における仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称仕入高(百万円)前年同期増減(％)日本376△17.5北米2△82.5東アジア－－欧州－－合      計378△19.2     (注)  金額は、仕入価格によっております。 (2) 財政状態　当連結会計年度末における資産、負債、純資産の状況は以下のとおりであります。なお、比較増減額はすべて前連結会計年度末を基準としております。　(資産)総資産は前連結会計年度末に比べ1,038百万円増加し、22,599百万円となりました。主な変動要因は、受取手形及び売掛金の増加877百万円、投資有価証券の増加174百万円、ソフトウエアの増加158百万円、流動資産その他に含まれる未収入金の減少181百万円であります。 (負債)負債は前連結会計年度末に比べ576百万円増加し、4,442百万円となりました。主な変動要因は、買掛金の増加289百万円、電子記録債務の増加250百万円、未払法人税等の増加101百万円、退職給付に係る負債の減少119百万円であります。 (純資産)純資産は前連結会計年度末に比べ462百万円増加し、18,156百万円となりました。主な変動要因は、為替換算調整勘定の増加217百万円、その他有価証券評価差額金の増加121百万円、退職給付に係る調整累計額の増加65百万円であります。これらの結果、自己資本比率は前連結会計年度末に比べ1.8ポイント下降し、80.3％となりました。 (3) キャッシュ・フロー当連結会計年度末における現金及び現金同等物(以下「資金」という。)は、前連結会計年度末に対して1.5％減少し、12,602百万円となりました。 (営業活動によるキャッシュ・フロー)営業活動によるキャッシュ・フローは、514百万円の資金の増加(前連結会計年度は190百万円の資金の減少)となりました。主な増加要因として、仕入債務の増加513百万円、減価償却費498百万円、税金等調整前当期純利益381百万円があり、主な減少要因として、売上債権の増加981百万円がありました。 (投資活動によるキャッシュ・フロー)投資活動によるキャッシュ・フローは、642百万円の資金の減少(前連結会計年度は528百万円の資金の減少)となりました。主な増加要因として、定期預金の払戻による収入281百万円があり、主な減少要因として、有形固定資産の取得による支出380百万円、定期預金の預入による支出506百万円がありました。 (財務活動によるキャッシュ・フロー)財務活動によるキャッシュ・フローは、278百万円の資金の減少(前連結会計年度は576百万円の資金の減少)となりました。減少要因として、配当金の支払額278百万円がありました。  当社グループの資本の財源および資金の流動性につきましては、次のとおりであります。当社グループの運転資金需要のうち主なものは、材料の仕入れのほか、製造費、販売費および一般管理費等の営業費用であります。投資を目的とした資金需要は設備投資、子会社株式の取得等によるものであります。当社グループは、事業運営上必要な資金の流動性と資金の源泉を安定的に確保することを基本方針としております。短期運転資金は自己資金を基本としており、設備投資や長期運転資金の調達につきましても自己資金を基本としております。 (4) 重要な会計上の見積り、判断及び仮定連結財務諸表の作成において、経営者は、会計方針の適用並びに資産、負債、収益及び費用の報告額に影響を及ぼす判断、見積り及び仮定の設定を行っております。見積り及び判断は、継続的に評価され、過去の経験及び他の要因（状況により合理的であると認められる将来事象の発生見込みを含む）に基づいております。会計上の見積りの結果は、その定義上、通常は関連する実際の結果と一致することはありません。連結財務諸表の作成に当たって用いた会計上の見積り及び仮定のうち、重要なものは以下の通りです。 ①繰延税金資産の回収可能性繰延税金資産の認識に際して用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項　（重要な会計上の見積り）」に記載のとおりであります。 ②従業員給付当社グループが採用する退職給付制度は、数理計算上の仮定に基づいて算定されております。数理計算上の仮定には退職給付制度に係る確定給付債務の現在価値及び割引率等様々な変数についての見積り及び判断が求められます。 ③金融商品の公正価値金融資産及び金融負債の公正価値は、金融商品の公正価値の見積りにおいて、市場価格が入手できる場合は、市場価格を用いております。市場価格が入手できない金融商品の公正価値に関しては、将来キャッシュ・フローを割り引く方法、またはその他の適切な評価方法により見積っております。 ④引当金引当金は、前回の引当金計上時に行った見積り実績の参照又は適切な場合には、専門家のアドバイス等を考慮して評価を行っております。賞与引当金は、当社グループの現在の業績値又は将来業績の予想値との比較に基づき算定しております。 ⑤固定資産の減損処理当社グループは、固定資産のうち減損の兆候がある資産又は資産グループについて、回収可能価額が帳簿価額を下回る場合には、帳簿価額を回収可能価額まで減額し、当該減少額を減損損失として計上しております。減損の兆候の把握、減損損失の認識及び測定に当たっては慎重に検討しておりますが、事業計画や市場環境の変化により、その見積の前提とした条件や仮定に変更が生じた場合、減損損失の金額に影響を及ぼす可能性があります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】記載すべき重要な事項はありません。 
研究開発活動	６ 【研究開発活動】当社グループは技術開発型企業として、付加価値の高い製品開発を目指すとともに、技術力の向上、構築に取り組んでおります。市場が求める製品開発、既存製品の性能品質の向上はもとより、コストダウンへの取り組みにも注力し、顧客満足の向上に資することを研究開発の目的として掲げております。また、環境負荷削減のため、塗料設計段階から、塗料に含まれる有機溶剤や生産後の廃液の削減などを織り込み、開発を進めております。さらに、ポリエステルフィルム以外の異種基材など、各種素材の特性を生かした高付加価値製品の開発にも挑戦し、当社技術の一つでもある機能性塗料でも世の中に貢献してまいります。当連結会計年度では当社の技術開発センター(埼玉県さいたま市所在)で、研究員として総員53名が研究開発に携わっており、研究開発費として589百万円(日本において580百万円、米国において9百万円(62千米ドル))を投入いたしました。第64期からは、アウトプットの飛躍的向上を目的とし、製品開発のワークフロー改革を進行しております。開発部門と製造部門の垣根を越えて、場所にこだわらない効率的な開発体制の構築に向けて、第65期も引き続き改革を進めてまいります。なお、セグメント別の主な研究開発活動の状況は次のとおりであります。 (1) 日本主に光学機器用遮光フィルム、工程用粘着フィルム、車載ディスプレイ用成型フィルム、タッチパネル用ハードコートフィルム、液晶バックライト用光拡散フィルム、ウィンドウフィルム、等の開発を行っております。光学機器用遮光フィルムは、スマートフォンカメラや車載センサー用の部品として、様々なニーズを反映し、製品開発に取り組んでおり、多品種の新製品を市場投入いたしました。タッチパネル用ハードコートフィルムは、顧客ニーズを反映した製品の開発を進めており、特に、品質とコスト競争力に優れたディスプレイ表面保護用フィルムの開発に取り組んでおります。工程用粘着フィルムは、ラインナップを拡充すると共に、用途展開を広げております。お客様とのコンタクトを密にし、ニーズに合わせて用途の幅を広げつつ、現在も数多くの製品開発を進めております。液晶バックライト用光拡散フィルムは、引き続き、更なる性能品質の向上、およびコストダウンを目指して開発に取り組んでおります。車載関連に用いられる「成型フィルム」において、成型用拡散フィルム、成型用ハードコートフィルムをすでに市場投入しております。今後も伸びが期待される車載関連分野の製品開発に関しては、より一層、注力していく予定です。従来培ってきたハードコート技術、粘着技術を組み合わせた車載関連分野の飛散防止フィルムは、すでに市場投入しております。今後も引き続き、当社技術をコラボレーションした製品開発を進め、新たな用途展開を追求してまいります。また、技術開発センターにおけるコンパクトクリーンコーターは茨城工場へ移設いたしました。引き続き茨城工場で、少量からのニーズに対応した高付加価値製品の製造・販売を継続してまいります。 (2) 北米粘着フィルム、ハードコートフィルム、導電性フィルムの開発が完了し用途展開を進めております。また、コンパクトクリーンコーターで生産する高付加価値製品の開発や、技術開発センターと連携した製品開発体制の構築に向けて積極的に取り組んでまいります。また、自然災害などの緊急事態が起こった際の事業継続計画の面からも、北米工場と国内工場の連携強化に努めております。 以上のような研究開発活動を行うとともに、生産性並びに品質の向上、製造に関する基盤技術の向上を目指し、当社グループ各生産部門との連携強化を図っております。
設備投資等の概要	１ 【設備投資等の概要】当社グループ(当社及び連結子会社)は、長期的に成長が期待できる製品分野及び研究開発分野に重点を置き、合わせて省力化、合理化及び信頼性向上のための投資を行っております。当連結会計年度の設備投資額は合計で450百万円となりました。なお、当連結会計年度における重要な設備の除却、売却等はありません。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(人)建物及び構築物機械装置及び運搬具土地(面積千㎡)工具、器具及び備品合計茨城工場(茨城県古河市)日本製造設備67427021(15)[3]1598054三重工場(三重県いなべ市)日本製造設備1,188218535(81)321,975136技術開発センター(埼玉県さいたま市中央区)日本研究開発設備1831239(2,031)[1]※３36460193 (注) １．帳簿価額には、建設仮勘定の金額は含まれておりません。２．帳簿価額の土地の[  ]内は、連結会社以外からの賃借土地面積(千㎡)で、外数であります。※３．技術開発センターの土地には、連結子会社 KIMOTO TECH,INC.に対する賃貸工場用地等(米国ジョージア州　　2,030千㎡)が含まれております。 (2) 在外子会社2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(人)建物及び構築物機械装置及び運搬具土地工具、器具及び備品合計KIMOTO TECH,INC.米国ジョージア州シーダータウン北米製造設備1747－26718瀋陽木本実業有限公司中国瀋陽市東アジアデータ処理設備－3－0355 (注)　帳簿価額には、建設仮勘定の金額は含まれておりません。　
株式の総数	① 【株式の総数】種    類発行可能株式総数(株)普通株式90,000,000合    計90,000,000  
発行済株式、株式の総数等	② 【発行済株式】種    類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年５月31日)上場金融商品取引所名又は登録認可金融商品取引業協会名内    容普通株式54,772,56454,772,564 東京証券取引所スタンダード市場単元株式数  100株合    計54,772,56454,772,564――  
