項目	値
事業の内容	３【事業の内容】　当社及び当社の関係会社（当社、子会社23社及び関連会社4社（2024年3月31日現在）により構成）は、鉄鋼、非鉄金属、電子、ライフ営業、機械・工具、営業開発の6つの事業を主として行っており、その取扱品は多岐にわたっております。　当社及び当社の関係会社の事業における当社及び関係会社の位置付け及びセグメントとの関連は次のとおりであります。なお、セグメントと同一の区分であります。 （鉄鋼事業）　当社は、当事業において、表面処理鋼板、冷延鋼板、酸洗鋼板、熱延鋼板、棒鋼、条鋼などの普通鋼、構造用炭素鋼、構造用合金鋼、工具鋼などの特殊鋼及び建築用の資材、機材を主に自動車、建設機械、農機具、建築、電機、造船、金型などの業界に販売しております。　また、各事業所は、倉庫を所有し、切断加工などの1次加工も行い、神奈川、栃木、郡山にはコイルセンターが存在しております。〔主要な関係会社〕エヌケーテック㈱、メタルアクト㈱、大東鋼業㈱、冨士自動車興業㈱、SATO-SHOJI(THAILAND）CO.,LTD.、上海佐商貿易有限公司、SATO-SHOJI(VIETNAM）CO.,LTD.、広州佐商貿易有限公司、YUASA SATO(Thailand）Co.,Ltd. （非鉄金属事業）　当社は、当事業において、アルミニウム、亜鉛、メタルシリコン、銅合金などの素材及び加工品を主に自動車、機械器具製造、ダイカスト製造業などの業界に販売しております。また、海外で調達した地金、自動車部品等を国内外に販売しております。〔主要な関係会社〕佐藤ケミグラス㈱、SATO-SHOJI(THAILAND）CO.,LTD.、上海佐商貿易有限公司、SATO-SHOJI(VIETNAM）CO.,LTD. （電子事業）　当社は、当事業において、電子機器、電気製品及び車載機器に使用されるプリント配線基板用積層板などの電子材料、液晶、半導体向け部材を主に電子部品業界に販売しております。〔主要な関係会社〕香港佐藤商事有限公司、SATO-SHOJI(THAILAND）CO.,LTD.、SATO SHOJI ASIA PACIFIC PTE.LTD.、広州佐商貿易有限公司 （ライフ営業事業）　当社は、当事業において、マーシャンマークで知られる日本洋食器㈱などで製造されたナイフ・フォークなどの金属洋食器、陶磁器、北欧デンマークデザインのテーブルウェアブランド「ＤＡＮＳＫ」や自社ブランドの「Ｄ＆Ｓ」、日本を代表する工業デザイナーであり、文化功労者の「柳 宗理」氏のデザイン商品などを主に百貨店、量販店、式場、ホテルなどの業界に販売しており、加えて、直営アウトレット店の多店舗化をはじめとした小売事業を推進しております。また、ＳＰ（セールスプロモーション）商品の企画販売や、パーソナルカラオケ等の商品をテレビショッピングや通信販売にて販売しております。〔主要な関係会社〕日本洋食器㈱、上海佐商貿易有限公司 （機械・工具事業）　当社は、当事業において、旋盤、フライス盤、砥削盤、マシニングセンターなどの工作機械、各種設備・装置及び工場生産ライン一式、また、輸入機械、切削工具、研削砥石などを自動車業界を主力に国内外へ販売しております。〔主要な関係会社〕該当なし。 （営業開発事業）　当社は、当事業において、工場建屋改修工事（ＯＳクール工法、カバー工法など）、ＬＥＤ照明、各種クレーン、コンプレッサ、空調機器、リプラギなどの環境配慮型商品を自動車業界を主力に国内販売しております。〔主要な関係会社〕該当なし。（事業系統図）　事業系統図は、次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （1）経営方針　当社グループは、「流通・サービスを通じて広く社会に貢献する」ことを経営理念としており、社会・株主・取引先・社員に信頼され、働きやすい・働き甲斐のある「人を活かす企業」を目指しながら、更に経営基盤の強い、良い会社にし、「企業価値の向上」を図ります。 （2）中長期的な経営戦略　当社グループは、2023年度を初年度とし、2025年度を最終年度とした3ヵ年の第三次中期経営計画を策定しております。当計画のビジョンとして、「３つのSINKA」を掲げており、多様化する環境に対応しながら、持続的な成長を実現してまいります。　現在、鉄鋼、非鉄金属、電子、ライフ営業、機械・工具、営業開発の各事業が、国内及び海外で営業を展開する中、国内に向けては、主力顧客のニーズをとらえながら地域経済に密着した競争力の強化と全社的な情報共有による迅速なサービス体制の確立を目指し、一層の販路拡大に努めるとともに、事業環境の変化に対応しながら、積極的な新商材の発掘と提案を行ってまいります。　海外に向けては、アジア地域を中心としたグループ拠点を活用し、投資を踏まえた積極的な販売活動を推進してまいります。また、海外人員の育成を強化し、海外販売体制を充実させることで、販売取引における海外比率の向上を目指します。 （3）経営環境と対処すべき課題　当社グループを取り巻く経営環境は、AIやIoTのデジタル技術が進化し、DXの実現に向けた動きが顕在化する中、産業構造も含め、急速なスピードで事業環境の変化が進んでおります。また、世界的な自国産化や保護主義の流れが影響し、現調化の促進や取扱い商材の多様化等が求められております。　当連結会計年度における我が国経済は、アフターコロナにおける経済回復がみられる中、引き続き原材料の高騰や金融資本市場の変動など、依然として不透明な状況が続いておりますが、製造業の生産活動の回復が進んだことや、国内の雇用情勢及び所得環境が改善したことによる個人消費の増加などから、底堅く推移しました。　2024年度は、雇用や所得環境の改善により緩やかな個人消費の回復が見込まれる一方で、国際紛争等の長期化や世界的な原材料及びエネルギー価格の高騰、金利・為替相場の変動に加え、物流コストの増加や人件費上昇など、依然として先行きは不透明な状況が続くものと予想されますが、第三次中期経営計画「3つのSINKA 『進化』Evolution 『深化』Deepening 『新化』New challenge」で掲げた方針に基づき、国内及び海外の関係会社が連携を図ると共に、引き続き業務の効率化による経費の削減を推進しながら、経営目標の達成に向けて取り組んでまいります。　このような状況の下、当社が対応すべき当面の課題は下記のとおりです。 ①取引金額の多寡に比例する取引リスクの評価が必要な案件については、様々な角度からの検討を反映させるため、与信投資委員会にてリスクの把握と対策を検討し、案件の進捗を管理する。②加工品取引が拡大する中、加工品推進室を設けることで、事前に加工不良等に起因する大きな損失の発生を抑制するとともに、予め指定した特定取引については、受注時から一定の条件で制限しリスク軽減を図る。③鉄鋼事業では、主力顧客のニーズを捉えながら国内外のグループ拠点に販売体制を強化し、M＆A等により販売地域を拡大する。また、調達先を多様化しながら軽量化や持続性を高める商材の取り扱いを強化する。併せて、中国・東南アジア・南アジア地域での営業拠点の充実及び各現調化への対応により拡販する。④非鉄金属事業では、主力顧客のニーズを捉えながら国内外のグループ拠点に販売体制を強化し、M＆A等により販売地域を拡大する。また、海外調達先との関係を強化しながら、脱炭素や軽量化商材の拡販、アルミ等水平リサイクル販売を推進することで、付加価値の向上に努める。⑤電子事業では、既存のプリント配線基板用積層板に加え、高機能材等の注力商材の取り扱いを強化し、国内外の拠点を活かしながらグループ全体での拡販を推進する。また、国内拠点の倉庫拡充や海外グループ拠点の体制を強化しながら、販売地域を拡大する。⑥ライフ営業事業では、オリジナルブランド商品開発、海外生産による低価格商品開発を行い、自社商品を中心とした国内販売を推進する。また、国内の地域活動拠点と販売網の再編を行いながら、各販売チャネルへの拡販活動を推進する。⑦機械・工具事業では、大手ユーザーグループ等の柱となる大口顧客に注力しながら、選択と集中を重視した営業活動を推進する。また、設備メーカーやエンジニアリング企業との関係性を強化しながら、省人化やロボット自動化等の需要を見据えた営業活動に注力する。⑧営業開発事業では、環境配慮型商材の販売や各セグメントのユーザーが取り扱う製品の販売等に取り組み、国内の拠点網を活かしながら販売活動を推進する。また、社内の工事体制や仕入先との関係を強化し、付加価値の向上に努める。⑨社員教育の推進による人材育成の強化並びに女性社員やシニア社員の積極的な活用を推進する。⑩勤務形態の多様化や適材適所での人材活用を推進し、働きやすい職場環境をつくる。⑪海外駐在者や現地採用社員育成の強化並びに、海外拡販に向けた販売体制の充実を図る。⑫システムデータの高度活用による効率経営及びグローバル化に対応するため、データの有効的な活用やデジタル化による業務の合理化を図ると共に、通信環境や情報セキュリティ管理を強化して、テレワーク等による業務の効率化を図る。⑬個人情報を含んだ情報資産を適切に管理するため、個人情報管理体制の構築と情報漏洩防止対策を強化する。⑭サステナビリティ経営に関する取り組みについて、ESG活動、人的資本の活用と投資、脱炭素に向けた活動の推進を実施する。
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがあります。　なお、文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 （1）連結業績の鉄鋼事業への依存について　　　当社グループの鉄鋼事業の売上高の比率は当連結会計年度で66.3％を占め、その得意先としては、商用車及び関連の自動車部品業界の割合が高く、その動向による影響は軽視できません。セグメント売上高推移 第97期第98期第99期第100期第101期鉄鋼（百万円）134,514112,689151,570184,916181,785構成比/増減率（％）65.2△2.864.2△16.264.2－67.222.066.3△1.7％（注）「収益認識に関する会計基準」（企業会計基準第29号　2020年３月31日）等を第99期の期首から適用しており、第99期以降に係る売上高については、当該会計基準等を適用した後の数値となっており、第99期の対前期増減率は記載しておりません。 （2）製品及び原材料に係る商品市況の変動による影響について　当社グループの鉄鋼事業・非鉄金属事業及び電子事業における主要製品及び使用される原材料は国内及び海外の商品市況により価格変動が発生します。基本的にはユーザー及びメーカーとの協議によりリスクヘッジするシステムで対応するとともにコスト削減等の対応も行っておりますが、価格変動による影響は軽視できません。また、これらの流通過程で発生しうる調達難、在庫過多等のリスクについてもユーザーの使用量及びメーカーの生産量等の情報を迅速に分析し、合理的に対応するよう努めております。（3）外国為替レートの変動リスクについて　当社グループの事業には外国通貨による輸出・輸入取引があり、今後も引き続き海外進出が拡大することから、これらの割合も高まっていくものと予想されます。外貨建ての取引は、為替レートの変動リスクを内包しており、円換算後の価値は当社グループの経営成績及び財政状態に影響を与える可能性があります。これらに対し、当社グループは、個々の取引ごとに為替予約をしてリスクヘッジを行い、採算を確定させるように努めております。（4）株価変動リスクについて　当社グループは、取引先を中心として株式を保有しており、これらは株価の変動リスクを有しております。これらのリスクに対しては、随時取引上のメリット、配当利回り等を考慮し、株式を整理するなどのリスク軽減施策を講じておりますが、当社グループの経営成績及び財政状態に影響を与える可能性があります。（5）金利変動リスクについて　当社グループは、金利スワップを用いるなど借入金に係る金利の変動によるリスクの軽減に努めておりますが、急激な金利の変動は当社グループの経営成績及び財政状態に影響を与える可能性があります。（6）信用リスクについて　当社グループの取引には、国内及び海外の取引先に対する売上債権等についての信用リスクが存在しております。「信用限度管理規定」に基づき、また、多額な取引については「与信投資委員会規定」に基づき、「与信投資委員会」での検討を踏まえた上で慎重に与信管理を行っておりますが、取引先の信用状態が悪化し、当社グループに対する債務の履行に問題が生じた場合には、当社グループの経営成績及び財政状態に影響を与える可能性があります。（7）事業投資リスクについて　当社グループは、新たな事業展開及び既存事業の拡充・強化を図る為、国内及び海外で新会社の設立や既存の会社への投資等を行っております。これらの投資については、社内諸規定に基づき、また、「与信投資委員会」での検討を踏まえた上で審査を実施するなど慎重を期しておりますが、投資先企業の企業価値が低下した場合には、当社グループの経営成績及び財政状態に影響を与える可能性があります。（8）自然災害のリスクについて　当社グループは、自然災害や事故災害、感染症の流行、その他の要因による社会的混乱等が発生したことにより、当社グループや主要取引先の事業活動に支障をきたす事態が発生した場合には、当社グループの経営成績及び財政状態に影響を与える可能性があります。（9）気候変動に係るリスクについて　当社グループの事業環境では、世界的な気候変動の要因とされる温室効果ガスの削減への取り組みが進められている中、気候変動の影響により炭素税の導入やその他環境関連法規制の強化が進んだ場合には、更に多くの費用が必要となり、当社グループの経営成績及び財政状態に影響を与える可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（1）経営成績等の状況の概要　当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 ①財政状態及び経営成績等の状況　当連結会計年度における我が国経済は、アフターコロナにおける経済回復がみられる中、引き続き原材料の高騰や金融資本市場の変動など、依然として不透明な状況が続いておりますが、製造業の生産活動の回復が進んだことや、国内の雇用情勢及び所得環境が改善したことによる個人消費の増加などから、底堅く推移しました。　このような状況下におきまして、当社グループは、第三次中期経営計画で掲げた経営目標の進捗状況を管理しながら各重点課題に取り組んでおり、通期の連結業績は、売上高は2,739億7千5百万円（前年同期比0.4％減）、営業利益は64億7千9百万円（前年同期比5.6％増）、経常利益は72億9千3百万円（前年同期比8.5％増）、親会社株主に帰属する当期純利益は、政策保有株式の売却等による特別利益の計上により、64億7千8百万円（前年同期比4.6％増）となりました。 セグメントごとの経営成績は次のとおりであります。鉄鋼事業においては、主要取引業界である商用車業界や建産機業界向けの販売が低調であったこと等により、売上高は1,817億8千5百万円（前年同期比1.7％減）、営業利益は39億4千7百万円（前年同期比5.3％減）となりました。非鉄金属事業においては、地金相場の変動による価格影響等により、売上高は392億8千1百万円（前年同期比4.5％減）となりましたが、前期の商用車メーカーによるエンジン認証問題に伴う出荷停止が続いていた状況から、一部車種の生産が再開したこと等により、営業利益は5億8千8百万円（前年同期比21.7％増）となりました。電子事業においては、主力のプリント配線基板用積層板の販売に加えて、液晶、半導体向け部材の輸出及び部品の販売が堅調に推移したこと等により、売上高は358億4千1百万円（前年同期比21.5％増）、営業利益は16億3千3百万円（前年同期比37.2％増）となりました。ライフ営業事業においては、前期に引き続き自社商品販売を推進しましたが、輸入品等の仕入コストが増加したこと等により、売上高は81億4千1百万円（前年同期比5.4％減）、営業利益は2億4千1百万円（前年同期比19.9％減）となりました。機械・工具事業においては、国内の拠点網を活用しながら、取引先への販売活動を積極的に推進しましたが、売上高は43億9千6百万円（前年同期比29.6％減）、営業損失は6千3百万円（前年同期は営業損失6千4百万円）となりました。営業開発事業においては、前期に大型物件があった影響で売上高は45億3千万円（前年同期比1.6％減）となりましたが、原価低減に努めながら主力の商材及び工事案件を適宜受注したこと等により、営業利益は1億3千1百万円（前年同期比130.1％増）となりました。 ②キャッシュ・フローの状況当連結会計年度における現金及び現金同等物の期末残高は前連結会計年度に比べ、1億7千万円減少し、31億1千5百万円となりました。営業活動によるキャッシュ・フローにつきましては、税金等調整前当期純利益が88億5千1百万円、売上債権の増加額15億1千3百万円、棚卸資産の減少額17億5千6百万円、仕入債務の増加額25億2千3百万円、減価償却費10億5千1百万円、法人税等の支払額25億4千4百万円等により、82億2千9百万円の収入となりました。投資活動によるキャッシュ・フローにつきましては、有形固定資産の取得による支出48億6千4百万円、投資有価証券の売却による収入18億7千7百万円等により、27億2千7百万円の支出となりました。財務活動によるキャッシュ・フローにつきましては、短期借入金の純減額26億1百万円、長期借入れによる収入30億円、長期借入金の返済による支出45億6千万円、配当金の支払額14億7千5百万円等により、57億8千8百万円の支出となりました。 ③生産、受注及び販売の実績a.生産実績　当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称生産高（百万円）前年同期比（％）鉄鋼事業5,9590.5ライフ営業事業5476.3合計6,5061.0　（注）当社の連結子会社（エヌケーテック㈱、日本洋食器㈱、大東鋼業㈱、冨士自動車興業㈱）の生産実績であります。 b.受注実績　受注実績と販売実績との差異は僅少なため、受注実績の記載は省略しております。 c.販売実績　当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高（百万円）前年同期比（％）鉄鋼事業181,785△1.7％非鉄金属事業39,281△4.5％電子事業35,84121.5％ライフ営業事業8,141△5.4％機械・工具事業4,396△29.6％営業開発事業4,530△1.6％合計273,975△0.4％　（注）セグメント間の取引については相殺消去しております。 （2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成されております。この連結財務諸表の作成にあたって、当連結会計年度末における資産、負債の報告金額及び収益、費用の報告金額に影響を与える見積り、判断及び仮定を使用することが必要になります。当社グループの経営陣は連結財務諸表作成の基礎となる見積り、判断及び仮定を過去の経験や状況に応じ合理的と判断される入手可能な情報により継続的に検証し、意思決定を行っております。しかしながら、これらの見積り、判断及び仮定は不確実性を伴うため、実際の結果と異なる場合があります。特に、売上債権の評価については重要な会計上の見積りが必要となります。　なお、連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５ 経理の状況 １ 連結財務諸表等 注記事項(重要な会計上の見積り)」に記載されているとおりであります。 ②当連結会計年度の経営成績の状況に関する認識及び分析・検討内容　当社グループの当連結会計年度の経営成績等は、以下のとおりであります。 　当連結会計年度は、2023年度～2025年度の第三次中期経営計画の初年度であり、「３つのSINKA 『進化』Evolution 『深化』Deepening 『新化』New challenge 」を掲げ、多様化する環境に対応しながら、持続的な成長の実現に向けて、安定した収益基盤を強化するという方針で、各重点課題に取り組んでまいりました。アフターコロナにおける経済回復がみられる中、引き続き原材料の高騰や金融資本市場の変動など、依然として不透明な状況が続いておりますが、製造業の生産活動の回復が進んだことや、国内の雇用情勢及び所得環境が改善したことによる個人消費の増加などから、連結業績は、売上高は2,739億7千5百万円、営業利益は64億7千9百万円、経常利益は72億9千3百万円、親会社株主に帰属する当期純利益は64億7千8百万円となりました。　なお、セグメント別の分析等の詳細につきましては、「(1)経営成績等の状況の概要」に記載しております。 経営成績の分析(売上高)　当連結会計年度における売上高は2,739億7千5百万円(前年同期比0.4％減)となりました。これは主要取引業界である商用車業界や国内の建産機業界向けの販売が低調であったこと等によるものであります。(営業利益)　当連結会計年度における販売費及び一般管理費は、前連結会計年度に比べ7億5千2百万円減少し、143億7千万円(前年同期比5.0％減)となりましたが、売上高対販売費及び一般管理費比率は、前期5.5％、当期5.2％と横ばいとなりました。以上の結果、当連結会計年度の営業利益は、前連結会計年度に比べ3億4千3百万円増加し、64億7千9百万円となりました。(経常利益)　当連結会計年度における営業外収益は、前連結会計年度に比べ2億2千1百万円増加し、11億8千7百万円(前年同期は9億6千5百万円)となりました。営業外費用は、前連結会計年度に比べ8百万円減少し、3億7千3百万円(前年同期は3億8千2百万円)となりました。以上の結果、経常利益は、前連結会計年度に比べ5億7千4百万円増加し、72億9千3百万円(前年同期比8.5％増)となりました。(親会社株主に帰属する当期純利益)　当連結会計年度における特別利益は、前連結会計年度に比べ5億9千4百万円減少し、16億3千1百万円(前年同期は22億2千5百万円)となりました。特別損失は、前連結会計年度に比べ8千4百万円減少し、7千2百万円(前年同期は1億5千7百万円)となりました。以上の結果、親会社株主に帰属する当期純利益は、前連結会計年度に比べ2億8千3百万円増加し、64億7千8百万円(前年同期比4.6％増)となりました。 財政状態の分析(流動資産)　当連結会計年度末における流動資産の残高につきましては、前連結会計年度末に比べ1億5千2百万円増加し、1,282億6千7百万円となりました。その要因の主なものは、電子記録債権が59億4千9百万円増加したこと等によるものであります。(固定資産)　当連結会計年度末における固定資産の残高につきましては、前連結会計年度末に比べ89億7千4百万円増加し、446億2百万円となりました。その要因の主なものは、土地が28億5千2百万円増加したこと、投資有価証券が47億7千5百万円増加したこと等によるものであります。(流動負債)　当連結会計年度末における流動負債の残高につきましては、前連結会計年度末に比べ2億1百万円増加し、921億2千8百万円となりました。その要因の主なものは、買掛金が19億4千3百万円増加したこと等によるものであります。(固定負債)　当連結会計年度末における固定負債の残高につきましては、前連結会計年度末に比べ1億7千4百万円減少し、155億3千8百万円となりました。その要因の主なものは、長期借入金が18億8千9百万円減少したこと等によるものであります。(純資産)　当連結会計年度末における純資産の残高につきましては、前連結会計年度末に比べ91億円増加し、652億2百万円となりました。その要因の主なものは、株主資本において、利益剰余金が50億3百万円増加したこと、その他の包括利益累計額において、その他有価証券評価差額金が36億7百万円増加したこと等によるものであります。 （3）資本の財源及び資金の流動性　「第２ 事業の状況 ４ 経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析（1）経営成績等の状況の概要　②キャッシュ・フローの状況」及び「第３ 設備の状況 １ 設備投資等の概要」をご参照下さい。 
経営上の重要な契約等	５【経営上の重要な契約等】特記事項はありません。 
研究開発活動	６【研究開発活動】特記事項はありません。 
設備投資等の概要	１【設備投資等の概要】　当社グループ（当社及び連結子会社）では、中期的な取組みとして、国内販売網の強化・充実、海外拠点の拡大、IT関連投資による合理化を掲げ、当連結会計年度は4,972百万円の設備投資を実施しました。　主な内訳は、鉄鋼事業の事業用土地の取得等であります。　所要資金については、自己資金及び借入金で充当しております。 
主要な設備の状況	２【主要な設備の状況】　当社グループ（当社及び連結子会社）における主要な設備は、以下のとおりであります。(1）提出会社2024年3月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計本社(東京都千代田区)（注）3鉄鋼事業非鉄金属事業電子事業ライフ営業事業機械・工具事業営業開発事業事務所工具、器具及び備品7－－7987210(5)北海道地区苫小牧支店（北海道苫小牧市）他1店舗（注）3鉄鋼事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫52042(4,974.95)29711(1)東北地区秋田支店（秋田県秋田市）他6店舗鉄鋼事業非鉄金属事業機械・工具事業営業開発事業事務所倉庫機械及び装置7021091,061(67,143.80)91,88276(3)関東地区神奈川支店（神奈川県藤沢市）他6店舗（注）3鉄鋼事業非鉄金属事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫機械及び装置1,2595745,070（57,587.42)1097,014102(11)中部地区名古屋支店（名古屋市中村区）他9店舗（注）3鉄鋼事業非鉄金属事業電子事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫機械及び装置8281151,148(50,645.44)〈3,007.58〉112,10383(27)近畿地区大阪支店（大阪市北区）他3店舗（注）3鉄鋼事業非鉄金属事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫機械及び装置30583629(24,692.03)81,02794(1)中国四国地区広島支店（広島県安芸郡坂町）他5店舗（注）3鉄鋼事業非鉄金属事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫機械及び装置28964991(17,318.58)61,35152(6)九州地区九州支店（福岡市博多区）他3店舗（注）3鉄鋼事業非鉄金属事業ライフ営業事業機械・工具事業営業開発事業事務所倉庫機械及び装置6336491(9,356.91)459627(4)－全社共通社宅及び賃貸設備（駐車場・マンション）1,91362,381(53,286.75)04,301－　（注）　1．帳簿価額には、建設仮勘定の金額を含んでおりません。　2．上記の中のは、連結会社以外からの賃借の土地であります。　3．建物を賃借しており、年間賃借料は538百万円であります。　4．現在休止中の主要な設備はありません。　5．従業員数は就業人員であります。なお、(外書)は期末の臨時雇用者数であります。(2）国内子会社2024年3月31日現在 会社名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計エヌケーテック㈱(さいたま市北区)鉄鋼事業非鉄金属事業事務所生産設備8024203(3,870.66)030837日本洋食器㈱(新潟県燕市)ライフ営業事業事務所生産設備200126(17,638.44)315028メタルアクト㈱(名古屋市中区)鉄鋼事業事務所60－〈1,172.69〉3921佐藤ケミグラス㈱(大阪府堺市)非鉄金属事業事務所生産設備513－203838大東鋼業㈱(神奈川県藤沢市)鉄鋼事業生産設備04－242925冨士自動車興業㈱(相模原市南区)鉄鋼事業非鉄金属事業事務所生産設備183346555(9,366.43)81,093113　（注）　1．帳簿価額には、建設仮勘定の金額を含んでおりません。　2．現在休止中の主要な設備はありません。　3．従業員数は就業人員であります。　4．上記の中のは連結会社以外からの賃借の土地であります。 (3）在外子会社2024年3月31日現在 会社名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計香港佐藤商事有限公司(Hong Kong)電子事業工具、器具及び備品3－－038SATO-SHOJI(THAILAND)CO.,LTD.(Thailand)鉄鋼事業非鉄金属事業電子事業事務所物流設備3310146(20,460.00)1549460上海佐商貿易有限公司(Shanghai)鉄鋼事業非鉄金属事業工具、器具及び備品211－01318SATO-SHOJI(VIETNAM)CO.,LTD.(Vietnam)鉄鋼事業非鉄金属事業工具、器具及び備品－－－－－14SATO SHOJI ASIA PACIFICPTE.LTD.(Singapore)電子事業工具、器具及び備品－－－227広州佐商貿易有限公司(Guangzhou)鉄鋼事業電子事業工具、器具及び備品2－－147　（注）　1．帳簿価額には、建設仮勘定の金額を含んでおりません。　2．現在休止中の主要な設備はありません。　3．従業員数は就業人員であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式87,000,000計87,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年3月31日）提出日現在発行数（株）（2024年6月19日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容 　普通株式21,799,05021,799,050東京証券取引所プライム市場単元株式数100株計21,799,05021,799,050－－  
