項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社、子会社９社（非連結子会社３社含む）、その他の関係会社２社により構成されており、自動車関連および情報システム関連を主な事業として取り組んでおります。 当社は、有価証券の取引等の規制に関する内閣府令第49条第２項に規定する特定上場会社等に該当しており、これにより、インサイダー取引規制の重要事実の軽微基準については連結ベースの数値に基づいて判断することとなります。 当社グループの各事業の位置付けおよびセグメントとの関連は、次のとおりであります。これらの事業はセグメントと同一の区分によっており、連結子会社のみ示しております。 (1) 自動車関連事業①　新車・中古車および部用品の販売日産東京販売㈱は、主に日産自動車㈱および同社グループ会社より自動車・部用品を仕入れて販売しております。②　自動車整備日産東京販売㈱、エヌティオートサービス㈱、㈱車検館の計３社は、自動車の車体整備および車検整備等を行っております。 (2) 情報システム関連事業情報システム関連機器の販売およびマネージドサービス東京日産コンピュータシステム㈱は、コンピュータのハードウェア・ソフトウェアの販売およびデータセンター等のマネージドサービス事業を行っており、その一部は関係会社に係るものであります。 (3) その他不動産事業当社は、不動産の賃貸を行っており、その一部は関係会社に貸与しております。　 事業の系統図は、次のとおりであります。　(注)  ◎：連結子会社　　○：非連結子会社 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 自動車業界は現在、自動車業界は現在、カーボンニュートラル実現に向けた世界的な動きが急速に広がる中、電気自動車（ＥＶ）を中心とした電動車の販売が急速に拡大しています。これは、他社に先駆けた12年以上におよぶＥＶ販売経験によって蓄積したノウハウがあることや、軽からＳＵＶまでのＥＶに加え、ｅ－ＰＯＷＥＲ車も含めた豊富な電動車のラインナップを持つ当社グループにとりまして、大きなビジネスチャンスにつながるものと考えております。一方、世界的な半導体などの部品の供給不足を主たる要因とした車両供給不足の問題は、いまだ不透明な状況が続いており、当社ビジネスに少なからず影響を及ぼしています。 そのような中、当社グループにおきましては、新車販売・中古車販売・整備事業・保険事業等、カーライフのワンストップサービスを主とする自動車関連事業を中心に、当社のお客さまを基盤とする安定したストックビジネスを土台に、当社の強みであるベストプラクティス（好事例）の推進によりグループ間のシナジーを深化させながら、収益の拡大を図ってまいりました。 既存ビジネスのさらなる強化と持続的な成長を目指した2023年３月までの前・中期経営計画期間においては、新型コロナウイルスの感染拡大等、想定外の影響により、計画通りに施策を実行することは困難な状況が続きました。そのような環境下でも、お客さまのニーズに応じたカーライフ商品や個人リースの拡販、販売会社３社統合による収益力向上などの施策が着実に成果を上げ、計画最終年度となる2022年度の営業利益および配当性向は当初目標を達成することができました。 市場環境やお客さま・社会のニーズが変化する中、今後、当社グループが持続的成長を果たしていくため、2022年11月に新たな企業理念を策定しました。 [企業理念]　モビリティの進化を加速させ、新しい時代を切りひらく　笑顔あふれる未来のために、わたしたちは走り続ける 当社グループの社員一人ひとりがこの企業理念を鑑に自らが考え行動する企業文化を築くため、ワークショップなどによって理解浸透を図っています。さらにこの企業理念を踏まえ、持続的成長のために長期視点で対処すべき４つのマテリアリティ（重要課題）を特定しました。 [４つのマテリアリティ]・気候変動への対応・安心・安全な社会の実現・人権の尊重と人的資本の充実・地域社会への貢献 2023年４月にスタートした新・中期経営計画では、世界規模で進行するＣＡＳＥの潮流を捉え、「電動化リーダー」「安全・運転支援技術」「モビリティ事業」の３つを重点戦略とし、将来を見据えた成長戦略を確実に推進してまいります。 当社グループは、2021年12月に公表した「プライム市場上場維持基準の適合に向けた計画書」に則り、サステナブル経営、より強固なガバナンス、株主還元の強化の視点に基づき、企業価値のさらなる向上を目指してまいります。 2023年４月からの新４ヵ年中期経営計画（2022年11月11日発表）の詳細は弊社ホームページをご覧ください。（https://www.nissan-tokyo-hd.co.jp/ir/news.html） 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがあります。なお、これらのリスク発生の可能性を認識した上で、「グループ危機管理規程」や「事業継続計画（ＢＣＰ）」を元に、発生に備えての対策を講じてまいります。文中における将来に関する事項は、有価証券報告書提出日現在において当社グループが判断したものであります。 (1) 景気及び需要動向について①　景気動向について当社グループでは、自動車関連事業が主な収益源であり、日本国内、特に東京都内における自動車の販売が中心となっており、日本の景気動向は、法人・個人の需要に大きな影響があるため、当社グループの業績に影響を及ぼす可能性があります。②　需要動向について現時点では安定的に推移しているものの、少子高齢化に伴う自動車運転免許取得人口の減少や東京都内において顕著な若年層の車離れなどを要因として、将来的に需要が減少した場合は、当社グループの業績に影響を及ぼす可能性があります。 (2) 法的規制等について①　当社グループの自動車整備事業における車検及び法定点検は道路運送車両法に準拠しております。そのため、車検の有効期間の延長や点検項目の減少等の法改正が行われた場合は、自動車整備事業の収益に影響を及ぼす可能性があります。②　規制緩和に伴い自動車整備事業や中古車販売事業に対する異業種からの参入があった場合は、競争の激化による売上・収益単価の減少を招き、当社グループの業績に影響を及ぼす可能性があります。③　将来、消費税や重量税等自動車関連諸税がさらに引き上げられた場合は、自動車販売事業の需要や車種構成に影響を及ぼす可能性があります。 (3) 特定の取引先等について当社グループの新車販売事業は、当社グループ自動車販売会社各社と特定取引先（日産自動車㈱等）との間で締結している特約販売契約により営んでおり、新型車の発表、発売、モデルチェンジなどの投入サイクルは特定取引先の主導となっております。また、商品である自動車は、「特定取引先」及び「特定取引先への商品の供給元」により生産・供給されております。従って、当社グループの業績は、「特定取引先」及び「特定取引先への商品・部品等の供給元」の経営戦略、災害又は不正行為等によって発生する生産・供給状況の変動や、販売停止等による影響を受ける可能性があります。また、災害や「特定取引先」又は「特定取引先への商品・部品等の供給元」による不正行為、重大な過失等によって新車商品である自動車の一部が販売停止等になった場合には、中古車販売事業や自動車整備事業にもその影響が及ぶ可能性があります。 (4) 自然災害等の発生に伴う事業中断について地震、洪水等の大規模な自然災害発生や新型感染症のパンデミック発生等によって、店舗設備及びサービス設備の損壊又は人的被害により事業中断が発生した場合は、当社グループの業績に影響を及ぼす可能性があります。なお、新型コロナウイルス感染拡大の状況下におきまして、当社グループではお客さまと従業員の安全確保を最優先に考え、衛生管理を徹底した店舗運営を継続してまいりました。行動制限が緩和された状況下におきましても、引き続き必要な衛生管理を行ってまいります。  (5) 個人情報及び経営情報等について当社グループでは、多数のお客さまの情報を取り扱っているほか、さまざまな経営情報等の内部情報を保有しております。これらの情報について万一重大な漏えいが発生した場合は、当社グループの業績に影響を及ぼす可能性があります。 (6) 風評について当社グループ、日産グループ又は自動車販売業界に対する風評が、マスコミ報道やインターネット掲示板への書き込み等によって流布した場合は、その内容が正確であるか否かにかかわらず、企業イメージが下落し、当社グループの業績に影響を及ぼす可能性があります。 (7) 資金調達について①　資金調達の金利は市場環境の変化等の要因で変動するため、将来の金利変動によっては当社グループの資金調達コストが増加し、当社グループの業績に影響を及ぼす可能性があります。②　当社グループの業績、財政状況及び事業環境等の悪化や信用の低下によって、金融機関からの資金調達が困難になったり資金調達条件が悪化した場合は、当社グループの業績に影響を及ぼす可能性があります。 (8) その他上記のほか、システム障害、事務ミス、不正行為、法令違反、外部からの犯罪行為、訴訟に伴う賠償金の支払い等が発生したことにより、①直接・間接のコストが発生する、②業務の運営に支障が生じる、③当局等から処分・措置を受ける等の事象が発生した場合は、その状況によっては、当社グループの業績に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識および分析・検討内容は次のとおりであります。(1) 経営成績当連結会計年度における全国の新車販売台数は、引き続き半導体不足等により車両供給が不足する状況でありましたが、前年比では4.0％増、当社グループのマーケットである東京都内では同0.2％増となりました。このような状況の中、当社グループでは電動車（ｅ－ＰＯＷＥＲ車・ＥＶ）を中心に受注の確保に継続して取り組んだ結果、新車販売台数は前年比4.1％増となっております。当連結会計年度の経営成績は、連結子会社１社の除外の影響があり、売上高が137,659百万円（前年同期比718百万円減、0.5％減）となりましたが、利益につきましては、新型車投入とお客さまのニーズに合わせた提案型営業のさらなる徹底、中古車販売での収益力の向上等に加え、2021年度に実施した日産販売会社３社の統合を通じて、販売費・一般管理費の適正化に引き続き取り組んだ結果、営業利益が6,399百万円（前年同期比1,992百万円増、45.2％増）、経常利益が6,090百万円（前年同期比1,902百万円増、45.4％増）、親会社株主に帰属する当期純利益が3,261百万円（前年同期比1,161百万円増、55.3％増）となりました。  セグメントごとの経営成績は次のとおりであります。①　自動車関連事業当連結会計年度はＥＶのサクラがカーオブザイヤー三冠を受賞いたしました。また、ノート・ノートオーラは暦年に続いて年度でも電動車販売台数Ｎｏ.１となるなど、引き続きお客さまから高い評価をいただいております。当社グループではこのような商品力を背景に、また、ＥＶ販売台数累計１万台超の「電動化リーダー」として電動車を中心に受注台数と収益の拡大に取組んでまいりました。この結果、連結子会社１社の除外があり、売上高は129,673百万円（前年同期比1,859百万円減、1.4％減）となりましたが、セグメント利益（営業利益）は6,667百万円（前年同期比1,919百万円増、40.4％増）となりました。②　情報システム関連事業ＩＴ投資が活況を呈する中、マネージドサービス事業が堅調に推移するとともにソフトウェアの売上が伸長した結果、売上高は7,605百万円（前年同期比1,119百万円増、17.3％増）、セグメント利益（営業利益）は612百万円（前年同期比188百万円増、44.6％増）となりました。③　その他その他の事業である不動産事業につきましては、賃貸契約の増加および賃料改定などにより、売上高は380百万円（前年同期比21百万円増、6.0％増）、セグメント利益（営業利益）は153百万円（前年同期比9百万円増、6.3％増）となりました。 販売及び仕入の実績は次のとおりであります。①　販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売台数(台)金額(百万円)前年同期比(％)自動車関連事業   　新　車25,59771,099108.6　中古車24,82920,92275.0　その他－37,65198.7計－129,67398.6情報システム関連事業－7,605117.3報告セグメント計－137,27999.5その他－380106.0合計－137,65999.5 (注) セグメント間取引については、相殺消去しております。 ②　仕入実績当連結会計年度における仕入実績は、次のとおりであります。なお、仕入実績については、事業の性質上「自動車関連事業」の新車および中古車について示しております。セグメントの名称金額(百万円)前年同期比(％)自動車関連事業  　新　車58,382118.4　中古車14,94172.6合計73,324105.0 (注) セグメント間取引については、相殺消去しております。  (2) 財政状態①　資産当連結会計年度末における総資産は87,201百万円となり、前連結会計年度末に比べ7,557百万円減少しております。主な内容は、受取手形及び売掛金が1,378百万円、商品が1,672百万円、その他流動資産が825百万円、有形固定資産が161百万円、投資有価証券が127百万円増加し、現金及び預金が4,188百万円、退職給付に係る資産が7,553百万円減少しております。②　負債当連結会計年度末における負債は36,191百万円となり、前連結会計年度末に比べ10,255百万円減少しております。主な内容は、買掛金が687百万円、未払法人税等が969百万円増加し、１年内返済予定の長期借入金が400百万円、契約負債が800百万円、その他流動負債が485百万円、長期借入金が1,800百万円、長短リース債務が356百万円、退職給付に係る負債が8,255百万円減少しております。③　純資産当連結会計年度末における純資産は51,010百万円となり、前連結会計年度末に比べ2,697百万円増加しております。主な内容は、配当金の支払による減少がありましたが、親会社株主に帰属する当期純利益を計上したことにより利益剰余金が2,396百万円、その他有価証券評価差額金の増加などによりその他の包括利益累計額が132百万円、非支配株主持分が142百万円増加しております。 (3) キャッシュ・フロー当連結会計年度における現金及び現金同等物（以下「資金」という。）の期末残高は18,116百万円（前年同期比4,188百万円減、18.8％減）となりました。①　営業活動によるキャッシュ・フロー営業活動による資金の増加は3,095百万円（前年同期比8,364百万円の収入減）であります。主な資金の増加は、税金等調整前当期純利益が5,513百万円、減価償却費が2,549百万円、仕入債務の増加が537百万円であり、主な資金の減少は、退職給付に係る資産負債の減少が632百万円、売上債権の増加が1,384百万円、棚卸資産の増加が665百万円、契約負債の減少が800百万円、未払消費税等の減少が642百万円、法人税等の支払額が1,625百万円であります。②　投資活動によるキャッシュ・フロー投資活動による資金の減少は3,816百万円（前年同期比1,067百万円の支出増）であります。主な資金の減少は、有形固定資産の取得による支出が3,822百万円であります。③　財務活動によるキャッシュ・フロー財務活動による資金の減少は3,468百万円（前年同期比16百万円の支出減）であります。主な資金の減少は、1年内を含む長期借入金の返済による支出が2,200百万円、リース債務の返済による支出が319百万円、配当金の支払による支出が861百万円、その他財務活動による支出が43百万円であります。 当社グループの資本の財源につきましては、当連結会計年度の営業活動によるキャッシュ・フローにおいて3,095百万円の資金の増加があり、十分な投資余力を有しております。資金の流動性につきましては、経常運転資金にも十分対応できる程度の資金を有しております。また、資金の流動性に一部支障をきたす事象が発生した場合にも、金融機関との間で締結している当座貸越契約およびコミットメントライン契約を利用することで一定の流動性を維持できると判断しております。 (4) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表の作成にあたって採用している重要な会計方針については、「第５ 経理の状況　１ 連結財務諸表等 (1) 連結財務諸表 注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載のとおりであります。 
経営上の重要な契約等	５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】特記すべき事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、自動車関連事業を中心に設備投資を実施しております。なお、有形固定資産の他、無形固定資産への投資を含めて記載しております。当連結会計年度の設備投資総額は1,955百万円であり、セグメントごとの設備投資について示すと、次のとおりであります。(1) 自動車関連事業新車販売店舗の設備改修を中心に1,830百万円の設備投資を実施しております。なお、重要な設備の除却又は売却はありません。(2) 情報システム関連事業マネージドサービス案件に伴うサーバー・ストレージ等の機器に109百万円の設備投資を実施しております。なお、重要な設備の除却又は売却はありません。(3) その他不動産賃貸事業用設備の改修等に12百万円の設備投資を実施しております。なお、重要な設備の除却又は売却はありません。(4) 全社共通提出会社の会議室の改修等に2百万円の設備投資を実施しております。なお、重要な設備の除却又は売却はありません。 
主要な設備の状況	２ 【主要な設備の状況】当社グループにおける主要な設備は、次のとおりであります。(1) 提出会社2023年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(単位:百万円)従業員数(人)建物及び構 築 物機械装置及び運搬具土地(面積㎡)その他合計西五反田ビル(東京都品川区)－本社機能92011(212)611039西五反田ビル(東京都品川区)他その他不動産賃貸ビル等61701,324(2,630)311,9732 (注)　平均臨時雇用者数については、臨時従業員の総数が従業員数の100分の10未満であるため記載を省略しております。  (2) 国内子会社2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内　容帳簿価額(百万円)従業員数(人)建物及び構 築 物機械装置及び運搬具土地(面積㎡)リース資　産その他合計日産東京販売㈱目黒店(東京都品川区)他自 動 車関連事業自動車の販売及び修理5,8753,08616,964(50,816)[216,871]3,85275830,5372,284エヌティオートサービス㈱朝霞事業所(埼玉県朝霞市)他自 動 車関連事業自動車検査工場及び保管場所9302563,659(36,921)[33,659]274635,185296 (注) １．帳簿価額には、建設仮勘定を含んでおります。２．日産東京販売㈱の設備のうち、「建物及び構築物」4,864百万円、「機械装置及び運搬具」8百万円、「土地」16,964百万円(面積50,816㎡)、「リース資産」3,250百万円及び「その他」515百万円については提出会社から賃借しているものであります。３．エヌティオートサービス㈱の設備のうち、「建物及び構築物」874百万円、「機械装置及び運搬具」26百万円、「土地」3,659百万円(面積36,921㎡)、「リース資産」274百万円及び「その他」58百万円については提出会社から賃借しているものであります。４．［　］の数字は、賃借している事業用地の面積を外数で示しております。５．平均臨時雇用者数については、臨時従業員の総数が従業員数の100分の10未満であるため記載を省略しております。 
株式の総数	①【株式の総数】種類発行可能株式総数(株)普通株式136,400,000計136,400,000  
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月20日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式66,635,06366,635,063東京証券取引所プライム市場単元株式数100株計66,635,06366,635,063－－  
