項目	値
事業の内容	 ３ 【事業の内容】当社の事業は、不動産フランチャイズ事業の単一セグメントにより構成されております。当社は、不動産仲介業のフランチャイズ システム(センチュリー21)を日本において展開しているフランチャイザーであります。事業内容は、米国デラウェア州法人センチュリー21・リアルエステートＬＬＣ(国際本部)が開発した「センチュリー21マーク等」及び「センチュリー21システム」をフランチャイジー(加盟店)に提供することであり、その対価として、加盟金、更新料、サービスフィーを受け取っております。具体的には、フランチャイザーとして、店舗ネットワークの拡充(下記①)と業務支援サービス(下記②～⑥)を行っております。①フランチャイズ加盟店の募集②フランチャイズ加盟店の経営者、管理者並びに営業スタッフに対する教育・研修③各種情報システムの提供④マスメディア並びにウェブによる共同広告の実施⑤加盟店及び加盟店の顧客に対する金融・保険サービスの斡旋⑥加盟店をバックアップするための各種サービス業務の実施(１)　事業の系統図  　※　2024年３月期末店舗数　994店   (２)　センチュリー21フランチャイズ広告基金組合は当社と全加盟店の共同拠出により設立された広告基金を管理・運営する団体であります。同基金に対する拠出金は当社が加盟店から受領するサービスフィー収入の10％相当額(当該拠出金は当社の損益計算書上、発生主義に基づき営業原価に計上しております。)及び加盟店からの月額10万円(加盟時に一時金30万円、４か月目から毎月10万円)であり、2024年３月期の総額は現金ベースで1,368百万円(当社366百万円、加盟店1,001百万円)となっております。同基金組合は“センチュリー21”の一般的知名度向上を目的に全加盟店の共同の利益のためにのみ実施される広告・広報活動等に使用され、原則繰越金(余剰金)が発生しないよう当年度中に費消する方針で運営されております。なお、当社は善管注意義務のある管理者として、拠出金を徴収し、広告・広報活動等だけに同基金を使用する義務を負っており、その使用明細を示した現金収支計算書を国際本部及び全加盟店向けに毎期報告しております。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、有価証券報告書提出日（2024年６月25日）現在において、当社が判断したものであります。 (1) 会社の経営の基本方針当社の企業価値の根幹は「センチュリー21」というブランドです。加盟店各社はこのブランドを冠に、お客様から高い評価を頂けるようブランド価値の向上に努めることが我々に課された最大のミッションと認識しております。「住まいを想う仕事、人生を輝かせる使命」をブランドビジョンとして掲げ、常に厳しい行動基準と高い倫理感をもって運営し、店舗数においても、サービス品質においても常に業界のリーダーであるという自負と自覚を持ち、企業価値向上と社会への貢献を目指すものです。不動産流通業界においては、所謂不動産テックの進展による技術革新や不動産情報のオープン化、取引のグローバル化が一層進むことが予想され、ＡＩ、ＩｏＴ等の新しいテクノロジーへの対応や、より専門的なコンサルティング能力が求められております。当社はその変化に「しなやかに、そして力強く」対応しつつ、ＩＴシステム支援や研修・コンサルティングサービスの提供、表彰制度の運営等を軸に加盟店に対し質の高いサービスを提供し「センチュリー21」のブランド価値を一層高め、企業の永続的な成長を目指します。 (2) 目標とする経営指標フランチャイズビジネスは、規模の拡大と効率経営が重要であるとの認識に立ち、加盟店舗数、営業収益経常利益率、自己資本利益率を重要な経営指標ととらえ、その向上を目指します。 (3) 中長期的な会社の経営戦略当社の事業戦略の基本は「センチュリー21ネットワーク規模の拡大（加盟店募集業務）」と「加盟店業績向上の為の業務支援サービス」です。これらを両輪として事業拡大に努め、市場の変化へ柔軟かつ機敏に対応し、かつ、地球環境並びに社会との共生を前提に持続可能な成長を目指します。 (4) 経営環境及び会社の対処すべき課題当社のおかれた不動産流通業界は我が国の少子高齢化、グローバル化など社会構造の変化が不可避である中、不動産サービスにおいても新しい生活スタイルや価値観への対応が問われてくるものと考えます。一方で昨今のＩＴ化の進展・拡大の中で、取引のオンライン化を中心としたデジタル技術による業務改革がますます進展し、より効率的かつ迅速な営業が求められる時代へと変化しつつあります。同時にフランチャイズ全体としてはデジタル技術を活用し広域をカバーするビジネスへの対応を迫られると同時に、人によるアナログなサービスの高品質化と地域に根差し地域社会に貢献する持続性のあるビジネスの実現も求められております。 このような経営環境下、上記の基本方針に加え、以下の経営方針を継続いたします。1.すべてのステークホルダーの利益を前提とした事業活動を推進する。2.センチュリー21グループ全体で不動産流通市場の拡大・活性化の一躍を担い、顧客の生活基盤の維持と、住み続けられるまちづくりに貢献する。 この経営方針のもと、当社が対処すべき課題として、次のことを認識しております。①既存フランチャイズ事業の強化と市場競争力の向上ⅰ）フランチャイズ加盟店網拡大及び加盟店売上増加に資する施策の着実かつスピーディな実行ⅱ）加盟店の営業支援のための人材採用・教育支援強化ⅲ）加盟店の業務効率化に向けたＩＴ活用、ＢＰＯ等の支援拡大 ②フランチャイズネットワークを活かした成長促進ⅰ）国際的ブランド「センチュリー21」の海外ネットワーク活用による加盟店のグローバル取引の支援・活性化ⅱ）加盟店を含む不動産事業者の事業承継問題への対応による加盟店舗網の拡大ⅲ）当社フランチャイズビジネスとのシナジーが高い事業や企業に対する事業投資や業務提携の推進拡大ⅳ）サステナブルな社会の実現に向けた施策の継続・拡大 ③成長の基盤となる社内体制の確立ⅰ）コーポレートガバナンスと内部管理体制の強化継続ⅱ）人材活性化、業務能力・モチベーション向上を企図した専門分野における社員研修の充実と評価制度運用ⅲ）業務効率の向上と柔軟な働き方の実現に向けた業務のオンライン化、アウトソーシングの継続的推進ⅳ）セキュリティ強化、業務効率化、データの有効活用などを目的とした業務基幹システム運用の推進 上記諸施策を着実かつ迅速に実行することが、業界内での競争力を高め、新規加盟を促進するとともに既存店の退会を抑制し、センチュリー21フランチャイズシステムの更なる規模の拡大及び企業の持続的成長につながるものと考えております。 
事業等のリスク	 ３ 【事業等のリスク】当社の経営成績、株価および財務状況等に影響を及ぼす可能性があると認識している主要なリスクには以下のようなものがあります。なお、文中における将来に関する事項は、有価証券報告書提出日（2024年６月25日）現在において当社が判断したものであります。　(1) 業績の変動要因　当社の収益の源泉である営業収益は、加盟店から受け取る定率(加盟店売上連動)のサービスフィー収入と、新規加盟時の加盟金並びに５年毎の契約更新時の更新料を合わせた加盟金収入の他、ＩＴサービス収入等で構成されております。この中で、営業収益の大半を占めるサービスフィー収入につきましては、不動産市況、地価動向、金利水準、住宅税制、大手不動産仲介業者との競争など外部環境の影響を受ける可能性があります。　(2) フランチャイズ方式について　フランチャイズ事業は、加盟店舗数の順調な増加が事業成長の鍵となります。当社が加盟店に対して優良なサービスを維持できなくなった場合、「中小小売商業振興法」等の関連法令への違法行為を行った場合、加盟店が他社ブランドへ流出した場合、一部の加盟店において顧客に対する低水準のサービス提供もしくは違法行為等がありフランチャイズ全体のイメージダウンとなった場合、あるいは加盟店が集団で独自の事業展開を志向した場合等には、加盟店舗数の減少または伸び悩みが生じること等により、当社の業績及び財政状態に影響を及ぼす可能性があります。　(3) フランチャイズ展開新規加盟承認の基本方針として、店舗経営者の事業意欲及び適格性、財務状況、周辺地域の市場性などを十分に審査の上である一定の規律の下で行っております。また、既存加盟店との関係における立地基準（フランチャイズ契約上の店舗間距離400ｍルール）に制約されたり、近接既存加盟店との各種調整が必要な場合もあり、店舗展開が必ずしも当社の事業計画どおりに進まない可能性があります。　(4) ブランドイメージによる影響について当社及び当社加盟店はすべて「センチュリー21」を統一ブランドとして事業展開をしており、不動産広告においても、情報の共有化や広告戦略の協力等を行っております。不動産広告の内容に不備や不正等があった場合や、これに伴うネガティブな情報や風評が流れた場合には、ブランドイメージの低下を招くことにより、当社の業績や財政状態に影響を及ぼす可能性があります。　(5) 加盟店が受ける法規制不動産取引については、「宅地建物取引業法」、「国土利用計画法」、「都市計画法」、「建築基準法」などの規制があります。当社の加盟店は不動産仲介業者としてそれらの規制を受けており、「宅地建物取引業法」に基づく免許を取得して不動産の売買または賃貸の仲介、受託販売等の業務を行っております。当社では、新規加盟にあたって宅地建物取引業法の違反履歴や経営者の風評を含めた適格性を審査しているほか、当社内に「お客様相談室」を設置して、顧客クレームに直接対応するなど加盟店の法令遵守及び是正指導に十分留意しております。しかし、一部の加盟店における法令違反や顧客クレーム等がセンチュリー21グループ全体の信用やイメージを損なうような事態に発展した場合、当社の経営成績に影響を及ぼす可能性があります。　 (6) 国際本部とのフランチャイズ契約についてセンチュリー21・リアルエステートＬＬＣは、センチュリー21の名称を含む商標サービスマーク及び国際本部機能を有しております。当社はセンチュリー21・リアルエステートＬＬＣとの契約により、日本国におけるフランチャイザーとしての権利を永久保有しているとともに、経営方針や政策決定及び事業展開について独自の意思決定によって進めております。但し、当社とセンチュリー21・リアルエステートＬＬＣとの契約において、①当社が重大な契約違反（契約不履行等）があり、かつ、その後30日以内に当該契約不履行の是正を怠った場合、②センチュリー21・リアルエステートＬＬＣが当社に対して直近12ヶ月以内に是正通知をした契約不履行が再度繰り返された場合、センチュリー21・リアルエステートＬＬＣ側に契約解除権行使の原因事由が発生します。本報告書提出日現在、当該契約の継続に支障を来す事象は発生しておりませんが、万一当該契約の継続に支障を来す要因が発生した場合には、当社の事業活動に重大な影響を及ぼす可能性があります。 (7) システムについて当社において、システム開発は事業基盤の維持・拡充と関係しており、加盟店が必要とする各種の支援ツールは、取扱い物件管理及び顧客管理業務等の効率化、他のフランチャイズチェーンとの差別化等を図るうえで、重要であると考えております。当社では、今後もシステム環境の維持・向上のため、システムの自社開発又は他社への委託等を継続していく方針でありますが、システムの開発・維持運営には多額のコストが必要となる可能性があり、その結果、当社の業績および財政状態に影響を及ぼす可能性があります。更に当社は、これらのシステムのバックアップ等を含む運用管理に責任を負っており、当該システムの障害、大規模広域災害、もしくはコンピュータウィルス等によるデータベースへの影響又はＩＴサービスの中断等により、当社が損害を被り、又は加盟店に損害賠償を請求される可能性があり、その結果当社の業績及び財政状態に影響を及ぼす可能性があります。なお、当社のＷｅｂサイトは、一般消費者へ無料で公開しており、万一、一定期間システムが停止したとしても、一般消費者から損害賠償を受ける可能性は少ないと考えておりますが、そのような事態が度重なれば、当社Ｗｅｂサイト自体の信用を失うことになり、当社の業績等に影響を及ぼす可能性があります。 (8) 個人情報保護について当社事業においては、営業活動により、多くの一般消費者の個人情報を取り扱っており、個人情報取扱事業者に該当しております。このため、「個人情報保護マネジメントシステムマニュアル」等を制定するとともに、プライバシーマークを取得し、全社的に個人情報の管理の徹底を図っております。しかしながら、不測の事態によって、当社が保有する個人情報が社外へ漏洩した場合は、社会的信用の失墜、トラブル解決のための費用負担等により、当社の業績及び事業活動に影響を与える可能性があります。  (9) 人材確保について当社は、不動産流通事業者のフランチャイズ本部として、加盟店に対し、業務運営サポートや情報提供等を行っている関係から、不動産業界・不動産仲介業等に関する経験や知識が必要とされております。また、能力主義に基づく人材登用を重視するとともに、必要最小限の人数で適材適所の人員配置を行っております。しかしながら、不測の事態に伴う人員の流出や、人材採用が予定どおり進まないことにより、当社の業績及び事業活動に影響を与える可能性があります。  (10) 伊藤忠商事株式会社グループとの関係について現在、伊藤忠商事株式会社は、当社の議決権の49.2％を保有する大株主でありその他関係会社に該当しておりますが、当社の方針・政策決定及び事業展開については、独自の意思決定によって進めております。また、当社は不動産仲介フランチャイズ事業を営んでおり、同社及びグループの不動産関連の事業を営む子会社・関連会社等とは、直接的な競合関係は生じておりませんが、不動産・建設業界に関する情報の提供を随時受けております。このため、同社グループが経営方針や営業戦略等を変更した場合、当社の業績及び事業展開に何らかの影響を及ぼす可能性があります。 ①　人的関係について営業力強化並びに監査業務強化を図り、各者の専門的な知見を基に経営全般に対する提言を得ることを目的に同社グループの役職員との間で以下のように兼任状況が継続しております。 有価証券報告書提出日（2024年６月25日）現在の兼任状況 当社における役職氏　名　伊藤忠商事株式会社グループにおける役職 取締役（非常勤）矢野　孝一　建設第二部長 監査役（非常勤）野原　佳記　住生活事業・リスク管理室長  ②　取引関係について当社は、伊藤忠商事株式会社をはじめ同社グループとの間に、出向者の受入やオフィス賃借等に係る取引がありますが、いずれの取引も、第三者と同様の条件により行われております。なお、開示すべき重要な取引はありません。 （11）保有する投資有価証券の評価について当社は、保有する投資有価証券については、投資先のモニタリングを定期的に行い、リスクの軽減に努めておりますが、証券市場における市況の悪化や投資先の業績不振等により評価損が発生する可能性があります。 (12) サステナビリティについてサステナビリティに関するリスクについては、「第２　事業の状況　２　サステナビリティに関する考え方及び取組　(６)　リスク管理」に記載したとおりであります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当事業年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、有価証券報告書提出日（2024年６月25日）現在において判断したものであります。 (1) 財政状態の状況当事業年度末における流動資産の残高は5,830百万円で、前事業年度末に比べ199百万円増加しております。現金及び預金の増加が主な要因であります。当事業年度末における固定資産の残高は1,810百万円で、前事業年度末に比べ284百万円減少しております。ソフトウエアの減少が主な要因であります。当事業年度末における流動負債の残高は1,109百万円で、前事業年度末に比べ127百万円減少しております。未払消費税等の減少が主な要因であります。当事業年度末における固定負債の残高は174百万円で、前事業年度末に比べ2百万円減少しております。リフォーム保障引当金の減少が主な要因であります。当事業年度末における純資産の残高は6,356百万円で、前事業年度末に比べ44百万円増加しております。繰越利益剰余金の増加が主な要因であります。 (2) 経営成績の状況当事業年度における我が国経済は、新型コロナウイルス感染症の５類移行をきっかけに社会活動や人的移動が漸く活発化し、先行きに明るさが見え始めましたが、欧州ならびに中東での軍事紛争の長期化が国際経済同様、国内経済にも不透明感を与え、またインフレーションが進む米国との政策金利ギャップにより急速に円安が進みました。不動産流通業界におきましては、低水準を維持している住宅ローン金利、とりわけ変動型金利に下支えされ、居住用物件の購入需要は底堅いものが見られましたが、一部には価格高騰に対する購入意欲の減退も見られ、市場在庫は増加傾向に転じました。特に郊外部において価格調整局面にある新築戸建てについては、需給バランスに明らかな潮目の変化が見られました。一方において、都市部においては潤沢なマネーサプライが更なる不動産価格の高騰を招いているという一面もあり、特に収益物件を中心にインバウンドの取引が活発に行われました。国土交通省による2024年地価公示では全用途平均が３年連続で上昇しており、前年比2.3％の上昇は2008年のリーマン・ショック以降最大の上げ幅となりました。　しかしながら、日銀は当年度末にマイナス金利政策の解除を含む大規模緩和政策からの転換方針を示しており、今後の金利上昇が予想されると共に、資材価格および労務費上昇に伴う建築コストアップ、消費者物価指数の上昇等、事業環境は様々な不安材料を抱えていると言えます。このような中、当社としては既存フランチャイズ事業基盤の強化と市場競争力の向上を図るためにセミナーの開催や新商品・サービスの拡充に取り組んでまいりました。まず、加盟店向けに本部方針を伝える春の戦略会議を開催しました。会議では、「事業拡大に向けた幹部人材の育成と多店舗展化戦略について」をテーマに幹部人材育成と多店舗展開に成功されている加盟店経営者によるパネルディスカッションを開催しました。　　その他、基幹システムである21Cloud顧客管理システムでは、スマホ・タブレットでの確認作業の容易化や、SMS・LINE経由での顧客管理を徹底するための機能追加を行いました。　更に、賃貸契約時の初期費用分割決済サービスの提供を開始しました。初期費用に関する新たな選択肢「QR 分割払い」を提供することにより、賃貸契約時の初期費用を分割払いできる選択肢を得られることになり、より一層の顧客の利便向上を図りました。また、元日に発生した令和６年能登半島地震に対しては被災地の一日でも早い復興を願い、有志加盟店の協力の下、災害義援金を石川県に送りました。当社は引き続きフランチャイズの機能とブランディングの強化に取り組んでまいります。 このような状況のもとで、当社の営業収益は、サービスフィー収入が3,313百万円（前年同期比1.6％増）、ＩＴサービス収入が313百万円（同2.5％増）、加盟金収入が157百万円（同1.1％減）、その他が67百万円（同8.5％減）となり、全体としては3,850百万円（同1.4％増）となりました。また、営業原価は、951百万円（前年同期比0.5％増）となりました。販売費及び一般管理費は、貸倒引当金繰入額の増加等があるものの、機器保守料や広告宣伝費等が減少したことにより、全体としては1,963百万円（前年同期比0.6％減）となりました。その結果、営業利益は936百万円（前年同期比6.9％増）、経常利益は986百万円（同6.6％増）、当期純利益は674百万円（同3.4％増）となりました。 (生産、受注及び販売の状況)当事業年度（自 2023年４月１日　至 2024年３月31日）における加盟店数の地域別並びに営業収益の収入別・地域別内訳を示すと、以下のとおりであります。（単位：店） 首都圏関西圏中部圏九州圏北海道合計新規加盟店数2112611757退店(解約)数382542271事業年度末加盟店数445325998837994前年同期比(％)96.396.2102.1111.4115.698.6  （単位：千円） 首都圏関西圏中部圏九州圏北海道合計サービスフィー収入1,840,061995,339244,726174,43558,7013,313,264前年同期比(％)100.699.1115.3108.9108.8101.6ＩＴサービス収入313,230－－－－313,230前年同期比(％)102.5－－－－102.5加盟金収入75,22848,58917,9889,4115,807157,024前年同期比(％)102.290.2102.4107.3116.798.9その他67,298－－－－67,298前年同期比(％)91.5－－－－91.5営業収益合計2,295,8181,043,928262,714183,84764,5093,850,817前年同期比(％)100.698.7114.3108.8109.5101.4  （注）上記サービスフィー収入に対する全加盟店の同期間地区別総取扱高、総取扱件数並びに総受取手数料は、　　　以下のとおりであります。（単位：千円/件） 首都圏関西圏中部圏九州圏北海道合計総取扱高449,120,198262,268,79966,245,82742,288,95816,091,177836,014,962総取扱件数360,00347,75113,82016,3205,127443,021総受取手数料30,275,96816,315,8323,918,4832,770,500946,89454,227,679  (3) キャッシュ・フローの状況当事業年度末における現金及び現金同等物（以下「資金」という）は、前事業年度末に比べ237百万円増加（12.5%増）し、当事業年度末には2,137百万円となりました。（営業活動によるキャッシュ・フロー）当事業年度における営業活動の結果得られた資金は、867百万円（前事業年度は1,294百万円の収入）となりました。これは主として税引前当期純利益985百万円の計上によるものであります。（投資活動によるキャッシュ・フロー）当事業年度における投資活動の結果得られた資金は、30百万円（前事業年度は526百万円の使用）となりました。これは主として長期貸付金の回収によるものであります（財務活動によるキャッシュ・フロー）当事業年度における財務活動の結果使用した資金は、660百万円（前事業年度は418百万円の使用）となりました。これは主として配当金の支払いや自己株式の取得によるものであります。 当社の資本の財源及び資金の流動性について、運転資金需要のうち主なものは、販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要のうち主なものは、営業支援システムの開発費用であります。また、財務活動による資金需要のうち主なものは、配当金の支払いであります。なお、運転資金につきましてはすべて自己資金により賄っております。 (4) 重要な会計上の見積り及び当該見積りに用いた仮定当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この財務諸表の作成に当たり、経営者による会計上の見積りを行っております。これらの見積りは、当社における過去の実績や将来計画を考慮し、合理的と認められる事項に基づき判断しておりますが、将来の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。なお、財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは、「第５　経理の状況　１　財務諸表等　（1）財務諸表　注記事項　（重要な会計上の見積り）」に記載しております。  (5) 経営方針・経営戦略、経営上の目標の達成状況を判断するための客観的な指標等  第40期第41期対前期比増減 加盟店舗数1,008店     994店　     △14店 営業収益経常利益率24.4%    25.6%        1.2% 自己資本利益率10.5%    10.6%        0.1%  フランチャイズビジネスは、規模の拡大と効率経営が重要であるとの認識のもと、加盟店舗数、営業収益経常利益率、自己資本利益率を重要な経営指標ととらえており、当期の経営指標は、加盟店舗数が994店、営業収益経常利益率25.6％、自己資本利益率10.6％となりました。加盟店舗数につきましては、新規成約増加策として加盟募集HPのSEO改善によるWEB集客の強化等を実施しました。当期中の新規加盟は57店舗となりました。一方、退会は建築業が主である加盟店の業績不振による予期せぬ退会もあり71店舗となり、前期より15店舗退会が増加しております。結果14店舗の純減となりました。ＩＴサービス収入は有料の顧客追客システム利用の増加などにより、前期比2.5％の増加、また加盟金収入は前期比1.1％の減少となりましたが、収益の柱であるサービスフィー収入は前期比1.6％の増加となりました。その結果、営業収益全体は前期比1.4％増加しました。また、設備維持保守料の減少や加盟店監査の内製化など業務効率の向上に尽力した結果、販売費及び一般管理費は前期比0.6％減少しました。その結果、営業収益経常利益率25.6％と前期比1.2％の増加となりました。また、当期純利益が前期比3.4％増加の674百万円と増益となり、その他、資本効率の向上を図った自己株式の取得の影響等もあり、自己資本利益率が10.6％と前期比0.1％の増加となりました。今後につきましても、加盟店舗数の更なる拡大と加盟店へのサービスの質の更なる向上により、営業収益の拡大を図るとともに、企業の持続的成長につなげるため、上記経営指標の一層の向上を目指します。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】(1) サブフランチャイズ契約　相手方の名称国名契約内容契約期間センチュリー21・リアルエステートＬＬＣ 米国国際本部が開発したセンチュリー21の名称を含む商標サービスマーク(以下これらを総称して「センチュリー21マーク等」という。)及び不動産市場において、より効果的に競争出来るように考案された戦略、手順及び手法を含む、独立経営の不動産業店舗の販売促進並びに助力となるようなシステム(以下「センチュリー21システム」という。)の再使用許諾権。 ・テリトリーサブフランチャイザーにライセンスされる独占的地域は、日本国とする。・サービス料金サブフランチャイザーが201以上1,000以下のフランチャイジーを有している期間中、サブフランチャイザーの総収入の10％。1,000を超える期間中は9％。永久 (注)　国際本部とは センチュリー21・リアルエステートＬＬＣのことであり、日本本部あるいはサブフランチャイザーは当社のことであります。　(2) センチュリー21フランチャイズ契約　契約の当事者契約内容契約期間当社(日本本部)及び加盟店・フランチャイズの許諾　「日本本部」は「加盟店」に対し、「センチュリー21マーク等」又は「センチュリー21システム」の非独占的使用権を許諾し、「加盟店」はこれを受託する。・更新契約、更新料　本契約有効期間満了の180日前から90日迄に契約更新をしたい旨の通知を書面にて「日本本部」に送付すること。　更に５年間の本契約更新を決定した場合には、更新時点における新規加盟金の10％相当額を更新料として「日本本部」に現金にて支払わなければならない。・加盟金　本契約の締結と同時に、「加盟店」は加盟金として下記金額を「日本本部」が指定する銀行口座に現金にて支払う。　　首都圏　　300万円　　関西圏　　250万円　　中部圏　　200万円　　九州圏　　150万円　　北海道・東北　150万円（税抜き）　　(但し、支店契約に関しては上記加盟金の２分の１相当額)・サービスフィー　本契約有効期間中に加盟店が以下の取引により受領する総売上高(不動産仲介手数料等)の６％相当額または、加盟店が自ら売主となり販売したマンション・戸建住宅等の売買代金の0.36％相当額を、当月月末締めで「加盟店」が指定する銀行口座より「日本本部」が引き落とす方法若しくは「日本本部」が指定する銀行口座に振り込む方法により支払う。　　①　宅地建物取引業免許が必要な全ての取引　　②　建築請負、企画、設計の取引　　③　宅地以外の土地、建築物及び工作物の売買、賃貸借、交換又は贈与等全ての処分を含む全ての取引　　④　「センチュリー21マーク等」又は「センチュリー21システム」を使用する全ての取引・広告基金分担金　　　　月額　10万円または5万円(税抜き)　公共的広告宣伝・市場調査の費用５年 　
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当社は、不動産フランチャイズ事業の単一セグメントであるため、セグメントごとの設備投資等の概要の記載はしておりません。当事業年度につきましては、総額87,537千円の設備投資を行いました。  その主なものとしては、有形固定資産については、社内インフラサーバーの構築費用であり、無形固定資産については、営業支援システムの追加開発費用であります。 
主要な設備の状況	２ 【主要な設備の状況】当社は、不動産フランチャイズ事業の単一セグメントであるため、セグメントごとの主要な設備の状況の記載はしておりません。 　　　　　　　　　　　　　　　　　　　　　　　　　　　(2024年３月31日現在)事業所名(所在地)設備の内容帳簿価額（千円）建物附属設備工具、器具及び備品有形固定資産合計ソフトウエアソフトウエア仮勘定 電話加入権本社(東京都港区)(注)１会社統括業務及び営業活動業務65,29932,54197,840546,71425,1571,893関西支店(大阪市北区)営業活動業務5,5851,7887,373――72中部支店(名古屋市中区)営業活動業務3,2485773,825―――九州支店(福岡市博多区)営業活動業務5,1484355,583―――北海道支店(札幌市中央区)営業活動業務―564564―――合計79,28035,907115,187546,71425,1571,966  事業所名(所在地)設備の内容帳簿価額（千円）従業員数(名)無形固定資産合計合計本社(東京都港区)(注)１会社統括業務及び営業活動業務573,765671,60564関西支店(大阪市北区)営業活動業務727,44611中部支店(名古屋市中区)営業活動業務―3,8255九州支店(福岡市博多区)営業活動業務―5,5834北海道支店(札幌市中央区)営業活動業務―5643合計573,838689,02587 (注) １　ソフトウエアにつきましては事業所別に区分が不可能なため、本社に一括して計上しております。 ２　賃借している事務所の概要は以下のとおりであります。 事業所名賃借先専有面積本社吉川ビルディング株式会社1,200.23㎡関西支店阪急電鉄株式会社160.80㎡中部支店伊藤忠商事株式会社160.23㎡九州支店星光ビル管理株式会社107.23㎡北海道支店伊藤忠商事株式会社28.65㎡  
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式25,000,000計25,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月25日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式11,325,00011,325,000東京証券取引所スタンダード市場単元株式数は100株であります。計11,325,00011,325,000――  
