項目	値
事業の内容	３【事業の内容】　当社グループは、「美しく安全で長期にわたり社会を支える街づくり」を事業運営の理念に、「都市にヨーロッパの光と風」をデザインコンセプトに据えて、不動産に係る開発、売買、賃貸、建設、設計・施工監理、及びこれらに関する調査・企画並びにコンサルティングを主たる業務として、以下のとおり、不動産関連事業、外食事業及び服飾事業を展開しております。　なお、当連結会計年度より、服飾事業の重要性が高くなったため、従来の不動産関連事業及び外食事業の２事業に加え、服飾事業を新たに報告セグメントとしております。①　不動産関連事業　イ．賃貸事業（不動産賃貸事業、ビル管理事業）不動産関連事業における収益の中心であり安定的基盤を支える事業であります。不動産賃貸事業においては、優良な事業用不動産のストックを積み上げることにより、市況の変動を受けにくい収益基盤の確立を行ってまいります。ビル管理事業においては、不動産所有者の方には安定した収益と所有する誇りをお持ちいただけるように、また居住者の方にはお住まいいただくことに、それぞれ満足を享受していただけるように、ゆとりのある空間を提供するなど、ホスピタリティ「おもてなしの心」を持って、賃貸業務や建物管理業務等の提供を行っております。　ロ．投資その他事業（オフィスビル・レジデンス等、不動産関連資産への投資事業及びその他の事業）事業用不動産への投資により収益を獲得する事業であります。投資期間は、概ね１～５年を目途とし、リニューアル後、保有期間の賃料収入を享受すると同時に適切なタイミングで売却を図る事業であります。既存のオフィスビル・レジデンス・商業施設を取得して、適切なコストで美しい建物にリニューアルし、経済的価値の増大と耐用年数の長期化を図ることは、社会的にも意義ある事業と考えております。 ②　外食事業・「美しいファシリティ」不動産関連事業で培ったデザイン力を活かし、安らぎを感じられる美しい食の空間を提供します。・「健康的で美味しい食事」美味しいだけでなく、健康にも気を配った何度でも食べたくなる食事の提供を目指します。・「質の高いホスピタリティ」心を込めたおもてなしの接客を実践します。そのための社員教育に力を入れてまいります。以上の３つの柱を中心とした最高級のサービスを提供し、人々が集うことの楽しさを実感できるような社会の実現に貢献することを目指します。 ③　服飾事業時代に流されることのないベーシックな価値を持つ「装う楽しみ」を提供することを目指し、高品質でデザイン性に優れたアイテムを提供してまいります。衣服に限らず、靴・鞄などの服飾関連用品も含めた幅広い商品を取扱うことで上記目標の実現に取り組みます。商品企画・生産から販売まで一貫した体制をグループ内で保有し、魅力ある商品を提供することを目指します。 ［事業系統図］　（注）各事業におけるリニューアル工事や新築工事、また賃貸・売買仲介等の業務は、施工会社や仲介会社等へ外注しております。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　以下の記載のうち将来に関する事項は、本報告書提出日（2023年12月21日）において当社が判断したものであります。(1）経営方針当社の経営理念①成熟社会に向かう我が国に、美しい街・美しい建物、そして安心の生活を提供する。②良い商品・良いサービスをつくり続けることにより顧客との信頼関係の継続と増幅を獲得する。③伝統と知性を融合した美しいデザインの建物を提供し社会に貢献する。当社の行動規範①業界の想念にとらわれない本質的な情報を収集・分析する。②高く長期にわたる収益が見込める事業を選択し、経営資源を集中する。③基本戦略を立て、ことに当たっては常に的確な戦術をもって行う。④信念をもって計画をたて、社会の変化には素早く対応する。⑤常に変革を考える。を企業理念に据え、主力事業である不動産賃貸事業を中心に高品質・高付加価値な不動産関連事業及び外食事業を展開してまいります。 (2）経営戦略等不動産業界におきましては、賃貸オフィスビル市場では、働き方改革やリモートワークの普及による募集賃料下落、空室率上昇の影響が依然として継続しており、市況の改善は緩やかな状況となっております。賃貸レジデンス市場においても、働き方改革やリモートワークの普及による住環境ニーズの変化などが見受けられ、一部では賃料上昇の兆しが見受けられます。このような事業環境下において、東京のオフィスビル・レジデンスを中心とした不動産賃貸事業を収益基盤として確立すると同時に、新規物件の取得や保有物件の開発による収益の獲得増加にも取り組んでまいります。さらには、美しいデザインと確かな機能性を併せ持つリビルド工事により保有物件の付加価値を高め、建物の維持管理の質をアップすることで他社との差別化を図ってまいります。また、外食業界におきましては、原材料の価格高騰や光熱費の上昇、人員の確保など、事業環境は依然として厳しいものとなっております。このような事業環境下において、外食事業では良い空間、良い食事、良いサービスを提供し、人々が集うことの楽しさを実感できるような社会の実現に貢献することを目指します。服飾事業においては、時代に流されることのないベーシックな価値を持つ「装う楽しみ」を提供することを目指し、取り組んでまいります。 (3）経営上の目標の達成状況を判断するための客観的な指標等当社グループは、株主価値の持続的な向上を重要な経営課題と位置付け、自己資本比率、ＥＢＩＴＤＡ等の指標を考慮しながら経営を行っております。 (4）経営環境今後の経済情勢は、新型コロナウイルス感染症の分類が５類へ引き下げられたことにより経済社会活動の正常化が進み、景気は緩やかな回復の動きが見られるものの、地政学リスクの高まりや、物価高騰、為替市場における円安傾向による経済への影響など依然として先行き不透明な状況が続くものと思われます。不動産業界においては、収益不動産の価格水準が高く利回りも低いため適正な投資案件不足の状況が続いており、引き続きこの状況が継続するものと思われます。外食業界においては、原材料の価格高騰や光熱費の上昇、人員の確保など、依然として厳しい経営環境が暫く続くと予想されます。服飾業界においては、少子高齢化による需要の減少や消費者の低価格志向などにより厳しい経営環境が続くと予想されます。  (5）優先的に対処すべき事業上及び財務上の課題不動産関連事業においては、保有物件の安定稼働及び資産価値向上のため「効果的なリーシング活動・質の高い建物管理・リビルド工事による付加価値の創造」を実践し事業の強化を図ります。また、慎重に収益不動産マーケットの変化を注視しながら当社グループの基準に見合う安定稼働の期待できるレジデンス・ビル等の収益物件の新規取得や保有物件の開発を進め、自己資本を有効的に活用し更なる利益と財務基盤の強化をしてまいります。なお、当社グループにおいては、建物創りに対し優先的に力を注いでまいりましたが、今後100年のスパンにおいても当社グループの建物が市場価値を失うことなく輝き続けるよう当社グループのスタンダードを進化させていきます。こうした建物創りに対する情熱をベースに、当社グループの強みである「匠の技」を活かしたデザイン力にも一層の磨きをかけ、他社との差別化を図ってまいります。外食事業においては、事業コンセプトである「美しいファシリティ」「健康的で美味しい食事」「質の高いホスピタリティ」を実現するため、不動産関連事業で培ったデザイン力を生かした店舗内装設計、メニュー開発及び改良、店舗運営業務の効率化に注力し、収益を生み出す体制を確立するとともに、適正な出店候補物件の選定に取り組んでまいります。服飾事業においては、時代に流されることのないベーシックな価値を持つ「装う楽しみ」を提供することを目指し、旗艦店となる販売店舗の出店計画を進めるとともに、連結子会社化した企業の生産設備更新や人材育成など生産供給体制の再構築に取り組んでまいります。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、以下の記載のうち将来に関する事項は、本報告書提出日（2023年12月21日）において当社グループが判断したものであります。 (1）業界環境について　当社グループは、不動産関連事業、外食事業及び服飾事業を展開しております。　不動産業界においては、景気動向、金利動向及び地価動向等の経済情勢の影響を受けやすく、当社グループにおいてもこれらの経済情勢の変化により保有資産の価値が下落し、棚卸資産の評価損や固定資産の減損が発生することにより、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。　外食業界および服飾業界においては、日本国内における景気の悪化、顧客の嗜好の変化、他社との競合において優位にたてない場合には、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (2）賃貸不動産の稼働状況について　当社グループは、当社グループが所有する賃貸不動産からの賃貸収入、オーナーから管理業務を受託している賃貸不動産の業務受託収入、売却目的で取得又は開発した賃貸不動産からの賃貸収入等により収益を獲得しています。　これらの賃貸収入及び業務受託収入は、テナント又は入居者の信用力の低下による賃料の支払の延滞、賃料の低下、退去による空室率の上昇により減少する可能性があり、賃貸収入の減少により保有資産の価値が下落し、棚卸資産の評価損や固定資産の減損が発生することにより、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (3）建築工事等について　当社グループは、建築工事、リニューアル工事を建設会社に外注しております。外注先は品質、建築工期及びコスト等を勘案して決定しており、特定の外注先に依存しておりません。　当社グループは、品質維持及び工期の遅延防止のため、当社の建築設計部の人員により現場視察を行い、外注先との定例会議を毎週開催し施工図及び工期スケジュール等の確認を行っております。しかしながら、工事中の事故、外注先の倒産や請負契約の不履行、その他予期せぬ事象が発生した場合、工事の中止又は遅延、建築コストの上昇等により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (4）有利子負債依存度について　当社グループは、用地及び物件の取得資金、建築資金等を主に借入金等の有利子負債で賄っていることから、当社グループの有利子負債残高の総資産額に占める割合は2023年９月期において55.5％となっております。　今後においては、ポートフォリオの見直しにより有利子負債の圧縮に努めますが、今後の金利変動により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 2023年９月期有利子負債残高　（千円）29,882,809総資産　　　　　（千円）53,877,160有利子負債依存度55.5％　（注）有利子負債は、短期借入金、社債、長期借入金及び割賦未払金であります。 (5）資金調達等について　当社グループの資金調達にあたっては、特定の金融機関に依存することなく、案件ごとに金融機関に融資を打診し、融資実行を受けております。しかしながら、何等かの理由により計画どおりの資金調達が不調に終わった場合、当社グループの事業展開に影響を及ぼす可能性があります。 (6）原材料価格や光熱費の上昇リスクについて　当社グループは、天候不順や自然災害、戦争の発生、為替の変動等による原材料の価格上昇や原油の高騰などエネルギーの価格上昇に伴う光熱費の上昇により原価率が上昇し、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (7）人員の確保について　当社グループは、主としてパートタイムの従業員が、店舗での業務に従事しております。　賃金の上昇、求人費の増加、国内の労働力需要の増加に伴う従業員の確保困難等により採用環境が悪化した場合、当社グループが必要とする数の従業員を適切なコストで確保することができなくなり、必要な数の従業員を確保するための人件費の増加、出店計画等の見直し、一部店舗の営業停止や閉店等により、当社グループの事業運営及び事業展開、経営成績及び財政状態に影響を及ぼす可能性があります。 (8）法的規制・許認可等の取得状況　不動産業界においては、「宅地建物取引業法」、「都市計画法」、「建築基準法」、「建設業法」、「借地借家法」等による法的規制を受けております。今後、これらの法的規制等の改正が行われた場合には、当社グループの経営成績及び財政状態に影響を与える可能性があります。　なお、当社は、不動産関連事業の事業活動に際して、以下のような許認可及び登録を受けております。  当社グループは、当該許認可及び登録の諸条件や関係法令の遵守に努めており、現時点において、宅地建物取引業法第５条・第66条等、建設業法第29条等及び建築士法第23条の４・第26条等に定める許認可及び登録の取消事由・更新欠格事由に該当する事実は存在しておりません。しかしながら、法令違反等により、当該許認可及び登録が取り消された場合には、当社グループの事業運営に支障をきたし、経営成績及び財政状態に影響を及ぼす可能性があります。①　宅地建物取引業法免許［当社］番号：東京都知事(10）第46428号有効期間：2022年12月14日から2027年12月13日まで②　特定建設業許可［当社］番号：東京都知事　許可（特－28）第84034号有効期間：2021年９月14日から2026年９月13日まで③　一級建築士事務所登録［当社］番号：東京都知事登録第28931号有効期間：2023年４月16日から2028年４月15日まで　また、外食業界においては、「食品衛生法」等による法的規制を受けております。今後、これらの法的規制等の改正が行われた場合には、当社グループの業績に影響を与える可能性があります。　なお、当社グループは、外食事業の事業活動に際して、管轄の保健所による飲食店営業許可を受けております。しかしながら、食中毒が発生した場合、社会的信用を失うことによる売上高の減少、損害賠償による損失の発生、一定期間の営業停止や営業許可の取消などにより、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (9）訴訟等の可能性について　当社グループは、本報告書提出日（2023年12月21日）において当社グループの経営成績に重要な影響を及ぼす可能性がある訴訟が提起されている事実はありません。しかしながら、当社グループの不動産関連事業において、建築請負又は販売した物件における瑕疵の発生、建築に際しての近隣住民からのクレーム、受託する賃貸マンション等の居住者又はテナントによる賃料不払い発生等、これらに起因する訴訟その他の請求が発生する可能性があり、これらの訴訟等の内容及び結果によっては、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (10）顧客情報管理について 当社グループは、事業内容に応じた様々な顧客の個人情報を有しております。当社グループは、個人情報を正確かつ最新の内容に保つよう努めるとともに個人情報の紛失、漏えい、破壊、改ざん等を防止するため、適切な安全管理対策を行なうとともに、必要な是正措置を講じます。 当社グループが認識している限り、これまでにおいて顧客の個人情報が外部に流出した事実はありません。しかしながら、今後、上記施策にもかかわらず、個人情報の漏洩や不正使用等の事態が発生した場合、社会的信用の低下により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 (11）災害の発生及び地域偏在について　地震、暴風雨、洪水等の自然災害、戦争、暴動、テロ、火災等の人災が発生した場合、当社グループが保有する不動産の価値が大きく毀損したり、店舗の営業活動が困難となる可能性があります。また、当社グループが保有する不動産や、店舗及び出店計画においては、経済規模や投資家需要の趣向等を考慮に入れ、東京を中心とする首都圏所在の比率が高い状況にあり、当該地域における地震その他の災害、地域経済の悪化等により、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当連結会計年度より、服飾事業の重要性が高くなったため、従来の不動産関連事業及び外食事業の２事業に加え、服飾事業を新たに報告セグメントとしております。また、前連結会計年度との比較については、新しいセグメント区分に基づき記載しております。　なお、文中の将来に関する事項は、当連結会計年度末日現在において当社グループが判断したものであります。 (1）経営成績等の状況の概要　当連結会計年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。①財政状態及び経営成績の状況当連結会計年度（2022年10月１日～2023年９月30日）における我が国経済は、新型コロナウイルス感染症の分類が５類へ引き下げられたことにより経済社会活動の正常化が進み、景気は緩やかな回復の動きが見られるものの、地政学リスクの高まりや、物価高騰、為替市場における円安傾向による経済への影響など依然として先行き不透明な状況が続いております。不動産業界におきましては、賃貸オフィスビル市場では、働き方改革やリモートワークの普及による募集賃料下落、空室率上昇の影響が依然として継続しており、市況の改善は緩やかな状況となっております。賃貸レジデンス市場においても、働き方改革やリモートワークの普及による住環境ニーズの変化などが見受けられ、一部では賃料上昇の兆しが見受けられます。いずれも、今後の動向及び影響を注視する必要があります。このような事業環境下において、当社グループはマーケットの動向を見極め、的確なリーシング戦略により、賃貸オフィスビル・レジデンスの稼働率維持と賃料のアップサイドを目指し、安定収益を確保しながら、保有物件のリビルド工事などを順次実施し、資産価値の向上・収益力の強化に取り組みました。外食事業におきましては、高品質・高付加価値の商品・サービスを提供すべく、出店候補地の特性に合わせた業態の開発および店舗の設計を進めております。上記取り組みにおける新業態の店舗として、2023年９月11日に東京都千代田区において地中海料理レストラン「地中海ダイニング　ポセイドン」をリブランドオープンいたしました。服飾事業におきましては、株式会社ジェンツの全株式を取得し連結子会社化しました。紳士服の縫製および宝飾品の製造・卸機能をグループ内に保有することで、商品企画・生産から販売までの一貫体制の強化を進めて参ります。また宝飾品製造・卸売業の甲府貴宝株式会社の全株式を取得し、連結子会社化しております。以上の結果、当連結会計年度の経営成績は、売上高4,490百万円（前期比3.3％減）、営業損失42百万円（前期は営業利益305百万円）、経常損失472百万円（前期は経常損失146百万円）、親会社株主に帰属する当期純利益349百万円（前期比30.9％増）となりました。なお、セグメント別の業績の概況は、以下のとおりであります。イ．不動産関連事業売上高は4,393百万円（前期比2.6％減）、セグメント利益1,418百万円（前期比10.3％減）となりました。ロ．外食事業売上高は66百万円（前期比19.5％減）、セグメント損失449百万円（前期はセグメント損失243百万円）となりました。ハ．服飾事業売上高は30百万円（前期比41.3％減）、セグメント損失155百万円（前期はセグメント利益３百万円）となりました。 　当連結会計年度末におきましては、総資産は前連結会計年度末より335百万円減少し53,877百万円となりました。これは主に商品及び製品が226百万円、販売用不動産が6,455百万円、原材料及び貯蔵品が232百万円、建設仮勘定が343百万円、のれんが306百万円増加した一方で、建物及び構築物（純額）が3,371百万円、土地が4,648百万円減少したことによります。なお、上記の増減額には保有目的変更による有形固定資産の販売用不動産への振替額を含めており、その内訳は以下のとおりであります。建物及び構築物（純額）2,145百万円土地4,219百万円その他（純額）115百万円販売用不動産への振替額6,480百万円 総負債は、前連結会計年度末より591百万円減少し、35,158百万円となりました。これは主に未払法人税等が198百万円、前受金などの流動負債「その他」が1,156百万円増加した一方で、短期借入金が300百万円、社債（１年内償還予定を含む）が485百万円、長期借入金（１年内返済予定を含む）が993百万円、固定負債「その他」が198百万円減少したことによります。純資産は、前連結会計年度末より255百万円増加し、18,718百万円となりました。これは主に配当金の支払が119百万円あった一方で、親会社株主に帰属する当期純利益を349百万円計上したことにより利益剰余金が230百万円増加したことによります。 ②キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物の残高は、営業活動によるキャッシュ・フローが7百万円の支出超過、投資活動によるキャッシュ・フローが1,918百万円の収入超過、財務活動によるキャッシュ・フローが2,065百万円の支出超過となったことにより、10,630百万円となりました。当連結会計年度における各キャッシュ・フローの状況とその要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローは、7百万円の支出超過となりました。これは、キャッシュ・フローの増加要因としては主に税金等調整前当期純利益468百万円、減価償却費879百万円、減損損失390百万円、固定資産除却損155百万円、またキャッシュ・フローの減少要因としては主に固定資産売却益1,506百万円、訴訟和解金の支払額166百万円、負債の減少額など「その他」240百万円などによるものであります。（投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは、1,918百万円の収入超過となりました。これは主に、有形固定資産の取得による支出1,645百万円、有形固定資産の売却による収入4,356百万円及び関係会社貸付けによる支出626百万円によるものであります。（財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローは、2,065百万円の支出超過となりました。これは主に、短期借入金の純減少額300百万円、長期借入れよる収入1,524百万円、長期借入金の返済による支出2,518百万円、社債の償還による支出485百万円、配当金の支払額119百万円及び長期未払金の返済による支出119百万円によるものであります。 ③生産、受注及び販売の実績ａ．生産実績　該当事項はありません。 ｂ．受注実績　該当事項はありません。 ｃ．販売実績　当連結会計年度の販売実績をセグメント別に示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年10月１日至　2023年９月30日）前年同期比（％）不動産関連事業（千円）4,393,11697.4外食事業（千円）66,24180.5服飾事業（千円）30,87858.7報告セグメント計（千円）4,490,23596.7その他（千円）－－合計（千円）4,490,23596.7（注）セグメント間の取引については相殺消去しております。 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、以下の記載のうち将来に関する事項は、本報告書提出日（2023年12月21日）において判断したものであります。なお、キャッシュ・フローの状況については、「(1）経営成績等の状況の概要」に記載しております。ａ．経営成績　売上高4,490百万円（前期比3.3％減、155百万円減）、売上総利益1,641百万円（前期比3.1％増、49百万円増）となりましたが、主に地代家賃などの諸経費の増加により販売費及び一般管理費は1,683百万円（前期比30.9％増、397百万円増）となり、営業損益については、営業損失42百万円（前期は営業利益305百万円、前期比347百万円減）となりました。　不動産関連事業については、マーケットを見据えた的確なリーシング戦略により、賃貸オフィスビル・レジデンス・商業施設の高稼働率を維持し安定収益を確保する一方で、既存購入物件のリビルド工事を順次実施し資産価値の向上・収益力の強化に取り組んだ結果、売上高は4,393百万円（前期比2.6％減、117百万円減）となりました。また、セグメント利益1,418百万円（前期比10.3％減、162百万円減）となりました。　外食事業については、前期より営業を開始しましたが、売上高は66百万円（前期比19.5％減、16百万円減）となりました。また、出店準備に伴うコストが発生し、セグメント損失449百万円（前期はセグメント損失243百万円、前期比205百万円減）となりました。　服飾事業については、売上高は30百万円（前期比41.3％減、21百万円減）、セグメント損失155百万円（前期はセグメント利益３百万円、前期比158百万円減）となりました。　営業外損益については、借入金等に対する支払利息は386百万円（前期比5.0％減、20百万円減）となりました。　以上の結果、経常損失472百万円（前期は経常損失146百万円、前期比326百万円減）となりました。　特別損益については、固定資産売却益の計上により特別利益が1,506百万円発生した一方で減損損失が390百万円、固定資産除却損が155百万円発生しました。　この結果、税金等調整前当期純利益は468百万円（前期比25.8％減、162百万円減）となりました　また、法人税等調整額が８百万円（前期比97.4％減、314百万円減）となり、取崩のあった前期と比較して大幅に減少したことを主因として、法人税等合計は119百万円（前期比67.3％減、245百万円減）となりました。　以上の結果、親会社株主に帰属する当期純利益は349百万円（前期比30.9％増、82百万円増）となりました。 　また、経営上の目標の達成状況を判断するための客観的な指標等については、「１　経営方針、経営環境及び対処すべき課題等　(3）経営上の目標の達成状況を判断するための客観的な指標等」に記載のとおりであります。ＥＢＩＴＤＡ（営業利益＋減価償却費＋のれん償却額）は、843百万円（前期比33.3％減）となりました。 ｂ．キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当社グループの資金需要のうち主なものは、不動産関連事業における不動産物件の取得及びリビルド工事資金並びに外食事業における出店資金であります。これらの資金需要につきましては、営業活動によるキャッシュ・フローの他、金融機関からの長期借入や社債発行による資金調達及び固定資産の売却により対応していくこととしております。　当連結会計年度においては、外食事業における設備投資に伴うキャッシュ・アウトがあったものの主に固定資産売却によるキャッシュ・インにより投資活動によるキャッシュ・フローは1,918百万円の資金増加となりました。借入金等の返済に伴うキャッシュ・アウトにより財務活動によるキャッシュ・フローは2,065百万円の資金減少となりました。　この結果、当連結会計年度末における現金及び現金同等物の残高は、154百万円減少し10,630百万円となっております。 ｃ．重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められる会計基準に基づき作成しております。この連結財務諸表の作成には、経営者による会計方針の選択・適用、資産・負債及び収益・費用の報告金額並びに開示に影響を与える見積りを必要としております。　当社グループが、連結財務諸表の作成にあたって用いた会計上の見積り及び当該見積りの仮定のうち、重要なものは以下のとおりであります。 （販売用不動産の評価）（固定資産の減損）「第５　経理の状況　１　連結財務諸表等　（１）　連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりです。 
経営上の重要な契約等	５【経営上の重要な契約等】　当社は、2023年５月29日開催の取締役会において、株式会社ジェンツの全株式を取得することを決議し、同日付で株式譲渡契約を締結しました。2023年７月３日付で全株式を取得し、同社を子会社化しております。　また、当社は、2023年６月26日開催の取締役会において、甲府貴宝株式会社の全株式を取得することを決議し、同日付で株式譲渡契約を締結しました。2023年７月３日付で全株式を取得し、同社を子会社化しております。　詳細は、「第４　経理の状況　１ 連結財務諸表　注記事項（企業結合等関係）」の「Ⅱ　取得による企業結合（株式会社ジェンツ）」及び「Ⅲ　取得による企業結合（甲府貴宝株式会社））」に記載のとおりであります。 
研究開発活動	６【研究開発活動】　特記事項はありません。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度において実施しました設備投資総額は1,594百万円であり、その主たるものは外食事業における店舗設備であります。　また、経営資源の有効活用と自己資本比率の向上を図ることを目的として、下記資産を売却し、固定資産売却益1,506百万円を特別利益に計上しました。資産の内容及び所在地現況東京都文京区湯島一丁目205番１他賃貸用不動産土地：247.16 ㎡、建物：1,824.45㎡東京都新宿区四谷一丁目18番６号土地：158.61 ㎡、建物：915.55㎡　また、固定資産のポートフォリオの比重を商業施設に移すことを目的として、固定資産として保有・賃貸しているレジデンス14物件（簿価6,480百万円）について保有目的を固定資産から販売用不動産（流動資産）に振替えました。　内訳は以下のとおりであります。（1）東京23区　12物件（2）その他　　２物件 　上記以外に当連結会計年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２【主要な設備の状況】当社グループにおける主要な設備は、以下のとおりであります。(1）提出会社2023年９月30日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物土地借地権その他合計（面積㎡）（面積㎡）（面積㎡）原宿プラザビル他（東京都渋谷区他）不動産関連事業賃貸用不動産(オフィスビル・賃貸住宅・店舗)11,399,90920,124,2431,070,247360,66632,955,06610(81,348.20)(28,795.08)(1,209.24)(－)霞が関コモンゲート店他（東京都千代田区他）外食事業店舗設備239,369－－482,844722,21316(－)(－)(－)(16)福島工場他（注）４（福島県福島市他）服飾事業工場設備他4,219175,357098,723278,30111(7,552.23)(46,771.16)(－)(－) 小計 11,643,49820,299,6001,070,247942,23433,955,58137(88,900.43)(75,566.24)(1,209.24)(16)－その他店舗設備－－－－－1(－)(－)(－)(－)本社他（東京都千代田区他）全社業務設備等8,807－－148,686157,4945(－)(－)(－)(2) 合計 11,652,30620,299,6001,070,2471,090,92134,113,07643(88,900.43)(75,566.24)(1,209.24)(18)（注）１．「帳簿価額」の「その他」の内訳は、「構築物」、「機械及び装置」、「車両運搬具」、「工具、器具及び備品」、「リース資産」、「建設仮勘定」、「ソフトウエア」及び無形固定資産「その他」であります。２．建物の面積は延床面積であり、借地権の面積は賃借土地の面積であります。３．従業員数は就業人員であり、臨時雇用者数（人材会社からの派遣社員を含む）は、年間の平均人員を（　）外数で記載しております。４．提出会社より服飾事業の設備の一部を子会社である株式会社ジェンツに貸与しております。 (2）国内子会社2023年９月30日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（人）建物土地借地権その他合計（面積㎡）（面積㎡）（面積㎡）㈱スターダストイルチェントロテアトロ(東京都豊島区)不動産関連事業賃貸用不動産 (オフィスビル)110,335－412,973334523,643－(－)(－)(－)(－)㈱ジェンツ本社工場他(福島県福島市他）服飾事業業務設備等・工場設備1,482－－2,5724,055149(－)(－)(－)(－)甲府貴宝㈱本社他(山梨県甲府市他)その他業務設備等・工場設備892－－8,9179,81013(－)(－)(－)(6)合計   112,710－412,97311,824537,509162(－)(－)(－)(6)（注）１．「帳簿価額」の「その他」の内訳は、「構築物」、「機械及び装置」、「車両運搬具」、「工具、器具及び備品」、「建設仮勘定」、「ソフトウエア」であります。２．建物の面積は延床面積であり、借地権の面積は賃借土地の面積であります。３．従業員数は就業人員であり、臨時雇用者数（人材会社からの派遣社員を含む）は、年間の平均人員を（　）外数で記載しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式73,800,000計73,800,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年12月21日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式26,780,80026,780,800東京証券取引所スタンダード市場単元株式数100株計26,780,80026,780,800－－
