項目	値
事業の内容	 ２ 【事業の内容】当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第１四半期連結累計期間において、新たに事業等のリスクの発生、又は、有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。（１）財政状態及び経営成績の状況①　経営成績の状況当第１四半期連結累計期間における我が国の経済は、新型コロナウイルス感染症の５類への移行に伴って経済活動の正常化が一段と進みました。また、賃上げの動きも見られるなど、国内景気は徐々に回復しております。一方、原料やエネルギー価格の世界的な高騰をはじめとしたインフレリスクの影響など、先行きの不透明な状況は継続しております。当社グループの主要な取引先である建設業界においても建築資材の急騰などの懸念はあるものの、公共投資が底堅く推移する中、民間建設投資の持ち直しが続いており、国内建設需要は堅調に推移しております。このような環境の中、当社グループは事業成長のための人材採用強化を推進し、在籍人数が増加しました。また、顧客からのニーズに応えて人材を送り出した結果、稼働人数も増加しました。以上の結果、当第１四半期連結累計期間における売上収益は4,987,070千円（前第１四半期連結累計期間比24.5％増）となりました。また、営業利益は744,468千円（同31.2％増）、税引前四半期利益は732,601千円（同32.2％増）、親会社の所有者に帰属する四半期利益は516,378千円（同33.2％増）となりました。 セグメント別の経営成績は、次のとおりであります。（建設ソリューション事業）建設業界は慢性的な人手不足が続いており、技術者人材を派遣する当社の役割は大きく、人材不足解消に貢献することを求められています。その期待に応えるべく、技術者人材の採用・教育の強化に取り組んだことにより、技術者の在籍人数・稼働人数が増加しました。また、2024年４月から建設業でも規制を受ける改正労働基準法による時間外労働の上限規制に、先んじて取組んでおり残業時間は減少傾向にありますが、単価交渉を含めた積極的な営業活動が奏功し、派遣単価が向上し業績に寄与しております。以上の結果、同事業の売上収益は4,439,126千円（前第１四半期連結累計期間比23.9％増）、セグメント利益は617,818千円（同20.3％増）となりました。 （ＩＴソリューション事業）ＩＴ業界においても、建設業界と同様に人手不足が続いており、将来において成長発展が期待される分野であります。この状況において、ＩＴ人材の育成は日本にとって大きな課題であると認識し、未経験者の採用・育成に注力しており、顧客の要員ニーズに応じてエンジニアの在籍人数・稼働人数は増加しました。以上の結果、同事業の売上収益は547,594千円（前第１四半期連結累計期間比29.4％増）、セグメント利益は37,811千円（同95.3％増）となりました。 ②　財政状態の状況当第１四半期連結会計期間末における財政状態の状況は以下のとおりであります。（資産）当第１四半期連結会計期間末の流動資産合計は、6,062,729千円（前連結会計年度末比997,960千円減少）であります。これは主に、現金及び現金同等物が982,593千円減少したことによるものであります。非流動資産合計は、15,243,603千円（同200,773千円減少）であります。これは主に、繰延税金資産が134,560千円減少したことによるものであります。この結果、当第１四半期連結会計期間末における資産合計は、21,306,333千円（同1,198,734千円減少）となりました。 （負債）当第１四半期連結会計期間末の流動負債合計は、5,464,683千円（前連結会計年度末比822,760千円減少）であります。これは主に、未払法人所得税が410,597千円減少したことによるものであります。非流動負債合計は、3,837,085千円（同203,322千円減少）であります。これは主に、借入金が178,571千円減少したことによるものであります。この結果、当第１四半期連結会計期間末における負債合計は、9,301,768千円（同1,026,083千円減少）となりました。 （資本）当第１四半期連結会計期間末の資本合計は、12,004,564千円（前連結会計年度末比172,650千円減少）であります。その主な内訳は、親会社の所有者に帰属する四半期純利益の計上があった一方で剰余金の配当により、利益剰余金が223,485千円減少したことによるものです。 （２）キャッシュ・フローの状況当第１四半期連結会計期間末における現金及び現金同等物（以下「資金」という。）につきましては、3,100,629千円（前連結会計年度末比982,593千円減少）となりました。 各キャッシュ・フローの状況とそれらの要因は、次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動の結果、使用した資金は、70,056千円（前第１四半期連結累計期間は35,800千円の収入）となりました。これは主に、税引前四半期利益732,601千円を計上した一方で、法人所得税の支払額492,259千円や未払賞与の減少額295,602千円があったことによるものであります。 （投資活動によるキャッシュ・フロー）投資活動の結果、使用した資金は、9,535千円（前第１四半期連結累計期間は106,488千円の収入）となりました。これは主に、貸付による支出5,094千円や有形固定資産の取得による支出3,606千円によるものであります。 （財務活動によるキャッシュ・フロー）財務活動の結果、使用した資金は、903,000千円（前第１四半期連結累計期間は226,343千円の支出）となりました。これは主に、配当金の支払額767,958千円によるものであります。 （３）会計上の見積り及び当該見積りに用いた仮定前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 （４）経営方針・経営戦略等当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （５）優先的に対処すべき事業上及び財務上の課題当第１四半期連結累計期間において、当社グループが優先的に対処すべき課題について重要な変更はありません。 （６）研究開発活動該当事項はありません。 
経営上の重要な契約等	 ３ 【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数（株）普通株式33,000,000計33,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第１四半期会計期間末現在発行数（株）（2024年１月31日）提出日現在発行数（株）（2024年３月13日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式8,523,2798,532,819東京証券取引所グロース市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計8,523,2798,532,819―― （注）提出日現在発行数には、2024年３月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
