項目	値
事業の内容	３【事業の内容】　当社グループは、当社、子会社15社及び関連会社５社で構成され、主に中央官庁、地方公共団体及び電力会社等の公益事業体各社を主要顧客とし国内外で営業展開しております。　なお、当社グループは空間情報コンサルタント事業の単一セグメントであり、セグメント別の記載に代えて事業区分別に記載しております。各事業の主な商品・サービスは次のとおりであります。　社会インフラマネジメント事業では、道路、鉄道、その他公共施設等のインフラマネジメント、行政支援サービス、エネルギー関連ビジネス、土壌・地下水汚染対策、災害復興再生等を行っております。国土保全コンサルタント事業では、河川・砂防、森林・林業支援、環境保全、災害緊急時の計測調査解析等の各種コンサルティングを行っております。　なお、当連結会計年度の決算において、連結子会社は12社、持分法適用関連会社は２社であります。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものです。 （1）会社の経営の基本方針当社グループは経営の基本方針として、以下の経営理念を掲げております。① 事業は人が創る新しい道である② 事業は永遠の道である③ 事業は人格の集大成である④ 事業は技術に始まり営業力で開花する⑤ 事業は社会のために存続する⑥ 事業はより高い利益創造で発展する （2）目標とする経営指標当社グループは、第77期からの新たな長期ビジョン2033（2023年10月～2033年９月）及び中期経営計画2026（2023年10月～2026年９月）を策定いたしました。長期ビジョン2033ではミッションステートメントを「空間情報技術で社会をつなぎ、地球の未来を創造する」として、2033年９月期の業績を「連結売上高600億円」、「連結営業利益45億円」、「自己資本利益率10％」を目標としております。また、中期経営計画2026（2023年10月～2026年9月）においては「事業ポートフォリオ経営の確立」「多様な人財が集まる企業グループの形成」をテーマに、2026年９月期の業績は「連結売上高450億円以上」、「連結営業利益30億円以上」、「自己資本利益率9％以上」、継続的かつ安定的な株主還元という基本方針のもと配当性向については「35％以上」を目標としております。 （3）中長期的な会社の経営戦略当社グループは、直面する社会課題の複雑化、気候変動に伴う自然災害の激甚化の中で、先人達が紡いできた技術や事業を基盤に、過去と現在、未来をつなぐ地理空間情報を核として、常に技術の深化や探究により新たな価値の創造に挑戦し続け、更には社会課題に誠実に向き合い解決するエンジニアリング企業として、安全・安心で持続可能な社会の構築に貢献してまいります。長期ビジョン2033の達成に向け中期経営計画2026においては、サステナブル経営とAAS-DXの思想を土台に、事業戦略と企業マネジメント戦略（経営管理）の両輪で構成しております。事業戦略では空間情報技術を核として重点分野や成長、新規事業への展開など事業ポートフォリオの多様化を推進し、企業マネジメント戦略では人的資本、安全と品質、脱炭素等をテーマとし、サステナブル経営を推進してまいります。 （4）対処すべき課題今後のわが国経済の見通しにつきましては、公共事業予算が前年度予算並みの水準を保つ見込みであり、ウィズコロナ下における各種施策の効果もあり、緩やかに持ち直しているものの、世界的なインフレや円安、ウクライナ情勢の長期化や中東情勢の不安定化等、経済への影響は極めて不確実性が高く、今後も予断を許さない状況が続くものと思われます。当建設関連業界におきましては、引き続き社会インフラ施設の維持管理や超スマート社会の構築を背景とした3D都市モデルを含む国土基盤情報の整備、防災・減災対策の推進等、国土強靭化やデジタル改革の加速化、脱炭素社会の実現を背景とした公共投資により、市場は前年度並みで推移することが予想されます。このような事業環境のもと、当社グループは2023年９月29日に長期ビジョン2033「空間情報技術で社会をつなぎ、地球の未来を創造する」を策定しました。その目指す姿を「１.新たな空間情報技術の深化と探究により社会に貢献し続ける企業、２.センシング技術に挑み、社会にイノベーションを提供し続ける企業、３.社会のサステナビリティ構築に向けて技術や事業を提供し、持続的な成長を続ける企業、４.ステークホルダーとのエンゲージメントを高め、従業員と社会の幸せを共に創り続ける企業、５.経営基盤の強化に努め、透明性が高く、社会から信頼され続ける企業」の５項目とし、2033年９月期の財務目標として売上高600億円、営業利益45億円、ROE10％を、2030年までに非財務目標としてCO2排出量2020年度比42％削減を掲げました。また、長期ビジョン2033の第１フェーズとして2023年10月～2026年９月までの当社グループ中期経営計画2026を策定、そのテーマとして「事業ポートフォリオ経営の確立、多様な人財が集まる企業グループの形成」を設定しました。事業戦略及び企業マネジメント（経営管理）戦略に関する施策として「１.AAS-DX（Asia Air Survey – Digital Transformation）の推進（AAS-DX５か年計画の推進）、２.主要分野事業の成長・生産構造改革と、新規事業への本格着手（『両利きの経営』の実践）、３.積極的な人的資本投資（育成・採用）と多様性を受容する風土・制度づくり、４.品質と安全の維持・確保、５.サステナブル経営（コンプライアンス経営・SDGs経営の維持・発展）」に取り組むことにより、日本を代表する空間情報コンサルタント企業として、事業の着実な成長と企業価値の向上に努めてまいります。事業面においては、安全・安心（＝国土強靭化）、GX（＝脱炭素・再エネ・地球環境）、生産性向上（＝少子高齢化・労働人口減少）の３つの社会課題に対する「流域マネジメント」「森林・環境」「道路・鉄道」「エネルギー」「行政支援」の５つの重点事業分野、「DS（Defense &amp; Security）」「復興」の２つの事業分野を成長・変革分野と位置づけました。これらを推進するために、センシング技術及びAI等を活用した分析・解析技術等のDXへの取り組みを基盤に、3D空間情報を活用した超スマート社会の実現及び国土強靭化、2050年カーボンニュートラルの実現に向けて、当社グループのブランド技術を高めていく「漸進的イノベーション」と、時空間データマネジメント・モニタリングサイクルを支える「革新的イノベーション」を基本方針として、積極的な技術開発・投資及び人財育成の強化に引き続き取り組んでまいります。さらに新規事業の創造を長期ビジョン・中期経営計画の柱として位置づけ、成長市場への進出やビジネスモデルのシフトを積極的に推進し、激動する時代の変化に対応する多角的な事業ポートフォリオ経営の確立を推進してまいります。経営管理面においては、これまで取り組んできた「コンプライアンス経営」及び「SDGs経営」を「サステナブル経営」として再定義し、様々なステークホルダーの皆様への提供価値の向上を基本思想とし、当社グループの提供する価値そのものが持続可能な社会の構築に貢献するものとなるべく施策を実行し、サステナビリティに関する課題への積極的かつ能動的な対応を推進してまいります。特にサステナビリティへの対応については、自社運航機へのバイオジェット燃料（SAF）の継続的な利用や使用電力のグリーン化等、先進的で独自的な取り組みにより業界をリードできるよう施策を推進するとともに、当社グループの計測技術を用いたカーボンクレジット創出への取り組み等、事業と経営を連携して推進してまいります。 
事業等のリスク	３【事業等のリスク】(1) 当社のリスクマネジメント体系及び体制当社は、当社グループが事業を遂行する上で抱える様々なリスクについての状況を把握し、リスクの発生防止、軽減等の適切なリスク管理を実践し経営の安定を図ることを目的として、リスク管理規定及びそれに基づく事業継続マネジメント（BCM）を整備しており、それに基づき災害リスク、航空緊急対策、感染症リスクなどマニュアルを整備・改善を進めております。リスクマネジメント体制については、リスク管理規定で定められたリスク管理関係部門長が、半期毎に当社グループが抱える様々なリスクを抽出又は見直しするとともに、当該リスクの発生防止や軽減の為の対策をリスク管理担当取締役に報告し、当該報告を受けたリスク管理担当取締役が、半期毎に当社グループが抱える様々なリスク、及び当該リスクの発生防止や軽減の為の対策を取締役会に報告します。報告されたリスクを評価・分析し、重要と思われるリスクについて、リスクの事象、想定される影響、対策等について、リスク管理関係部門長は配下社員への周知・教育等を行い、再発防止の徹底に努めております。リスクのうち、特に重要なものに関して、有価証券報告書に「事業等のリスク」として開示いたします。 (2) 当社のリスクマネジメントの取組み前記体制の運用に加え、当連結会計年度においては、内閣官房国土強靭化推進室「国土強靭化貢献団体の認証に関するガイドライン」に基づく令和５年度第２回の国土強靭化貢献団体認証（レジリエンス認証）審査を受け、認証を更新しました。本認証は、社会全体のレジリエンスの向上を進めるという観点で国土強靱化に貢献する団体を認証する制度です。大企業はもとより、中小企業、学校、病院等各種の団体における事業継続（BC）の積極的な取組を広めることにより、すそ野の広い、社会全体の強靭化を進めることを目的としています。当社は、2017年度に本認証を取得し、事業継続に関する取り組みを継続してきました。事業継続の脅威となる危機的事項は、自然災害のみならず、感染症の拡大など、多岐に広がりつつあります。レジリエンスを構築し、様々なリスク事象によって引き起こされる危機的事態に対応するために、事業継続マネジメントの継続的な実施が重要と考えています。引き続き、当社の事業活動の継続が社会全体の強靭化にもつながりますよう、より一層の努力をしてまいります。   (3) 主要なリスク前記体制に基づき抽出・報告された当社グループの財政状態、及び経営成績に影響を及ぼす可能性のある主なリスクには、以下のものが考えられます。なお、文中における将来に関する事項は、当連結会計年度末現在において判断したものであります。 ① 官公庁への高い受注依存当社グループの主要顧客は国及び地方公共団体等であり、国の予算編成の転換や財政状態の悪化、それに伴う予算規模の縮小等による受注減少が、当社グループの経営成績に大きな影響を及ぼす可能性があります。当社グループは、事業領域拡大に向け民間市場での受注確保にも努めてまいります。 ② 高度な計測機器の損傷当社グループの情報サービス事業においては、高精度デジタル航空カメラや高密度レーザープロファイラー等、高度な計測機器を使用して国土に関する空間情報データを取得しております。当社グループでは、これらの機材の安全な運用に向けて各種安全管理規定の遵守や安全推進委員会活動を通じた社内周知を徹底しておりますが、当該機器の故障等により使用不能等の事態が発生した場合には修理・修復に時間と費用を要する場合があり、生産性の低下や工期遅延を引き起こす可能性があります。なお、これら機器には損害保険を付保し、万一の際の損失を最小限にとどめるよう対処しております。また、事業量の増大や要求される品質・精度如何では設備の増強や更新が必要となり、継続して多額な設備投資負担が発生する可能性があります。 ③ 航空機事故当社グループは、航空機使用事業者として、国土交通省の指導の下で関係法規の遵守に努めるとともに、整備体制の一層の充実と操縦士の安全衛生面のチェック等を含む運航管理を徹底しております。また、関係者への安全教育、乗員の定期訓練や定期審査の他、緊急事態への対応訓練も毎年行う等、安全運航には万全を期しておりますが、不可抗力等に起因する事故及び故障による事業活動の停止等により業績に影響を与える可能性があります。 ④ 顧客からの預かり情報資産の漏洩・滅失当社グループは、官公庁、地方自治体等の顧客より、業務遂行に必要な機密情報や個人情報が含まれた情報資産をお預かりする場合があります。当社グループでは、ISMS認証基準やプライバシーマークの取得の他、コンプライアンス活動等を通じてこれら情報資産の取扱いには従来より厳重な管理体制を施しておりますが、万一漏洩・滅失の事態が発生した場合には、資本市場での信用失墜や課徴金等の発生等、当社グループの業績に影響を及ぼす可能性があります。 ⑤ 情報セキュリティ当社グループは、官公庁、地方自治体等の顧客より、顧客情報や事業データなど、事業運営上不可欠な情報資産を保有しています。一方、昨今のサイバー攻撃等による情報セキュリティ事故が発生した場合に、社会的信用の失墜を招く可能性があります。当社グループでは、ISMS等の認証基準の取得及び定期的な社員への情報セキュリティ教育に加え、情報セキュリティ事故予兆発見及び万一の事故発生時の早急な事態収束を目指す専門チーム（CSIRT：シーサート）を設置し、セキュリティ事故を想定した訓練の実施を通じて対応力の向上に努めております。 ⑥ 人材確保当社グループ事業の発展のためには、そこで働く優秀な人材が必要不可欠であり、今後も高い競争力を維持していく上で計画的な人材確保はますます重要となっております。他方、当社グループを取り巻く建設関連業界におきましては、こうした人材への需要は大きく、企業間における人材の獲得競争は激しいものとなっております。多様な働き方を実現する職場環境の整備を推し進めることで、業務量に対する組織の生産性と生産能力のバランス維持や適切な業務量のコントロール等の対策を行っておりますが、需要の急激な増加による生産体制の逼迫により、計画的な人材の確保が困難となった場合には、受注機会の喪失や納期遅延等の問題が発生する恐れがあり、業績に影響を与える可能性があります。 ⑦ 国際的な事業活動当社グループが海外各地において展開している事業については、それぞれの地域・国において政治・経済の混乱、想定していなかったテロ・労働争議の発生また自然災害、感染症の感染拡大等のカントリーリスクが、経営成績に影響を及ぼす可能性があります。また、外貨建債券等については、為替予約等のリスクヘッジを行っておりますが、為替の変動に伴う損失発生の可能性があります。なお、ミャンマーの政変や経済安全保障問題による影響の拡がりについては、現地子会社と緊密な連携をとり、社員の安全を最優先としたうえで事業を継続しておりますが、不確実性が高まっていることから、依然として予断を許さない状況にあると認識しています。 ⑧ 感染症による事業への影響感染症の影響により、国や地方自治体の税収の減少や、予算編成において公共事業費が縮小されることとなった場合や、民間市場におきましても、企業業績の不振に伴い発注量が減少する可能性があります。また海外事業においても、海外への渡航制限や、現地での事業進捗の遅れ等、事業推進に悪影響を及ぼす可能性があります。社内においては、感染者が多数発生した場合、生産効率の低下を招く可能性があります。 ⑨ 成果品瑕疵継続的な社員教育の実施や、生産・販売・管理・開発工程の改善を進め、納品前の社内検査を徹底しておりますが、万一成果品に重大な瑕疵があった場合には、業績に影響を及ぼす可能性があります。このリスクに対応するため、品質経営委員会、生産構造改革委員会を置き、品質管理のオペレーションの適正運用、及び各組織で構築した当該オペレーションの教育状況について、監視を実施しております。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。  ① 財政状態及び経営成績の状況当連結会計年度における世界経済は、世界的な金融引締め等により、依然として先行き不透明な状況が続いております。わが国の経済におきましては、新型コロナウイルス感染症に伴う行動制限は大幅に緩和され、各政策の効果もあり、景気は緩やかに回復しているものの、物価の上昇や金融資本市場の変動等、経済回復に向けて懸念が残る状況で推移しました。建設関連業界に属する当社グループを取り巻く環境におきましては、国土強靭化、脱炭素、DX推進等の重点施策展開に伴い、社会インフラ施設の維持管理や国土基盤情報の整備、防災・減災等に向けた公共投資や、エネルギー関連等の民間投資を受け、市場は順調に推移してまいりました。また、国内公共事業を取り巻く環境は、国土強靭化基本法が改正されたことを受け、継続的・安定的に国土強靱化への取り組みを進めることが可能となり、引き続き堅調に推移するものと予想されます。このような事業環境のもと、当社グループは、長期ビジョンの第３フェーズとなる中期経営計画「明日（あす）を共創（つく）る～Leading for the Future～」の最終年度として、センシング技術を基盤に、「AAS-DX：Asia Air Survey – Digital Transformation」による超スマート社会の実現、国土強靭化・脱炭素社会への対応、及び安全で安心な社会の構築に向けて様々な事業を推進してまいりました。また、気候変動の対応として進めている「脱炭素2030推進プロジェクト」に関して、自社運航機へのバイオジェット燃料（SAF）の利用については継続的に進めており、前期と比べて利用量を増加させることができました。今後も当社はSAFの安定的な調達とともに継続的な利用を進めます。事業活動に伴う使用電力では、前期の新百合本社のグリーン電力への切り替えに続き、福岡支店、八尾運航所についても切り替えを行いました。引き続き、全国の支社、支店及び営業所についても、順次電力のグリーン化を進めます。当社グループのGHG排出量管理については、国際的なイニシアチブである「Science Based Targets（SBT）」の水準で実践し、エコ・ファーストの認証範囲の拡大やGXリーグ、カーボン・クレジット市場等の国内の新たな仕組みの取り入れによって高度化を図ります。また、これらの取り組みについては、TCFD提言に基づくリスクと機会の洗い出しを進め、シナリオ分析を段階的にステップアップさせながら引き続き情報開示に努めます。詳細については当社サステナビリティサイトをご参照ください（https://www.ajiko.co.jp/sustainability/tcfd）。以上の結果、当連結会計年度における業績につきましては、国土強靭化対策や脱炭素関連の取り組みによる官公庁や民間等からの大型受注案件の売上が堅調に推移したことから、受注高は372億９百万円（前連結会計年度比1.0％減）、売上高は373億４百万円（同10.8％増）となりました。利益面におきましては、営業利益は27億46百万円（前連結会計年度は24億65百万円）、経常利益は29億70百万円（前連結会計年度は27億44百万円）、親会社株主に帰属する当期純利益は18億48百万円（前連結会計年度は17億27百万円）となりました。なお、当社グループは、中期経営計画の目標数値として「連結売上高340億円」、「連結営業利益17億円以上」を掲げておりましたが、前述のとおり業績が順調に推移し、目標を大幅に上回り達成いたしました。また、配当性向は30.3％となり、中期経営計画の基本方針における目標を満たしております。 主要な事業区分別の業績は次のとおりであります。なお、当社グループは空間情報コンサルタント事業の単一セグメントであり、セグメント別の記載に代えて事業区分別に記載しております。社会インフラマネジメント事業では、道路分野における３次元測量への対応や計測データの利活用提案、MMS・画像解析技術を活用した路面調査、施設の点検調査等の維持管理業務、またエネルギー関連分野では、送電線の維持管理やレジリエンス強化に関するレーザ計測、陸上風力発電及び洋上風力発電事業に関する事業性検討、環境アセスメント、風況観測等の事業化支援業務について積極的に推進してまいりました。主力である行政支援サービス分野では、政府主導の「デジタル田園都市国家構想」によるデジタル実装や３次元都市モデルの整備、活用、ユースケースを検討する「Project PLATEAU（プラトー）」に積極的に参画しました。ディフェンス＆セキュリティ分野における重要土地の利用状況把握の継続やインフラ施設を把握する調査業務にも対応しました。鉄道分野では、３次元レーザ計測による鉄道ICTソリューション「RaiLisⓇ」により効率的な鉄道インフラの維持メンテナンス及び鉄道防災にも貢献しました。復興分野では、福島県下における原子力災害被災地の除染後の避難指示解除のためのモニタリング、仮置き場の維持管理や再生土利用にかかる環境再生事業等に継続して取り組んでまいりました。その結果、受注高は229億55百万円、売上高は233億53百万円となりました。国土保全コンサルタント事業では、河川・砂防・火山分野において、多発する自然災害の激甚化・広域化に対応するため、防災・減災を目的とした航空レーザ測量、災害リスクの３次元可視化のための都市モデル作成を目的としたハイブリッド航空センサー「CityMapper-2」の導入、施設維持管理の高度化のためのUAV目視外自律飛行の実証実験、高度な計測技術を駆使した土砂災害防止、浸水想定、流域治水の本格的実践等、国土強靭化に係るサービスに取り組んでまいりました。森林分野では、高精度デジタル森林情報の整備を目的とした航空レーザ測量や、林業支援システム・台帳管理システム・木材SCMシステムを軸とした森林情報プラットフォームの構築（森林クラウド）、森林境界明確化や現場調査支援ツール「Forest TrackⓇ」を用いた森林ビジネスを展開してまいりました。環境分野では、衛星画像を用いた深層学習による広域植生の把握、河川環境基図作成や海岸地形の把握を目的とした航空レーザ測深（ALB）、３次元管内図を用いた河川環境の可視化、脱炭素やSDGs社会構築に向けた業務支援に取り組んでまいりました。その結果、受注高は107億38百万円、売上高は100億35百万円となりました。 当連結会計年度末の資産合計につきましては、前連結会計年度末に比較し21億53百万円増加の336億87百万円となりました。これは主として、現金及び預金が25億68百万円増加したことによるものであります。負債合計につきましては、前連結会計年度末に比較し５億30百万円増加の136億66百万円となりました。これは主として、リース債務が３億97百万円増加したことによるものであります。純資産合計につきましては、前連結会計年度末に比較し16億23百万円増加の200億21百万円となりました。これは主として、親会社株主に帰属する当期純利益により18億48百万円増加、配当金の支払いにより５億７百万円減少したことによるものであります。  ② キャッシュ・フローの状況当連結会計年度における現金及び現金同等物（以下「資金」という。）は、前連結会計年度に比べ25億68百万円増加し、当連結会計年度末には80億93百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動により得られた資金は、税金等調整前当期純利益27億75百万円等により、49億13百万円（前連結会計年度は８億78百万円の収入）となりました。（投資活動によるキャッシュ・フロー）投資活動により支出した資金は、有形固定資産の取得による支出11億50百万円等により、18億64百万円（前連結会計年度は16億43百万円の支出）となりました。（財務活動によるキャッシュ・フロー）財務活動により支出した資金は、リース債務の返済による支出５億15百万円等により、４億80百万円（前連結会計年度は７億94百万円の支出）となりました。  ③ 受注及び販売の実績当連結会計年度における受注及び販売の実績を示すと、次のとおりであります。なお、当社グループは空間情報コンサルタント事業の単一セグメントであり、セグメント別の記載に代えて事業区分別に記載しております。 ａ．受注実績 前連結会計年度（自　2021年10月１日　　至　2022年９月30日）当連結会計年度（自　2022年10月１日　　至　2023年９月30日）比較増減事業区分受注高（千円）受注残高（千円）受注高（千円）受注残高（千円）受注高（千円）受注残高（千円）社会インフラマネジメント23,505,97515,419,40622,955,18615,021,356△550,789△398,049国土保全コンサルタント9,800,7865,269,44010,738,1775,972,169937,391702,729その他4,289,9112,578,6233,516,5272,179,685△773,384△398,937合　　計37,596,67423,267,46937,209,89023,173,211△386,783△94,257 ｂ．販売実績 前連結会計年度（自　2021年10月１日　　至　2022年９月30日）当連結会計年度（自　2022年10月１日　　至　2023年９月30日）比較増減事業区分金額（千円）構成比（％）金額（千円）構成比（％）金額（千円）増減率（％）社会インフラマネジメント20,700,81461.423,353,23562.62,652,42112.8国土保全コンサルタント10,796,00132.110,035,44826.9△760,553△7.0その他2,177,3866.53,915,46410.51,738,07879.8合　　計33,674,202100.037,304,148100.03,629,94610.8 (2) 経営者の視点による経営成績等の状況の分析・検討内容当連結会計年度の財政状態、経営成績及びキャッシュ・フローの状況の分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末現在において判断したものであります。  ① 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められる企業会計の基準に準拠して作成しております。この連結財務諸表の作成に当たっては、必要に応じて会計上の見積りを行っております。この会計上の見積りは、過去の実績や現在の状況に応じて合理的に判断しておりますが、見積り特有の不確実性を有しているために実際の結果とは異なる可能性があります。なお、当社グループの連結財務諸表で採用する重要な会計方針、会計上の見積りは「第５　経理の状況　１連結財務諸表等　（１）連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）及び（重要な会計上の見積り）」に記載しております。  ② 経営成績等の分析「(1）経営成績等の状況の概要 ① 財政状態及び経営成績の状況」に記載のとおりであります。  ③ 資本の財源及び資金の流動性についての分析ａ．キャッシュ・フロー「(1）経営成績等の状況の概要 ② キャッシュ・フローの状況」に記載のとおりであります。ｂ．財務政策について当社グループでは2001年６月より資金効率を最大限に高めるようキャッシュ・マネジメント・システム（CMS）を導入しております。また、当社は資金調達の機動性及び長期的な安定性の確保を目的に2020年12月25日付けで、取引金融機関７社との間で80億円の長期コミットメントライン契約（2021年４月～2024年３月）を締結いたしました。当連結会計年度の運転資金及び設備投資資金については内部資金又は短期の借入れにより調達しており、健全な財務状態を維持しております。当社グループの成長を維持するための将来必要な運転資金及び設備投資資金は手許金及び営業キャッシュ・フローにより生み出すことが可能であると考えております。 
経営上の重要な契約等	５【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６【研究開発活動】当社グループの基礎研究、生産性や品質向上のための技術開発、及び新事業展開のための商品開発は、社会基盤システム開発センターを中心とする各技術部門で実施しており、全社事業戦略に基づく開発課題に対し重点的に研究開発活動を行いました。特に、当社が掲げるAAS-DXを推進するための基盤技術として、３次元空間情報をAI等により効率的に生産する生産構造改革や、３次元データの可視化及びリアルとバーチャルを融合させるAR（仮想現実）・MR（複合現実）のシステム開発に注力したほか、衛星画像の超解像度化や干渉SAR時系列解析といった新たな取り組みにもチャレンジし、成果を上げ始めています。そのほか、大学やパートナー企業とのオープンイノベーション促進により、３次元空間情報技術の向上や各事業独自のDX推進にも精力的に取り組んでおります。当連結会計年度における研究開発費は406,179千円で、主な研究開発は次のとおりであります。なお、当社グループは空間情報コンサルタント事業の単一セグメントであるため、セグメント別の記載は省略しております。 （研究開発）（1）主力ソフトウエアの開発・強化　当社の主力商品の開発では、近年のクラウドサービス化への市場対応力の強化を目的に、次世代Webシステム「ALANDIS+」を開発しております。行政支援サービスにおけるより細かいニーズに対応するため、「ALANDIS+」の追加機能開発、操作性向上開発に取り組んだほか、森林分野やエネルギー関連分野に対応した機能開発にも取り組みました。さらに、今後活用が進む３次元都市モデルや点群データなどの３次元データのプラットフォームとして、３次元対応版の開発にも取り組みました。（2）３次元空間情報技術の向上　データ生産性の向上や新しいセンシング技術の事業開拓を目標として、点群データの自動フィルタリング技術や、点群データの種別（道路、建物、樹木、電線、鉄塔等）を自動認識する深層学習アルゴリズムの開発、AR/MRを利用した可視化・情報共有システムの開発、設備のロボット点検技術の開発、AIによる中高解像度衛星画像の超解像度化、干渉SARの時系列データによる地盤変動解析等の研究開発に取り組みました。またオープンイノベーション促進の一環として、点群の新たな分野での利活用に関する技術開発や、映像による人物トラッキング技術の開発等を実施しました。（3）事業関連のDX推進　５大事業である行政支援、流域マネジメント、エネルギー、道路、森林の各分野、及び環境、鉄道ではアクションプランに則り、事業分野ごとに今後のDXを推進（AIを活用した劣化予測や簡易診断などのインフラマネジメント、デジタルツイン利活用検討、ブルーカーボン評価手法開発災害対応の高度化、生産効率化手法検討など）するための研究・開発にも取り組みました。
設備投資等の概要	１【設備投資等の概要】当社グループは、市場の競争激化に対して事業基盤をより強固にするため、生産性及び品質の向上、技術競争力の強化を推進し、「空間情報コンサルタント」として、顧客から高い信頼と満足を得るサービスを提供するため有形固定資産1,328,325千円、無形固定資産747,417千円、合計2,075,742千円の設備投資を行いました。なお、当社グループは空間情報コンサルタント事業の単一セグメントであるため、セグメント別の設備の状況の記載はしておりません。 
主要な設備の状況	２【主要な設備の状況】(1）提出会社2023年９月30日現在 事業所名（所在地）事業内容設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械及び装置土地(面積㎡)リース資産その他合計東北・北海道地区受注販売生産管理業務作業所及び事務所20,03922136,320(1,157)4,28124,47185,334125[47]関東地区188,31814,96841,727(669)2,018,2822,449,4774,712,773704[240]中部地区12,32626－5,60120,79338,748110[25]関西地区23,2541,919－38,26986,928150,371231[85]九州地区14,18749185,387(700)8,52027,059235,20494[33]合計  －  －258,12617,185263,434(2,526)2,074,9552,608,7295,222,4311,264[430]（注）１．帳簿価額のうち「その他」は、航空機、ソフトウエア、車両運搬具及び工具器具備品等であります。２．現在休止中の主要な設備はありません。３．従業員数の［　］は臨時従業員を外数で記載しております。４．上記の他、土地及び建物の一部を賃借しており、年間賃借料は1,044,725千円であります。 (2）国内子会社2023年９月30日現在 事業所名（所在地）事業内容設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械及び装置土地(面積㎡)リース資産その他合計東北・北海道地区受注販売生産管理業務作業所及び事務所36,41411,165－54,45764,854166,89196[96]関東地区9601,603－8,45612,96623,98758[82]中部地区152,500341188,100(3,738)7,12815,079363,14986[40]関西地区2,07916,895－－52,11271,08682[82]合計  －  －191,95430,005188,100(3,738)70,042145,013625,115322[300]（注）１．帳簿価額のうち「その他」は、ソフトウエア、車両運搬具及び工具器具備品等であります。２．東北・北海道地区は、関係会社の状況で表示している㈱ユニテック、㈱タックエンジニアリング、㈱アドテックの３社であります。３．関東地区は、関係会社の状況で表示している㈱プライムプラン、サン・ジオテック㈱の２社であります。４．中部地区は、関係会社の状況で表示している㈱村尾技建、㈱テクノス、㈱エコロジーサイエンス、㈱中部テクノスの４社であります。５．関西地区は、関係会社の状況で表示している㈱ジオテクノ関西、㈱四航コンサルタントの２社であります。６．現在休止中の主要な設備はありません。７．従業員数の［　］は臨時従業員を外数で記載しております。８．上記の他、土地及び建物の一部を賃借しており、年間賃借料は89,676千円であります。 (3）在外子会社2023年９月30日現在 事業所名（所在地）事業内容設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械及び装置土地(面積㎡)リース資産その他合計ミャンマー連邦共和国受注販売生産管理業務作業所及び事務所2,9765,566－－1,67310,21650[4]（注）１．帳簿価額のうち「その他」は、ソフトウエア、車両運搬具及び工具器具備品等であります。２．ミャンマー連邦共和国は、関係会社の状況で表示しているAsia Air Survey Myanmar Co., Ltd.の１社であります。３．現在休止中の主要な設備はありません。４．従業員数の［　］は臨時従業員を外数で記載しております。５．上記の他、土地及び建物の一部を賃借しており、年間賃借料は3,122千円であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式40,000,000計40,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数(株)（2023年９月30日）提出日現在発行数(株)（2023年12月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式18,614,00018,614,000東京証券取引所スタンダード市場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計18,614,00018,614,000－－  
