項目	値
事業の内容	
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	３【経営上の重要な契約等】(固定資産の譲渡）当社は、2018年８月17日開催の取締役会において、下記のとおり固定資産を譲渡することについて決議し、2018年８月29日に不動産売買契約を締結しております。 （１）譲渡の理由当社グループの経営効率の向上の観点から当社の資産保有の見直しを図るなかで、当社グループ及び譲渡先の双方にとって、経済合理性に十分に適う条件で協議が整ったため、当社本社ビルを譲渡することといたしました。 （２）譲渡資産の内容資産の内容及び所在地帳簿価額譲渡価額譲渡益（特別利益）現況土地及び建物東京都港区芝三丁目14番４号885,619千円1,500,000千円520,780千円当社本社ビル（注）１．帳簿価額は、譲渡資産の引渡予定日を踏まえ、2019年３月31日時点の価額を記載しております。なお、当該引渡予定日は繰り上がる可能性があります。２．上記の譲渡益は、譲渡に係る費用等の見込額を控除した概算額を記載しております。 （３）譲渡先の概要譲渡先は、国内法人１社であります。譲渡先の要請及び契約の取り決めにより譲渡先の概要の開示は控えさせていただきます。なお、譲渡先と当社との間には、特記すべき資本関係、人的関係及び取引関係は無く、また、譲渡先は当社の関連当事者には該当いたしません。 （４）物件引渡日2019年３月29日（予定） （５）特別利益の計上当該固定資産の譲渡に伴う譲渡益約520,780千円は、2019年３月期連結決算において「固定資産売却益」として特別利益に計上する予定です。  
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式20,000,000計20,000,000
発行済株式、株式の総数等	②【発行済株式】種類第２四半期会計期間末現在発行数（株）（2018年９月30日）提出日現在発行数（株）（2018年11月７日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,353,0455,353,045東京証券取引所市場第二部単元株式数100株計5,353,0455,353,045－－(注)　発行済株式のうち1,736,065株は、現物出資(金銭債権　2,683,645千円)によるものであります。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
