項目	値
事業の内容	２【事業の内容】　当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。  
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第１四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。なお、当社は、前第１四半期連結累計期間については四半期連結財務諸表を作成していないため、前年同四半期連結累計期間との比較分析は行っておりません。 (1）経営成績の状況　当社は、「人が活きる、人を活かす。～人的資本の最大化・最適化・再配置～」をミッションとし、「事業を通じて、新しい価値を創造し、すべての人が活き活きと働く社会創りをめざします。」をビジョンとして掲げております。　近年、グローバル競争の激化、テクノロジーの進展、人口減少といった環境変化のなかで、社会の課題解決と新しい価値やイノベーションの創出が求められております。そのためには、人材を資源（Human Resources）より資本（Human Capital）と捉え、不足、偏在するコンサルタントなどの高いレベルの専門性と能力を持った人材を最適配置し、企業や社会の課題解決、価値創造を推進することで、その価値がシェアされ循環し続けてゆくことが必要とされております。当社グループは、そのような変化に対応し、持続可能な未来に新しい企業価値を提供していくために、コーポレートステートメント「あらゆる課題は、人で解決する。」のもと、課題の発見、解決、価値創造に答えるべく、コンサルタントなどのハイエンド人材領域の人材紹介及びスキルシェア推進による経営・事業課題の解決支援を提供しております。　当第１四半期連結累計期間における我が国経済は、コロナ禍からの社会経済活動の正常化が進み、緩やかな回復の動きが見られました。一方で、国際情勢の緊迫化、物価上昇、金融資本市場の変動リスクなどにより、先行き不透明な状況が続いております。　当社グループの主要顧客が属するコンサルティング業界においては、企業のＤＸ（デジタルトランスフォーメーション）に向けたコンサルティング需要が、企業の全社的な変革や中長期の戦略に組み込まれるなど引き続き堅調に推移しており、ハイエンド人材に対する需要も底堅く推移しております。他方、大手コンサルティングファームを中心に、これまでコンサルティング需要の拡大に伴い採用を続けてきた若手層に調整が入り、厳選採用の傾向が強くなりつつある一方で、マネージャー以上については人材が不足し採用意欲が旺盛となるなど、各社の人材需要に変化が見られております。当社グループは、これらの変化に対し、当年度後半からの効果発現の本格化を見据え、マネージャー以上への対応力強化をはじめ、ハイエンド人材の需要を広く取り込むべく営業機能の強化等を進めております。　このような状況のもと、当第１四半期連結累計期間における当社グループの売上高は1,036,625千円となりました。利益面につきましては、人員増強に伴う人件費の増加等により、営業利益は169,392千円、経常利益は170,087千円、親会社株主に帰属する四半期純利益は103,830千円となりました。　なお、当社グループはヒューマンキャピタル事業の単一セグメントでありますが、サービス別の状況は次のとおりであります。 　人材紹介につきましては、コンサルティングファームのマネージャー以上に注力していた案件を将来のビジネス成長に向けてリバランスするため、前年度後半から若手層への取り組みを進めてきた効果により、当第１四半期の入社決定人数はコンサルティングファームの若手層を中心に前年同期比で大幅に増加しました。平均売上単価については、比較的年収水準の低い若手層の割合が増加したことにより、前年同期を下回りました。これらにより、売上高は706,284千円となりました。　スキルシェアにつきましては、「フリーコンサルBiz」が、主要顧客であるコンサルティングファームのニーズが変化するなか、フォロー体制を整備して対応を図ったものの競合激化の影響もあり、売上高は330,340千円となりました。なお「コンパスシェア」は、キャンペーン施策の実施など、現役コンサルタントの登録シェア拡大に向けて着実に進捗しております。  （参考）各サービスの指標  2023年６月期第１四半期実績2024年６月期第１四半期実績増減率人材紹介入社決定人数（人）（注１）15519022.6％フリーコンサルBiz稼働人数（人）（注２）195189△3.1％（注）１．求職者が求人企業に入社後一定期間内に自己都合により退職した場合、紹介手数料の一部を返金する契約を締結しておりますが、当該返金対象となった場合も入社決定人数に含めております。なお、人材紹介（正社員採用サービス）の一部取引について外部提携する場合がありますが、当該提携先で決定した場合は、入社決定人数に含めておりません。　　　２．フリーコンサルタントの月次の稼働人数の合計となります。  (2）財政状態に関する説明　当第１四半期連結会計期間末における流動資産は3,171,044千円となり、前連結会計年度末に比べ178,509千円減少いたしました。これは主に、現金及び預金が314,869千円減少した一方で、売掛金が116,195千円増加したことによるものです。固定資産は183,836千円となり、前連結会計年度末に比べ35,529千円増加いたしました。これは主に、差入保証金が35,554千円増加したことによるものです。この結果、資産合計は3,354,880千円となり、前連結会計年度末に比べて142,979千円減少いたしました。 　当第１四半期連結会計期間末における流動負債は546,531千円となり、前連結会計年度末に比べ221,964千円減少いたしました。これは主に、従業員賞与の支出等により未払費用が136,852千円減少及び未払法人税等が74,370千円減少したことによるものです。固定負債は49,466千円となり、前連結会計年度末に比べ25,366千円減少いたしました。これは主に、長期借入金が24,857千円減少したことによるものです。この結果、負債合計は595,997千円となり、前連結会計年度末に比べ247,330千円減少いたしました。 　当第１四半期連結会計期間末における純資産合計は2,758,883千円となり、前連結会計年度末に比べ104,350千円増加いたしました。これは主に、親会社株主に帰属する四半期純利益の計上により利益剰余金が103,830千円増加したことによるものです。 (3）会計上の見積り及び当該見積りに用いた仮定前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (4）経営方針・経営戦略等当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 (5）優先的に対処すべき事業上及び財務上の課題当第１四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (6）研究開発活動当第１四半期連結累計期間の研究開発費の総額は4,303千円であります。なお、当第１四半期連結累計期間において、当社グループの研究開発活動の状況に重要な変更はありません。   
経営上の重要な契約等	３【経営上の重要な契約等】　当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。  
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式16,080,000計16,080,000 
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年11月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式4,922,4604,952,010東京証券取引所グロース市場完全議決権株式であり、株主としての権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株となっております。計4,922,4604,952,010－－（注）提出日現在発行数には、2023年11月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。  
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】　該当事項はありません。  
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
