項目	値
事業の内容	 ２ 【事業の内容】当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。主要な関係会社の異動は次のとおりです。＜再生可能エネルギー発電事業＞当第１四半期連結会計期間において、ユナイテッドリニューアブルエナジー株式会社の持株会社である千秋ホールディングス株式会社を新たに設立したため、連結の範囲に含めています。また、当第１四半期連結会計期間において、ユナイテッドリニューアブルエナジー株式会社に対する議決権比率が増加し、当社グループが同社の議決権の過半数を保有することとなったため、同社を持分法適用関連会社から、連結の範囲に含めています。なお、ユナイテッドリニューアブルエナジー株式会社は当社の特定子会社に該当しています。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	当社は、2017年７月６日開催の取締役会決議に基づき、当社及びユナイテッド計画株式会社（以下、「ユナイテッド計画」といいます。）による共同新設分割により千秋ホールディングス株式会社（以下、「千秋HD」といいます。）を設立し、当社及びユナイテッド計画が保有し、秋田県でバイオマス発電事業（以下、「本件事業」といいます。）を行うユナイテッドリニューアブルエナジー株式会社（以下、「URE」といいます。）の普通株式及び本件事業に係る契約上の地位及び権利義務を千秋HDに承継させること（以下、「本会社分割」といいます。）、並びに当社がユナイテッド計画から千秋HDの持分6.6％を94百万円で譲り受けること（以下、「本株式譲渡」といいます。）について契約を締結いたしました。本会社分割及び本株式譲渡は、2017年７月７日に行っています。詳細につきましては、「第４　経理の状況　１　四半期連結財務諸表　注記事項（企業結合等関係）」をご参照ください。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数（株）普通株式70,200,000計70,200,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第１四半期会計期間末現在発行数（株）（2017年８月31日）提出日現在発行数（株）（2017年10月11日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式18,383,10018,383,100東京証券取引所（マザーズ）完全議決権株式であり、権利内容に何ら制限のない当社における標準となる株式です。なお、単元株式数は100株です。計18,383,10018,383,100－－ （注）　「提出日現在発行数」欄には、2017年10月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれていません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
