項目	値
事業の内容	 ３ 【事業の内容】当社グループ(当社、連結子会社26社、持分法適用関連会社６社、持分法非適用関連会社２社)が営んでいる主な事業内容と、各関係会社等の当該事業に係る位置づけは次のとおりであります。〔ガス〕当社は、ガスの供給、販売及びＬＮＧ(液化天然ガス)の販売を行っております。下田ガス㈱、信州ガス㈱、佐渡ガス㈱の連結子会社３社は、ガスの製造、供給、販売を行っております。吉田ガス㈱(連結子会社)は、ガスの供給、販売を行っております。袋井ガス㈱、中遠ガス㈱、御殿場ガス㈱、島田ガス㈱の連結子会社４社は、当社からガスの卸供給を受けて、ガスの供給、販売を行っております。清水エル・エヌ・ジー㈱(連結子会社)は、当社からＬＮＧ及びＬＰＧを仕入れてガスの製造を行い、当社に販売しております。なお、当社と清水エル・エヌ・ジー㈱との取引の概要は次のとおりであります。①　当社は、都市ガスの原料となるＬＮＧを輸入し、清水エル・エヌ・ジー㈱に譲渡しております。②　清水エル・エヌ・ジー㈱は、当社から仕入れたＬＮＧを主原料として製品ガス(都市ガス)を製造し、全量を当社に販売しております。南富士パイプライン㈱(持分法非適用関連会社)、静浜パイプライン㈱(持分法適用関連会社)は、当社から委託を受けて、ガスの輸送を行っております。南遠州パイプライン㈱(持分法非適用関連会社)は、当社からガスの卸供給を受けて、ガスの供給、販売を行っております。SHIZUOKA GAS TRADING PTE.LTD.(連結子会社)は、当社のＬＮＧトレーディングにおけるフロントオフィス業務を担い、マーケット調査を行っております。 〔ＬＰＧ・その他エネルギー〕静岡ガスエネルギー㈱(連結子会社)は、ＬＰＧの販売及びこれに付随する機器販売並びに配管工事を行っております。なお、同社は、当社及び吉田ガス㈱、下田ガス㈱、信州ガス㈱、佐渡ガス㈱、袋井ガス㈱、中遠ガス㈱、島田ガス㈱にＬＰＧを卸販売しております。当社及び吉田ガス㈱、下田ガス㈱、信州ガス㈱、佐渡ガス㈱、袋井ガス㈱、中遠ガス㈱、島田ガス㈱は、附帯事業として、ＬＰＧの販売(一部簡易ガス事業を含む)を行っております。当社は、オンサイト・エネルギーサービス事業(注)を行っております。(注)　従来お客さまが自ら設置していたエネルギー設備(コージェネレーションシステム・空調熱源等)をお客さまに代わって当社がお客さま事業所内に設置し、その設備を運転して発生した電気・熱エネルギーをお客さまに販売する事業。 静岡ガス＆パワー㈱(連結子会社)は、電力の販売を行っております。なお、同社は、当社からガスの仕入れをしており、当社に電力を販売しております。㈱SG・Bang Bo パワーホールディング(連結子会社)は、タイ国で電力の卸販売を行っているEastern Power and Electric Company Limited(持分法適用関連会社)の株式を保有しております。 〔その他〕当社及び吉田ガス㈱、下田ガス㈱、信州ガス㈱、佐渡ガス㈱、袋井ガス㈱、中遠ガス㈱、御殿場ガス㈱、島田ガス㈱は、ガス配管工事の施工及びガス機器の販売を行っております。静岡ガス・エンジニアリング㈱(連結子会社)は、ガス設備の保全、ガス工事及び空調工事等を行っております。なお、同社は、主に清水エル・エヌ・ジー㈱のガス設備の保全のほか、当社が発注するガス工事等を行っております。静岡ガスリビング㈱(連結子会社)は、ガス・火災警報器の販売及びリフォーム事業等を行っております。なお、同社は、当社に住設機器等を販売しております。静岡ガスサービス㈱(連結子会社)は、主に静岡ガスエネルギー㈱のＬＰＧの配送のほか、当社のＬＮＧの輸送等を行っております。静岡ガスクレジット㈱(連結子会社)は、リース業務等を行っております。なお、同社は、当社に車両、ＯＡ機器等をリースしております。静岡ガス・システムソリューション㈱(連結子会社)は、当社の情報処理及びシステム開発をしております。静岡ガス保険サービス㈱(連結子会社)は、保険代理業を行っております。エネリア静岡㈱、エネリア東部㈱の連結子会社２社は、ガス機器の販売及びリフォーム事業等を行っております。なお、当社は、同社にガス配管工事及び保安業務の委託等を行っております。以上述べた事項を事業系統図によって示すと、次のとおりであります。
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 当社グループを取り巻く環境は、人口減少や少子高齢化、カーボンニュートラル、デジタル化の進展などが大きな潮流となる中、自由化による電力・ガスの競争激化、災害の激甚化、サステナビリティに対する社会的要請の高まりなど、大きく変化しています。　このような事業環境において、当社グループは、持続可能なくらしやすい地域の実現に向け、「2030年ビジョン」に掲げた地域共創を具現化するため、「都市ガス・LPG事業」、「電力・再エネ事業」、「くらしサービス・エンジニアリングサービス事業」、「海外事業」を軸に、以下の取り組みを進めてまいります  ①基盤事業の継続的成長　基盤事業である都市ガス事業およびLPG事業では、引き続き「安全・安心」を第一に保安の確保、安定供給に努めるとともに、天然ガスの普及拡大、顧客基盤の拡大を進めていきます。保安の確保、安定供給については、製造・供給設備への継続的なレジリエンス投資を進めるとともに、デジタル技術を活用した保安業務の効率化、高度化を図り、地域のレジリエンス向上に貢献していきます。LNG調達については、都市ガスの需要変動リスク、地政学的要因などに伴うLNG市場の価格高騰リスクが依然として残る中、他社との連携などによりLNG需給バランスの最適化を追求していきます。また、エネルギーの高度利用、省エネの推進、カーボンニュートラル都市ガスの販売などを通して、お客さまとともに低炭素化やカーボンニュートラル化を推進してまいります。 ②新たな成長事業の確立　電力・再エネ事業では、デマンドレスポンスサービスや省エネ診断、環境価値の活用などを通じてお客さまのニーズにお応えしながら、顧客基盤を拡大していきます。また、ガスエンジン増設工事が完了した富士発電所を活用し、電力の安定供給に加えて、調達コストの低減化、平準化を推進していきます。再生可能エネルギー電源開発においては、太陽光発電やバイオマス発電を中心に電源開発に積極的に取り組んでまいります。　くらしサービス事業では、ガス機器・リフォームなどの住宅設備関連事業を確実に伸長させていくとともに、お客さまのライフステージにあわせた商材やサービスの創出、提案を進めてまいります。　エンジニアリングサービス事業では、コージェネレーションやIoTを活用したエネルギーサービスの拡大などにより、省エネ、省CO2を推進していきます。また、太陽光発電設備のメンテナンスをはじめとした事業領域の拡大にも積極的に取り組んでまいります。　海外事業では、東南アジア・インドなどを中心に、国内で培った技術力やノウハウを活用した天然ガスシフト、エネルギーの高度利用を推進するとともに、それぞれの地域に適した再生可能エネルギーの開発にも取り組んでいきます。また、カーボンクレジットの創出・調達により、グローバルでのCO2削減にも貢献してまいります。　　デジタル分野では、データとデジタル技術などの活用により新たな価値を提供し、地域課題の解決にも挑戦してまいります。 ③経営基盤の強化　各事業の持続的な成長に向け、より高度なガバナンス体制やリスク管理体制の確立、DX（デジタルトランスフォーメーション）による業務高度化・効率化、人材の育成や多様化など、経営基盤の強化に取り組んでまいります。　グループの成長を支える「人」については、人材育成プログラムの高度化やリスキリング教育の強化などを進め、社員が主体的に成長できる環境を整備することで、基盤事業を担う人材とともに、成長事業やデジタル分野を牽引し新たな価値を創出できる人材の育成に注力していきます。あわせて、社員の積極的なチャレンジを生み出す組織風土改革や人事制度の見直しにも取り組んでまいります。　加えて、資本市場の要請に対応していくため、事業の成長と資本効率の向上を両立するとともに、非財務情報の開示や市場との対話を充実させ、資本市場における当社グループの企業価値を高めていく取り組みを進めてまいります。  　また、植林活動をはじめとした地域貢献活動にもグループを挙げて積極的に参加し、取り組んでいく所存です。引き続き、地域の皆さまとともに地域社会の持続的な発展に向けて取り組んでまいります。
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは以下のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1) 原料調達における不測の事態当社が購入するＬＮＧは、全量を海外から輸入しております。原料輸入先でのトラブル、あるいはＬＮＧ船の運行上でのトラブル等、原料調達における不測の事態の発生によっては、当社グループのガス供給・ガス販売に影響を与える可能性があります。このため、ＬＮＧ供給源の多様化を進め、リスクの低減に努めております。 (2) 自然災害地震、台風、津波等の大規模な自然災害により、当社グループ及びお客さまの設備に広範な被害が発生した場合は、当社グループの業績に影響を与える可能性があります。このため、当社は自然災害に対する主要ガス設備の強靭化を図るとともに、非常事態体制の整備、事業継続計画(BCP:Business Continuity Plan) の策定や、自家発電設備の整備等により、災害の影響を最小限に止める対策を実施しております。 (3) 都市ガスの製造・供給における不測の事態連結子会社である清水エル・エヌ・ジー㈱の都市ガス製造における不測の事態の発生、あるいは当社において都市ガス供給に伴う大規模な漏洩・爆発事故等が発生した場合には、当社グループのガス供給に影響を与え、さらには社会的責任の発生等の損害が生じる可能性があります。また、当社の都市ガス供給エリア内で不測の大規模停電が発生し、系統電源からの電力供給が停止した場合には、ガスの製造・供給設備の状況によっては都市ガスの供給に支障を及ぼす可能性があります。このため、供給支障事故に備えた非常災害対策を策定するとともに、定期的な訓練に取り組んでいます。また、電力供給が停止した場合には、自家用発電設備を稼働するなど、緊急時の対策を実施します。 (4) 原料価格当社は、長期契約等によるＬＮＧ調達を行います。これら長期契約等における価格体系の変更により、当社が調達するＬＮＧ価格がガス料金の決定に際して使用する原料価格の水準と異なる場合は、業績に影響を与える可能性があります。このため、かかる水準との差異を最小化するよう、ＬＮＧの売主との価格見直し等を進めてまいります。 (5) 原料費調整制度ガス料金は、原料費調整制度(原料価格の変動に伴いガス料金を調整する制度)に基づき決定いたします。このため、ガス料金の決定に際しては、ガスの原料となるＬＮＧ価格及びプロパン価格が影響を及ぼします。ＬＮＧ価格及びプロパン価格は、原油価格及び為替相場の変動による影響を受けますが、原料価格の変動は、原料費調整制度に基づきガス料金に反映されるため、その影響は相殺され限定的になります。ただし、原料価格の変動がガス料金に反映されるまでのタイムラグにより、原料価格の変動が異なる決算期のガス料金に反映される場合は、業績に影響を与える場合があります。 (6) 気温、水温の変動及び業績の季節的変動当社グループの主たる事業であるガスの販売は、気温や水温の変動により影響を受けるため、当社グループの業績に影響を与える可能性があります。また、ガスの販売量及び売上高は冬季に増加し、夏季に減少する傾向にあるため、当社グループの利益は上半期に偏る傾向にあります。  (7) 競合激化電力会社など他エネルギーとの競合激化や自由化の進展による競合激化により、当社グループの経営成績に影響を与える可能性があります。このため、当社グループは、安心・安全・安定供給をベースに、環境性やレジリエンス性向上への取り組み、快適な生活をお送りいただくための新たな料金メニューやくらしサービスの展開、お客さまや地域社会のさまざまな課題を解決すべく、従来からのリアル接点に加えてデジタル接点を活用していくなど、競争激化の中でもお客さまや地域社会との信頼関係強化に努めていきます。 (8) 取扱商品・サービス等の品質に関するトラブル当社グループ及び委託先が取り扱う商品・サービス等に関する品質にトラブルが発生した場合、対応に要する費用の支出や社会的信用の低下等により、業績に影響を及ぼす可能性があります。このため、当社グループは定期保安巡回の確実な実施によりガス機器の安全利用や事故防止に努め、また、お客さまサービス拠点「エネリア」を中心にお客さま宅への積極的な訪問を実施し、商品やサービスに関してのお困りごとなどの把握から、トラブルを未然に防止することに努めております。 (9) 金利情勢の変動新たな資金調達に際しては、金利情勢の変動により、当社グループの業績に影響を与える可能性があります。ただし、当社グループの有利子負債のほとんどを固定金利で調達しており、当社グループへの影響は限定的であります。 (10) コンプライアンス違反法令、約款、若しくは企業倫理や社会的規範に反する行為が発覚した場合、社会的な責任を含めて有形無形の損害が発生する可能性があります。このため、静岡ガスグループ行動基準を定めコンプライアンスの徹底に努めるとともに、コンプライアンス委員会を設置し、同委員会の策定する基本方針に基づき、当社グループ全体でコンプライアンス向上の取り組みを推進しております。 (11) 情報漏洩当社グループで管理しているお客さまの情報が外部へ漏洩した場合、その対応や当社グループの信用の失墜等により、有形無形の損害が発生する可能性があります。そのため、個人情報保護に関する規程、情報管理に関する規程を制定し全従業員に対して情報管理に対する教育を実施する等、情報漏洩の対策を推進しております。さらに、サイバー攻撃に対する各種セキュリティ対策を行うとともに、事案発生時の対応訓練などを継続的に実施しております。 (12) 基幹ＩＴシステムの停止・誤作動ガスの製造・供給やお客さま受付、料金に関する基幹的なＩＴシステムに、停止・誤作動等のトラブルが発生した場合は、当社グループの業績および事業継続に影響を与える可能性があります。このため、各種機器は耐障害性・耐災害性に優れたデータセンターへ設置するとともに、機器および通信の冗長化やデータのバックアップなど、システムの安定稼動に必要な対策を実施しております。 (13) 法令・制度やエネルギー政策の変更ガス事業法、電気事業法等の各種法令や制度、国のエネルギー政策が変更された場合は、当社グループの業績に影響を与える可能性があります。 (14) 感染症の流行による影響新型コロナウイルス感染症や新型インフルエンザ等の感染症が拡大した場合、当社グループの業績に影響を与える可能性があります。このため、事業継続計画の策定や非常事態対応体制の整備等、影響を最小化する対策を実施しております。 (15) 投資未回収当社グループは、案件ごとに収益性やリスク等の評価を行い、総合的な経営判断のもとに投資を決定しております。国内外の経済情勢の変化等により、投資が適切に回収できない場合、当社グループの業績に影響を与える可能性があります。 （16）気候変動、脱炭素カーボンニュートラルに向けた動きが広がることによる新たな環境規制や制度の導入等により追加的な対応コストの増加が発生した場合、当社グループの業績や財務状況に影響を及ぼす可能性があります。当社グループは、気候変動問題に伴う規制の変更や将来的な脱炭素社会の実現に向け公表した「静岡ガスグループ2050年カーボンニュートラルビジョン」に則り、2030年に向けて「お客様先・地域全体でのエネルギー高度利用と省エネ推進」「ガス・電気のカーボンニュートラル化」「CO2吸収と利用」に取り組んでまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度(以下、当期という。)における当社グループの財政状態、経営成績及びキャッシュ・フロー(以下、「経営成績等」という。)の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりです。なお、将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1) 経営成績当期におけるわが国の経済は、新型コロナウイルス感染症の５類感染症移行に伴い経済活動が正常化した一方、エネルギー価格の高騰や円安による物価上昇、海外経済の減速などにより、先行き不透明な状況が続きました。エネルギー業界におきましては、カーボンニュートラル実現に向けた取り組みが進む中、業種や地域の垣根を越えた競争が激化するとともに、ロシアによるウクライナ侵攻の長期化やハマス・イスラエル間の武力衝突など地政学的リスクの影響により、安定供給の重要性が一層高まるなど、当社グループを取り巻く環境は厳しさを増しました。このような状況のもと、当社グループは、地域の皆さまとともに様々な課題を解決することで、持続可能なくらしやすい地域をつくる「地域共創」の実現を目指し、ガスを中心とした基盤事業の他、くらし・エンジニアリングサービスや再生可能エネルギー、海外事業などの分野に積極的に取り組んでまいりました。当期における当社グループの連結売上高は、前連結会計年度(以下「前期」という)に比べ3.2％増の214,004百万円となりました。当社グループにおける売上高の大半を占めるガス事業の売上高は、原料費調整制度によるガス販売単価の上方調整などにより、前期に比べ2.4％増の177,629百万円となりました。なお、ガス販売量については、前期に比べ6.8％減の1,558百万㎥となりました。ＬＰＧ・その他エネルギー事業の売上高は、電力事業において燃料費調整制度による販売単価の上方調整があったものの、LPG事業における販売量の減少などにより、前期に比べ1.9％減の27,168百万円となりました。設備工事、受注工事及びガス機器販売等のその他の事業の売上高は、設備工事の売上が増加したことなどにより、前期に比べ27.9％増の20,328百万円となりました。 売上原価は、前期に比べ1.9％減の166,436百万円となり、供給販売費及び一般管理費は、前期に比べ0.6％増の29,227百万円となりました。 この結果、営業利益は前期に比べ112.5％増の18,340百万円となりました。 営業外損益は、匿名組合投資利益の計上などにより、前期に比べ862百万円の増益要因となりました。 この結果、経常利益は前期に比べ111.4％増の20,064百万円となりました。 以上により、税金等調整前当期純利益は20,064百万円となり、これから法人税等や非支配株主に帰属する当期純利益を差し引き、親会社株主に帰属する当期純利益は前期に比べ136.1％増の14,107百万円となりました。  セグメントの経営成績は、次のとおりであります。 ①　ガスお客さま数（取付メーター数）は、新築市場および既存市場において新規のお客さまの獲得に努めたことなどから当期中に441戸増加し、期末現在で361,060戸となりました。ガス販売量は、前期に比べ6.8％減の1,558百万㎥となりました。用途別では、家庭用は、節約志向の高まりに加え、気温が夏場以降高めに推移し給湯需要が減少したことなどにより、前期に比べ6.6％減の86百万㎥となりました。業務用（商業用・公用および医療用）は、空調および給湯需要減少の影響などにより、前期に比べ3.2％減の75百万㎥となりました。工業用は、発電向け需要の減少や、お客さま設備の稼働減少の影響などから、前期に比べ10.2％減の759百万㎥となりました。卸供給は、前期に比べ3.0％減の638百万㎥となりました。  当期前期増減増減率(％)お客さま数戸361,060360,6194410.1ガス販売量家庭用百万㎥8692△6△6.6業務用〃7577△2△3.2工業用〃759845△86△10.2卸供給〃638658△20△3.0合計〃1,5581,672△114△6.8 (注) １　「お客さま数」は、期末取付メーター数を記載しております。２　「お客さま数」には、卸供給先のお客さま数は含みません。 売上高は、原料費調整制度によるガス販売単価の上方調整などにより、前期に比べ2.4％増の177,629百万円となりました。セグメント利益(営業利益)は主に売上高の増加に伴い前期に比べ112.7％増の19,261百万円となりました。 ②　ＬＰＧ・その他エネルギー電力事業において燃料費調整制度による販売単価の上方調整があったものの、LPG事業における販売量の減少などにより、売上高は前期に比べ1.9％減の27,168百万円となり、セグメント利益(営業利益)は同14.9％減の1,296百万円となりました。 ③　その他設備工事、受注工事およびガス機器販売などのその他の事業の売上高は、設備工事の売上が増加したことなどにより設備工事、受注工事およびガス機器販売などのその他の事業は、設備工事売上の増加等により、売上高は前期に比べ27.9％増の20,328百万円となり、セグメント利益(営業利益)は同5.0％増の1,004百万円となりました。 (注) １　上記セグメント別の業績数値には、セグメント間の内部取引を含んでおります。２　本報告書でのガス量は、すべて１㎥当たり45MJ(メガジュール)換算で表示しております。  (2) 生産、受注及び販売の実績当社グループにおいては、当社及び連結子会社が営むガスセグメントが、生産、受注及び販売活動の中心となっております。このため、以下はガスセグメントについて記載しております。 ①　生産実績ガスの生産実績は次のとおりであります。 区分当連結会計年度(2023年１～12月)生産量(百万㎥)前期比(％)ガス1,57092.8 (注)　ガス量は１㎥当たり45MJ換算し、表示単位未満を四捨五入しております。 ②　受注実績ガスについては、その性質上、受注生産は行っておりません。 ③　販売実績ガスは、導管を通じて直接お客さまに販売しております。また、他のガス事業者に卸供給をしております。 区分当連結会計年度(2023年１～12月)数量(百万㎥)前期比(％)金額(百万円)前期比(％)ガス販売実績家庭用8693.421,700103.0業務用その他1,47293.2150,194102.6計1,55893.2171,895102.6お客さま数361,060戸100.1 (注) １　「お客さま数」は、期末取付メーター数を記載しております。２　「お客さま数」には、卸供給先のお客さま数は含みません。３　販売量は１㎥当たり45MJ換算し、表示単位未満を四捨五入しております。４　上記数値は、セグメント間の内部取引を含んでおります。５　主要な販売先として、㈱INPEX及びサーラエナジー㈱へ卸供給をしております。㈱INPEXへの前連結会計年度における販売実績は246百万㎥、総販売実績に対する割合は14.8％であり、当連結会計年度における販売実績は262百万㎥、総販売実績に対する割合は16.5％であります。サーラエナジー㈱への前連結会計年度における販売実績は227百万㎥、総販売実績に対する割合は13.6％であり、当連結会計年度における販売実績は203百万㎥、総販売実績に対する割合は12.8％であります。 なお、当社グループのガスセグメントにおいては、上記のほか、ＬＮＧの販売を行っております。 (3) 財政状態当期末における総資産は、設備投資による有形固定資産の増加や株式市況の影響による投資有価証券の増加、新規投資によるその他投資が増加した一方で、受取手形、売掛金及び契約資産の減少、原材料及び貯蔵品の減少等により、前期末に比べ4,788百万円減の154,709百万円となりました。負債は、コマーシャル・ペーパーの償還や原材料代決済のタイミングによる買掛金の減少等により、前期末に比べ19,601百万円減の40,287百万円となりました。純資産は、当期の利益計上による利益剰余金の増加等により、前期末に比べ14,812百万円増の114,421百万円となりました。この結果、当期の自己資本比率は69.4％となりました。  (4) キャッシュ・フロー営業活動によるキャッシュ・フローは、37,755百万円の収入(前期は4,116百万円の収入)となりました。これは、減価償却前利益が29,433百万円となり、売上債権及び契約資産が減少したことなどによるものであります。投資活動によるキャッシュ・フローは、14,123百万円の支出(前期は14,074百万円の支出)となりました。これは、ガス導管網の拡張・整備や再生可能エネルギーなどへの設備投資や投資有価証券の取得等によるものであります。財務活動によるキャッシュ・フローは、15,909百万円の支出(前期は23,552百万円の収入)となりました。これは、コマーシャル・ペーパーの償還等によるものであります。以上の結果、当期末における現金及び現金同等物は、前期末と比べ7,978百万円増加し、当期末残高は35,242百万円となりました。 なお、当社グループのキャッシュ・フロー関連指標は以下のとおりであります。   前連結会計年度当連結会計年度自己資本比率(％)58.269.4時価ベースの自己資本比率(％)51.349.2キャッシュ・フロー対有利子負債比率(年)7.80.5インタレスト・カバレッジ・レシオ(倍)45.7237.9 (注) １　各指標はいずれも連結ベースの財務数値を用いて、以下の計算式により算出しております。自己資本比率：自己資本／総資産時価ベースの自己資本比率：株式時価総額／総資産キャッシュ・フロー対有利子負債比率：有利子負債／キャッシュ・フローインタレスト・カバレッジ・レシオ：キャッシュ・フロー／利払い ２　株式時価総額は、期末株価終値×期末発行済株式数(自己株式控除後)により算出しております。３　キャッシュ・フローは、連結キャッシュ・フロー計算書の営業活動によるキャッシュ・フローを使用しております。４　有利子負債は、連結貸借対照表に計上されている負債のうち、長期借入金(１年以内に期限到来のものを含む)、社債、短期借入金、コマーシャル・ペーパーを対象としております。また、利払いについては、連結キャッシュ・フロー計算書の利息の支払額を使用しております。 (5) 当社グループの資本の財源及び流動性について当社グループの事業活動の維持拡大に必要な資金を安定的に確保するため、設備投資資金については、自己資金を充当し、不足分を社債の発行や金融機関からの長期借入による調達を基本としております。また、短期運転資金は、主に自己資金、短期借入金、コマーシャル・ペーパー等で賄っていく方針であります。なお、当社グループ内でキャッシュ・マネジメント・システムを採用しており、余剰資金の活用等により、当社グループ全体の有利子負債の削減を図っております。その結果、当連結会計年度末の有利子負債残高は18,313百万円となりました。 (6) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成しております。重要な会計方針については、「第５　経理の状況　１　連結財務諸表等　注記事項　(連結財務諸表作成のための基本となる重要な事項)」に記載しております。連結財務諸表の作成にあたっては、過年度実績や経営計画、入手可能で合理的な情報に基づく仮定等から会計上の見積りを行っておりますが、見積りは不確実性を伴うため、実際の結果は異なる場合があります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】該当事項はありません。
設備投資等の概要	１ 【設備投資等の概要】当社グループでは、主力であるガスセグメントを中心に天然ガスの安定供給のための生産・供給能力の増強、設備の更新等に設備投資を実施しており、当連結会計年度中に全体で13,330百万円の設備投資を実施しました。ガスセグメントにおいては、供給設備としてガス導管網の拡張・整備を中心に6,778百万円の設備投資を実施しました。その結果、当連結会計年度末の本支管の総延長は5,333kmとなりました。ＬＰＧ・その他エネルギーセグメントにおいては、静岡ガスエネルギー㈱におけるガス設備への投資を中心に5,882百万円の設備投資を実施しました。その他のセグメントにおいては、静岡ガスクレジット㈱の貸与資産の購入等を中心に669百万円の設備投資を実施しました。 (注) 設備投資の金額には、無形固定資産への投資に係る金額を含めております。 
主要な設備の状況	２ 【主要な設備の状況】当社グループにおける主要な設備は以下のとおりであります。(2023年12月31日現在)(1) 提出会社 事業所名等(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(人)土地(面積千㎡)建物機械装置導管及びガスメーターその他合計袖師基地第３号ＬＮＧ貯槽(静岡市清水区)ガス製造設備－460－679725－袖師基地ＬＮＧ出荷設備(静岡市清水区)ガスその他の設備等－－142－541683－幹線・送出管理センター吉原基地(富士市)ガス供給設備881(34)115627－341,65814導管及びガスメーター(全供給区域)ガス供給設備－－－24,377－24,377－本社(静岡市駿河区)ガス全社業務設備631(8)1,74244－1092,528282富士支社(富士市)ガス業務設備等340(3)1,0920－961,53048 (注)　帳簿価額のうち「その他」は、構築物、器具備品等であります。  (2) 国内子会社 会社名事業所名等(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(人)土地(面積千㎡)建物機械装置その他合計清水エル・エヌ・ジー㈱袖師基地(静岡市清水区)ガス製造設備－6344003,5994,63544静岡ガスエネルギー㈱本社・中部支店(静岡市駿河区他)ＬＰＧ・その他エネルギーその他の設備359(2)905561031,42494静岡ガスエネルギー㈱東部支店(沼津市他)ＬＰＧ・その他エネルギーその他の設備135(2)5841517290754静岡ガス＆パワー㈱本社(富士市)ＬＰＧ・その他エネルギーその他の設備5306016,907678,106－静岡ガスクレジット㈱本社(静岡市駿河区)その他その他の設備等－－－84184111 (注) １　帳簿価額のうち「その他」は、構築物、器具備品等であります。２　清水エル・エヌ・ジー㈱の袖師基地の敷地91千㎡は当社グループ外から賃借しております。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式240,000,000計240,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月28日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式76,192,95076,192,950東京証券取引所(プライム市場)単元株式数　100株計76,192,95076,192,950――  
