項目	値
事業の内容	３【事業の内容】　当社は、1981年12月米国ウィルソン・ラーニング社（旧ウィルソン・ラーニング）の子会社として設立されましたが、1991年３月同社を実質的に買収しました。すなわち、同社保有の知的所有権（研修プログラムの著作権等）を当社が取得し、それ以外の資産・負債は買収に伴い当社子会社として設立したウィルソン・ラーニング コーポレーション（新ウィルソン・ラーニング）が引き継ぎ、現在、欧州、アジア・パシフィックに展開している子会社４社もその中に含まれております。　2023年３月期末現在、当社従業員35名に対し、当社グループ（当社及び関係会社）の従業員数は88名となっており、また、連結売上高は24億９千２百万円と、当社売上高の約3.0倍の規模となっております。　当社グループは、当社、子会社９社及び関連会社２社で構成されており、事業は企業内教育の企画及び実施を行っております。当社グループの事業内容と当社及び関係会社の当該事業にかかる位置づけは次のとおりであります。　また、当社連結子会社であるウィルソン・ラーニング サザン アフリカ Ｃ．Ｃ．及びウィルソン・ラーニング オーストラリア ＰＴＹ ＬＴＤ．は、解散及び清算したため、連結の範囲から除外しております。なお、清算結了までの損益計算書については連結しております。区分事業内容主要な会社ＨＲＤ事業人材開発・組織開発のためのコンサルティングとソリューションの開発・提供当社、ウィルソン・ラーニング コーポレーション他（計10社） 企業内教育研修プログラム及びリサーチプログラムの基礎開発研究ウィルソン・ラーニング コーポレーション 　以上の企業集団について図示すると次のとおりであります。（注）１．※は、連結子会社であります。２．※※は、持分法適用の関連会社であります。３．当社は海外において事業展開をするにあたり子会社及び代理店を通じて事業を行っており、ロイヤリティを徴収しております。４．当連結会計年度において、当社連結子会社であるウィルソン・ラーニング サザン アフリカ Ｃ．Ｃ．及びウィルソン・ラーニング オーストラリア ＰＴＹ ＬＴＤ．は、解散及び清算したため、連結の範囲から除外しております。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （１）会社の経営の基本方針私たちウィルソン・ラーニングは、創業時から「人や組織が、そのもてる力を最大限に発揮できるようお手伝いします---充実感を伴ったパフォーマンス---」というミッションを掲げ、これを全世界に共通した私たちの“存在理由”としています。その遂行を図ることが会社経営の基本であり、次の２点をその基本戦略に据えています。ひとつは“テクノロジー・ドリブン”。最新の人間工学や産業心理学に基づくテクノロジーとＩＴ技術によって、ミッション遂行を切り開いていくのが私たちの基本です。もうひとつは“グローバリゼーション”。テクノロジーにはもともと、極めて伝搬しやすいという性質があります。グローバルに展開が可能なこのテクノロジーをフルに活かし、世界中の企業の「人と組織の成長のパートナー」としてお手伝いしていくのが当社の方針です。 （２）会社の経営戦略　グローバルに展開する世界でも数少ない人材育成企業として、他社にない体制で実施できる強みを発揮していきます。　日本においては、人的資本経営を追い風に、イノベーション・イネーブル領域のビジネスを、他社と連携しながら拡大していく予定です。　米国においては、利益率の高いライセンス案件の提案機会を増やしていく予定です。　2024年３月期は、2023年度に収益認識基準上、複数年契約案件を売上計上したため、売上は一時的に落ち込む見込みです。 （３）経営環境と優先的に対処すべき事業上及び財務上の課題① 国内　イノベーション・イネーブルメント領域においては、単独でのプロモーションにとどまらず、他社連携をして共同での販促や営業活動を行い、案件数の増加を計画しております。　資本面では新株の発行等、資本強化の施策を引続き行っていく予定です。② 北米　事業活動としては、引き続き営業要員の能力向上を図り、利益率の高いライセンス型案件の提案に注力する予定です。　マーケティングや商品開発としては、ATDへの参加による見込み客増、提携プラットフォーム上での商品改善を引続き進めてまいります。③ 欧州　欧州の営業体制を、要員採用を行い再強化する予定です。引続きマーケティング活動からの大型提案・受注強化を予定しております。④ 中国　継続して現地中国企業の人材育成案件の受注に一層力を入れていく予定です。⑤ アジア・パシフィック　ASEAN、インドを中心としたアジア・パシフィックは、自グループ内営業育成・マーケティング・会計など、効率化を強化していきます。⑥ 収益構造及び営業利益率の改善　英国でのオフィス移転（今年度予定）による経費節減等、引続き経営資源の効率的な運用に向けて改善を進めていく予定です。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （１）新型コロナウイルスの収束時期と市場環境の変化　当社グループの主要な商品はワークショップ型の研修であり、世界各国での新型コロナウイルスの収束時期により当社グループの業績に大きな影響を与えます。また、非接触型の研修であるオンライン研修に市場がシフトしており、市場環境の変化への対応における開発費用や対応のスピードが当社グループの業績に影響を及ぼします。 （２）為替変動　当社グループの売上高の約６割は海外売上高であります。また、当社のロイヤリティ売上高も海外子会社からのものであります。期初に想定為替レートを定めて予算等の計画を作成しておりますが為替変動は当社グループの経営成績及び財政状態、また、競争力にも影響し、長期的に当社グループの業績に影響します。このような状況から円が他の通貨、特に米ドルに対して円高になると悪影響を受ける可能性があります。 （３）個人情報　当社グループは、事業遂行に関連して、多数の個人情報を有しております。これらの個人情報については、その管理に万全を期しておりますが、予期せぬ事態により流出する可能性が皆無ではなく、このような事態が生じた場合、当社グループの社会的信用に影響を与え、その対応のための多額の費用負担やブランド価値の低下が当社業績に影響を与える可能性があります。 （４）継続企業の前提に関する重要事象等（継続企業の前提に関する重要事象等）　当社グループは、2020年３月期以降売上高が著しく減少し、重要な営業損失、経常損失及び親会社株主に帰属する当期純損失を計上しております。なお、当連結会計年度においては、営業利益146,162千円、経常利益18,578千円、親会社株主に帰属する当期純損失26,704千円、マイナスの営業キャッシュ・フロー128,379千円を計上する結果となり、当社グループの業績は改善傾向にありますが、前連結会計年度まで３期連続で営業損失、経常損失、親会社株主に帰属する当期純損失及び重要なマイナスの営業キャッシュ・フローを計上しました。このような状況のなか、今後追加の運転資金が必要になることが想定されますが、現時点では金融機関等からの新たな資金調達について見通しが得られている状況にはありません。これらの状況により、継続企業の前提に重要な疑義を生じさせるような事象又は状況が存在しております。このような状況の解消を図るべく、当社グループは、以下の諸施策を遂行することにより、収益構造の改善及び財務基盤の安定化に取り組んでおります。 （事業等のリスクに記載した重要事象等を解消するための対応策）　当社グループは、上記に記載のとおり、継続企業の前提に重要な疑義を生じさせるような状況が存在しております。当該事象又は状況を解消するための対応策として、当社グループは以下の施策を実施してまいります。 ①収益構造の改善・高収益化体質の確立に向け、北米の営業要員の早期戦力化を図り、利益率の高いライセンス型の案件の提案に引き続き注力してまいります。・2022年10月に学習管理システム（LMS）国内大手企業である株式会社ライトワークスと業務提携を行いました。同社のLMS上に当社商品「ハイブリッドラーニングサービス」を搭載し、双方のお客様へのクロスセル等を実施してまいります。・アフターコロナ時代の新しい研修スタイルを睨んだWebマーケティング投資、リーダーシップ領域、オンライン研修領域における新規商品群への開発投資を積極的に推進しております。既に、国内外において複数のお客様に向けたオンライン研修やアセスメントサービスを実施しており、収益機会の拡大を図ってまいります。・販売費及び一般管理費について、人件費や業務委託費の見直しを行い、本社等移転により諸経費削減を推進しております。北米では今後の黒字化を達成するため、2022年３月に人件費を中心に大幅なコスト削減を実施しました。また、IT関連の外部委託化も推進しております。 ②財務基盤の安定化　当社グループは、運転資金及び開発投資資金の安定的な確保と維持に向け、取引金融機関と協議を進め新規融資の申請や資本の増強策の可能性について検討しておりましたが、実現には至っておりません。このため、今後はグループ内の資金を移動させることで必要な資金を確保し、運転資金の改善に努めております。 　以上の施策を実施するとともに、今後も引き続き有効と考えられる施策につきましては、積極的に実施してまいります。しかしながら、収益構造の改善には新しい取り組みが含まれていることから不確実性が認められるとともに、新型コロナウイルス感染症拡大によって受けた業績低迷からの回復に時間を要しております。　また、財務基盤の安定化については、資本の増強策の可能性などについて継続的に検討しているものの、見通しが得られている状況ではありません。　したがって、継続企業の前提に関する重要な不確実性が存在するものと認識しております。 　なお、連結財務諸表は継続企業を前提として作成しており、このような継続企業の前提に関する重要な不確実性の影響を連結財務諸表に反映しておりません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要　当連結会計年度における当社グループ（当社、連結子会社及び持分法適用関連会社）の財政状態、経営成績及びキャッシュ・フロー（以下、経営成績等という。）の状況の概要は次のとおりです。 ① 財政状態及び経営成績の状況当連結会計年度におけるグローバル経済は、ロシア-ウクライナ戦争の長期化により、原材料・エネルギー価格のさらなる高騰に見舞われ、インフレーションが世界的に進行し予断を許さない状況となっています。また、ゼロコロナ政策を進める中国の大規模ロックダウンが、生産・物流面へ大きな影響を及ぼしました。低金利政策の続いた日本では、大幅な円安基調が見られました。研修市場の傾向としては、特に日本においては「リスキリング支援」への政府による１兆円の投資が表明されたこと、及び「人的資本経営」の関連で上場企業は「人的資本情報の開示」が要求されるようになったことにより、研修ニーズは拡大基調にあります。EUはインフレーションの影響で、研修予算の手控え傾向が出ております。米国において、IT業界を中心とした人材削減が始まりましたが、雇用統計は依然堅調に推移しています。 日本及び米国での当連結会計年度の実績は下記となります。国内・2022年10月に学習管理システム（LMS）国内大手企業である株式会社ライトワークスと業務提携を行いました。同社のLMS上に当社商品「ハイブリッドラーニングサービス」を搭載し、双方のお客様へのクロスセル等を実施してまいります。 海外・2023年３月に“ビジネス界のアカデミー賞”と称される世界最高峰のビジネス賞“スティービー・アワード”第17回（2023年）「セールス＆カスタマー・サービス部門」で２つの賞を受賞しました。セールス・トレーニング・プラクティス・オブ・ザ・イヤー金賞ベストユースオブ・ソートリーダーシップ・イン・ビジネス・ディベロップメント銅賞・2023年３月に「Training Industry.com」から、「2023年セールス・トレーニング及びイネーブルメント企業トップ20社」に15年連続して選ばれました。・2023年３月に「Training Industry.com」から、「2023年リーダーシップ・トレーニング企業トップ20社」に14年連続して選ばれました。 日本の売上回復が遅れておりながらも、米国での売上高が回復基調にあり、大型の複数年ライセンス契約を受注したため、当連結会計年度においてはグループ全体で売上高は前年同期比で大幅な増収となり、営業利益を計上いたしました。 　この結果、当連結会計年度の財政状態及び経営成績は以下のとおりとなりました。 a. 財政状態　当連結会計年度末の資産合計は、前連結会計年度末に比べ３億１千６百万円増加し、21億２千５百万円となりました。　当連結会計年度末の負債合計は、前連結会計年度末に比べ１億９千８百万円増加し、10億１千５百万円となりました。　当連結会計年度末の純資産合計は、前連結会計年度末に比べ１億１千８百万円増加し、11億９百万円となりました。 b. 経営成績　当連結会計年度の経営成績は、売上高24億９千２百万円（前期比39.4％増）、営業利益１億４千６百万円（前連結会計年度は５億３千５百万円の営業損失）、経常利益１千８百万円（前連結会計年度は４億９千１百万円の経常損失）となっております。また親会社株主に帰属する当期純損失は２千６百万円（前連結会計年度は３億８百万円の親会社株主に帰属する当期純損失）となりました。 　営業損益は、前連結会計年度に比べ６億８千１百万円改善しており、また、重要な経営指標として位置付けております「営業利益率」は、プラスとなりました。これは主に、これは主に、北米子会社において、大型ライセンス案件の受注・売上があったためです。 　セグメントの経営成績は、次のとおりであります。1）国内　日本では、当連結会計年度の大半の期間中、企業研修市場は回復傾向にあり、新規の引合いも増加してまいりましたが、既存大型案件で本年度は受注できなかった案件がありました。しかしながら、新規領域であるイノベーション・イネーブルメント分野での新規受注が進んだことと、グループ内ロイヤリティ収入の増加により増収となりました。販売管理費につきましては、グローバルでのマーケティングと研究開発費用負担分が増加しておりますが、引続き抑制策を続けております。　この結果、売上高８億２千９百万円（前期比0.8％増）、営業損失１億４千２百万円（前連結会計年度は１億６千５百万円の営業損失）となりました。2）北米　米国では、物流の混乱やインフレーションの影響はあるものの、継続してマーケットは回復傾向にあり、売上高も回復基調にありました。また、第４四半期連結会計期間に５年契約の大型ライセンス契約の受注があり、収益認識上は当連結会計年度の売上計上となるため、大幅な増収増益となりました。　販売管理費については、2022年３月に実施した人件費削減策及びITのアウトソーシング策の継続により引続きコストを削減しております。　この結果、売上高14億５千９百万円（前期比142.9％増）、営業利益４千７百万円（前連結会計年度は５億８千９百万円の営業損失）となりました。3）欧州　ウィルソン・ラーニング ヨーロッパ（英国）の売上高は堅調でありますが、急激なインフレーションによる経済への影響で企業の研修投資意欲が減退しており、引続き減収減益となっております。引続き大型案件獲得の営業活動を継続しております。ウィルソン・ラーニング フランスは、堅調に売上高を確保しておりましたが、営業体制の変更（要員減）により、減収減益となっております。　この結果、売上高３億８百万円（前期比13.6％減）、営業損失１千５百万円（前連結会計年度は１千９百万円の営業利益）となりました。4）中国　中国では、新型コロナウイルス感染症のため、当連結会計年度に二度大規模なロックダウンが行われました。この影響により大幅な減収減益となりました。　この結果、売上高８千４百万円（前期比34.2％減）、営業損失４千万円（前連結会計年度は１千５百万円の営業損失）となりました。5）アジア・パシフィック　インドでは、経済活動は拡大しており、増収となりましたがグループ内支払い経費の増加により減益となっております。アジアでは、引続きグループ内での受注案件が増加した結果、増収となりましたが、原価が先行しており、増収減益となりました。　この結果、売上高１億６千２百万円（前期比33.2％増）、営業損失１千６百万円（前連結会計年度は１百万円の営業損失）となりました。  ② キャッシュ・フローの状況　当連結会計年度末における連結ベースの現金及び現金同等物（以下、「資金」という。）は、前連結会計年度末に比べ１億２千７百万円減少し、６億７千９百万円となりました。（営業活動によるキャッシュ・フロー）　当連結会計年度において営業活動の結果減少した資金は、１億２千８百万円（前連結会計年度は５億２千５百万円の資金の減少）となりました。この主な理由は、収入として長期未払費用の増加額２億１千１百万円があったものの、支出として長期未収入金の増加額４億５千４百万円等があったことによるものです。（投資活動によるキャッシュ・フロー）　当連結会計年度において投資活動の結果減少した資金は、６百万円（前連結会計年度は１億３千７百万円の資金の増加）となりました。この主な理由は、支出として有形固定資産の取得による支出１千１百万円等があったことによるものです。（財務活動によるキャッシュ・フロー）　当連結会計年度において財務活動の結果減少した資金は、７千５百万円（前連結会計年度は４千６百万円の資金の減少）となりました。この主な理由は、支出として短期借入金の返済による支出４千万円及びリース債務の返済による支出２千７百万円等があったことによるものです。 ③ 生産、受注及び販売の実績a. 生産実績　当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度(自　2022年４月１日　至　2023年３月31日)前年同期比（％）国内（千円）189,131△18.3北米（千円）401,846235.9欧州（千円）79,578△1.0中国（千円）13,547△44.2アジア・パシフィック（千円）23,98256.2合計（千円）708,08650.3　（注）金額は売上原価によっており、セグメント間の内部振替前の数値によっております。 b. 受注実績　当連結会計年度の受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度(自　2022年４月１日　至　2023年３月31日)受注高前年同期比（％）受注残高前年同期比（％）国内（千円）563,707△7.2139,8309.1北米（千円）1,444,165131.489,927△0.4欧州（千円）286,787△7.478,1961.9中国（千円）80,368△34.239,09689.4アジア・パシフィック（千円）159,14860.116,773174.7合計（千円）2,534,17743.8363,82413.0　（注）金額は販売価格によっており、セグメント間の内部振替前の数値によっております。  c. 販売実績　当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度(自　2022年４月１日　至　2023年３月31日)前年同期比（％）国内（千円）552,071△15.4北米（千円）1,444,527149.0欧州（千円）285,354△15.2中国（千円）61,917△49.9アジア・パシフィック（千円）148,48055.1合計（千円）2,492,35139.4　（注）セグメント間の取引については相殺消去しております。 （２）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、連結会計年度末日現在において判断したものであります。 ① 財政状態及び経営成績の状況に関する認識及び分析・検討内容a. 経営成績等1）財政状態（流動資産）　当連結会計年度末における流動資産の残高は、14億６千５百万円（前連結会計年度末は15億６千７百万円）となり、１億２百万円減少いたしました。これは、主に現金及び預金の減少１億２千１百万円があったことによるものです。（固定資産）　当連結会計年度末における固定資産の残高は、６億６千万円（前連結会計年度末は２億４千万円）となり、４億１千９百万円増加いたしました。これは、主に長期未収入金の増加４億５千４百万円があったことによるものです。（流動負債）　当連結会計年度末における流動負債の残高は、６億１千２百万円（前連結会計年度末は５億９千８百万円）となり、１千３百万円増加いたしました。これは、主に短期借入金の減少４千万円があったものの、その他の増加５千４百万円があったことによるものです。（固定負債）　当連結会計年度末における固定負債の残高は、４億３百万円（前連結会計年度末は２億１千８百万円）となり、１億８千５百万円増加いたしました。これは、主に長期未払費用の増加２億１千１百万円があったことによるものです。（純資産）　当連結会計年度末における純資産の残高は、11億９百万円（前連結会計年度末は９億９千１百万円）となり、１億１千８百万円増加いたしました。これは、主に為替換算調整勘定の増加１億４千５百万円があったことによるものです。 2）経営成績（売上高）　売上高は、前連結会計年度に比べ７億３百万円増加し、24億９千２百万円（前期比39.4％増）となりました。これは主に、北米子会社で大型の複数年ライセンス契約を受注し、収益認識上当連結会計年度の売上計上となったためです。（売上原価、販売費及び一般管理費）　売上原価は、前連結会計年度に比べ２億３千３百万円増加し、７億１千万円（前期比49.1％増）となりました。これは主に、売上高増加に伴うものであります。　販売費及び一般管理費は、前連結会計年度に比べ２億１千１百万円減少し、16億３千５百万円（前期比11.5％減）となりました。これは主に、北米子会社での人員リストラによるものです。（営業利益）　当連結会計年度においては、営業利益１億４千６百万円（前連結会計年度は５億３千５百万円の営業損失）となりました。また、重要な経営指標として位置付けている「営業利益率」は、5.9％（前期比35.8ポイント増）となりました。これは主に、北米子会社での大型ライセンス契約の受注及び売上によるものです。 （営業外損益）　営業外収益は、前連結会計年度に比べ３千９百万円減少し、９百万円（前期比81.0％減）となりました。これは主に、為替差益１千８百万円及び投資事業組合運用益１千８百万円が減少したことによります。　営業外費用は、前連結会計年度に比べ１億３千２百万円増加し、１億３千６百万円（前連結会計年度は４百万円の営業外費用）となりました。これは主に、為替差損１億２千８百万円が増加したことによります。（経常利益）　当連結会計年度においては、経常利益１千８百万円（前連結会計年度は４億９千１百万円の経常損失）となりました。（特別損益）　特別利益は、前連結会計年度に比べ１億７千９百万円減少し、０百万円（前期比99.7％減）となりました。これは主に、補助金収入１億２千２百万円が減少したことによるものです。　特別損失は、前連結会計年度に比べ５千万円増加し、５千１百万円（前連結会計年度は１百万円の特別損失）となりました。これは主に、子会社清算損３千５百万円が増加したことによります。（税金等調整前当期純損失）　当連結会計年度においては、税金等調整前当期純損失３千２百万円（前連結会計年度は３億１千２百万円の税金等調整前当期純損失）となりました。（法人税等）　法人税等は、前連結会計年度に比べ１百万円減少し、△５百万円（前連結会計年度は△３百万円）となりました。これは主に、法人税、住民税及び事業税が４百万円減少したことによります。（親会社株主に帰属する当期純損失）　当連結会計年度においては、親会社株主に帰属する当期純損失２千６百万円（前連結会計年度は３億８百万円の親会社株主に帰属する当期純損失）となりました。 b. 経営成績に重要な影響を与える要因　当社グループの経営成績に重要な影響を与える要因につきましては、「３ 事業等のリスク」に記載のとおりであります。 ② キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報a. キャッシュ・フローの状況の分析・検討内容　当連結会計年度における連結ベースの現金及び現金同等物は、前連結会計年度末に比べ１億２千７百万円減少し、６億７千９百万円となりました。詳細につきましては、「（１）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 b. 資本の財源及び資金の流動性　当社グループは、運転資金及び開発投資資金の安定的な確保と維持に向け、グループ内の資金を最大限に有効活用してまいります。民間の金融機関に対しても、新規の資金融資交渉を行うほか、資本の増強策の可能性についても検討しております。 　以上の施策を実施するとともに、今後も引き続き有効と考えられる施策につきましては、積極的に実施してまいります。しかしながら、収益構造の改善には新しい取り組みが含まれていることから不確実性が認められるとともに、中国におけるゼロコロナ政策廃止による大規模感染の影響など、新型コロナウイルス感染拡大による業績へのマイナス影響は今後も継続する可能性があります。　また、財務基盤の安定化については、新規の資金融資及び資本の増強の可能性などについて継続的に検討しているものの、その実現には時間を要しており、確実な見通しが得られている状況ではありません。 ③ 重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成されております。　当社グループの重要な会計方針は、「第５　経理の状況　１ 連結財務諸表等　（１）連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載しておりますが、特に次の項目が連結財務諸表の作成に重要な影響を及ぼすものと考えております。 a. 固定資産の減損損失　当社グループは、固定資産について、収益性が著しく低下した場合、減損損失の計上が必要となる場合があります。事業用資産については管理会計上の区分を基本としてグルーピングを行っており、遊休資産については個別資産ごとにグルーピングを行っております。なお、当連結会計年度において、10,634千円の減損損失を計上しております。　その他詳細は、「第５　経理の状況　１ 連結財務諸表等　（１）連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 b. 繰延税金資産　当社グループは、繰延税金資産について、回収可能性が高いと考えられる金額へ減額するために評価性引当額を計上しております。評価性引当額の金額を算定するに当たっては、課税主体ごとに将来の課税所得を見積り、繰延税金資産の回収見込みを慎重に検討しておりますが、課税所得の見積りの前提とした諸条件の変化により、追加引当て若しくは引当額の取崩しが必要となる場合があります。　また、繰延税金資産は各国の現時点における実効税率に基づき計上しておりますが、将来、税率が変更された場合には、繰延税金資産の残高が増減する可能性があります。 c. 関係会社への投資及び債権の評価　詳細は、「第５　経理の状況　２ 財務諸表等　（１）財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】（業務提携契約）当社は、2022年10月19日開催の取締役会において、株式会社ライトワークス（以下、「ライトワークス」という。）と業務提携契約を締結することを決議し、2022年10月20日付で業務提携契約を締結しました。 業務提携の内容①「オンライン」環境下においても「集合研修」を上回る効果をもたらす“デジタルハイタッチコンセプト”に基づいた「ハイブリッドラーニングサービス」の提供デジタルコンテンツやツールとライブセミナーをデザインした「ハイブリッドラーニングサービス」を、学習プラットフォーム「CAREERSHIP®」に搭載し両社のお客様へ提供します。「ハイブリッドラーニングサービス」では、単に知識を取り入れる（Outside-In）だけの学びではなく、学習者の個々の課題や想いを引き出し（Inside-Out）行動変容に結びつける、デジタルを活用したハイタッチな学習体験プロセスを、良質なデジタルプラットフォーム上でお届けします。本サービスは人材を「資本」として捉え、その価値を最大限に引き出すことで中長期的な企業価値向上につなげる「人的資本経営」の推進においての主要課題である「組織カルチャー分野」と「リーダーシップ分野」を皮切りに、今後様々なプログラムやサービスに適用・展開してまいります。＜ハイブリッドラーニングサービスのラインナップ＞分野テーマプログラム組織カルチャー分野主体的な挑戦を育む組織文化の創造価値創造イネーブルメント多様な個人が生きるダイバーシティソーシャル スタイルと対応性リーダーシップ・マネジメント分野変革と成果を生み出す管理者の育成パーパス浸透のためのコミュニケーションメンバーの主体性を引き出す目標管理ブレないリーダーシップの自覚と実践 ②両社のサービスと強みを組み合わせた、新しい価値の創造と提供当社のワールドクラスの学習及びアセスメント技術と、ライトワークスの人材育成分野で鍛え抜かれたIT技術を組み合わせ、人的資本の可視化、成長支援とその実行による企業文化への定着など、お客様の人材戦略の実現を支援してまいります。 
研究開発活動	６【研究開発活動】当社グループは、ＨＲＤ事業を中心に研究開発活動を行っております。ＨＲＤ事業は、その中心となるスキルベースの研修プログラム、アセスメント・メジャメントプログラムの基礎研究を米国の子会社であるウィルソン・ラーニング コーポレーション（以下、ＷＬＣ社という。）が行っております。具体的には、ＷＬＣ社は研修プログラム及びリサーチプログラムの基礎となる人間の言動・心理に関する基礎研究を行っております。また、ＷＬＣ社の研究成果はＨＲＤ事業に寄与するだけでなく、ロイヤリティの源泉にもなっております。当連結会計年度におけるＨＲＤ事業の研究成果は以下のとおりです。なお、当連結会計年度の研究開発費の総額は123,670千円となっております。当連結会計年度中は、新型コロナウイルスの影響により顧客の要望がオンラインでのサービスに変化していることから、グローバルでは、主にプラットフォーム関連（ラーニングトランスファーやアセスメントサービスのシステム関連）に継続して商品開発を行いました。またニーズの高まったオンライン研修への転換は引き続き行っていく予定です。国内では、イノベーションリーダーシップ系の顧客ニーズが強く、オンライン・カードゲームの商品開発と調査商品のリリースを行いました。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度中において実施いたしました企業集団の設備投資の総額は11,857千円であります。その主なものは、米国でのパーソナル・コンピューターの更新費用になります。 
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、次のとおりであります。 (1）提出会社2023年３月31日現在 事業所名(所在地)セグメントの名称帳簿価額従業員数（人）建物及び構築物（千円）工具、器具及び備品(千円）リース資産（千円）合計（千円）本社（東京都港区）国内000032(－) (2）在外子会社2023年３月31日現在 会社名所在地セグメントの名称帳簿価額従業員数（人）建物及び構築物(千円）工具、器具及び備品(千円)合計（千円）ウィルソン・ラーニングコーポレーション米国ミネソタ州北米－－－25（4)ウィルソン・ラーニングヨーロッパ ＬＴＤ．英国ロンドン市欧州2975398368(－)　（注）１．従業員数は就業人員であり、臨時雇用者数は、年間の平均人員を（　）外数で記載しております。２．上記の他、主要な賃借及びリース設備として、以下のものがあります。　提出会社2023年３月31日現在事業所名（所在地）セグメントの名称設備の内容従業員数（人）年間賃借及びリース料（千円）本社（東京都港区）国内 事務所（賃借）32(－)81,741 事務用機器（リース）7,100大阪支店（大阪市中央区）国内 事務所（賃借）3(－)1,680 事務用機器（リース）332
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式17,230,720計17,230,720
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月29日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,154,5805,669,580東京証券取引所スタンダード市場単元株式数100株計5,154,5805,669,580－－（注）１．2023年４月１日から2023年５月31日までの間に、新株予約権の行使により、発行済株式数が515,000株増加しております。２．提出日現在の発行数には、2023年６月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。
