項目	値
事業の内容	３【事業の内容】　当社は、イベント制作を主な事業とし、基本事業、スポーツ事業、競争事業の各分野において企画、会場設営、演出・進行、運営等の事業活動を展開しております。　全国に展開する支店網と「顧客起点」に立ったソリューション、どんなイベントでもサポートできる「現場力」を最大限に生かし、お客さまの期待や課題に応え、イベントに関わる人々の感動と笑顔を創り続けてまいります。　なお、親会社および子会社はありません。　また、当社はイベント総合請負業並びにこれらの関連業務の単一事業セグメントであるため、セグメント情報の記載は省略しておりますが、下記の部門別の事業を行っております。（基本事業部門）　　当部門においては、各営業拠点が担当する様々なイベント領域の制作業務等を行っております。（スポーツ事業部門）　当部門においては、中央競技団体等が開催するスポーツ・競技に関するイベント領域の制作業務等を行っております。（競争事業部門）　当部門においては、皇室ご臨席事業を中心とした全国持ち回りで開催されるイベント領域の制作業務等を行っております。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】 　東京オリンピック・パラリンピックの入札に関する独禁法違反容疑において、皆様に多大なるご心配及びご迷惑をお掛けしておりますことを深くお詫び申し上げます。 (1）経営の基本方針　当社は、2013年４月より「イベントを通じて自らを含む周囲の幸福を実現し、笑顔のある明るい社会づくりに貢献する」ことを経営理念としてまいりました。これを実現するために、当社を取り巻く株主・顧客・取引先・社員などのステークホルダーと良好な互恵関係を築くことをすべての活動の起点としてきました。今後も時代に即した対応を行っていくことで、社会に信頼され、ステークホルダーと共に成長を続けられる「イベント・ソリューション・パートナー」を目指してまいります。 (2）経営環境及び対処すべき課題　当社の事業活動の目的は、直接体験の場であるイベントを通じて、世の中に当社がなければあり得なかった、楽しいこと、新しいことを人々にたくさん提供することで、笑顔や感動を創出し、顧客の目的実現に向けたソリューションを実現していくことにあります。　一方、東京オリンピック・パラリンピックに関する独禁法違反容疑において、官公庁からの指名停止措置等は受注活動に大きな影響がありました。　厳しい状況下にあるものの、中長期的かつ持続的成長を実現するために、下記の方法で競争優位性の追求と社会課題の解決に努めてまいります。①事業基盤再建のため、各拠点のマネジメントを徹底します。②顧客の信頼を得るため、自ら課題解決し様々な提案を行う自走式人材の育成に注力します。③企業の信頼性の向上のため、コンプライアンスの徹底とガバナンスの強化を図ります。
事業等のリスク	３【事業等のリスク】　当社の事業その他のリスクについて、投資家の判断に重要な影響を及ぼす可能性があると考えられる主な事項を記載しております。なお、当社は、これらのリスクの発生の可能性を認識した上で、発生の回避及び発生した場合の対処に努める所存であります。　また、文中における将来に関する事項は、発表日現在において当社が判断したものです。 (1）イベント開催に対する社会の動向　イベントは、国内経済政策や企業収益などの社会情勢、地震などの自然災害、細菌・ウイルスなどの感染症等の影響を受けやすい傾向にあります。従いまして、国内市場におけるイベント需要の縮小が当社の業績に影響を及ぼす可能性があります。　当社は、適時に業務への影響を把握し、発生状況に合わせた対策を策定してまいります。 (2）顧客の動向　当社は、あらゆる私企業、官公庁、各種団体から案件を受注しているため、リスクは分散されておりますが、業界および団体等の景気動向、官公庁の税収等により当社の業績に影響を及ぼす可能性があります。 (3）保有土地について　当社は、当事業年度末において、帳簿価額3,310百万円の土地を保有しております。　2006年３月期より「固定資産の減損に係る会計基準」が適用されており、当社におきましても減損会計を適用しているため、当社の業績に影響を及ぼす可能性があります。　当社は、当該土地を主として本社並びに物流センター及び支店等として使用しており、現在、売却する予定はありません。 (4）人材の確保及び育成について　当社は、顧客起点の発想で課題発見・課題抽出を行い、現場力で提案・実施を行い課題を解決します。このサービスを提供する優秀な人材の確保・育成は重要な経営課題となっております。　当社では継続的に採用活動を行い優秀な人材の確保に注力しておりますが、採用が不調の場合には、当社の将来の業績に影響を及ぼす可能性があります。　当社は、人事制度の充実を継続してまいります。 (5）公的規制に関するリスクについて　当社では、事業活動を展開する各部門において、様々な公的規制を受けております。これらの規制を遵守できなかった場合は、当社の活動が制約される可能性や、調査・訴訟等に基づく請求・罰金・課徴金等を受ける可能性があり、業績に影響を及ぼす可能性があります。　そのような事態を予防すべく当社は、コンプライアンス（法令・規則・ルール等の遵守）を重視するよう、経営陣からの発言及び研修による啓蒙活動を行っております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）業績等の概況　①業績　当社を取り巻く環境は、新型コロナウイルス感染症の影響が緩和され感染防止と社会経済活動の両立を推進する動きが高まっているものの、国際情勢の不安定化による資材価格及びエネルギー価格等の高騰にも注意する必要があります。このような環境において、当社の主要領域におけるイベントは、回復基調にあります。　しかしながら、売上高につきましては、新型コロナウイルス感染症の対応案件の減少と、東京オリンピック・パラリンピックに関する独禁法違反容疑において、官公庁からの指名停止措置等の影響により、案件数及び単価が減少いたしました。この結果、10,966百万円の減収となりました。　費用につきましても、外注費の減少等に伴い、売上原価が7,088百万円減少しました。　以上の結果、当事業年度の業績は下記のとおりとなりました。売上高　　　　8,959百万円（前期同期の売上高は19,925百万円）営業損失　　    383百万円（前期同期の営業利益は3,022百万円）経常損失        378百万円（前期同期の経常利益は3,081百万円）当期純損失      269百万円（前期同期の当期純利益は2,073百万円） 　各部門別の状況は次のとおりであります。〔基本事業部門〕　　　新型コロナウイルス感染症の対応案件の減少と、東京オリンピック・パラリンピックに関する　　独禁法違反容疑において、官公庁からの指名停止措置等の影響により、案件数と案件単価が減少　　し、売上高は6,596百万円と前年同期比57.2％の減収となりました。〔スポーツ事業部門〕　前年の実績と比較して、案件数は増加したものの案件単価の減少により、売上高は774百万円と前年同期比7.7％の減収となりました。〔競争事業部門〕　前年の実績と比較して、大型案件数の減少が影響し、売上高は1,587百万円と前年同期比56.8％の減収となりました。  　部門別の売上高の明細は次表のとおりであります。（単位：百万円） 部　門売　上　高構　成　比前期比増減主　要　領　域基本事業6,59673.6％△8,810（△57.2％）各営業拠点が担当する、様々なイベント領域スポーツ事業7748.7％△64（△7.7％）中央競技団体等が開催するスポーツ・競技に関するイベント領域競争事業1,58717.7％△2,091（△56.8％）皇室ご臨席行事を中心とした全国持ち回りで開催されるイベント領域合　　　計8,959100.0％△10,966（△55.0％）  ②財政状態の分析（資 産）　当事業年度末の総資産は前事業年度末に比べて2,495百万円減少し、12,152百万円となりました。これは主に現金及び預金が1,656百万円、売掛金が885百万円減少したことによるものであります。（負 債）　当事業年度末の負債は前事業年度末に比べて1,719百万円減少し、2,126百万円となりました。これは主に未払金が326百万円、未払法人税等が786百万円、賞与引当金が230百万円減少したことによるものであります。（純資産）　当事業年度末の純資産は前事業年度末に比べて775百万円減少し、10,025百万円となりました。これは主に利益剰余金が660百万円減少し、自己株式が133百万円増加したことによるものであります。 ③キャッシュ・フローの分析　当事業年度末における現金及び現金同等物（以下「資金」という。）は、前事業年度末に比べて1,656百万円減少し、6,437百万円となりました。　当事業年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）　　　　営業活動の結果、支出した資金は1,083百万円（前年同期は1,053百万円の獲得）となりまし　　　た。　　　　これは主に売上債権が871百万円減少した一方、税引前当期純損失が378百万円あったことに加　　　え、賞与引当金が230百万円、未払消費税等が348百万円、未払金が388百万円減少し、法人税等の　　　支払が781百万円あったこと等によるものであります。（投資活動によるキャッシュ・フロー）　投資活動の結果、支出した資金は26百万円（前年同期は82百万円の支出）となりました。　これは主に無形固定資産の取得による支出が25百万円あったこと等によるものであります。（財務活動によるキャッシュ・フロー）　財務活動の結果、支出した資金は545百万円（前年同期は595百万円の支出）となりました。　これは主に自己株式の取得による支出が139百万円、配当金の支払額が390百万円あったこと等によるものであります。  ④生産、受注及び販売の実績ａ．生産実績　　当社で行う事業の性格上、生産実績の記載に馴染まないため、生産実績は記載しておりません。 ｂ．受注実績　　当社で行う事業の性格上、受注実績の記載に馴染まないため、受注実績は記載しておりません。 ｃ．販売実績    当事業年度の販売実績は、以下のとおりであります。 当事業年度（自  2023年４月１日　至  2024年３月31日）前年同期比（％）売上高　合計（百万円）8,95945.0（注）最近２事業年度における主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前事業年度（自  2022年４月１日　至  2023年３月31日）当事業年度（自  2023年４月１日　至  2024年３月31日）金額（百万円）割合（％）金額（百万円）割合（％）岐阜県庁2,53012.7－－ (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 ①重要な会計方針及び見積り　当社の財務諸表は、わが国において一般に公正妥当と認められる会計基準に基づき作成されております。この財務諸表の作成にあたって採用している重要な会計方針及び見積りは、「第５経理の状況 １財務諸表等（１）財務諸表 重要な会計方針」に記載のとおりです。 ②経営成績の分析（売上高）売上高は前期に比べ55.0％減の8,959百万円となりました。主として案件数及び単価が減少しました。その結果、10,966百万円の減収となりました。（売上原価）売上原価は前期に比べ54.3％減の5,962百万円となりました。売上高の減少に伴い、外注費等の経費も減少しました。（販売費及び一般管理費）販売費及び一般管理費は前期に比べ12.3％減の3,379百万円となりました。主に賞与が減少しました。（営業外収益及び営業外費用）営業外収益は前期に比べ85.8％減の8百万円となりました。前期と比べ主に保険解約返戻金が減少しました。営業外費用は前期に比べ10.3％増の３百万円となりました。前期と比べ主に支払手数料が増加しました。（特別利益および特別損失）特別利益は当期は発生しませんでした。特別損失は前期に比べ32.6％減の０百万円となりました。前期と比べ主に固定資産除却損が減少しました。（法人税、住民税及び事業税）法人税、住民税及び事業税は25百万円となりました。（法人税等調整額）法人税等調整額は△134百万円となりました。（当期純利益）売上高の減少に伴い、売上原価、販売費及び一般管理費も減少、営業損失となり当期純損失は269百万円となりました。 ③資本の財源及び資金の流動性についての分析  当社の資金需要は、営業活動に係る資金支出としてイベント制作等に係る外注費、材料費、経費及び人件費などがあります。  これらの所要資金については、自己資金及び金融機関からの借入により調達しています。現状、当社では必要な事業資金は確保されていると認識しております。 ④目標とする経営指標　当社では、主要業績指標として、売上高・営業利益・売上高営業利益率・自己資本当期純利益率（ROE）を掲げております。　当事業年度における売上高は8,959百万円、営業損失383百万円、売上高営業利益率△4.3％、自己資本当期純利益率は△2.6％となりました。  2023年３月2024年３月増減売上高19,925百万円8,959百万円△10,966百万円営業利益3,022百万円△383百万円△3,405百万円売上高営業利益率15.2％△4.3％－自己資本当期純利益率（ＲＯＥ）20.7％△2.6％－  
経営上の重要な契約等	５【経営上の重要な契約等】　特記事項はありません。 
研究開発活動	６【研究開発活動】　特記事項はありません。
設備投資等の概要	１【設備投資等の概要】　当社は、長期的に成長が期待できる大型イベント会場の設営設備に重点を置き、合わせて設営能力を維持するための投資を行っております。当事業年度の設備投資（金額には消費税等を含んでおりません。）は、システム構築費19,172千円を含め総額28,642千円であります。　また、所要資金は自己資金によっております。 
主要な設備の状況	２【主要な設備の状況】　当社における主要な設備は、以下のとおりであります。2024年３月31日現在 事業所名（所在地）事業所の業務内容設備の内容帳簿価額（千円）従業員数（人）建物および構築物機械装置および車両運搬具土地（面積㎡）リース資産工具器具備品合計本社（東京都豊島区）会社管理業務管理設備148,48301,314,698(703.23)9,17013,3951,485,747135群馬物流センター（群馬県前橋市）他１部署　 （注２）資材・施工管理業務設営設備39,23301,102,602(10,617.97)6272,0311,144,49510東京支店（東京都豊島区）他８部署　 （注２）営業業務営業設備2,544－－(－)3,6522556,45195施工センター（埼玉県三芳町）他１部署　 （注２）設営業務設営設備18,730－494,215(3,729.13)729162513,83820千葉支店（千葉市中央区）他11部署　 （注２）営業業務設営業務営業設備設営設備31,62033398,735(2,070.29)5,96998436,457128合計  240,612333,310,250(17,120.62)20,14915,9443,586,990388（注）１　建物の一部を賃借しており、年間賃借料は199,283千円であります。２　現在休止中の主要な設備はありません。３　上記の他、車両およびＯＡ機器（ソフトを含む）をリース契約しており年間リース料は、それぞれ57,642千円、および32,615千円であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式22,000,000計22,000,000 
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月19日）上場金融商品取引所名または登録認可金融商品取引業協会名内容普通株式5,703,5005,703,500東京証券取引所スタンダード市場単元株式数は100株であります。計5,703,5005,703,500－－ 
