項目	値
事業の内容	 ３ 【事業の内容】当社は、宴会場・結婚式場・レストランの経営と洋菓子等の販売を行っております。  当社の事業系統図は次のとおりであります。 　
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】当社の経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　なお、文中における将来に関する事項については、当事業年度末現在において、入手しうる情報に基づいて当社が判断したものであります。 (1) 経営方針当社は、1922年創業以来、永い歴史と伝統により培われた、わが国を代表する国際社交場として、確かな味とサービス、格調高い施設を提供し、お客様のご要望にお応えするとともに、わが国の食文化の発展に貢献することを企業理念としております。このような企業理念のもと、営業力を一層強化するとともに、財務体質の改善、原価管理の徹底と諸経費の削減、組織、業務内容の効率化、合理化を図り、いかなる環境の変化にも対応できる経営体質を構築し、適正な利益を確保することを経営の基本方針としております。 (2) 経営環境及び対処すべき課題等今後の経済見通しにつきましては、金融政策の転換やタイトな労働市場などの不安要因はありながらも、景気の回復基調は維持され、賃金と物価の好循環が実現することが期待されます。このような状況の下、当社は「中期経営計画（2023～2025年度）」の２年目にあたる2024年度におきましては、「現有資産の収益力を最大限に引き出すこと」と「経営基盤の強化」を重点テーマとして掲げた経営計画を引き続き推し進めてまいります。当経営計画の数値目標は2023年度において大幅な超過達成となったため、2024年度以降新たな数値目標を掲げ、その目標の達成に向けて邁進してまいります。一般宴会は大型宴会の受注が増加し、婚礼の受注状況は引き続き好調に推移している現在の状況において、現有資産の収益力を最大化するためには、これまで以上にブランド価値に訴求した受注活動が重要になると考えております。そのためにも、大正11年の創業以来の企業理念である「確かな味とサービス、格調高い施設を提供することで、我が国の食文化の発展に貢献すること」の具現化を通じて「期待を超える上質な味とサービス」をお客様に提供してまいります。また、これらの活動が企業価値のさらなる向上に通じるものと確信しております。当社は、今後も引き続きコーポレートガバナンスやコンプライアンス体制の充実とリスク管理体制の更なる強化を図るとともに、企業としての社会的責任を果たすべくサステナブルな社会を実現するための経営課題にも積極的に取り組んでまいります。 
事業等のリスク	３ 【事業等のリスク】有価証券報告書に記載した業績の状況、経理の状況等に関する事項のうち、経営者が財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 (1) 食品衛生および食品安全に関するリスク当社では「食品衛生対策委員会」を設置し、万全の食品衛生管理体制をとっておりますが、ノロウイルス等の食中毒の発生が大きなリスクとなっております。万一、食の安全性が問われる問題が発生した場合、お客様の信頼を損ね、当社の業績に影響を及ぼす可能性があります。このため、当社では、食品衛生対策委員会を組織し、当該委員会による講習会の適宜実施や各営業所及び食材購入先への衛生指導に加え、外部機関による衛生検査の実施等、更なる衛生管理の徹底を図っております。また、「HACCPの考え方を取り入れた衛生管理」を導入して食品衛生の見える化にも取り組んでおります。 (2) 防火・防災および事故に関するリスク当社におきましては、店舗による事業展開を行っているため、大規模地震・火災など自然災害・事故等により店舗の営業継続に影響を及ぼす可能性があります。このため、当社では、防火・防災対策委員会を組織し、当該委員会の指導のもと、各営業所において直下型地震等防災訓練にも積極的に参加するとともに、東京消防庁主催の「普通救命（応急手当）講習会」にも多くの従業員が参加し救命技能認定を受け、「応急手当奨励事業所」に認定されるなど、緊急時におけるお客様への対応に備えております。 (3) 退職給付に関する債務におけるリスク当社における退職年金資産運用の結果が前提条件と異なる場合、その影響額（数理計算上の差異）はその発生の翌事業年度に１年間で費用処理することとしております。年金資産の運用利回りの悪化や超低金利政策の長期化による割引率の低下等が、当社の翌事業年度の業績及び財務状況に悪影響を与える可能性があります。このため、当社では、企業年金基金に対して適切な代議員を選出・配置するとともに運営報告を定期的に受けるなど、基金の運営状態をモニターしております。 (4) 顧客個人情報に関するリスク当社におきましては、多くの顧客の個人情報を保有しております。この個人情報の管理は社内管理体制を整備して、厳重に行っておりますが、犯罪行為などによる情報漏洩が発生する可能性があり、その場合、当社の社会的信用の失墜による売上高の減少や、損害賠償の発生など業績に影響を及ぼす可能性があります。このため、当社では、情報管理委員会の活動として、顧客情報の取扱いに関し社員研修会での説明や社内イントラネットに注意事項を掲載するなど、従業員への周知・徹底を図っております。 (5) 感染症発生に関するリスク新型コロナウイルス感染症を含む感染症の発生および拡大に際しては、顧客・従業員の安全を最優先とした対応をとった上で営業継続を行うことを原則としますが、当社または商圏内全般において当局による規制や自粛要請が行われた場合、当社の業績に影響を及ぼす可能性があります。このため、当社では、感染症対策委員会を組織して感染症に係る情報収集・対策立案・全社各部門への指示を迅速に行う体制を整えております。また、消毒液の備置・CO2センサーの設置・在宅勤務体制の整備など、お客様と従業員の健康と安全を第一に考えた防疫体制を整備しております。 (6) 資金調達に関するリスク「第２　事業の状況　５　経営上の重要な契約等」に記載しております資金の借入には、各種コベナンツ(財務制限条項など) が付されています。いずれかのコベナンツに抵触した場合、当該債務について期限の利益を喪失し、その結果、当社の財政状態に影響を及ぼす可能性があります。   
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当事業年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は以下のとおりであります。 ①経営成績の状況当事業年度におけるわが国経済は、新型コロナウイルス感染症の収束により社会経済活動が正常化し、回復基調のなかで推移しました。一方、常態化する円安やコストプッシュ型の価格上昇、不安定な国際情勢や自然災害等の影響など、景気の下振れリスクが存在しており、先行き不透明な状況が継続しております。このような状況の下、当社はコロナ禍により遂行が阻まれていた「現有資産の収益力を最大限に引き出す」という経営課題に対してスピード感をもって取り組みました。コロナ禍では多くの需要が消失したため、短期的な視点での事業ミックスやオペレーションを余儀なくされましたが、感染症が収束した当事業年度は、三代目本舘建築計画で描いた本来的な姿での収益力の最大化を指向した運営への転換を図るとともに商品・サービスの付加価値向上に努め、ブランド力の強化を図りました。また、持続的成長のための「経営基盤の強化」が重要であるとの認識の下、その柱の一つである人的資本分野においても環境整備に取り組み、業績の急回復を支える従業員の報酬アップや各部門における業務の質の向上など、「働きがいがある」組織づくりのための諸施策を実行し、継続的な組織力向上を図ってまいりました。当事業年度の売上高は、宴会・食堂・売店その他の全ての部門で前期に比べて増加し、14,883百万円(前期比1,998百万円増加)となりました。コロナ禍からの回復は前事業年度後半から勢いが増しましたが、当事業年度は更に加速してコロナ禍以前の売上高を超えるに至りました。回復が遅れていた営業所も本舘と遜色がない水準まで回復が進み、本舘および各営業所が足並みを揃えて売上高の向上に寄与しました。経費面では、仕入価格高騰や供給不安があるなか、原材料を計画的に合理的なコストで調達する工夫をおこない、人材については全社横断で機動的に再配置をおこなうなど、その効率性を高めてまいりました。その結果、営業利益は1,047百万円(前期比818百万円増加)となり、経常利益は986百万円(前期比710百万円増加)となりました。また、繰延税金資産の評価を見直したことなどにより当期純利益は前事業年度から大幅に増加し、1,535百万円(前期比1,285百万円増加)となりました。 これを部門別にみますと宴会部門につきましては、コロナ禍収束後の法人需要を取り込むべく継続してきた営業活動が結実し、法人需要を中心に一般宴会の売上高が大幅に増加しました。また、前事業年度において既にコロナ禍前の水準を超える売上高を計上した婚礼も引き続き好調に推移しました。この結果、一般宴会、婚礼合計の宴会部門売上高は10,576百万円(前期比15.9%増) となりました。食堂部門につきましては、人流の回復がさらに顕著となり来客数も大幅に増加し、季節感豊かなメニューの考案や各種フェアの実施、ニーズに合わせたプランの提案等を積極的におこなうなど創意工夫に励んだ結果、各店舗で連日の賑わいを見せました。また、本舘「プルニエ」が「ミシュランガイド東京2024」において一つ星を連続して獲得するなど、ブランドの価値向上への取り組みが成果として発現しました。その結果、東宝日比谷プロムナードビルに新規開店したレストラン「Ｄｒａｐｅ」の売上も加わり、売上高は3,164百万円(前期比19.1%増)となりました。売店・その他の営業につきましては、舘内販売では、宴会部門での引き菓子が伸びたほか、環境への配慮から生まれたアイデア商品も好評価をいただき、食品部門では、顧客の店舗回帰が顕著となった百貨店等において伝統の焼菓子や半生菓子を中心に店舗での販売が好調でありました。また、オンラインショップでは個人・法人の各お客様へ訴求できるサイトを構えており、その販売も引き続き好調でありました。その結果、売上高は1,143百万円(前期比3.3%増)となりました。 ②財政状態の状況総資産は、前事業年度末に比べて1,210百万円増加し26,430百万円となりました。その主な要因は、現金及び預金が794百万円、有価証券が500百万円、投資有価証券が861百万円それぞれ増加し、有形固定資産が830百万円、長期前払費用が134百万円それぞれ減少したことであります。負債は、前事業年度末に比べて854百万円減少し16,832百万円となりました。その主な要因は、未払金が108百万円、未払法人税等が138百万円それぞれ増加し、長期借入金が240百万円、リース債務が229百万円、前受金が119百万円、繰延税金負債が572百万円それぞれ減少したことであります。純資産は、当期純利益の計上などにより、前事業年度末に比べ純額で2,065百万円増加し9,597百万円となりました。これらの結果、自己資本比率は前事業年度末に比べて6.4ポイント増加して36.3%となりました。 ③キャッシュ・フローの状況当事業年度末の現金及び現金同等物（以下「資金」という）は、前事業年度末に比べ794百万円増加し、5,512百万円となりました。当事業年度における営業活動によるキャッシュ・フローは、1,936百万円の純収入（前事業年度は1,073百万円の純収入）となりました。これは主に税引前当期純利益882百万円に、減価償却費783百万円、減損損失104百万円等の非資金取引による増加、売上債権の増減額80百万円による運転資本の増減によるものであります。当事業年度における投資活動によるキャッシュ・フローは、624百万円の純支出（前事業年度は333百万円の純支出）となりました。これは主に有価証券の取得による支出800百万円、保険積立金の積立による支出168百万円、有価証券の償還による収入300百万円、保険積立金の払戻による収入190百万円によるものであります。当事業年度における財務活動によるキャッシュ・フローは、517百万円の純支出（前事業年度は465百万円の純支出）となりました。これは主に長期借入金の返済による支出240百万円、リース債務の返済による支出210百万円によるものであります。  ④生産、受注及び販売の実績　当社は、主としてレストラン・宴会サービスを提供しているため、生産及び受注に替えて仕入実績を記載しております。イ　仕入実績当事業年度における仕入実績は、次のとおりであります。 仕入高(千円)前期比(％)料理飲料材料1,712,55422.13洋菓子等製造材料112,5709.86サービス仕入2,885,082△1.22計4,710,2076.43 (注)　当社の提供する製商品及びサービスは、各売上部門間に複雑に関連し、売上部門単位で生産実績を記載するこ　　とができないので、基礎的な材料およびサービスの仕入額を記載しております。 ロ　販売実績前事業年度、当事業年度における販売実績は、次のとおりであります。 前事業年度当事業年度 販売高(千円)前期比(％)販売高(千円)前期比(％)宴会9,122,67858.510,576,29715.9食堂2,656,22361.93,164,33119.1売店他1,106,78810.21,143,1513.3計12,885,69053.414,883,77915.5 (注)　前事業年度において、販売実績に著しい変動（前期比53.4％）がありました。これは、コロナ禍からの回復が　　さらに進んだためであります。  (2)経営者による経営成績等の状況に関する分析・検討内容①当事業年度の財政状態及び経営成績の状況に関する認識及び分析・検討内容 当事業年度の売上高は、新型コロナウィルス感染症の収束による社会経済活動の正常化により、個人消費や企業収益の改善が加速するなかで宴会・食堂・売店その他の各部門において前事業年度に比べて増加し14,883百万円（前期比15.5%増）となりました。営業利益は、売上高の増加および調達コストのコントロールならびに人的資源の効率化などにより前期比818百万円増加の1,047百万円（前期比357.8%増）となり、経常利益は986百万円（前期比257.2%増）となりました。また、繰延税金資産の評価を見直したことなどにより当期純利益は1,535百万円（前期比515.3%増）となりました。総資産は、営業活動による資金の増加や投資有価証券の時価評価による増加などの増加要因及び有形固定資産の減価償却、減損損失などの減少要因により、前事業年度末に比べて1,210百万円増加し26,430百万円となりました。負債は、長期借入金、リース債務の約定返済や繰延税金資産の評価見直しによる繰延税金負債の減少などにより、前事業年度末に比べて854百万円減少し16,832百万円となりました。これらの結果、流動比率は218.8%、固定長期適合率は83.7%となり、前事業年度に引き続き、高い安全性指標となりました。 ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当事業年度の営業活動によるキャッシュ・フローは、税引前当期純利益に減価償却費、減損損失などの非資金取引や運転資本の増減などにより、1,936百万円の純収入となりました。投資活動によるキャッシュ・フローは、有価証券や有形固定資産の取得などにより、624百万円の純支出となりました。財務活動によるキャッシュ・フローは、借入金などの有利子負債の返済や配当金の支払いなどにより、517百万円の純支出となりました。これらの結果、当事業年度末の現金及び現金同等物は、前事業年度末から794百万円増加して5,512百万円となりました。当社は営業活動から生じるキャッシュ・フローを主たる資金の源泉としており、この内部生成資金が通常の事業活動、設備投資、法人税や配当の支払いなどをまかなうに足りると考えております。加えて、金融機関との間にコミットメントライン等を設定することで、急な資金需要や不測の事態にも備えております。コミットメントライン等の状況については、「第５ 経理の状況 １ 財務諸表等 （１）財務諸表 注記事項 （貸借対照表関係）」に記載のとおりです。 ③重要な会計上の見積り及び当該見積りに用いた仮定当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　財務諸表等　（１）財務諸表　注記事項　（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】(資金の借入)当社は、受託者との間で東京會舘本舘ビル等の一部を信託財産とした信託契約を締結しております。受託者は、以下のとおり金融機関（「貸付人」）との間で(責任財産限定特約付) 金銭消費貸借契約を締結した上で融資を受けております。受益者である当社は、借入当日において、信託元本の一部交付請求を行い、受託者が借り入れた融資金を受託者から受領し、当該金額は財務諸表上において借入金として掲記しております。貸付人借入金額(当事業年度末残高)利率借入日借入方法借入期間返済条件担保三菱ＵＦＪ銀行100億円(96.0億円)市場金利に約定スプレッドを加算した利率2022年３月31日左記借入先を貸付人とし、三菱ＵＦＪ信託銀行株式会社を借入人とする2022年３月29日付の金銭消費貸借契約に基づく借入れ７年間 (延長オプションあり)一部約定返済条件付期日一括返済有担保無保証三井住友銀行20億円(19.2億円)  
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当事業年度の設備投資については、継続的な設備環境の改善や競争力の向上を目的とした投資を行っております。当事業年度の設備投資は、千石工場菓子生産設備改修工事等54百万円であります。 
主要な設備の状況	２ 【主要な設備の状況】2024年３月31日現在事業所名(所在地)事業部門の名称設備の内容帳簿価額(千円)従業員数(名)建物及び 構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計本社(東京都中央区)―本社機能00－（－)－4,2774,27717(0)本舘(東京都千代田区)レストラン・宴会事業及び関連業務本社機能宴会場食堂10,826,8756,2771,423,473(750.19)958,390146,64513,361,662259(54)如水会館(東京都千代田区)レストラン・宴会事業及び関連業務宴会場食堂00－（－)00050(80)大手町営業所(東京都千代田区)レストラン・宴会事業及び関連業務宴会場食堂1060－（－)534064121(21)三菱クラブ(東京都千代田区)レストラン・宴会事業及び関連業務食堂2620－（－)485074812(9)三越日本橋本店営業所(東京都中央区)レストラン・宴会事業及び関連業務食堂－308－（－)0030820(25)銀座営業所(東京都千代田区)レストラン・宴会事業及び関連業務食堂00－（－)00011(15)日比谷プロムナードビル営業所(東京都千代田区)レストラン・宴会事業及び関連業務食堂140,5237,674－（－)－7,449155,6479(6)ＩＨＩクラブ(東京都江東区)レストラン・宴会事業及び関連業務食堂－－－（－)21302136(1)癌研有明病院営業所(東京都江東区)レストラン・宴会事業及び関連業務食堂3990－（－)003994(6)東京會舘千石ビル(東京都江東区)レストラン・宴会事業及び関連業務菓子工場6,79433,980534,750(1,001.37)－2,687578,21239(41) (注) １　上記中従業員数の(　)は臨時従業員数を表示しております。２　帳簿価額のうち「その他」は工具、器具及び備品の合計であります。 
株式の総数	① 【株式の総数】種類発行可能株式総数(株)普通株式8,900,000計8,900,000  
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月21日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,463,9433,463,943東京証券取引所スタンダード市場単元株式数は100株であります。計3,463,9433,463,943―― 　
