項目	値
事業の内容	 ３ 【事業の内容】当社グループ(当社及び当社の関係会社)は、当社、子会社１社、その他の関係会社３社で構成され、喫茶店等の経営を主たる業務としております。 喫茶等事業………………喫茶店100店舗(当社99店舗、子会社㈲銀座ルノアール１店舗を首都圏中心に展開しております。以上、述べた事項を事業系統図によって示すと次のとおりであります。 (事業系統図)  (注)　無印、連結子会社※印、その他の関係会社 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 経営方針当社グループは、創業以来東京を中心に喫茶業を展開し、くつろぎと憩いの場をより多くのお客様に提供する事を企業理念としてまいりました。今後、ますます求められるコミュニティプラザとしての社会的存在意義に応えるため、直営店のみにとどまらずフランチャイズ方式による出店を考慮し、市場の変化に柔軟に対応しつつ「喫茶室ルノアール」を中心とし「ホスピタリティサービスの充実」をテーマとしたブランドイメージの確立を図ります。グループ各社一体となってこの企業理念、基本方針のもと業績の向上並びに、お客様・取引先・投資家の皆様の信頼と期待に応えられる会社を目指してまいります。 (2) 経営戦略等当社グループは、創業以来迅速かつ正確な情報の把握と意思決定を最重要課題としており、少数精鋭による管理形態を踏襲してまいります。また、情報化時代及び時代の変化に対応するために基本方針を継続しつつ、経営規模の拡大を考慮し、管理者層の育成にも努力してまいります。さらに、戦略策定機能の強化、お客様重視の体制強化を主眼とした経営体質の質的強化を目的として、経営システム改革を実施することを決定し、意思決定の迅速化や、より一層の事業の効率化を目指します。 (3) 経営環境今後、喫茶業界における市場は細分化が進み、お客様のニーズがますます多様化し、商品やサービスに対する選択が更に厳しくなる中、異業種からの参入もあり、企業間における競争が一段と激化するものと考えております。 (4) 優先的に対応すべき事業上及び財務上の課題指定感染症レベルの引き下げに伴い景気は回復傾向にあるものの、物価高の影響や人材確保難、物流の2024年問題等、外食産業を取り巻く厳しい環境はしばらく続くものと予測しております。当社グループといたしましては、このような状況の中でも「銀座ルノアール」の価値観を認識していただくために、お客様の視点に立った店舗づくりに力を入れていくため、今まで以上に以下の課題に取り組んでまいります。①　お客様の満足度向上のための「ホスピタリティサービスの充実」「商品開発」への取組②　新規出店への取組③　不採算店舗の見直し・撤退を徹底し、利益構造改革への取組④　人材の活性化を推進し、これからの当社グループを担う人材教育への取組 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 ①　喫茶業への依存について当社グループは、売上高の大半を喫茶事業等によっており、そのため業績は、喫茶事業を取り巻く環境の影響を受けやすい構造にあります。低価格の同業他社も多く競争が激化しております。当社グループは、拡大する市場の中でシェアを確保していくためコスト削減を進め、価格競争にも対応していく方針ですが、これらの施策がうまく機能しなかった場合、今後の業績に影響を与える可能性があります。 ②　出店政策について当社グループ全体で2024年３月31日現在、喫茶事業として100店舗を運営しております。今後も店舗の新規出店及び新業態の拡大を図っていく方針でありますが、今後においても喫茶業として関東地区に重点をおきつつ全国展開も視野に入れて出店を行う方針であります。しかしながら喫茶業界では、同業他社の積極的な出店による競合に加え、他業種との競合もあり、来店客数の減少、売上単価の低下などにより当社グループの業績に影響を及ぼす可能性があります。当社グループの新規出店先の選定に関しましては、入居保証金や賃借料等の出店条件、商圏人口等を総合的に勘案の上決定し、個別店舗の採算を重視した店舗展開を行っており、当社グループの出店条件に合致する物件がなければ出店予定数を変更することもあるため、業績に影響を及ぼす可能性があります。 ③　店舗展開について店舗の収益性は立地選定の成否に大きく影響します。出店後も競合の出店等、立地環境の外的変化が収益性に大きな影響を及ぼす可能性があります。したがって当初の利益予想を大幅に下回る店舗が発生する場合には、やむなく店舗閉鎖をすることがあります。また、賃貸人等の事情による契約の終了により、業績が好調な店舗であっても閉鎖を余儀なくされる場合があります。当社は出店にあたり賃借契約を締結し保証金等を差し入れております。契約時に社内で審査を行っておりますが、賃貸人等に破綻等が生じた時、当該賃貸人等に対する差入保証金等の全部又は一部が回収できなくなり損失が発生する可能性があります。 ④　衛生管理について商品及び食材の管理に関しては、保健所で行っている衛生検査に加えて、随時各種検査を行っております。また、独自に策定したマニュアル、指導書に基づき定期的に店舗の衛生状態を確認しております。今後においても衛生面に留意していく方針でありますが、近年、消費者の食品の安全性に対する関心が高まっていることもあり、食中毒の発生等衛生上の問題が発生した場合には、当社グループの業績に影響を及ぼす可能性があります。 ⑤　経営成績の季節及び天候の変動について当社グループの事業は、季節の変動や天候の変化及び各地域、国際的催事等が業績に影響を及ぼす可能性があります。 ⑥　人材の採用及び育成について当社グループは、優れた人材の採用及び育成を最重要課題の一つとして認識しており、主に以下のような施策を実施しております。１．業界・経験を問わない即戦力化のための中途採用、組織活性化のための新卒採用の実施２．能力主義を基本とした、職位資格制度、人事考課制度の実施３．社内研修制度による理念教育及び実務教育の徹底これらの施策がうまく機能せず、当社グループの求める人材の確保や教育が計画どおりに行えない場合には、当社グループの業績に影響を及ぼす可能性があります。 ⑦　個人情報の漏洩について当社グループは、多数の個人情報を保有しており、適正管理に努めておりますが、万が一個人情報の漏洩や不正使用などの事態が生じた場合には、社会的信用の失墜、損害賠償請求の提起等により業績に影響を及ぼす可能性があります。 ⑧　事故、自然災害について当社グループは、事故・災害等で店舗が被害を被った場合、お客様、従業員、建物等固定資産の被害、営業停止等で業績に影響を及ぼす可能性があります。 ⑨　システムトラブルについて当社グループは、通信ネットワークやコンピュータシステムを使用し、商品の調達、業績管理など多岐にわたるオペレーションを実施しております。そのため想定外の自然災害や事故等により設備に甚大な損害があった場合、業務に支障をきたし、業績に影響を及ぼす可能性があります。 ⑩　減損会計について当社グループを取り巻く事業環境の変化等により、店舗ごとの収益性が著しく低下した場合には、「固定資産の減損に係る会計基準」の適用により、当社グループの保有する固定資産について減損損失の計上が必要になり、その場合には当社グループの業績に影響を及ぼす可能性があります。 ⑪　主要商品の仕入価格の変動当社グループの主要商品であるコーヒー豆の価格は、相場における需給の状況、生産地の政治経済の情勢、天候等の影響を受けて変動します。このコーヒー豆を含む商品の仕入価格が高騰した場合、当社グループの業績に影響を及ぼす可能性があります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	" ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループ(当社、連結子会社)の財政状態、経営成績及びキャッシュ・フロー(以下、「経営成績等」という。)の状況の概要は次のとおりであります。①　財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、新型コロナウイルス感染症に対する各種制限緩和により、景気は緩やかに回復の兆しがみられました。一方で、東欧情勢をはじめとする地政学リスク、円安の影響による原材料コストの上昇もあり、依然として経済は先行き不透明な状況が続いております。このような状況の中、当社グループは、新規出店及び撤退による収益向上を進めてまいりました。また、カフェ・喫茶業態においては、秋季限定商品「和栗のマロンドリンク」、冬季限定商品「チョコではなく""カカオ""香るカカオオーレ」、春季限定商品「いちごミルク」の発売、喫茶室ルノアール業態においては、アルコールメニューの再開、ミヤマ珈琲業態においては、サクマ製菓株式会社様の人気商品「いちごみるくキャンディ」とコラボレーションした「""キャンディグリッター煌めく""ふわとろシフォン」を発売いたしました。さらに、人員配置の効率化等、各種経費削減にも継続して努めてまいりました。今後もさらにお客様に求められる価値観を提供し続けることができるよう、より高品質の商品やホスピタリティあふれるサービスの提供に努めてまいります。店舗数につきましては、2023年５月シャトレーゼ小金井東町店、７月シャトレーゼ蒲田サンライズ店、９月銀座２丁目ガス灯通り店、11月東京駅八重洲さくら通り店、12月池袋西武前店、2024年３月ナカノサウステラ店を新規オープンし、2023年６月カフェ・ルノアール御徒町春日通り店、カフェ・ルノアール秋葉原昭和通り口店を業態変更し、御徒町春日通り店、秋葉原昭和通り口店としてオープンいたしました。2023年４月代々木西口駅前店、５月新宿小滝橋通り店、銀座松屋通り店、７月神田南口駅前店、10月新有楽町ビル店、11月大船店、BAKERY HINATA相武台店、2024年３月BAKERY HINATA大宮大成町店を閉店いたしましたので、100店舗となりました。この結果、当連結会計年度の財政状態及び経営成績は以下のとおりとなりました。ａ．財政状態当連結会計年度末の資産合計は、前連結会計年度末に比べ170百万円減少し、6,258百万円となりました。当連結会計年度末の負債合計は、前連結会計年度末に比べ92百万円減少し、3,054百万円となりました。当連結会計年度末の純資産合計は、前連結会計年度末に比べ77百万円減少し、3,203百万円となりました。ｂ．経営成績当連結会計年度の経営成績は、売上高7,351百万円(前期比20.0％増)、営業利益15百万円(前期は414百万円の営業損失)、経常利益68百万円(前期は190百万円の経常損失)、親会社株主に帰属する当期純損失59百万円(前期は親会社株主に帰属する当期純損失293百万円)となりました。 ②　キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物(以下「資金」という。)は、2,287百万円となり前連結会計年度末に比べ300百万円減少いたしました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。(営業活動によるキャッシュ・フロー)営業活動によるキャッシュ・フローは316百万円の収入(前年同期は34百万円の支出)となりました。これは主に、減損損失が153百万円、減価償却費が189百万円あったことによるものであります。(投資活動によるキャッシュ・フロー)投資活動によるキャッシュ・フローは454百万円の支出(前年同期は357百万円の支出)となりました。これは主に、有形固定資産の取得による支出が409百万円あったことによるものであります。(財務活動によるキャッシュ・フロー)財務活動によるキャッシュ・フローは162百万円の支出(前年同期は141百万円の支出)となりました。これは主に、短期借入金の返済による支出が80百万円、リース債務の返済による支出が62百万円あったことによるものであります。  ③　仕入及び販売の実績当社グループの事業は喫茶等事業の単一セグメントでありますので品目別に記載しております。ａ．商品仕入実績当連結会計年度の商品仕入実績を品目別に示すと、次のとおりであります。 区分当連結会計年度(自　2023年４月１日至　2024年３月31日)金額(千円)前期比(％)喫茶等事業  飲料・食品1,385,461142.0雑貨20,49594.1合計1,405,957141.0  ｂ．販売実績当連結会計年度の販売実績を品目別に示すと、次のとおりであります。 区分当連結会計年度(自　2023年４月１日至　2024年３月31日)金額(千円)前期比(％)喫茶等事業  飲料・食品7,325,249120.1雑貨23,730103.9その他2,111101.0合計7,351,091120.0   (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①　財政状態及び経営成績の状況に関する認識及び分析・検討内容ａ．財政状態(流動資産)流動資産は、2,718百万円となり前連結会計年度末に比べ254百万円減少いたしました。これは主に現金及び預金が300百万円減少したことによるものであります。(固定資産)固定資産は、3,539百万円となり前連結会計年度末に比べ84百万円増加いたしました。これは主に有形固定資産が57百万円、繰延税金資産が41百万円増加したことによるものであります。(流動負債)流動負債は2,234百万円となり前連結会計年度末に比べ11百万円減少いたしました。これは主に賞与引当金が21百万円、買掛金が10百万円増加したものの、短期借入金が44百万円減少したことによるものであります。(固定負債)固定負債は、820百万円となり前連結会計年度末に比べ81百万円減少いたしました。これは主にリース債務が63百万円減少したことによるものであります。(純資産)純資産は、3,203百万円となり前連結会計年度末に比べ77百万円減少いたしました。これは主に利益剰余金が77百万円減少したことによるものであります。以上の結果、当連結会計年度末の自己資本比率は、前連結会計年度末に比べ0.2％増加し、50.5％となりました。ｂ．経営成績(売上高)当連結会計年度の売上高は、前連結会計年度に比べて1,226百万円(前期比20.0％増)増加し、7,351百万円となりました。(営業利益)当連結会計年度の営業利益は、15百万円(前年同期は414百万円の営業損失)となりました。これは主に売上高が1,226百万円増加したことによるものであります。(経常利益)経常利益は、68百万円(前年同期は190百万円の経常損失)となりました。これは主に営業利益の増加によるものであります。(親会社株主に帰属する当期純損失)親会社株主に帰属する当期純損失は、59百万円(前年同期は293百万円の親会社株主に帰属する当期純損失)となりました。これは主に減損損失が153百万円あったことによるものであります。また、１株当たり当期純損失は、9.68円(前年同期は48.05円の１株当たり当期純損失)となりました。(経営上の目標の達成状況を判断するための客観的な指標等の進捗状況)2019年度57期が前中期５か年計画最終年度であり、店舗数150店舗、年商100億円の中期目標は未達でございました。57期第４四半期に58期以降の新たな中期計画を検討中に新型コロナウイルス感染症の影響が出始め、経営環境は急激に厳しい状況へと変化し始めました。58期以降は業績改善を最優先として活動してきましたが、先行き不透明な状況でもあることから中期計画は検討しておりますが、確定はしておりません。　 ｃ．経営成績の状況に関する認識及び分析・検討内容当社グループの経営に影響を与える大きな要因としては、喫茶業への依存、出店政策、仕入価格の変動、人材の採用及び育成等があります。ア) 喫茶業への依存当社グループは喫茶事業の単一セグメントである為、喫茶事業を取り巻く環境の影響を受けやすい構造にあり、シェアを確保していく為に関東地区に重点をおきつつ全国展開も視野に入れて出店を行う方針です。しかしながら、拡大する市場の中でシェアを確保していく施策が機能しなかった場合は、業績に影響を与える要因となります。イ) 出店政策店舗の収益性は立地選定の成否に大きく影響します。当社グループの新規出店先の選定に関しましては、入居保証金や賃借料等の出店条件、商圏人口等を総合的に勘案の上決定し個別店舗の採算を重視した店舗展開を行っており、出店条件に合致する物件がなければ出店数が減少し業績に影響を与える要因となります。出店先の確保に向けては情報網を駆使し、収益性の高い店舗の選定をしていく最大限の努力をしてまいります。ウ) 仕入価格の変動当社グループの主要商品であるコーヒー豆の価格は、相場における需給の状況、生産地の政治経済の情勢、天候等の影響を受けて変動します。このコーヒー豆を含む商品の仕入価格が高騰した場合、業績に影響を与える要因となります。エ) 人材の採用及び育成当社グループは、ホスピタリティサービスを提供することを経営理念のひとつに掲げていることから、人材の採用及び育成が重要課題であるとの認識のもと、様々な施策を実施しておりますが、最近の採用難による人手不足や教育が計画どおり行えない場合に業績に影響を与える要因となります。働き方の多様性や雇用形態の多様性等についての整備を進め、定着率を高めるとともに更なる人材の教育に力を注いでまいります。②　キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社グループのキャッシュ・フローの状況につきましては、「(1)経営成績等の状況の概要　②キャッシュ・フローの状況」に記載しております。当社グループの運転資金需要のうち主なものは、仕入原価、店舗の賃借料、人件費の営業費用であります。投資を目的とした資金需要は、有形固定資産の取得、敷金、保証金の差入等によるものであります。また、事業運営上必要な流動性と資金の源泉を安定的に確保することを基本方針としております。運転資金及び設備資金につきましては、自己資金または金融機関からの短期借入金を基本としております。なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は2,221百万円となっております。また、当連結会計年度末における現金及び現金同等物の残高は2,287百万円となっております。 ③　重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたり、見積りが必要となる事項につきましては、合理的な基準に基づき、会計上の見積りを行っております。なお、詳細につきましては、「第５　経理の状況　１連結財務諸表等 (1) 連結財務諸表　注記事項　(重要な会計上の見積り)」に記載しております。 "
経営上の重要な契約等	 ５ 【経営上の重要な契約等】フランチャイズ加盟契約 相手方の名称加盟店のブランド名称契約締結日契約内容契約期間株式会社シャトレーゼシャトレーゼ2022年３月９日フランチャイズ権の付与、商標の使用許諾、経営指導等店舗開業日から10年間、契約満了前までに当社からの申し出により更新可能 (注)　上記のフランチャイズ加盟契約においては、加盟金、研修費用を支払うことになっております。 
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資の総額は375百万円であり、その主なものは新規出店(6店舗)及び業態変更(2店舗)であります。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社      (2024年３月31日現在)事業所名(所在地)設備の内容土地帳簿価額従業員数(人)面積(㎡)帳簿価額(千円)建物(千円)工具、器具及び備品(千円)リース資産(千円)その他(千円)喫茶等店舗(銀座６丁目店他98店舗)店舗設備――852,50039,582―0121(1,589)本社(中野区)統括業務施設325.33487.167118,6866,112107,949034(10)倉庫(埼玉県)倉庫986.7428,872895――――(―) (注) １．現在賃借中の面積は、19,416.01㎡でその年間賃借料は1,759,963千円であります。２．臨時雇用者数は( )内に年間の平均人員を外数で記載しております。 (2) 国内子会社      (2024年３月31日現在)会社名事業所名店舗数設備の内容帳簿価額賃借面積(㎡)年間賃借料(千円)従業員数(人)建物(千円)工具、器具及び備品(千円)その他(千円)有限会社銀座ルノアール喫茶等店舗(１店舗)店舗設備22,9060―214.5012,9051(17) (注)　臨時雇用者数は( )内に年間の平均人数を外数で記載しております。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式20,000,000計20,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,252,0046,252,004東京証券取引所スタンダード市場単元株式数100株計6,252,0046,252,004―― (注)　「提出日現在発行数」欄には、2024年６月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
