項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び子会社７社で構成され、飲食店の経営、フランチャイズ(FC)店舗への材料提供及び経営指導を主な事業の内容としております。当社グループ事業に係わる位置付け及び事業部門との関連は次のとおりであります。当社グループの報告セグメントは「外食事業」のみであり、その他の事業セグメントは重要性が乏しいため、記載を省略しております。なお、当社は特定上場会社等に該当し、インサイダー取引規制の重要な事実の軽微基準のうち、上場会社の規模との対比で定められる数値基準については連結ベースの計数に基づいて判断することとなります。 事業部門の名称事業内容会社名外食事業和食麺処サガミ部門和食麺類店「和食麺処サガミ」の経営サガミレストランツ株式会社味の民芸部門手延べうどんと和食の「味の民芸」の経営、フランチャイズ店舗への材料提供及び経営指導味の民芸フードサービス株式会社どんどん庵部門セルフサービス方式の「どんどん庵」の経営、フランチャイズ店舗への材料提供及び経営指導サガミレストランツ株式会社その他部門セルフそば専門店「二代目長助」の経営サガミレストランツ株式会社味の民芸フードサービス株式会社その他飲食店の経営、フランチャイズ店舗への材料提供及び経営指導当社サガミレストランツ株式会社味の民芸フードサービス株式会社株式会社サガミフードサガミインターナショナル株式会社SINGAPORE SAGAMI PTE.LTD.VIETNAM SAGAMI JOINT STOCK COMPANYその他の事業子会社等の経営管理およびそれに付帯または関連する事業不動産賃貸業務当社株式会社サガミマネジメントサポート 　 事業の系統図は次のとおりであります。  　
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 (1) 会社の経営の基本方針当社グループでは、グループビジョンである「No.1 Noodle Restaurant Company」を実現するために、グループの経営理念である「私たちは、「食」と「職」の楽しさを創造し、地域社会に貢献します～すべてはみんなのゆたかさと笑顔のために～」を合言葉に、株主様、お客様、従業員、お取引先様など、全てのステークホルダーの皆様に繋がる取り組みを経営の基本としており、各店舗が夫々の地域で一番店になるような活力溢れる力強い企業集団を目指しております。規模を追うことでなく、まずは地道なNo.1を目指すことで、「そば」「なごやめし」「手延べうどん」といった誇るべき和食文化を、世界に広げてまいります。 (2) 目標とする経営指標　当社グループでは、2025年度を最終年度とする中期経営計画“Management Plan 2025『Together』”を重要な経営指標として位置付けております。なお、計画値は下記のとおりです。なお、2024年度は中期経営計画“Management Plan 2025『Together』”を引き続き重要な経営指標とする方針から、計画値のみ見直しております。（単位：百万円）≪連結≫2024年度計画2025年３月期2025年度計画2026年３月期売上高32,00033,500営業利益 1,750 1,850経常利益 1,800 1,900親会社株主に帰属する当期純利益 1,000 1,100  (3) 中長期的な会社の経営戦略ならびに対処すべき課題当社グループを取り巻く環境は、人口減少や高齢化、異業種との競争、世界的な資源価格の高騰と円安による物価上昇に加え、地政学的リスクによるサプライチェーンの混乱の懸念が続くものと予測されます。また、新型コロナウイルスの感染症法上の分類が5類へ変更され、人流は一定程度回復すると予想される一方で、消費者物価の上昇を背景とする消費マインドの落ち込みが不安視されるなど、引き続き厳しい経営環境が続くものと予測されます。このような環境に対し、2025年度を最終年度とし、中期経営計画“Management Plan 2025『Together』”を策定いたしました。お客様起点の視座を堅持しながら、「持続可能性の追求」「再成長の実現」をテーマとして掲げ、基本的価値である「おいしさ」「おもてなし」に磨きをかけていくとともに、人財こそ当社最大の経営資源であるという考えのもと、「従業員の物心両面のゆたかさ」の実現に向けて取り組んでまいります。「持続可能性の追求」においては、各部門における採算を追求し、収益力の改善を進めてまいります。経費や時間の使途を明確にする一方で、省力化設備の検証・導入を進めることで生産性向上および労働環境改善に繋げ、基本的価値であるおいしさ・おもてなしの向上に「人」が集中して取り組める環境構築を進めてまいります。また、「より良き社会・より良きサガミを次世代に」をテーマとして、TCFDに基づく定量情報や環境配慮への取り組み等、サステナビリティにかかわる取り組み及び情報について積極的に開示し、社会と事業の持続的成長を実現してまいります。「再成長の実現」においては、社会・経済状況の変化を見据え、「和食麺処サガミ」「味の民芸」などの既存事業のポジショニング再定義と見直しを実施し、「そば」「なごやめし」「手延べうどん」といった当社グループの強みを活かした展開を加速してまいります。また、国内においては、Afterコロナや高齢化等を機会と捉え、手延べうどん「水山」、ら一めん専門店「ぶぶか」、かき揚げ十割そば「長助」など、小型店舗モデル確立と展開の促進を進めてまいります。海外においては、イタリアにて欧州各国への進出も視野に入れたFC展開による店舗網の拡大に向けての取り組みを進めるとともに、ベトナムの事業展開を強化し、ベトナム国内におけるパートナーシップの構築に向けて取り組みを進めてまいります。当社グループは、今後もESG（Environment,Social,Governance）の取り組みを進め、環境、社会、企業統治の観点から企業価値を高めるとともに、企業と顧客、そして社会の三方よしの経営である「CSV（共有価値の創造）経営」を推進し、全力を傾注し株主の皆様へ、安定した還元を目指してまいります。 
事業等のリスク	３ 【事業等のリスク】当社グループの経営成績、株価及び財務状況等に影響を与える可能性のあるリスクには以下のようなものがあります。なお、文中における将来に関する事項は、有価証券報告書提出日現在において当社グループが判断したものであります。(1) 売上高の変動について当社グループは、飲食店の経営を主要な事業としており、消費者の外食動機の大幅な減少を生じさせるような大規模な自然災害、戦争・テロ、疫病等による社会的混乱及び繁忙期における異常気象や地震・台風等による大規模な自然災害等が発生した場合、経営成績及び財務状況に影響を与える可能性があります。(2) 出店について当社グループは、主として和食・麺類レストランのチェーン展開を行っており、出店用地の早期確保に努めておりますが、適切な出店用地が計画通り確保できない場合や、出店地周辺の道路や開発状況の想定外の変化や競合店の出店等による立地環境の大幅な変化が発生した場合、経営成績及び財務状況に影響を与える可能性があります。(3) 仕入の変動要因について当社グループでは、複数の仕入れルートの確保及び仕入先との連携強化を図ることにより、リスクの最小化に努めておりますが、鳥インフルエンザ等を始めとする疫病や大規模な自然災害、仕入先の環境変化、外国為替相場の大幅な変動等による仕入価格の高騰があった場合、また家畜類の伝染病や資源の枯渇が危惧される品種の漁獲量制限等により、供給量に大きな変動が生じた場合、経営成績及び財務状況に影響を与える可能性があります。(4) 生産の変動要因について当社グループは、外食店舗で使用する冷凍保存麺やかえし類についての生産拠点を愛知県一宮市、愛知県海部郡飛島村、埼玉県入間市に設置しております。これらの生産拠点において地震・台風等の自然災害や食中毒等の食品の安全性に関する問題が発生し、生産活動や店舗等への食材供給に支障をきたす事態が発生した場合、経営成績及び財務状況に影響を与える可能性があります。(5) 減損損失及び店舗閉鎖損失について当社グループが保有する固定資産を使用している店舗の営業損益に悪化が見られ、短期的にその状況の回復が見込まれない場合、もしくは土地等の時価が著しく下落した場合において、当該固定資産について減損会計を適用し、経営成績及び財務状況に影響を与える可能性があります。また、不採算店舗の閉店に際し、賃借物件の違約金や固定資産の撤去に係る損失見込みに基づく引当金の計上を行う場合、経営成績及び財務状況に影響を与える可能性があります。(6) 個人情報の管理について当社グループは、ダイレクトメール等による会員情報やアンケートによる顧客情報や従業員情報など、多数の個人情報を有しております。これらの個人情報の管理に関しては万全を期しておりますが、何らかの理由で個人情報が漏洩し、損害賠償や社会的信用の低下等が発生した場合、経営成績及び財務状況に影響を与える可能性があります。(7) 情報セキュリティについて当社グループは、情報管理に関しては、逐次、基幹システム及びグループインフラの改修、整備に取り組むなど万全を期しておりますが、不測の事態によりコンピュータウィルス、ソフトウエアまたはハードウエアの障害により情報システムが機能しなくなる可能性や、個人情報や当社グループの重要情報が漏洩し、第三者がこれを不正に取得、使用する可能性があり、このような事態が生じた場合、損害賠償や社会的信用の低下等により、経営成績及び財務状況に影響を与える可能性があります。(8) 法的規制について当社グループの主要事業であります外食事業におきましては、飲食に起因する衛生上の危害発生の防止をもって国民の健康の保護を図ることを目的とする食品衛生法の規制を受けております。当社グループでは、各種業界団体への加盟等により必要な情報を的確に収集するとともに、グループ内の内部統制監査室にて各種法令への遵守に向けた社員教育及び体制整備に努めることに加え、食材の品質管理、店舗及び工場の衛生管理については最大限の注意を払っておりますが、重大な衛生問題が発生した場合、経営成績及び財務状況に影響を与える可能性があります。(9) 企業買収等について当社グループは、事業の拡大や競争力強化のために他社の買収等を行うことがあります。これらの意思決定に際しては、買収前のデューデリジェンス、取締役会での複数回の審議の実施、買収後の情報共有、グループインフラの統合および活用を促進し、当社グループが期待するシナジーが発現するよう取り組んでおりますが、経済環境の変化等の影響や、統合後に事前には分からなかった想定外のリスクが明らかになることがあった場合、経営成績及び財務状況に影響を与える可能性があります。(10) 海外進出について当社グループは、海外出店を成長戦略のひとつとしております。予期しえない自然災害や景気変動、通貨価格の変動、テロ・戦争・内乱等による政治的・社会的混乱などの海外特有の経営上対応すべき課題・リスクによって事業継続が不可能となり撤退を余儀無くされることがあり、経営成績及び財務状況に影響を与える可能性があります。(11) 人材確保及び人材育成について当社グループは、優秀な人材の継続的な確保が重要な経営課題だと認識し、採用活動に取り組み、教育にも力を入れておりますが、計画的な人材の採用と育成が進まない場合、新規出店ができないことや営業時間の短縮などを余儀無くされ、経営成績及び財務状況に影響を与える可能性があります。(12) 賃貸借契約に基づく差入保証金の回収について当社グループが展開している店舗の多くは、土地建物を賃借して営業しており、賃貸人に対して契約に基づき保証金を差し入れております。保証金を確実に回収するため賃貸人の状況には十分留意しておりますが、賃貸人の倒産等の事由により、回収が困難となった場合、経営成績及び財務状況に影響を与える可能性があります。(13) 労務管理について当社グループにおいては、多くのパートタイム従業員が業務に従事しております。今後、社会保険、労働条件などに係る諸制度に変更がある場合、人件費の増加となり経営成績及び財務状況に影響を与える可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 (業績等の概要)(1) 業績当連結会計年度（2023年４月１日から2024年３月31日）におけるわが国経済は、新型コロナウイルスの感染症法上の位置づけが５類へ移行したことにより、景気の自律的な循環を制約してきた要因は解消され、加えて政府による経済活動促進策の実施や訪日外国人旅行者数の増加などにより、消費マインドの改善と人流の回復がみられ、景気は緩やかに回復いたしました。一方、不安定な国際情勢や、燃料及び資源価格の高騰、為替相場における円安の進行などによる物価上昇や輸入コストの増加により、先行き不透明な状況が依然継続しております。外食産業におきましては、経済社会活動の正常化が進む中で、各種催事の復活や外出機会の増加による国内消費・外食需要の高まり、及びインバウンド消費の拡大などにより集客は改善しております。一方で、食材の仕入れ価格や人件費、光熱費、物流費などのコスト上昇やコロナ禍以降、顕著化する採用難など厳しい経営環境が続いております。このような環境下、当社グループは、中期経営計画2023-2025『Together』にもとづき、「持続可能性」の追求と「再成長」の実現をテーマとして、基本的価値である“おいしさ・おもてなしの向上”及び「こころとからだ」の健康を目指した“食による提供価値の追求”に取り組んでおります。また、当社最大の経営資源である人財の「物心両面のゆたかさ」を実現し、従業員の「生きがい」と「やりがい」を両立することで、引き続きお客様への提供価値及び企業価値の向上に努めてまいります。 各事業部門の概況は次のとおりであります。なお、当社グループの報告セグメントは、「外食事業」のみであるため、事業部門別により記載しております。外食事業（和食麺処サガミ部門）和食麺処サガミ部門では、売上高21,227百万円となり、連結売上高の68.4％を占め、引き続き当社の主力部門として位置づけられております。和食麺処サガミ部門では、全店販売促進企画として「料理フェア」を７回実施いたしました。また、４月に「ゴールデンウィーククーポン配布企画」及び「新メニュー告知チラシの折り込み」、５月に「母の日メニュー」の販売、６月にうなぎメニューを訴求した「父の日企画」、７月に「夏の感謝祭」、９月に「シルバーウィーククーポン配布企画」及び「敬老の日フェア」、11月に「冬の感謝祭」、12月に「年末年始割引券配布企画」、１月に「北のめぐみ・恵方巻告知チラシ折り込み企画」、３月に「創業感謝祭」を各１回実施いたしました。加えて、７月に「夏の感謝祭テレビCM」、８月に「北海道味めぐりメニューのテレビCM」、11月に「冬の感謝祭テレビCM」、12月に「ゆく年くる年テレビCM」、３月に「創業感謝祭テレビCM」を放映いたしました。一部地域限定の販売促進企画としては、４月に「センキョ割」、７月に「御園座招待企画」を実施いたしました。12月の年末においては、「そば食べ放題」や「年越しそば」の歳時企画を実施いたしました。これらの施策により、既存店客数は前年同一期間に対して12.6％増、客単価は前年同一期間に対して4.1％増となり、既存店売上高は前年同一期間に対して17.2％増となりました。店舗関係では、「和食麺処サガミ　川名店」（５月）、「和食麺処サガミ　安城桜井店」（７月）、「和食麺処サガミ　東郷店」（９月）、「和食麺処サガミ　常滑店」（10月）、「和食麺処サガミ　津島埋田店」（10月）、「和食麺処サガミ　岐阜本巣店」（12月）、「和食麺処サガミ　亀岡千代川店」（２月）、「和食麺処サガミ　飯田インター店」（３月）を出店いたしました。その一方、「和食麺処サガミ　越谷南店」（７月）、「和食麺処サガミ　清水店」（11月）を閉鎖いたしました。当期末での店舗数は139店舗であります。 （味の民芸部門）味の民芸部門では、売上高6,551百万円となり、連結売上高の21.1％を占めております。味の民芸部門では、全店販売促進企画として、「料理フェア」を８回実施いたしました。　また、５月に「母の日御膳」メニューの販売、６月に「父の日フェア」、６月及び７月に計６日間「手延べうどん食べ放題企画」、7月に手羽先及びアルコール商品をお値打ち販売した「夏のごちそうフェア」、９月に「敬老の日フェア」、10月に「秋のごちそうフェア」、11月に「和食の日フェア」、12月に歳時メニュー（年越しそば・宴会）訴求チラシの折込み、１月に「冬の土用フェア」、２月に「節分・恵方巻フェア」及び「もつ鍋総選挙」、３月に「春の感謝祭企画」を各１回実施いたしました。加えて、４月に岡山地区及び千葉地区において、「手延べうどんと季節メニューを訴求したテレビCM」、３月に関東地区において、「春の感謝祭と御膳メニューを訴求したテレビCM」を放映いたしました。更に、11月に東京都内の味の民芸18店舗を対象に「食べて応援！海の幸キャンペーン」、３月に「暮らしを応援！TOKYO元気キャンペーン」に参加いたしました。店舗関係では、「味の民芸　東大和店」（６月）を閉鎖いたしました。当期末での店舗数はFC店舗を含み50店舗であります。 （どんどん庵部門）どんどん庵部門では、売上高950百万円となり、連結売上高の3.0％を占めております。どんどん庵部門では、全店販売促進企画として「料理フェア」を12回実施いたしました。また、４月に「どんどん祭り」、11月及び１月に「GO！どんどん庵キャンペーン」を実施いたしました。店舗関係では、「どんどん庵　名駅西店」（10月）を業態転換に伴い閉鎖いたしました。当期末での店舗数はFC店舗を含み31店舗であります。 （その他の部門）その他の部門では、売上高2,196百万円となり、連結売上高の7.0％を占めております。その他の部門では、団欒食堂「あいそ家」で、「料理フェア」を８回実施いたしました。大型セルフうどん店「製麺大学」で、「料理フェア」を12回実施いたしました。セルフ十割そば「長助」で、「料理フェア」を、「かき揚げ十割そば長助」で10回、「十割そば二代目長助」で10回実施いたしました。また、「十割そば二代目長助　野田店」で、「十割そば食べ放題企画」を10回実施いたしました。国内店舗関係では、「水山　新宿紀伊國屋店」（10月）、「JINJIN　新宿紀伊國屋店」(10月)、「かき揚げ十割そば長助　名駅西店」（12月）、「和麺サガミ　レストピアふじた店」（１月）、「十割そば二代目長助　豊田若林店」（１月）を出店いたしました。その一方で、「Dela PASTA Kitchen土岐店」（８月）を閉鎖したほか、「あいそ家　東郷店」（８月）、「あいそ家　津島店」（10月）を業態転換に伴い閉鎖いたしました。海外店舗関係では、イタリア・ベローナ市に「SAGAMI ベローナ店」（８月）をFCで出店いたしました。その一方で、「SAGAMI ボローニャ店」（１月）を閉鎖いたしました。当期末での店舗数はFC店舗を含み、国内27店舗、海外９店舗の合計36店舗であります。 その他の事業（不動産賃貸部門）賃貸物件の受取家賃による売上高は80百万円となりました。 この結果、当連結会計年度の売上高は31,006百万円（前年対比17.3％増）、営業利益は1,656百万円（前年対比81.9％増）、経常利益は1,722百万円（前年対比9.4％増）、親会社株主に帰属する当期純利益は909百万円（前年対比2.6％増）となり、当期末のグループ店舗数は256店舗となりました。 (2) キャッシュ・フローの状況キャッシュ・フローの状況につきましては、（財政状態、経営成績及びキャッシュ・フローの状況の分析）に記載しております。  (生産、受注及び販売の状況)当社グループの報告セグメントは、「外食事業」のみであるため、品目別、事業部門別により記載しております。(1) 生産実績当社グループの生産品目は、供給先が多部門にわたり、部門別生産実績を記載することが困難であるため、品目別によって記載しております。ａ　生産実績当連結会計年度における生産実績を品目別に示すと次のとおりであります。 品目別生産高(千円)前年同期比(％)保存麺うどん・きしめん類346,820116.1保存麺そば類134,402115.5かえし類234,710116.8そば製粉類264,574131.7加工食品類310,769103.2合計1,291,278115.5 (注) 金額は製造原価により表示しております。 ｂ　仕入実績当連結会計年度における仕入実績を品目別に示すと次のとおりであります。 品目別仕入高(千円)構成比(％)前年同期比(％)原材料(店舗用)エビ類768,2358.9119.5冷凍食品799,4699.2110.1肉類2,977,08234.3134.9酒・その他飲料524,9886.199.7野菜類1,031,48511.9105.3米穀類535,7236.2125.5だし・油類602,2446.9122.8その他570,1926.6206.4原材料(店舗用)計7,809,42290.1124.4原材料(工場用)粉類235,4522.7113.4玄そば類272,4633.1140.4醤油・みそ類134,0521.5101.9つゆ・タレ類106,8081.2119.3砂糖40,6180.5123.7その他72,6730.8133.9原材料(工場用)計862,0679.9121.4原材料計8,671,489100.0124.1商品FC向食材630,68172.1104.4その他244,48527.9147.3商品計875,166100.0113.7合計9,546,656－123.1  (2) 受注状況該当事項はありません。  (3) 販売実績当連結会計年度における販売実績を事業部門別に示すと、次のとおりであります。事業部門の名称販売高(千円)構成比(％)前年同期比(％)外食事業和食麺処サガミ部門21,227,53068.4119.7味の民芸部門6,551,48421.1113.3どんどん庵部門950,4643.0116.3その他の部門2,196,3997.0108.9その他の事業80,3330.296.6合計31,006,212100.0117.3 (注) 当連結会計年度の店舗売上高は、直営店舗29,992,704千円、FC店舗2,858,307千円となっております。 (財政状態、経営成績及びキャッシュ・フローの状況の分析)(1) 財政状態当連結会計年度末における総資産は前連結会計年度末に比べ786百万円増加し、24,943百万円となりました。流動資産は前連結会計年度末に比べ2,310百万円減少し、10,158百万円となりました。減少の主な内訳は、現金及び預金2,713百万円によるものであります。固定資産は前連結会計年度末に比べ3,097百万円増加し、14,784百万円となりました。増加の主な内訳は建物及び構築物743百万円、工具器具及び備品253百万円、機械装置及び運搬具182百万円、長期預金2,000百万円によるものであります。流動負債は前連結会計年度末に比べ587百万円増加し、5,288百万円となりました。増加の主な内訳は、支払手形及び買掛金69百万円、未払金362百万円、未払法人税等161百万円、賞与引当金264百万円によるものであります。固定負債は前連結会計年度末に比べ680百万円減少し、2,838百万円となりました。減少の主な要因は、長期借入金772百万円によるものであります。純資産は前連結会計年度末に比べ879百万円増加し、16,815百万円となりました。増加の主な内訳は、利益剰余金697百万円、その他有価証券評価差額金149百万円によるものであります。(2) 経営成績当連結会計年度の売上高は31,006百万円、経常利益は1,722百万円、親会社株主に帰属する当期純利益は909百万円となりました。(3) キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下「資金」という）は、前連結会計年度末に比べて2,713百万円減少し、8,011百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動の結果獲得した資金は2,458百万円となりました。収入の主な内訳は税金等調整前当期純利益1,261百万円、減価償却費529百万円、減損損失458百万円、賞与引当金の増減額264百万円、未払金の増減額298百万円であり、支出の主な内訳は売上債権の増減額344百万円であります。（投資活動によるキャッシュ・フロー）投資活動の結果使用した資金は3,828百万円となりました。収入の主な内訳は差入保証金の回収による収入91百万円であり、支出の主な内訳は定期預金の預入による支出2,000百万円、有形固定資産の取得による支出1,876百万円であります。（財務活動によるキャッシュ・フロー）財務活動の結果減少した資金は1,347百万円となりました。支出の主な内訳は長期借入金の返済による支出1,124百万円、配当金の支払による支出211百万円であります。 (4) 資本の財源及び資金の流動性についての分析当社グループの運転資金需要のうち主なものは、商品の仕入れのほか、製造費、販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要は、設備投資等によるものであり、事業運営上必要な資金の流動性と資金の源泉を安定的に確保することを基本方針としております。短期運転資金は自己資金を基本としており、設備投資や長期運転資金の調達につきましては、金融機関からの長期借入を基本としております。なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は2,738百万円、現金及び現金同等物の残高は8,011百万円となっております。翌連結会計年度のキャッシュ・フローの見通しにつきましては、原材料費やエネルギーコストの上昇に伴う支出の増加により、営業活動で得られるキャッシュ・フローは、当連結会計年度より減少する見込みであります。投資活動により使用するキャッシュ・フローは、当社グループ店舗の新規出店、および既存店への設備投資を積極的に実施する計画としており、当連結会計年度に比べて、資金需要は上回る見込みであります。　財務活動により使用するキャッシュ・フローについては、借入金の返済などの支出により、当連結会計年度を下回ることを見込んでおります。よって、翌連結会計年度の現金及び現金同等物の残高については、当連結会計年度を下回る見込みであります。　 (5) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成されております。重要な会計方針については、「第５　経理の状況　１　連結財務諸表等　注記事項　（連結財務諸表作成のための基本となる重要な事項）」に記載しております。
経営上の重要な契約等	 ５ 【経営上の重要な契約等】フランチャイズ契約当社の連結子会社である味の民芸フードサービス株式会社は「味の民芸」業態、「水山」業態で、サガミレストランツ株式会社は「どんどん庵」業態、「SAGAMI」業態で、それぞれ店舗オーナーとの間でフランチャイズ契約を締結しております。その契約の概要及び営業店舗数は次のとおりであります。 契約内容要旨商標等の使用を許諾しメニューやサービス方法等のノウハウを提供する加盟金当該契約締結時に一定額預託金当該契約締結時に一定額ロイヤリティー毎月売上高に一定割合を乗じた額2024年３月31日現在営業店舗数味の民芸３店舗水山１店舗どんどん庵28店舗SAGAMI６店舗  
研究開発活動	６ 【研究開発活動】特記すべき事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、主として店舗の新規出店及び改装・改修を行いました。和食麺処サガミ部門で８店舗、その他の部門で５店舗の新規出店を行い、既存店舗の改装・改修も併せて実施しております。これによる設備投資は、和食麺処サガミ部門1,535百万円、味の民芸部門306百万円、どんどん庵部門8百万円、その他の部門212百万円、その他の事業135百万円、合計2,197百万円(差入保証金を含む)であります。なお、当社グループの報告セグメントは、「外食事業」のみであるため、セグメント情報の記載を省略しております。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社当社グループの報告セグメントは、「外食事業」のみであるため、事業部門別により記載しております。2024年３月31日現在事業所名(所在地)事業部門の名称(設備の内容)帳簿価額(千円)従業員数(名)土地建物及び構築物その他投下資本合計面積(㎡)金額サガミ一社店(名古屋市名東区)他138店舗和食麺処サガミ部門(店舗設備)258,435.64（239,132.81)[590.08]3,378,9522,008,8101,293,1646,680,927293(2,150)あいそ家港知多店(名古屋市港区)他５店舗その他の部門(店舗設備)8,416.86(7,272.56)87,75333,42139,333160,50810(75)製麺大学日進店(愛知県日進市)他１店舗その他の部門(店舗設備)2,941.73(2,941.73)-468,8038,8501(20)二代目長助扶桑店(愛知県丹羽郡扶桑町)他５店舗その他の部門(店舗設備)9,513.91(8,519.90)-67,82845,947113,7767(48)SAGAMI金城ふ頭店（名古屋市港区）他２店舗その他の部門(店舗設備)840.13(840.13)-12,73615,45128,1874(14)物流センター(愛知県海部郡飛島村)和食麺処サガミ部門他(配送設備) 8,606.89[720.00] 602,23913,608898670,04814(2)飛島工場(愛知県海部郡飛島村)和食麺処サガミ部門他(生産設備)25,50127,7994(5)尾西工場(愛知県一宮市)和食麺処サガミ部門他(生産設備)7,301.78654,034110,56793,364857,9655(18)入間工場(埼玉県入間市)味の民芸部門他(生産設備)1,841.29-24,75015,49940,2502(4)本社(名古屋市守山区)全社(その他設備)2,418.12266,817159,37988,808515,00578(15) (注) １　帳簿価額のうち「その他」は、「機械装置及び運搬具」、「工具、器具及び備品」、「リース資産」及び「差入保証金」の合計額であり、建設仮勘定を含んでおりません。なお、金額には消費税等は含んでおりません。２　上記のうち(　)書きは賃借中のものであり内数であります。また、[　]書きは賃貸中のものであり、同じく内数であります。３　現在休止中の重要な設備はありません。４　従業員数には、子会社への出向者数を含めております。５　従業員数欄の(　)書きは、臨時従業員の年間平均雇用人員(１日８時間、１ヵ月22日換算)で外書であります。  (2) 国内子会社サガミレストランツ株式会社2024年３月31日現在事業所名(所在地)事業部門の名称(設備の内容)帳簿価額(千円)従業員数(名)土地建物及び構築物その他投下資本合計面積(㎡)金額どんどん庵一宮尾西店(愛知県一宮市) 他２店舗どんどん庵部門直営店舗(店舗設備)1,962.16(1,962.16)-1,87321,06422,9371(20)長助岩倉店(愛知県岩倉市)他１店舗その他の部門直営店舗(店舗設備)1,268.09(1,268.09)-13,40820,51033,9182(16)どんどん庵高畑店(名古屋市中川区)他27店舗どんどん庵部門FC店舗(店舗設備)19,167.41(17,317.17)[19,167.41]177,50251,34161,330290,173-  味の民芸フードサービス株式会社2024年３月31日現在事業所名(所在地)事業部門の名称(設備の内容)帳簿価額(千円)従業員数(名)土地建物及び構築物その他投下資本合計面積(㎡)金額味の民芸八王子店(東京都八王子市)他46店舗味の民芸部門(店舗設備)62,518.20(60,348.72)503,845238,043506,9681,248,85781(587)水山港南台バーズ店(神奈川県横浜市)他３店舗その他の部門(店舗設備)271.25(271.25)-38,79635,31074,1075(25)JIN JIN新宿２丁目店(東京都新宿区)他１店舗その他の部門(店舗設備)107.96(107.96)-37,18020,01457,1942(11)ぶぶか吉祥寺北口店(東京都武蔵野市)その他の部門(店舗設備)33.05(33.05)--6,4236,4231(5)本社(東京都立川市)全社(その他設備)436.55（368.11)[68.44]26,09512,5637,80346,46115(0) (注) １　帳簿価額のうち「その他」は、「機械装置及び運搬具」、「工具、器具及び備品」及び「差入保証金」の合計額であり、建設仮勘定を含んでおりません。なお、金額には消費税等は含んでおりません。２　上記のうち(　)書きは賃借中のものであり内数であります。また、[　]書きは賃貸中のものであり、同じく内数であります。３　現在休止中の重要な設備はありません。４　従業員数欄の(　)書きは、臨時従業員の年間平均雇用人員(１日８時間、１ヵ月22日換算)で外書であります。
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式100,000,000計100,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式30,301,78430,301,784東京証券取引所プライム市場名古屋証券取引所プレミア市場単元株式数100株計30,301,78430,301,784－－  
