項目	値
事業の内容	３【事業の内容】（１）　当社グループ(当社及び当社の関係会社)は、当社と非連結子会社１社及び関連会社２社により構成されており、当社は、内外物資の輸出入、国内取引を主要業務としております。非連結子会社である太洋物産科技（煙台）有限公司（2023年６月設立）は、中国における食用砂糖の製造販売を目的としております。関連会社である上海太洋栄光商業有限公司(2008年11月設立)は、日本及び第三国との輸出入業務、中国国内での国内販売を目的としております。同じく関連会社である徐州太鵬工程機械有限公司（1993年10月設立）は、中国における国内製品製造販売、当社商品の輸入販売を行っております。 （２）　当社グループの事業内容及び当社と関係会社の当該事業に係る位置付けは次のとおりであります。なお、次の３部門は、「第５ 経理の状況 １ 財務諸表等 （１）財務諸表 注記事項」に掲げるセグメントの区分と同一であります。営業開拓部は、太洋物産科技（煙台）有限公司、上海太洋栄光商業有限公司及び徐州太鵬工程機械有限公司が携わっております。    
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社の経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中における将来に関する事項は、当事業年度末現在において当社が判断したものであります。 （１）経営基本方針当社は、生活者の生活の質の向上に貢献する価値の創造を目指し、企業活動・事業活動に従事しております。そのために、企業活動の活性化と経営基盤を強化し、多様な付加価値を創造することで、特定地域や分野で能力を発揮できる専門商社となることを目指し努力を重ねております。当社は次の４つの基本方針の下、全社一丸となって取組んでまいります。①利益率の向上と安定的利益の確保畜産物を中心とした当社基幹事業の中で、多様化する顧客の幅を広げ、食肉原料を多売する販売戦略から、一次食品加工品及び加熱加工品を充実強化するとともに、当社が得意とする事業分野で、より専門的な商品を取り扱って利益率の向上と安定的利益の確保に努めます。また、中国やインド等の経済環境の異なる市場を開拓し、日本産の商品、並びに三国間取引を通じて魅力ある商品の提供を行い、利益の創出を目指します。②リスクの分散・回避相場変動や商品リスクを分散・回避するために、実需に見合う数量・価格等の取引を行いながら、商機を逃さず収益が確保できる仕組みの構築を目指します。③機動的な資金の投入商品の仕入及び販売の管理コントロールの徹底を図り、必要とする部門への機動的な資金の投入ができる体制構築を目指します。④純資産の部の改善純資産が６億88百万円であることから、営業利益の確保のみならず、想定外に発生しうるリスクに耐える体制とするため、貸借対照表における純資産の部を盤石なものとすることに努めます。 （２）目標とする経営指標当社は、株主重視の経営推進という観点から企業価値を高めるため利益率の向上を目指すため、売上高を重視することからの脱却を図るキメの細かい販売を心がけます。その方策として、高付加価値商品の提供につとめ、収益基盤の強化を目標とした経営を推進し、中期的に売上高総利益率４％以上を目指しております。 （３）経営環境当事業年度における経済環境は、新型コロナウイルス感染症が収束に向かいつつある中で、ワクチンの接種の進展や各種政策の効果等もあり、経済活動が段階的に再開されたことから、徐々に持ち直しの動きがみられました。しかし、ロシアのウクライナ侵攻の長期化、国際情勢による資源価額の上昇及び急激な円安に伴うマーケットの混乱が見られるなど、先行きの予断を許さない状況となっております。 （４）優先的に対処すべき事業上及び財務上の課題当社は、当社の主要商材である食品関連はハムソーセージメーカーや外食産業をメインに販売しており、コロナ禍の影響から、取扱数量及び売上高を伸ばすことは未だ厳しい状況となっております。また、鶏肉の輸入販売では、輸入鶏肉市場の相場の影響を受けることから、状況によっては当社の想定通りに収益を計上できず、結果として仕入価格が販売価格を上回るリスクが存在します。加えて南米諸国からの輸入においては、仕入支出から代金回収まで相当の期間を要するリスクが存在します。当社としましては、これらのリスクを最小限にするため、新規販路の拡大、新規商品の開発等、商品の構成力を高め、「量より質」で資金効率及び利益率の高い商品の取捨選択を図り販売強化を進めております。当事業年度では、相場変動の回避及び資金効率の改善を図るため輸入鶏肉の取扱量縮小を進め、利益率の改善に努めてまいりました。今後の経営環境としては、ロシアによるウクライナ侵攻の長期化に伴う資源価額の上昇や為替相場の変動等厳しい状況が継続するものと想定し、当社は主に次の３本柱の政策にて進めてまいります。①安定的な利益の獲得及び商材取扱の拡充安定的な利益を確保するため、不確定要素の大きい取引を避け、収益源の確保として、農産品の取扱拡充を目指してまいります。②資金効率を鑑みた取扱品目の取捨選択資金効率の観点からは、国産鶏肉等の国内取引の拡大をすることにより、資金の効率化を目指してまいります。③中国事業の取扱強化第三者割当増資によって調達した資金をもとに、新規事業の推進、中国現地法人子会社によるシロップ事業を含む新規事業の稼働を軌道に乗せ、中国事業の拡充を図り、財務基盤の強化を目指してまいります。次に、当社の財務状況は、自己資本比率8.7％と、事業資金の大半を金融機関からの間接金融に依存しております。当事業年度においても上記の３本柱の制作を進めることにより、業績の積上げを着実に行い、自己資本比率のさらなる改善を目指し、財務基盤の盤石化を図ってまいります。 
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資家の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがあります。なお、以下の内容は予想される主なリスクを記載したものであり、これらに限定されるものではありません。また、文中における将来に関する事項は、当事業年度末現在において当社が判断したものであります。当社においては、事業を取り巻く様々なリスクや不確定要因等に対して、その予防や分散、リスクヘッジ等を実施することにより、企業活動への影響について最大限の軽減を図っております。 （１）経済環境等の変化によるリスク当社は、輸出・輸入取引を行っていることから、当社の業績はその主要国の景気動向や諸情勢と関連性があります。売上高の観点から見れば、輸入取引においては主に国内企業に対して販売を行っているため国内の景気動向、輸出取引においては特に中国の景気や金融政策等の動向が、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （２）為替変動リスク当社は、輸出・輸入取引を行っていることから為替リスクにさらされております。当社は、このリスクを為替予約等によってヘッジしておりますが、完全にこのリスクを排除できるものではありません。予想の範囲を超えた急激な為替変動が生じた場合等において、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （３）金利変動リスク及び調達リスク当社は、不足する所要資金を主に金融機関からの借入金によって賄っております。また、この借入金については、機動的かつ効率的な資金調達を可能とするため、その大半を短期借入金によって調達しております。これからも市場の状況を注視し今後の金利上昇リスクに対処していく所存であります。また、現在においては所要必要資金の調達に支障はありませんが、金融機関の融資姿勢の変化等により所要額の調達が困難となる場合も想定されます。これらの場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （４）取引先による金銭債務の不履行当社は、販売先に対して、財務内容や定性情報等を総合的に勘案して、与信設定を５段階に分けて管理しております。しかしながら、販売先の財務情報を完全に掌握することは難しく、完全なリスクの排除はできておりません。従って、取引先の急激な財政状態の悪化が生じた場合等において予想外に貸倒引当金を繰り入れる必要が生じ、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （５）商品相場（市況）の変動リスク当社の取扱商品は、市況性の高いものが多く、その相場を左右する主な要因として、自然災害・異常気象・生育状況・疾病の発生・人為的な風説の流布やヘッジファンド等の投機資金の流入などによって需給関係が大きく変動します。それにともない営業上保有している在庫商品には価格変動リスクが含まれております。当社は、商品取引所等の市場が整備された商品についてはヘッジを行い、取引所が整備されていない商品についても顧客との取引条件を工夫することでリスクの回避に努めておりますが、相場の動きを完全に予測することは不可能であり、このリスクを排除できるものではありません。従って、これらの価格に予期せぬ変動が起きた場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （６）各種規制によるリスク当社の取扱商品は、BSE・鳥インフルエンザ・口蹄疫・CSF（豚コレラ）等の家畜疾病による公的規制、関税等の輸入規制等、様々な規制の適用を受けております。これらの規制は、当社の事業活動の制約となり、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （７）同業他社等との競合当社の提供している商品・サービスは、総じて競合的状況にあります。例えば、競合他社が、特定の分野において当社より高度な知識と商品供給力をもっている場合や当社より親密な関係を構築している場合等があります。また、取引先の求めるニーズは年々多様化・高度化しており、当社がそのニーズに対応できない場合等も想定されます。従って、これらが生じた場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （８）製品・商品の欠陥当社は、食品衛生や安全衛生基準等の各商品別に遵守しなければならない各種法令・基準等や各仕様に適合した商品の仕入・販売を行っておりますが、すべての取扱商品において全く欠陥が無く、取扱商品の回収が発生しないという保障は確保できません。当社の取扱商品に大規模な回収や製造物責任賠償に繋がるような欠陥が発生した場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。（製造物責任賠償に対しては、付保により一定のリスクヘッジを行っております。また、商品によっては商品保証義務を負わないものもあります。） （９）事業投資等のリスク当社は、既存ビジネスにおいて堅実な経営を行っておりますが、今後、業容拡大を図るために新規事業分野の開発等の事業投資を行う可能性があります。これらについては、慎重に検討し、しかるべき社内決裁を経た後に実行いたしますが、必ずしも当社業績に寄与するものとは限りません。この場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （10）有能な人材の確保当社は、就業人員が30人の少人数で業務を遂行しております。従って、有能な人材の確保及び育成ができなかった場合、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。 （11）自然災害等のリスク当社及び当社の取引先（仕入先及び販売先等）の拠点において自然災害等が発生した場合、仕入及び販売に支障をきたすこととなるため、当社の業績及び財政状態に大きな影響を及ぼす可能性があります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要当事業年度における経済環境は、新型コロナウイルス感染症が収束に向かいつつ、景気に持ち直しの動きが見られましたが、ロシアのウクライナ侵攻の長期化や国際情勢による資源価額の上昇や円安に伴うマーケットの高騰が見られるなど、先行きの予断を許さない状況となっております。当事業年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という）の状況の概要は次のとおりであります。①　財政状態及び経営成績の状況イ　財政状態（資産）資産につきましては、主に商品及び売掛債権等の減少により前事業年度末に比べ５億67百万円減少し、76億68百万円（前事業年度比6.8%減）となりました。流動資産は、主な理由として、前渡金５億９百万円の増加、商品12億25百万円の減少等により、６億35百万円減少し、70億70百万円となりました。固定資産は、中国の子会社出資による関係会社出資金70百万円の増加等により、５億97百万円となりました。 （負債）負債は、前事業年度末に比して６億90百万円減少し、69億80百万円（前期比9.0％減）となりました。流動負債は、仕入債務２億87百万円の減少、借入金１億80百万円の減少、未払費用１億80百万円の減少等により、６億86百万円減少し、68億37百万円となりました。固定負債は退職給付引当金５百万円の減少等により、３百万円減少し、１億43百万円となりました。 （純資産）純資産は、当期純利益１億16百万円の計上等により、前事業年度末に比して１億23百万円増加し、６億88百万円となりました。 ロ　経営成績当事業年度の経営成績は以下の通りであります。売上高は、前事業年度に比して10億21百万円減少し、200億23百万円（前事業年度比4.8％減）となりました。売上原価は、売上高の減少に伴い前事業年度に比して８億85百万円減少し、194億11百万円（前事業年度比4.3％減）となりました。この結果、売上総利益についても前事業年度に比して１億36百万円減少し、６億12百万円（前事業年度比18.2％減）となりました。販売費及び一般管理費は、前事業年度に比して68百万円減少し、４億45百万円（前事業年度比13.4％減）となりました。主な要因は、前事業年度は臨時株主総会の開催にかかる費用が嵩み、第82期事業年度に比して支払報酬46百万円等が減少したことによります。これらの販売費及び一般管理費の減少もありましたが、結果として営業利益は、前事業年度に比して67百万円減少し、１億67百万円（前事業年度比28.8％減）となりました。営業外収益は、雑収入14百万円、受取賃貸料11百万円等の計上等により28百万円となりました。営業外費用は、支払利息50百万円、支払保証料６百万円等の計上等により63百万円となりました。これらにより経常利益は、前事業年度に比して41百万円減少し、１億31百万円（前事業年度比23.9％減）となりました。これらの結果、税引前当期純利益は、前事業年度に比して21百万円減少し、１億31百万円（前事業年度比13.7％減）の税引前当期純利益となりました。セグメントごとの経営成績は次のとおりであります。 （食料部）牛肉は産地価格の高騰や円安の影響もあり厳しい状況が続き、取扱数量・売上高ともに減少となりました。タイ産の加工食品につきましては、新規商材の提案の成約等や海外での生産や輸送等も徐々に回復基調にあり、前事業年度比では取扱数量・売上高ともに増加となりました。鶏肉におきましては、当事業年度より輸入取引の縮小を進め、損失の回避に努めてきたため、取扱数量・売上高ともに前事業年度比で減少となりました。国産鶏肉については、取引を安定的に確保すべく新規取引先の拡大に努め、成約を積み上げてきております。この結果、当事業年度の売上高は、78億32百万円(前事業年度比21.8％減)、セグメント利益は、１億27百万円（前事業年度比54.6％減）となりました。 （営業開拓部）農産品につきましては、産地価格が引き続き高騰しており、また、産地国の輸出規制の影響を受けたものの、新規商品の取引を伸ばすことができ、利益率の高い商品の販売を増加させることができました。化学品は、価格競争や為替相場の影響により、利益率の高い商品の取引量を伸ばすことができませんでした。中国関連におきましては、中国向け自動車販売やネット事業者向け商材の販売が順調に推移し、売上高を伸ばすことができました。この結果、当事業年度の売上高は、94億42百万円(前事業年度比11.6％増)、セグメント利益は、１億26百万円（前事業年度比5.7％増）となりました。（生活産業部） 輸入豚肉では、国内市場における在庫過剰感が続き、現地価格の高騰や為替相場の円安傾向もあり、販売を進めることが厳しい市場環境ではありましたが、新規商材の提案による成約等の取組みにより、前事業年度比では、取扱数量・売上高ともに増加させることができました。この結果、当事業年度の売上高は、27億49百万円(前事業年度比6.9％増)、セグメント利益は、57百万円（前事業年度比90.2％増）となりました。 ②キャッシュ・フローの状況当事業年度における現金及び現金同等物（以下「資金」という。）は、前事業年度末に比べ３億53百万円増加し、６億73百万円となりました。当事業年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 （営業活動によるキャッシュ・フロー）営業活動の結果得られた資金は、６億２百万円（前年同期は使用した資金16億77百万円）となりました。これは主に、税引前当期純利益１億31百万円、売上債権の減少１億59百万円、棚卸資産の減少12億25百万円等によるものです。 （投資活動によるキャッシュ・フロー）投資活動の結果使用した資金は、71百万円（前年同期は使用した資金５百万円）となりました。これは主に、関係会社出資金の払込による支出70百万円等によるものです。 （財務活動によるキャッシュ・フロー）財務活動の結果使用した資金は、１億80百万円（前年同期は得られた資金１億21百万円）となりました。これは主に、短期借入金の純減１億78百万円によるものです。 ③仕入、受注及び販売の実績イ　商品仕入実績食料部の商品仕入実績が減少しております。これは、主に輸入鶏肉の仕入が減少したことによります。当事業年度の商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当事業年度（自　2022年10月１日至　2023年９月30日）前年同期比（％）食料部6,707,342（千円）67.1営業開拓部9,045,652（千円）106.4生活産業部2,432,997（千円）92.9合　　　計18,185,992（千円）86.1 ロ　受注実績営業開拓部の受注残高が著しく増加しております。これは、主に蕎麦の受注が増加したことによります。生活産業部の受注残高が著しく減少しております。これは、主に欧州産豚肉の受注が減少したことによります。当事業年度の受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高（千円）前年同期比（％）受注残高（千円）前年同期比（％）食料部8,350,550100.71,894,069137.6営業開拓部10,003,021120.51,085,121291.0生活産業部2,699,269101.682,29628.9合　　　計21,052,842109.43,061,486150.6  ハ　販売実績当事業年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当事業年度（自　2022年10月１日至　2023年９月30日）前年同期比（％）食料部7,832,002（千円）78.1営業開拓部9,442,252（千円）111.6生活産業部2,749,573（千円）106.9合　　　計20,023,828（千円）95.1（注）最近２事業年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は、次のとおりであります。相手先前事業年度当事業年度金額（千円）割合（％）金額（千円）割合（％）BEIJING CRANE TRADING CO.,LTD4,926,00423.45,235,02926.1伊藤ハム㈱3,485,68216.5－－㈱ＮＯＨＹＵ2,528,18712.0－－ （２）経営者の視点による経営成績等の状況の分析経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。①重要な会計方針及び見積り当社の財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成しております。この財務諸表を作成するにあたり重要となる会計方針については、「第５ 経理の状況 １財務諸表等 (1)財務諸表（注記事項）（重要な会計方針）」に記載しているとおりであります。当社は、この財務諸表の作成にあたりまして、決算日における資産・負債の報告数値及び報告期間における収益・費用の報告数値に影響を与える見積りを行っております。当該見積りにつきましては、過去の実績や状況を勘案して合理的と認められる見積りや判断を行い、その結果を資産・負債の帳簿価額及び収益・費用の金額に反映しております。しかし、見積りには特有の不確実性があるため、実際の結果とは相違する場合があります。 ②当事業年度の経営成績等の状況に関する認識及び分析・検討内容イ　経営成績目標に対する認識及び分析経営目標において売上総利益率を４％と設定しており、当事業年度におけるセグメント別の売上高総利益率等は、次のとおりとなりました。  食料部営業開拓部生活産業部全　社売  上  高 (千円)7,832,0029,442,2522,749,57320,023,828売上総利益 (千円)296,054236,70179,700612,456売上高総利益率3.7％2.5％2.8％3.0％上記のように、経営環境等の影響もあり目標に達することはできませんでした。 ロ　キャッシュ・フローの分析キャッシュ・フローの分析は「（１）経営成績等の状況の概要　② キャッシュ・フローの状況」に記載のとおりです。 ③資本の財源及び資金の流動性イ　資金需要当社の資金需要は主に運転資金需要であります。運転資金需要は商品仕入のほか、販売費及び一般管理費の営業費用であります。営業費用の主なものは、人件費、旅費交通費、報酬等となっております。ロ　財政政策当社は、運転資金につきましては、内部資金及び借入により調達しております。 
経営上の重要な契約等	５【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６【研究開発活動】該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】特記すべき事項はありません。 
主要な設備の状況	２【主要な設備の状況】当社における主要な設備は、以下のとおりであります。　　　　　　　　　　　　　　　　　2023年９月30日現在事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物（千円）土地（千円）（面積㎡）その他（千円）合計（千円）本社事務所（東京都新宿区）食料部営業開拓部生活産業部総括業務施設21,706－3,25424,96030その他厚生施設等50,874155,383( 268 )635206,893－（注）１．帳簿価額のうち「その他」は,「工具、器具及び備品」であります。２．上記の他、建物を賃借しており、年間賃借料は下記のとおりであります。本社　　　　　　　　　　　　　　　　　　　　　17,139千円 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式4,000,000計4,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）(2023年９月30日)提出日現在発行数（株）(2023年12月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内     容普通株式1,934,0191,934,019東京証券取引所スタンダード市場単元株式数は100株であります。計1,934,0191,934,019－－(注）「提出日現在発行数」欄には、2023年12月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
