公表日時,時間,結果,予想,前回,
2023年11月01日 (10月),23:00,46.7,49.0,49.0,
2023年10月02日 (9月),23:00,49.0,47.7,47.6,
2023年09月01日 (8月),23:00,47.6,47.0,46.4,
2023年08月01日 (7月),23:00,46.4,46.8,46.0,
2023年07月03日 (6月),23:00,46.0,47.2,46.9,
2023年06月01日 (5月),23:00,46.9,47.0,47.1,
2023年05月01日 (4月),23:00,47.1,46.8,46.3,
2023年04月03日 (3月),23:00,46.3,47.5,47.7,
2023年03月02日 (2月),00:00,47.7,48.0,47.4,
2023年02月02日 (1月),00:00,47.4,48.0,48.4,
2023年01月05日 (12月),00:00,48.4,48.5,49.0,
2022年12月02日 (11月),00:00,49.0,49.8,50.2,
2022年11月01日 (10月),23:00,50.2,50.0,50.9,
2022年10月03日 (9月),23:00,50.9,52.2,52.8,
2022年09月01日 (8月),23:00,52.8,52.0,52.8,
2022年08月01日 (7月),23:00,52.8,52.0,53.0,
2022年07月01日 (6月),23:00,53.0,54.9,56.1,
2022年06月01日 (5月),23:00,56.1,54.5,55.4,
2022年05月02日 (4月),23:00,55.4,57.6,57.1,
2022年04月01日 (3月),23:00,57.1,59.0,58.6,
2022年03月02日 (2月),00:00,58.6,58.0,57.6,
2022年02月02日 (1月),00:00,57.6,57.5,58.8,
2022年01月05日 (12月),00:00,58.7,60.0,61.1,
2021年12月02日 (11月),00:00,61.1,61.0,60.8,
2021年11月01日 (10月),23:00,60.8,60.5,61.1,
2021年10月01日 (9月),23:00,61.1,59.6,59.9,
2021年09月01日 (8月),23:00,59.9,58.6,59.5,
2021年08月02日 (7月),23:00,59.5,60.9,60.6,
2021年07月01日 (6月),23:00,60.6,61.0,61.2,
2021年06月01日 (5月),23:00,61.2,60.9,60.7,
2021年05月03日 (4月),23:00,60.7,65.0,64.7,
2021年04月01日 (3月),23:00,64.7,61.3,60.8,
2021年03月02日 (2月),00:00,60.8,58.8,58.7,
2021年02月02日 (1月),00:00,58.7,60.0,60.5,
2021年01月06日 (12月),00:00,60.7,56.6,57.5,
2020年12月02日 (11月),00:00,57.5,58.0,59.3,
2020年11月03日 (10月),00:00,59.3,55.8,55.4,
2020年10月01日 (9月),23:00,55.4,56.4,56.0,
2020年09月01日 (8月),23:00,56.0,54.5,54.2,
2020年08月03日 (7月),23:00,54.2,53.6,52.6,
2020年07月01日 (6月),23:00,52.6,49.5,43.1,
2020年06月01日 (5月),23:00,43.1,43.0,41.5,
2020年05月01日 (4月),23:00,41.5,36.9,49.1,
2020年04月01日 (3月),23:00,49.1,45.0,50.1,
2020年03月03日 (2月),00:00,50.1,50.5,50.9,
2020年02月04日 (1月),00:00,50.9,48.5,47.8,
2020年01月04日 (12月),00:00,47.2,49.0,48.1,
2019年12月03日 (11月),00:00,48.1,49.2,48.3,
2019年11月01日 (10月),23:00,48.3,48.9,47.8,
2019年10月01日 (9月),23:00,47.8,50.4,49.1,
2019年09月03日 (8月),23:00,49.1,51.1,51.2,
2019年08月01日 (7月),23:00,51.2,52.0,51.7,
2019年07月01日 (6月),23:00,51.7,51.0,52.1,
2019年06月03日 (5月),23:00,52.1,53.0,52.8,
2019年05月01日 (4月),23:00,52.8,55.0,55.3,
2019年04月01日 (3月),23:00,55.3,54.5,54.2,
2019年03月02日 (2月),00:00,54.2,55.5,56.6,
2019年02月02日 (1月),00:00,56.6,54.2,54.3,
2019年01月04日 (12月),00:00,54.1,57.7,59.3,
2018年12月04日 (11月),00:00,59.3,57.6,57.7,
2018年11月01日 (10月),23:00,57.7,59.0,59.8,
2018年10月01日 (9月),23:00,59.8,60.1,61.3,
2018年09月04日 (8月),23:00,61.3,57.6,58.1,
2018年08月01日 (7月),23:00,58.1,59.4,60.2,
2018年07月02日 (6月),23:00,60.2,58.4,58.7,
2018年06月01日 (5月),23:00,58.7,58.2,57.3,
2018年05月01日 (4月),23:00,57.3,58.6,59.3,
2018年04月02日 (3月),23:00,59.3,60.1,60.8,
2018年03月02日 (2月),00:00,60.8,58.7,59.1,
2018年02月02日 (1月),00:00,59.1,58.8,59.7,
2018年01月04日 (12月),00:00,59.7,58.1,58.2,
2017年12月02日 (11月),00:00,58.2,58.4,58.7,
2017年11月01日 (10月),23:00,58.7,59.5,60.8,
2017年10月02日 (9月),23:00,60.8,58.0,58.8,
2017年09月01日 (8月),23:00,58.8,56.5,56.3,
2017年08月01日 (7月),23:00,56.3,56.5,57.8,
2017年07月03日 (6月),23:00,57.8,55.2,54.9,
2017年06月01日 (5月),23:00,54.9,54.5,54.8,
2017年05月01日 (4月),23:00,54.8,56.5,57.2,
2017年04月03日 (3月),23:00,57.2,57.0,57.7,
2017年03月02日 (2月),00:00,57.7,56.0,56.0,
2017年02月02日 (1月),00:00,56.0,55.0,54.5,
2017年01月04日 (12月),00:00,54.7,53.6,53.2,
2016年12月02日 (11月),00:00,53.2,52.2,51.9,
2016年11月01日 (10月),23:00,51.9,51.7,51.5,
2016年10月03日 (9月),23:00,51.5,50.3,49.4,
2016年09月01日 (8月),23:00,49.4,52.0,52.6,
2016年08月01日 (7月),23:00,52.6,53.0,53.2,
2016年07月01日 (6月),23:00,53.2,51.4,51.3,
2016年06月01日 (5月),23:00,51.3,50.4,50.8,
2016年05月02日 (4月),23:00,50.8,51.4,51.8,
2016年04月01日 (3月),23:00,51.8,50.7,49.5,
2016年03月02日 (2月),00:00,49.5,48.5,48.2,
2016年02月02日 (1月),00:00,48.2,48.1,48.0,
2016年01月05日 (12月),00:00,48.2,49.0,48.6,
2015年12月02日 (11月),00:00,48.6,50.5,50.1,
2015年11月03日 (10月),00:00,50.1,50.0,50.2,
2015年10月01日 (9月),23:00,50.2,50.6,51.1,
2015年09月01日 (8月),23:00,51.1,52.6,52.7,
2015年08月03日 (7月),22:25,52.7,53.5,53.5,
2015年07月01日 (6月),23:00,53.5,53.1,52.8,
2015年06月01日 (5月),23:00,52.8,52.0,51.5,
2015年05月01日 (4月),23:00,51.5,52.0,51.5,
2015年04月01日 (3月),23:00,51.5,52.5,52.9,
2015年03月03日 (2月),00:00,52.9,53.0,53.5,
2015年02月03日 (1月),00:00,53.5,54.5,55.5,
2015年01月03日 (12月),00:00,55.5,57.6,58.7,
2014年12月02日 (11月),00:00,58.7,57.9,59.0,
2014年11月04日 (10月),00:00,59.0,56.2,56.6,
2014年10月01日 (9月),23:00,56.6,58.5,59.0,
2014年09月02日,23:00,59.0,56.8,57.1,
2014年08月01日,23:00,57.1,56.0,55.3,
2014年07月01日,23:00,55.3,55.8,55.4,
2014年06月02日,23:00,55.4,55.5,54.9,
2014年05月01日,23:00,54.9,54.3,53.7,
2014年04月01日,23:00,53.7,54.0,53.2,
2014年03月04日,00:00,53.2,52.0,51.3,
2014年02月04日,00:00,51.3,56.4,57.0,
2014年01月03日,00:00,57.0,57.0,57.3,
2013年12月03日,00:00,57.3,55.0,56.4,
2013年11月01日,23:00,56.4,55.0,56.2,
2013年10月01日,23:00,56.2,55.0,55.7,
2013年09月03日,23:00,55.7,54.0,55.4,
2013年08月01日,23:00,55.4,52.0,50.9,
2013年07月01日,23:00,50.9,50.5,49.0,
2013年06月03日,23:00,49.0,50.7,50.7,
2013年05月01日,23:00,50.7,50.9,51.3,
2013年04月01日,23:00,51.3,54.2,54.2,
2013年03月02日,00:00,54.2,52.5,53.1,
2013年02月02日,00:00,53.1,50.6,50.2,
2013年01月03日,00:00,50.7,50.3,49.5,
2012年12月04日,00:00,49.5,51.3,51.7,
2012年11月01日,23:00,51.7,51.2,51.5,
2012年10月01日,23:00,51.5,49.7,49.6,
2012年09月04日,23:00,49.6,50.0,49.8,
2012年08月01日,23:00,49.8,50.2,49.7,
2012年07月02日,23:00,49.7,52.0,53.5,
2012年06月01日,23:00,53.5,53.9,54.8,
2012年05月01日,23:00,54.8,53.0,53.4,
2012年04月02日,23:00,53.4,53.0,52.4,
2012年03月02日,00:00,52.4,54.6,54.1,
2012年02月02日,00:00,54.1,54.5,53.9,
2012年01月04日,00:00,53.9,53.2,52.7,
2011年12月02日,00:00,52.7,51.5,50.8,
2011年11月01日,23:00,50.8,52.1,51.6,
2011年10月03日,23:00,51.6,50.5,50.6,
2011年09月01日,23:00,50.6,48.5,50.9,
2011年08月01日,23:00,50.9,54.8,55.3,
2011年07月01日,23:00,55.3,51.5,53.5,
2011年06月01日,23:00,53.5,57.5,60.4,
2011年05月02日,23:00,60.4,59.7,61.2,
2011年04月01日,23:00,61.2,61.0,61.4,
2011年03月02日,00:00,61.4,60.9,60.8,
2011年02月02日,00:00,60.8,58.2,58.5,
2011年01月04日,00:00,57.0,57.3,56.6,
2010年12月02日,00:00,56.6,56.4,56.9,
2010年11月01日,23:00,56.9,53.6,54.4,
2010年10月01日,23:00,54.4,54.5,56.3,
2010年09月01日,23:00,56.3,53.0,55.5,
2010年08月02日,23:00,55.5,54.2,56.2,
2010年07月01日,23:00,56.2,59.0,59.7,
2010年06月01日,23:00,59.7,58.9,60.4,
2010年05月03日,23:00,60.4,60.0,59.6,
2010年04月01日,23:00,59.6,57.0,56.5,
2010年03月02日,00:00,56.5,58.0,58.4,
2010年02月02日,00:00,58.4,55.2,54.9,
2010年01月05日,00:00,55.9,54.0,53.6,
2009年12月02日,00:00,53.6,54.8,55.7,
2009年11月03日,00:00,55.7,53.0,52.6,
2009年10月01日,23:00,52.6,54.5,52.9,
2009年09月01日,23:00,52.9,50.5,48.9,
2009年08月03日,23:00,48.9,46.5,44.8,
2009年07月01日,23:00,44.8,44.0,42.8,
2009年06月01日,23:00,42.8,42.0,40.1,
2009年05月01日,23:00,40.1,38.0,36.3,
2009年04月01日,23:00,36.3,35.7,35.8,
2009年03月03日,00:00,35.8,34.0,35.6,
2009年02月03日,00:00,35.6,32.4,32.9,
2009年01月03日,00:00,32.4,35.5,36.2,
2008年12月02日,00:00,36.2,37.2,38.9,
2008年11月04日,00:00,38.9,41.6,43.5,
2008年10月01日,23:00,43.5,49.5,49.9,
2008年09月02日,23:00,49.9,49.9,50.0,
2008年08月01日,23:00,50.0,49.4,50.2,
2008年07月01日,23:00,50.2,48.6,49.6,
2008年06月03日,00:00,49.6,48.6,48.6,
2008年05月01日,23:00,48.6,48.0,48.6,
2008年04月01日,23:00,48.6,47.5,48.3,
2008年03月04日,00:00,48.3,48.0,50.7,
2008年02月01日 (1月),18:00,50.30, ,49.00,
2008年01月01日 (12月),18:00,49.00, ,50.50,
2007年12月01日 (11月),18:00,50.50, ,51.10,
2007年11月01日 (10月),18:00,51.10, ,51.00,
2007年10月01日 (9月),18:00,51.00, ,50.90,
2007年09月01日 (8月),18:00,50.90, ,52.40,
2007年08月01日 (7月),18:00,52.40, ,52.60,
2007年07月01日 (6月),18:00,52.60, ,52.50,
2007年06月01日 (5月),18:00,52.50, ,52.60,
2007年05月01日 (4月),18:00,52.60, ,50.70,
2007年04月01日 (3月),18:00,50.70, ,51.90,
2007年03月01日 (2月),18:00,51.90, ,49.50,
2007年02月01日 (1月),18:00,49.50, ,51.40,
2007年01月01日 (12月),18:00,51.40, ,50.30,
2006年12月01日 (11月),18:00,50.30, ,51.40,
2006年11月01日 (10月),18:00,51.40, ,52.20,
2006年10月01日 (9月),18:00,52.20, ,53.70,
2006年09月01日 (8月),18:00,53.70, ,53.00,
2006年08月01日 (7月),18:00,53.00, ,52.00,
2006年07月01日 (6月),18:00,52.00, ,53.70,
2006年06月01日 (5月),18:00,53.70, ,55.20,
2006年05月01日 (4月),18:00,55.20, ,54.30,
2006年04月01日 (3月),18:00,54.30, ,55.80,
2006年03月01日 (2月),18:00,55.80, ,55.00,
2006年02月01日 (1月),18:00,55.00, ,55.10,
2006年01月01日 (12月),18:00,55.10, ,56.70,
2005年12月01日 (11月),18:00,56.70, ,57.20,
2005年11月01日 (10月),18:00,57.20, ,56.80,
2005年10月01日 (9月),18:00,56.80, ,52.40,
2005年09月01日 (8月),18:00,52.40, ,52.80,
2005年08月01日 (7月),18:00,52.80, ,52.40,
2005年07月01日 (6月),18:00,52.40, ,50.80,
2005年06月01日 (5月),18:00,50.80, ,52.20,
2005年05月01日 (4月),18:00,52.20, ,55.20,
2005年04月01日 (3月),18:00,55.20, ,55.50,
2005年03月01日 (2月),18:00,55.50, ,56.80,
2005年02月01日 (1月),18:00,56.80, ,57.20,
2005年01月01日 (12月),18:00,57.20, ,56.20,
2004年12月01日 (11月),18:00,56.20, ,56.30,
2004年11月01日 (10月),18:00,56.30, ,57.40,
2004年10月01日 (9月),18:00,57.40, ,58.50,
2004年09月01日 (8月),18:00,58.50, ,59.90,
2004年08月01日 (7月),18:00,59.90, ,60.50,
2004年07月01日 (6月),18:00,60.50, ,61.40,
2004年06月01日 (5月),18:00,61.40, ,60.60,
2004年05月01日 (4月),18:00,60.60, ,60.60,
2004年04月01日 (3月),18:00,60.60, ,59.90,
2004年03月01日 (2月),18:00,59.90, ,60.80,
2004年02月01日 (1月),18:00,60.80, ,60.10,
2004年01月01日 (12月),18:00,60.10, ,58.40,
2003年12月01日 (11月),18:00,58.40, ,55.20,
2003年11月01日 (10月),18:00,55.20, ,52.40,
2003年10月01日 (9月),18:00,52.40, ,53.20,
2003年09月01日 (8月),18:00,53.20, ,51.00,
2003年08月01日 (7月),18:00,51.00, ,49.00,
2003年07月01日 (6月),18:00,49.00, ,49.00,
2003年06月01日 (5月),18:00,49.00, ,46.10,
2003年05月01日 (4月),18:00,46.10, ,46.30,
2003年04月01日 (3月),18:00,46.30, ,48.80,
2003年03月01日 (2月),18:00,48.80, ,51.30,
2003年02月01日 (1月),18:00,51.30, ,51.60,
2003年01月01日 (12月),18:00,51.60, ,48.50,
2002年12月01日 (11月),18:00,48.50, ,49.00,
2002年11月01日 (10月),18:00,49.00, ,50.50,
2002年10月01日 (9月),18:00,50.50, ,50.30,
2002年09月01日 (8月),18:00,50.30, ,50.20,
2002年08月01日 (7月),18:00,50.20, ,53.60,
2002年07月01日 (6月),18:00,53.60, ,53.10,
2002年06月01日 (5月),18:00,53.10, ,52.40,
2002年05月01日 (4月),18:00,52.40, ,52.40,
2002年04月01日 (3月),18:00,52.40, ,50.70,
2002年03月01日 (2月),18:00,50.70, ,47.50,
2002年02月01日 (1月),18:00,47.50, ,45.30,
2002年01月01日 (12月),18:00,45.30, ,44.10,
2001年12月01日 (11月),18:00,44.10, ,40.80,
2001年11月01日 (10月),18:00,40.80, ,46.20,
2001年10月01日 (9月),18:00,46.20, ,46.30,
2001年09月01日 (8月),18:00,46.30, ,43.50,
2001年08月01日 (7月),18:00,43.50, ,43.20,
2001年07月01日 (6月),18:00,43.20, ,41.30,
2001年06月01日 (5月),18:00,41.30, ,42.70,
2001年05月01日 (4月),18:00,42.70, ,43.10,
2001年04月01日 (3月),18:00,43.10, ,42.10,
2001年03月01日 (2月),18:00,42.10, ,42.30,
2001年02月01日 (1月),18:00,42.30, ,43.90,
2001年01月01日 (12月),18:00,43.90, ,48.50,
2000年12月01日 (11月),18:00,48.50, ,48.70,
