公表日時,時間,結果,予想,前回,
2023年11月03日 (10月),21:30,150K,180K,297K,
2023年10月06日 (9月),21:30,336K,170K,227K,
2023年09月01日 (8月),21:30,187K,170K,157K,
2023年08月04日 (7月),21:30,187K,200K,185K,
2023年07月07日 (6月),21:30,209K,225K,306K,
2023年06月02日 (5月),21:30,339K,180K,294K,
2023年05月05日 (4月),21:30,253K,180K,165K,
2023年04月07日 (3月),21:30,236K,239K,326K,
2023年03月10日 (2月),22:30,311K,205K,504K,
2023年02月03日 (1月),22:30,517K,185K,260K,
2023年01月06日 (12月),22:30,223K,200K,256K,
2022年12月02日 (11月),22:30,263K,200K,284K,
2022年11月04日 (10月),21:30,261K,200K,315K,
2022年10月07日 (9月),21:30,263K,250K,315K,
2022年09月02日 (8月),21:30,315K,300K,526K,
2022年08月05日 (7月),21:30,528K,250K,398K,
2022年07月08日 (6月),21:30,372K,268K,384K,
2022年06月03日 (5月),21:30,390K,325K,436K,
2022年05月06日 (4月),21:30,428K,391K,428K,
2022年04月01日 (3月),21:30,431K,490K,750K,
2022年03月04日 (2月),22:30,678K,400K,481K,
2022年02月04日 (1月),22:30,467K,150K,510K,
2022年01月07日 (12月),22:30,199K,400K,249K,
2021年12月03日 (11月),22:30,210K,550K,546K,
2021年11月05日 (10月),21:30,531K,450K,312K,
2021年10月08日 (9月),21:30,194K,500K,366K,
2021年09月03日 (8月),21:30,235K,750K,"1,053K",
2021年08月06日 (7月),21:30,943K,870K,938K,
2021年07月02日 (6月),21:30,850K,700K,583K,
2021年06月04日 (5月),21:30,559K,650K,278K,
2021年05月07日 (4月),21:30,266K,978K,770K,
2021年04月02日 (3月),21:30,916K,647K,468K,
2021年03月05日 (2月),22:30,379K,182K,166K,
2021年02月05日 (1月),22:30,49K,50K,-227K,
2021年01月08日 (12月),22:30,-140K,71K,336K,
2020年12月04日 (11月),22:30,245K,469K,610K,
2020年11月06日 (10月),22:30,638K,600K,672K,
2020年10月02日 (9月),21:30,661K,850K,"1,489K",
2020年09月04日 (8月),21:30,"1,371K","1,400K","1,734K",
2020年08月07日 (7月),21:30,"1,763K","1,600K","4,791K",
2020年07月02日 (6月),21:30,"4,800K","3,000K","2,699K",
2020年06月05日 (5月),21:30,"2,509K","-8,000K","-20,687K",
2020年05月08日 (4月),21:30,"-20,537K","-22,000K",-870K,
2020年04月03日 (3月),21:30,-701K,-100K,275K,
2020年03月06日 (2月),21:30,273K,175K,273K,
2020年02月07日 (1月),22:30,225K,160K,147K,
