公表日時,時間,結果,予想,前回,
2023年11月14日 (10月),22:30, , ,0.3%,
2023年10月12日 (9月),21:30,0.3%,0.3%,0.3%,
2023年09月13日 (8月),21:30,0.3%,0.2%,0.2%,
2023年08月10日 (7月),21:30,0.2%,0.2%,0.2%,
2023年07月12日 (6月),21:30,0.2%,0.3%,0.4%,
2023年06月13日 (5月),21:30,0.4%,0.4%,0.4%,
2023年05月10日 (4月),21:30,0.4%,0.4%,0.4%,
2023年04月12日 (3月),21:30,0.4%,0.4%,0.5%,
2023年03月14日 (2月),21:30,0.5%,0.4%,0.4%,
2023年02月14日 (1月),22:30,0.4%,0.4%,0.4%,
2023年01月12日 (12月),22:30,0.3%,0.3%,0.3%,
2022年12月13日 (11月),22:30,0.2%,0.3%,0.3%,
2022年11月10日 (10月),22:30,0.3%,0.5%,0.6%,
2022年10月13日 (9月),21:30,0.6%,0.5%,0.6%,
2022年09月13日 (8月),21:30,0.6%,0.3%,0.3%,
2022年08月10日 (7月),21:30,0.3%,0.5%,0.7%,
2022年07月13日 (6月),21:30,0.7%,0.6%,0.6%,
2022年06月10日 (5月),21:30,0.6%,0.5%,0.6%,
2022年05月11日 (4月),21:30,0.6%,0.4%,0.3%,
2022年04月12日 (3月),21:30,0.3%,0.5%,0.5%,
2022年03月10日 (2月),22:30,0.5%,0.5%,0.6%,
2022年02月10日 (1月),22:30,0.6%,0.5%,0.6%,
2022年01月12日 (12月),22:30,0.6%,0.5%,0.5%,
2021年12月10日 (11月),22:30,0.5%,0.5%,0.6%,
2021年11月10日 (10月),22:30,0.6%,0.4%,0.2%,
2021年10月13日 (9月),21:30,0.2%,0.2%,0.1%,
2021年09月14日 (8月),21:30,0.1%,0.3%,0.3%,
2021年08月11日 (7月),21:30,0.3%,0.4%,0.9%,
2021年07月13日 (6月),21:30,0.9%,0.4%,0.7%,
2021年06月10日 (5月),21:30,0.7%,0.4%,0.9%,
2021年05月12日 (4月),21:30,0.9%,0.3%,0.3%,
2021年04月13日 (3月),21:30,0.3%,0.2%,0.1%,
2021年03月10日 (2月),22:30,0.1%,0.2%,0.1%,
2021年02月10日 (1月),22:30,0.0%,0.2%,0.1%,
2021年01月13日 (12月),22:30,0.1%,0.1%,0.2%,
2020年12月10日 (11月),22:30,0.2%,0.1%,0.2%,
2020年11月12日 (10月),22:30,0.0%,0.2%,0.2%,
2020年10月13日 (9月),21:30,0.2%,0.2%,0.4%,
2020年09月11日 (8月),21:30,0.4%,0.2%,0.6%,
2020年08月12日 (7月),21:30,0.6%,0.2%,0.2%,
2020年07月14日 (6月),21:30,0.2%,0.1%,-0.1%,
2020年06月10日 (5月),21:30,-0.1%,-0.1%,-0.4%,
2020年05月12日 (4月),21:30,-0.4%,-0.2%,-0.1%,
2020年04月10日 (3月),21:30,-0.1%,0.1%,0.2%,
2020年03月11日 (2月),21:30,0.2%,0.2%,0.2%,
2020年02月13日 (1月),22:30,0.2%,0.2%,0.1%,
2020年01月14日 (12月),22:30,0.1%,0.2%,0.2%,
2019年12月11日 (11月),22:30,0.2%,0.2%,0.2%,
2019年11月13日 (10月),22:30,0.2%,0.2%,0.1%,
2019年10月10日 (9月),21:30,0.1%,0.2%,0.3%,
2019年09月12日 (8月),21:30,0.3%,0.2%,0.3%,
2019年08月13日 (7月),21:30,0.3%,0.2%,0.3%,
