公表日時,時間,結果,予想,前回,
2023年11月16日 (10月),23:15, , ,0.3%,
2023年10月17日 (9月),22:15,0.3%,0.1%,0.0%,
2023年09月15日 (8月),22:15,0.4%,0.1%,0.7%,
2023年08月16日 (7月),22:15,1.0%,0.3%,-0.8%,
2023年07月18日 (6月),22:15,-0.5%,0.0%,-0.5%,
2023年06月15日 (5月),22:15,-0.2%,0.1%,0.5%,
2023年05月16日 (4月),22:15,0.5%,-0.1%,0.0%,
2023年04月14日 (3月),22:15,0.4%,0.2%,0.2%,
2023年03月17日 (2月),22:15,0.0%,0.2%,0.3%,
2023年02月15日 (1月),23:15,0.0%,0.5%,-1.0%,
2023年01月18日 (12月),23:15,-0.7%,-0.1%,-0.6%,
2022年12月15日 (11月),23:15,-0.2%,0.1%,-0.1%,
2022年11月16日 (10月),23:15,-0.1%,0.2%,0.1%,
2022年10月18日 (9月),22:15,0.4%,0.1%,-0.1%,
2022年09月15日 (8月),22:15,-0.2%,0.1%,0.5%,
2022年08月16日 (7月),22:15,0.6%,0.3%,-0.2%,
2022年07月15日 (6月),22:15,-0.2%,0.1%,0.1%,
2022年06月17日 (5月),22:15,0.2%,0.4%,1.4%,
2022年05月17日 (4月),22:15,1.1%,0.5%,0.9%,
2022年04月15日 (3月),22:15,0.9%,0.4%,0.9%,
2022年03月17日 (2月),22:15,0.5%,0.5%,1.4%,
2022年02月16日 (1月),23:15,1.4%,0.4%,-0.1%,
2022年01月14日 (12月),23:15,-0.1%,0.3%,0.7%,
2021年12月16日 (11月),23:15,0.5%,0.7%,1.7%,
2021年11月16日 (10月),23:15,1.6%,0.7%,-1.3%,
2021年10月18日 (9月),22:15,-1.3%,0.2%,-0.1%,
2021年09月15日 (8月),22:15,0.4%,0.4%,0.8%,
2021年08月17日 (7月),22:15,0.9%,0.5%,0.2%,
2021年07月15日 (6月),22:15,0.4%,0.6%,0.7%,
2021年06月15日 (5月),22:15,0.8%,0.6%,0.1%,
2021年05月14日 (4月),22:15,0.7%,1.0%,2.4%,
2021年04月15日 (3月),22:15,1.4%,2.8%,-2.6%,
2021年03月16日 (2月),22:15,-2.2%,0.3%,1.1%,
2021年02月17日 (1月),23:15,0.9%,0.5%,1.3%,
2021年01月15日 (12月),23:15,1.6%,0.5%,0.5%,
2020年12月15日 (11月),23:15,0.4%,0.3%,0.9%,
2020年11月17日 (10月),23:15,1.1%,1.0%,-0.4%,
2020年10月16日 (9月),22:15,-0.6%,0.5%,0.4%,
2020年09月15日 (8月),22:15,0.4%,1.0%,3.5%,
2020年08月14日 (7月),22:15,3.0%,3.0%,5.7%,
2020年07月15日 (6月),22:15,5.4%,4.3%,1.4%,
2020年06月16日 (5月),22:15,1.4%,2.9%,-12.5%,
2020年05月15日 (4月),22:15,-11.2%,-11.5%,-4.5%,
2020年04月15日 (3月),22:15,-5.4%,-4.0%,0.5%,
2020年03月17日 (2月),22:15,0.6%,0.4%,-0.5%,
2020年02月14日 (1月),23:15,-0.3%,-0.2%,-0.4%,
2020年01月17日 (12月),23:15,-0.3%,-0.2%,0.8%,
2019年12月17日 (11月),23:15,1.1%,0.8%,-0.9%,
2019年11月15日 (10月),23:15,-0.8%,-0.4%,-0.3%,
2019年10月17日 (9月),22:15,-0.4%,-0.1%,0.8%,
2019年09月17日 (8月),22:15,0.6%,0.2%,-0.1%,
2019年08月15日 (7月),22:15,-0.2%,0.1%,0.2%,
2019年07月16日 (6月),22:15,0.0%,0.1%,0.4%,
2019年06月14日 (5月),22:15,0.4%,0.2%,-0.4%,
2019年05月15日 (4月),22:15,-0.5%,0.0%,0.2%,
2019年04月16日 (3月),22:15,-0.1%,0.2%,0.1%,
2019年03月15日 (2月),22:15,0.1%,0.4%,-0.4%,
2019年02月15日 (1月),23:15,-0.6%,0.1%,0.1%,
2019年01月18日 (12月),23:15,0.3%,0.2%,0.4%,
2018年12月14日 (11月),23:15,0.6%,0.3%,-0.2%,
2018年11月16日 (10月),23:15,0.1%,0.2%,0.2%,
2018年10月16日 (9月),22:15,0.3%,0.2%,0.4%,
2018年09月14日 (8月),22:15,0.4%,0.3%,0.4%,
2018年08月15日 (7月),22:15,0.1%,0.3%,1.0%,
