公表日時,時間,結果,予想,前回,
2023年11月23日 (11月),00:00, , , ,
2023年11月11日 (11月),00:00  , ,64.0,63.8,
2023年10月27日 (10月),23:00,63.8,63.0,68.1,
2023年10月13日 (10月),23:00  ,63.0,67.2,68.1,
2023年09月29日 (9月),23:00,68.1,67.7,69.5,
2023年09月15日 (9月),23:00  ,67.7,69.1,69.5,
2023年08月25日 (8月),23:00,69.5,71.2,71.6,
2023年08月11日 (8月),23:00  ,71.2,71.0,71.6,
2023年07月28日 (7月),23:00,71.6,72.6,64.4,
2023年07月14日 (7月),23:00  ,72.6,65.5,64.4,
2023年06月30日 (6月),23:00,64.4,63.9,59.2,
2023年06月16日 (6月),23:00  ,63.9,60.0,59.2,
2023年05月26日 (5月),23:00,59.2,57.9,63.5,
2023年05月12日 (5月),23:00  ,57.7,63.0,63.5,
2023年04月28日 (4月),23:00,63.5,63.5,63.5,
2023年04月14日 (4月),23:00  ,63.5,62.0,62.0,
2023年03月31日 (3月),23:00,62.0,63.2,63.4,
2023年03月17日 (3月),23:00  ,63.4,66.9,67.0,
2023年02月25日 (2月),00:00,67.0,66.4,64.9,
2023年02月11日 (2月),00:00  ,66.4,65.0,64.9,
2023年01月28日 (1月),00:00,64.9,64.6,59.7,
2023年01月14日 (1月),00:00  ,64.6,60.5,59.7,
2022年12月24日 (12月),00:00,59.7,59.1,59.1,
2022年12月10日 (12月),00:00  ,59.1,56.9,56.8,
2022年11月24日 (11月),00:00,56.8,55.0,54.7,
2022年11月12日 (11月),00:00  ,54.7,59.5,59.9,
2022年10月28日 (10月),23:00  ,59.9,59.8,59.8,
2022年10月14日 (10月),23:00  ,59.8,59.0,58.6,
2022年09月30日 (9月),23:00,58.6,59.5,59.5,
2022年09月16日 (9月),23:00  ,59.5,60.0,58.2,
2022年08月26日 (8月),23:00,58.2,55.1,51.5,
2022年08月12日 (8月),23:00  ,55.1,52.5,51.5,
2022年07月29日 (7月),23:00,51.5,51.1,50.0,
2022年07月15日 (7月),23:00  ,51.1,49.9,50.0,
2022年06月24日 (6月),23:00,50.0,50.2,50.2,
2022年06月10日 (6月),23:00  ,50.2,58.0,58.4,
2022年05月27日 (5月),23:00,58.4,59.1,65.2,
2022年05月13日 (5月),23:00  ,59.1,64.0,65.2,
2022年04月29日 (4月),23:00,65.2,65.7,59.4,
2022年04月14日 (4月),23:00  ,65.7,59.0,59.4,
2022年03月25日 (3月),23:00,59.4,59.7,62.8,
2022年03月12日 (3月),00:00  ,59.7,61.4,62.8,
2022年02月26日 (2月),00:00,62.8,61.7,67.2,
2022年02月12日 (2月),00:00  ,61.7,67.5,67.2,
2022年01月29日 (1月),00:00,67.2,68.7,70.6,
2022年01月15日 (1月),00:00  ,68.8,70.0,70.6,
2021年12月24日 (12月),00:00,70.6,70.4,67.4,
2021年12月11日 (12月),00:00  ,70.4,67.1,67.4,
2021年11月25日 (11月),00:00,67.4,66.8,71.7,
2021年11月13日 (11月),00:00  ,66.8,72.4,71.7,
2021年10月29日 (10月),23:00,71.7,71.4,71.4,
2021年10月15日 (10月),23:00  ,71.4,73.1,72.8,
2021年10月01日 (9月),23:00,72.8,71.0,70.3,
2021年09月17日 (9月),23:00,71.0,72.0,70.3,
2021年08月27日 (8月),23:00  ,70.3,70.7,70.2,
2021年08月13日 (8月),23:00  ,70.2,81.2,81.2,
2021年07月30日 (7月),23:00,81.2,80.8,85.5,
2021年07月16日 (7月),23:00  ,80.8,86.5,85.5,
2021年06月25日 (6月),23:00,85.5,86.4,82.9,
2021年06月11日 (6月),23:00  ,86.4,84.0,82.9,
2021年05月28日 (5月),23:00,82.9,82.8,88.3,
2021年05月14日 (5月),23:00  ,82.8,90.4,88.3,
2021年04月30日 (4月),23:00,88.3,87.4,86.5,
2021年04月16日 (4月),23:00  ,86.5,89.6,84.9,
2021年03月26日 (3月),23:00  ,84.9,83.6,83.0,
2021年03月13日 (3月),00:00  ,83.0,78.5,76.8,
2021年02月27日 (2月),00:00,76.8,76.5,79.0,
2021年02月13日 (2月),00:00  ,76.2,80.8,79.0,
2021年01月30日 (1月),00:00  ,79.0,79.2,79.2,
2021年01月16日 (1月),00:00  ,79.2,80.0,80.7,
2020年12月24日 (12月),00:00,80.7,81.3,76.9,
2020年12月12日 (12月),00:00  ,81.4,76.5,76.9,
2020年11月26日 (11月),00:00,76.9,77.0,81.8,
2020年11月14日 (11月),00:00  ,77.0,82.0,81.8,
2020年10月30日 (10月),23:00,81.8,81.2,80.4,
2020年10月16日 (10月),23:00  ,81.2,80.5,80.4,
2020年10月02日 (9月),23:00,80.4,79.0,74.1,
2020年09月18日 (9月),23:00  ,78.9,75.0,74.1,
2020年08月28日 (8月),23:00,74.1,72.8,72.5,
2020年08月14日 (8月),23:00  ,72.8,72.0,72.5,
2020年07月31日 (7月),23:00,72.5,73.0,73.2,
2020年07月17日 (7月),23:00  ,73.2,79.0,78.1,
2020年06月26日 (6月),23:00,78.1,79.0,72.3,
2020年06月12日 (6月),23:00  ,78.9,75.0,72.3,
2020年05月29日 (5月),23:00,72.3,74.0,71.8,
2020年05月15日 (5月),23:00  ,73.7,68.0,71.8,
2020年04月24日 (4月),23:00,71.8,68.0,89.1,
2020年04月09日 (4月),23:00  ,71.0,75.0,89.1,
2020年03月27日 (3月),23:00,89.1,90.0,95.9,
2020年03月13日 (3月),23:00  ,95.9,95.0,101.0,
2020年02月29日 (2月),00:00,101.0,100.9,99.8,
2020年02月15日 (2月),00:00  ,100.9,99.5,99.8,
2020年02月01日 (1月),00:00,99.8,99.1,99.3,
2020年01月18日 (1月),00:00  ,99.1,99.3,99.3,
2019年12月21日 (12月),00:00,99.3,99.2,96.8,
2019年12月07日 (12月),00:00  ,99.2,97.0,96.8,
2019年11月23日 (11月),00:00,96.8,95.7,95.5,
2019年11月09日 (11月),00:00  ,95.7,95.9,95.5,
2019年10月25日 (10月),23:00,95.5,96.0,93.2,
2019年10月11日 (10月),23:00  ,96.0,92.0,93.2,
2019年09月27日 (9月),23:00,93.2,92.0,89.8,
2019年09月13日 (9月),23:00  ,92.0,90.9,89.8,
2019年08月30日 (8月),23:00,89.8,92.1,92.1,
2019年08月16日 (8月),23:00  ,92.1,97.2,98.4,
2019年08月02日 (7月),23:00,98.4,98.5,98.4,
