公表日時,時間,結果,予想,前回,
2023年10月27日 (9月),21:30,0.7%,0.5%,0.4%,
2023年09月29日 (8月),21:30,0.4%,0.4%,0.9%,
2023年08月31日 (7月),21:30,0.8%,0.7%,0.6%,
2023年07月28日 (6月),21:30,0.5%,0.4%,0.2%,
2023年06月30日 (5月),21:30,0.1%,0.2%,0.6%,
2023年05月26日 (4月),21:30,0.8%,0.4%,0.1%,
2023年04月28日 (3月),21:30,0.0%,-0.1%,0.1%,
2023年03月31日 (2月),21:30,0.2%,0.3%,2.0%,
2023年02月24日 (1月),22:30,1.8%,1.3%,-0.1%,
2023年01月27日 (12月),22:30,-0.2%,-0.1%,-0.1%,
2022年12月23日 (11月),22:30,0.1%,0.2%,0.9%,
2022年12月01日 (10月),22:30,0.8%,0.8%,0.6%,
2022年10月28日 (9月),21:30,0.6%,0.4%,0.6%,
2022年09月30日 (8月),21:30,0.4%,0.2%,-0.2%,
2022年08月26日 (7月),21:30,0.1%,0.4%,1.0%,
2022年07月29日 (6月),21:30,1.1%,0.9%,0.3%,
2022年06月30日 (5月),21:30,0.2%,0.4%,0.6%,
2022年05月27日 (4月),21:30,0.9%,0.7%,1.4%,
2022年04月29日 (3月),21:30,1.1%,0.7%,0.6%,
2022年03月31日 (2月),21:30,0.2%,0.5%,2.7%,
2022年02月25日 (1月),22:30,2.1%,1.5%,-0.8%,
2022年01月28日 (12月),22:30,-0.6%,-0.6%,0.4%,
2021年12月23日 (11月),22:30,0.6%,0.6%,1.4%,
2021年11月25日 (10月),00:00,1.3%,1.0%,0.6%,
2021年10月29日 (9月),21:30,0.6%,0.5%,1.0%,
2021年10月01日 (8月),21:30,0.8%,0.6%,-0.1%,
2021年08月27日 (7月),21:30,0.3%,0.3%,1.1%,
2021年07月30日 (6月),21:30,1.0%,0.7%,-0.1%,
2021年06月25日 (5月),21:30,0.0%,0.4%,0.9%,
2021年05月28日 (4月),21:30,0.5%,0.5%,4.7%,
2021年04月30日 (3月),21:30,4.2%,4.1%,-1.0%,
2021年03月26日 (2月),22:30,-1.0%,-0.7%,3.4%,
2021年02月26日 (1月),22:30,2.4%,2.5%,-0.4%,
2021年01月29日 (12月),22:30,-0.2%,-0.4%,-0.7%,
2020年12月23日 (11月),22:30,-0.4%,-0.2%,0.3%,
2020年11月26日 (10月),00:00,0.5%,0.4%,1.2%,
2020年10月30日 (9月),21:30,1.4%,1.0%,1.0%,
2020年10月01日 (8月),21:30,1.0%,0.8%,1.5%,
2020年08月28日 (7月),21:30,1.9%,1.5%,6.2%,
2020年07月31日 (6月),21:30,5.6%,5.5%,8.5%,
2020年06月26日 (5月),21:30,8.2%,9.0%,-12.6%,
2020年05月29日 (4月),21:30,-13.6%,-12.6%,-6.9%,
2020年04月30日 (3月),21:30,-7.5%,-5.0%,0.2%,
2020年03月27日 (2月),21:30,0.2%,0.2%,0.2%,
2020年02月28日 (1月),22:30,0.2%,0.3%,0.4%,
2020年01月31日 (12月),22:30,0.3%,0.3%,0.4%,
2019年12月21日 (11月),00:00,0.4%,0.4%,0.3%,
2019年11月28日 (10月),00:00,0.3%,0.3%,0.2%,
2019年10月31日 (9月),21:30,0.2%,0.2%,0.2%,
2019年09月27日 (8月),21:30,0.1%,0.3%,0.5%,
2019年08月30日 (7月),21:30,0.6%,0.5%,0.3%,
2019年07月30日 (6月),21:30,0.3%,0.3%,0.5%,
2019年06月28日 (5月),21:30,0.4%,0.4%,0.6%,
