公表日時,時間,結果,予想,前回,
2023年11月15日 (10月),22:30, , ,0.7%,
2023年10月17日 (9月),21:30,0.7%,0.3%,0.8%,
2023年09月14日 (8月),21:30,0.6%,0.2%,0.5%,
2023年08月15日 (7月),21:30,0.7%,0.4%,0.3%,
2023年07月18日 (6月),21:30,0.2%,0.5%,0.5%,
2023年06月15日 (5月),21:30,0.3%,-0.1%,0.4%,
2023年05月16日 (4月),21:30,0.4%,0.8%,-0.7%,
2023年04月14日 (3月),21:30,-1.0%,-0.4%,-0.2%,
2023年03月15日 (2月),21:30,-0.4%,-0.3%,3.2%,
2023年02月15日 (1月),22:30,3.0%,1.8%,-1.1%,
2023年01月18日 (12月),22:30,-1.1%,-0.8%,-1.0%,
2022年12月15日 (11月),22:30,-0.6%,-0.1%,1.3%,
2022年11月16日 (10月),22:30,1.3%,1.0%,0.0%,
2022年10月14日 (9月),21:30,0.0%,0.2%,0.4%,
2022年09月15日 (8月),21:30,0.3%,0.2%,-0.4%,
2022年08月17日 (7月),21:30,0.0%,0.1%,0.8%,
2022年07月15日 (6月),21:30,1.0%,0.8%,-0.1%,
2022年06月15日 (5月),21:30,-0.3%,0.2%,0.7%,
2022年05月17日 (4月),21:30,0.9%,0.9%,1.4%,
2022年04月14日 (3月),21:30,0.5%,0.6%,0.8%,
2022年03月16日 (2月),21:30,0.3%,0.4%,4.9%,
2022年02月16日 (1月),22:30,3.8%,2.0%,-2.5%,
2022年01月14日 (12月),22:30,-1.9%,-0.1%,0.2%,
2021年12月15日 (11月),22:30,0.3%,0.8%,1.8%,
2021年11月16日 (10月),22:30,1.7%,1.2%,0.8%,
2021年10月15日 (9月),21:30,0.7%,-0.2%,0.9%,
2021年09月16日 (8月),21:30,0.7%,-0.8%,-1.8%,
2021年08月17日 (7月),21:30,-1.1%,-0.3%,0.7%,
2021年07月16日 (6月),21:30,0.6%,-0.4%,-1.7%,
2021年06月15日 (5月),21:30,-1.3%,-0.8%,0.9%,
2021年05月14日 (4月),21:30,0.0%,1.0%,10.7%,
2021年04月15日 (3月),21:30,9.8%,5.9%,-2.7%,
2021年03月16日 (2月),21:30,-3.0%,-0.5%,7.6%,
2021年02月17日 (1月),22:30,5.3%,1.1%,-1.0%,
2021年01月15日 (12月),22:30,-0.7%,-0.2%,-1.4%,
