公表日時,時間,結果,予想,前回,
2023年11月03日 (10月),21:30,3.9%,3.8%,3.8%,
2023年10月06日 (9月),21:30,3.8%,3.7%,3.8%,
2023年09月01日 (8月),21:30,3.8%,3.5%,3.5%,
2023年08月04日 (7月),21:30,3.5%,3.6%,3.6%,
2023年07月07日 (6月),21:30,3.6%,3.6%,3.7%,
2023年06月02日 (5月),21:30,3.7%,3.5%,3.4%,
2023年05月05日 (4月),21:30,3.4%,3.6%,3.5%,
2023年04月07日 (3月),21:30,3.5%,3.6%,3.6%,
2023年03月10日 (2月),22:30,3.6%,3.4%,3.4%,
2023年02月03日 (1月),22:30,3.4%,3.6%,3.5%,
2023年01月06日 (12月),22:30,3.5%,3.7%,3.6%,
2022年12月02日 (11月),21:30,3.7%,3.7%,3.7%,
2022年11月04日 (10月),21:30,3.7%,3.6%,3.5%,
2022年10月07日 (9月),21:30,3.5%,3.7%,3.7%,
2022年09月02日 (8月),21:30,3.7%,3.5%,3.5%,
2022年08月05日 (7月),21:30,3.5%,3.6%,3.6%,
2022年07月08日 (6月),21:30,3.6%,3.6%,3.6%,
2022年06月03日 (5月),21:30,3.6%,3.5%,3.6%,
2022年05月06日 (4月),21:30,3.6%,3.5%,3.6%,
2022年04月01日 (3月),21:30,3.6%,3.7%,3.8%,
2022年03月04日 (2月),22:30,3.8%,3.9%,4.0%,
2022年02月04日 (1月),22:30,4.0%,3.9%,3.9%,
2022年01月07日 (12月),22:30,3.9%,4.1%,4.2%,
2021年12月03日 (11月),22:30,4.2%,4.5%,4.6%,
2021年11月05日 (10月),21:30,4.6%,4.7%,4.8%,
2021年10月08日 (9月),21:30,4.8%,5.1%,5.2%,
2021年09月03日 (8月),21:30,5.2%,5.2%,5.4%,
2021年08月06日 (7月),21:30,5.4%,5.7%,5.9%,
2021年07月02日 (6月),21:30,5.9%,5.7%,5.8%,
2021年06月04日 (5月),21:30,5.8%,5.9%,6.1%,
2021年05月07日 (4月),21:30,6.1%,5.8%,6.0%,
2021年04月02日 (3月),21:30,6.0%,6.0%,6.2%,
2021年03月05日 (2月),22:30,6.2%,6.3%,6.3%,
2021年02月05日 (1月),22:30,6.3%,6.7%,6.7%,
2021年01月08日 (12月),22:30,6.7%,6.8%,6.7%,
2020年12月04日 (11月),22:30,6.7%,6.8%,6.9%,
2020年11月06日 (10月),22:30,6.9%,7.7%,7.9%,
2020年10月02日 (9月),21:30,7.9%,8.2%,8.4%,
2020年09月04日 (8月),21:30,8.4%,9.8%,10.2%,
2020年08月07日 (7月),21:30,10.2%,10.5%,11.1%,
2020年07月02日 (6月),21:30,11.1%,12.3%,13.3%,
2020年06月05日 (5月),21:30,13.3%,19.7%,14.7%,
2020年05月08日 (4月),21:30,14.7%,16.0%,4.4%,
2020年04月03日 (3月),21:30,4.4%,3.8%,3.5%,
2020年03月06日 (2月),22:30,3.5%,3.6%,3.6%,
2020年02月07日 (1月),22:30,3.6%,3.5%,3.5%,
2020年01月10日 (12月),22:30,3.5%,3.5%,3.5%,
2019年12月06日 (11月),22:30,3.5%,3.6%,3.6%,
2019年11月01日 (10月),21:30,3.6%,3.6%,3.5%,
2019年10月04日 (9月),21:30,3.5%,3.7%,3.7%,
2019年09月06日 (8月),21:30,3.7%,3.7%,3.7%,
2019年08月02日 (7月),21:30,3.7%,3.7%,3.7%,
2019年07月05日 (6月),21:30,3.7%,3.6%,3.6%,
2019年06月07日 (5月),21:30,3.6%,3.6%,3.6%,
2019年05月03日 (4月),21:30,3.6%,3.8%,3.8%,
2019年04月05日 (3月),21:30,3.8%,3.8%,3.8%,
2019年03月08日 (2月),22:30,3.8%,3.9%,4.0%,
2019年02月01日 (1月),22:30,4.0%,3.9%,3.9%,
2019年01月04日 (12月),22:30,3.9%,3.7%,3.7%,
2018年12月07日 (11月),22:30,3.7%,3.7%,3.7%,
2018年11月02日 (10月),21:30,3.7%,3.7%,3.7%,
2018年10月05日 (9月),21:30,3.7%,3.8%,3.9%,
2018年09月07日 (8月),21:30,3.9%,3.8%,3.9%,
2018年08月03日 (7月),21:30,3.9%,3.9%,4.0%,
2018年07月06日 (6月),21:30,4.0%,3.8%,3.8%,
2018年06月01日 (5月),21:30,3.8%,3.9%,3.9%,
2018年05月04日 (4月),21:30,3.9%,4.0%,4.1%,
2018年04月06日 (3月),21:30,4.1%,4.0%,4.1%,
2018年03月09日 (2月),22:30,4.1%,4.0%,4.1%,
2018年02月02日 (1月),22:30,4.1%,4.1%,4.1%,
2018年01月05日 (12月),22:30,4.1%,4.1%,4.1%,
2017年12月08日 (11月),22:30,4.1%,4.1%,4.1%,
2017年11月03日 (10月),21:30,4.1%,4.2%,4.2%,
2017年10月06日 (9月),21:30,4.2%,4.4%,4.4%,
2017年09月01日 (8月),21:30,4.4%,4.3%,4.3%,
2017年08月04日 (7月),21:30,4.3%,4.3%,4.4%,
2017年07月07日 (6月),21:30,4.4%,4.3%,4.3%,
2017年06月02日 (5月),21:30,4.3%,4.4%,4.4%,
2017年05月05日 (4月),21:30,4.4%,4.6%,4.5%,
2017年04月07日 (3月),21:30,4.5%,4.7%,4.7%,
2017年03月10日 (2月),22:30,4.7%,4.7%,4.8%,
2017年02月03日 (1月),22:30,4.8%,4.7%,4.7%,
2017年01月06日 (12月),22:30,4.7%,4.7%,4.6%,
2016年12月02日 (11月),22:30,4.6%,4.9%,4.9%,
2016年11月04日 (10月),21:30,4.9%,4.9%,5.0%,
2016年10月07日 (9月),21:30,5.0%,4.9%,4.9%,
